Malayalam,Kannada
പ്രയോഗിച്ച ബലം,ಅನ್ವಯಿಸಿದ ಬಲ
"പ്രവൃത്തി, പ്രവൃത്തി","ಕ್ರಿಯೆ, ಕಾರ್ಯ"
പ്രവർത്തനവും പ്രതികരണവും,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
ഇൻഷുറൻസ് ശാസ്ത്രം,ವಿಮಾ ವಿಜ್ಞಾನ
നിശിത ത്രികോണം,ತೀವ್ರ ತ್ರಿಕೋನ
അസൈക്ലിക്,ಅಸೈಕ್ಲಿಕ್
സംഗ്രഹിക്കാനായി,ಒಟ್ಟುಗೂಡಿಸಲು
ചേർക്കുന്നയാൾ,ಸೇರಿಸುವವನು
"തുക, കൂട്ടിച്ചേർക്കൽ, സംഗ്രഹം (സി.), സങ്കലനം (വി.)","ಮೊತ್ತ, ಸಂಕಲನ, ಸಂಕಲನ (ಸಿ.), ಸಂಯೋಜಕ (ವಿ.)"
യോഗയുടെ ഫോർമുല,ಯೋಗದ ಸೂತ್ರ
സങ്കീർണ്ണ സംഖ്യകളുടെ ആകെത്തുക,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಮೊತ್ತ
പ്രവർത്തനങ്ങളുടെ ആകെത്തുക,ಕಾರ್ಯಗಳ ಮೊತ್ತ
മെട്രിക്സുകളുടെ ആകെത്തുക,ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಮೊತ್ತ
ബഹുപദങ്ങളുടെ ആകെത്തുക,ಬಹುಪದಗಳ ಮೊತ್ತ
സാധ്യതകളുടെ ആകെത്തുക,ಸಂಭವನೀಯತೆಗಳ ಮೊತ್ತ
വെക്റ്ററുകളുടെ ആകെത്തുക,ವಾಹಕಗಳ ಮೊತ್ತ
"സം സിദ്ധാന്തം, സരസഫല സിദ്ധാന്തം,","ಯೋಗ ಪ್ರಮೇಯ, ಬೆರ್ರಿ ಸಿದ್ಧಾಂತ"
സങ്കലന ഗ്രൂപ്പ്,ಸಂಯೋಜಕ ಗುಂಪು
വിപരീത വിപരീതം,ಸಂಯೋಜಕ ವಿಲೋಮ
കൂട്ടിച്ചേർക്കൽ,ಸೇರಿಸುವಿಕೆ
കൂട്ടിച്ചേർക്കൽ,ಸೇರಿಸುವಿಕೆ
തൊട്ടടുത്തുള്ള മാട്രിക്സ്,ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
"തൊട്ടടുത്തുള്ള, തൊട്ടടുത്തുള്ള, തൊട്ടടുത്തുള്ള","ಪಕ್ಕದ, ಪಕ್ಕದ, ಪಕ್ಕದ"
അടുത്തുള്ള കോൺ,ಪಕ್ಕದ ಕೋನ
തൊട്ടടുത്തുള്ള ശീർഷകം,ಪಕ್ಕದ ಶೃಂಗ
സഹകരിക്കാൻ,ಸಂಯೋಜಿಸಲು
"ഘടിപ്പിച്ച വലയം,",ಲಗತ್ತಿಸಲಾದ ಸುತ್ತುವರಿದ
പൊതുവായ ഡിറ്റർമിനന്റ്,ಸಾಮಾನ್ಯ ನಿರ್ಣಾಯಕ
ഡിഫറൻഷ്യൽ സമവാക്യം ചേർത്തു,ಲಗತ್ತಿಸಲಾದ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ
ഘടിപ്പിച്ച സമവാക്യം,ಲಗತ್ತಿಸಲಾದ ಸಮೀಕರಣ
ഏകീകൃത മാട്രിക്സ്,ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
മാട്രിക്സ് കോവേരിയൻസ്,ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಒಗ್ಗಟ್ಟು
ഏകീകൃത മാട്രിക്സ്,ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
സ്വീകാര്യമായ തീരുമാന പ്രവർത്തനം,ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ
സ്വീകാര്യമായ സിദ്ധാന്തം,ಸ್ವೀಕಾರಾರ್ಹ ಊಹೆ
എയറോഡൈനാമിക് ശക്തി,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ
എയറോഡൈനാമിക്സ്,ವಾಯುಬಲವಿಜ್ಞಾನ
ഏകതാനമായ ജ്യാമിതി,ಏಕರೂಪದ ಜ್ಯಾಮಿತಿ
ഏകതാനമായ മാപ്പിംഗ്,ಏಕರೂಪದ ಮ್ಯಾಪಿಂಗ್
ഏകതാനമായ പരിവർത്തനം,ಏಕರೂಪದ ರೂಪಾಂತರ
മൊത്തം വേരിയബിൾ,ಒಟ್ಟು ವೇರಿಯಬಲ್
"ബീജഗണിതം, ബീജഗണിതം, ബീജഗണിതം, ബീജഗണിതം","ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ"
"സീഡി അടഞ്ഞ, വിത്ത്","ಬೀಜದ ಮುಚ್ಚಿದ, ಬೀಜದ"
ബീജഗണിത സമവാക്യം,ಬೀಜಗಣಿತದ ಸಮೀಕರಣ
ബീജഗണിത പദപ്രയോഗം,ಬೀಜಗಣಿತದ ಅಭಿವ್ಯಕ್ತಿ
ബീജഗണിത ഏകത,ಬೀಜಗಣಿತದ ಏಕರೂಪತೆ
ബീജഗണിത പ്രവർത്തനം,ಬೀಜಗಣಿತದ ಕಾರ್ಯ
ബീജഗണിത ജ്യാമിതി,ಬೀಜಗಣಿತದ ರೇಖಾಗಣಿತ
ബീജഗണിത ബഹുത്വം,ಬೀಜಗಣಿತದ ಬಹುತ್ವ
ബീജഗണിത വ്യവസ്ഥ,ಬೀಜಗಣಿತ ವ್ಯವಸ್ಥೆ
എല്ലാ-പൂർണ്ണസംഖ്യാ പ്രശ്നം,ಎಲ್ಲಾ ಪೂರ್ಣಾಂಕ ಸಮಸ್ಯೆ
"അസൈൻമെന്റ് പ്രശ്നം വാട്ട് ചോദ്യം,",ನಿಯೋಜನೆ ಸಮಸ್ಯೆ ವ್ಯಾಟ್ ಪ್ರಶ್ನೆ
അക്ഷരമാലാ ക്രമം,ವರ್ಣಮಾಲೆಯ ಸಂಕೇತ
അക്ഷരമാലാക്രമം,ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ
ഇതര കോണുകൾ,ಪರ್ಯಾಯ ಕೋನಗಳು
"ഇതര ഏകതാനമായ ഇതര രൂപം,",ಪರ್ಯಾಯ ಏಕರೂಪದ ಪರ್ಯಾಯ ರೂಪ
ഇതര ഗ്രൂപ്പ്,ಪರ್ಯಾಯ ಗುಂಪು
ഇതര മാട്രിക്സ്,ಪರ್ಯಾಯ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ഇതര പരമ്പര,ಪರ್ಯಾಯ ಸರಣಿ
ഇതര സിദ്ധാന്തം,ಪರ್ಯಾಯ ಕಲ್ಪನೆ
ബദൽ ഒപ്റ്റിമം,ಪರ್ಯಾಯ ಆಪ್ಟಿಮಮ್
ഇതര ഫലം,ಪರ್ಯಾಯ ಫಲಿತಾಂಶ
അനലോഗ് അക്ക കൺവെർട്ടർ,ಅನಲಾಗ್-ಅಂಕಿಯ ಪರಿವರ್ತಕ
"അനലോഗ് കമ്പ്യൂട്ടർ,",ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್
വിശകലനം,ವಿಶ್ಲೇಷಣೆ
സഹവർത്തിത്വ വിശകലനം,ಸಹವರ್ತಿ ವಿಶ್ಲೇಷಣೆ
എണ്ണൽ-വിവര വിശകലനം,ಎಣಿಕೆ-ಡೇಟಾ ವಿಶ್ಲೇಷಣೆ
വ്യതിയാന വിശകലനം,ವ್ಯತ್ಯಾಸ ವಿಶ್ಲೇಷಣೆ
അനലിറ്റിക്കൽ ജ്യാമിതി,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಜ್ಯಾಮಿತಿ
വിശകലന പ്രവർത്തനം,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಕಾರ್ಯ
കോൺ,ಕೋನ
ടാൻജന്റ് കോൺ,ಸ್ಪರ್ಶ ಕೋನ
വ്യതിചലന കോൺ,ವಿಚಲನ ಕೋನ
വിഷാദം ആംഗിൾ,ಖಿನ್ನತೆಯ ಕೋನ
വ്യതിയാനം കോൺ,ವಿಚಲನ ಕೋನ
ഡിഫ്രാക്ഷൻ ആംഗിൾ,ವಿವರ್ತನೆಯ ಕೋನ
എലവേഷൻ കോൺ,ಎತ್ತರದ ಕೋನ
സംഭവത്തിന്റെ കോൺ,ಘಟನೆಯ ಕೋನ
പ്രൊജക്ഷൻ കോൺ,ಪ್ರೊಜೆಕ್ಷನ್ ಕೋನ
പ്രതിഫലനത്തിന്റെ കോൺ,ಪ್ರತಿಬಿಂಬದ ಕೋನ
അപവർത്തന കോൺ,ವಕ್ರೀಭವನದ ಕೋನ
റൊട്ടേഷൻ കോൺ,ತಿರುಗುವ ಕೋನ
പ്രതിഫലനത്തിന്റെ സമ്പൂർണ്ണ കോൺ,ಪ್ರತಿಫಲನದ ಸಂಪೂರ್ಣ ಕೋನ
കോണീയ ത്വരണം,ಕೋನೀಯ ವೇಗವರ್ಧನೆ
കോണീയ പ്രവേഗം,ಕೋನೀಯ ವೇಗ
കോണീയ വേഗത,ಕೋನೀಯ ವೇಗ
കോണീയ പ്രവേഗം,ಕೋನೀಯ ವೇಗ
മോതിര വിരൽ,ಉಂಗುರದ ಬೆರಳು
ഉത്തരം,ಉತ್ತರ
കൌണ്ടർ ഡെറിവേറ്റീവ്,ಕೌಂಟರ್ ಉತ್ಪನ್ನ
ഐസോമെട്രിക് ഫംഗ്ഷൻ,ಸಮಮಾಪನ ಕಾರ್ಯ
"കവർ ചെയ്യാവുന്ന, ബാധകമായ, ബാധകമായ","ಆವರಿಸಬಹುದಾದ, ಅನ್ವಯಿಸುವ, ಅನ್ವಯಿಸುವ"
"അപേക്ഷ അപേക്ഷ,",ಅರ್ಜಿ ಅರ್ಜಿ
പ്രയോഗിച്ച ഡൈനാമിക് പ്രോഗ്രാമിംഗ്,ಅನ್ವಯಿಕ ಡೈನಾಮಿಕ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್
പ്രയോഗിച്ച ജ്യാമിതി,ಅನ್ವಯಿಕ ಜ್ಯಾಮಿತಿ
പ്രയോഗിച്ച ഗണിതശാസ്ത്രം,ಅನ್ವಯಿಕ ಗಣಿತ
പ്രയോഗിച്ച സ്ഥിതിവിവരക്കണക്കുകൾ,ಅನ್ವಯಿಕ ಅಂಕಿಅಂಶಗಳು
"ഏകദേശം, ഏകദേശം","ಸರಿಸುಮಾರು, ಸರಿಸುಮಾರು"
ഏകദേശം തുടർച്ചയായ പ്രവർത്തനം,ಸರಿಸುಮಾರು ನಿರಂತರ ಕಾರ್ಯ
"മാക്രോ രീതി, ഏകദേശ രീതി","ಮ್ಯಾಕ್ರೋ ವಿಧಾನ, ಅಂದಾಜು ವಿಧಾನ"
ഏകദേശ പരിഹാരം,ಅಂದಾಜು ಪರಿಹಾರ
ഏകദേശ പ്രശ്നം,ಅಂದಾಜು ಸಮಸ್ಯೆ
ഏകദേശ സ്വത്ത്,ಅಂದಾಜು ಆಸ್ತಿ
അഭിരുചി പരീക്ഷ,ಯೋಗ್ಯತಾ ಪರೀಕ್ಷೆ
ആർഗോൺ ഡയഗ്രം,ಆರ್ಗಾನ್ ರೇಖಾಚಿತ್ರ
സ്വമേധയാ,ಸ್ವಯಂಪ್ರೇರಿತ
"ക്രമരഹിതമായ, ക്രമരഹിതമായ","ಯಾದೃಚ್ಛಿಕ, ಯಾದೃಚ್ಛಿಕ"
ഏകപക്ഷീയമായ സ്ഥിരാങ്കം,ಅನಿಯಂತ್ರಿತ ಸ್ಥಿರ
സ്വതന്ത്ര ഘടകം,ಉಚಿತ ಅಂಶ
ഏകപക്ഷീയമായ പോയിന്റ്,ಅನಿಯಂತ್ರಿತ ಬಿಂದು
ആർക്കിമിഡീസിന്റെ നിയമം,ಆರ್ಕಿಮಿಡೀಸ್ ಕಾನೂನು
ആർക്കിമിഡീസിന്റെ നിയമം,ಆರ್ಕಿಮಿಡಿಸ್ ಕಾನೂನು
"കമാനം നീളം, കമാനം നീളം","ಚಾಪ-ಉದ್ದ, ಚಾಪ-ಉದ್ದ"
സർക്കിൾ ആർക്ക്,ವೃತ್ತದ ಚಾಪ
വിപരീത സൈൻ വിതരണം,ವಿಲೋಮ ಸೈನ್ ವಿತರಣೆ
വിപരീത സൈൻ പരിവർത്തനം,ವಿಲೋಮ ಸೈನ್ ಪರಿವರ್ತನೆ
"പ്രദേശം, പ്രദേശം","ಪ್ರದೇಶ, ಪ್ರದೇಶ"
പ്രാദേശിക കോൺഫിഗറേഷൻ,ಪ್ರಾದೇಶಿಕ ಸಂರಚನೆ
ഒരു സങ്കീർണ്ണ സംഖ്യയുടെ കോൺ,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಯ ಕೋನ
ഗണിത അർത്ഥം,ಅಂಕಗಣಿತದ ಸರಾಸರಿ
ഡിജിറ്റൽ പ്രവർത്തനം,ಡಿಜಿಟಲ್ ಕಾರ್ಯಾಚರಣೆ
ഡിജിറ്റൽ യൂണിറ്റ്,ಡಿಜಿಟಲ್ ಘಟಕ
"കോൺഫിഗറേഷൻ, ക്രമീകരണം","ಸಂರಚನೆ, ವ್ಯವಸ್ಥೆ"
"അറേ, അറേ","ವ್ಯೂಹ, ವ್ಯೂಹ"
കൃത്രിമ ഉപഗ്രഹം,ಕೃತಕ ಉಪಗ್ರಹ
കൃത്രിമ വേരിയബിൾ,ಕೃತಕ ವೇರಿಯಬಲ್
കയറാൻ,ಏರಲು
ആരോഹണം,ಆರೋಹಣ
മാഗ്നിറ്റ്യൂഡിന്റെ ആരോഹണ ക്രമം,ಪರಿಮಾಣದ ಆರೋಹಣ ಕ್ರಮ
ആരോഹണ ഗ്രേഡ്,ಆರೋಹಣ ದರ್ಜೆ
അസംബ്ലർ ഭാഷ,ಅಸೆಂಬ್ಲರ್ ಭಾಷೆ
"അസൈൻമെന്റ് പ്രശ്നം അസൈൻമെന്റ് ചോദ്യം,",ನಿಯೋಜನೆ ಸಮಸ್ಯೆ ನಿಯೋಜನೆ ಪ್ರಶ್ನೆ
സഹകാരി നിയമം,ಸಹಾಯಕ ನಿಯಮ
ഓപ്പറേറ്റർമാരുടെ അനുബന്ധ നിയമം,ನಿರ್ವಾಹಕರ ಸಹಾಯಕ ನಿಯಮ
അനുബന്ധ പ്രവർത്തനം,ಸಹಾಯಕ ಕಾರ್ಯಾಚರಣೆ
കൂട്ടുകെട്ട്,ಒಡನಾಟ
അർത്ഥമാക്കുന്നത്,ಸರಾಸರಿ ಊಹಿಸಲಾಗಿದೆ
പ്രോബബിലിറ്റി ഡിസ്ട്രിബ്യൂഷൻ അനുമാനിച്ചു,ಸಂಭವನೀಯತೆಯ ವಿತರಣೆಯನ್ನು ಊಹಿಸಲಾಗಿದೆ
"സങ്കല്പിച്ചു, സമ്മതിച്ചു,","ಕಲ್ಪಿಸಿಕೊಂಡ, ಒಪ್ಪಿಕೊಂಡ"
ജ്യോതിഷം,ಜ್ಯೋತಿಷ್ಯ
"ബഹിരാകാശ എഞ്ചിനീയർ ബഹിരാകാശ എഞ്ചിനീയർ,",ಗಗನಯಾತ್ರಿ ಎಂಜಿನಿಯರ್ ಬಾಹ್ಯಾಕಾಶ ಎಂಜಿನಿಯರ್
ജ്യോതിശാസ്ത്രജ്ഞൻ*,ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞ*
ജ്യോതിശാസ്ത്ര ഘടികാരം,ಖಗೋಳ ಗಡಿಯಾರ
ജ്യോതിശാസ്ത്രം,ಖಗೋಳಶಾಸ್ತ್ರ
അസമമായ വക്രം,ಅಸಮಪಾರ್ಶ್ವದ ಕರ್ವ್
അസമമിതി,ಅಸಿಮ್ಮೆಟ್ರಿ
അസിംപ്റ്റോട്ടിക്,ಲಕ್ಷಣರಹಿತ
വഷളാക്കുന്നു,ಉಲ್ಬಣಗೊಳಿಸುತ್ತಿದೆ
പുരോഗമന എസ്റ്റിമേറ്റർ,ಪ್ರಗತಿಪರ ಅಂದಾಜುಗಾರ
റിട്രോഗ്രേഡ് ബയസ്ഡ് എസ്റ്റിമേറ്റർ,ಹಿಮ್ಮುಖ ಪಕ್ಷಪಾತದ ಅಂದಾಜುಗಾರ
പിന്തിരിപ്പൻ പെരുമാറ്റം,ಹಿಮ್ಮುಖ ನಡವಳಿಕೆ
ആക്രമണാത്മക വിതരണ പ്രവർത്തനം,ಆಕ್ರಮಣಕಾರಿ ವಿತರಣಾ ಕಾರ್ಯ
മുകളിലേക്ക് വ്യാപിച്ചു,ಮೇಲ್ಮುಖವಾಗಿ ಹರಡಿತು
അന്തരീക്ഷമർദ്ദം,ವಾತಾವರಣದ ಒತ್ತಡ
"ക്രമരഹിതമായി,",ಯಾದೃಚ್ಛಿಕವಾಗಿ
സ്വത്ത്*,ಆಸ್ತಿ*
ആട്രിബ്യൂട്ട്-സാമ്പിൾ-മെക്കാനിസം,ಗುಣಲಕ್ಷಣ-ಮಾದರಿ-ಯಾಂತ್ರಿಕತೆ
വർദ്ധിപ്പിച്ച മാട്രിക്സ്,ವರ್ಧಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ഓട്ടോകോറിലേഷൻ കോഫിഫിഷ്യന്റ്,ಸ್ವಯಂ ಸಂಬಂಧ ಗುಣಾಂಕ
ഓട്ടോകോറിലേഷൻ ഫംഗ്ഷൻ,ಸ್ವಯಂ ಸಂಬಂಧ ಕಾರ್ಯ
സഹവർത്തിത്വം,ಸಹವರ್ತಿತ್ವ
ഓട്ടോമാറ്റിക് കമ്പ്യൂട്ടർ,ಸ್ವಯಂಚಾಲಿತ ಕಂಪ್ಯೂಟರ್
സ്വയം റിഗ്രഷൻ,ಸ್ವಯಂ ಹಿನ್ನಡೆ
സഹായ സമവാക്യം,ಸಹಾಯಕ ಸಮೀಕರಣ
ശരാശരി സാമ്പിൾ നമ്പർ വക്രം (MPC കർവ്),ಸರಾಸರಿ ಮಾದರಿ ಸಂಖ್ಯೆ ಕರ್ವ್ (MPC ಕರ್ವ್)
"സിദ്ധാന്തം, സിദ്ധാന്തം","ಮೂಲತತ್ವ, ಮೂಲತತ್ವ"
axiom സമീപനം,ಮೂಲತತ್ವ ವಿಧಾನ
സംഭാവ്യത സിദ്ധാന്തം,ಸಂಭವನೀಯತೆಯ ಮೂಲತತ್ವ
അച്ചുതണ്ട്,ಅಕ್ಷರೇಖೆ
ഭുജാക്ഷ,ಭುಜಾಕ್ಷ
ഭൂമിയുടെ അച്ചുതണ്ട്,ಭೂಮಿಯ ಅಕ್ಷ
ഭ്രമണ അക്ഷം,ತಿರುಗುವ ಅಕ್ಷ
ഭ്രമണ അക്ഷം,ತಿರುಗುವಿಕೆಯ ಅಕ್ಷ
സ്പിൻ അക്ഷം,ಸ್ಪಿನ್ ಅಕ್ಷ
പോസ്റ്റ് മാറ്റിസ്ഥാപിക്കൽ,ಪೋಸ್ಟ್ ಬದಲಿ
പിന്നീട്,ನಂತರ
തിരികെ ചേർക്കൽ സൂത്രവാക്യം,ಹಿಂದಿನ ಅಳವಡಿಕೆ ಸೂತ್ರ
"ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്","ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ"
സമതുലിതമായ ഡിസൈൻ,ಸಮತೋಲಿತ ವಿನ್ಯಾಸ
ബാലൻസ് ഷീറ്റ്,ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್
മിസൈൽ,ಕ್ಷಿಪಣಿ
"ബാലിസ്റ്റിക്സ്, ആയുധം","ಬ್ಯಾಲಿಸ್ಟಿಕ್ಸ್, ಶಸ್ತ್ರಾಸ್ತ್ರ"
"നിര, വടി, കോബ്, ബാർ, ബാർ, ബാർ, ബാർ, ബാർ, ബാർ, ലൈൻ, ലൈൻ, ടെസ്റ്റ് ലൈൻ, എഡ്ജ്","ಕಾಲಮ್, ಬಾರ್, ಕಾಬ್, ಬಾರ್, ಬಾರ್, ಬಾರ್, ಬಾರ್, ಬಾರ್, ಬಾರ್, ಲೈನ್, ಲೈನ್, ಟೆಸ್ಟ್ ಲೈನ್, ಎಡ್ಜ್"
"അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം","ಬೇಸ್, ಬೇಸ್, ಬೇಸ್, ಬೇಸ್, ಬೇಸ್"
അടിസ്ഥാന കോൺ,ಮೂಲ ಕೋನ
"ലോഗരിതം അടിസ്ഥാനം, ലോഗരിതം അടിസ്ഥാനം","ಲಾಗರಿಥಮ್ನ ಆಧಾರ, ಲಾಗರಿಥಮ್ನ ಆಧಾರ"
"അടിസ്ഥാന, അടിസ്ഥാന,","ಮೂಲಭೂತ, ಮೂಲಭೂತ"
അടിസ്ഥാന യോജിച്ച പരിഹാരം,ಮೂಲ ಸುಸಂಬದ್ಧ ಪರಿಹಾರ
അടിസ്ഥാന പരിഹാരം,ಮೂಲ ಪರಿಹಾರ
അടിസ്ഥാന വേരിയബിൾ,ಮೂಲ ವೇರಿಯಬಲ್
അടിസ്ഥാനം,ಬೇಸ್
അടിസ്ഥാന ഘടകം,ಮೂಲ ಅಂಶ
അടിസ്ഥാന മാട്രിക്സ്,ಮೂಲ ಮ್ಯಾಟ್ರಿಕ್ಸ್
വെക്റ്റർ സ്ഥലത്തിന്റെ അടിസ്ഥാനം,ವೆಕ್ಟರ್ ಜಾಗದ ಆಧಾರ
ഉപജനസംഖ്യാ അടിസ്ഥാനം,ಉಪಜನಸಂಖ್ಯೆಯ ಆಧಾರ
സത്യസന്ധമല്ലാത്ത,ನಿರ್ಲಜ್ಜ
ബെസ്-റൂൾ,ಬೆಜ್-ನಿಯಮ
bez-theorem,ಬೆಜ್-ಪ್ರಮೇಯ
ബെർണൂലി-വിതരണം,ಬರ್ನೌಲಿ-ವಿತರಣೆ
ബെർണൂലി നമ്പറുകൾ,ಬರ್ನೌಲ್ಲಿ ಸಂಖ್ಯೆಗಳು
ബെർണൂലി പ്രോബബിലിറ്റി ഫംഗ്‌ഷൻ,ಬರ್ನೌಲ್ಲಿ ಸಂಭವನೀಯತೆ ಕಾರ್ಯ
ബെർണൂലി-സമവാക്യം,ಬರ್ನೌಲ್ಲಿ-ಸಮೀಕರಣ
ബെറി ഫംഗ്ഷൻ,ಬೆರ್ರಿ ಕಾರ್ಯ
മികച്ച അഡീഷൻ,ಅತ್ಯುತ್ತಮ ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
മികച്ച അഡീഷൻ ലൈൻ,ಅತ್ಯುತ್ತಮ ಅಂಟಿಕೊಳ್ಳುವ ರೇಖೆ
മികച്ച പരിഹാരം,ಉತ್ತಮ ಪರಿಹಾರ
മികച്ച നുറുങ്ങുകൾ,ಅತ್ಯುತ್ತಮ ಸಲಹೆಗಳು
ബീറ്റ വിതരണം,ಬೀಟಾ ವಿತರಣೆ
"പക്ഷപാതം, പക്ഷപാതം","ಪಕ್ಷಪಾತ, ಪಕ್ಷಪಾತ"
പക്ഷപാതപരമായ വിലയിരുത്തൽ,ಪಕ್ಷಪಾತದ ಮೌಲ್ಯಮಾಪನ
ദ്വിപദ സമവാക്യം,ದ್ವಿಪದ ಸಮೀಕರಣ
ഒറ്റ കവർ,ಒಂದೇ ಕವರ್
ഒറ്റ കവർ മാപ്പ്,ಒಂದೇ ಕವರ್ ನಕ್ಷೆ
ഒറ്റ കവർ മാപ്പിംഗ്,ಏಕ ಕವರ್ ಮ್ಯಾಪಿಂಗ್
ക്വാഡ്രാറ്റിക് ക്വാഡ്രാറ്റിക്,ಚತುರ್ಭುಜ ಚತುರ್ಭುಜ
ബിലീനിയർ ഫംഗ്ഷൻ,ಬೈಲಿನಿಯರ್ ಕಾರ್ಯ
ബൈലീനിയർ ഹെർമിഷ്യൻ ഹോമോജെനിറ്റി,ಬೈಲಿನಿಯರ್ ಹರ್ಮಿಟಿಯನ್ ಏಕರೂಪತೆ
"ദ്വി-വേരിയബിൾ, ബൈനറി, ഡ്യുവൽ","ದ್ವಿ-ವೇರಿಯಬಲ್, ಬೈನರಿ, ಡ್ಯುಯಲ್"
"ബൈനറി കോഡ്, ബൈനറി കോഡ്","ಬೈನರಿ ಕೋಡ್, ಬೈನರಿ ಕೋಡ್"
"ബൈനറി കോഡ് ചെയ്ത ദശാംശം, ബൈനറി കോഡഡ് ദശാംശം","ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ, ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ"
ബൈനറി എൻകോഡിംഗ്,ಬೈನರಿ ಎನ್ಕೋಡಿಂಗ್
ബൈനറി കമ്പ്യൂട്ടർ,ಬೈನರಿ ಕಂಪ್ಯೂಟರ್
ബൈനറി അക്കങ്ങൾ,ಬೈನರಿ ಸಂಖ್ಯೆಗಳು
ബൈനറി പ്രവർത്തനം,ಬೈನರಿ ಕಾರ್ಯಾಚರಣೆ
ബൈനറി രീതി,ಬೈನರಿ ವಿಧಾನ
ബൈനറി വേരിയബിൾ,ಬೈನರಿ ವೇರಿಯಬಲ್
ദ്വിപദ ഗുണകം,ದ್ವಿಪದ ಗುಣಾಂಕ
ദ്വിപദ വിതരണം,ದ್ವಿಪದ ವಿತರಣೆ
ദ്വിപദ സമവാക്യം,ದ್ವಿಪದ ಸಮೀಕರಣ
