English,Assamese
acess mode,অভিগম ধৰণ
acess privilege,অভিগম বিশেষাধিকাৰসমূহ
acess security,অভিগম সুৰক্ষা
acess server,"1. অভিগম চাৰ্ভাৰ, 2. অভিগম চাৰ্ভাৰ"
acess time,প্ৰৱেশ সময়
acknowledgement,স্বীকৃতি
acoustics,শব্দবিজ্ঞান
acronym,"১. সংক্ষিপ্ত ৰূপ, ২. সংক্ষিপ্ত ৰূপ, ৩. ৰ পৰা চুটি"
action message,কাৰ্য্য বাৰ্তা
activation,সক্ৰিয়কৰণ
active server page (ASP),সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা
active version,সক্ৰিয় সংস্কৰণ
acyclic,অচক্ৰীয়
acyclic graph,"১.অচক্ৰীয় গ্ৰাফ, ২. অচক্ৰীয় গ্ৰাফ"
Ada language,আদা কম্পিউটাৰ ভাষা
adapter,"১.অপ্টিমাইজাৰ, ২. অপ্টিমাইজাৰ"
add,to sum)
add file,যোগফল নথিপত্ৰ
add operation,"1. যোগ কাৰ্য্য, 2. যোগফল কাৰ্য্য"
adder,adder
address,ঠিকনা
address bus,ঠিকনা বাছ
address file,ঠিকনা নথিপত্ৰ
address format,ঠিকনা বিন্যাস
address generator,ঠিকনা উৎপাদক
address line,ঠিকনা ৰেখা
address mapping,ঠিকনা মেপিং
address pointer,ঠিকনা সূচক
address register,ঠিকনা পঞ্জীয়ন
address resolution,ঠিকনা ভাঙি যোৱা
address translation,ঠিকনা অনুবাদ
addressed memory,"1. ঠিকনাযোগ্য স্মৃতিশক্তি, 2. ঠিকনাযোগ্য মেমৰি"
addressing,সম্বোধন কৰা
adequacy criteria,"১.পৰ্যাপ্ততাৰ মাপকাঠী, ২. পৰ্যাপ্ততাৰ মাপকাঠী"
adjoint,সংলগ্ন কৰা হৈছে
administration,"1. ব্যৱস্থাপনা, 2. নিয়ন্ত্ৰণ"
administrator,"১.পৰিচালক, ২. নিয়ন্ত্ৰক"
adobe acrobat,এডোব এক্ৰ&#39;বেট
adobe photoshop,এডোব ফটোশ্বপ
Advance Business Application Programming (ABAP),ABAP (উন্নত ব্যৱসায়িক প্ৰগ্ৰেমিং)
advanced data,"1. উন্নত তথ্য, 2. উন্নত তথ্য"
advanced information system,উন্নত তথ্য ব্যৱস্থা
advanced technology (AT),উন্নত প্ৰযুক্তি (AT)
agent,কাৰ্য কৰা
aggregation,একত্ৰীকৰণ
airborne computer system,বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা
aldus page maker,aldus পৃষ্ঠা-নিৰ্মাণ
alert box,সতৰ্কবাণী বাকচ
algol,algol (কম্পিউটাৰ ভাষা)
algorithm,"1. এলগৰিদম, 2. এলগৰিদম"
algorithm analysis,"১.এলগৰিদম বিশ্লেষণ, ২. এলগৰিদম বিশ্লেষণ"
algorithm efficiency,এলগৰিদম দক্ষতা
alias,"১.ইলিয়াছ, ২. ডাকনাম, ৩. aka"
alignment,প্ৰান্তিককৰণ
allocation,"১.আবণ্টন, ২. আবণ্টন"
alphabetic,"১.বৰ্ণানুক্ৰমিক, ২. বৰ্ণানুক্ৰমিক ক্ৰম"
alphanumeric,আলফানিউমেৰিক
alphanumeric key board,"1. আলফানিউমেৰিক কিবৰ্ড, 2. আলফানিউমেৰিক কিবৰ্ড"
alpha-test,আলফা-পৰীক্ষণ (১ম স্তৰৰ পৰীক্ষা)
alpha-version,"1. আলফা সংস্কৰণ, 2. আলফা ৰূপ"
alt key,alt কি&#39;
altavista,আলতাভিস্তা
ambiguity,বহুগুণতা
ambiguous grammar,অস্পষ্ট ব্যাকৰণ
American National Standards Institute (ANSI),আমেৰিকান নেচনেল ষ্টেণ্ডিজ ইনষ্টিটিউট (ANSI)
American Standard Code For Information Interchange (ASCII),আমেৰিকান ষ্টেণ্ডাৰ্ড কাট (ascii)
analog,"1. অনুৰূপ, ২. এনালগ"
analog computer,"১.এনালগ কম্পিউটাৰ, ২.এনালগ কম্পিউটাৰ"
analog device,"1. এনালগ ডিভাইচ, 2. এনালগ ডিভাইচ"
analog modem,"1. এনালগ মডেম, 2. এনালগ মডেম"
Analog To Digital Converter (ADC),এনালগ টু ডিজিটেল কনভাৰ্টাৰ
AND,শেষ (ডিজিটেল/প্লেন লজিক &#39;আৰু&#39; ব্যৱহৃত)
AND circuit,শেষ বৰ্তনী
AND gate,শেষৰ গেট আৰু গেট
AND not operation (Exclusion),অপাৰেচন শেষ নহয় (বৰ্জন)
animation,"১.এনিমেচন, ২.কম্পন"
annotation,দ্ৰষ্টব্য
anomaly,অসামঞ্জস্যতা
antecedent,পূৰ্ৱবৰ্তী
anticipatory paging,প্ৰত্যাশিত পেজিং
anti-symmetric,প্ৰতি-সমমিতিক
antivirus program,এন্টিভাইৰেল প্ৰগ্ৰেম
applet,"১.এপলেট, ২. দৰ্খাস্ত"
application developer,এপ্লিকেচন ডেভেলপাৰ
application programming,এপ্লিকেচন প্ৰগ্ৰেমিং
application programming interface (API),"1. এপ্লিকেচন প্ৰগ্ৰামিং আন্তঃপৃষ্ঠ, 2. এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API)"
application software,এপ্লিকেচন চফ্টৱেৰ
applicative language,আবেদন ভাষা
approximation theory,আনুমানিক নীতি
architecture,গাঁঠনি
area transfer,ক্ষেত্ৰ স্থানান্তৰ
argument,"1. প্ৰাচল, স্বাধীন চলক, 2. কোণ"
arithmatic and logic unit,"1. গাণিতিক আৰু যুক্তি একক, 2. গাণিতিক আৰু যুক্তি একক"
arithmatic check,গাণিতিক পৰীক্ষা
arithmatic constant,গাণিতিক ধ্ৰুৱক
arithmatic data,গাণিতিক তথ্য
arithmatical instruction,গাণিতিক নিৰ্দেশনা
arithmetic and logic unit (ALU),গাণিতিক আৰু যুক্তিসংগত একক (ALU)
ARPANET,ARPA নেট (RPNet)
array,এৰে
array cache,"1. এৰে কেচ, 2. এৰেৰ গতি, ৩. এৰে মেমৰি"
array computer,এৰে কম্পিউটাৰ
array element,এৰে উপাদান
array name,এৰেৰ নাম
array processor,এৰে প্ৰচেছৰ
arrow keys,কাঁড় চিহ্ন
articulation,সন্ধি
articulation point,জংচন পইণ্ট
artificial compaction,কৃত্ৰিম সংকোচন
artificial control,কৃত্ৰিম নিয়ন্ত্ৰণ
artificial intelligence,কৃত্ৰিম ইন্দ্ৰিয়
ascender,মাউন্ট
ascending sort,আৰোহী সজাই পৰাই তোলা
ASCII betical order,ascii বৰ্ণমালা
ASCII control character,ascii নিয়ন্ত্ৰণ চিহ্ন
ASCII file,ascii ফাইল
ASCII font,ascii ফন্ট
ASCII transfer,ASCII স্থানান্তৰ
aspect ratio,এস্পেক্ট ৰেচিঅ&#39;
ASPI,"১.এছপি, ২. এ এছ পি আই"
ASR timer,এ এছ আৰ কালাদ
assemble,"১/ স্মৰণ, ২। একত্ৰিত কৰা, ৩. একত্ৰিত কৰা"
assembler,"১.সমাবেশকাৰী, ২. স্মাৰক"
assembly,"1. একত্ৰিত কৰা, ২. স্মৃতি"
assembly language,"১/ মুখস্থ কৰা ভাষা, ২. ভাষা একত্ৰিত কৰা"
assertion,সংকল্প
assignment,"1. নিৰ্দিষ্ট কাম, 2. আবণ্টন"
association,সংগীত্ব
associative address,সহযোগী ঠিকনা
associative memory,"১.সংগত স্মৃতি, ২. সহযোগী স্মৃতিশক্তি"
asteric,তাৰকা চিহ্ন (* চিহ্ন)
asymmetric,অসমতাপূৰ্ণ
asynchronous,"1. এচিনক্ৰ&#39;নাছ, 2. এচিনক্ৰ&#39;নাছ"
asynchronous Digital Subscriber Line (ADSL),এচিনক্ৰ&#39;নাছ ডিজিটেল গ্ৰাহক লাইন (ADSL)
asynchronous Time Division Multiplexing (ATDM),এচিংক্ৰ&#39;নাছ সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM)
asynchronous transfer,এচিনক্ৰ&#39;নাছ স্থানান্তৰ
asynchronous Transfer Mode (ATM),এচিংক্ৰ&#39;নাছ ট্ৰেন্সফাৰ মোড (ATM)
atom,"১.পৰমাণু, ২. পৰমণ"
attached document,সংলগ্ন নথিপত্ৰ
attached file,"1. সংলগ্ন ফাইল/মিছিল, 2. সংলগ্ন ফাইল"
attachment,"১.আৱৰণ, ২. সংযুক্ত"
attribute,"১.গুণ, ২. বৈশিষ্ট্য"
audio,শ্ৰৱণযোগ্য
audit programming,"1. অডিট প্ৰগ্ৰেমিং, 2. অডিট প্ৰগ্ৰেমিং"
audit trail,একাউণ্ট পৰীক্ষণ
augmentation,প্ৰচাৰ
authentication protocol,প্ৰমাণীকৰণ প্ৰট&#39;কল
authoring system,লেখক পদ্ধতি
authorization,"১.কৰ্তৃত্ব, ২. কৰ্তৃত্ব, ৩. ন্যায়াধিকৰণ"
auto abstract,অটো বিমূৰ্ত
autobooting,"1. স্বয়ংক্ৰিয় বুটিং, 2. self বুট"
autocad,AutoCAD (এটা কম্পিউটাৰ ভাষা)
autolog on,স্বয়ংক্ৰিয় লগ-অন
automata,automata
automata theory,automata তত্ত্ব
automatic computing,স্বয়ংক্ৰিয় গণনা
automatic data processing,স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ
automatic error correction,স্বয়ংক্ৰিয় ভুল সংশোধন
automatic function,অটো ফাংচন
automatic indexing,"1. স্বয়ংক্ৰিয় সূচীভুক্তকৰণ, 2. স্বয়ংক্ৰিয় তালিকাভুক্তকৰণ"
automatic library call,অটো-সংগ্ৰহ কল
automatic programming,"1. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং, 2. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং"
automatic recovery program,"1. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম, 2. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম"
automatic routine,অটো ৰুটিন
automatic system recovery,স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ
automatic teller machine (ATM),"১/ স্বয়ংক্ৰিয় টেলাৰ মেচিন (এটিএম), ২. স্বয়ং উলিওৱাৰ বাবে বেংকৰ ATM"
automation,অটোমেচন
autoplay,"1. অটোপ্লে, 2. অটো ৱাক"
autosave,কণ্ঠদান
auxiliary,সহায়ক
auxiliary memory,সহায়ক স্মৃতিশক্তি
auxiliary storage,সহায়ক সংৰক্ষণ
available list,উপলব্ধ তালিকা
available time,উপলব্ধ সময়
average,গড়
awk (language),AWK (এটা কম্পিউটাৰ কমাণ্ড)
backend,পাছত
backend processor,পোষ্ট প্ৰচেছৰ
backface removal,পশ্চাৎ কাৰ্য্য বিলোপন
background processing,পটভূমি প্ৰক্ৰিয়াকৰণ
backing store,আনুষংগিক দোকানসমূহ
backpatching,বেক পেচিং
backspace,"১.পশ্চিম, ২. বেকস্পেচ"
backtracking,পিছুৱাই যোৱা
back-up,"1. বেক-আপ, 2. ৰিইম্বৰ্চেমেণ্ট"
back-up memory,"১/ পৰিপূৰক স্মৃতিশক্তি, ২. বেক-আপ মেমৰি"
backward error recovery,পিছলৈ ভুল সংশোধন
balance sheet,(আয়-ব্যয়) বেলেন্স শ্বীট
band,পট্টি
band width,"১.বেণ্ড প্ৰস্থ, ২. বেণ্ডউইডথ/ক্ষমতা"
banker's algorithm,বেংকাৰৰ এলগৰিদম
bar code,"1. বাৰ ক&#39;ড, 2. বাৰ ক&#39;ড"
bar code scanner,বাৰক&#39;ড স্ক্যানাৰ
bar graph,বাৰ গ্ৰাফ
base address,ভিত্তি ঠিকনা
base band,বেচ বেণ্ড
base number,আধাৰ নম্বৰ
base table,ভিত্তি টেবুল
BASIC,মূল (এটা কম্পিউটাৰ ভাষা)
basic control,"1. মূল নিয়ন্ত্ৰণ, 2. ভিত্তি নিয়ন্ত্ৰণ"
basic input,"১/ মূল বিনিয়োগ, ২. ভিত্তি বিনিয়োগ"
basic instruction,মূল নিৰ্দেশনা
basic output,ভিত্তি বিষয়
basic step,মূল পৰ্যায়
batch,"১.বেচ, ২. গোট, ৩. বিপৰ্যয়"
batch file,"1. বেচ ফাইল, 2. বেচ ফাইল"
batch position,বেচৰ অৱস্থা
batch processing,"১.বেচ প্ৰচেছিং, ২. গ্ৰুপ প্ৰচেছিং"
batch system,"1. বেচ ব্যৱস্থা, 2. কেটাপল্ট ব্যৱস্থা"
baud,baud
baud rate,বড হাৰ
beam,ৰশ্মি ৰশ্মি
benchmark,"1. নিৰ্দেশনা, 2. বেচ মাৰ্ক"
bidirectional communication,দ্বিমুখী যোগাযোগ
bidirectional link,প্ৰত্যক্ষ সংযোগ
binary code,বাইনাৰী ক&#39;ড
binary digit,বাইনাৰী অংক
binary Input output system (BIOS),বাইনাৰী বিনিয়োগ আউটপুট ব্যৱস্থা (BIOS)
binary number,বাইনাৰী সংখ্যা
binary operator,বাইনাৰী অপাৰেটৰ
binary relation,বাইনাৰী সম্পৰ্ক
binary search,বাইনাৰী সন্ধান
binary search tree (BST),বাইনাৰী অন্বেষণ বৃক্ষ (BST)
binary transfer,"1. বাইনাৰী স্থানান্তৰ গছ, 2. বাইনাৰী স্থানান্তৰ"
binary tree,বাইনাৰী গছ
bipolar memory,"১.দ্বিমেৰু স্মৃতিশক্তি, ২. বাইপোলাৰ মেম’ৰী"
birth death model,"১/ জন্ম আৰু মৃত্যুৰ আৰ্হি, ২. জন্ম মৃত্যুৰ আৰ্হি"
birth death process,জন্ম মৃত্যু প্ৰক্ৰিয়া
bit,"১.ডুয়েক, ২. বিট"
bit fault,বিট দোষ
bit map,বিট মেপ
bit map pixel (BMP),"1. বিট, 2. মানচিত্ৰ, ৩. পিক্সেল (BMP)"
bit matrix,"1. বিট মেট্ৰিক্স, 2. বিট টেবুল"
bit pattern,বিট পেটাৰ্ণ
bit position,বিটৰ অৱস্থান
bit rate,"1. বিট হাৰ, 2. বিট হাৰ"
black box testing,চকুত পটি পৰীক্ষা কৰা
blinking,shimmer
block,অৱৰুদ্ধ কৰা
block cache,"1. ব্লক কেচ, 2. ব্লক কেচ / চুংক মেমৰি"
block check,ব্লক প্ৰ&#39;ব
block copy,ভলিউম কপি
block diagram,ব্লক ডায়াগ্ৰাম
blocking network,"1. ব্লক কৰা নেটৱৰ্ক, 2. ব্লক কৰা নেটৱাৰ্ক"
board,ব’ৰ্ড
book mark,পৃষ্ঠাৰ স্মৃতিশক্তি
boolean algebra,বুলিয়ান বীজগণিত
boolean relation,বুলিয়ান সম্পৰ্ক
boot partition,বুট বিভাজন
boot strapping,বুট ষ্ট্ৰেপিং
boot-strap loader,1.বুটষ্ট্ৰেপ লোডাৰ
bridge,"১.দলং, ২.দলং"
broadband networking,ব্ৰডবেণ্ড নেটৱৰ্ক
broadcast,সম্প্ৰচাৰ
broadcast radio,সম্প্ৰচাৰ ৰেডিঅ&#39;
browse,(নেট) ভ্যাৰিয়েন্স
browser,(নেট) ভিকাৰ
B-Tree,বি-ট্ৰু
bubble memory,"1.বাবল মেমৰি, 2.বাবল মেমৰি"
bubble sort,বুদবুদ সজাই পৰাই তোলা
bucket,"১.বাল্টি, ২.বাল্টি"
buddy system,"১.ভ্ৰাতৃত্ববোধ ব্যৱস্থা, ২.বৃহৎ ব্যৱস্থা"
budget effective control,বাজেট ফলপ্ৰসূ নিয়ন্ত্ৰণ
buffer,বাফাৰ
bug,অভাৱ
bus,বাছ
byte,"১.অষ্ট ব্যাংক, ২. বিট (আঠটা বিট)"
byte code,বাইট ক&#39;ড
c,C (কম্পিউটাৰ ভাষা)
C++,"1.C Plus Plus, 2.C++ (কম্পিউটাৰ ভাষা)"
cache,"১.নগদ ধন, ২. বেগাই"
cache buffer,"1.কেচ বাফাৰ, 2.মেমৰি বাফাৰ"
cache memory,"1.কেচ মেমৰি, 2.কেচ মেমৰি, 3.দ্ৰুত মেমৰি"
calculation,গণনা কৰা
calculator,"১.কেলকুলেটৰ, ২.কেলকুলেটৰ"
calculator chip,"1.কেলকুলেটৰ চিপ, 2. কেলকুলেটৰ চিপ"
call,আমন্ত্ৰণ কৰক
call by name,নাম কল
call by reference,ৰেফাৰেন্স কল
call by value,সন্মানীয় আহ্বান
call by variables,ভেৰিয়েবল কল
call gate,আমন্ত্ৰণ গেট
cancel,"1. বাতিল কৰক, 2. বাতিল কৰক"
cancel button,বাতিল বুটাম
canonical,"১.নিৰ্দিষ্ট কৰা, ২. কেননিক"
canonical form,কেননিক ৰূপ
capability,সক্ষমতা
capability list,ক্ষমতা তালিকা
capacity,"১.সামৰ্থ্য, ২. ধৰি ৰখা"
caps lock key,caps লক চাবি
card,"১.কাৰ্ড, ২. চাদৰ"
card reader,কাৰ্ড ৰিডাৰ
cardinality,প্ৰাধান্য
carrier,বাহক
carrier band,বাহক বেণ্ড
carrier load,বাহক বোজা
carrier signal,বাহক সংকেত
carrier wave,বাহক তৰংগ
carry,লাভ কৰা হৈছে
carry digit,স্ক’ৰ লাভ কৰা হৈছে
carry flag,অৰ্জন কৰা পতাকা
cartridge disk,"1.কাৰটিজ ডিস্ক, 2.কাৰটিজ ডিস্ক"
cascade,"1. কেছকেড, 2. কেছকেড"
case,ঘটনা
cathod ray tube (CRT),কেথ&#39;ড-ৰে-টিউব (CRT)
cathode ray tube (CRT),কেথ’ড ৰে টিউব (CRT) কেথ’ড ৰে টিউব
CD ROM disk drive,cd rom ডিস্ক ড্ৰাইভ
cell,কোষ
cell animation,কোষ এনিমেচন
cellular phone,চেলুলাৰ ফোন
central memory,"১.কেন্দ্ৰীয় স্মৃতি, ২. কেন্দ্ৰীয় স্মৃতিশক্তি"
central processing unit (CPU),কেন্দ্ৰীয় প্ৰক্ৰিয়াকৰণ একক (CPU)
centralized system,কেন্দ্ৰীভূত ব্যৱস্থা
certified tape,প্ৰমাণীকৃত টেপ
chain,শিকলি
chain data,"1.series ডাটা, 2.series বিষয়বস্তু"
chain link,শৃংখল সংযোগ
chaining,চেইনিং
channel,"১.চেনেল, ২.চেনেল"
channel busy tone,"1.চেনেল ব্যস্ত টোন, 2.চেনেল ব্যস্ত টোন"
channel capacity,"1.চেনেল ক্ষমতা, 2.চেনেল ক্ষমতা"
channel controller,"1.চেনেল নিয়ন্ত্ৰক, 2.চেনেল নিয়ন্ত্ৰক"
channel error,"1. চেনেল ত্ৰুটি, 2.চেনেল ত্ৰুটি"
channel program,"১.চেনেল প্ৰগ্ৰেম, ২.চেনেল প্ৰগ্ৰেম"
channel reliability,"1.চেনেল নিৰ্ভৰযোগ্যতা, 2.চেনেল নিৰ্ভৰযোগ্যতা"
channel set,"1.চেনেল ছেট, 2.চেনেল ছেট"
character,প্ৰতীক
character code,"১.আখৰৰ ক&#39;ড, ২. আখৰৰ ক&#39;ড"
character key,আখৰৰ চাবি
character reader,চৰিত্ৰ পাঠক
character size,"১.প্ৰতীকৰ আকাৰ, ২.প্ৰতীকৰ আকাৰ"
chart,চিত্ৰকল্প
chassis,"১.চেছিছ, ২.চেছিছ"
check bit,বিট পৰীক্ষা কৰক
check digit,চেক পইণ্ট
check sum,মুঠ পৰীক্ষা কৰক
check word,শব্দ পৰীক্ষা কৰক
chip,চিপ
chip set,চিপ চেট
choose,"1.বাছি লোৱা, 2.বাছি লোৱা"
chromatically,বৰ্ণানুক্ৰমে
cipher,"১.ছাফাৰ, ২. শূন্য, ৩. নাৱিক"
circuit,বৰ্তনী
circular list,বৃত্ত তালিকা
cirus,চেৰেছ
citation,উল্লেখ
class,"1.শ্ৰেণী, 2.শ্ৰেণী"
class variable,ক্লাছ ভেৰিয়েবল
classification,শ্ৰেণীবিভাজন
clear,স্ক্যাভেঞ্জিং
clear area,ক্লিয়াৰ কৰা অঞ্চল
clear channel,"1. চিস্টেম পৰিষ্কাৰ কৰক, 2. চেনেল পৰিষ্কাৰ কৰক"
click,টিপক
client,"১.গ্ৰাহক, ২. গ্ৰাহক"
client server,"1.ক্লায়েন্ট চাৰ্ভাৰ, 2.ক্লায়েন্ট চাৰ্ভাৰ"
client stub,গ্ৰাহকৰ ষ্টাব
clip art,শ্বিয়াৰিং আৰ্ট
clip art library,শ্বিয়াৰিং আৰ্ট লাইব্ৰেৰী
clip board,ক্লিপ বৰ্ড
clipper,ক্লিপাৰ
clipper chip,ক্লিপাৰ চিপ
clique,ফৈদ
clock,"1.ৱাচ, ২. calad"
clock cycle,ঘড়ীৰ চক্ৰ
clock frequency,ঘড়ীৰ কম্পাঙ্ক
clock hardware,কালাদ হাৰ্ডৱেৰ
clock pulse,কালাদ স্পেণ্ড
clock speed,ঘড়ীৰ গতি
clock synchronization,সময় সমন্বয়
clock tick,ঘড়ীৰ টিক
clone,ক্ল&#39;ন
close,বন্ধ কৰা
close circuit TV (CCTV),বন্ধ চাৰ্কিট টিভি (চিচিটিভি)
closure,বিৱৰণ
cloud computing,"১.ক্লাউড কম্পিউটিং, ২.ক্লাউড কম্পিউটিং"
cluster,মুঠি
coated card,"১.আবৃত কাৰ্ড, ২. আৱৰণযুক্ত শ্বীট"
coated paper,আৱৰণযুক্ত কাগজ
coaxial,সমাক্ষীয়
coaxial cable,সমাক্ষীয় কেবল
codasyl,কোডাচিল
code,"১.কোড, ২.কোড"
code generator,"1. ক&#39;ড জেনেৰেটৰ, 2. ক&#39;ড জেনেৰেটৰ"
code page,ক&#39;ড পৃষ্ঠা
code word,"১.কোড শব্দ, ২.কোড শব্দ"
coder,"১.কোডাৰ, ২.কোডাৰ"
coding check,"1. এনকোডিং পৰীক্ষা, 2. ক&#39;ডিং পৰীক্ষা"
coding form,এনকোডিং ফৰ্ম
coding sheet,"1. এনকোডিং শ্বীট, 2. ক&#39;ডিং শ্বীট"
coefficient,সহগ
coherence,সংহতি
cold boot,"1.কল্ড বুট, 2.কল্ড ষ্টাৰ্ট"
cold start,ঠাণ্ডা আৰম্ভণি
collaboration,সহযোগ
collapse,পতন হোৱা
collate,"১.সংলগ্নকৰণ, ২.সংযুক্ত কৰা"
collate tape,"1.সূচীভুক্ত টেপ, 2. callet টেপ"
collision,সংঘৰ্ষ
colon,বৃহদান্ত্ৰ
colour (color),"১.আখৰ, ২.ৰং"
colour saturation,ৰঙৰ পৰিপূৰকতা
colour table,ৰঙৰ টেবুল
column,স্তম্ভ
combination,সংমিশ্ৰণ
combo box,কম্পোজিট বাকচ
command,"১.আদেশ, ২.আদেশ"
command button,কমাণ্ড বুটাম
command list,কমাণ্ড তালিকা
comment,টোকা
commitment,"১/ প্ৰতিশ্ৰুতি, ২/ প্ৰতিশ্ৰুতি"
commodity,বস্তু
Common Business Oriented Language (Cobol),সাধাৰণ ব্যৱসায়মুখী ভাষা (COBOL)
common error,সাধাৰণ ভুল
common language,সাধাৰণ ভাষা
common routine,"১.সাধাৰণ নাম, ২. স্বাভাৱিক ৰুটিন"
communication,যোগাযোগ
communication line,যোগাযোগ লাইন
communication mode,যোগাযোগ ধৰণ
communication network,"1. যোগাযোগ নেটৱৰ্ক, 2. যোগাযোগ নেটৱৰ্ক"
communication parameter,যোগাযোগ প্ৰাচল
communication system,যোগাযোগ ব্যৱস্থা
compaction,সংকোচন
compander,কম্প্ৰেছাৰ
companding,কম্প্ৰেছন ট্ৰেন্সমিছন
company network,কোম্পানী নেটৱৰ্ক
comparison test,তুলনামূলক পৰীক্ষা
compatibility,"১.সামঞ্জস্যতা, ২.সামঞ্জস্যতা"
compatible,উপযুক্ত
compilation,সংকলন
compile and go,সংকলন আৰু নিষ্পাদন
compiler,"1.কম্পাইলাৰ, 2.প্ৰগ্ৰেম ট্ৰেন্সফাৰ"
compiler language,কম্পাইলাৰ ভাষা
complementary,পৰিপূৰক
complement-on-ten,দহৰ পৰিপূৰক
complementor,পৰিপূৰক
complete carry,"১/ সম্পূৰ্ণৰূপে অৰ্জন কৰা, ২. সম্পূৰ্ণৰূপে অৰ্জন কৰা"
complex,কম্পোজিট
complex number,জটিল সংখ্যা
component,সমষ্টিবাসী
component object model (COM),com
composite,গাঁঠি
composition,সংমিশ্ৰণ
computational,"১.গণনাযোগ্য, ২.গণনাযোগ্য"
computer,কম্পিউটাৰ
computer centre,কম্পিউটাৰ কেন্দ্ৰ
computer expert,কম্পিউটাৰ বিশেষজ্ঞ
computer graphics,কম্পিউটাৰ গ্ৰাফিক্স
computer instruction,কম্পিউটাৰৰ নিৰ্দেশনা
computer language,"১.কম্পিউটাৰ ভাষা, ২.কম্পিউটাৰ ভাষা"
computer network,"1. কম্পিউটাৰ নেটৱৰ্ক, 2. কম্পিউটাৰ নেটৱৰ্ক"
computer science,কম্পিউটাৰ বিজ্ঞান
computer security,কম্পিউটাৰ সুৰক্ষা
computer simulaton,কম্পিউটাৰ চিমুলেচন
computer specialist,কম্পিউটাৰ বিশেষজ্ঞ
computerisation,কম্পিউটাৰাইজেচন
computerist,কম্পিউটাৰিষ্ট
computerize,কম্পিউটাৰাইজেচন
computing,"১.গণনা, ২. গণনা"
concept,ধাৰণা
concurrency,"১.প্ৰতিসমতা, ২.সংহতি, ৩.সমন্বয়"
concurrent,"সমকালীন, একে"
condition variable,নিষেধাজ্ঞা চলক
conditional operator,নিষিদ্ধ অপাৰেটৰ
conditional statement,নিষিদ্ধ বিবৃতি
conductor,ড্ৰাইভাৰ
conferencing,"১.দূৰত্বৰ সন্মিলন, ২.সন্মিলন"
confidentiality,গোপনীয়তা
configuration,"1.বিন্যাস, 2.বিন্যাস"
congestion,ভিৰ
conjunction,সংমিশ্ৰণ
connect speed,সংযোগৰ গতি
connection,সংযোগ
connection less communication,সংযোগবিহীন যোগাযোগ
connection release,এফিলিয়েচন ৰিলিজ
connectivity,সংযোগ
connector,"1.সংযোগকাৰী, 2.সংযোগকাৰী"
consecutive,একেৰাহে
consequent,খতিয়ান লোৱা
console,কনছ&#39;ল
consolidation,একত্ৰীকৰণ
