Bengali,Kannada
সুযোগ সুবিধা,ಪ್ರವೇಶ ಸವಲತ್ತುಗಳು
অ্যাক্সেস নিরাপত্তা,ಪ್ರವೇಶ ಭದ್ರತೆ
"1. অ্যাক্সেস সার্ভার, 2. অ্যাক্সেস সার্ভার","1. ಪ್ರವೇಶ ಸರ್ವರ್, 2. ಪ್ರವೇಶ ಸರ್ವರ್"
প্রবেশাধিকার সময়,ಪ್ರವೇಶ ಸಮಯ
স্বীকৃতি,ಸ್ವೀಕೃತಿ
ধ্বনিবিদ্যা,ಅಕೌಸ್ಟಿಕ್ಸ್
"1. আদ্যক্ষর, 2. সংক্ষিপ্ত রূপ, 3. থেকে সংক্ষিপ্ত","1. ಸಂಕ್ಷಿಪ್ತ ರೂಪ, 2. ಸಂಕ್ಷೇಪಣ, 3. ನಿಂದ ಚಿಕ್ಕದಾಗಿದೆ"
কর্ম বার্তা,ಕ್ರಿಯೆಯ ಸಂದೇಶ
সক্রিয়করণ,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
সক্রিয় সার্ভার পৃষ্ঠা,ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ
সক্রিয় সংস্করণ,ಸಕ್ರಿಯ ಆವೃತ್ತಿ
অ্যাসাইক্লিক,ಅಸೈಕ್ಲಿಕ್
"1. অ্যাসাইক্লিক গ্রাফ, 2. অ্যাসাইক্লিক গ্রাফ","1. ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್, 2. ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್"
অ্যাডা কম্পিউটার ল্যাঙ্গুয়েজ,ಅದಾ ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ
"1. অপ্টিমাইজার, 2. অপ্টিমাইজার","1. ಆಪ್ಟಿಮೈಜರ್, 2. ಆಪ್ಟಿಮೈಜರ್"
যোগ করা),ಒಟ್ಟು)
সমষ্টি ফাইল,ಮೊತ್ತದ ಕಡತ
"1. সংযোজন অপারেশন, 2. যোগফল অপারেশন","1. ಸೇರ್ಪಡೆ ಕಾರ್ಯಾಚರಣೆ, 2. ಮೊತ್ತದ ಕಾರ್ಯಾಚರಣೆ"
যোগকারী,ಸೇರಿಸುವವನು
জানি,ಗೊತ್ತು
ঠিকানা বাস,ವಿಳಾಸ ಬಸ್
ঠিকানা ফাইল,ವಿಳಾಸ ಫೈಲ್
ঠিকানা বিন্যাস,ವಿಳಾಸ ಸ್ವರೂಪ
ঠিকানা জেনারেটর,ವಿಳಾಸ ಜನರೇಟರ್
ঠিকানা লাইন,ವಿಳಾಸ ಸಾಲು
ঠিকানা ম্যাপিং,ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್
ঠিকানা নির্দেশক,ವಿಳಾಸ ಸೂಚಕ
ঠিকানা রেজিস্টার,ವಿಳಾಸ ರಿಜಿಸ್ಟರ್
ঠিকানা ভাঙ্গন,ವಿಳಾಸ ಸ್ಥಗಿತ
ঠিকানা অনুবাদ,ವಿಳಾಸ ಅನುವಾದ
"1. ঠিকানাযোগ্য স্মৃতি, 2. ঠিকানাযোগ্য মেমরি","1. ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಮರಣೆ, 2. ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಮರಣೆ"
সম্বোধন,ಉದ್ದೇಶಿಸಿ
"1. পর্যাপ্ততার মানদণ্ড, 2. পর্যাপ্ততার মানদণ্ড","1. ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡ, 2. ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡ"
সংযুক্তি,ಬಾಂಧವ್ಯ
"1. ব্যবস্থাপনা, 2. নিয়ন্ত্রণ","1. ನಿರ್ವಹಣೆ, 2. ನಿಯಂತ್ರಣ"
"1. ম্যানেজার, 2. নিয়ামক","1. ಮ್ಯಾನೇಜರ್, 2. ನಿಯಂತ್ರಕ"
অ্যাডোবি অ্যাক্রোব্যাট,ಅಡೋಬ್ ಅಕ್ರೋಬ್ಯಾಟ್
অ্যাডোবি ফটোশপ,ಅಡೋಬ್ ಫೋಟೋಶಾಪ್
ABAP (অ্যাডভান্সড বিজনেস প্রোগ্রামিং),ABAP (ಸುಧಾರಿತ ವ್ಯಾಪಾರ ಪ್ರೋಗ್ರಾಮಿಂಗ್)
"1. উন্নত তথ্য, 2. উন্নত তথ্য","1. ಸುಧಾರಿತ ಡೇಟಾ, 2. ಸುಧಾರಿತ ಡೇಟಾ"
উন্নত তথ্য সিস্টেম,ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ
উন্নত প্রযুক্তি (AT),ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ (AT)
কর্ম,ಕ್ರಮ
সমষ্টি,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
বায়ুবাহিত কম্পিউটার সিস্টেম,ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ
aldus পৃষ্ঠা তৈরি,ಅಲ್ಡಸ್ ಪೇಜ್-ಮೇಕ್
সতর্কতা বাক্স,ಎಚ್ಚರಿಕೆ ಪೆಟ್ಟಿಗೆ
আলগোল (কম্পিউটার ভাষা),ಅಲ್ಗೋಲ್ (ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ)
"1. অ্যালগরিদম, 2. অ্যালগরিদম","1. ಅಲ್ಗಾರಿದಮ್, 2. ಅಲ್ಗಾರಿದಮ್"
"1. অ্যালগরিদম বিশ্লেষণ, 2. অ্যালগরিদম বিশ্লেষণ","1. ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ, 2. ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ"
অ্যালগরিদম দক্ষতা,ಅಲ್ಗಾರಿದಮ್ ದಕ್ಷತೆ
"1. ইলিয়াস, 2। ডাকনাম, ৩. ওরফে","1. ಎಲಿಯಾಸ್, 2. ಅಡ್ಡಹೆಸರು, 3. ಅಕಾ"
প্রান্তিককরণ,ಜೋಡಣೆ
"1. বরাদ্দ, 2. বরাদ্দ","1. ಹಂಚಿಕೆ, 2. ಹಂಚಿಕೆ"
"1. বর্ণানুক্রমিক, 2. বর্ণা ক্রমানুসারে","1. ವರ್ಣಮಾಲೆಯ, 2. ವರ್ಣಮಾಲೆಯ ಪ್ರಕಾರ"
আলফানিউমেরিক,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್
"1. আলফানিউমেরিক কীবোর্ড, 2. আলফানিউমেরিক কীবোর্ড","1. ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀಬೋರ್ಡ್, 2. ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀಬೋರ್ಡ್"
আলফা-পরীক্ষা (প্রথম স্তরের পরীক্ষা),ಆಲ್ಫಾ-ಪರೀಕ್ಷೆ (1 ನೇ ಹಂತದ ಪರೀಕ್ಷೆ)
"1. আলফা সংস্করণ, 2। আলফা ফর্ম","1. ಆಲ್ಫಾ ಆವೃತ್ತಿ, 2. ಆಲ್ಫಾ ರೂಪ"
alt কী,ಆಲ್ಟ್ ಕೀ
আলতাভিস্তা,ಅಲ್ಟಾವಿಸ್ತಾ
বহুগুণ,ಬಹುತ್ವ
অস্পষ্ট ব্যাকরণ,ಅಸ್ಪಷ್ಟ ವ್ಯಾಕರಣ
আমেরিকান ন্যাশনাল স্ট্যান্ডিস ইনস্টিটিউট (ANSI),ಅಮೇರಿಕನ್ ನ್ಯಾಷನಲ್ ಸ್ಟಾಂಡೀಸ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ (ANSI)
আমেরিকান স্ট্যান্ডার্ড কাট (ascii),ಅಮೇರಿಕನ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಕಟ್ (ascii)
"1. সাদৃশ্যপূর্ণ, 2. এনালগ","1. ಸಾದೃಶ್ಯ, 2. ಅನಲಾಗ್"
"1. এনালগ কম্পিউটার, 2. এনালগ কম্পিউটার","1. ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್, 2. ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್"
"1. এনালগ ডিভাইস, 2. এনালগ ডিভাইস","1. ಅನಲಾಗ್ ಸಾಧನ, 2. ಅನಲಾಗ್ ಸಾಧನ"
"1. এনালগ মডেম, 2. এনালগ মডেম","1. ಅನಲಾಗ್ ಮೋಡೆಮ್, 2. ಅನಲಾಗ್ ಮೋಡೆಮ್"
এনালগ থেকে ডিজিটাল কনভার্টার,ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್
শেষ (ডিজিটাল/প্লেন লজিক &#39;এবং&#39; ব্যবহৃত),ಅಂತ್ಯ (ಡಿಜಿಟಲ್/ಪ್ಲೇನ್ ಲಾಜಿಕ್ &#39;ಮತ್ತು&#39; ಬಳಸಲಾಗಿದೆ)
শেষ সার্কিট,ಅಂತಿಮ ಸರ್ಕ್ಯೂಟ್
শেষ গেট এবং গেট,ಕೊನೆಯ ಗೇಟ್ ಮತ್ತು ಗೇಟ್
শেষ নয় অপারেশন (বর্জন),ಮತ್ತು ಕಾರ್ಯಾಚರಣೆಯಲ್ಲ (ಹೊರಗಿಡುವಿಕೆ)
"1. অ্যানিমেশন, 2. কম্পন","1. ಅನಿಮೇಷನ್, 2. ಕಂಪನ"
বিঃদ্রঃ,ಸೂಚನೆ
অসঙ্গতি,ಅಸಂಗತತೆ
আগে,ಹಿಂದಿನ
প্রত্যাশিত পেজিং,ನಿರೀಕ್ಷಿತ ಪೇಜಿಂಗ್
কাউন্টার-সিমেট্রিক,ಪ್ರತಿ-ಸಮ್ಮಿತೀಯ
অ্যান্টিভাইরাল প্রোগ্রাম,ಆಂಟಿವೈರಲ್ ಪ್ರೋಗ್ರಾಂ
"1. অ্যাপলেট, 2। আবেদন","1. ಆಪ್ಲೆಟ್, 2. ಅಪ್ಲಿಕೇಶನ್"
অ্যাপ্লিকেশন ডেভেলপার,ಅಪ್ಲಿಕೇಶನ್ ಡೆವಲಪರ್
অ্যাপ্লিকেশন প্রোগ্রামিং,ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್
"1. অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস, 2. অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস (API)","1. ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್, 2. ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್ (API)"
অ্যাপ্লিকেশন সফ্টওয়্যার,ಅಪ್ಲಿಕೇಶನ್ ಸಾಫ್ಟ್ವೇರ್
অ্যাপ্লিকেশন ভাষা,ಅಪ್ಲಿಕೇಶನ್ ಭಾಷೆ
আনুমানিক নীতি,ಅಂದಾಜು ತತ್ವ
গঠন,ರಚನೆ
ক্ষেত্র স্থানান্তর,ಕ್ಷೇತ್ರ ವರ್ಗಾವಣೆ
"1. প্যারামিটার, স্বাধীন পরিবর্তনশীল, 2. কোণ","1. ನಿಯತಾಂಕ, ಸ್ವತಂತ್ರ ವೇರಿಯಬಲ್, 2. ಕೋನ"
"1. পাটিগণিত এবং যুক্তি ইউনিট, 2. পাটিগণিত এবং যুক্তি ইউনিট","1. ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ, 2. ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ"
পাটিগণিত পরীক্ষা,ಅಂಕಗಣಿತದ ಪರಿಶೀಲನೆ
গাণিতিক ধ্রুবক,ಅಂಕಗಣಿತದ ಸ್ಥಿರ
গাণিতিক তথ্য,ಅಂಕಗಣಿತದ ಡೇಟಾ
গাণিতিক নির্দেশ,ಅಂಕಗಣಿತದ ಸೂಚನೆ
গাণিতিক ও লজিক্যাল ইউনিট (ALU),ಗಣಿತ ಮತ್ತು ತಾರ್ಕಿಕ ಘಟಕ (ALU)
ARPA নেট (RPNet),ARPA ನೆಟ್ (RPNet)
অ্যারে,ಶ್ರೇಣಿ
"1. অ্যারে ক্যাশে, 2. অ্যারের গতি, 3. অ্যারে মেমরি","1. ರಚನೆಯ ಸಂಗ್ರಹ, 2. ರಚನೆಯ ವೇಗ, 3. ರಚನೆಯ ಮೆಮೊರಿ"
অ্যারে কম্পিউটার,ಅರೇ ಕಂಪ್ಯೂಟರ್
অ্যারে উপাদান,ರಚನೆಯ ಅಂಶ
অ্যারের নাম,ರಚನೆಯ ಹೆಸರು
অ্যারে প্রসেসর,ರಚನೆಯ ಪ್ರೊಸೆಸರ್
তীর কী,ಬಾಣದ ಕೀಲಿ
সন্ধি,ಒಪ್ಪಂದ
সংযোগ বিন্দু,ಜಂಕ್ಷನ್ ಪಾಯಿಂಟ್
কৃত্রিম কম্প্যাকশন,ಕೃತಕ ಸಂಕೋಚನ
কৃত্রিম নিয়ন্ত্রণ,ಕೃತಕ ನಿಯಂತ್ರಣ
কৃত্রিম অনুভূতি,ಕೃತಕ ಅರ್ಥದಲ್ಲಿ
মাউন্ট,ಆರೋಹಣ
আরোহী সাজানোর,ಆರೋಹಣ ರೀತಿಯ
ascii বর্ণমালা,ascii ವರ್ಣಮಾಲೆ
ascii নিয়ন্ত্রণ প্রতীক,ascii ನಿಯಂತ್ರಣ ಚಿಹ್ನೆ
ascii ফাইল,ascii ಫೈಲ್
ascii ফন্ট,ascii ಫಾಂಟ್
ASCII স্থানান্তর,ASCII ವರ್ಗಾವಣೆ
আনুমানিক অনুপাত,ಆಕಾರ ಅನುಪಾತ
"1. Aspy, 2. এএসপিআই","1. ಆಸ್ಪಿ, 2. ASPI"
এ এস আর কালাদ,ಎ ಎಸ್ ಆರ್ ಕಲಾದ್
"1. স্মরণ, 2. সমাবেশ, 3. জড় করা","1. ಸ್ಮರಣೆ, 2. ಜೋಡಣೆ, 3. ಜೋಡಿಸಲು"
"1. অ্যাসেম্বলার, 2. অনুস্মারক","1. ಅಸೆಂಬ್ಲರ್, 2. ಜ್ಞಾಪನೆ"
"1. সমাবেশ, 2. স্মরণ","1. ಜೋಡಿಸುವುದು, 2. ಸ್ಮರಣೆ"
"1. মুখস্থ ভাষা, 2. একত্রিত ভাষা","1. ಕಂಠಪಾಠ ಭಾಷೆ, 2. ಭಾಷೆ ಜೋಡಣೆ"
সংকল্প,ನಿರ್ಣಯ
"1. নির্দিষ্ট কাজ, 2. বরাদ্দ","1. ನಿಗದಿತ ಕೆಲಸ, 2. ಹಂಚಿಕೆ"
সাহচর্য,ಒಡನಾಟ
সহযোগী ঠিকানা,ಸಹಾಯಕ ವಿಳಾಸ
"1. সহযোগী স্মৃতি, 2. সহযোগী স্মৃতি","1. ಸಹಾಯಕ ಸ್ಮರಣೆ, 2. ಸಹಾಯಕ ಸ್ಮರಣೆ"
তারকাচিহ্ন (* চিহ্ন),ನಕ್ಷತ್ರ ಚಿಹ್ನೆ (* ಚಿಹ್ನೆ)
অপ্রতিসম,ಅಸಮ್ಮಿತ
"1. অ্যাসিঙ্ক্রোনাস, 2. অ্যাসিঙ্ক্রোনাস","1. ಅಸಮಕಾಲಿಕ, 2. ಅಸಮಕಾಲಿಕ"
অ্যাসিঙ্ক্রোনাস ডিজিটাল সাবস্ক্রাইবার লাইন (ADSL),ಅಸಮಕಾಲಿಕ ಡಿಜಿಟಲ್ ಚಂದಾದಾರರ ಸಾಲು (ADSL)
অ্যাসিঙ্ক্রোনাস টাইম ডিভিশন মাল্টিপ্লেক্সিং (ATDM),ಅಸಿಂಕ್ರೊನಸ್ ಟೈಮ್ ಡಿವಿಷನ್ ಮಲ್ಟಿಪ್ಲೆಕ್ಸಿಂಗ್ (ATDM)
অ্যাসিঙ্ক্রোনাস স্থানান্তর,ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ
অ্যাসিঙ্ক্রোনাস ট্রান্সফার মোড (এটিএম),ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ ಮೋಡ್ (ATM)
"1. পরমাণু, 2. পরমণ","1. ಪರಮಾಣು, 2. ಪರಮನ್"
সংযুক্ত নথি,ಲಗತ್ತಿಸಲಾದ ಡಾಕ್ಯುಮೆಂಟ್
"1. সংযুক্ত ফাইল/মিসিল, 2. সংযুক্ত ফাইল","1. ಲಗತ್ತಿಸಲಾದ ಫೈಲ್/ಮಿಸಿಲ್, 2. ಲಗತ್ತಿಸಲಾದ ಕಡತ"
"1. ঘের, 2. সম্বন্ধযুক্ত","1. ಆವರಣ, 2. ಸಂಯೋಜಿತ"
"1. বৈশিষ্ট্য, 2. বিশেষত্ব","1. ಗುಣಲಕ್ಷಣಗಳು, 2. ವಿಶೇಷತೆ"
শ্রবণযোগ্য,ಶ್ರವ್ಯ
"1. অডিট প্রোগ্রামিং, 2. অডিট প্রোগ্রামিং","1. ಆಡಿಟ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಆಡಿಟ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್"
অ্যাকাউন্ট পরীক্ষা,ಖಾತೆ ಪರಿಶೀಲನೆ
পদোন্নতি,ಪ್ರಚಾರ
সার্টিফিকেশন প্রোটোকল,ಪ್ರಮಾಣೀಕರಣ ಪ್ರೋಟೋಕಾಲ್
রচনা পদ্ধতি,ಲೇಖಕರ ವಿಧಾನ
"1. কর্তৃপক্ষ, 2. কর্তৃপক্ষ, 3. ট্রাইব্যুনাল","1. ಪ್ರಾಧಿಕಾರ, 2. ಅಧಿಕಾರ, 3. ನ್ಯಾಯಮಂಡಳಿ"
স্বয়ংক্রিয় বিমূর্ত,ಸ್ವಯಂ ಅಮೂರ್ತ
"1. অটো বুটিং, 2. স্ব বুট","1. ಸ್ವಯಂ ಬೂಟಿಂಗ್, 2. ಸ್ವಯಂ ಬೂಟ್"
অটোক্যাড (একটি কম্পিউটার ভাষা),ಆಟೋಕ್ಯಾಡ್ (ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ)
স্বয়ংক্রিয় লগ-অন,ಸ್ವಯಂ ಲಾಗ್-ಆನ್
স্বয়ংক্রিয়,ಸ್ವಯಂಚಾಲಿತ
স্বয়ংক্রিয় তত্ত্ব,ಸ್ವಯಂಚಾಲಿತ ಸಿದ್ಧಾಂತ
স্বয়ংক্রিয় গণনা,ಸ್ವಯಂಚಾಲಿತ ಲೆಕ್ಕಾಚಾರ
স্বয়ংক্রিয় তথ্য প্রক্রিয়াকরণ,ಸ್ವಯಂಚಾಲಿತ ಡೇಟಾ ಸಂಸ್ಕರಣೆ
স্বয়ংক্রিয় ত্রুটি সংশোধন,ಸ್ವಯಂಚಾಲಿತ ದೋಷ ತಿದ್ದುಪಡಿ
স্বয়ংক্রিয় ফাংশন,ಸ್ವಯಂ ಕಾರ್ಯ
"1. স্বয়ংক্রিয় সূচীকরণ, 2. স্বয়ংক্রিয় তালিকা","1. ಸ್ವಯಂಚಾಲಿತ ಇಂಡೆಕ್ಸಿಂಗ್, 2. ಸ್ವಯಂಚಾಲಿತ ಪಟ್ಟಿ"
স্বয়ংক্রিয় সংগ্রহ কল,ಸ್ವಯಂ ಸಂಗ್ರಹ ಕರೆ
"1. স্বয়ংক্রিয় প্রোগ্রামিং, 2. স্বয়ংক্রিয় প্রোগ্রামিং","1. ಸ್ವಯಂಚಾಲಿತ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸ್ವಯಂಚಾಲಿತ ಪ್ರೋಗ್ರಾಮಿಂಗ್"
"1. স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম, 2. স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম","1. ಸ್ವಯಂಚಾಲಿತ ಚೇತರಿಕೆ ಪ್ರೋಗ್ರಾಂ, 2. ಸ್ವಯಂಚಾಲಿತ ಚೇತರಿಕೆ ಪ್ರೋಗ್ರಾಂ"
স্বয়ংক্রিয় রুটিন,ಸ್ವಯಂ ದಿನಚರಿ
স্বয়ংক্রিয় সিস্টেম পুনরুদ্ধার,ಸ್ವಯಂಚಾಲಿತ ಸಿಸ್ಟಮ್ ಚೇತರಿಕೆ
"1. অটোমেটিক টেলার মেশিন (ATM), 2. নিজে তোলার জন্য ব্যাঙ্ক এটিএম","1. ಸ್ವಯಂಚಾಲಿತ ಟೆಲ್ಲರ್ ಯಂತ್ರಗಳು (ATM), 2. ಸ್ವಯಂ ಹಿಂಪಡೆಯಲು ಬ್ಯಾಂಕ್ ಎಟಿಎಂ"
অটোমেশন,ಯಾಂತ್ರೀಕೃತಗೊಂಡ
"1. অটোপ্লে, 2. স্বয়ংক্রিয় হাঁটা","1. ಸ್ವಯಂಪ್ಲೇ, 2. ಆಟೋ ನಡಿಗೆ"
কণ্ঠস্বর,ಗಾಯನ
সহকারী,ಸಹಾಯಕ
অক্জিলিয়ারী মেমরি,ಸಹಾಯಕ ಸ್ಮರಣೆ
অক্জিলিয়ারী স্টোরেজ,ಸಹಾಯಕ ಸಂಗ್ರಹಣೆ
প্রাপ্তিসাধ্য তালিকা,ಲಭ್ಯವಿರುವ ಪಟ್ಟಿ
উপলব্ধ সময়,ಲಭ್ಯವಿರುವ ಸಮಯ
গড়,ಸರಾಸರಿ
AWK (একটি কম্পিউটার কমান্ড),AWK (ಕಂಪ್ಯೂಟರ್ ಆಜ್ಞೆ)
পরে,ನಂತರ
পোস্ট প্রসেসর,ಪೋಸ್ಟ್ ಪ್ರೊಸೆಸರ್
পোস্টেরিয়র ফাংশন মুছে ফেলা,ಹಿಂಭಾಗದ ಕಾರ್ಯ ಅಳಿಸುವಿಕೆ
পটভূমি প্রক্রিয়াকরণ,ಹಿನ್ನೆಲೆ ಸಂಸ್ಕರಣೆ
আনুষঙ্গিক দোকান,ಪೂರಕ ಅಂಗಡಿಗಳು
ব্যাক প্যাচিং,ಮತ್ತೆ ಪ್ಯಾಚಿಂಗ್
"1. পশ্চিম, 2. ব্যাকস্পেস","1. ಪಶ್ಚಿಮ, 2. ಬ್ಯಾಕ್‌ಸ್ಪೇಸ್"
ব্যাকট্র্যাকিং,ಬ್ಯಾಕ್‌ಟ್ರ್ಯಾಕಿಂಗ್
"1. ব্যাক আপ, 2. প্রতিদান","1. ಬ್ಯಾಕ್ ಅಪ್, 2. ಮರುಪಾವತಿ"
"1. পরিপূরক স্মৃতি, 2. ব্যাক আপ মেমরি","1. ಪೂರಕ ಸ್ಮರಣೆ, 2. ಬ್ಯಾಕ್-ಅಪ್ ಮೆಮೊರಿ"
পিছনে ত্রুটি সংশোধন,ಹಿಂದಿನ ದೋಷ ತಿದ್ದುಪಡಿ
(আয়-ব্যয়) ব্যালেন্স শীট,(ಆದಾಯ-ವೆಚ್ಚ) ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್
ব্যান্ডেজ,ಬ್ಯಾಂಡೇಜ್
"1. ব্যান্ড প্রস্থ, 2. ব্যান্ডউইথ/ক্ষমতা","1. ಬ್ಯಾಂಡ್ ಅಗಲ, 2. ಬ್ಯಾಂಡ್‌ವಿಡ್ತ್/ಸಾಮರ್ಥ್ಯ"
ব্যাংকারের অ্যালগরিদম,ಬ್ಯಾಂಕರ್ ಅಲ್ಗಾರಿದಮ್
"1. বার কোড, 2. বার কোড","1. ಬಾರ್ ಕೋಡ್, 2. ಬಾರ್ ಕೋಡ್"
বারকোড স্ক্যানার,ಬಾರ್ಕೋಡ್ ಸ್ಕ್ಯಾನರ್
বার গ্রাফ,ಬಾರ್ ಗ್ರಾಫ್
ভিত্তি ঠিকানা,ಮೂಲ ವಿಳಾಸ
বেস ব্যান্ড,ಬೇಸ್ ಬ್ಯಾಂಡ್
