Marathi,Tamil
परिपूर्ण प्रकाश वक्र,முழுமையான ஒளி வளைவு
परिपूर्ण परिमाण,முழுமையான அளவு
परिपूर्ण बॅरोमीटर,முழுமையான காற்றழுத்தமானி
सर्वोच्च सर्वोच्च,உச்ச உச்ச
पूर्ण टोक,முழுமையான தீவிர
परिपूर्ण सर्वात कमी,முற்றிலும் குறைந்த
परिपूर्ण गती,முழுமையான வேகம்
परिपूर्ण गती,முழுமையான வேகம்
परिपूर्ण संगीत,முழுமையான இசை
परिपूर्ण निरीक्षण,முழுமையான கவனிப்பு
परिपूर्ण ओम,முழுமையான ஓம்
परिपूर्ण अभिमुखता,முழுமையான நோக்குநிலை
परिपूर्ण विद्युत ऋणात्मकता,முழுமையான எலக்ட்ரோநெக்டிவிட்டி
परिपूर्ण गुरुत्व,முழுமையான ஈர்ப்பு
परिपूर्ण दबाव,முழுமையான அழுத்தம்
परिपूर्ण मालमत्ता,முழுமையான சொத்து
परिपूर्ण स्केलर,முழுமையான அளவிடல்
तापमानाचे अंतिम प्रमाण*,வெப்பநிலையின் இறுதி அளவு*
"परिपूर्ण समक्रमण, परिपूर्ण समक्रमण","absolute synchrony, absolute synchrony"
पूर्ण ताण,முழுமையான மன அழுத்தம்
परिपूर्ण सममिती,முழுமையான சமச்சீர்
परिपूर्ण गती शरीर,முழுமையான இயக்க உடல்
परिपूर्ण एकक प्रणाली,முழுமையான அலகு அமைப்பு
परिपूर्ण तापमान,முழுமையான வெப்பநிலை
परिपूर्ण वेळ,முழுமையான நேரம்
निरपेक्ष एकके,முழுமையான அலகுகள்
परिपूर्ण मूल्य,துல்லியமான மதிப்பு
पूर्णांक कॅल्क्युलेटर,முழு எண் கால்குலேட்டர்
परिपूर्ण वेग,முழுமையான வேகம்
परिपूर्ण चिकटपणा,முழுமையான பாகுத்தன்மை
परिपूर्ण वजन,முழுமையான எடை
पूर्ण शून्य*,முழுமையான பூஜ்ஜியம்*
शून्याचा पूर्ण विभाजक,பூஜ்ஜியத்தின் முழுமையான வகுப்பான்
शोषून घेणे,உறிஞ்சி
शोषक निर्देशांक*,உறிஞ்சுதல் குறியீடு*
शोषलेली ऊर्जा,உறிஞ்சப்பட்ட ஆற்றல்
"शोषक, शोषक","உறிஞ்சும், உறிஞ்சும்"
शोषक माध्यम*,உறிஞ்சும் ஊடகம்*
शोषण क्षमता,உறிஞ்சும் திறன்
शोषण,உறிஞ்சுதல்
शोषणमापक*,உறிஞ்சும் அளவி*
शोषणमापन*,உறிஞ்சும் அளவீடு*
शोषण,உறிஞ்சுதல்
शोषण - बँड*,உறிஞ்சுதல் - இசைக்குழு*
शोषण सर्किट,உறிஞ்சுதல் சுற்று
शोषण गुणांक,உறிஞ்சுதல் குணகம்
शोषण स्तंभ,உறிஞ்சுதல் நெடுவரிசை
अवशोषण स्थिर,உறிஞ்சுதல் மாறிலி
शोषण सातत्य,உறிஞ்சுதல் தொடர்ச்சி
शोषण क्षेत्र,உறிஞ்சுதல் மண்டலம்
शोषण प्रवाह,உறிஞ்சுதல் மின்னோட்டம்
शोषण वक्र*,உறிஞ்சுதல் வளைவு*
शोषण फ्रॅक्चर,உறிஞ்சுதல் முறிவு
शोषण कोर,உறிஞ்சுதல் மைய
शोषण घटक,உறிஞ்சுதல் காரணி
शोषण फिल्टर,உறிஞ்சுதல் வடிகட்டி
शोषण फ्लेम फोटोमेट्री*,உறிஞ்சுதல் ஃபிளேம் ஃபோட்டோமெட்ரி*
शोषण हायग्रोमीटर,உறிஞ்சும் ஹைக்ரோமீட்டர்
शोषण घातांक,உறிஞ்சுதல் அடுக்கு
शोषण सीमांत,உறிஞ்சுதல் விளிம்பு
शोषण रेखा,உறிஞ்சுதல் வரி
शोषण नुकसान,உறிஞ்சுதல் இழப்பு
शोषण मॉड्यूलेशन,உறிஞ்சுதல் பண்பேற்றம்
प्रकाश शोषण,ஒளி உறிஞ்சுதல்
रेडिएशन उर्जेचे शोषण,கதிர்வீச்சு ஆற்றலை உறிஞ்சுதல்
शोषण शिखर,உறிஞ்சுதல் உச்சம்
शोषण फोटोमेट्री,உறிஞ்சுதல் ஒளி அளவீடு
शोषण प्रमाण,உறிஞ்சுதல் விகிதம்
शोषण श्रेणी*,உறிஞ்சுதல் வரம்பு*
शोषण स्पेक्ट्रम फोटोमेट्री*,உறிஞ்சும் நிறமாலை ஒளி அளவீடு*
शोषण स्पेक्ट्रम*,உறிஞ்சுதல் ஸ்பெக்ட்ரம்*
"शोषक नळी, शोषक नळी","உறிஞ்சும் குழாய், உறிஞ்சும் குழாய்"
शोषण हायग्रोमीटर,உறிஞ்சும் ஹைக்ரோமீட்டர்
शोषक*,உறிஞ்சக்கூடிய*
शोषक बाष्पीभवक,உறிஞ்சும் ஆவியாக்கி
शोषण कायदा*,உறிஞ்சுதல் சட்டம்*
शोषण माध्यम,உறிஞ்சுதல் ஊடகம்
"शोषक क्षमता, शोषकता*","உறிஞ்சும் திறன், உறிஞ்சுதல்*"
शोषण*,உறிஞ்சுதல்*
स्टुडिओ सजावट,ஸ்டூடியோ அலங்காரம்
गुणोत्तर गुणोत्तर,பன்மடங்கு விகிதம்
उद्धटपणा,கைவிடு
बद्दल,பற்றி
गती वाढवणे,முடுக்கி
प्रवेग-थांबा अंतर,முடுக்கம்-நிறுத்த தூரம்
घाई केली,விரைந்தார்
द्रुत वेळ प्रभाव चाचणी,விரைவான நேர விளைவு சோதனை
जलद प्रवाह,விரைவான ஓட்டம்
जलद गती,விரைவான வேகம்
द्रुत शरीर,விரைவான உடல்
प्रवेगक तोलणारा,முடுக்கி எடை
प्रवेगक इलेक्ट्रोड*,முடுக்கி மின்முனை*
प्रवेगक वेळ*,முடுக்கி நேரம்*
प्रवेगक टप्पा,முடுக்கி கட்டம்
प्रवेगक दर,முடுக்கி விகிதம்
प्रवेगक व्होल्टेज*,முடுக்கி மின்னழுத்தம்*
प्रवेग,முடுக்கம்
प्रवेगक ज्वलन,துரிதப்படுத்தப்பட்ட எரிப்பு
प्रवेग गुणांक,முடுக்கம் குணகம்
प्रवेग घटक,முடுக்கம் கூறு
गुरुत्वाकर्षणामुळे प्रवेग,புவியீர்ப்பு காரணமாக முடுக்கம்
प्रवेग घटक,முடுக்கம் காரணி
प्रवेगक शुल्क,துரிதப்படுத்தப்பட்ட கட்டணம்
गुरुत्वाकर्षणाचा प्रवेग,ஈர்ப்பு முடுக்கம்
प्रवेग क्षमता,முடுக்கம் சாத்தியம்
प्रवेग कायदा,முடுக்கம் சட்டம்
प्रवेग प्रक्रिया,முடுக்கம் செயல்முறை
प्रवेग क्षेत्र,முடுக்கம் மண்டலம்
प्रवेग पद्धत,முடுக்கம் முறை
"प्रवेग सहिष्णुता, प्रवेग सहिष्णुता","முடுக்கம் சகிப்புத்தன்மை, முடுக்கம் சகிப்புத்தன்மை"
प्रवेग वेक्टर,முடுக்கம் திசையன்
प्रवेग-व्होल्टेज,முடுக்கம்-மின்னழுத்தம்
प्रवेग लहर,முடுக்கம் அலை
प्रवेगक,முடுக்கி
"प्रवेग, प्रवेगक*","முடுக்கி, முடுக்கி*"
प्रवेगक समीकरण,முடுக்கி சமன்பாடு
प्रवेगक*,முடுக்கி*
प्रवेगमापक,முடுக்கமானி
एक्सीलरोमीटर जुळणी,முடுக்கமானி பொருத்தம்
prestresser,முன் அழுத்தம் கொடுப்பவர்
वैध वर्ण,சரியான எழுத்துக்கள்
स्वीकृती कोन,ஏற்றுக்கொள்ளும் கோணம்
स्वीकृती तपशील,ஏற்றுக்கொள்ளும் விவரக்குறிப்பு
स्वीकार्य चाचणी,ஏற்றுக்கொள்ளக்கூடிய சோதனை
"स्वीकारणारा*, स्वीकारणारा","ஏற்பவர்*, ஏற்பவர்"
रिसेप्टर अणू,ஏற்பி அணு
रिसेप्टर बाँड,ஏற்பி பிணைப்பு
रिसीव्हर सर्किट,பெறுதல் சுற்று
रिसेप्टर पातळी,ஏற்பி நிலை
दाता रेणू,நன்கொடையாளர் மூலக்கூறு
रिसेप्टर गुणधर्म,ஏற்பி சொத்து
रिसेप्टर गुणधर्म पातळी,ஏற்பி சொத்து நிலை
प्रवेगक नळी,முடுக்கி குழாய்
"प्रवेश, प्रतीक्षा, प्रवेश","அணுகல், காத்திருப்பு, அணுகல்"
भुज प्रवेश,புஜை அணுகவும்
प्रवेश प्रणाली,அணுகல் அமைப்பு
प्रवेश वेळ,அணுகல் நேரம்
प्रवेशयोग्यता,அணுகல்
"अतिरिक्त, सहाय्यक, सहायक (v, ), उपकरणे","கூடுதல், துணை, துணை (v, ), துணைக்கருவிகள்"
अतिरिक्त निर्बंध,கூடுதல் கட்டுப்பாடுகள்
संधी योगायोग,தற்செயல்
अपघाती सुधारणा,தற்செயலான திருத்தம்
अपघाती बायोजेनेसिस,தற்செயலான உயிர் உருவாக்கம்
अपघाती वळवणे,தற்செயலான திசைதிருப்பல்
अभ्यागत त्रुटी,பார்வையாளர் பிழை
"अचानक थांबणे, अचानक पकडणे","திடீர் நிறுத்தம், திடீர் கவ்வி"
अपघाती प्रेषण,தற்செயலான பரிமாற்றம்
यादृच्छिक भिन्नता,சீரற்ற மாறுபாடு
समायोजन,சரிசெய்தல்
स्थानबद्ध,அமைந்துள்ளது
संचित त्रुटी,திரட்டப்பட்ட பிழை
"जमा करणे, जमा करणे","திரட்சி, குவிப்பு"
ऊर्जा साठवण,ஆற்றல் சேமிப்பு
संचयक*,திரட்டி*
अचूकता,துல்லியம்
वास्तव,யதார்த்தம்
वास्तविक साधन निरीक्षण,உண்மையான கருவி கவனிப்பு
अचूक श्रेणी मार्कर,துல்லியமான வரம்பு குறிப்பான்
अचूक स्कॅनिंग,துல்லியமான ஸ்கேனிங்
सराव,பயிற்சி
प्रवेगक सेल*,முடுக்கி செல்*
अक्रोमॅटिक लेन्स*,நிறமற்ற லென்ஸ்*
अक्रोमॅटिक*,நிறமற்ற*
अॅक्रोमॅटिक विश्लेषक,நிறமற்ற பகுப்பாய்வி
वारंवारता तटस्थ अँटेना,அதிர்வெண் நடுநிலை ஆண்டெனா
अक्रोमॅटिक आकार,நிறமற்ற வடிவம்
अक्रोमॅटिक फ्रिंज,நிறமற்ற விளிம்பு
अक्रोमॅटिक लेन्स*,நிறமற்ற லென்ஸ்*
अक्रोमॅटिक पॉइंट पथ,நிறமற்ற புள்ளி பாதை
अॅक्रोमॅटिक लेन्स,நிறமற்ற லென்ஸ்
अॅक्रोमॅटिक प्रिझम,வண்ணப் பட்டகம்
अॅक्रोमॅटिक टेलिस्कोप,வண்ணமயமான தொலைநோக்கி
रंगद्रव्य*,நிறமற்ற தன்மை*
अॅक्रोमॅटायझेशन*,நிறமாற்றம்*
अक्रोमॅटिकता*,நிறமற்ற தன்மை*
"लवचिक, अपवर्तक, अपवर्तक","மீள், பயனற்ற, பயனற்ற"
"एकोर्न नळी, बंजू नळी","ஏகோர்ன் ஹோஸ், பாஞ்சு ஹோஸ்"
सूक्ष्म झडप,மினியேச்சர் வால்வு
इकोफोनी,அகோஃபோனி
ध्वनिक,ஒலியியல்
ध्वनिक शोषकता,ஒலி உறிஞ்சுதல்
ध्वनिक क्षीणन गुणांक,ஒலியியல் குறைப்பு குணகம்
ध्वनिक क्षीणन,ஒலிக் குறைப்பு
ध्वनिक चोर अलार्म,ஒலி திருடன் அலாரம்
ध्वनिक क्षमता,ஒலியியல் கொள்ளளவு
श्रवण केंद्र,கேட்கும் மையம்
ध्वनिक स्पष्टीकरण,ஒலியியல் விளக்கம்
ध्वनिक आवरण,ஒலி உறை
ध्वनिक प्रतिसाद,ஒலி பதில்
ध्वनिक घटक,ஒலியியல் கூறு
ध्वनिक चालकता,ஒலி கடத்துத்திறன்
ध्वनिक ओलसर,ஒலி தணித்தல்
ध्वनिक फैलाव,ஒலி சிதறல்
ध्वनी हॅकर,ஒலி ஹேக்கர்
ध्वनिक ऊर्जा*,ஒலி ஆற்றல்*
ध्वनिक ऊर्जा समीकरण,ஒலி ஆற்றல் சமன்பாடு
ध्वनिक समीकरण,ஒலி சமன்பாடு
ध्वनिक पुनर्स्थापना,ஒலி மறுசீரமைப்பு
क्लॅडनी आकार,கிளாட்னி வடிவங்கள்
ध्वनिक फिल्टर,ஒலி வடிகட்டி
ध्वनी जनरेटर,ஒலி ஜெனரேட்டர்
ध्वनिक जाळी,ஒலி தட்டு
ध्वनिक प्रतिबाधा*,ஒலி மின்மறுப்பு*
ध्वनिक जडत्व,ஒலி மந்தநிலை
ध्वनिक तीव्रता,ஒலி தீவிரம்
ध्वनिक हस्तक्षेप मीटर,ஒலி குறுக்கீடு மீட்டர்
ध्वनिक हस्तक्षेप डिटेक्टर,ஒலி குறுக்கீடு கண்டறிதல்
ध्वनिक लेन्स,ஒலி லென்ஸ்
ध्वनी ओळ,ஒலி வரி
ध्वनिक वस्तुमान,ஒலி நிறை
ध्वनिक साहित्य,ஒலி பொருள்
ध्वनिक अर्थ मुक्त मार्ग,ஒலியியல் என்பது இலவச பாதை
ध्वनिक मोड,ஒலி முறை
ध्वनिक आवाज,ஒலி சத்தம்
ध्वनिक ओम*,ஒலி ஓம்*
"ध्वनिक पॅनेल, ध्वनिक मंडळ","ஒலியியல் குழு, ஒலி பலகை"
ध्वनिक टप्पा स्थिर,ஒலி நிலை மாறிலி
ध्वनिक प्राप्तकर्ता,ஒலி ரிசீவர்
ध्वनिक दाब,ஒலி அழுத்தம்
ध्वनीचा सममिती नियम,ஒலியின் சமச்சீர் விதி
ध्वनिक प्रसारण,ஒலி பரிமாற்றம்
ध्वनिक गुणधर्म,ஒலியியல் பண்புகள்
अकौस्टिक क्वाड्रपोल,ஒலி நாற்புறம்
ध्वनिक विकिरण घटक,ஒலி கதிர்வீச்சு உறுப்பு
ध्वनिक विकिरण,ஒலி கதிர்வீச்சு
ध्वनीरोधक,ஒலி எதிர்ப்பு
ध्वनिक रेडिओमीटर,ஒலி ரேடியோமீட்டர்
ध्वनिक प्रतिसाद,ஒலி அதிர்ச்சி
ध्वनिक परस्पर प्रमेय,ஒலி பரஸ்பர தேற்றம்
ध्वनिक घट घटक,ஒலி குறைப்பு காரணி
ध्वनिक परावर्तन गुणांक,ஒலி பிரதிபலிப்பு குணகம்
ध्वनिक अपवर्तन,ஒலி ஒளிவிலகல்
ध्वनिक प्रतिकार,ஒலி எதிர்ப்பு
ध्वनिक प्रतिसाद,ஒலி பதில்
ध्वनिक विखुरणे,ஒலி சிதறல்
श्रवण बिंदू,கேட்கும் புள்ளி
ध्वनिक कडकपणा,ஒலி விறைப்பு
ध्वनिक प्रणाली,ஒலி அமைப்பு
ध्वनिक थर्मामीटर,ஒலி வெப்பமானி
ध्वनिक वेग,ஒலி வேகம்
ध्वनी लहर,ஒலி அலை
ध्वनिक,ஒலியியல்
ध्वनी शोषण गुणांक,ஒலி உறிஞ்சுதல் குணகம்
ध्वनी शोषण घटक,ஒலி உறிஞ்சுதல் கூறு
ध्वनिक सर्किट,ஒலி சுற்று
ध्वनिक प्रतिसाद,ஒலி பதில்
ध्वनिक विलंब रेखा,ஒலி தாமதக் கோடு
ध्वनिक विकृती,ஒலி சிதைவு
ध्वनिक ध्वनीशास्त्र,ஒலி ஒலியியல்
ध्वनिक फिल्टर,ஒலி வடிகட்டி
ध्वनिक प्रतिबाधा*,ஒலி மின்மறுப்பு*
फोनोग्राफ,ஃபோனோகிராஃப்
ध्वनिक ओम*,ஒலி ஓம்*
ध्वनिक स्थिरांक,ஒலி மாறிலி
ध्वनिक फोनन,ஒலி ஃபோனான்
ध्वनिक प्रसारण स्थिर,ஒலி பரிமாற்ற மாறிலி
ध्वनी रूपांतरण गुणांक,ஒலி மாற்று குணகம்
ध्वनिक प्रतिकार,ஒலி எதிர்ப்பு
ध्वनिक कडकपणा,ஒலி விறைப்பு
ध्वनी युनिट,ஒலி அலகு
ध्वनीरोधक,ஒலி எதிர்ப்பு
अकौस्टिक साइड लाइन,ஒலி பக்கக் கோடு
"ध्वनीशास्त्र, ध्वनीशास्त्र","ஒலியியல், ஒலியியல்"
ध्वनी मीटर,ஒலி மீட்டர்
ध्वनी दाब,ஒலி அழுத்தம்
संपादन रडार,கையகப்படுத்தல் ரேடார்
प्रकाशसंश्लेषक विकिरण,ஒளிச்சேர்க்கை கதிர்வீச்சு
ऍक्टिनियम उत्सर्जन,ஆக்டினியம் உமிழ்வு
ऍक्टिनो-युरेनियम,ஆக்டினோ-யுரேனியம்
ऍक्टिनो-युरेनियम मालिका,ஆக்டினோ-யுரேனியம் தொடர்
रेडिओइलेक्ट्रिक,கதிரியக்க மின்சாரம்
"ऍक्टिनोमीटर, फोटोमायक्रोमीटर","ஆக்டினோமீட்டர், ஃபோட்டோமிக்ரோமீட்டர்"
"कृती, कृती","செயல், செயல்"
क्रिया आणि प्रतिक्रिया,செயல் மற்றும் எதிர்வினை
क्रिया स्थिर,செயல் மாறிலி
प्रभाव क्षेत्र,செல்வாக்கு மண்டலம்
"सक्रिय, सक्रिय","செயல்படுத்தப்பட்டது, செயல்படுத்தப்பட்டது"
सक्रिय प्रसार,செயலில் பரவல்
"सक्रिय फायबर, सक्रिय फायबर","செயல்படுத்தப்பட்ட ஃபைபர், செயல்படுத்தப்பட்ட ஃபைபர்"
सक्रियकरण प्रभाव,செயல்படுத்தும் விளைவு
सक्रियकरण प्रभाव,செயல்படுத்தும் விளைவு
सक्रियकरण विश्लेषण,செயல்படுத்தும் பகுப்பாய்வு
क्रियाकलाप केंद्र,செயல்பாட்டு மையம்
सक्रियकरण परीक्षक,செயல்படுத்தும் சோதனையாளர்
सक्रियता ऊर्जा,செயல்படுத்தும் ஆற்றல்
सक्रियकरण एन्ट्रॉपी,செயல்படுத்தும் என்ட்ரோபி
सक्रियकरण ओव्हरव्होल्टेज,செயல்படுத்தல் அதிக மின்னழுத்தம்
सक्रियता दर,செயல்படுத்தும் விகிதம்
"सक्रिय करणारा, सक्रिय करणारा","செயல்படுத்துபவர், செயல்படுத்துபவர்"
सक्रिय करणारा अणू,செயல்படுத்தும் அணு
प्रवेगक,முடுக்கி
सक्रिय शोषण,செயலில் உறிஞ்சுதல்
सक्रिय हवाई,செயலில் வான்வழி
रेडिएशन धोक्याचे क्षेत्र,கதிர்வீச்சு ஆபத்து மண்டலம்
सक्रिय डिव्हाइस,செயலில் உள்ள சாதனம்
सक्रिय लक्ष्यीकरण,செயலில் இலக்கு
सक्रिय हायड्रोजन*,செயலில் உள்ள ஹைட்ரஜன்*
सक्रिय जाळी,செயலில் கண்ணி
सक्रिय ओळ सक्रिय ओळ,செயலில் வரி செயலில் வரி
सक्रिय लूप,செயலில் வளையம்
सक्रिय कोड*,செயலில் உள்ள குறியீடு*
सक्रिय घटक,செயலில் உள்ள பொருட்கள்
सक्रिय रेणू,செயலில் உள்ள மூலக்கூறு
सक्रिय जाळी,செயலில் கண்ணி
सक्रिय पुनर्शोषण,செயலில் மறுஉருவாக்கம்
सक्रिय क्षेत्र,செயலில் உள்ள பகுதி
सक्रिय नियमन,செயலில் கட்டுப்பாடு
सक्रिय उपग्रह,செயலில் உள்ள செயற்கைக்கோள்
सक्रिय विखंडन सौर ज्योत,செயலில் பிளவுபட்ட சூரிய சுடர்
सक्रिय सूक्ष्म पोषक,செயலில் நுண்ணூட்டச்சத்துக்கள்
सक्रिय ट्रॅकिंग सिस्टम,செயலில் கண்காணிப்பு அமைப்பு
सक्रिय ट्रान्सड्यूसर,செயலில் மின்மாற்றி
सक्रिय सेवन,செயலில் உட்கொள்ளல்
क्रियाकलाप गुणांक*,செயல்பாட்டு குணகம்*
क्रियाकलाप निर्देशांक,செயல்பாட்டுக் குறியீடு
क्रियाकलाप प्रमाण,செயல்பாட்டு விகிதம்
क्रियाकलाप वेक्टर,செயல்பாட்டு திசையன்
वास्तविक मॉनिटर,உண்மையான மானிட்டர்
वास्तविक ताण,உண்மையான மன அழுத்தம்
ट्रिगर करण्यासाठी,தூண்டுதல்
प्रवर्तक,தொடங்குபவர்
प्रवर्तक,தொடங்குபவர்
acuityometer,தீவிரமானி
ऐकण्याची तीक्ष्णता,கேட்கும் கூர்மை
फोटो तीक्ष्णता मूल्य,புகைப்படக் கூர்மை மதிப்பு
तीव्र कोन,குறுங்கோணம்
कुजबुजणे,கிசுகிசுத்தல்
तीव्र त्रिकोण,கடுமையான முக்கோணம்
अॅसायक्लिक,அசைக்ளிக்
ऑप्टिमायझेशन अनुप्रयोग,தேர்வுமுறை பயன்பாடு
अनुकूल स्थिती,உகந்த நிலை
अनुकूली नियंत्रण प्रणाली,தகவமைப்பு கட்டுப்பாட்டு அமைப்பு
अडॅपटोमीटर,அடாப்டோமீட்டர்
अॅडकॉक अँटेना,அட்காக் ஆண்டெனா
बेरीज करणे,மொத்தத்தில்
संकलन वेळ,தொகுப்பு நேரம்
संकलन-वजाबाकी वेळ,தொகுத்தல்-கழித்தல் நேரம்
जोडणारा,சேர்ப்பான்
"बेरीज, बेरीज, बेरीज (सं.), बेरीज (v.)","தொகை, கூட்டல், கூட்டுத்தொகை (பதிப்பு), சேர்க்கை (v.)"
जोड स्थिर,கூட்டல் மாறிலி
प्रवेग-सम नियम,முடுக்கம்-தொகை விதி
अंतर बेरीज नियम,தூரம்-தொகை விதி
वेग-सम नियम,வேகம்-தொகை விதி
वेक्टरची बेरीज,திசையன்களின் தொகை
संग्रह प्रतिक्रिया,சேகரிப்பு எதிர்வினை
अतिरिक्त मजला,கூடுதல் தளம்
"संयोजी स्वर, अतिरिक्त स्वर (स्वर)","இணைப்பு தொனி, கூடுதல் தொனி (உயிர்)"
"additive, additive","சேர்க்கை, சேர்க்கை"
मिश्रित प्रणाली,சேர்க்கை அமைப்பு
संमिश्र वर्ण,இணைப்பு எழுத்துக்கள்
एकूण वर्ण प्रक्रिया,மொத்த எழுத்து செயல்முறை
पूरक पूरक रंग,கூடுதல் நிரப்பு நிறம்
additive स्थिरांक,சேர்க்கை மாறிலி
additive कर्षण,சேர்க்கை இழுவை
अतिरिक्त प्रभाव,சேர்க்கை விளைவு
अतिरिक्त घटक,சேர்க்கை காரணி
additive फंक्शन,சேர்க்கை செயல்பாடு
मिश्रित मिश्रण,சேர்க்கை கலவை
additive रूट,சேர்க்கை வேர்
जोड प्रक्रिया,சேர்க்கை செயல்முறை
जोडणी,சேர்க்கை
अॅडिटीव्ह क्वांटम संख्या,சேர்க்கை குவாண்டம் எண்
संग्रह प्रतिक्रिया,சேகரிப்பு எதிர்வினை
जोडणी,சேர்க்கை
एडिट्रॉन,அடிட்ரான்
जाणून घ्या*,தெரியும்*
पत्ता गणना,முகவரி கணக்கீடு
पत्ता,முகவரி
पत्ता एन्क्रिप्शन,முகவரி குறியாக்கம்
पत्ता अभिव्यक्ती,முகவரி வெளிப்பாடு
पत्ता योग्यता,முகவரித்திறன்
पत्ता लिहायची जागा,முகவரிப் பட்டி
