English,Assamese
barometer,১.বেৰ’মিটাৰ ২.বেৰ’মিটাৰ
barren,১. বাজাৰ ২. নিষ্ক্ৰিয় ৩. বন্যাৰ্ত
base,1. ভিত্তি 2. ভিত্তি 3. কুপাং
basin,১.তালা ২.বেচিন
basipetal,তালাবিছাৰী
basisternum,১.বেচিষ্টেৰনাম ২.মূল ধাৰণকাৰী
bay monsoon,উপসাগৰীয় বাৰিষা
bearing plant,ফলৰ উদ্ভিদ
bed,বিছনা
bedder,বিচনা উদ্ভিদ
bedding,বিচনা চাদৰ
beet molasses,বুটমাহৰ গুড়
bellows,bellows
belt,১.ষ্ট্ৰিপ ২.ভূখণ্ড
benefit-cost analysis,লাভ-খৰচ বিশ্লেষণ
biased (sampling),আকাংক্ষিত (Sampling)
biennial,দ্বিবাৰ্ষিক উদ্ভিদ
binomial,দ্বিপদ
bioagent,বায়&#39;ফেক্টৰ
bioclimate,জৈৱিক জলবায়ু
bioenergy,জৈৱ শক্তি
bionomics,প্ৰাণীৰ পৰিস্থিতিতন্ত্ৰ
bio-reactor,১/ বায়’-প্ৰচেছৰ ২.বায়’-ৰিয়ক্টৰ
biosphere,জৈৱমণ্ডল
biotic,জৈৱিক
biotype,প্ৰাণীজগত
bisexual,ডিভিলিংগি
blanching,ধাৱলান
blast,১/প্ৰধ্বাসন (ৰোগ) ২) গাষ্ট ৰোগ
blend,মিশ্ৰণ
blight,১.আংমাৰী (ৰোগ) ২.ব্লাইট (ৰোগ) ২.
blister,১/ ফোহা ২. ফোহা ৩. বিস্ফোৰণ ৪. ফোহা
blue revolution,নীলা বিপ্লৱ
bottom heat chamber,প্লেনাৰ হিটিং চেম্বাৰ
bottom heat technique,সমতল উত্তাপন প্ৰযুক্তি
bran,ব্ৰাণ
branching,শাখা-প্ৰশাখা
branchlet,১.ডাল ২.উপশাখা
breed,বংশবৃদ্ধি
breeding,প্ৰজনন
brimming,আগতীয়াকৈ অংকুৰণৰ চিকিৎসা
brood,১. পোৱালি ২. কণী ৩. ভ্ৰূণ
budding,budding
budget,বাজেট
buffer,১.এম্ফোটেৰিক ২.বাফাৰ
bulb,মিঠা আলু
bunt,বান্ট (ৰোগ)
by-product,1. উপ-উৎপাদন 2. উপ-উৎপাদন
c moisture characteristic curve,c আৰ্দ্ৰতা নিৰ্দিষ্টকৰণ বক্ৰ
cake,তেলৰ কেক
calcarious,১.চূণ ২.কেলচিয়াম
calcification,calcion
calcination of phosphate,ফছফেট আঁতৰোৱা
callosity,১.কিনাটা ২.কালাটা
callus,১.কেলাছ ২.ৰশ্মি
calyx,1. ফুলৰ গুটি 2. calyx
calyx-end,বাহ্যিক শেষ
cambium,এধা
canker,কেন্সাৰ (বেক্টেৰিয়াৰ ৰোগ)
canning,কেনিং
canopy,আকাশ
capital,বিত্ত
caprification,পৰগাছা (ডুমুৰৰ)
capsule,১.কেপচুল ২.কেপচুল ৩.কেপচুল
carbonated,কাৰ্বনাইজড
carbonization,কাৰ্বনেন
carpel,carapace
carpus,এপাত হাতৰ অলংকাৰ
casting,1. ঢালাই (লোহা) 2. ক্ষীপতি (পোক)
catabolism,কেটাবলিজম
catalysis,প্ৰৰোচনা
caterpillar,1. পোক 2. পোক
C-DNA Library,গ ঘ. এন. ক. সংগ্ৰহ
ceiling,পৰিসৰ
cell,১.কোষ ২.কোষ
central leader system,কেন্দ্ৰীয় ফ্ৰন্ট ব্যৱস্থা
centric,1. বিন্দু 2. ফোকাচ
centrifugation,কেন্দ্ৰচালিতকৰণ
centrifuge,কেন্দ্ৰচালিত কৰক
centriole,তাৰকা কেন্দ্ৰ
centrogenic,এপিজেনেটিক
centrogenous,কেন্দ্ৰজা
cercus,loom
cereal,১/ শস্যৰ বীজ ২. ছিৰিয়েল
certification,১.প্ৰমাণীকৰণ ২.প্ৰমাণীকৰণ
certified seed,প্ৰমাণিত বীজ
chaff,১) খেৰ ২.কুট্টি ৩.শালক সহপাত্ৰ
chalaza,১.নিভাগ ২.কৈলাজা
chemotropism,চাইম&#39;গ্ৰাফী
chiasma,১.কিয়াজমা ২.ব্যস্ত
chilling hours,ছুপাৰকুলিং ঘন্টা
chilling injury,হিম ক্ষতি
chimera,১/ ভিচিৰোটাকি ২.চিমেৰা
chloranthy,সেউজীয়া দাইল
chlorophyll,১.পাতল ২.সেউজীয়া
chlorosis,চাইন&#39;ছিছ
chorology,জৈৱিক বিতৰণ বিজ্ঞান
chromatid,১) ক্ৰ’মেটিড ২) আধা ক্ৰম’জম
chromatin,ক্ৰ&#39;মেটিন
chromatography,ক্ৰ&#39;মাট&#39;গ্ৰাফী
chromatolysis,ক্ৰ&#39;মেটিনেচন
chromocentre,অলিন্দৰ বিন্দু
chromogenesis,ক্ৰ&#39;মেট&#39;জেনেছিছ
chromoprotein,১/ ক্ৰম’প্ৰটিন ২.ৰঞ্জক প্ৰটিন
chromosome,১.ক্ৰম’জম ২.ক্ৰম’জম
chronic,1. দীৰ্ঘদিনীয়া 2. দীৰ্ঘদিনীয়া 3. দীৰ্ঘদিনীয়া 4. অচল
citrange,ট্যাগ এর সাথে ছবি &#39;citrange&#39;:
cladode,পতন উৎসৱ
classification,শ্ৰেণীবিভাজন
clay,১.মাটি ২.মাটি
cleaning,১/ পৰিষ্কাৰ কৰা ২.স্ক্ৰাব কৰা ৩. পৰিষ্কাৰ কৰা ৪.বিশুদ্ধকৰণ
cleistogamy,স্থায়ী পৰগাছা
climacteric fruit,ক্ৰুচিফেৰাছ ফল
climate,জলবায়ু
climatology,জলবায়ুবিজ্ঞান
clipper,shear
clod,গোট (মাটি)
clone,ক্ল&#39;ন
cloud,১.ডাৱৰ ২.ডাৱৰ
clump,ক্লাম্প
cluster,মুঠি
coarse,১.মোটা ২.ৰুক্ষ ৩.কেঁচা ৪.ৰুক্ষ
coat (seed),১.আৱৰণ ২.চামৰাৰ টুকুৰা
cocoon,কয়া
coenzyme,১/ কো-এনজাইম ২.কো-এনজাইম
cohesion,সংহতি
coir,১/ আঁহ (পাট পাট) ২) নাৰিকল মোটা
coleorrhiza,মুলংকুৰ চোলা
collar 1. स्तंभमूलसंधि 2. कॉलर 3. ग्रीवा,
colloid (soil),কলয়ড (মাটি)
columella,১.স্তম্ভ ২.কলমেলা
column,১/ শাস্তি ২.স্তম্ভ ৩.স্তম্ভ
commensalism,কমিউনিয়ন
commercial bank,বাণিজ্যিক বেংক
commodity,১/ পণ্য ২/ ব্যৱসায়িক সামগ্ৰী
community,সমুদায়
compaction (of soil),সংকোচন (মাটিৰ)
compatibility,1. সামঞ্জস্যতা 2. সামঞ্জস্যতা
compatibility,সামঞ্জস্যতা
compensation,১/ ক্ষতিপূৰণ ২/ ক্ষতিপূৰণ
competitive interaction,প্ৰতিযোগিতামূলক পাৰস্পৰিক ক্ৰিয়া
complementary crop,শস্যৰ পৰিপূৰক
complex,১.সংমিশ্ৰিত ২.জটিল
component,সমষ্টিবাসী
composition,সুৰ-ৰচনা
compost,পচন সাৰ
compound interest,যৌগিক আগ্ৰহ
computation,গণনা
computer,1. কম্পিউটাৰ 2. কম্পিউটাৰ
concentration,১/ ঘনত্ব ২. ঘনত্ব
conditioner,১.অপ্টিমাইজাৰ ২.ৰিভাইটালাইজাৰ
conductance,পৰিবাহীতা
configuration,1. বিন্যাস 2. বিন্যাস
conformity,1. অনুকূলতা 2. সংৰূপ 3. অনুকূলতা
confounding,১.সংহতি ২.সংকৰকৰণ
conjugation,সংযোজন
connective,1. যোগকৰণ 2. সংযোগী
conservation,সুৰক্ষা
consolidation,একত্ৰীকৰণ
constituents,১.উপাদান ২.উপাদান
consumer,গ্ৰাহক
consumption,সেৱন
contamination,দূষণ কৰা
contour planting,কনট্যুৰ ৰোপণ
contour,কনট্যুৰ ৰেখা
contract farming,১/ ঠিকাদাৰী খেতি ২.ঠিকাদাৰী খেতি ৩.চুক্তিবদ্ধ কৃষি
controlled storage,নিয়ন্ত্ৰিত বায়ুমণ্ডলীয় সংৰক্ষণ
co-operative bank,সমবায় বেংক
cooperator,সমবায় সমিতিৰ সদস্য
coppice,গুলমাৱন
corm,ঘনকীয়
corolla,১.দলপুঞ্জ ২.কৰোলা
cortex,১.কৰ্টেক্স ২.কৰ্টেক্স
cost,খৰচ
cotyledon (seed),কুটিলডন
credit society,ক্ৰেডিট কমিটি
credit,১/ ঋণ দিয়া ২.ক্ৰেডিট
creditor,১/ ঋণদাতা ২.পাওনাদাৰ
crest,1. শিখৰ 2. শিখৰ 3. শিখৰ
crinkle,প্ৰত্যাহাৰ
crisis,বিপদ
criterion,পৰীক্ষা
critical,জটিল অৱস্থা
crop insurance,শস্যৰ বীমা
crop loan,শস্যৰ ঋণ
crop,১.শস্য ২.শস্য
cropping area,খেতি কৰা অঞ্চল
cross-incompatible,ক্ৰছ অসঙ্গতিপূৰ্ণ
crown (plant),1. মুকুট 2. শিখৰ (উদ্ভিদ)
crumb,কোমল কণা
crust,খোলা
cryptogam,1. ক্ৰিপ্টোগাম 2. নন-ফ্ল&#39;ৰিফৰ্ম
cull (fruits),ছাঁটনি (ফল)
culm,কলম
cultivar,জাত জাত
cultivation,১.ট্ৰেকচন ২.কৃষি ৩.খেতি কৰা
cultivator,১/ কৃষক ২/ খেতিয়ক
culture,১.খেতি ২.খেতি ৩.পালন
curing,১.সম্পদ ২.প্ৰস্তুতি
curling,১.কুন্তলন ২.কুঞ্চন
currency,মুদ্ৰা
cuticle,১.এপিডাৰ্মিছ ২.কিউটিকল
cutting,1. কলম 2. কাটি 3. কাটি 4. কাটি 5. কাটিব
cyst,১.কৃমিৰ কৰ্পাছ ২.চিষ্ট ৩.চিষ্ট ৪.বিকৃত গোট ৫.নিওপ্লাজম
cytochrome,চাইট&#39;ক্ৰ&#39;ম
cytogamy,কোষ সংযোজন
cytogenesis,কোষৰ প্ৰজনন
cytogenetics,কোষৰ জিনীয় বিজ্ঞান
cytokinesis,চাইট’প্লাজমিক বিভাজন
cytology,কোষ জীৱবিজ্ঞান
cytolysis,কোষৰ লাইছিছ
cytomere,১) চাইট’মিৰ ২) কোষৰ বিভাজন
cytoplasm,চাইট’প্লাজম
dairy,১/ দুগ্ধজাত সামগ্ৰী ২.দুগ্ধজাত সামগ্ৰী
dairying,দুগ্ধ উদ্যোগ
dam,১.বান্ধ ২.প্ৰজননকাৰী
day-neutral,দিন নিৰপেক্ষ উদ্ভিদ
days after flowering,ফুল ফুলাৰ পিছদিনা
days after full bloom,সম্পূৰ্ণ ফুল ফুলাৰ পিছত দিন
deblossoming,অদক্ষতা
decalcification,ডিকেলচিফিকেশন
decant,1. dislodge 2. dislodge কৰা
decay,পচি যোৱা
deciduous,পৰ্ণপাতী
decimal,১.দশমিক ২.দশমিক
deficiency,হীনমন্যতা
deflocculation (soil),অনুৰণ (মাটি)
defloration,বিপুষ্পন
defoliation,বিলিং
deforestation,বনাঞ্চল ধ্বংস কৰা
degeneration,বদনাম
degradation,অৱক্ষয়
degree days,অংশ দিন
degree,১.পৰিমাণ ২.অংশ
dehiscence,ডিহিচেন্স
dehulling,খোলা আঁতৰোৱা
dehusking,খোলা আঁতৰোৱা
dehydration,পানীলগা
dehydrator,জলহীন
demand,দাবী কৰা
denaturation,১.ডিনেচাৰেচন ২.গুণন
denudation,ডেনুডেচন
deposit,1. জমা (মাটি) 2. জমা (অৰ্থনীতি)
deposition,জমা
depreciation,১.মূল্য হ্ৰাস ২.মূল্য হ্ৰাস
desalinization,ডিচেলাইনেচন
desiccation,১/ পানী শুকুৱাই লোৱা ২/ পানীলগা
design,1. ডিজাইন 2. ডিজাইন
dessicator,শুকান
destoning,কাৰ্ণেল আঁতৰোৱা
desuckering,ডি-ইণ্টাৰকেলেচন
desynapsis,সংযোজন
detassel,১/ মতা মাঞ্জাৰী নিষ্কাশন (মাকৈ) ২) বেলাৰ নিষ্কাশন
detasseling,বল্লাৰ বা কুন্দন কাটিব পৰা
determinant,নিৰ্ণায়ক
devaluation,বিমুদ্ৰাকৰণ
devegetation,ডি-ভেজিটেট
deviation,বিচ্যুতি
diad,দুণ্ডণ
diagnosis,নিদান
dichogamy,ভিন্ন পৰিপক্কতা
dichotomy,bifurcation
dicotyledon (seed),1. দ্বিবিষাক্ত (বীজ)
die back (disease),পিঠিৰ ৰোগ
diffusion,১.প্ৰসাৰণ ২.প্ৰসাৰণ
digestibility,হজম ক্ষমতা
dihybrid,ডাইহাইব্ৰিড
dike (dyke),১.বান্ধ ২.নলা ৩.পৰিয়াল
dilute,সামান্য
dioecious,১.একপত্নী ২.একপত্নী
diploid,ডিপ্লয়ড
diploid,১.দ্বিগুণী ২.দ্বিগুণী
diplonema,ডাইপোল
disbudding,১.নিষ্কাশন ২.কলি আঁতৰোৱা
discing,১.হালোৱা হাল বাই ২.ঘূৰোৱা
discount,ৰেহাই
disinfection,বীজাণুনাশক
dispersion,১.বিক্ষিপ্ততা ২.বিক্ষিপ্ততা
dissemination,1.বিক্ষিপ্ততা 2.ভেৰিয়েন্স
diversification,বৈচিত্ৰ্যতা
diversified farming,বৈচিত্ৰময় কৃষি
DNA Ladder,dna পদক্ষেপ
DNA receptor,ডি এন এ ৰিচিভাৰ
dockage,ডক ভাড়া
dominant,কাৰ্যকৰী
dormancy,নিদ্ৰাহীনতা
dose,১/ পৰিমাণ ২. মাত্ৰা ৩. মাত্ৰা
douole sigmoid curve,ডাবল চিগম&#39;ইড বক্ৰ
draft (draught),1. gust 2. টানিব পৰা
drain,1. এক্সজেষ্ট ড্ৰেইন 2. এফ্লুৱেণ্ট
drainage,নিষ্কাশন
draw,ট্ৰেকচন
drenching,1. ঔষধ দিয়া 2. তিয়াই পেলোৱা
dressing (seed),প্ৰসাধন সামগ্ৰী (বীজ)
drill (n.),1. অগাৰ 2. অগভীৰ দোষ 3. ড্ৰিল 4. অগাৰ
drilling (ag. engg),১. ফুটা ২. ড্ৰিল ৩. ড্ৰিল
drilling (agronomy),১.ড্ৰিল কৰা ২.ড্ৰিলেৰে বীজ সিঁচা ৩.ড্ৰিলেৰে ঢালি দিয়া
drip irrigation,ড্ৰিপ জলসিঞ্চন
dryland farming,শুকান খেতি কৰা
dust,১.ধূলি ২.বুকনি
duster,১.ডাষ্টাৰ ২.বিকিৰণকাৰী
dusting,ছটিয়াই দিয়া
dwarf,১.বামন ২.ৱামন
dwarf pyramid,বামন পিৰামিড
dwarfing,বামিণী ভৱন
ecology,পৰিৱেশ বিজ্ঞান
econometrics,অৰ্থনীতি
economic efficiency,অৰ্থনৈতিক দক্ষতা
ecotype,পৰিস্থিতিগত ধৰণ
ectotrophic,অতিৰিক্ত স্তৰযুক্ত
edaphic,কোমল
edaphology,soil বিজ্ঞান
edging,1. ব্ৰীজিং 2. এজিং 3. ষ্ট্ৰেণ্ড বন্ধ কৰা
edible part,খাদ্যৰ অংশ
elasticity of demand,চাহিদাৰ স্থিতিস্থাপকতা
elasticity of production,উৎপাদন স্থিতিস্থাপকতা
electrolysis,ইলেক্ট্ৰ&#39;লাইছিছ
electrophoresis,ইলেক্ট্ৰ&#39;ফ&#39;ৰেচিছ
eluviation,বাষ্পীভৱন
emasculator,১.ডিকেপিটেটৰ ২.ষ্টেৰাইলাইজাৰ ৩.ডিকেপিটেটৰ ৪.ষ্টেৰাইলাইজাৰ
embanking,১/ ৱেইৰ বাণ্ডি ২.ষ্ট্ৰবন্দী
embryo,ভ্ৰূণ
embryology,১.ভ্ৰূণবিজ্ঞান ২.পদাৰ্থ বিজ্ঞান
emergence,1. প্ৰস্থান 2. প্ৰস্থান
emulsifier,ইমালচাইফায়াৰ
endogenous,অন্তৰ্জাতীয়
endomitosis,ইন্ট্ৰা-পইণ্ট ডিভিজন
endoparasite,অন্তঃপৰজীৱী
endosperm,এণ্ডোস্পাৰ্ম
enterprise,উদ্যোগ
entomology,পতংগবিজ্ঞান
environment,পৰিৱেশ
enzyme,১.এনজাইম ২.এনজাইম
epicotyl grafting,ক্লাষ্টাৰ গ্ৰাফটিং
epiphyte,১.এপিফাইট ২.এপিফাইট
equity,ন্যায়
eradication,নিৰ্মূলকৰণ
essential nutrients,প্ৰয়োজনীয় পুষ্টিকৰ উপাদান
estimation,1. জোখ-মাখ 2. জাম্প 3. মূল্যায়ন
etiolation,সূক্ষ্মতা
eugenic,সুজাননিক
evaluation,মূল্যায়ন
evaporimeter,ভাপ গেজ
evapo-transpiration,বাষ্পীভৱন
evergreen revolution,চিৰন্তন বিপ্লৱ
evergreen,১.চিৰসেউজ ২.চিৰসেউজ
evolution,বিকাশ
excise,কাটি পেলোৱা
exhaustion (fertility),পৰীক্ষয় (উৰ্বৰতা)
exploitation,শোষণ
exploration,১.অন্বেষণ ২.অন্বেষণ
extrusion,১.এক্সট্ৰুচন ২.নিগমন
eye (sugarcane/potato),নয়ন
factor,1. কাৰক 2. উপাদান 3. কাৰক 4. সম্পদ
factor productivity,কাৰক উৎপাদনশীলতা
factorage,ট্ৰেডছমেনৰ ৰেহাই
factorial block design,ফেক্টৰিয়েল ব্লক ডিজাইন
facultative,বিকল্প
fallow,১.পট্টি ২.পালিহাৰ
family,গোটেই অংশ
farm appraisal,ক্ষেত্ৰ মূল্যায়ন
farm budgeting,ফাৰ্ম বাজেট
farm business,কৃষি ব্যৱসায়
farm planning,ক্ষেত্ৰ পৰিকল্পনা
farmer,১.কৃষক ২.কৃষক
farming,১.কৃষি ২.খেতি কৰা
fasciation,সংঘৰ্ষ
fecundation,একাধিক প্ৰজনন
fermentation,কিম্বন
fertility,উৰ্বৰতা
fertilizer,সাৰ
fertilizer use efficiency,সাৰৰ ব্যৱহাৰৰ কাৰ্যক্ষমতা
fibrous,আঁহযুক্ত
field,১.পাম ২.এলেকা ৩.অৱস্থান
field capacity,মাটিৰ পানী ধৰি ৰখা
field demonstration,ক্ষেত্ৰ প্ৰদৰ্শন
fixation,1. স্থিৰতা 2. স্থিৰকৰণ 3. স্থিৰতা
flooding,1. প্লাৱন 2. গৰ্ভধাৰণ
flow diagram,ফ্ল&#39; ডায়াগ্ৰাম
food value,খাদ্য মূল্য
forage (fodder),পশুখাদ্য
forecasting,পুৰ্বানুমান
forest,অৰণ্য
forestation,বনানীকৰণ
frond,১.তাদপৰ্ণ ২.ফৰ্ম
frost resistant,হিম প্ৰতিৰোধী
frost,১.পালা ২.ব্লাইট
frozen (fruit & vegetable),1. ফ্ৰ&#39;জেন 2. ফ্ৰ&#39;জেন
fructification,অনুষ্ঠান
fruit drop,১/ ফলৰ পতন ২.ফলৰ পতন
fruit -set (fruit setting),ফল হৈ পৰে
fumigation,1. ধূমপান 2. ধূমপান
fungicide,ভেঁকুৰনাশক
fungistatic,এন্টিফাংগেল
fungus,ভেঁকুৰ
furow,১.খুদ ২.সীতা
fusion,1. সংযোজন 2. সংযোজন
fuzz,কপাহী উল
fuzzy,লোমশ
gall (Hort),১/ গছৰ ঘা ২.পিতিকা
gamete,1. গেমেট 2. গেমেট
garden,১.বাৰী ২.বাগিচা
gauge (water),১.পান্সাল ২.হাইড্ৰমিটাৰ
gene bank,জিন সংগ্ৰহ
gene tagging,জিন টেগন
geneology,বংশাৱলী
genetic map,জিন মেপ
genetics,জেনেটিক্স
genome,১/ জিনম ২.সাংগেনে
genomic library,সঞ্জিনী সংগ্ৰহ
genomics,জিনমিক্স
genotype,জিন প্ৰকাৰ
genotype,১.জিনৰ গঠন ২.জিনৰ প্ৰকাৰ
genus,বংশ
genus,১. প্ৰজাতি ২. বংশ
germ,১.বীজাণু ২.বীজাণু
germicide,বীজাণুনাশক
germination,অংকুৰণ
germplasm,১/ জীৱাণুপ্লাজম ২.জীৱাণুপ্লাজম
gibberellic acid,জিবেৰেলিক এচিড
ginning,গোটাওক
glume,তুষ
glutinous,১/ গ্লুটেন ২
glycolysis,গ্লাইকোলাইছিছ
gneiss,বঢ়িয়া
golden revolution,সোণালী বিপ্লৱ
grading,1. শ্ৰেণীবিভাজন 2. শ্ৰেণীবিভাজন 3. স্তৰবিন্যাস
