Malayalam,Odiya
ധീരതയുടെ പ്രായം,Ival ିଭାଲିର ବୟସ |
എൻഗ്ലൈറ്റ്മെന്റ് പ്രായം,ଜ୍ଞାନର ବୟସ |
പെരിക്കിൾസിന്റെ പ്രായം,ପେରିକଲ୍ସର ବୟସ |
യുക്തിയുടെ പ്രായം,କାରଣର ବୟସ |
കാർഷികവാദം,କୃଷିବାଦ
കാർഷിക പ്രസ്ഥാനം,କୃଷି ଆନ୍ଦୋଳନ |
ആൽബിയോൺ,ଆଲବିଅନ୍ |
ആൽബം,ଆଲବମ୍
ആൽഡർമാൻ,ଆଲଡରମ୍ୟାନ୍ |
വശീകരിക്കുന്ന ആയുധങ്ങൾ,ଭ୍ରାନ୍ତ ବାହୁ |
അമിറ്റി,ବନ୍ଧୁତା
ആംഫിക്റ്റോണിക് കൗൺസിൽ,ଆମ୍ଫିକ୍ଟୋନିକ୍ ପରିଷଦ |
ആംഫിക്റ്റോണിക് ലീഗ്,ଆମ୍ଫିକ୍ଟୋନିକ୍ ଲିଗ୍ |
ആംഫി തിയേറ്റർ,ଆମ୍ଫିଥେଟର
അമ്രി നാൽ ഗ്രൂപ്പ് (മൺപാത്രങ്ങൾ),ଅମ୍ରି ନାଲ୍ ଗୋଷ୍ଠୀ (କୁମ୍ଭାରର)
അനാക്രോണിസം,ଆନାକ୍ରୋନିଜିମ୍ |
അനാക്രോണിസ്റ്റിക്,ଆନାକ୍ରୋନିଷ୍ଟିକ୍ |
പൂർവ്വികൻ,ପୂର୍ବପୁରୁଷ
പൂർവിക ആരാധന,ପୂର୍ବପୁରୁଷ ପୂଜା |
വംശപരമ്പര,ପିତୃପୁରୁଷ
വംശപരമ്പര,ପିତୃପୁରୁଷ
വംശപരമ്പര,ପିତୃପୁରୁଷ
വംശപരമ്പര,ପିତୃପୁରୁଷ
പുരാതന ഭരണം,ପ୍ରାଚୀନ ଶାସନ
പുരാതന,ପ୍ରାଚୀନ
പുരാതന ബാലഡ്,ପ୍ରାଚୀନ ବାଲାଡ୍ |
പുരാതന വിശ്വാസം,ପ୍ରାଚୀନ ବିଶ୍ୱାସ
പുരാതന ആചാരം,ପ୍ରାଚୀନ ପ୍ରଥା
പുരാതനമായ ചരിത്രം,ପ୍ରାଚୀନ ଇତିହାସ
പുരാതന സ്മാരകങ്ങൾ,ପ୍ରାଚୀନ ସ୍ମାରକୀ
ഉപകഥ,ଉପନ୍ୟାସ
ആഞ്ചലോട്ട്,ଆଞ୍ଜେଲଟ୍ |
ആഞ്ചലസ്,ଆଞ୍ଜେଲସ୍ |
ആഞ്ജെവിൻ (=ആഞ്ജെവിൻ),ଆଞ୍ଜେଭିନ୍ (= ଆଞ୍ଜେଭିନ୍)
കോണുകൾ,କୋଣ
ആംഗ്ലിക്കൻ,ଅଙ୍ଗଲିକାନ୍ |
ആംഗ്ലിക്കൻ കൂട്ടായ്മ,ଅଙ୍ଗଲିକାନ୍ ଯୋଗାଯୋଗ |
ആംഗ്ലിക്കനിസം,ଅଙ୍ଗଲିକାନିଜିମ୍ |
ആംഗ്ലോ-ഫോബ്,ଆଙ୍ଗ୍ଲୋ-ଫୋବେ |
ആംഗ്ലോ-ഫോബിയ,ଆଙ୍ଗ୍ଲୋ-ଫୋବିୟା |
ആംഗ്ലോ-സാക്സൺ,ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସନ୍ |
ആംഗ്ലോ-സാക്‌സോണിസം,ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସୋନିଜିମ୍ |
അനലിസ്റ്റ്,ଆନ୍ନାଲିଷ୍ଟ |
വാർഷികങ്ങൾ,ବାର୍ଷିକ
കൂട്ടിച്ചേർക്കൽ,ସଂଲଗ୍ନ
ആന്റി-ബെല്ലം,ଆଣ୍ଟେ-ବେଲମ୍ |
മുൻ തീയതി,ଆଣ୍ଟେ ତାରିଖ |
പൗരോഹിത്യ വിരുദ്ധത,ଧର୍ମ-ବିରୋଧୀ
വൈദിക വിരുദ്ധ നിയമം,ଧର୍ମ-ବିରୋଧୀ ନିୟମ
പൗരാണികത,ପ୍ରାଚୀନତା
വാടക വിരുദ്ധം,ଆଣ୍ଟି-ଭଡା
വാടക വിരുദ്ധം,ଆଣ୍ଟି-ଭଡା
സെമിറ്റിസം വിരുദ്ധത,ବିରୋଧୀ ଦଳ
അൻസാക്ക്,ଅଞ୍ଜାକ |
അപ്പെല്ല,ଆପେଲା |
അരലു,ଅରୁଲୁ |
ആർച്ച് ബിഷപ്പ്,ଆର୍ ବିଶପ୍ |
ആർച്ച് ഡച്ചി,ଆର୍ ଡୁଚି |
ആർച്ച് ഡ്യൂക്ക്,ଆର୍ ଡ୍ୟୁକ୍ |
ആർക്കൈഫ് (=ആർക്കൈവൽ ശേഖരം),ଆର୍କିଫ୍ (= ଅଭିଲେଖାଗାର ସଂଗ୍ରହ)
ആർക്കിഎപ്പിസ്കോപ്പേറ്റ്,ଆର୍କିପିସ୍କୋପେଟ୍ |
പ്രഭുവർഗ്ഗം,ଆଭିମୁଖ୍ୟ
പ്രഭു,ଆରିଷ୍ଟୋକ୍ରାଟ୍ |
പ്രഭുവർഗ്ഗ സ്നോബറി,ଆରିଷ୍ଟୋକ୍ରାଟ୍ ସ୍ନୋବେରୀ |
അരിസ്റ്റോട്ടിലിയൻ,ଆରିଷ୍ଟୋଟେଲିଆନ୍ |
അർമാഡ,ଆର୍ମଡା |
അർമ്മഡ (=സ്പാനിഷ് അർമ്മഡ),ଆର୍ମଡା (= ସ୍ପାନିସ୍ ଆର୍ମଡା)
കവചക്കാരൻ (=കവചക്കാരൻ),ବାହୁବଳୀ (= ବାହୁବଳୀ)
കവചം (=കവചം),ବାହୁବଳୀ (= ବାହୁବଳୀ)
ആയുധധാരി,ବାହୁବଳୀ |
ആര്യൻ,ଆର୍ଯ୍ୟନ୍
ആര്യൻ,ଆର୍ଯ୍ୟନ୍
അസ്കരി,ଆସ୍କାରି |
നിയോഗിക്കുക,ନ୍ୟସ୍ତ କରନ୍ତୁ |
അസൈസ് ചെയ്യുക,Assize
അസൈസ് ചെയ്യുക,Assize
അസൈസ് ചെയ്യുക,Assize
അസൈസ് ഓഫ് ആയുധ നിയമം,ଆର୍ମସ୍ ଆକ୍ଟର ଆସାଇଜ୍ |
അസൈസ് ഓഫ് ഡാരെൻ അവതരണം,ଡାରେନ୍ ପ୍ରେଜେଣ୍ଟେସନ୍ ର ଆସାଇଜ୍ |
മോർട്ട് &#39;ഡി&#39; മുൻഗാമിയുടെ അസൈസ്,ମର୍ଟ &#39;ଡି&#39; ପୂର୍ବପୁରୁଷଙ୍କ ଅନୁଧ୍ୟାନ |
അസൈസ് ഓഫ് നോവൽ ഡിസെസിൻ,ନୋଭେଲ୍ ଡିସାଇସିନ୍ ର ଆସାଇଜ୍ |
ക്രൂരത,ଅତ୍ୟାଚାର
ആക്രമണം,ଆକ୍ରମଣ
ഔലിക് കൗൺസിൽ,ଆୟୁଲିକ୍ ପରିଷଦ |
ഗെഡസിന്റെ കോടാലി (=ദി ഗെഡെസ് കോടാലി),ଗେଡିର କୁରା (ି (= ଗେଡି କୁରା) ି)
ആക്സിസ് (=റോം-ബെർലിൻ-ടോക്കിയോ ആക്സിസ്),ଆକ୍ସିସ୍ (= ରୋମ୍-ବର୍ଲିନ୍-ଟୋକିଓ ଆକ୍ସିସ୍)
ബാബിലോൺ,ବାବିଲ
ബാബിലോണിയൻ അടിമത്തം (=ബാബിലോണിയൻ അടിമത്തം),ବାବିଲର ବନ୍ଦୀତା (= ବାବିଲୋନ ବନ୍ଦୀ)
ബച്ചനൽ ഭക്തൻ,ବ୍ୟାଚାନାଲ ଭକ୍ତ
ബച്ചനാലിയ,ବ୍ୟାଚାନାଲିଆ |
ബാച്ചിലർ,ଅବିବାହିତ
ബാഗ്ദാദ് കരാർ,ବାଗଦାଦ ଚୁକ୍ତି |
ബാൽക്കൻ ലീഗ്,ବାଲକାନ୍ ଲିଗ୍ |
ബാൽക്കൻ കരാർ,ବାଲକାନ୍ ଚୁକ୍ତି |
ബാൽക്കൻ യുദ്ധങ്ങൾ,ବାଲକାନ ଯୁଦ୍ଧ |
ബാൾട്ടിക് കരാർ,ବାଲ୍ଟିକ୍ ଚୁକ୍ତି |
കൊള്ളക്കാരൻ,ବୃନ୍ଦାବନ
ബന്ദൂങ് സമ്മേളനം,ବୃନ୍ଦାବନ ସମ୍ମିଳନୀ |
നാടുകടത്തൽ,ବହିଷ୍କାର |
ബാനർ,ବ୍ୟାନର |
ബാർബേറിയൻ,ବର୍ବର
ബാർബിക്കൻ,ବାର୍ବିକାନ୍ |
ബർദോളി സത്യാഗ്രഹം,ବାର୍ଡୋଲି ସତ୍ୟଗ୍ରାହ |
കളപ്പുര ബർണറുകൾ,ବାର୍ ବର୍ନର୍ସ |
ബാരൺ,ବରୁଣ |
ബാരോണേജ്,ବରୁଣ
ബറോണസ് മേജേഴ്സ്,ବାରୋନସ୍ ମେଜୋରସ୍ |
ബാരോൺസ് പ്രായപൂർത്തിയാകാത്തവർ,ବାରୋନସ୍ ମାଇନୋରସ୍ |
ബാരോണസ്,ବରୁଣେସ୍ |
ബാരോനെറ്റ്,ବରୁଣେଟ୍ |
ബാരോനെറ്റേജ്,ବରୁଣେଟେଜ୍ |
ബാരോനെറ്റേജ്,ବରୁଣେଟେଜ୍ |
ബാരോനെറ്റി,ବାରୋନେଟସି |
ബാരോണി,ବାରୋନି |
ബാരക്കൂൺ,ବାରାକୁନ୍ |
ബാരക്കൂൺ,ବାରାକୁନ୍ |
ബാരിക്കേഡ് (=ബാരിക്കഡോ),ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ)
ബാരിക്കേഡ് (=ബാരിക്കഡോ),ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ)
ബാരിക്കേഡ് (=ബാരിക്കഡോ),ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ)
ബേസ് ക്യാമ്പ്,ବେସ୍ କ୍ୟାମ୍ପ୍ |
ബസിലിക്ക,ବେସିଲିକା |
ബസിലിക്ക,ବେସିଲିକା |
ബാസ്റ്റില,ବସ୍ତିଲା |
ബാസ്റ്റിലി,ବସ୍ତିଲ୍ |
ബാസ്റ്റിലി,ବସ୍ତିଲ୍ |
ബാറ്ററി,ବ୍ୟାଟେରୀ
യുദ്ധം,ଯୁଦ୍ଧ
Battle-array,ବଟଲ୍-ଆରେ |
യുദ്ധകാഹളം,ଯୁଦ୍ଧ କାନ୍ଦ |
യുദ്ധം,ଯୁଦ୍ଧ ଡିନ |
യുദ്ധക്കളം,ଯୁଦ୍ଧ କ୍ଷେତ୍ର |
യുദ്ധഗാനം,ଯୁଦ୍ଧ ଭଜନ
സ്പർസിന്റെ യുദ്ധം,ସ୍ପର୍ସର ଯୁଦ୍ଧ |
സ്റ്റാൻഡേർഡ് യുദ്ധം,ମାନାଙ୍କ ଯୁଦ୍ଧ |
യുദ്ധക്കപ്പൽ,ଯୁଦ୍ଧ ଜାହାଜ |
യുദ്ധക്കപ്പൽ-ബലം,ଯୁଦ୍ଧ-ଶକ୍ତି |
Bayeux ടേപ്പ്സ്ട്രി,ବାୟକ୍ସ ଟେପେଷ୍ଟ୍ରି |
ബീക്കൺ,ବିକନ୍ |
ബീക്കൺ ടവർ,ବିକନ୍ ଟାୱାର୍ |
ബീവർ,ବିଭର୍ |
ബീവർ,ବିଭର୍ |
കടലിലെ യാചകർ,ସମୁଦ୍ରର ଭିକାରୀ |
ബെല്ലിക്കോസ്,ବେଲିକୋଜ୍ |
ബെല്ലിക്കോസ്,ବେଲିକୋଜ୍ |
ബെല്ലിക്കോസ്,ବେଲିକୋଜ୍ |
ബെല്ലിക്കോസിറ്റി,ବେଲିକୋସିଟି |
ബെല്ലോന,ବେଲୋନା |
ഗുണം,ଉପକାର
വൈദികരുടെ പ്രയോജനം,ପାଦ୍ରୀମାନଙ୍କର ଲାଭ
ബെനെലക്സ്,ବେନେଲକ୍ସ |
ബെർലിൻ ഉത്തരവ്,ବର୍ଲିନ୍ ଆଦେଶ |
ബെർസർക്കർ,ବର୍ସରକର |
ബസന്റ് (=ബെസന്റ്),ବେସାଣ୍ଟ (= ବେଜାଣ୍ଟ)
ബെഥേൽ,ବ Bethel ଥେଲ୍ |
ബിബ്ലിയോലേറ്റർ,Bibliolater
ഗ്രന്ഥശാസ്‌ത്രം,ଗ୍ରନ୍ଥସମୂହ
ബിഗ് ബെർത്ത,ବିଗ୍ ବର୍ଥା |
മതഭ്രാന്തൻ,ବିଗଟ୍ |
ബില്ലെറ്റിംഗ്,ବିଲିଂ
ബിൽ ഓഫ് അറ്റൈൻഡർ,ଅଟ୍ଟାଇଣ୍ଡରର ବିଲ୍ |
അവകാശങ്ങളുടെ ബിൽ,ଅଧିକାର ବିଲ୍ |
ജീവചരിത്രകാരൻ,ଜୀବନୀ
ജനന കഥകൾ,ଜନ୍ମ କାହାଣୀ |
Bivouac,ବିଭିଆକ୍ |
Bivouac,ବିଭିଆକ୍ |
Bivouac,ବିଭିଆକ୍ |
ബിസോണിയ,ବିଜୋନିଆ |
കറുത്ത പക്ഷികൾ,କଳା ପକ୍ଷୀ
കറുത്ത കൊടി,କଳା ପତାକା
ബ്ലാക്ക് ഹോൾ,ବ୍ଲାକ୍ ହୋଲ୍ |
ബ്ലാക്ക് ഹോൾ,ବ୍ଲାକ୍ ହୋଲ୍ |
കറുത്ത കാൽ (=ചുണങ്ങു),କଳା ଗୋଡ (= ସ୍କାବ)
കറുത്ത ഷർട്ട്,କଳା ସାର୍ଟ |
ബ്ലാസൺ,ବ୍ଲାଜନ୍
ബ്ലാസൺ,ବ୍ଲାଜନ୍
ജ്വലനം,ବ୍ଲାଜୋନ୍ରି |
ജ്വലനം,ବ୍ଲାଜୋନ୍ରି |
ബ്ലിറ്റ്സ്ക്രീഗ്,ବ୍ଲିଟ୍ସ୍କ୍ରିଗ୍ |
രക്തരഹിത വിപ്ലവം (=മഹത്തായ വിപ്ലവം),ରକ୍ତହୀନ ବିପ୍ଳବ (= ଗ or ରବମୟ ବିପ୍ଳବ)
ബ്ലഡ് വൈറ്റ്,ରକ୍ତଚାପ
ബ്ലഡി മേരി,ରକ୍ତାକ୍ତ ମରିୟମ |
നീല,ନୀଳ
നീല രക്തം,ନୀଳ ରକ୍ତ
നീല പുസ്തകം,ନୀଳ ପୁସ୍ତକ |
നീല നാട,ନୀଳ ରିବନ୍ |
നീല നാട,ନୀଳ ରିବନ୍ |
ബ്ലൂസ് (=രാജകീയ കുതിര കാവൽക്കാർ),ବ୍ଲୁଜ୍ (= ରୟାଲ୍ ଘୋଡା ଗାର୍ଡ)
നീല ഷർട്ട്,ନୀଳ ସାର୍ଟ |
ബ്ലൂ വാട്ടർ സ്കൂൾ,ନୀଳ ଜଳ ବିଦ୍ୟାଳୟ |
ബോർഡ് ഓഫ് കൺട്രോൾ,ନିୟନ୍ତ୍ରଣ ବୋର୍ଡ |
ശരീര കവചം,ଶରୀରର ଅସ୍ତ୍ରଶସ୍ତ୍ର |
ബോയർ,ବୋଇର୍
കൊള്ള,ବୁଟି
ബറോ,ବୋରୱୋ |
ബൗളൂട്ടേറിയൻ,ବୁଲୁଟେରିଅନ୍ |
ബർബോൺ,ବୋର୍ବନ୍ |
ബോക്സർ കലാപം,ବକ୍ସର ବିଦ୍ରୋହ |
ബ്രേസ്,ବନ୍ଧନୀ
ബ്രസാർഡ്,ପିତ୍ତଳ |
ബ്രസാർഡ്,ପିତ୍ତଳ |
ബ്രെഡ് കോളനികൾ,ରୁଟି କଲୋନୀ |
ബ്രെസ്റ്റ് പ്ലേറ്റ്,ସ୍ତନ ପ୍ଲେଟ୍ |
മുലപ്പാൽ ജോലി,ସ୍ତନ କାମ
ബ്രെറ്റ്വാൾഡ,ବ୍ରେଟୱାଲଡା |
ബ്രിഗാൻഡ്,ବ୍ରିଗାଣ୍ଡ୍ |
ബ്രിഗൻഡേജ്,ବ୍ରିଗେଣ୍ଡେଜ୍
ബ്രിട്ടീഷ് കോമൺവെൽത്ത് ഓഫ് നേഷൻസ്,ବ୍ରିଟିଶ୍ କମନୱେଲଥ୍ ଅଫ୍ ନେସନ୍ସ |
ബ്രൗൺ ഷർട്ടുകൾ (=നാസികൾ),ବ୍ରାଉନ୍ ସାର୍ଟ (= ନାଜି)
ബ്രസ്സൽസ് ഉടമ്പടി (പാക്ട്) ഓർഗനൈസേഷൻ (=വെസ്റ്റേൺ യൂറോപ്യൻ യൂണിയൻ),ବ୍ରୁସେଲ୍ସ ଚୁକ୍ତି (ଚୁକ୍ତି) ସଂଗଠନ (= ପଶ୍ଚିମ ୟୁରୋପୀୟ ୟୁନିଅନ୍)
ബഫ്,ବଫ୍ |
ബഫ്,ବଫ୍ |
ബഫ്-കോട്ട്,ବଫ୍-କୋଟ୍ |
ബഫുകൾ,ବଫସ୍ |
ബ്യൂൾ (=കൗൺസിൽ),ବୁଲେ (= ପରିଷଦ)
ബർഗേജ്,ବନ୍ଧକ
ബർഗെസ്,ବରଗଡ |
ബൈസന്റൈൻ,ବାଇଜାଣ୍ଟାଇନ
ബൈസന്റൈൻ പള്ളി,ବ yz ଜୟନ୍ତ ଚର୍ଚ୍ଚ
ബൈസന്റൈൻ സാമ്രാജ്യം,ବ yz ଜୟନ୍ତ ସାମ୍ରାଜ୍ୟ |
ബൈസന്റൈൻ യുഗം,ବାଇଜାଣ୍ଟାଇନ ଯୁଗ
ബൈസന്റൈൻ ചരിത്രകാരന്മാർ,ବ yz ଜୟନ୍ତ histor ତିହାସିକମାନେ |
കാബൽ,କ୍ୟାବଲ୍ |
സീസറിസം,କେଜରିଜିମ୍ |
ഖലീഫ,ଖଲିଫ୍ |
കാലിഗ്രാഫർ,କଲିଗ୍ରାଫର୍ |
കാലിഗ്രാഫിസ്റ്റ്,କଲିଗ୍ରାଫିଷ୍ଟ |
കാലിഗ്രാഫി,କାଲିଗ୍ରାଫି |
കാൽട്രോപ്പ്,କାଲ୍ଟ୍ରପ୍ |
സൗഹൃദം,କାମାଡେରି |
കാമറില്ല,କାମାରିଲା |
കാമറില്ല,କାମାରିଲା |
കാമലോകം,କାମେଲାକମ୍ |
മറവി,କାମୁଫ୍ଲେଜ୍ |
പ്രചാരണം,ଅଭିଯାନ |
ക്യാമ്പ് ഫോളോവർ,କ୍ୟାମ୍ପ ଅନୁସରଣକାରୀ |
കാമ്പോ സാന്റോ,କ୍ୟାମ୍ପୋ ସାଣ୍ଟୋ |
കാമ്പസ് മാർഷ്യസ്,କ୍ୟାମ୍ପସ୍ ମାର୍ଟିସ୍
കനേഫോറ,କାନେଫୋରା |
കാൻഗു,କଙ୍ଗୁ
പീരങ്കി,କାନନେଡ୍ |
പീരങ്കി കാലിത്തീറ്റ,ତୋପ ଖାଇବା |
കാനൻ,କାନନ୍ |
കാനൻ നിയമം,କାନନ୍ ନିୟମ |
കനോപ്പസ് ഉത്തരവ്,କାନୋପସ୍ ଆଦେଶ |
ആയുധങ്ങൾ ചലിപ്പിക്കുന്നു,ବାହୁବଳୀ
ബന്ദിയാക്കി,ବନ୍ଦୀ
ക്യാപ്റ്റർ,କ୍ୟାପ୍ଟର
കർദ്ദിനാൾ,କାର୍ଡିନାଲ୍ |
കാൾ,କାର୍ଲ |
കരോലിംഗിയൻ രാജവംശം,କାରୋଲିଙ୍ଗିଆନ୍ ରାଜବଂଶ |
കാർത്തൂഷ്യൻ വിഭാഗം,କାର୍ଟୁସିଆନ୍ ସମ୍ପ୍ରଦାୟ |
കാർട്ടോസ,କାର୍ଟୋସା |
കാസ്റ്റേലിയൻ,କାଷ୍ଟେଲିଆନ୍ |
കാസ്റ്റേലിയൻ,କାଷ୍ଟେଲିଆନ୍ |
ജാതി വ്യവസ്ഥ,ଜାତି ପ୍ରଣାଳୀ |
കോട്ട,ଦୁର୍ଗ
കോട്ട,ଦୁର୍ଗ
കാസിൽ പട്ടണം,ଦୁର୍ଗ ସହର
കാസ്ട്ര,କାଷ୍ଟ୍ରା |
കാസ്ട്ര,କାଷ୍ଟ୍ରା |
കത്തീഡ്ര,କ୍ୟାଥେଡ୍ରା |
കത്തീഡ്രൽ,କ୍ୟାଥେଡ୍ରାଲ୍ |
കാറ്റോ സ്ട്രീറ്റ് ഗൂഢാലോചന,କାଟୋ ଷ୍ଟ୍ରିଟ୍ ଷଡଯନ୍ତ୍ର |
കൌഡില്ലോ,କାଉଡିଲୋ |
കവലിയർ,କାଭାଲିଅର୍ |
കവലിയർ,କାଭାଲିଅର୍ |
കവലിയർ പാർലമെന്റ്,କାଭାଲିଅର୍ ସଂସଦ |
അദുല്ലം ഗുഹ,ଅଦୁଲ୍ଲାମର ଗୁମ୍ଫା |
ഗുഹ പെയിന്റിംഗ്,ଗୁମ୍ଫା ଚିତ୍ର
ഗുഹ പെയിന്റിംഗ്,ଗୁମ୍ଫା ଚିତ୍ର
സെന്റുംവിർ,Centumvir
ശതാധിപൻ,ସେଞ୍ଚୁରିଅନ୍ |
നൂറ്റാണ്ട്,ଶତାବ୍ଦୀ
ചെയിൻ കവചം (=ചെയിൻ മെയിൽ),ଶୃଙ୍ଖଳା ବାହୁବଳୀ (= ଶୃଙ୍ଖଳା ମେଲ୍)
ചാന്ത്രി,ଚାନ୍ଟ୍ରି |
ചാന്ത്രി,ଚାନ୍ଟ୍ରି |
ചാപ് ബുക്ക്,ଅଧ୍ୟାୟ ପୁସ୍ତକ
ചാപ്ലിൻ,ଚାପଲେନ୍ |
അധ്യായം,ଅଧ୍ୟାୟ
അപകടങ്ങളുടെ അധ്യായം,ଦୁର୍ଘଟଣାର ଅଧ୍ୟାୟ |
ചാർജ് ചെയ്യുക,ଚାର୍ଜ
ഭാരവാഹികൾ,ଡିଫେୟାର୍ ଚାର୍ଜ କରନ୍ତୁ |
ചാർജ് വിഭജനം,ଚାର୍ଜ ବିଭାଜନ |
ചാർജർ,ଚାର୍ଜର
രഥം,ରଥ
സാരഥി,ରଥ
സാരഥി,ରଥ
സാരഥി,ରଥ
ചാരിറ്റി അടുക്കള,ଚାରିଟି ରୋଷେଇ ଘର |
ചാർട്ടർ,ଚାର୍ଟର୍
ചാർട്ടിസ്റ്റ് പ്രസ്ഥാനം (=ചാർട്ടിസം),ଚାର୍ଟିଷ୍ଟ ଆନ୍ଦୋଳନ (= ଚାର୍ଟିଜିମ୍)
ചാർട്ടോഫൈലാസിയം,ଚାର୍ଟୋଫିଲାସିୟମ୍ |
ചാറ്റോ,Chateau |
ചെക്ക് പോസ്റ്റ്,ପୋଷ୍ଟ ଯାଞ୍ଚ କରନ୍ତୁ |
രാസയുദ്ധം,ରାସାୟନିକ ଯୁଦ୍ଧ |
ചെസ്റ്റർ,ଚେଷ୍ଟର୍ |
മുഖ്യൻ,ମୁଖ୍ୟ
തലവൻ,ମୁଖିଆ
തലവൻ,ମୁଖିଆ
തലവൻ,ମୁଖିଆ
ഷിഫോൺ,ଚିଫନ୍ |
ധീരത,ପ୍ରତିଦ୍ୱନ୍ଦ୍ୱିତା |
തിരഞ്ഞെടുത്ത ആളുകൾ,ମନୋନୀତ ଲୋକ
ക്രിസ്മോഗ്രാഫിയോൺ,କ୍ରିସମୋଗ୍ରାଫିନ୍ |
ക്രൈസ്തവലോകം,ଖ୍ରୀଷ୍ଟଧର୍ମ
ക്രിസ്ത്യൻ യുഗം,ଖ୍ରୀଷ୍ଟିଆନ ଯୁଗ |
ക്രിസ്ത്യൻ സോഷ്യലിസം,ଖ୍ରୀଷ୍ଟିଆନ ସମାଜବାଦ |
ക്രോണിക്കിൾ,ଇତିହାସ
ക്രോണിക്ലർ,କ୍ରୋନିକଲର୍
ക്രൈസ് ചെർസോണീസ്,କ୍ରିସ୍ ଚେରସୋନିସ୍ |
സിമിലിയം,ସିମେଲିୟମ୍ |
സിൻക്വെസെന്റോ സ്റ്റൈൽ,ସିନକେସେଣ୍ଟୋ ଷ୍ଟାଇଲ୍ |
പ്രദക്ഷിണം,ସର୍କୁନାଭିଗେସନ୍ |
സിസ്റ്റെർസിയൻ സന്യാസി,ସିଷ୍ଟର୍ସିଆନ୍ ମାଙ୍କଡ |
കോട്ട,ସୀତା
അവലംബം,ଉଦ୍ଧୃତ
അവലംബം,ଉଦ୍ଧୃତ
നിയമലംഘനം,ନାଗରିକ ଅବମାନନା |
ആഭ്യന്തരയുദ്ധം,ଗୃହଯୁଦ୍ଧ |
സിവിസ് റൊമാനസ്,ସିଭିସ୍ ରୋମାନସ୍ |
ക്ലാസിക്കൽ പ്രായം,ଶାସ୍ତ୍ରୀୟ ବୟସ |
ക്ലെഫ്റ്റ് (=ക്ലെഫ്റ്റ്),କ୍ଲିଫ୍ଟ (= କ୍ଲେଫ୍ଟ)
