Hindi,Punjabi
आपतन-कोण,ਘਟਨਾ ਦਾ ਕੋਣ
प्रक्षेप-कोण,ਪ੍ਰੋਜੈਕਸ਼ਨ ਦਾ ਕੋਣ
परावर्तन-कोण,ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ
अपवर्तन-कोण,ਅਪਵਰਤਨ ਦਾ ਕੋਣ
घूर्णन-कोण,ਰੋਟੇਸ਼ਨ ਕੋਣ
पूर्ण परावर्तन-कोण,ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਪੂਰਨ ਕੋਣ
कोणीय त्वरण,ਕੋਣੀ ਪ੍ਰਵੇਗ
कोणीय गति,ਕੋਣੀ ਵੇਗ
कोणीय चाल,ਕੋਣੀ ਗਤੀ
कोणीय वेग,ਕੋਣੀ ਵੇਗ
वलयिका,ਰਿੰਗ ਉਂਗਲ
उत्तर,ਜਵਾਬ
प्रति-अवकलज,ਵਿਰੋਧੀ ਡੈਰੀਵੇਟਿਵ
प्रतिसममित फलन,isometric ਫੰਕਸ਼ਨ
"आच्छाद्य , अनु प्रयोज्य, लागू","ਕਵਰ ਕਰਨ ਯੋਗ, ਲਾਗੂ, ਲਾਗੂ"
"अनुप्रयोग उपयोजन,",ਐਪਲੀਕੇਸ਼ਨ ਐਪਲੀਕੇਸ਼ਨ
अनुप्रयुक्त गतिशील प्रोग्रामन,ਲਾਗੂ ਡਾਇਨਾਮਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ
अनुप्रयुक्त ज्यामिति,ਲਾਗੂ ਕੀਤੀ ਜਿਓਮੈਟਰੀ
अनुप्रयुक्त गणित,ਲਾਗੂ ਗਣਿਤ
अनुप्रयुक्त सांख्यिकी,ਲਾਗੂ ਅੰਕੜੇ
"सन्निकटतः, लगभग","ਲਗਭਗ, ਲਗਭਗ"
सन्निकटतः संतत फलन,ਲਗਭਗ ਲਗਾਤਾਰ ਫੰਕਸ਼ਨ
"स्थूल विधि, सन्निकट विधि","ਮੈਕਰੋ ਵਿਧੀ, ਅਨੁਮਾਨ ਵਿਧੀ"
सन्निकट हल,ਅੰਦਾਜ਼ਨ ਹੱਲ
सन्निकटन-समस्या,ਲਗਭਗ ਸਮੱਸਿਆ
सन्निकटन-गुणधर्म,ਲਗਭਗ ਸੰਪਤੀ
अभिक्षमता-परीक्षावली,ਯੋਗਤਾ ਟੈਸਟ
आरगाँ आरेख,ਆਰਗਨ ਚਿੱਤਰ
स्वेच्छगहीतृ,ਸਵੈ-ਇੱਛਤ
"स्वेच्छ, यादृच्छिक","ਬੇਤਰਤੀਬ, ਬੇਤਰਤੀਬ"
स्वेच्छ अचर,ਆਪਹੁਦਰੇ ਸਥਿਰ
स्वेच्छ अवयव,ਮੁਫ਼ਤ ਤੱਤ
स्वेच्छ बिन्दु,ਮਨਮਾਨੀ ਬਿੰਦੂ
आर्किमीडी नियम,ਆਰਕੀਮੀਡ ਦਾ ਕਾਨੂੰਨ
आर्किमीडीज़ का नियम,ਆਰਕੀਮੀਡੀਜ਼ ਦਾ ਕਾਨੂੰਨ
"चाप-दैर्घ्य, चाप-लम्बाई","ਚਾਪ-ਲੰਬਾਈ, ਚਾਪ-ਲੰਬਾਈ"
वत्तृ चाप,ਚੱਕਰ ਚਾਪ
प्रतिलोम ज्या बंटन,ਉਲਟ ਸਾਈਨ ਵੰਡ
प्रतिलोम ज्या रूपांतरण,ਉਲਟ ਸਾਈਨ ਪਰਿਵਰਤਨ
" क्षेत्र , क्षेत्रफल","ਖੇਤਰ, ਖੇਤਰ"
क्षेत्रीय विन्यास,ਖੇਤਰੀ ਸੰਰਚਨਾ
सम्मिश्र संख्या का कोणांक,ਇੱਕ ਮਿਸ਼ਰਿਤ ਸੰਖਿਆ ਦਾ ਕੋਣ
समांतर माध्य,ਗਣਿਤ ਦਾ ਮਤਲਬ
अंकीय संक्रिया,ਡਿਜ਼ੀਟਲ ਕਾਰਵਾਈ
अंकीय एकक,ਡਿਜ਼ੀਟਲ ਯੂਨਿਟ
"विन्यास, व्यवस्था","ਸੰਰਚਨਾ, ਵਿਵਸਥਾ"
"व्यूह , सरणी","ਐਰੇ, ਐਰੇ"
कृत्रिम उपग्रह,ਨਕਲੀ ਉਪਗ੍ਰਹਿ
कृत्रिम चर,ਨਕਲੀ ਵੇਰੀਏਬਲ
आरोहण करना,ਚੜ੍ਹਨ ਲਈ
आरोही,ਚੜ੍ਹਦਾ
परिमाण का आरोही क्रम,ਤੀਬਰਤਾ ਦਾ ਵੱਧਦਾ ਕ੍ਰਮ
आरोही श्रेणी,ਚੜ੍ਹਦਾ ਗ੍ਰੇਡ
कोडांतरक भाषा,ਅਸੈਂਬਲਰ ਭਾਸ਼ਾ
"नियतन समस्या नियतन प्रश्न,",ਅਸਾਈਨਮੈਂਟ ਸਮੱਸਿਆ ਅਸਾਈਨਮੈਂਟ ਸਵਾਲ
साहचर्य नियम,ਸਹਿਯੋਗੀ ਨਿਯਮ
संकारकों का साहचर्य नियम,ਆਪਰੇਟਰਾਂ ਦਾ ਸਹਿਯੋਗੀ ਨਿਯਮ
साहचर्य-संक्रिया,ਸਹਿਯੋਗੀ ਕਾਰਵਾਈ
सहचारिता,ਸਾਥੀ
कल्पित माध्य,ਮਤਲਬ ਮੰਨਿਆ
कल्पित प्रायिकता बंटन,ਅਨੁਮਾਨਿਤ ਸੰਭਾਵਨਾ ਵੰਡ
" कल्पना , गृहीत,","ਕਲਪਨਾ, ਮੰਨਿਆ"
ज्योतिष,ਜੋਤਿਸ਼
"अंतरिक्षयानिक इंजीनियर अंतराळी अभियंता,",ਪੁਲਾੜ ਵਿਗਿਆਨੀ ਇੰਜੀਨੀਅਰ ਸਪੇਸ ਇੰਜੀਨੀਅਰ
खगोलज्ञ*,ਖਗੋਲ ਵਿਗਿਆਨੀ*
खगोलीय घड़ी,ਖਗੋਲੀ ਘੜੀ
खगोलिकी,ਖਗੋਲ ਵਿਗਿਆਨ
असममित वक्र,ਅਸਮਿਤ ਵਕਰ
असममिति,ਅਸਮਿਤੀ
अनंतस्पर्शी,asymptotic
उपगामी,ਪਰੇਸ਼ਾਨ ਕਰਨ ਵਾਲਾ
उपगामी दक्ष आकलक,ਪ੍ਰਗਤੀਸ਼ੀਲ ਅਨੁਮਾਨਕ
उपगामी अनभिनत आकलक,ਪਿਛਾਖੜੀ ਪੱਖਪਾਤੀ ਅਨੁਮਾਨਕ
उपगामी आचरण,ਪਿਛਾਖੜੀ ਵਿਹਾਰ
उपगामी बंटन-फलन,ਹਮਲਾਵਰ ਵੰਡ ਫੰਕਸ਼ਨ
उपगामी प्रसार,ਉੱਪਰ ਵੱਲ ਫੈਲਣਾ
वायु मंडलीय दाब,ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ
"यदृच्छया,",ਬੇਤਰਤੀਬੇ
गुण*,ਸੰਪਤੀ*
गुण-प्रतिचयन-क्रियाविधि,ਗੁਣ-ਨਮੂਨਾ-ਪ੍ਰਣਾਲੀ
संवर्धित आव्यूह,ਵਧਿਆ ਹੋਇਆ ਮੈਟਰਿਕਸ
स्वसहसंबंध गुणांक,ਸਵੈ-ਸੰਬੰਧ ਗੁਣਾਂਕ
स्वसहसंबंध फलन,ਸਵੈ-ਸੰਬੰਧ ਫੰਕਸ਼ਨ
स्वसहप्रसरण,ਸਹਿਵਿਹਾਰ
स्वचालित अभिकलित्र,ਆਟੋਮੈਟਿਕ ਕੰਪਿਊਟਰ
स्वसमाश्रयण,ਆਟੋਰਿਗਰੇਸ਼ਨ
सहायक समीकरण,ਸਹਾਇਕ ਸਮੀਕਰਨ
माध्य प्रतिदर्श संख्या वक्र (मा.प्र.सं. वक्र),ਮੀਨ ਸੈਂਪਲ ਨੰਬਰ ਕਰਵ (MPC ਕਰਵ)
" स्वयंसिद्‌ध , अभिगृहीत","axiom, axiom"
अभिगहीती दृष्टिकोण,axiom ਪਹੁੰਚ
प्रायिकता अभिगृहीत,ਸੰਭਾਵਨਾ axiom
अक्ष,ਧੁਰਾ
भुजाक्ष,ਭੁਜਕਸ਼ਾ
भू-अक्ष,ਧਰਤੀ ਦਾ ਧੁਰਾ
परिक्रमण-अक्ष,ਰੋਟੇਸ਼ਨ ਧੁਰਾ
घूर्णन अक्ष,ਰੋਟੇਸ਼ਨ ਧੁਰਾ
प्रचक्रण-अक्ष,ਸਪਿਨ ਧੁਰਾ
पश्च-प्रतिस्थापन,ਪੋਸਟ ਬਦਲੀ
पश्चांतर,ਬਾਅਦ ਵਿੱਚ
पश्च अंतर्वेशन-सूत्र,ਵਾਪਸ ਸੰਮਿਲਨ ਫਾਰਮੂਲਾ
"तुला, तराजू , संतु लन , शेष, बाकी , संतुलित होना, संतुलित करना","ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ"
संतुलित अभिकल्पना,ਸੰਤੁਲਿਤ ਡਿਜ਼ਾਈਨ
तुलन-पत्र,ਸੰਤੁਲਨ ਸ਼ੀਟ
प्रक्षेपास्त्र,ਮਿਜ਼ਾਈਲ
"प्राक्षेपिकी, अस्त्र विज्ञान","ਬੈਲਿਸਟਿਕਸ, ਹਥਿਆਰ"
" स्तंभ, शलाका, सिल, सिल्ली, दंड, छड़, पट्टी , रोधिका, भित्ति , बार , रेखा, रेखिका , परीक्षण रेखा, धार","ਕਾਲਮ, ਰਾਡ, ਕੋਬ, ਬਾਰ, ਬਾਰ, ਬਾਰ, ਬਾਰ, ਬਾਰ, ਬਾਰ, ਲਾਈਨ, ਲਾਈਨ, ਟੈਸਟ ਲਾਈਨ, ਕਿਨਾਰਾ"
"आधार , क्षारक , अधम , मूल , बेस","ਅਧਾਰ, ਅਧਾਰ, ਅਧਾਰ, ਅਧਾਰ, ਅਧਾਰ"
आधार कोण,ਅਧਾਰ ਕੋਣ
"लघुगणक का आधार, लॉगरिथ्म का आधार","ਲਘੂਗਣਕ ਦਾ ਆਧਾਰ, ਲਘੂਗਣਕ ਦਾ ਆਧਾਰ"
"आधारी, मूल,","ਬੁਨਿਆਦੀ, ਬੁਨਿਆਦੀ"
आधारी सुसंगत हल,ਅਧਾਰ ਇਕਸਾਰ ਹੱਲ
आधारी हल,ਅਧਾਰ ਹੱਲ
आधारी चर,ਅਧਾਰ ਵੇਰੀਏਬਲ
आधारक,ਅਧਾਰ
आधार अवयव,ਅਧਾਰ ਤੱਤ
आधारी आव्यूह,ਬੇਸ ਮੈਟ੍ਰਿਕਸ
सदिश समष्टि का आधार,ਵੈਕਟਰ ਸਪੇਸ ਦਾ ਅਧਾਰ
उपसमष्टि का आधार,ਉਪ-ਜਨਸੰਖਿਆ ਦੇ ਆਧਾਰ &#39;ਤੇ
बेज़-आकल,ਬੇਈਮਾਨ
बेज़-नियम,bez-ਨਿਯਮ
बेज़-प्रमेय,ਬੇਜ਼-ਪ੍ਰਮੇਯ
बर्नूली-बंटन,bernoulli-ਵੰਡ
बर्नूली संख्या,ਬਰਨੌਲੀ ਨੰਬਰ
बर्नूली प्रायिकता-फलन,ਬਰਨੌਲੀ ਪ੍ਰੋਬੇਬਿਲਟੀ ਫੰਕਸ਼ਨ
बर्नूली-समीकरण,ਬਰਨੌਲੀ-ਸਮੀਕਰਨ
बेरी फलन,ਬੇਰੀ ਫੰਕਸ਼ਨ
श्रेष्ठतम आसंजन,ਵਧੀਆ ਚਿਪਕਣ
श्रेष्ठतम आसंजन रेखा,ਵਧੀਆ ਅਸੰਭਵ ਲਾਈਨ
सर्वोत्तम हल,ਵਧੀਆ ਹੱਲ
सर्वोत्तम युक्तियाँ,ਵਧੀਆ ਸੁਝਾਅ
बीटा बंटन,ਬੀਟਾ ਵੰਡ
"अभिनति, बायस","ਪੱਖਪਾਤ, ਪੱਖਪਾਤ"
अभिनत आकल,ਪੱਖਪਾਤੀ ਮੁਲਾਂਕਣ
द्विप्रसंवादी समीकरण,ਬਾਇਨੋਮੀਅਲ ਸਮੀਕਰਨ
एकैकी आच्छादन,ਸਿੰਗਲ ਕਵਰ
एकैकी आच्छादी प्रतिचित्र,ਸਿੰਗਲ ਕਵਰ ਨਕਸ਼ਾ
एकैकी आच्छादी प्रतिचित्रण,ਸਿੰਗਲ ਕਵਰ ਮੈਪਿੰਗ
द्विएकघाती समघात,ਚਤੁਰਭੁਜ ਚਤੁਰਭੁਜ
द्विरैखिक फलन,ਦੋ-ਲੀਨੀਅਰ ਫੰਕਸ਼ਨ
द्विरैखिक हर्मिटीय समघात,ਦੋ-ਲੀਨੀਅਰ ਹਰਮੀਟੀਅਨ ਸਮਰੂਪਤਾ
"द्वि-चर, द्वि-आधारी, द्वयी","ਦੋ-ਵੇਰੀਏਬਲ, ਬਾਈਨਰੀ, ਦੋਹਰਾ"
"द्वि-आधारी कोड, द्विआधारी कूट","ਬਾਈਨਰੀ ਕੋਡ, ਬਾਈਨਰੀ ਕੋਡ"
"द्वि-आधारी कूट दशमलव, द्वि-आधारी कोडित दशमलव","ਬਾਈਨਰੀ ਕੋਡਡ ਦਸ਼ਮਲਵ, ਬਾਈਨਰੀ ਕੋਡਿਡ ਦਸ਼ਮਲਵ"
द्वि-आधारी कूटलेखन,ਬਾਈਨਰੀ ਇੰਕੋਡਿੰਗ
द्वि-आधारी अभिकलित्र,ਬਾਈਨਰੀ ਕੰਪਿਊਟਰ
द्वि-आधारी अंक,ਬਾਈਨਰੀ ਨੰਬਰ
द्विआधारी संक्रिया,ਬਾਈਨਰੀ ਕਾਰਵਾਈ
द्विआधारी पद्‌धति,ਬਾਈਨਰੀ ਢੰਗ
द्विआधारी चर,ਬਾਈਨਰੀ ਵੇਰੀਏਬਲ
द्विपद गुणांक,ਬਾਇਨੋਮੀਅਲ ਗੁਣਾਂਕ
द्विपद बंटन,ਬਾਇਨੋਮੀਅਲ ਵੰਡ
द्विपद समीकरण,ਬਾਇਨੋਮੀਅਲ ਸਮੀਕਰਨ
द्विपद प्रसरण,ਬਾਇਨੋਮੀਅਲ ਵਿਭਿੰਨਤਾ
द्विपद व्यंजक,ਦੋਨੋਮੀ ਸਮੀਕਰਨ
द्विपद यादृच्छिक चर,ਬਾਇਨੋਮੀਅਲ ਬੇਤਰਤੀਬ ਵੇਰੀਏਬਲ
द्विपद-प्रमेय,ਬਾਇਨੋਮੀਅਲ ਥਿਊਰਮ
"अर्धन, द्विभाजन","ਅੱਧਾ, ਵਿਭਾਜਨ"
"समद्विभाजन विधि, अर्धीकरण विधि","ਦੋ-ਭਾਗ ਵਿਧੀ, ਅਰਧ-ਵਿਭਾਜਨ ਵਿਧੀ"
"अर्धक, द्विभाजक",ਅੱਧਾ ਬਾਈਸੈਕਟਰ
"द्विपंक्तिक, द्विश्रेणिक","ਬਾਇਨੋਮੀਅਲ, ਦੁਵੱਲਾ"
"द्वयंक (द्विआधारी अंक) , अणी, बरमी , टूक","ਦ੍ਵਯੰਕ (ਬਾਈਨਰੀ ਸੰਖਿਆ), ਅਨੀ, ਬਰਮੀ, ਟੁਕ"
द्विचर द्विपद-बंटन द्विचल,binomial binomial distribution binomial
द्विचर सहसंबंध गुणांक,ਬਾਇਵਾਰੀਏਟ ਸਹਿ-ਸਬੰਧ ਗੁਣਾਂਕ
द्विचर बंटन,ਦੋ-ਪੱਖੀ ਵੰਡ
द्विचर प्रसामान्य-बंटन,bivariate ਸਧਾਰਨ-ਵੰਡ
द्विसदिश,bivector
बोल्ट्मान समीकरण,ਬੋਲਟਮੈਨ ਸਮੀਕਰਨ
बूलीय बीजावली*,ਬੁਲੀਅਨ ਅਲਜਬਰਾ*
बोस-आइन्स्टाइन सांख्यिकी,ਬੋਸ-ਆਈਨਸਟਾਈਨ ਦੇ ਅੰਕੜੇ
परिसीमा प्रतिबन्ध,ਸੀਮਾ ਪਾਬੰਦੀਆਂ
परिसीमा स्तर,ਸੀਮਾ ਪੱਧਰ
परिसीमा रेखा,ਸੀਮਾ ਰੇਖਾ
परिसीमा मान,ਸੀਮਾ ਮੁੱਲ
परिसीमा मान समस्या,ਸੀਮਾ ਮੁੱਲ ਸਮੱਸਿਆ
"परिबद्‌ध फलन परिबद्‌ध फल,",ਸੀਮਿਤ ਫੰਕਸ਼ਨ ਸੀਮਿਤ ਫਲ
"परिबद्‌ध मैट्रिक्स, परिबद्‌ध आव्यूह परिबद्‌ध सारणी,","ਬਾਊਂਡਡ ਮੈਟ੍ਰਿਕਸ, ਬਾਊਂਡਡ ਮੈਟ੍ਰਿਕਸ, ਬਾਊਂਡਡ ਟੇਬਲ"
"परिबद्‌ध प्रदेश परिबद्‌ध प्रदेश,",ਸੀਮਾਬੱਧ ਖੇਤਰ ਸੀਮਾਬੱਧ ਖੇਤਰ
"परिबद्‌ध समच्चय परिबद्‌ध संच,",ਬਾਊਂਡਡ ਸੈੱਟ ਬਾਊਂਡਡ ਸੈੱਟ
ब्राउनी गति,ਭੂਰੀ ਮੋਸ਼ਨ
परिकलन करना,ਗਣਨਾ ਕਰਨ ਲਈ
परिकलन,ਗਣਨਾ
"परिकलन-यंत्र, परिकलित्र","ਕੈਲਕੁਲੇਟਰ, ਕੈਲਕੁਲੇਟਰ"
परिकलन*,ਗਣਨਾ*
परिकलनात्मक क्रिया विधि,ਕੰਪਿਊਟੇਸ਼ਨਲ ਐਕਸ਼ਨ ਵਿਧੀ
" परिकलित्र , परिकलक","ਕੈਲਕੁਲੇਟਰ, ਕੈਲਕੁਲੇਟਰ"
"कलन, कैलकुलस","ਕੈਲਕੂਲਸ, ਕੈਲਕੂਲਸ"
विचरण-कलन,ਪਰਿਵਰਤਨ ਕੈਲਕੂਲਸ
कैलोरी,ਕੈਲੋਰੀ
निरसन नियम,ਨਿਯਮ ਨੂੰ ਰੱਦ ਕਰੋ
विहित समीकरण,ਕੈਨੋਨੀਕਲ ਸਮੀਕਰਨ
विहित रूप,ਕੈਨੋਨੀਕਲ ਰੂਪ
"विहित मैट्रिक्स, के नानिकल मैट्रिक्स","ਕੈਨੋਨੀਕਲ ਮੈਟ੍ਰਿਕਸ, ਕੇ ਕੈਨੋਨੀਕਲ ਮੈਟ੍ਰਿਕਸ"
कैन्टर समुच्चय,cantor ਸੈੱਟ
कैन्टर त्रिआधारी समुच्चय,cantor ਤਿਕੋਣਾ ਸੈੱਟ
परिबंधित परिवहन समस्या,ਸੀਮਤ ਆਵਾਜਾਈ ਸਮੱਸਿਆ
क्षमता,ਯੋਗਤਾ
केशिका-बल,ਕੇਸ਼ੀਲ ਸ਼ਕਤੀ
"गणन संख्या, कार्डिनल संख्या","ਗਿਣਤੀ ਸੰਖਿਆ, ਮੁੱਖ ਸੰਖਿਆ"
कार्तीय अक्ष,ਕਾਰਟੇਸੀਅਨ ਧੁਰਾ
कार्तीय निर्देशांक,ਕਾਰਟੇਸੀਅਨ ਕੋਆਰਡੀਨੇਟਸ
कार्तीय गुणन,ਕਾਰਟੇਸੀਅਨ ਉਤਪਾਦ
