Punjabi,Gujarati
ਗਣਨਾ-ਡਾਟਾ ਵਿਸ਼ਲੇਸ਼ਣ,ગણતરી-માહિતી વિશ્લેષણ
ਪਰਿਵਰਤਨ ਵਿਸ਼ਲੇਸ਼ਣ,વિચલન વિશ્લેષણ
ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਜਿਓਮੈਟਰੀ,વિશ્લેષણાત્મક ભૂમિતિ
ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਫੰਕਸ਼ਨ,વિશ્લેષણાત્મક કાર્ય
ਕੋਣ,કોણ
ਸਪਰਸ਼ ਕੋਣ,સ્પર્શકોણ
ਡਿਫਲੈਕਸ਼ਨ ਕੋਣ,વિચલન કોણ
ਡਿਪਰੈਸ਼ਨ ਕੋਣ,હતાશા કોણ
ਭਟਕਣ ਕੋਣ,વિચલન કોણ
ਵਿਭਿੰਨ ਕੋਣ,વિવર્તન કોણ
ਉਚਾਈ ਕੋਣ,એલિવેશન એંગલ
ਘਟਨਾ ਦਾ ਕੋਣ,ઘટના કોણ
ਪ੍ਰੋਜੈਕਸ਼ਨ ਦਾ ਕੋਣ,પ્રક્ષેપણ કોણ
ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ,પ્રતિબિંબ કોણ
ਅਪਵਰਤਨ ਦਾ ਕੋਣ,રીફ્રેક્શન કોણ
ਰੋਟੇਸ਼ਨ ਕੋਣ,પરિભ્રમણ કોણ
ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਪੂਰਨ ਕੋਣ,પ્રતિબિંબનો સંપૂર્ણ કોણ
ਕੋਣੀ ਪ੍ਰਵੇਗ,કોણીય પ્રવેગક
ਕੋਣੀ ਵੇਗ,કોણીય વેગ
ਕੋਣੀ ਗਤੀ,કોણીય ઝડપ
ਕੋਣੀ ਵੇਗ,કોણીય વેગ
ਰਿੰਗ ਉਂਗਲ,રિંગ આંગળી
ਜਵਾਬ,જવાબ આપો
ਵਿਰੋਧੀ ਡੈਰੀਵੇਟਿਵ,પ્રતિ વ્યુત્પન્ન
isometric ਫੰਕਸ਼ਨ,આઇસોમેટ્રિક કાર્ય
"ਕਵਰ ਕਰਨ ਯੋਗ, ਲਾਗੂ, ਲਾਗੂ","આવરી લેવા યોગ્ય, લાગુ, લાગુ"
"ਐਪਲੀਕੇਸ਼ਨ ਐਪਲੀਕੇਸ਼ਨ,",અરજી અરજી
ਲਾਗੂ ਡਾਇਨਾਮਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ,લાગુ ડાયનેમિક પ્રોગ્રામિંગ
ਲਾਗੂ ਕੀਤੀ ਜਿਓਮੈਟਰੀ,લાગુ ભૂમિતિ
ਲਾਗੂ ਗਣਿਤ,લાગુ ગણિત
ਲਾਗੂ ਅੰਕੜੇ,લાગુ આંકડા
"ਲਗਭਗ, ਲਗਭਗ","લગભગ, લગભગ"
ਲਗਭਗ ਲਗਾਤਾਰ ਫੰਕਸ਼ਨ,લગભગ સતત કાર્ય
"ਮੈਕਰੋ ਵਿਧੀ, ਅਨੁਮਾਨ ਵਿਧੀ","મેક્રો પદ્ધતિ, અંદાજ પદ્ધતિ"
ਅੰਦਾਜ਼ਨ ਹੱਲ,અંદાજિત ઉકેલ
ਲਗਭਗ ਸਮੱਸਿਆ,અંદાજની સમસ્યા
ਲਗਭਗ ਸੰਪਤੀ,અંદાજિત મિલકત
ਯੋਗਤਾ ਟੈਸਟ,અભિરુચિ કસોટી
ਆਰਗਨ ਚਿੱਤਰ,આર્ગોન ડાયાગ્રામ
ਸਵੈ-ਇੱਛਤ,સ્વૈચ્છિક
"ਬੇਤਰਤੀਬ, ਬੇਤਰਤੀਬ","રેન્ડમ, રેન્ડમ"
ਆਪਹੁਦਰੇ ਸਥਿਰ,મનસ્વી સતત
ਮੁਫ਼ਤ ਤੱਤ,મફત તત્વ
ਮਨਮਾਨੀ ਬਿੰਦੂ,મનસ્વી બિંદુ
ਆਰਕੀਮੀਡ ਦਾ ਕਾਨੂੰਨ,આર્કિમિડીનો કાયદો
ਆਰਕੀਮੀਡੀਜ਼ ਦਾ ਕਾਨੂੰਨ,આર્કિમિડીઝનો કાયદો
"ਚਾਪ-ਲੰਬਾਈ, ਚਾਪ-ਲੰਬਾਈ","ચાપ-લંબાઈ, ચાપ-લંબાઈ"
ਚੱਕਰ ਚਾਪ,વર્તુળ ચાપ
ਉਲਟ ਸਾਈਨ ਵੰਡ,વ્યસ્ત સાઈન વિતરણ
ਉਲਟ ਸਾਈਨ ਪਰਿਵਰਤਨ,વ્યસ્ત સાઈન રૂપાંતરણ
"ਖੇਤਰ, ਖੇਤਰ","વિસ્તાર, વિસ્તાર"
ਖੇਤਰੀ ਸੰਰਚਨਾ,પ્રાદેશિક રૂપરેખાંકન
ਇੱਕ ਮਿਸ਼ਰਿਤ ਸੰਖਿਆ ਦਾ ਕੋਣ,જટિલ સંખ્યાનો કોણ
ਗਣਿਤ ਦਾ ਮਤਲਬ,અંકગણિત સરેરાશ
ਡਿਜ਼ੀਟਲ ਕਾਰਵਾਈ,ડિજિટલ કામગીરી
ਡਿਜ਼ੀਟਲ ਯੂਨਿਟ,ડિજિટલ એકમ
"ਸੰਰਚਨਾ, ਵਿਵਸਥਾ","ગોઠવણી, ગોઠવણી"
"ਐਰੇ, ਐਰੇ","એરે, એરે"
ਨਕਲੀ ਉਪਗ੍ਰਹਿ,કૃત્રિમ ઉપગ્રહ
ਨਕਲੀ ਵੇਰੀਏਬਲ,કૃત્રિમ ચલ
ਚੜ੍ਹਨ ਲਈ,ચઢવું
ਚੜ੍ਹਦਾ,ચડતા
ਤੀਬਰਤਾ ਦਾ ਵੱਧਦਾ ਕ੍ਰਮ,તીવ્રતાનો ચડતો ક્રમ
ਚੜ੍ਹਦਾ ਗ੍ਰੇਡ,ચડતા ગ્રેડ
ਅਸੈਂਬਲਰ ਭਾਸ਼ਾ,એસેમ્બલર ભાષા
"ਅਸਾਈਨਮੈਂਟ ਸਮੱਸਿਆ ਅਸਾਈਨਮੈਂਟ ਸਵਾਲ,",સોંપણી સમસ્યા સોંપણી પ્રશ્ન
ਸਹਿਯੋਗੀ ਨਿਯਮ,સહયોગી નિયમ
ਆਪਰੇਟਰਾਂ ਦਾ ਸਹਿਯੋਗੀ ਨਿਯਮ,ઓપરેટરોનો સહયોગી નિયમ
ਸਹਿਯੋਗੀ ਕਾਰਵਾਈ,સહયોગી કામગીરી
ਸਾਥੀ,સોબત
ਮਤਲਬ ਮੰਨਿਆ,ધાર્યું સરેરાશ
ਅਨੁਮਾਨਿਤ ਸੰਭਾਵਨਾ ਵੰਡ,અનુમાનિત સંભાવના વિતરણ
"ਕਲਪਨਾ, ਮੰਨਿਆ,","કલ્પના, સ્વીકાર્યું"
ਜੋਤਿਸ਼,જ્યોતિષશાસ્ત્ર
"ਪੁਲਾੜ ਵਿਗਿਆਨੀ ਇੰਜੀਨੀਅਰ ਸਪੇਸ ਇੰਜੀਨੀਅਰ,",એસ્ટ્રોનોટિકલ એન્જિનિયર સ્પેસ એન્જિનિયર
ਖਗੋਲ ਵਿਗਿਆਨੀ*,ખગોળશાસ્ત્રી*
ਖਗੋਲੀ ਘੜੀ,ખગોળશાસ્ત્રીય ઘડિયાળ
ਖਗੋਲ ਵਿਗਿਆਨ,ખગોળશાસ્ત્ર
ਅਸਮਿਤ ਵਕਰ,અસમપ્રમાણ વળાંક
ਅਸਮਿਤੀ,અસમપ્રમાણતા
asymptotic,એસિમ્પટોટિક
ਪਰੇਸ਼ਾਨ ਕਰਨ ਵਾਲਾ,ઉત્તેજક
ਪ੍ਰਗਤੀਸ਼ੀਲ ਅਨੁਮਾਨਕ,પ્રગતિશીલ અંદાજકાર
ਪਿਛਾਖੜੀ ਪੱਖਪਾਤੀ ਅਨੁਮਾਨਕ,પૂર્વગ્રહ પક્ષપાતી અંદાજકાર
ਪਿਛਾਖੜੀ ਵਿਹਾਰ,પૂર્વવર્તી આચરણ
ਹਮਲਾਵਰ ਵੰਡ ਫੰਕਸ਼ਨ,આક્રમક વિતરણ કાર્ય
ਉੱਪਰ ਵੱਲ ਫੈਲਣਾ,ઉપરની તરફ ફેલાવો
ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ,વાતાવરણ નુ દબાણ
"ਬੇਤਰਤੀਬੇ,",અવ્યવસ્થિત રીતે
ਸੰਪਤੀ*,મિલકત*
ਗੁਣ-ਨਮੂਨਾ-ਪ੍ਰਣਾਲੀ,એટ્રિબ્યુટ-સેમ્પલિંગ-મિકેનિઝમ
ਵਧਿਆ ਹੋਇਆ ਮੈਟਰਿਕਸ,સંવર્ધિત મેટ્રિક્સ
ਸਵੈ-ਸੰਬੰਧ ਗੁਣਾਂਕ,સ્વતઃસંબંધ ગુણાંક
ਸਵੈ-ਸੰਬੰਧ ਫੰਕਸ਼ਨ,સ્વતઃસંબંધ કાર્ય
ਸਹਿਵਿਹਾਰ,સહપ્રવૃત્તિ
ਆਟੋਮੈਟਿਕ ਕੰਪਿਊਟਰ,સ્વચાલિત કમ્પ્યુટર
ਆਟੋਰਿਗਰੇਸ਼ਨ,ઓટોરીગ્રેશન
ਸਹਾਇਕ ਸਮੀਕਰਨ,સહાયક સમીકરણ
ਮੀਨ ਸੈਂਪਲ ਨੰਬਰ ਕਰਵ (MPC ਕਰਵ),મીન સેમ્પલ નંબર કર્વ (MPC કર્વ)
"axiom, axiom","axiom, axiom"
axiom ਪਹੁੰਚ,સ્વયંસિદ્ધ અભિગમ
ਸੰਭਾਵਨਾ axiom,સંભાવના સ્વયંસિદ્ધ
ਧੁਰਾ,ધરી
ਭੁਜਕਸ਼ਾ,ભુજક્ષા
ਧਰਤੀ ਦਾ ਧੁਰਾ,પૃથ્વીની ધરી
ਰੋਟੇਸ਼ਨ ਧੁਰਾ,પરિભ્રમણ અક્ષ
ਰੋਟੇਸ਼ਨ ਧੁਰਾ,પરિભ્રમણ અક્ષ
ਸਪਿਨ ਧੁਰਾ,સ્પિન અક્ષ
ਪੋਸਟ ਬਦਲੀ,પોસ્ટ રિપ્લેસમેન્ટ
ਬਾਅਦ ਵਿੱਚ,પાછળથી
ਵਾਪਸ ਸੰਮਿਲਨ ਫਾਰਮੂਲਾ,પાછા નિવેશ સૂત્ર
"ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ","સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન"
ਸੰਤੁਲਿਤ ਡਿਜ਼ਾਈਨ,સંતુલિત ડિઝાઇન
ਸੰਤੁਲਨ ਸ਼ੀਟ,સરવૈયા
ਮਿਜ਼ਾਈਲ,મિસાઇલ
"ਬੈਲਿਸਟਿਕਸ, ਹਥਿਆਰ","બેલિસ્ટિક્સ, હથિયાર"
"ਕਾਲਮ, ਰਾਡ, ਕੋਬ, ਬਾਰ, ਬਾਰ, ਬਾਰ, ਬਾਰ, ਬਾਰ, ਬਾਰ, ਲਾਈਨ, ਲਾਈਨ, ਟੈਸਟ ਲਾਈਨ, ਕਿਨਾਰਾ","કૉલમ, બાર, કોબ, બાર, બાર, બાર, બાર, બાર, બાર, રેખા, રેખા, પરીક્ષણ રેખા, ધાર"
"ਅਧਾਰ, ਅਧਾਰ, ਅਧਾਰ, ਅਧਾਰ, ਅਧਾਰ","આધાર, આધાર, આધાર, આધાર, આધાર"
ਅਧਾਰ ਕੋਣ,આધાર કોણ
"ਲਘੂਗਣਕ ਦਾ ਆਧਾਰ, ਲਘੂਗਣਕ ਦਾ ਆਧਾਰ","લઘુગણકનો આધાર, લઘુગણકનો આધાર"
"ਬੁਨਿਆਦੀ, ਬੁਨਿਆਦੀ,","મૂળભૂત, મૂળભૂત"
ਅਧਾਰ ਇਕਸਾਰ ਹੱਲ,આધાર સુસંગત ઉકેલ
ਅਧਾਰ ਹੱਲ,આધાર ઉકેલ
ਅਧਾਰ ਵੇਰੀਏਬਲ,આધાર ચલ
ਅਧਾਰ,પાયો
ਅਧਾਰ ਤੱਤ,આધાર તત્વ
ਬੇਸ ਮੈਟ੍ਰਿਕਸ,આધાર મેટ્રિક્સ
ਵੈਕਟਰ ਸਪੇਸ ਦਾ ਅਧਾਰ,વેક્ટર જગ્યાનો આધાર
ਉਪ-ਜਨਸੰਖਿਆ ਦੇ ਆਧਾਰ &#39;ਤੇ,પેટા-વસ્તીનો આધાર
ਬੇਈਮਾਨ,અનૈતિક
bez-ਨਿਯਮ,bez-નિયમ
ਬੇਜ਼-ਪ੍ਰਮੇਯ,bez-પ્રમેય
bernoulli-ਵੰਡ,bernoulli-વિતરણ
ਬਰਨੌਲੀ ਨੰਬਰ,બર્નોલી નંબરો
ਬਰਨੌਲੀ ਪ੍ਰੋਬੇਬਿਲਟੀ ਫੰਕਸ਼ਨ,Bernoulli સંભાવના કાર્ય
ਬਰਨੌਲੀ-ਸਮੀਕਰਨ,બર્નોલી-સમીકરણ
ਬੇਰੀ ਫੰਕਸ਼ਨ,બેરી કાર્ય
ਵਧੀਆ ਚਿਪਕਣ,શ્રેષ્ઠ સંલગ્નતા
ਵਧੀਆ ਅਸੰਭਵ ਲਾਈਨ,શ્રેષ્ઠ સંલગ્નતા રેખા
ਵਧੀਆ ਹੱਲ,શ્રેષ્ઠ ઉકેલ
ਵਧੀਆ ਸੁਝਾਅ,શ્રેષ્ઠ ટીપ્સ
ਬੀਟਾ ਵੰਡ,બીટા વિતરણ
"ਪੱਖਪਾਤ, ਪੱਖਪਾਤ","પૂર્વગ્રહ, પૂર્વગ્રહ"
ਪੱਖਪਾਤੀ ਮੁਲਾਂਕਣ,પક્ષપાતી આકારણી
ਬਾਇਨੋਮੀਅਲ ਸਮੀਕਰਨ,દ્વિપદી સમીકરણ
ਸਿੰਗਲ ਕਵਰ,એક કવર
ਸਿੰਗਲ ਕਵਰ ਨਕਸ਼ਾ,એક કવર નકશો
ਸਿੰਗਲ ਕਵਰ ਮੈਪਿੰਗ,સિંગલ કવર મેપિંગ
ਚਤੁਰਭੁਜ ਚਤੁਰਭੁਜ,ચતુર્ભુજ ચતુર્ભુજ
ਦੋ-ਲੀਨੀਅਰ ਫੰਕਸ਼ਨ,દ્વિરેખીય કાર્ય
ਦੋ-ਲੀਨੀਅਰ ਹਰਮੀਟੀਅਨ ਸਮਰੂਪਤਾ,દ્વિરેખીય સંન્યાસી એકરૂપતા
"ਦੋ-ਵੇਰੀਏਬਲ, ਬਾਈਨਰੀ, ਦੋਹਰਾ","દ્વિ-ચલ, દ્વિસંગી, દ્વિ"
"ਬਾਈਨਰੀ ਕੋਡ, ਬਾਈਨਰੀ ਕੋਡ","બાઈનરી કોડ, બાઈનરી કોડ"
"ਬਾਈਨਰੀ ਕੋਡਡ ਦਸ਼ਮਲਵ, ਬਾਈਨਰੀ ਕੋਡਿਡ ਦਸ਼ਮਲਵ","દ્વિસંગી કોડેડ દશાંશ, દ્વિસંગી કોડેડ દશાંશ"
ਬਾਈਨਰੀ ਇੰਕੋਡਿੰਗ,બાઈનરી એન્કોડિંગ
ਬਾਈਨਰੀ ਕੰਪਿਊਟਰ,દ્વિસંગી કમ્પ્યુટર
ਬਾਈਨਰੀ ਨੰਬਰ,દ્વિસંગી સંખ્યાઓ
ਬਾਈਨਰੀ ਕਾਰਵਾਈ,દ્વિસંગી કામગીરી
ਬਾਈਨਰੀ ਢੰਗ,દ્વિસંગી પદ્ધતિ
ਬਾਈਨਰੀ ਵੇਰੀਏਬਲ,દ્વિસંગી ચલ
ਬਾਇਨੋਮੀਅਲ ਗੁਣਾਂਕ,દ્વિપદી ગુણાંક
ਬਾਇਨੋਮੀਅਲ ਵੰਡ,દ્વિપદી વિતરણ
ਬਾਇਨੋਮੀਅਲ ਸਮੀਕਰਨ,દ્વિપદી સમીકરણ
ਬਾਇਨੋਮੀਅਲ ਵਿਭਿੰਨਤਾ,દ્વિપદી ભિન્નતા
ਦੋਨੋਮੀ ਸਮੀਕਰਨ,દ્વિપદી અભિવ્યક્તિ
ਬਾਇਨੋਮੀਅਲ ਬੇਤਰਤੀਬ ਵੇਰੀਏਬਲ,દ્વિપદી રેન્ડમ ચલ
ਬਾਇਨੋਮੀਅਲ ਥਿਊਰਮ,દ્વિપદી પ્રમેય
"ਅੱਧਾ, ਵਿਭਾਜਨ","અર્ધ, વિભાજન"
"ਦੋ-ਭਾਗ ਵਿਧੀ, ਅਰਧ-ਵਿਭਾਜਨ ਵਿਧੀ","દ્વિભાજ્ય પદ્ધતિ, અર્ધવિભાજન પદ્ધતિ"
ਅੱਧਾ ਬਾਈਸੈਕਟਰ,અડધા દ્વિભાજક
"ਬਾਇਨੋਮੀਅਲ, ਦੁਵੱਲਾ",દ્વિપદી
"ਦ੍ਵਯੰਕ (ਬਾਈਨਰੀ ਸੰਖਿਆ), ਅਨੀ, ਬਰਮੀ, ਟੁਕ","દ્વાયાંક (દ્વિસંગી અંક), અની, બર્મીઝ, ટુક"
binomial binomial distribution binomial,દ્વિપદી દ્વિપદી વિતરણ દ્વિપદી
ਬਾਇਵਾਰੀਏਟ ਸਹਿ-ਸਬੰਧ ਗੁਣਾਂਕ,દ્વિવિધ સહસંબંધ ગુણાંક
ਦੋ-ਪੱਖੀ ਵੰਡ,દ્વિવિધ વિતરણ
bivariate ਸਧਾਰਨ-ਵੰਡ,બાયવેરિયેટ સામાન્ય-વિતરણ
bivector,બાઇવેક્ટર
ਬੋਲਟਮੈਨ ਸਮੀਕਰਨ,બોલ્ટમેન સમીકરણ
ਬੁਲੀਅਨ ਅਲਜਬਰਾ*,બુલિયન બીજગણિત*
ਬੋਸ-ਆਈਨਸਟਾਈਨ ਦੇ ਅੰਕੜੇ,બોઝ-આઈન્સ્ટાઈન સ્ટેટિસ્ટિક્સ
ਸੀਮਾ ਪਾਬੰਦੀਆਂ,મર્યાદા પ્રતિબંધો
ਸੀਮਾ ਪੱਧਰ,સીમા સ્તર
ਸੀਮਾ ਰੇਖਾ,સીમા રેખા
ਸੀਮਾ ਮੁੱਲ,મર્યાદા મૂલ્ય
ਸੀਮਾ ਮੁੱਲ ਸਮੱਸਿਆ,સીમા મૂલ્યની સમસ્યા
"ਸੀਮਿਤ ਫੰਕਸ਼ਨ ਸੀਮਿਤ ਫਲ,",બાઉન્ડેડ ફંક્શન બાઉન્ડેડ ફલ
"ਬਾਊਂਡਡ ਮੈਟ੍ਰਿਕਸ, ਬਾਊਂਡਡ ਮੈਟ੍ਰਿਕਸ, ਬਾਊਂਡਡ ਟੇਬਲ,","બાઉન્ડેડ મેટ્રિક્સ, બાઉન્ડેડ મેટ્રિક્સ, બાઉન્ડેડ ટેબલ"
"ਸੀਮਾਬੱਧ ਖੇਤਰ ਸੀਮਾਬੱਧ ਖੇਤਰ,",સીમિત પ્રદેશ સીમિત પ્રદેશ
"ਬਾਊਂਡਡ ਸੈੱਟ ਬਾਊਂਡਡ ਸੈੱਟ,",બાઉન્ડેડ સેટ બાઉન્ડેડ સેટ
ਭੂਰੀ ਮੋਸ਼ਨ,બ્રાઉની ગતિ
ਗਣਨਾ ਕਰਨ ਲਈ,ગણતરી કરવી
ਗਣਨਾ,ગણતરી
