Marathi,Punjabi
मोठेपणा सहन,ਐਪਲੀਟਿ ord ਡ ਸੈਕਸੀਅਨ
मोठेपणा घटक,ਐਪਲੀਟਿ let ਟ ਫੈਕਟਰ
मोठेपणा मर्यादा,ਐਪਲੀਟਿ .ਡ ਸੀਮਾ
मोठेपणा मॉड्यूलेटेड,ਐਪਲੀਟਿ .ਡ
मोठेपणा मॉड्यूलेशन,ਐਪਲੀਟਿ let ਟ ਮੇਲੂਲੇਸ਼ਨ
एनालॉग (अ‍ॅनालॉग),ਐਨਾਲਾਗ (ਐਨਾਲਾਗ)
एनालॉग सर्किट,ਐਨਾਲਾਗ ਸਰਕਿਟ
एनालॉग संगणक,ਐਨਾਲਾਗ ਕੰਪਿ .ਟਰ
एनालॉग रेडिओ फ्रिक्वेन्सी चॅनेल,ਐਨਾਲਾਗ ਰੇਡੀਓ ਬਾਰੰਬਾਰਤਾ ਚੈਨਲ
एनालॉग प्रतिनिधित्व,ਐਨਾਲਾਗ ਪ੍ਰਤੀਨਿਧਤਾ
एनालॉग सिग्नल,ਐਨਾਲਾਗ ਸਿਗਨਲ
डिजिटल टू डिजिटल,ਐਨਾਲਾਗ ਡਿਜੀਟਲ
डिजिटल कन्व्हर्टर टू एनालॉग,ਐਨਾਲਾਗ ਤੋਂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ
एनालॉग व्हिडिओ,ਐਨਾਲਾਗ ਵੀਡੀਓ
समान,ਸਮਾਨ
समानता,ਸਮਾਨਤਾ
विश्लेषण,ਵਿਸ਼ਲੇਸ਼ਣ
डेटाचे विश्लेषण,ਡਾਟਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
विश्लेषणात्मक घनता,ਵਿਸ਼ਲੇਸ਼ਣ ਘਣਤਾ
विश्लेषण,ਵਿਸ਼ਲੇਸ਼ਣ
विश्लेषक,ਵਿਸ਼ਲੇਸ਼ਕ
उपकरणे,Ancilliay ਉਪਕਰਣ
आणि गेट,ਅਤੇ ਗੇਟ
कोलिमेशनचा कोन,ਕੋਲੀਮੈਂਟ ਦਾ ਕੋਣ
ध्रुवीकरणाचा कोन,ਧਰੁਵੀਕਰਨ ਦਾ ਕੋਣ
रोटेशनचा कोन,ਘੁੰਮਣ ਦਾ ਕੋਣ
अँगस्ट्रॉम (Å),ਐਂਗਟਰੋਮ (å)
कोनीय,ਕੋਣੀ
कोनीय प्रवेग,ਕੋਣੀ ਪ੍ਰਵੇਗ
कोनीय समन्वय,ਕੋਣੀ ਕੋ-ਆਰਡੀਨੇਟ
कोनीय विक्षेपण,ਐਂਗਲੇਨਰ ਫੁਲੈਕਸ਼ਨ
कोनीय फैलाव,ਐਂਗੂਲਰ ਫੈਲਾਅ
कोनीय विस्थापन,ਕੋਣੀ ਵਿਸਥਾਪਨ
कोनीय त्रुटी,ਐਂਗਲੇਰ ਐਰਰ
कोनीय वारंवारता,ਕੋਣੀ ਦੀ ਬਾਰੰਬਾਰਤਾ
कोनीय गती,ਕੋਣੀ ਗਤੀ
कोनीय गती,ਕੋਣੀ ਮੋਸ਼ਨ
कोनीय गती,ਐਂਗਲੇਰ ਵੇਗ
अ‍ॅनिमेशन,ਐਨੀਮੇਸ਼ਨ
एनोड,ਐਨੋਡ
एनोड बॅटरी,ਐਨੋਡ ਬੈਟਰੀ
एनोड वैशिष्ट्य,ਐਨੋਡ ਗੁਣ
एनोड सर्किट,ਅਨੋਡ ਸਰਕਟ
एनोड अपव्यय,ਐਨੋਡ ਡਿਸਪੈਂਪੇਸ਼ਨ
एनोड कार्यक्षमता,ਐਨੋਡ ਕੁਸ਼ਲਤਾ
एनोड इनपुट पॉवर,ਐਨੋਡ ਇਨਪੁਟ ਪਾਵਰ
एनोड मॉड्यूलेशन,ਐਡੀਡ ਦੀ ਵਰਤੋਂ
अँटेना,ਐਂਟੀਨਾ
अँटेना बीमविड्थ,ਐਂਟੀਨਾ ਬੀਅਵਿਡਥ
अँटेना बूस्टर,ਐਂਟੀਨਾ ਬੂਸਟਰ
अँटेना चेंजओव्हर स्विच,ਐਂਟੀਨਾ ਬਦਲਾਓ ਸਵਿੱਚ
अँटेना कॉइल,ਐਂਟੀਨਾ ਕੋਇਲ
अँटेना कॉन्फिगरेशन,ਐਟੀਨਨਾ ਕੌਂਫਿਗਰੇਸ਼ਨ
अँटेना कपलर,ਐਂਟੀਨਾ ਕਪਲਰ
अँटेना क्रॉस ध्रुवीय नमुना,ਐਂਟੀਨਾ ਕਰਾਸ ਪੋਲਰ ਪੈਟਰਨ
अँटेना करंट,ਐਂਟੀਨਾ ਮੌਜੂਦਾ
अँटेना डायरेक्टिव्हिटी गेन,ਐਂਟੀਨਾ ਡਾਇਰੈਕਟਰਵਿਟੀ ਲਾਭ
अँटेना डुप्लेक्सर,ਐਂਟੀਨਾ ਡੁਪਲੈਕਸਰ
अँटेना प्रभावी क्षेत्र,ਐਂਟੀਨਾ ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਖੇਤਰ
अँटेना कार्यक्षमता,ਐਂਟੀਨਾ ਕੁਸ਼ਲਤਾ
अँटेना फीड,ਐਂਟੀਨਾ ਫੀਡ
अँटेना फूट प्रिंट,ਐਂਟੀਨਾ ਪੈਰ ਪ੍ਰਿੰਟ
अँटेना गेन,ਐਂਟੀਨਾ ਲਾਭ
अँटेना उंची,ਐਂਟੀਨਾ ਉਚਾਈ
अँटेना प्रतिबाधा,ਐਂਟੀਨਾ ਪ੍ਰੇਸ਼ਾਨ
अँटेना इंडक्टन्स,ਐਂਟੀਨਾ ਇੰਡਸੀਕਟੈਂਸ
अँटेना पॅटर्न,ਐਂਟੀਨਾ ਪੈਟਰਨ
अँटेना प्लेक्सर,ਐਂਟੀਨਾ ਪਲੇਕਸਰ
अँटेना ध्रुवीकरण,ਐਂਟੀਨਾ ਧਰੁਵੀਕਰਨ
अँटेना पॉवर,ਐਂਟੀਨਾ ਪਾਵਰ
अँटेना पॉवर गेन,ਐਂਟੀਨਾ ਪਾਵਰ ਲਾਭ
अँटेना रेडिएशन प्रतिरोध,ਐਂਟੀਨਾ ਰੇਡੀਏਸ਼ਨ ਟਾਕਰਾ
अँटेना रिएक्टन्स,ਐਂਟੀਨਾ ਪ੍ਰਤੀਕ੍ਰਿਆ
अँटेना परावर्तक,ਐਂਟੀਨਾ ਰਿਫਲੈਕਟਰ
अँटेना प्रतिकार,ਐਂਟੀਨਾ ਟਾਕਰੇ
अँटेना रेझोनंट वारंवारता,ਐਂਟੀਨਾ ਗੂੰਜਕ ਬਾਰੰਬਾਰਤਾ
अँटेना स्पेसिंग,ਐਂਟੀਨਾ ਸਪੇਸਿੰਗ
अँटेना स्विचिंग रूम,ਐਂਟੀਨਾ ਸਵਿਚਿੰਗ ਰੂਮ
अँटेना ट्यूनिंग कॉइल,ਐਂਟੀਨਾ ਟਿ ing ਨਿੰਗ ਕੋਇਲ
अँटेना ट्यूनिंग झोपडी,ਐਂਟੀਨਾ ਟਿ ing ਨਿੰਗ ਹੱਟ
छिद्र,ਅਪਰਚਰ
अपोजी,ਅਪੋਜੀ
अपोजी रॉकेट,ਅਪੋਜੀ ਰਾਕੇਟ
उपकरणे,ਉਪਕਰਣ
उघड,ਸਪੱਸ਼ਟ
Let पलेट,ਐਪਲਿਟ
अर्ज,ਐਪਲੀਕੇਸ਼ਨ
अंदाजे,ਲਗਭਗ
जलीय द्रावण,Aquive ਹੱਲ
कंस,ਆਰਕ
आर्किटेक्चर,ਆਰਕੀਟੈਕਚਰ
ध्वनी रेकॉर्डिंगचे संग्रहण हस्तांतरण,ਧੁਨੀ ਰਿਕਾਰਡਿੰਗ ਦਾ ਆਰਕਵਲ ਟ੍ਰਾਂਸਫਰ
संग्रहण,ਪੁਰਾਲੇਖ
अंकगणित कोडिंग,ਹਿਸਾਬ ਕੋਡਿੰਗ
आर्मेचर,ਆਰਮਚਰ
आर्मेचर विंडिंग,ਆਰਮਟਿ ure ਟਰ ਹਵਾ
रचना,ਐਰੇ
अरेस्टर,ਅਰੈਸਟਰ
बोलता,ਬਿਆਨ
कलाकृती (= कलाकृती),ਆਰਟੀਫੈਕਟ (= ਆਰਟਫੈਕਟ)
चढत्या,ਚੜ੍ਹਨਾ
प्रसर गुणोत्तर,ਆਕਾਰ ਅਨੁਪਾਤ
असेंबलर,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
प्रतिपादन,ਜ਼ੋਰ
असाइनमेंट,ਅਸਾਈਨਮੈਂਟ
असाइनमेंट चॅनेल,ਅਸਾਈਨਮੈਂਟ ਚੈਨਲ
असममित,ਅਸਮੈਟ੍ਰਿਕਲ
एसिन्क्रोनस,ਅਸਿੰਕਰੋਨਸ
वातावरण,ਵਾਤਾਵਰਣ
वातावरणीय नुकसान,ਵਾਯੂਮੰਡਲ ਦਾ ਨੁਕਸਾਨ
वातावरणीय आवाज,ਵਾਯੂਮੰਡਲ ਸ਼ੋਰ
वातावरणीय दबाव,ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ
वातावरणीय प्रसार,ਵਾਯੂਮੰਡਲ ਪ੍ਰਸਾਰ
वातावरणीय रेडिओ-वेव्ह,ਵਾਯੂਮੰਡਲ ਰੇਡੀਓ-ਵੇਵ
वातावरण,ਵਾਯੂਮੰਡਲ
अणू,ਐਟਮ
अणु रचना,ਪ੍ਰਮਾਣੂ ਬਣਤਰ
संलग्नक,ਲਗਾਵ
क्षीणन,ਪਟੀਸ਼ਨ
क्षमतेचे नुकसान,ਅਟੁੱਟ ਨੁਕਸਾਨ
ध्वनी लहरींचे लक्ष वेधणे,ਅਵਾਜ਼ ਦੀਆਂ ਲਹਿਰਾਂ ਦਾ ਧਿਆਨ
अ‍ॅटेन्युएटर,Attetuator
अ‍ॅटेन्युएटर-पॅड,ਐਟੀਟਨਿਟਰ-ਪੈਡ
ऑडिबिलिटी थ्रेशोल्ड,ਆਡੀਬਿਲਟੀ ਥ੍ਰੈਸ਼ੋਲਡ
ऐकण्यायोग्य,ਸੁਣਨਯੋਗ
ऐकण्यायोग्य वारंवारता,ਆਡੀਅਲ ਬਾਰੰਬਾਰਤਾ
ऐकण्यायोग्य टोन,ਸੁਣਨਯੋਗ ਧੁਨ
ऐकण्यायोग्य-स्पेक्ट्रम,ਸੁਣਨਯੋਗ-ਸਪੈਕਟ੍ਰਮ
प्रेक्षक,ਹਾਜ਼ਰੀਨ
ऑडिओ,ਆਡੀਓ
ऑडिओ एम्पलीफायर,ਆਡੀਓ ਅਮਲੀਫਾਇਰ
ऑडिओ विश्लेषक,ਆਡੀਓ ਵਿਸ਼ਲੇਸ਼ਕ
ऑडिओ प्रसारण,ਆਡੀਓ ਪ੍ਰਸਾਰਣ
ऑडिओ केबल,ਆਡੀਓ ਕੇਬਲ
ऑडिओ साखळी,ਆਡੀਓ ਚੇਨ
ऑडिओ कोडेक,ਆਡੀਓ ਕੋਡਕ
ऑडिओ कॉम्प्रेशन,ਆਡੀਓ ਕੰਪ੍ਰੈਸਨ
ऑडिओ कॉम्प्रेसर,ਆਡੀਓ ਕੰਪ੍ਰੈਸਰ
ऑडिओ कन्सोल,ਆਡੀਓ ਕੰਸੋਲ
ऑडिओ विकृती,ਆਡੀਓ ਵਿਗਾੜ
ऑडिओ डायनॅमिक श्रेणी,ਆਡੀਓ ਡਾਇਨਾਮਿਕ ਰੇਂਜ
ऑडिओ फाइल स्वरूप,ਆਡੀਓ ਫਾਈਲ ਫਾਰਮੈਟ
ऑडिओ फ्रेम स्वरूप,ਆਡੀਓ ਫਰੇਮ ਫਾਰਮੈਟ
ऑडिओ फ्रिक्वेन्सी एम्पलीफायर,ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਐਂਪਲੀਫਾਇਰ
ऑडिओ फ्रिक्वेन्सी जनरेटर,ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਜਰਨੇਟਰ
ऑडिओ वारंवारता श्रेणी,ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਦੀ ਸੀਮਾ
ऑडिओ वारंवारता प्रतिसाद,ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਜਵਾਬ
ऑडिओ लिमिटर,ਆਡੀਓ ਸੀਮਾ
ऑडिओ लाइन,ਆਡੀਓ ਲਾਈਨ
ऑडिओ मिक्सर,ਆਡੀਓ ਮਿਕਸਰ
ऑडिओ मॉड्यूलेशन,ਆਡੀਓ ਸੰਚਾਲਨ
ऑडिओ ऑसीलेटर,ਆਡੀਓ c ਸਿਲੇਟਰ
ऑडिओ आउटपुट,ਆਡੀਓ ਆਉਟਪੁੱਟ
ऑडिओ पॉवर,ਆਡੀਓ ਪਾਵਰ
ऑडिओ गुणवत्ता,ਆਡੀਓ ਕੁਆਲਟੀ
ऑडिओ सिग्नल,ਆਡੀਓ ਸਿਗਨਲ
ऑडिओ सिग्नल प्रक्रिया,ਆਡੀਓ ਸਿਗਨਲ ਪ੍ਰੋਸੈਸਿੰਗ
ऑडिओ स्पेक्ट्रम,ਆਡੀਓ ਸਪੈਕਟ੍ਰਮ
ऑडिओ स्टोरेज,ਆਡੀਓ ਸਟੋਰੇਜ
ऑडिओ सब-कॅरियर,ਆਡੀਓ ਸਬ-ਕੈਰੀਅਰ
ऑडिओ ट्रान्सफॉर्मर,ਆਡੀਓ ਟਰਾਂਸਫਾਰਮਰ
ऑडिओ ट्रान्समीटर,ਆਡੀਓ ਟ੍ਰਾਂਸਮੀਟਰ
ऑडिओ/व्हिडिओ कॉम्प्रेशन,ਆਡੀਓ / ਵੀਡੀਓ ਸੰਕੁਚਨ
ऑडिओ-फ्रिक्वेन्सी ऑसीलेटर,ਆਡੀਓ-ਬਾਰੰਬਾਰਤਾ
ऑडिओ-फ्रिक्वेन्सी सिग्नल,ਆਡੀਓ-ਬਾਰੰਬਾਰਤਾ ਸੰਕੇਤ
ऑडिओमेट्री,ਆਡੀਓਮੈਟਰੀ
ऑडिओ-व्हिज्युअल मदत,ਆਡੀਓ-ਵਿਜ਼ੂਅਲ ਸਹਾਇਤਾ
श्रवणविषयक समज,ਆਡੀਟਰੀ ਧਾਰਨਾ
प्रमाणीकरण,ਪ੍ਰਮਾਣਿਕਤਾ
अधिकृत वाहक वारंवारता,ਅਧਿਕਾਰਤ ਕੈਰੀਅਰ ਬਾਰੰਬਾਰਤਾ
ऑटो कॅड,ਆਟੋ ਕੈਡ
ऑटो डायग्नोस्टिक्स,ਆਟੋ ਨਿਦਾਨ
स्वयंचलित,ਆਟੋਮੈਟਿਕ
स्वयंचलित नियंत्रण,ਆਟੋਮੈਟਿਕ ਕੰਟਰੋਲ
स्वयंचलित शोध,ਆਟੋਮੈਟਿਕ ਖੋਜ
स्वयंचलित उपकरणे,ਆਟੋਮੈਟਿਕ ਉਪਕਰਣ
स्वयंचलित वारंवारता नियंत्रण,ਆਟੋਮੈਟਿਕ ਬਾਰੰਬਾਰਤਾ ਨਿਯੰਤਰਣ
स्वयंचलित मर्यादा,ਆਟੋਮੈਟਿਕ ਸੀਮਾ
स्वयंचलित मशीन,ਆਟੋਮੈਟਿਕ ਮਸ਼ੀਨ
स्वयंचलित Phasae नियंत्रण,ਆਟੋਮੈਟਿਕ ਫਾਸੇ ਕੰਟਰੋਲ
स्वयंचलित चित्र संप्रेषण,ਆਟੋਮੈਟਿਕ ਤਸਵੀਰ ਸੰਚਾਰ
स्वयंचलित प्लेबॅक,ਆਟੋਮੈਟਿਕ ਪਲੇਅਬੈਕ
स्वयंचलित उर्जा नियंत्रण,ਆਟੋਮੈਟਿਕ ਪਾਵਰ ਕੰਟਰੋਲ
स्वयंचलित प्रोग्रामिंग,ਆਟੋਮੈਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ
स्वयंचलित रेकॉर्डिंग,ਆਟੋਮੈਟਿਕ ਰਿਕਾਰਡਿੰਗ
स्वयंचलित रीसेट,ਆਟੋਮੈਟਿਕ ਰੀਸੈੱਟ
स्वयंचलित शटर,ਆਟੋਮੈਟਿਕ ਸ਼ਟਰ
स्वयंचलित प्रणाली,ਆਟੋਮੈਟਿਕ ਸਿਸਟਮ
स्वयंचलित टेलिफोन,ਆਟੋਮੈਟਿਕ ਟੈਲੀਫੋਨ
स्वयंचलित तापमान नियंत्रण,ਆਟੋਮੈਟਿਕ ਤਾਪਮਾਨ ਨਿਯੰਤਰਣ
स्वयंचलित व्होल्टेज नियामक,ਆਟੋਮੈਟਿਕ ਵੋਲਟੇਜ ਰੈਗੂਲੇਟਰ
स्वयंचलित व्हॉल्यूम कॉम्प्रेसर,ਆਟੋਮੈਟਿਕ ਵਾਲੀਅਮ ਕੰਪ੍ਰੈਸਰ
स्वयंचलित व्हॉल्यूम नियंत्रण,ਆਟੋਮੈਟਿਕ ਵਾਲੀਅਮ ਨਿਯੰਤਰਣ
