Hindi,Punjabi
युग,ਏਯੋਨ
इरेरियम,ਏਰੈਰੀਅਮ
"आकाशी युद्ध, हवाई लड़ाई",ਹਵਾਈ ਜੰਗ
"एटोलियन लीग, एटोलियायी संघ",ਏਟੋਲੀਅਨ ਲੀਗ
"काल, युग",ਉਮਰ
"काल-प्रभावन, जीर्णन",ਬੁਢਾਪਾ (=ਬੁਢਾਪਾ)
जीर्णन-प्रक्रिया,ਬੁਢਾਪੇ ਦੀ ਪ੍ਰਕਿਰਿਆ
एजिलायी,ਅਗੇਲੈ
शौर्य युग,ਬਹਾਦਰੀ ਦੀ ਉਮਰ
"प्रबोध युग, ज्ञानोदय युग",ਗਿਆਨ ਦੀ ਉਮਰ
पेरीक्लीज़ युग,ਪੇਰੀਕਲਸ ਦੀ ਉਮਰ
तर्क प्रधान युग,ਕਾਰਨ ਦੀ ਉਮਰ
भूमि सुधारवाद,ਖੇਤੀਵਾਦ
भूमि सुधारवादी आंदोलन,ਖੇਤੀ ਅੰਦੋਲਨ
एलबियन,ਐਲਬੀਅਨ
अलबम,ਐਲਬਮ
"पौर मुख्य, विशिष्ट पौर, आल्‍डर्मन",ਐਲਡਰਮੈਨ
कुलांकित आयुध,ਲੁਭਾਉਣੇ ਹਥਿਆਰ
मैत्री,ਦੋਸਤੀ
एम्फिकटिआनी परिषद,Amphictyonic ਕੌਂਸਲ
ऊपर देo : Amphictyonic Council,ਐਮਫਿਕਟੋਨਿਕ ਲੀਗ
"रंगवाट, रंगभूमि, अखाड़ा",ਅਖਾੜਾ
(मृद्भांडों का) अमरीनाल वर्ग,ਅਮਰੀ ਨਲ ਸਮੂਹ (ਮਿੱਟੀ ਦੇ ਭਾਂਡਿਆਂ ਦਾ)
"काल-वैषम्य, काल-दोष",ਐਨਾਕ੍ਰੋਨਿਜ਼ਮ
काल-वैषम्ययुक्त,ਐਨਾਕ੍ਰੋਨਿਸਟਿਕ
पूर्वज,ਪੂਰਵਜ
पितृ-पूजा,ਪੂਰਵਜ ਦੀ ਪੂਜਾ
कुल-परंपरा,ਵੰਸ਼
2. वंश,ਵੰਸ਼
3. वंश-क्रम,ਵੰਸ਼
4. उच्च कुल,ਵੰਸ਼
"प्राचीन शासन-व्यवस्था, क्रांति पूर्व शासन-व्यवस्था",ਪ੍ਰਾਚੀਨ ਸ਼ਾਸਨ
"पुरातन, प्राचीन",ਪ੍ਰਾਚੀਨ
प्राचीन गाथा,ਪ੍ਰਾਚੀਨ ਗੀਤ
प्राचीन मत,ਪ੍ਰਾਚੀਨ ਵਿਸ਼ਵਾਸ
प्राचीन प्रथा,ਪ੍ਰਾਚੀਨ ਰਿਵਾਜ
प्राचीन हतिहास,ਪ੍ਰਾਚੀਨ ਇਤਿਹਾਸ
प्राचीन स्मारक,ਪ੍ਰਾਚੀਨ ਸਮਾਰਕ
उपाख्यान,ਕਿੱਸਾ
एन्जिलोट,ਐਂਜਲੋਟ
देवदूत पूजा,ਐਂਜਲਸ
आन्जवै,ਐਂਜੇਵਿਨ (=ਅੰਜੇਵਿਨ)
ऐन्गल्स,ਕੋਣ
आंग्लिक,ਐਂਗਲੀਕਨ
आंग्ल चर्च,ਐਂਗਲੀਕਨ ਕਮਿਊਨੀਅਨ
आंग्ल चर्चवाद,ਐਂਗਲੀਕਨਵਾਦ
आंग्ल विरोधी,ਐਂਗਲੋ-ਫੋਬ
आंग्ल-दुर्भीति,ਐਂਗਲੋ-ਫੋਬੀਆ
आंग्ल सैक्सन,ਐਂਗਲੋ-ਸੈਕਸਨ
आंग्ल-सैक्सनवाद,ਐਂਗਲੋ-ਸੈਕਸੋਨਿਜ਼ਮ
"आख्यान-लेखक, आख्यानकार",ਐਨਾਲਿਸਟ
"वर्षवृत्त, आख्यान, ख्यात",ਇਤਿਹਾਸ
"अधिनहन, मिला देना",ਅਨੇਕਸ਼ਨ
युद्ध पूर्व (स्थिति),ਐਂਟੀ-ਬੇਲਮ
"पूर्वतिथि-निर्धांरण, पूर्वकाल निर्धारण",ਪਿਛਲੀ ਤਾਰੀਖ
पादरी प्रथा विरोधी,ਵਿਰੋਧੀ ਮੌਲਵੀਵਾਦ
पादरी प्रथा विरोधी विधान,ਕਲੈਰੀਕਲ ਵਿਰੋਧੀ ਕਾਨੂੰਨ
"पुरावशेष, पुरावस्तु",ਪੁਰਾਤਨਤਾ
लगान-विरोधी,ਵਿਰੋਧੀ ਕਿਰਾਇਆ
2. एन्टी रैन्ट पार्टी,ਵਿਰੋਧੀ ਕਿਰਾਇਆ
"यहूदी विरोध, यहूदीवाद-विरोध, यहूदी विरोधवाद",ਵਿਰੋਧੀ ਸਾਮੀਵਾਦ
ऐन्ज़ेक,ਐਨਜ਼ੈਕ
नागरिक सभा,ਅਪੇਲਾ
अरालू,ਅਰਲੂ
आर्च बिशप,ਆਰਕ ਬਿਸ਼ਪ
आर्च डची,ਆਰਕ ਡਚੀ
आर्च ड्यूक,ਆਰਕ ਡਿਊਕ
पुरालेख संग्रह,ਪੁਰਾਲੇਖ (=ਪੁਰਾਲੇਖ ਸੰਗ੍ਰਹਿ)
महाधर्माध्यक्ष का पद,ਆਰਚੀਪੀਸਕੋਪੇਟ
अभिजाततंत्र,ਕੁਲੀਨ
अभिजात,ਰਈਸ
अभिजातीय दंभ,ਕੁਲੀਨ ਸਨੋਬਰੀ
अरस्तूवादी,ਅਰਿਸਟੋਟਲੀਅਨ
आर्मेडा,ਆਰਮਾਡਾ
स्पेन का आर्मेडा,ਆਰਮਾਡਾ (= ਸਪੇਨੀ ਆਰਮਾਡਾ)
कवच-विशारद,ਸ਼ਸਤਰਧਾਰਕ (=ਸ਼ਸਤਰਧਾਰਕ)
"कवच, बख्तर, वर्म",ਸ਼ਸਤ੍ਰ (= ਸ਼ਸਤ੍ਰ)
अo देo armorist,ਸ਼ਸਤਰਧਾਰਕ
आर्य,ਆਰੀਅਨ
2. कुलीन,ਆਰੀਅਨ
अस्कारी,ਅਸਕਰੀ
"आसिग्ना, भू-प्रतिभृत मुद्रा",ਅਸਾਈਨੈਟ
अभिसत्र,ਅਸਾਈਜ਼
2. विधिपृच्छा,ਅਸਾਈਜ਼
3. अभिसत्राधिनियम,ਅਸਾਈਜ਼
आयुध अभिसत्राधिनियम,ਅਸਲਾ ਐਕਟ ਦੀ ਸਹਾਇਤਾ
डारेन उपस्थापन अभिसत्राधिनियम,ਡੈਰੇਨ ਪ੍ਰੈਜ਼ੈਂਟਮੈਂਟ ਦੀ ਸਹਾਇਤਾ
मृत पूर्वज अभिसत्राधिनियम,ਮੋਰਟ &#39;ਡੀ&#39; ਪੂਰਵਜ ਦੀ ਸਹਾਇਤਾ
अभिनव अधिधारणोत्सादन अभिसत्राधिनियम,ਨਾਵਲ ਡੀਸੀਸਿਨ ਦੀ ਸਹਾਇਤਾ
नृशंसता,ਅੱਤਿਆਚਾਰ
आक्रमण,ਹਮਲਾ
"सर्वोच्च न्यायालय, ऑलिक काउन्सिल",ਔਲਿਕ ਕੌਂਸਲ
गेडिस समाधान,ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ (= ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ)
धुरी राष्ट्र,ਐਕਸਿਸ (=ਰੋਮ-ਬਰਲਿਨ-ਟੋਕੀਓ ਐਕਸਿਸ)
"बाबुल, बेबीलोन",ਬਾਬਲ
बेबीलोनी बंदीकरण,ਬਾਬਲੀ ਗ਼ੁਲਾਮੀ (=ਬੇਬੀਲੋਨ ਦੀ ਗ਼ੁਲਾਮੀ)
बाखुसी उपासक,ਬਚਨਲ ਭਗਤ
मद्यपानोत्सव,ਬਚਨਲਿਆ
युवा योद्धा,ਕੁਆਰਾ
"बगदाद अनुबंध, बगदाद पैक्ट",ਬਗਦਾਦ ਸਮਝੌਤਾ
बाल्कन लीग,ਬਾਲਕਨ ਲੀਗ
बाल्कन अनुबंध,ਬਾਲਕਨ ਸਮਝੌਤਾ
बाल्कन युद्ध,ਬਾਲਕਨ ਯੁੱਧ
बाल्टिक अनुबंध,ਬਾਲਟਿਕ ਸਮਝੌਤਾ
दस्यु,ਡਾਕੂ
बांडुंग सम्मेलन,ਬੈਂਡੁੰਗ ਕਾਨਫਰੰਸ
"निर्वासन, देश-निकाला",ਦੇਸ਼ ਨਿਕਾਲੇ
"पताका, ध्वजा",ਬੈਨਰ
बर्बर,ਵਹਿਸ਼ੀ
कोट-घूँघट,ਬਾਰਬੀਕਨ
बारदोली सत्याग्रह,ਬਾਰਡੋਲੀ ਸੱਤਿਆਗ੍ਰਹਿ
बार्न बर्नस,ਬਾਰਨ ਬਰਨਰ
"बैरन, सामंत",ਬੈਰਨ
बैरोनेज,ਬੈਰੋਨੇਜ
महासामंत,ਬੈਰੋਨਸ ਮੇਜਰਸ
लघु सामंत,ਬੈਰੋਨਸ ਨਾਬਾਲਗ
सामंत पत्नी,ਬੈਰੋਨੇਸ
उपसामंत,ਬੈਰੋਨੇਟ
उपसामंत वर्ग,ਬੈਰੋਨੇਟੇਜ
2. बैरोनेट वंशावली,ਬੈਰੋਨੇਟੇਜ
उपसामंत,ਬੈਰੋਨੇਟਸੀ
बैरोनी,ਬੈਰੋਨੀ
दास बंदीगृह,ਬੈਰਾਕੂਨ
2. दास-गृह,ਬੈਰਾਕੂਨ
अवरोध,ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ)
2. घिराव,ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ)
3. मोचबिंदी,ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ)
आधार शिबिर,ਬੇਸ ਕੈਂਪ
वैसिलिका,ਬੇਸਿਲਿਕਾ
2. सभा भवन,ਬੇਸਿਲਿਕਾ
बैस्टील,ਬਸਤੀਲਾ
बैस्टील,ਬੈਸਟਿਲ
2. कारागार,ਬੈਸਟਿਲ
तोपखाना,ਬੈਟਰੀ
"रण, समर, युद्ध",ਲੜਾਈ
रण-व्यूह,ਬੈਟਲੇ-ਐਰੇ
युद्ध-घोष,ਲੜਾਈ ਦਾ ਰੋਣਾ
युद्ध कोलाहल,ਲੜਾਈ ਦੀਨ
"रण भूमि, रण क्षेत्र, समरांगण",ਲੜਾਈ ਦਾ ਮੈਦਾਨ
युद्ध-गान,ਲੜਾਈ ਦਾ ਭਜਨ
एड़-युद्ध,ਸਪਰਸ ਦੀ ਲੜਾਈ
ध्वज-संग्राम,ਸਟੈਂਡਰਡ ਦੀ ਲੜਾਈ
"रणपोत, जंगी जहाज़, संगरपोत",ਬੈਟਲਸ਼ਿਪ
"संगरपोत शक्ति, रणपोत-शक्ति",ਬੈਟਲਸ਼ਿਪ-ਤਾਕਤ
बेयू चित्रपट,Bayeux tapestry
संकेत प्रकाश,ਬੀਕਨ
प्रकाश स्तंभ,ਬੀਕਨ ਟਾਵਰ
मुखरक्षी,ਬੀਵਰ
2. बीवर सिक्का,ਬੀਵਰ
समुद्री बैगर,ਸਮੁੰਦਰ ਦੇ ਭਿਖਾਰੀ
युयुत्यु,ਬੇਲੀਕੋਜ਼
2. लड़ाकू,ਬੇਲੀਕੋਸ
3. युद्धप्रिय,ਬੇਲੀਕੋਜ਼
"युयुत्सा, युद्धप्रियता, लड़ाकूपन",ਬੇਲੀਕੋਸਿਟੀ
बेलोना,ਬੇਲੋਨਾ
"मठवृत्ति, धमवृत्ति, पादरी की वृत्ति",ਲਾਭ
पादरी-सुविधा,ਪਾਦਰੀਆਂ ਦਾ ਲਾਭ
बेनीलक्स,ਬੇਨੇਲਕਸ
"बर्लिन डिकी, बर्लिन निषेध",ਬਰਲਿਨ ਫ਼ਰਮਾਨ
"जुझारू योद्धा, नार्सी योद्धा",ਬੇਸਰਕਰ
बजांत,ਬੇਸੰਤ (=ਬੇਜ਼ੰਤ)
बैथेल,ਬੈਥਲ
ग्रंथ-पूजक,ਬਾਈਬਲੀਓਲੇਟਰ
ग्रंथपूजन,ਬਿਬਲਿਓਲਾਟਰੀ
बिग बर्था,ਵੱਡੀ ਬਰਥਾ
धर्मांध,ਬਿਗੌਟ
वासादेश,ਬਿਲੀਟਿੰਗ
बिल ऑफ अटेन्डर,ਅਟੈਂਡਰ ਦਾ ਬਿੱਲ
अधिकार-पत्र,ਅਧਿਕਾਰਾਂ ਦਾ ਬਿੱਲ
"जीवनीकार, चरित लेखक",ਜੀਵਨੀਕਾਰ
जातक कथाएँ,ਜਨਮ ਕਹਾਣੀਆਂ
पड़ाव,ਬਿਵੁਆਕ
2. रण-शिविर,ਬਿਵੁਆਕ
3. सैनिक पहरा,ਬਿਵੁਆਕ
बाइज़ोनिया,ਬਿਜੋਨੀਆ
अवैध दास आयात,ਕਾਲਾ ਪੰਛੀ
काला झंडा,ਕਾਲਾ ਝੰਡਾ
काल-कोठरी,ਕਾਲਾ ਮੋਰੀ
2. ब्लैक होल,ਕਾਲਾ ਮੋਰੀ
"गद्दार, द्रोही",ਕਾਲੀ ਲੱਤ (= ਖੁਰਕ)
"ब्लैक शर्ट, काली कुर्ती दल",ਕਾਲੀ ਕਮੀਜ਼
कुल चिह्र,ਬਲੇਜ਼ਨ
2. कुल चिह्र अंकन,ਬਲੇਜ਼ਨ
कुल-चिह्रांकन कला,ਧਮਾਕੇਦਾਰ
2. कलात्मक प्रदर्शन,ਧਮਾਕੇਦਾਰ
"तड़ित युद्ध, तूफानी हमला",ਬਲਿਟਜ਼ਕਰੀਗ
"गौरवमय क्रांति, रक्तहीन क्रांति",ਖੂਨ ਰਹਿਤ ਇਨਕਲਾਬ (= ਸ਼ਾਨਦਾਰ ਇਨਕਲਾਬ)
"रक्तपात देय, खून की कीमत, रक्तपात दण्ड",ਬਲੱਡਵਾਈਟ
खूनी मेरी (सन् - ईo),ਖੂਨੀ ਮੈਰੀ
ब्लू,ਨੀਲਾ
"आभिजात्य, कुलीनता",ਨੀਲਾ ਖੂਨ
"नीली पुस्तिका, सरकारी रिपोर्ट, ब्लू बुक",ਨੀਲੀ ਕਿਤਾਬ
"नीला फीता, ब्लू रिबन",ਨੀਲਾ ਰਿਬਨ
2. सर्वोच्च सम्मान,ਨੀਲਾ ਰਿਬਨ
राजकीय रक्षक,ਬਲੂਜ਼ (=ਰਾਇਲ ਹਾਰਸ ਗਾਰਡ)
नीली कुर्ती दल (इटली),ਨੀਲੀ ਕਮੀਜ਼
नौसेना समर्थक,ਬਲੂ ਵਾਟਰ ਸਕੂਲ
"संचालन-मंडल, संचालन-बोर्ड, नियंन्त्रण मंडल",ਕੰਟਰੋਲ ਬੋਰਡ
"वर्म, जिरह-बख्तर",ਸਰੀਰ ਦੇ ਬਸਤ੍ਰ
बूर,ਬੋਅਰ
लूट का माल,ਲੁੱਟ
बरो,ਬੋਰੋ
सीनेट सदन,ਬੁਲੇਉਟੇਰੀਅਨ
बूर्बा,ਬੋਰਬਨ
बॉक्सर विद्रोह,ਮੁੱਕੇਬਾਜ਼ ਬਗਾਵਤ
भुज कवच,ਬ੍ਰੇਸ
बाहु पट्टिका,ਬ੍ਰਾਸਾਰਡ
"2. भुज बंध, भुज कवच",ਬ੍ਰਾਸਾਰਡ
बहुधान्यक प्रदेश,ਰੋਟੀ ਦੀਆਂ ਬਸਤੀਆਂ
"वक्षस्त्राण, उरस्ताण",ਛਾਤੀ ਪਲੇਟ
आवक्ष भित्ति,ਛਾਤੀ ਦਾ ਕੰਮ
"ब्रेटवाल्डा, ब्रिटनों का अधिपति",ਬਰੇਟਵਾਲਡਾ
बटमार,ਬ੍ਰਿਗੈਂਡ
"बटमारी, लुंठन, राहजनी",ਬ੍ਰਿਗੇਂਡੇਜ
"ब्रिटिश कॉमनवेल्य, राष्ट्रमंडल",ਬ੍ਰਿਟਿਸ਼ ਕਾਮਨਵੈਲਥ ਆਫ ਨੇਸ਼ਨਜ਼
"ब्राउन शर्ट्स, भूरी कुर्ती दल",ਭੂਰੇ ਰੰਗ ਦੀਆਂ ਕਮੀਜ਼ਾਂ (=ਨਾਜ਼ੀਆਂ)
ब्रुसेल्स संधि संगठन,ਬ੍ਰਸੇਲਜ਼ ਸੰਧੀ (ਪੈਕਟ) ਸੰਗਠਨ (= ਪੱਛਮੀ ਯੂਰਪੀਅਨ ਯੂਨੀਅਨ)
महिष चर्म,ਮੱਝ
2. लघु कोट,ਮੱਝ
बफ़-कोट,ਮੱਝ-ਕੋਟ
बफ़-रेज़िमेंट,ਮੱਝਾਂ
ब्यूल,ਬੁਲੇ (=ਕੌਂਸਲ)
पट्टेदारी,ਬਰਗੇਜ
पौर प्रतिनिधि,ਬਰਗੇਸ
बाईजेन्टिनी,ਬਿਜ਼ੰਤੀਨੀ
बाइजेन्टिनी गिरजाघर,ਬਿਜ਼ੰਤੀਨੀ ਚਰਚ
बाइजेन्टिनी साम्राज्य; पूर्वी रोम साम्राज्य,ਬਿਜ਼ੰਤੀਨੀ ਸਾਮਰਾਜ
बाइजेन्टिनी संवत्,ਬਿਜ਼ੰਤੀਨੀ ਯੁੱਗ
बाइजेन्टिनी इतिहासकार,ਬਿਜ਼ੰਤੀਨੀ ਇਤਿਹਾਸਕਾਰ
"काबेल, षडयंत्रकारियों का गुट",ਕਾਬਲ
सीज़रतंत्र,ਕੈਸਰਵਾਦ
खलीफ़ा,ਖਲੀਫਾ
"खुशनवीस, सुलेखक",ਕੈਲੀਗ੍ਰਾਫਰ
सुलेख-विशारद,ਕੈਲੀਗ੍ਰਾਫਿਸਟ
सुलेख,ਕੈਲੀਗ੍ਰਾਫੀ
कैल्ट्रॉप,ਕੈਲਟ੍ਰੋਪ
सौहार्द,ਦੋਸਤੀ
लघु कक्ष,ਕੈਮਰਿਲਾ
2. षाड्यंत्रिक,ਕੈਮਰਿਲਾ
(पोप का) मुकुट,ਕੈਮਲੌਕਮ
"छद्मावरण, छद्म गोपन",ਕੈਮੋਫਲੇਜ
अभियान,ਮੁਹਿੰਮ
लश्करी; शिविरानुचर,ਕੈਂਪ ਫਾਲੋਅਰ
गिरजा क़ब्रिस्तान,ਕੈਂਪੋ ਸੈਂਟੋ
कैंपस मारशियस,ਕੈਂਪਸ ਮਾਰਟੀਅਸ
"कान्फोरा, डलियावाली",ਕੈਨੇਫੋਰਾ
कैंग; काष्ठबंध,ਕੈਂਗੂ
गोलाबारी,ਕੈਨੋਨੇਡ
"युद्ध-बलि, तोपचारा",ਤੋਪ ਚਾਰਾ
धर्म-सूत्र,ਕੈਨਨ
"चर्च क़ानून, ईसाई धर्म-नियम, धमनियम",ਕੈਨਨ ਕਾਨੂੰਨ
"कैनोपेस आज्ञप्ति, कैनोपस डिक्री",ਕੈਨੋਪਸ ਫ਼ਰਮਾਨ
"चिह्रित शस्त्र, चिह्रित आयुध",ਕੈਂਟਿੰਗ ਹਥਿਆਰ
बंदी,ਬੰਦੀ
बंदीकर्त्ता,ਕੈਪਟਰ
कार्डिनल,ਕਾਰਡੀਨਲ
कार्ल,ਕਾਰਲ
कैरोलिन्जी राजवंश,ਕੈਰੋਲਿੰਗੀਅਨ ਰਾਜਵੰਸ਼
कारथूसी संप्रदाय,ਕਾਰਥੁਸੀਅਨ ਸੰਪਰਦਾ
कारथूसी मठ,ਕਾਰਟੋਸਾ
"किलेदार, कोटपाल",ਕੈਸਟਲੀਅਨ
2. केस्टेलन,ਕੈਸਟਲੀਅਨ
वर्ण-व्यवस्था,ਜਾਤ ਪ੍ਰਣਾਲੀ
() दुर्ग,ਕਿਲ੍ਹਾ
(2) गढ़ी,ਕਿਲ੍ਹਾ
दुर्ग-नगर,ਕੈਸਲ ਸ਼ਹਿਰ
कैस्ट्रा,ਕਾਸਟਰਾ
2. रोमन शिविर,ਕਾਸਟਰਾ
पादरी का सिंहासन,ਕੈਥੇਡਰਾ
मुख्य गिरजाघर,ਗਿਰਜਾਘਰ
केटो स्ट्रीट षडयंत्र,ਕੈਟੋ ਸਟ੍ਰੀਟ ਸਾਜ਼ਿਸ਼
कॉडिलो,ਕਾਉਡੀਲੋ
() कैवेलियर,ਕੈਵਲੀਅਰ
(2) घुड़सवार,ਕੈਵਲੀਅਰ
कैवेलियर पार्लियामेंट,ਕੈਵਲੀਅਰ ਸੰਸਦ
"पक्ष-त्यागी गुट, आडुलम गुट",ਅਦੁੱਲਮ ਦੀ ਗੁਫਾ
"गुहा-चित्रकारी, गुहा-चित्रण",ਗੁਫਾ ਚਿੱਤਰਕਾਰੀ
2. गुहा-चित्र,ਗੁਫਾ ਚਿੱਤਰਕਾਰੀ
सेन्टुमविर,ਸੇਂਟਮਵੀਰ
सेंचुरियन,ਸੈਂਚੁਰੀਅਨ
"शताब्दी, सदी, शती",ਸਦੀ
"जिरह-बख्तर, श्रृंखला-कवच",ਚੇਨ ਆਰਮਰ (= ਚੇਨ ਮੇਲ)
"समर्पित मंदिर, समर्पित पूजागृह",ਛੰਤਰੀ
2. समर्पित धर्मदास,ਛੰਤਰੀ
चैप पुस्तिका,ਚੈਪ ਕਿਤਾਬ
"धर्माधिकारी, चैपलिन",ਪਾਦਰੀ
पादरी मंडल,ਅਧਿਆਇ
सांयोगिक दुर्घटनाएँ,ਹਾਦਸਿਆਂ ਦਾ ਅਧਿਆਇ
कीतिंचिह्र,ਚਾਰਜ
"कार्यदूत, दूत-कार्यकारी",ਚਾਰਜ ਡੀ
विदाई परामर्श,ਚਾਰਜ ਵਿਭਾਜਨ
युद्धाश्व,ਚਾਰਜਰ
विजय रथ,ਰੱਥ
रथारोही,ਰੱਥ
2. रथी,ਰੱਥ
3. सारथी,ਰੱਥ
"अन्नसत्र, लंगर",ਚੈਰਿਟੀ ਰਸੋਈ
"अधिकार-पत्र, चार्टर",ਚਾਰਟਰ
चार्टिस्ट आंदोलन,ਚਾਰਟਿਸਟ ਅੰਦੋਲਨ (=ਚਾਰਟਿਜ਼ਮ)
"अभिलेख-कक्ष, अभिलेख-प्रकोष्ठ",ਚਾਰਟੋਫਾਈਲੇਸ਼ੀਅਮ
"सामंत गढ़ी, शातो",Chateau
पड़ताल चौकी,ਚੈੱਕ ਪੋਸਟ
रासायनिक युद्ध,ਰਸਾਇਣਕ ਯੁੱਧ
दुर्ग-नगर,ਚੈਸਟਰ
सरदार,ਮੁੱਖ
सरदार,ਸਰਦਾਰ
2. सामंत,ਸਰਦਾਰ
3. राजा,ਸਰਦਾਰ
"जालांशुक, जालीदार कपड़ा, शिफान",ਸ਼ਿਫੋਨ
शौर्य,ਸ਼ਿਸ਼ਟਾਚਾਰ
यहूदी लोग,ਚੁਣੇ ਹੋਏ ਲੋਕ
दिव्यवाणी कक्ष प्रवचन कक्ष,ਕ੍ਰਿਸਮੋਗ੍ਰਾਫੀ
ईसाई जगत,ਈਸਾਈ-ਜਗਤ
ईसवी काल,ਈਸਾਈ ਯੁੱਗ
ईसाई समाजवाद,ਈਸਾਈ ਸਮਾਜਵਾਦ
इतिवृत्त,ਇਤਹਾਸ
इतिवृत्तकार,ਇਤਿਹਾਸਕਾਰ
स्वर्ण-भूमि,Chryse Chersonese
रत्न-कक्ष,ਸਿਮਲੀਅਮ
सोलहवीं शती की शैली,Cinquecento ਸ਼ੈਲੀ
परिनौचालन,ਸਰਕਮਨੇਵੀਗੇਸ਼ਨ
सिस्तर्शी साधु,ਸਿਸਟਰਸੀਅਨ ਭਿਕਸ਼ੂ
"दुर्ग, गढ़ी",ਕਿਲਾ
() प्रशस्ति,ਹਵਾਲਾ
(2) उपस्थिति सूचना,ਹਵਾਲਾ
सविनय अवज्ञा (आन्दोलन),ਸਿਵਲ ਅਣਆਗਿਆਕਾਰੀ
गृह-युद्ध,ਸਿਵਲ ਯੁੱਧ
रोमन नागरिक,ਸਿਵਿਸ ਰੋਮਨਸ
"कलासिकी युग, श्रेण्य युग",ਕਲਾਸੀਕਲ ਉਮਰ
बटमार,ਕਲੀਫ਼ਟ (=ਕਲੇਫ਼ਟ)
"पादरीवाद, पुरोहितवाद",ਕਲਰਕਵਾਦ
"भूग्राही, क्लेरुक",ਕਲਰਚ
क्लूनी आंदोलन,ਕਲੀਨਿਕ ਅੰਦੋਲਨ
"कवच, जिरह-बख्तर",ਕੋਟ ਸ਼ਸਤ੍ਰ
कुलांक,ਹਥਿਆਰਾਂ ਦਾ ਕੋਟ
2. आयुधांक,ਹਥਿਆਰਾਂ ਦਾ ਕੋਟ
3. अस्त्र-ध्वजादि-चित्रण,ਹਥਿਆਰਾਂ ਦਾ ਕੋਟ
"कवच, जिरह-बख्तर, अंगत्राण",ਡਾਕ ਦਾ ਕੋਟ
कोहॉर्ट,ਸਮੂਹ
कोमिशिया,ਕੋਮੀਟੀਆ
कोमिशिया सेंतुरियाता,Comitia Centuriata
कोमिशिया क्यूरिआता,Comitia Curiata
कोमिशिया ट्रिब्यूता,ਕੋਮੀਟੀਆ ਟ੍ਰਿਬੂਟਾ
स्मारक तोरण,ਯਾਦਗਾਰੀ arch
स्मारक सिक्का,ਯਾਦਗਾਰੀ ਸਿੱਕਾ
स्मारक मुहर,ਯਾਦਗਾਰੀ ਮੋਹਰ
सार्वजनिक भूमि,ਆਮ ਖੇਤਰ
कम्यूनार्ड,Communard
समझौता,ਕਨਕੋਰਡੈਟ
2. धर्म-संधि,ਕਨਕੋਰਡੈਟ
कंदोत्यर,ਕੰਡੋਟੀਏਰ
"अधिकार-पत्र की पुष्टि, चार्टर-पुष्टि",ਪੁਸ਼ਟੀਕਰਣ ਕਾਰਟਾਰਮ
संघर्ष,ਟਕਰਾਅ
धर्म-संगति,ਮੰਡਲੀ
