Hindi,Odiya
"1. कोडांतरक ,2. स्मरांतरक","1. ଏକତ୍ରକାରୀ, 2 ସ୍ମରଣୀୟ"
"1. कोडांतरण ,2. स्मरांतरण","1. ଏକତ୍ର ହେବା, 2 ସ୍ମରଣ"
"1. स्मरांतरण भाषा ,2. कोडांतरण भाषा","1. ସ୍ମୃତି ଭାଷା, ୨। ଭାଷା ଏକତ୍ର କରିବା |"
निश्चयन,ନିଷ୍ଠା
"1. निर्दिष्ट कार्य ,2. नियतन","1. ନିର୍ଦ୍ଦିଷ୍ଟ କାର୍ଯ୍ୟ, 2 ଆବଣ୍ଟନ"
साहचर्य,ସାଥୀତା
साहचर्य पता,ସହଯୋଗୀ ଠିକଣା
"1. साहचर्य स्मृति ,2. साहचर्य मेमोरी","1. ଆସୋସିଏଟିଭ୍ ମେମୋରୀ, 2 ସହଯୋଗୀ ସ୍ମୃତି"
तारक (*का चिन्ह),ନକ୍ଷତ୍ର (* ଚିହ୍ନ)
असम्मित,ଅସୀମିତ |
"1. अतुल्यकालिक ,2. अतुल्यकाली","1. ଅସନ୍ତୁଳିତ, 2 ଅସନ୍ତୁଳିତ |"
अतुल्यकालिक अंकीय अभिदाता लाइन (एडी एस एल),ଅସନ୍ତୁଳିତ ଡିଜିଟାଲ୍ ସବସ୍କ୍ରାଇବର ଲାଇନ (ADSL)
अतुल्यकालिक समय विभाजन बहुसंकेतन (ए टी डी एम),ଅସନ୍ତୁଳିତ ସମୟ ବିଭାଗ ମଲ୍ଟିପ୍ଲେସିଙ୍ଗ୍ (ATDM)
अतुल्यकालिक अंतरण,ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର |
अतुल्यकालिक अंतरण विधा (ए टी एम),ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର ମୋଡ୍ (ଏଟିଏମ୍)
"1. एटम ,2. परमाण","1. ପରମାଣୁ, ୨ ପରମାନ"
संलग्न प्रलेख,ସଂଲଗ୍ନିତ ଡକ୍ୟୁମେଣ୍ଟ୍ |
"1. संलग्न संचिका/मिसिल ,2. संलग्न फाइल","1. ସଂଲଗ୍ନ ଫାଇଲ୍ / ମିସାଇଲ୍, 2 ସଂଲଗ୍ନ ଫାଇଲ୍ |"
"1. संलग्नक ,2. संबंद्ध","1. ଆବଦ୍ଧ, 2 ଅନୁବନ୍ଧିତ"
"1. गुण ,2. विशेषता","1. ଗୁଣ, 2 ବିଶେଷତା"
श्रव्य,ଶ୍ରବଣଯୋଗ୍ୟ |
"1. लेखा परीक्षा क्रमादेशन ,2. लेखा परीक्षा प्रोग्रामन","1. ଅଡିଟ୍ ପ୍ରୋଗ୍ରାମିଂ, 2 ପ୍ରୋଗ୍ରାମିଂ ଅଡିଟ୍ କରନ୍ତୁ |"
लेखा सत्यापन,ଖାତା ଯାଞ୍ଚ |
संवर्धन,ପଦୋନ୍ନତି
प्रमाणन प्रोटोकॉल,ପ୍ରମାଣପତ୍ର ପ୍ରୋଟୋକଲ୍ |
संलेखन पद्धति,ଲେଖକ ପଦ୍ଧତି
"1. प्राधिकरण ,2. अधिकृति ,3. अधिकरण","1. ପ୍ରାଧିକରଣ, ୨ ପ୍ରାଧିକରଣ, 3 ଟ୍ରିବ୍ୟୁନାଲ"
स्वत: सार,ଅଟୋ ଅବଷ୍ଟ୍ରାକ୍ଟ |
"1. स्वतः बूटिंग ,2. स्व बूटन","1. ଅଟୋ ବୁଟିଙ୍ଗ୍, 2 ସେଲ୍ ବୁଟ୍"
ऑटोकैड (एक कंप्यूटर भाषा),ଅଟୋକ୍ୟାଡ୍ (ଏକ କମ୍ପ୍ୟୁଟର ଭାଷା)
स्वत: लॉग-ऑन,ଅଟୋ ଲଗ୍ ଅନ୍ |
ऑटोमेटा,ଅଟୋମେଟା |
आटोमेटा सिद्धांत,ସ୍ୱୟଂଚାଳିତ ତତ୍ତ୍। |
स्वत: अभिकलन,ସ୍ୱୟଂଚାଳିତ ଗଣନା
स्वत: आंकड़ा प्रक्रमण,ସ୍ୱୟଂଚାଳିତ ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |
स्वत: त्रुटि संशोधन,ସ୍ୱୟଂଚାଳିତ ତ୍ରୁଟି ସଂଶୋଧନ |
स्वत: फलन,ଅଟୋ ଫଙ୍କସନ୍
"1.  स्वत: सूचकीकरण ,2. स्वत: सूचीकरण","1. ସ୍ୱୟଂଚାଳିତ ସୂଚକାଙ୍କ, 2 ସ୍ୱୟଂଚାଳିତ ତାଲିକା |"
स्वत: संग्रह आह्वान,ଅଟୋ-ସଂଗ୍ରହ କଲ୍ |
"1. स्वत: क्रमादेशन ,2. स्वत: प्रोग्रामन","1. ସ୍ୱୟଂଚାଳିତ ପ୍ରୋଗ୍ରାମିଂ, 2 ସ୍ୱୟଂଚାଳିତ ପ୍ରୋଗ୍ରାମିଂ |"
"1.स्वत: पुन: प्राप्ति क्रमादेश, 2. स्वत: पुन: प्राप्ति प्रोग्राम","1. ସ୍ୱୟଂଚାଳିତ ପୁନରୁଦ୍ଧାର ପ୍ରୋଗ୍ରାମ, 2. ସ୍ୱୟଂଚାଳିତ ପୁନରୁଦ୍ଧାର ପ୍ରୋଗ୍ରାମ |"
स्वत: नेमका,ଅଟୋ ରୁଟିନ୍ |
स्वत: सिस्टम पुन: प्राप्ति,ସ୍ୱୟଂଚାଳିତ ତନ୍ତ୍ର ପୁନରୁଦ୍ଧାର
"1. स्वत: टेलर मशीन्अ (ए टी एम) ,2.  स्वयं धन निकालने के लिए बैंक की ए.टी.एम)","1. ସ୍ୱୟଂଚାଳିତ ଟେଲର୍ ମେସିନ୍ (ଏଟିଏମ୍), ୨ | ଆତ୍ମ ପ୍ରତ୍ୟାହାର ପାଇଁ ବ୍ୟାଙ୍କ ଏଟିଏମ୍ |"
स्वचालन,ସ୍ୱୟଂଚାଳିତ
"1. आटोप्ले ,2. स्वत: चलन","1. ଅଟୋପ୍ଲେ, 2 ଅଟୋ ଚାଲିବା |"
स्वरक्षण,କଣ୍ଠଦାନ
सहायक,ସହକାରୀ
सहायक स्मृति,ସହାୟକ ସ୍ମୃତି
सहायक भंडारण,ସହାୟକ ଷ୍ଟୋରେଜ୍
उपलब्ध लिस्ट,ଉପଲବ୍ଧ ତାଲିକା |
उपलब्ध समय,ଉପଲବ୍ଧ ସମୟ |
औसत,ହାରାହାରି
ए डब्ल्यू के (एक कंप्यूटर समादेश),AWK (ଏକ କମ୍ପ୍ୟୁଟର ନିର୍ଦ୍ଦେଶ)
पश्चांत,ପରେ
पश्चांत प्रक्रमक,ପୋଷ୍ଟ ପ୍ରୋସେସର୍ |
पश्च फलन विलोपन,ପରବର୍ତ୍ତୀ କାର୍ଯ୍ୟ ବିଲୋପ |
पृष्ठभूमि प्रक्रमण,ପୃଷ୍ଠଭୂମି ପ୍ରକ୍ରିୟାକରଣ |
सहायक भंडार,ଆନୁଷଙ୍ଗିକ ଷ୍ଟୋରଗୁଡିକ |
पश्च पैचीकरण,ପଛ ପ୍ୟାଚିଂ |
"1. पश्चीयन ,2. बैकस्पेस","1. ପଶ୍ଚିମ, ୨ ବ୍ୟାକସ୍ପେସ୍ |"
पश्चपथन,ବ୍ୟାକଟ୍ରାକ୍
"1. बैक-अप ,2. पूर्तिकर","1. ବ୍ୟାକ୍ ଅପ୍, 2 ପରିଶୋଧ"
"1. पूर्तिकर स्मृति ,2. बैक-अप मेमोरी","1. ସଂପୃକ୍ତ ସ୍ମୃତି, ୨। ବ୍ୟାକ୍ ଅପ୍ ମେମୋରୀ |"
पश्च त्रुटि सुधार,ପଛ ତ୍ରୁଟି ସଂଶୋଧନ |
(आय-व्यय) तुलन पत्र,(ଆୟ-ବ୍ୟୟ) ବାଲାନ୍ସ ସିଟ୍ |
पट्टी,ବ୍ୟାଣ୍ଡେଜ୍ |
"1. बैंड चौड़आई ,2. बैंड विड्थ/क्षमता","1. ବ୍ୟାଣ୍ଡ ଓସାର, 2 ବ୍ୟାଣ୍ଡୱିଡଥ୍ / ସାମର୍ଥ୍ୟ |"
बैंकर एल्गोरिथ्म,ବ୍ୟାଙ୍କର ଆଲଗୋରିଦମ |
"1.बार कूट ,2. बार कोड","1. ବାର୍ କୋଡ୍, 2 ବାର୍ କୋଡ୍"
बार कोड स्कैनर,ବାରକୋଡ୍ ସ୍କାନର୍ |
बार ग्राफ,ବାର୍ ଗ୍ରାଫ୍ |
आधार पता,ମୂଳ ଠିକଣା
आधार बैंड,ବେସ୍ ବ୍ୟାଣ୍ଡ |
आधार संख्या,ଆଧାର ସଂଖ୍ୟା
आधार सारणी,ଆଧାର ଟେବୁଲ୍ |
बेसिक (एक कंप्यूटर भाषा),ବେସିକ୍ (ଏକ କମ୍ପ୍ୟୁଟର ଭାଷା)
"1. मूल नियंत्रण ,2. आधार नियंत्रण","1. ମ Basic ଳିକ ନିୟନ୍ତ୍ରଣ, ୨। ଆଧାର ନିୟନ୍ତ୍ରଣ |"
"1. मूल निवेश ,2. आधारी निवेश","1. ମୂଳ ବିନିଯୋଗ, ୨। ମୂଳ ବିନିଯୋଗ |"
आधारभूत अनुदेश,ମ basic ଳିକ ନିର୍ଦ୍ଦେଶ
आधारी निर्गम,ମୂଳ ସମସ୍ୟା |
मूल चरण,ମ basic ଳିକ ପର୍ଯ୍ୟାୟ |
"1. बैच ,2. समूह ,3. प्रचय","1. ବ୍ୟାଚ୍, ୨ ଗୋଷ୍ଠୀ, 3 ବିପର୍ଯ୍ୟୟ |"
"1. बैच फाइल ,2. बैच संचिका","1. ବ୍ୟାଚ୍ ଫାଇଲ୍, 2 ବ୍ୟାଚ୍ ଫାଇଲ୍ |"
बैच स्थिति,ବ୍ୟାଚ୍ ସ୍ଥିତି
"1. बैच प्रक्रमण ,2. समूह प्रक्रमण","1. ବ୍ୟାଚ୍ ପ୍ରକ୍ରିୟାକରଣ, 2 ଗୋଷ୍ଠୀ ପ୍ରକ୍ରିୟାକରଣ |"
"1. बैच तंत्र ,2. प्रचय तंत्र","1. ବ୍ୟାଚ୍ ସିଷ୍ଟମ୍, 2 କାଟାପଲ୍ଟ ସିଷ୍ଟମ୍ |"
बॉड,baud
बॉड दर,ବାଉଡ୍ ହାର
किरण पुंज,ବିମ୍ ବିମ୍ |
"1. निर्देशमानक ,2. बैचमार्क","1. ନିର୍ଦ୍ଦେଶାବଳୀ, ୨ ବ୍ୟାଚ୍ ମାର୍କ"
द्विदिश संचार,ଦ୍ୱି-ଦିଗୀୟ ଯୋଗାଯୋଗ |
विदिश कड़ी,ସିଧାସଳଖ ଲିଙ୍କ୍ |
द्विआधारी कूट,ବାଇନାରୀ କୋଡ୍ |
द्विआधारी अंक,ବାଇନାରୀ ସଂଖ୍ୟା
द्विआधारी निवेश निर्गम तंत्र (बायोस),ବାଇନାରୀ ନିବେଶ ଆଉଟପୁଟ୍ ସିଷ୍ଟମ୍ (BIOS)
द्विआधारी संख्या,ବାଇନାରୀ ସଂଖ୍ୟା
द्विआधारी संकारक,ବାଇନାରୀ ଅପରେଟର୍ |
द्विआधारी संबंध,ବାଇନାରୀ ସମ୍ପର୍କ |
द्विआधारी खोज,ବାଇନାରୀ ସନ୍ଧାନ |
द्विआधारी अन्वेषण तरु (बी एस टी),ବାଇନାରୀ ଏକ୍ସପ୍ଲୋର୍ସନ୍ ଟ୍ରି (BST)
"1. द्विआधारी ट्रांसफर तरु ,2. द्विआधारी अंतरण","1. ବାଇନାରୀ ସ୍ଥାନାନ୍ତର ବୃକ୍ଷ, 2 ବାଇନାରୀ ସ୍ଥାନାନ୍ତର |"
द्विआधारी तरु,ବାଇନାରୀ ଗଛ |
"1. द्विध्रुवी स्मृति ,2. द्विध्रुवी मेमोरी","1. ଦ୍ୱିପାକ୍ଷିକ ସ୍ମୃତି, ୨। ଦ୍ୱିପାକ୍ଷିକ ସ୍ମୃତି"
"1. जन्म मरण मॉडल ,2. जन्म मरण निदर्श","1. ଜନ୍ମ ଏବଂ ମୃତ୍ୟୁ ମଡେଲ୍, ୨। ଜନ୍ମ ମୃତ୍ୟୁ ମଡେଲ |"
जन्म मरण प्रक्रम,ଜନ୍ମ ମୃତ୍ୟୁ ପ୍ରକ୍ରିୟା |
