Malayalam,Punjabi
കേവല കൂലം,ਪੂਰਨ ਕੂਲੰਬ
പൂർണ്ണമായ ഇരുട്ട്,ਪੂਰਾ ਹਨੇਰਾ
സമ്പൂർണ്ണ ഷെഡ്യൂളിംഗ്,ਪੂਰਨ ਸਮਾਂ-ਸਾਰਣੀ
കേവല സാന്ദ്രത*,ਸੰਪੂਰਨ ਘਣਤਾ*
സമ്പൂർണ്ണ ഡ്രെയിനേജ്,ਪੂਰਨ ਡਰੇਨੇਜ
സമ്പൂർണ്ണ ഇഎംയു (വൈദ്യുതകാന്തിക യൂണിറ്റ്),ਸੰਪੂਰਨ EMU (ਇਲੈਕਟਰੋਮੈਗਨੈਟਿਕ ਯੂਨਿਟ)
സമ്പൂർണ്ണ ESU (സ്റ്റാറ്റിക് യൂണിറ്റ്),ਸੰਪੂਰਨ ESU (ਸਥਿਰ ਇਕਾਈ)
സമ്പൂർണ്ണ കാര്യക്ഷമത,ਪੂਰਨ ਕੁਸ਼ਲਤਾ
കേവല ഇലക്ട്രോമീറ്റർ,ਪੂਰਨ ਇਲੈਕਟ੍ਰੋਮੀਟਰ
കേവല ആവൃത്തി കേവല ആവൃത്തി,ਸੰਪੂਰਨ ਬਾਰੰਬਾਰਤਾ ਸੰਪੂਰਨ ਬਾਰੰਬਾਰਤਾ
കേവല ഈർപ്പം,ਪੂਰਨ ਨਮੀ
കേവല സംഭവങ്ങൾ,ਸੰਪੂਰਨ ਘਟਨਾ
കേവല അപവർത്തന സൂചിക,ਪੂਰਨ ਪ੍ਰਤੀਕ੍ਰਿਆਤਮਕ ਸੂਚਕਾਂਕ
സമ്പൂർണ്ണ അസ്ഥിരത,ਪੂਰਨ ਅਸਥਿਰਤਾ
സമ്പൂർണ്ണ അസ്ഥിരത,ਪੂਰਨ ਅਸਥਿਰਤਾ
"കേവല തീവ്രത, കേവല തീവ്രത","ਪੂਰਨ ਤੀਬਰਤਾ, ਸੰਪੂਰਨ ਤੀਬਰਤਾ"
അസ്തീനിയയുടെ സമ്പൂർണ്ണ പരിധി,ਅਸਥਨੀਆ ਦੀ ਪੂਰਨ ਸੀਮਾ
കേവല പ്രകാശം സിൽ,ਪੂਰਨ ਰੋਸ਼ਨੀ ਸਿਲ
കേവല പ്രകാശ വക്രം,ਪੂਰਨ ਰੌਸ਼ਨੀ ਵਕਰ
കേവലമായ അളവ്,ਪੂਰਨ ਵਿਸ਼ਾਲਤਾ
കേവല ബാരോമീറ്റർ,ਪੂਰਨ ਬੈਰੋਮੀਟਰ
പരമോന്നത പരമോന്നത,ਪਰਮ ਸਰਵਉੱਚ
സമ്പൂർണ്ണ പരിധി,ਪੂਰਨ ਅਤਿ
ഏറ്റവും താഴ്ന്നത്,ਸਭ ਤੋਂ ਘੱਟ
കേവല ആക്കം,ਪੂਰਨ ਗਤੀ
കേവല വേഗത,ਪੂਰਨ ਗਤੀ
കേവല സംഗീതം,ਪੂਰਨ ਸੰਗੀਤ
സമ്പൂർണ നിരീക്ഷണം,ਪੂਰਨ ਨਿਰੀਖਣ
കേവല ഓം,ਪੂਰਨ ਓਮ
കേവല ഓറിയന്റേഷൻ,ਪੂਰਨ ਸਥਿਤੀ
കേവല ഇലക്ട്രോനെഗറ്റിവിറ്റി,ਪੂਰਨ ਇਲੈਕਟ੍ਰੋਨੈਗੇਟਿਵਿਟੀ
കേവല ഗുരുത്വാകർഷണം,ਪੂਰਨ ਗੰਭੀਰਤਾ
കേവല മർദ്ദം,ਪੂਰਨ ਦਬਾਅ
സമ്പൂർണ്ണ സ്വത്ത്,ਪੂਰਨ ਸੰਪਤੀ
കേവല സ്കെയിലർ,ਪੂਰਨ ਸਕੇਲਰ
താപനിലയുടെ കേവല സ്കെയിൽ*,ਤਾਪਮਾਨ ਦਾ ਪੂਰਨ ਪੈਮਾਨਾ*
"കേവല സമന്വയം, സമ്പൂർണ്ണ സമന്വയം","ਸੰਪੂਰਨ ਸਮਕਾਲੀ, ਸੰਪੂਰਨ ਸਮਕਾਲੀ"
സമ്പൂർണ്ണ സമ്മർദ്ദം,ਪੂਰਨ ਤਣਾਅ
കേവല സമമിതി,ਪੂਰਨ ਸਮਰੂਪਤਾ
കേവല ചലന ശരീരം,ਪੂਰਨ ਗਤੀ ਸਰੀਰ
കേവല യൂണിറ്റ് സിസ്റ്റം,ਪੂਰਨ ਯੂਨਿਟ ਸਿਸਟਮ
കേവല താപനില,ਪੂਰਨ ਤਾਪਮਾਨ
കേവല സമയം,ਪੂਰਾ ਸਮਾਂ
കേവല യൂണിറ്റുകൾ,ਪੂਰਨ ਇਕਾਈਆਂ
യഥാർത്ഥ മൂല്യം,ਸਹੀ ਮੁੱਲ
പൂർണ്ണസംഖ്യ കാൽക്കുലേറ്റർ,ਪੂਰਨ ਅੰਕ ਕੈਲਕੁਲੇਟਰ
കേവല വേഗത,ਪੂਰਨ ਗਤੀ
കേവല വിസ്കോസിറ്റി,ਪੂਰਨ ਲੇਸ
കേവല ഭാരം,ਪੂਰਨ ਭਾਰ
കേവല പൂജ്യം*,ਪੂਰਨ ਜ਼ੀਰੋ*
പൂജ്യത്തിന്റെ കേവല വിഭജനം,ਜ਼ੀਰੋ ਦਾ ਪੂਰਨ ਭਾਜਕ
ആഗിരണം ചെയ്യുക,ਸੋਖਣਾ
ആഗിരണ സൂചിക*,ਸ਼ੋਸ਼ਣ ਸੂਚਕਾਂਕ*
ആഗിരണം ചെയ്ത ഊർജ്ജം,ਲੀਨ ਊਰਜਾ
"ആഗിരണം, ആഗിരണം","ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ"
ആഗിരണം ചെയ്യാവുന്ന മാധ്യമം*,ਸੋਖਣ ਵਾਲਾ ਮਾਧਿਅਮ*
ആഗിരണം ശേഷി,ਸਮਾਈ ਸਮਰੱਥਾ
ആഗിരണം,ਸਮਾਈ
അബ്സോർപ്റ്റിയോമീറ്റർ*,ਸ਼ੋਸ਼ਣ ਮੀਟਰ*
അബ്സോർപ്റ്റിയോമെട്രി*,ਸੋਖਣ ਗਣਿਤ*
ആഗിരണം,ਸਮਾਈ
ആഗിരണം - ബാൻഡ്*,ਸਮਾਈ - ਬੈਂਡ*
ആഗിരണം സർക്യൂട്ട്,ਸਮਾਈ ਸਰਕਟ
ആഗിരണം ഗുണകം,ਸਮਾਈ ਗੁਣਾਂਕ
ആഗിരണം കോളം,ਸਮਾਈ ਕਾਲਮ
ആഗിരണ സ്ഥിരത,ਸਮਾਈ ਸਥਿਰ
ആഗിരണ തുടർച്ച,ਸਮਾਈ ਨਿਰੰਤਰਤਾ
ആഗിരണം മേഖല,ਸਮਾਈ ਜ਼ੋਨ
ആഗിരണം കറന്റ്,ਸਮਾਈ ਮੌਜੂਦਾ
ആഗിരണം വക്രം*,ਸਮਾਈ ਕਰਵ*
ആഗിരണം ഒടിവ്,ਸਮਾਈ ਫ੍ਰੈਕਚਰ
ആഗിരണം കോർ,ਸਮਾਈ ਕੋਰ
ആഗിരണം ഘടകം,ਸਮਾਈ ਕਾਰਕ
ആഗിരണം ഫിൽട്ടർ,ਸਮਾਈ ਫਿਲਟਰ
അബ്സോർപ്ഷൻ ഫ്ലേം ഫോട്ടോമെട്രി*,ਸੋਖਣ ਫਲੇਮ ਫੋਟੋਮੈਟਰੀ*
ആഗിരണം ഹൈഗ്രോമീറ്റർ,ਸਮਾਈ ਹਾਈਗਰੋਮੀਟਰ
ആഗിരണ ഘാതം,ਸਮਾਈ ਘਾਤਕ
ആഗിരണം നാമമാത്രമാണ്,ਸਮਾਈ ਮਾਮੂਲੀ
ആഗിരണം ലൈൻ,ਸਮਾਈ ਲਾਈਨ
ആഗിരണം നഷ്ടം,ਸਮਾਈ ਨੁਕਸਾਨ
ആഗിരണം മോഡുലേഷൻ,ਸਮਾਈ ਮੋਡੂਲੇਸ਼ਨ
പ്രകാശം ആഗിരണം,ਰੋਸ਼ਨੀ ਸਮਾਈ
റേഡിയേഷൻ ഊർജ്ജത്തിന്റെ ആഗിരണം,ਰੇਡੀਏਸ਼ਨ ਊਰਜਾ ਦੀ ਸਮਾਈ
ആഗിരണം കൊടുമുടി,ਸਮਾਈ ਸਿਖਰ
ആഗിരണം ഫോട്ടോമെട്രി,ਸਮਾਈ ਫੋਟੋਮੈਟਰੀ
ആഗിരണം അനുപാതം,ਸਮਾਈ ਅਨੁਪਾਤ
ആഗിരണം പരിധി*,ਸਮਾਈ ਸੀਮਾ*
ആഗിരണം സ്പെക്ട്രം ഫോട്ടോമെട്രി*,ਸ਼ੋਸ਼ਣ ਸਪੈਕਟ੍ਰਮ ਫੋਟੋਮੈਟਰੀ*
ആഗിരണം സ്പെക്ട്രം*,ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ*
"ആഗിരണം ട്യൂബ്, ആഗിരണം ട്യൂബ്","ਸਮਾਈ ਟਿਊਬ, ਸਮਾਈ ਟਿਊਬ"
ആഗിരണം ഹൈഗ്രോമീറ്റർ,ਸਮਾਈ ਹਾਈਗਰੋਮੀਟਰ
ആഗിരണം ചെയ്യാവുന്ന*,ਸੋਖਣ ਵਾਲਾ*
ആഗിരണം ചെയ്യാവുന്ന ബാഷ്പീകരണം,ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ evaporator
ആഗിരണം നിയമം*,ਸਮਾਈ ਕਾਨੂੰਨ*
ആഗിരണം മീഡിയം,ਸਮਾਈ ਮਾਧਿਅਮ
"ആഗിരണം ചെയ്യാനുള്ള ശേഷി, ആഗിരണം*","ਸੋਖਣ ਦੀ ਸਮਰੱਥਾ, ਸਮਾਈ*"
ആഗിരണം*,ਸਮਾਈ*
സ്റ്റുഡിയോ അലങ്കാരം,ਸਟੂਡੀਓ ਸਜਾਵਟ
ഗുണിത അനുപാതം,ਗੁਣਾ ਅਨੁਪਾਤ
അബോൾട്ട്,ਰੱਦ ਕਰਨਾ
കുറിച്ച്,ਬਾਰੇ
ത്വരിതപ്പെടുത്തുക,ਤੇਜ਼ ਕਰੋ
ആക്സിലറേഷൻ-സ്റ്റോപ്പ് ദൂരം,ਪ੍ਰਵੇਗ-ਸਟਾਪ ਦੂਰੀ
തിടുക്കപ്പെട്ടു,ਜਲਦੀ
ദ്രുത സമയ ഫല പരിശോധന,ਤੇਜ਼ ਸਮਾਂ ਪ੍ਰਭਾਵ ਟੈਸਟ
പെട്ടെന്നുള്ള ഒഴുക്ക്,ਤੇਜ਼ ਵਹਾਅ
പെട്ടെന്നുള്ള വേഗത,ਤੇਜ਼ ਰਫ਼ਤਾਰ
പെട്ടെന്നുള്ള ശരീരം,ਤੇਜ਼ ਸਰੀਰ
ആക്സിലറേറ്റർ തൂക്കം,ਐਕਸਲੇਟਰ ਤੋਲਣ ਵਾਲਾ
ആക്സിലറേറ്റർ ഇലക്ട്രോഡ്*,ਐਕਸਲੇਟਰ ਇਲੈਕਟ੍ਰੋਡ*
ആക്സിലറേറ്റർ സമയം*,ਐਕਸਲੇਟਰ ਸਮਾਂ*
ആക്സിലറേറ്റർ ഘട്ടം,ਐਕਸਲੇਟਰ ਪੜਾਅ
ആക്സിലറേറ്റർ നിരക്ക്,ਐਕਸਲੇਟਰ ਦਰ
ആക്സിലറേറ്റർ വോൾട്ടേജ്*,ਐਕਸਲੇਟਰ ਵੋਲਟੇਜ*
ത്വരണം,ਪ੍ਰਵੇਗ
ത്വരിതപ്പെടുത്തിയ ജ്വലനം,ਤੇਜ਼ ਬਲਨ
ആക്സിലറേഷൻ കോഫിഫിഷ്യന്റ്,ਪ੍ਰਵੇਗ ਗੁਣਾਂਕ
ത്വരണം ഘടകം,ਪ੍ਰਵੇਗ ਭਾਗ
ഗുരുത്വാകർഷണം മൂലം ത്വരണം,ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ
ത്വരണം ഘടകം,ਪ੍ਰਵੇਗ ਕਾਰਕ
ത്വരിതപ്പെടുത്തിയ ചാർജ്,ਪ੍ਰਵੇਗਿਤ ਚਾਰਜ
ഗുരുത്വാകർഷണ ത്വരണം,ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ
ത്വരണം സാധ്യത,ਪ੍ਰਵੇਗ ਸੰਭਾਵਨਾ
ത്വരിതപ്പെടുത്തൽ നിയമം,ਪ੍ਰਵੇਗ ਕਾਨੂੰਨ
ത്വരിതപ്പെടുത്തൽ പ്രക്രിയ,ਪ੍ਰਵੇਗ ਪ੍ਰਕਿਰਿਆ
ആക്സിലറേഷൻ സോൺ,ਪ੍ਰਵੇਗ ਜ਼ੋਨ
ത്വരിതപ്പെടുത്തൽ രീതി,ਪ੍ਰਵੇਗ ਵਿਧੀ
"ആക്സിലറേഷൻ ടോളറൻസ്, ആക്സിലറേഷൻ ടോളറൻസ്","ਪ੍ਰਵੇਗ ਸਹਿਣਸ਼ੀਲਤਾ, ਪ੍ਰਵੇਗ ਸਹਿਣਸ਼ੀਲਤਾ"
ആക്സിലറേഷൻ വെക്റ്റർ,ਪ੍ਰਵੇਗ ਵੈਕਟਰ
ത്വരണം-വോൾട്ടേജ്,ਪ੍ਰਵੇਗ-ਵੋਲਟੇਜ
ത്വരണം തരംഗം,ਪ੍ਰਵੇਗ ਲਹਿਰ
ആക്സിലറേറ്റർ,ਐਕਸਲੇਟਰ
"ത്വരിതപ്പെടുത്തുക, ആക്സിലറേറ്റർ*","ਪ੍ਰਵੇਗ, ਪ੍ਰਵੇਗਕ *"
ആക്സിലറേറ്റർ സമവാക്യം,ਐਕਸਲੇਟਰ ਸਮੀਕਰਨ
ആക്സിലറേറ്റർ*,ਐਕਸਲੇਟਰ*
ആക്സിലറോമീറ്റർ,ਐਕਸਲੇਰੋਮੀਟਰ
ആക്സിലറോമീറ്റർ പൊരുത്തപ്പെടുത്തൽ,ਐਕਸਲੇਰੋਮੀਟਰ ਮੇਲ ਖਾਂਦਾ ਹੈ
പ്രിസ്ട്രെസർ,prestresser
സാധുവായ പ്രതീകങ്ങൾ,ਵੈਧ ਅੱਖਰ
സ്വീകാര്യത കോൺ,ਸਵੀਕ੍ਰਿਤੀ ਕੋਣ
സ്വീകാര്യത സ്പെസിഫിക്കേഷൻ,ਸਵੀਕ੍ਰਿਤੀ ਨਿਰਧਾਰਨ
സ്വീകാര്യമായ പരിശോധന,ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ
"സ്വീകരിക്കുന്നവൻ*, സ്വീകരിക്കുന്നവൻ","ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ*, ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ"
റിസപ്റ്റർ ആറ്റം,ਰੀਸੈਪਟਰ ਐਟਮ
റിസപ്റ്റർ ബോണ്ട്,ਰੀਸੈਪਟਰ ਬਾਂਡ
റിസീവർ സർക്യൂട്ട്,ਰਿਸੀਵਰ ਸਰਕਟ
റിസപ്റ്റർ ലെവൽ,ਰੀਸੈਪਟਰ ਪੱਧਰ
ദാതാവിന്റെ തന്മാത്ര,ਦਾਨੀ ਅਣੂ
റിസപ്റ്റർ പ്രോപ്പർട്ടി,ਰੀਸੈਪਟਰ ਦੀ ਵਿਸ਼ੇਸ਼ਤਾ
റിസപ്റ്റർ പ്രോപ്പർട്ടി ലെവൽ,ਰੀਸੈਪਟਰ ਸੰਪਤੀ ਦਾ ਪੱਧਰ
ആക്സിലറേറ്റർ ഹോസ്,ਐਕਸਲੇਟਰ ਹੋਜ਼
"പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനം","ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚ"
ഭുജിലേക്ക് പ്രവേശിക്കുക,ਭੁਜ ਤੱਕ ਪਹੁੰਚ ਕਰੋ
ആക്സസ് സിസ്റ്റം,ਪਹੁੰਚ ਸਿਸਟਮ
പ്രവേശന സമയം,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
പ്രവേശനക്ഷമത,ਪਹੁੰਚਯੋਗਤਾ
"അധിക, ഓക്സിലറി, ആക്സസറി (v, ), ആക്സസറികൾ","ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v, ), ਸਹਾਇਕ ਉਪਕਰਣ"
അധിക നിയന്ത്രണങ്ങൾ,ਵਾਧੂ ਪਾਬੰਦੀਆਂ
യാദൃശ്ചികം,ਇਤਫ਼ਾਕ
ആകസ്മികമായ തിരുത്തൽ,ਅਚਾਨਕ ਸੁਧਾਰ
ആകസ്മികമായ ബയോജനസിസ്,ਦੁਰਘਟਨਾ ਦੇ ਬਾਇਓਜੇਨੇਸਿਸ
ആകസ്മികമായ വഴിതിരിച്ചുവിടൽ,ਅਚਾਨਕ ਮੋੜ
സന്ദർശക പിശക്,ਵਿਜ਼ਟਰ ਗਲਤੀ
"പെട്ടെന്ന് നിർത്തുക, പെട്ടെന്ന് നിർത്തുക","ਅਚਾਨਕ ਰੁਕਣਾ, ਅਚਾਨਕ ਰੁਕਣਾ"
ആകസ്മികമായ കൈമാറ്റം,ਦੁਰਘਟਨਾ ਸੰਚਾਰ
ക്രമരഹിതമായ വ്യതിയാനം,ਬੇਤਰਤੀਬ ਪਰਿਵਰਤਨ
ക്രമീകരിക്കൽ,ਵਿਵਸਥਾ
സ്ഥാനം പിടിച്ചു,ਸਥਿਤੀ ਵਿੱਚ
സഞ്ചിത പിശക്,ਸੰਚਿਤ ਗਲਤੀ
"ശേഖരണം, ശേഖരണം","ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ"
ഊർജ്ജ സംഭരണം,ਊਰਜਾ ਸਟੋਰੇਜ਼
ശേഖരണം*,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ*
കൃത്യത,ਸ਼ੁੱਧਤਾ
റിയാലിറ്റി,ਅਸਲੀਅਤ
യഥാർത്ഥ ഉപകരണ നിരീക്ഷണം,ਅਸਲ ਸਾਧਨ ਨਿਰੀਖਣ
കൃത്യമായ റേഞ്ച് മാർക്കർ,ਸਟੀਕ ਰੇਂਜ ਮਾਰਕਰ
കൃത്യമായ സ്കാനിംഗ്,ਸ਼ੁੱਧਤਾ ਸਕੈਨਿੰਗ
പ്രാക്ടീസ്,ਅਭਿਆਸ
ആക്സിലറേറ്റർ സെൽ*,ਐਕਸਲੇਟਰ ਸੈੱਲ*
അക്രോമാറ്റിക് ലെൻസ്*,ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ*
അക്രോമാറ്റിക്*,ਅਕ੍ਰੋਮੈਟਿਕ*
അക്രോമാറ്റിക് അനലൈസർ,ਅਕ੍ਰੋਮੈਟਿਕ ਵਿਸ਼ਲੇਸ਼ਕ
ഫ്രീക്വൻസി ന്യൂട്രൽ ആന്റിന,ਬਾਰੰਬਾਰਤਾ ਨਿਰਪੱਖ antenna
അക്രോമാറ്റിക് ആകൃതി,ਅਕ੍ਰੋਮੈਟਿਕ ਸ਼ਕਲ
അക്രോമാറ്റിക് തൊങ്ങൽ,ਅਕ੍ਰੋਮੈਟਿਕ ਫਰਿੰਜ
അക്രോമാറ്റിക് ലെൻസ്*,ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ*
അക്രോമാറ്റിക് പോയിന്റ് പാത,ਅਕ੍ਰੋਮੈਟਿਕ ਬਿੰਦੂ ਮਾਰਗ
അക്രോമാറ്റിക് ലെൻസ്,ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ
അക്രോമാറ്റിക് പ്രിസം,ਅਕ੍ਰੋਮੈਟਿਕ ਪ੍ਰਿਜ਼ਮ
അക്രോമാറ്റിക് ടെലിസ്കോപ്പ്,ਅਕ੍ਰੋਮੈਟਿਕ ਦੂਰਬੀਨ
അക്രോമാറ്റിറ്റി*,ਰੰਗੀਨਤਾ*
അക്രോമാറ്റിസേഷൻ*,ਅਕ੍ਰੋਮੈਟਾਈਜ਼ੇਸ਼ਨ*
അക്രോമാറ്റിറ്റി*,ਰੰਗੀਨਤਾ*
"ഇലാസ്റ്റിക്, അൺഫ്രാക്റ്ററി, റിഫ്രാക്ടറി","ਲਚਕੀਲੇ, ਅਪ੍ਰਤੱਖ, ਲਚਕੀਲੇ"
"അക്രോൺ ഹോസ്, ബഞ്ചു ഹോസ്","ਐਕੋਰਨ ਹੋਜ਼, ਬੰਜੂ ਹੋਜ਼"
മിനിയേച്ചർ വാൽവ്,ਛੋਟੇ ਵਾਲਵ
എക്കോഫോണി,akophony
അക്കോസ്റ്റിക്,ਧੁਨੀ
അക്കോസ്റ്റിക് ആഗിരണം,ਧੁਨੀ ਸਮਾਈ
അക്കോസ്റ്റിക് അറ്റൻവേഷൻ കോഫിഫിഷ്യന്റ്,ਐਕੋਸਟਿਕ ਐਟੀਨਯੂਏਸ਼ਨ ਗੁਣਾਂਕ
അക്കോസ്റ്റിക് അറ്റൻവേഷൻ,ਧੁਨੀ ਧਿਆਨ
അക്കോസ്റ്റിക് കള്ളൻ അലാറം,ਧੁਨੀ ਚੋਰ ਅਲਾਰਮ
അക്കോസ്റ്റിക് കപ്പാസിറ്റൻസ്,ਧੁਨੀ ਸਮਰੱਥਾ
ശ്രവണ കേന്ദ്രം,ਸੁਣਵਾਈ ਕੇਂਦਰ
അക്കോസ്റ്റിക് വിശദീകരണം,ਧੁਨੀ ਵਿਆਖਿਆ
അക്കോസ്റ്റിക് കവർ,ਧੁਨੀ ਕਵਰ
ശബ്ദ പ്രതികരണം,ਧੁਨੀ ਜਵਾਬ
അക്കോസ്റ്റിക് ഘടകം,ਧੁਨੀ ਭਾਗ
ശബ്ദ ചാലകത,ਧੁਨੀ ਚਾਲਕਤਾ
അക്കോസ്റ്റിക് ഡാംപിംഗ്,ਧੁਨੀ ਗਿੱਲਾ
അക്കോസ്റ്റിക് ഡിസ്പർഷൻ,ਧੁਨੀ ਫੈਲਾਅ
സൗണ്ട് ഹാക്കർ,ਆਵਾਜ਼ ਹੈਕਰ
ശബ്ദ ഊർജ്ജം*,ਧੁਨੀ ਊਰਜਾ*
