Marathi,Malayalam
सचिव,സ്രഷ്ടാവ്
सेक्रेटरी इनहिबिटर,സ്രവിക്കുന്ന ഇൻഹിബിറ്റർ
अंधत्व,അന്ധത
खंड आकृती,സെഗ്മെന്റ് ഡയഗ്രം
अवरोधित करणे,തടസ്സം തടയൽ
तुकडा हस्तांतरण,ശകലം കൈമാറ്റം
इंटरसेप्ट,തടസ്സപ്പെടുത്തുക
रेझिस्टर कॅपेसिटर,തടയൽ കപ്പാസിറ്റർ
रेझिस्टर कॅपेसिटर,റെസിസ്റ്റർ കപ്പാസിറ്റർ
रेझिस्टर ऑसिलेटर,തടയുന്ന ഓസിലേറ്റർ
ब्लॉकिंग ऑसिलेटर,തടയുന്ന ഓസിലേറ്റർ
रेझिस्टर व्होल्टेज,റെസിസ്റ്റർ വോൾട്ടേജ്
ब्लोअर,ഊതുന്നയാൾ
bode आकृती,ബോഡ് ഡയഗ്രം
voltzmann संबंध,വോൾട്ട്സ്മാൻ ബന്ധം
voltzmann स्थिरांक,വോൾട്ട്സ്മാൻ സ്ഥിരാങ്കം
बंध,ബോണ്ട്
बाउंड स्ट्रेन गेज,ബന്ധിത സ്ട്രെയിൻ ഗേജ്
स्वयं-समर्थक अॅम्प्लिफायर,സ്വയം പിന്തുണയ്ക്കുന്ന ആംപ്ലിഫയർ
बुलियन बीजगणित,ബൂളിയൻ ബീജഗണിതം
बुलियन समीकरण,ബൂളിയൻ സമവാക്യം
बूट Strapon,ബൂട്ട് സ്ട്രാപ്പൺ
बूथचे अल्गोरिदम,ബൂത്തിന്റെ അൽഗോരിതം
बूटस्ट्रॅप प्रिझम सर्किट,ബൂട്ട്സ്ട്രാപ്പ് പ്രിസം സർക്യൂട്ട്
bosscutts नियम,bosscutts ഭരണം
बोस-चौधरी हॉकेनहॅम (BCH) कोड,ബോസ്-ചൗധരി ഹോക്കൻഹാം (BCH) കോഡ്
"उडी, उडी","ചാടുക, ചാടുക"
बद्ध इलेक्ट्रॉन,ബന്ധിത ഇലക്ട്രോൺ
ब्रॅग रिफ्लेक्टर,ബ്രാഗ് റിഫ്ലക്ടർ
गुंफलेली तार,ഇഴചേർന്ന വയർ
शाखा,ശാഖ
शाखा,ശാഖകൾ
प्रयोग मंडळ,പരീക്ഷണ ബോർഡ്
ब्रेक झोन,ബ്രേക്ക് സോൺ
ब्रेकिंग व्होल्टेज,ബ്രേക്കിംഗ് വോൾട്ടേജ്
ब्रेकडाउन डायोड,ബ്രേക്ക്ഡൗൺ ഡയോഡ്
फ्रॅक्चर फिक्सेशन,ഒടിവ് പരിഹരിക്കൽ
ब्रेकिंग व्होल्टेज,ബ്രേക്കിംഗ് വോൾട്ടേജ്
पूल,പാലം
ब्रिज रेक्टिफायर,പാലം റക്റ്റിഫയർ
रुंद बँड,വിശാലമായ ബാൻഡ്
ब्रॉडकास्ट बँड,ബ്രോഡ്കാസ്റ്റ് ബാൻഡ്
सूक्ष्म अॅरे,ആസ്ട്രൽ അറേ
प्रसारण,പ്രക്ഷേപണം
ब्रॉडकास्ट अँटेना,ബ്രോഡ്കാസ്റ്റ് ആന്റിന
ब्रॉडकास्ट रिसीव्हर,ബ്രോഡ്കാസ്റ്റ് റിസീവർ
वारंवारता प्रसारण प्राप्तकर्ता,ഫ്രീക്വൻസി ബ്രോഡ്കാസ്റ്റ് റിസീവർ
प्रसारण ट्रान्समीटर,പ്രക്ഷേപണം ട്രാൻസ്മിറ്റർ
बूस्टर अँटेना,ബൂസ്റ്റർ ആന്റിന
बस अँटेना,ബസ് ആന്റിന
ब्रश विसर्जन,ബ്രഷ് നിമജ്ജനം
बुडबुडे आणि गेट,ബബ്ലിംഗും ഗേറ്റും
बुडबुडू किंवा गेट,ബുദ്ബുദു അല്ലെങ്കിൽ ഗേറ്റ്
बबल स्मृती,ബബ്ലി മെമ്മറി
भरपाई व्होल्टेज,വോൾട്ടേജ് നഷ്ടപരിഹാരം
बफर,ബഫർ
बफर अॅम्प्लीफायर,ബഫർ ആംപ്ലിഫയർ
बफर सर्किट,ബഫർ സർക്യൂട്ട്
बफर ऑपरेटर,ബഫർ ഓപ്പറേറ്റർ
बफर रजिस्टर,ബഫർ രജിസ്റ്റർ
बल्ब,ബൾബ്
लोकसंख्या प्रभाव,ജനസംഖ്യാ പ്രഭാവം
मॅक्रो सेमीकंडक्टर उपकरण,മാക്രോ അർദ്ധചാലക ഉപകരണം
घड,കുല
बुडलेली एक्सचेंज,മുങ്ങിയ കൈമാറ്റം
बुडलेला थर,മുങ്ങിയ പാളി
बुडलेला संपर्क,മുങ്ങിയ കോൺടാക്റ്റ്
स्फोट अॅम्प्लीफायर,സ്ഫോടന ആംപ്ലിഫയർ
स्फोट कव्हर,സ്ഫോടന കവർ
स्फोट गोळीबार,സ്ഫോടനം വെടിവയ്പ്പ്
स्फोट दरवाजा अॅम्प्लीफायर,സ്ഫോടനം ഡോർ ആംപ്ലിഫയർ
बर्स्ट मोड,ബർസ്റ്റ് മോഡ്
स्फोट विभाजक,സ്ഫോടനം സെപ്പറേറ്റർ
स्फोट सिग्नल,സ്ഫോടന സിഗ്നൽ
स्फोट त्रुटी सुधारक कोड,ബർസ്റ്റ് പിശക് തിരുത്തൽ കോഡ്
पुरेसा,മതി
बस बार,ബസ് ബാർ
बस संघटना,ബസ് സംഘടന
बस मानक,ബസ് സ്റ്റാൻഡേർഡ്
फक्त क्षणिक,വെറും നൈമിഷികം
बटर वर्थ फिल्टर,വെണ്ണ മൂല്യമുള്ള ഫിൽട്ടർ
bnc वायर,bnc വയർ
BNC जॉइंटर,BNC ജോയിന്റർ
च्या कडे,വഴിയിൽ
बायपास कॅपेसिटर,ബൈപാസ് കപ്പാസിറ്റർ
बाइट,ബൈറ്റ്
व्ही बँड,വി ബാൻഡ്
सी बँड अँटेना,സി ബാൻഡ് ആന്റിന
तार,വയർ
वायर राउटिंग,വയർ റൂട്ടിംഗ്
टेलिग्राफ दूरदर्शन,ടെലിഗ്രാഫ് ടെലിവിഷൻ
कॅशे मेमरी,കാഷെ മെമ്മറി
Sisim वारंवारता मानक,സിസിം ഫ്രീക്വൻസി സ്റ്റാൻഡേർഡ്
कॅल्क्युलेटर,കാൽക്കുലേറ്റർ
कॅलिब्रेशन,കാലിബ്രേഷൻ
कॉल पत्ता,കോൾ വിലാസം
कॉलपिट ऑसिलेटर,കോൾപിറ്റ് ഓസിലേറ്റർ
कॅम कॉर्डर,ക്യാം കോർഡറുകൾ
कॅमेरा,ക്യാമറ
कॅमेरा नळी,ക്യാമറ ഹോസ്
candela,കാൻഡല
मेणबत्ती शक्ती,മെഴുകുതിരി ശക്തി
कॅन्टिलिव्हर स्ट्रेन गेज,കാന്റിലിവർ സ്ട്രെയിൻ ഗേജ്
धारण,പിടിക്കുന്നു
कॅपेसिटन्स ब्लड प्रेशर ट्रान्सड्यूसर,കപ്പാസിറ്റൻസ് രക്തസമ്മർദ്ദം ട്രാൻസ്ഡ്യൂസർ
होल्डिंग वितरक,ഹോൾഡിംഗ് ഡിസ്ട്രിബ്യൂട്ടർ
करार धारण,ഉടമ്പടി നിലനിർത്തൽ
कॅपेसिटन्स गेज,കപ്പാസിറ്റൻസ് ഗേജ്
धारण कलेक्टर,പിടിക്കുന്ന കളക്ടർ
capacitance reactance,കപ്പാസിറ്റൻസ് പ്രതിപ്രവർത്തനം
"कॅपेसिटिव्ह एनर्जी कन्व्हर्टर, ट्रान्सड्यूसर","കപ്പാസിറ്റീവ് എനർജി കൺവെർട്ടർ, ട്രാൻസ്ഡ്യൂസർ"
कॅपेसिटर,കപ്പാസിറ്റർ
कॅपेसिटर बँक,കപ്പാസിറ്റർ ബാങ്ക്
कॅपेसिटर फिल्टर,കപ്പാസിറ്റർ ഫിൽട്ടർ
कॅपेसिटर इनपुट फिल्टर,കപ്പാസിറ്റർ ഇൻപുട്ട് ഫിൽട്ടർ
विंच मोटर,വിഞ്ച് മോട്ടോർ
पुली सर्वो बॉडी,പുള്ളി സെർവോ ബോഡി
चरखी,ചാർക്കി
पकडणे,പിടിക്കുക
कॅप्चर कलम,ക്യാപ്‌ചർ വിഭാഗം
कॅप्चर प्रभाव,ക്യാപ്‌ചർ പ്രഭാവം
वाहक आवाज प्रमाण,കാരിയർ ശബ്ദ അനുപാതം
कार रेडिओ,കാർ റേഡിയോ
कार्बन प्रतिरोधक,കാർബൺ റെസിസ്റ്റർ
कार्ड रीडर,കാർഡ് റീഡർ
कार्डिओइड आकृती,കാർഡിയോയിഡ് ഡയഗ്രം
गाडी,വണ്ടി
कॅरेज रिटर्न,വണ്ടി മടക്കം
वाहक,വാഹകൻ
वाहक संप्रेषण,കാരിയർ ആശയവിനിമയം
वाहक एकाग्रता,കാരിയർ ഏകാഗ്രത
वाहक वारंवारता,കാരിയർ ആവൃത്തി
वाहक पुनरुत्पादन,കാരിയർ പുനരുൽപാദനം
वाहक पातळी,കാരിയർ ലെവൽ
वाहक जीवन,കാരിയർ ജീവിതം
वाहक गतिशीलता,കാരിയർ മൊബിലിറ്റി
वाहक गुणाकार,കാരിയർ ഗുണനം
वाहक आवाज पातळी,കാരിയർ ശബ്ദ നില
वाहक श्रेणी,കാരിയർ ശ്രേണി
वाहक पुनर्प्राप्ती सर्किट,കാരിയർ വീണ്ടെടുക്കൽ സർക്യൂട്ട്
वाहक पुनर्निवेशण,കാരിയർ വീണ്ടും ചേർക്കൽ
प्रवाहकीय विखुरणे,ചാലക വിസരണം
वाहक दडपशाही,കാരിയർ അടിച്ചമർത്തൽ
वाहक पिंजरा,കാരിയർ കൂട്ടിൽ
वाहक वेग,കാരിയർ വേഗത
हाताचा तुकडा,കൈ കട്ട്
ध्वज धरला,പതാക നടത്തി
"ताबा नोंदवही, ताबा नोंदवही","കൈവശരേഖ, കൈവശാവകാശ രജിസ്റ്റർ"
पोर्टेबल जनरेटर,പോർട്ടബിൾ ജനറേറ്റർ
कार्सन कायदा,കാർസൺ നിയമം
काडतूस फ्यूज,കാട്രിഡ്ജ് ഫ്യൂസ്
काडतूस टेप,കാട്രിഡ്ജ് ടേപ്പ്
कॅरी फॉस्टर ब्रिज,കാരി ഫോസ്റ്റർ പാലം
स्टेप अॅम्प्लीफायर,സ്റ്റെപ്പ് ആംപ്ലിഫയർ
श्रेणीकरण,ഗ്രേഡേഷൻ
कॅस्केड अॅम्प्लीफायर,കാസ്കേഡ് ആംപ്ലിഫയർ
"Cascode अॅम्प्लीफायर, स्टेप अॅम्प्लीफायर","കാസ്‌കോഡ് ആംപ്ലിഫയർ, സ്റ്റെപ്പ് ആംപ്ലിഫയർ"
कॅसेट,കാസറ്റ്
प्रलोभन,പ്രേരണ
कॅप्टिव्ह कोटर,ക്യാപ്റ്റീവ് കോട്ടർ
कॅथोड,കാഥോഡ്
कॅथोड ट्रेलिंग,കാഥോഡ് ട്രെയിലിംഗ്
कॅथोड ट्रेलिंग अॅम्प्लिफायर,കാഥോഡ് ട്രെയിലിംഗ് ആംപ്ലിഫയർ
कॅथोड ल्युमिनन्स,കാഥോഡ് ലുമിനൻസ്
कॅथोड साहित्य,കാഥോഡ് മെറ്റീരിയൽ
कॅथोड किरण ऑसिलोस्कोप,കാഥോഡ് റേ ഓസിലോസ്കോപ്പ്
कॅथोड रे ट्यूब,കാഥോഡ് റേ ട്യൂബ്
कॅथोड कण जमा करणे,കാഥോഡ് കണിക നിക്ഷേപം
कॅथोड ल्युमिनन्स,കാഥോഡ് ലുമിനൻസ്
कॉयर फिल्टर,കയർ ഫിൽട്ടർ
kaver फिल्टर,കവർ ഫിൽട്ടർ
कोटोर,കോടോർ
एंट्रल रेडिएशन,ആന്ട്രൽ റേഡിയേഷൻ
कोटर रेझोनेटर,cotter resonator
