Assamese,Punjabi
বহুপদৰ যোগফল,ਬਹੁਪਦ ਦਾ ਜੋੜ
সম্ভাৱনাৰ যোগফল,ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ
ভেক্টৰৰ যোগফল,ਵੈਕਟਰਾਂ ਦਾ ਜੋੜ
"যোগ উপপাদ্য, বেৰী তত্ত্ব,","ਜੋੜ ਥਿਊਰਮ, ਬੇਰੀ ਥਿਊਰੀ"
যোগকৰণ গোট,additive ਗਰੁੱਪ
যোগকৰণৰ বিপৰীত,additive ਉਲਟ
যোগযোগ্যতা,ਜੋੜਨ ਦੀ ਯੋਗਤਾ
যোগযোগ্যতা,ਜੋੜਨ ਦੀ ਯੋਗਤਾ
সংলগ্নতা মেট্ৰিক্স,ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ
"কাষৰীয়া, কাষৰীয়া, কাষৰীয়া","ਨੇੜੇ, ਨਾਲ ਲੱਗਦੇ, ਨਾਲ ਲੱਗਦੇ"
কাষৰীয়া কোণ,ਨੇੜੇ ਦੇ ਕੋਣ
কাষৰীয়া শিখৰ,ਨੇੜੇ ਦਾ ਸਿਰਾ
to associate,ਜੋੜਨ ਲਈ
"সংযুক্ত আবৃত,",ਨੱਥੀ ਨੱਥੀ
সাধাৰণ নিৰ্ণায়ক,ਆਮ ਨਿਰਣਾਇਕ
সংযুক্ত অৱভেদ্য সমীকৰণ,ਅਟੈਚਡ ਡਿਫਰੈਂਸ਼ੀਅਲ ਸਮੀਕਰਨ
সংলগ্ন সমীকৰণ,ਜੁੜੇ ਸਮੀਕਰਨ
সহসমঞ্জস্যপূৰ্ণ মেট্ৰিক্স,ਕੋਹੋਮੋਜੀਨੀਅਸ ਮੈਟਰਿਕਸ
মেট্ৰিক্স সহাৱস্থান,ਮੈਟ੍ਰਿਕਸ ਕੋਵੇਰੀਅੰਸ
সহসমঞ্জস্যপূৰ্ণ মেট্ৰিক্স,ਕੋਹੋਮੋਜੀਨੀਅਸ ਮੈਟਰਿਕਸ
গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য,ਸਵੀਕਾਰਯੋਗ ਫੈਸਲੇ ਫੰਕਸ਼ਨ
গ্ৰহণযোগ্য অনুমান,ਸਵੀਕਾਰਯੋਗ ਪਰਿਕਲਪਨਾ
বায়ুগতিবিদ্যা বল,ਐਰੋਡਾਇਨਾਮਿਕ ਫੋਰਸ
বায়ুগতিবিদ্যা,ਐਰੋਡਾਇਨਾਮਿਕਸ
সমজাতীয় জ্যামিতি,ਸਮਰੂਪ ਜਿਓਮੈਟਰੀ
সমজাতীয় মেপিং,ਸਮਰੂਪ ਮੈਪਿੰਗ
সমজাতীয় ৰূপান্তৰ,ਸਮਰੂਪ ਤਬਦੀਲੀ
এগ্ৰিগেট ভেৰিয়েবল,ਕੁੱਲ ਵੇਰੀਏਬਲ
"বীজগণিত, বীজগণিত, বীজগণিত, বীজগণিত","algebra, algebra, algebra, algebra"
"বীজযুক্ত বন্ধ, বীজযুক্ত","ਬੀਜੀ ਬੰਦ, ਬੀਜੀ"
বীজগণিতীয় সমীকৰণ,ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
বীজগণিতীয় প্ৰকাশ,ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
বীজগণিতীয় একাকাৰীতা,ਬੀਜਗਣਿਤ ਸਮਰੂਪਤਾ
বীজগণিতীয় ফলন,ਬੀਜਗਣਿਤ ਫੰਕਸ਼ਨ
বীজগণিতীয় জ্যামিতি,ਬੀਜਗਣਿਤ ਜਿਓਮੈਟਰੀ
বীজগণিতীয় বহুত্ব,ਬੀਜਗਣਿਤ ਬਹੁਲਤਾ
বীজগণিতীয় ব্যৱস্থা,ਬੀਜਗਣਿਤ ਪ੍ਰਣਾਲੀ
সকলো-পূৰ্ণসংখ্যা সমস্যা,ਸਾਰੇ ਪੂਰਨ ਅੰਕ ਸਮੱਸਿਆ
"নিযুক্তিৰ সমস্যা watt প্ৰশ্ন,",ਅਸਾਈਨਮੈਂਟ ਸਮੱਸਿਆ ਵਾਟ ਸਵਾਲ
বৰ্ণানুক্ৰমিক সংকেত,ਵਰਣਮਾਲਾ ਸੰਕੇਤ
বৰ্ণানুক্ৰমিক আখৰ,ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ
বিকল্প কোণ,ਬਦਲਵੇਂ ਕੋਣ
"বিকল্প সমজাতীয় বিকল্প ৰূপ,",ਬਦਲਵੇਂ ਸਮਰੂਪ ਬਦਲਵੇਂ ਰੂਪ
বিকল্প গোট,ਵਿਕਲਪਕ ਸਮੂਹ
বিকল্প মেট্ৰিক্স,ਵਿਕਲਪਕ ਮੈਟ੍ਰਿਕਸ
বিকল্প শৃংখলা,ਵਿਕਲਪਿਕ ਲੜੀ
বিকল্প অনুমান,ਵਿਕਲਪਕ ਅਨੁਮਾਨ
বিকল্প অনুকূল,ਵਿਕਲਪਿਕ ਸਰਵੋਤਮ
বিকল্প ফলাফল,ਵਿਕਲਪਿਕ ਨਤੀਜਾ
এনালগ-ডিজিট ৰূপান্তৰক,ਐਨਾਲਾਗ-ਅੰਕ ਕਨਵਰਟਰ
"এনালগ কম্পিউটাৰ,",ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ
বিশ্লেষণ,ਵਿਸ਼ਲੇਸ਼ਣ
সহাৱস্থান বিশ্লেষণ,ਸਹਿਵਿਹਾਰ ਵਿਸ਼ਲੇਸ਼ਣ
গণনা-তথ্য বিশ্লেষণ,ਗਣਨਾ-ਡਾਟਾ ਵਿਸ਼ਲੇਸ਼ਣ
ভ্যাৰিয়েন্স বিশ্লেষণ,ਪਰਿਵਰਤਨ ਵਿਸ਼ਲੇਸ਼ਣ
বিশ্লেষণাত্মক জ্যামিতি,ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਜਿਓਮੈਟਰੀ
বিশ্লেষণাত্মক কাৰ্য্য,ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਫੰਕਸ਼ਨ
কোণ,ਕੋਣ
স্পৰ্শক কোণ,ਸਪਰਸ਼ ਕੋਣ
বিক্ষেপণ কোণ,ਡਿਫਲੈਕਸ਼ਨ ਕੋਣ
ডিপ্ৰেছন এংগেল,ਡਿਪਰੈਸ਼ਨ ਕੋਣ
বিচ্যুতি কোণ,ਭਟਕਣ ਕੋਣ
বিবৰ্তন কোণ,ਵਿਭਿੰਨ ਕੋਣ
উচ্চতা কোণ,ਉਚਾਈ ਕੋਣ
প্ৰাদুৰ্ভাৱৰ কোণ,ਘਟਨਾ ਦਾ ਕੋਣ
প্ৰক্ষেপণৰ কোণ,ਪ੍ਰੋਜੈਕਸ਼ਨ ਦਾ ਕੋਣ
প্ৰতিফলনৰ কোণ,ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ
বিবৰ্তনৰ কোণ,ਅਪਵਰਤਨ ਦਾ ਕੋਣ
ঘূৰ্ণন কোণ,ਰੋਟੇਸ਼ਨ ਕੋਣ
প্ৰতিফলনৰ নিৰপেক্ষ কোণ,ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਪੂਰਨ ਕੋਣ
কৌণিক ত্বৰণ,ਕੋਣੀ ਪ੍ਰਵੇਗ
কৌণিক বেগ,ਕੋਣੀ ਵੇਗ
কৌণিক গতি,ਕੋਣੀ ਗਤੀ
কৌণিক বেগ,ਕੋਣੀ ਵੇਗ
ৰিং ফিংগাৰ,ਰਿੰਗ ਉਂਗਲ
উত্তৰদিশ,ਜਵਾਬ
কাউণ্টাৰ ডেৰাইভেটিভ,ਵਿਰੋਧੀ ਡੈਰੀਵੇਟਿਵ
সমমিতি ফলন,isometric ਫੰਕਸ਼ਨ
"আবৃত, প্ৰযোজ্য, প্ৰযোজ্য","ਕਵਰ ਕਰਨ ਯੋਗ, ਲਾਗੂ, ਲਾਗੂ"
"আবেদন আবেদন,",ਐਪਲੀਕੇਸ਼ਨ ਐਪਲੀਕੇਸ਼ਨ
ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে,ਲਾਗੂ ਡਾਇਨਾਮਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ
প্ৰয়োগ কৰা জ্যামিতি,ਲਾਗੂ ਕੀਤੀ ਜਿਓਮੈਟਰੀ
প্ৰয়োগ কৰা গণিত,ਲਾਗੂ ਗਣਿਤ
প্ৰয়োগ কৰা পৰিসংখ্যা,ਲਾਗੂ ਅੰਕੜੇ
"আনুমানিক, আনুমানিক","ਲਗਭਗ, ਲਗਭਗ"
প্ৰায় অবিৰত ফলন,ਲਗਭਗ ਲਗਾਤਾਰ ਫੰਕਸ਼ਨ
"মেক্ৰ&#39; পদ্ধতি, আনুমানিক পদ্ধতি","ਮੈਕਰੋ ਵਿਧੀ, ਅਨੁਮਾਨ ਵਿਧੀ"
আনুমানিক সমাধান,ਅੰਦਾਜ਼ਨ ਹੱਲ
আনুমানিক সমস্যা,ਲਗਭਗ ਸਮੱਸਿਆ
আনুমানিক বৈশিষ্ট্য,ਲਗਭਗ ਸੰਪਤੀ
যোগ্যতা পৰীক্ষা,ਯੋਗਤਾ ਟੈਸਟ
আৰ্গন ডায়েগ্ৰাম,ਆਰਗਨ ਚਿੱਤਰ
স্বেচ্ছামূলক,ਸਵੈ-ਇੱਛਤ
"random, যাদৃচ্ছিক","ਬੇਤਰਤੀਬ, ਬੇਤਰਤੀਬ"
ইচ্ছাকৃত ধ্ৰুৱক,ਆਪਹੁਦਰੇ ਸਥਿਰ
মুক্ত মৌল,ਮੁਫ਼ਤ ਤੱਤ
ইচ্ছাকৃত বিন্দু,ਮਨਮਾਨੀ ਬਿੰਦੂ
আৰ্কিমিডিছৰ নিয়ম,ਆਰਕੀਮੀਡ ਦਾ ਕਾਨੂੰਨ
আৰ্কিমিডিছৰ নিয়ম,ਆਰਕੀਮੀਡੀਜ਼ ਦਾ ਕਾਨੂੰਨ
"চাপ-দৈৰ্ঘ্য, চাপ-দৈৰ্ঘ্য","ਚਾਪ-ਲੰਬਾਈ, ਚਾਪ-ਲੰਬਾਈ"
বৃত্ত চাপ,ਚੱਕਰ ਚਾਪ
বিপৰীত চাইন বিতৰণ,ਉਲਟ ਸਾਈਨ ਵੰਡ
বিপৰীত চাইন ৰূপান্তৰ,ਉਲਟ ਸਾਈਨ ਪਰਿਵਰਤਨ
"এলেকা, এলেকা","ਖੇਤਰ, ਖੇਤਰ"
আঞ্চলিক সংৰূপ,ਖੇਤਰੀ ਸੰਰਚਨਾ
এটা জটিল সংখ্যাৰ কোণ,ਇੱਕ ਮਿਸ਼ਰਿਤ ਸੰਖਿਆ ਦਾ ਕੋਣ
গাণিতিক গড়,ਗਣਿਤ ਦਾ ਮਤਲਬ
ডিজিটেল অপাৰেচন,ਡਿਜ਼ੀਟਲ ਕਾਰਵਾਈ
ডিজিটেল ইউনিট,ਡਿਜ਼ੀਟਲ ਯੂਨਿਟ
"কনফিগাৰেচন, ব্যৱস্থা","ਸੰਰਚਨਾ, ਵਿਵਸਥਾ"
"এৰে, এৰে","ਐਰੇ, ਐਰੇ"
কৃত্ৰিম উপগ্ৰহ,ਨਕਲੀ ਉਪਗ੍ਰਹਿ
কৃত্ৰিম চলক,ਨਕਲੀ ਵੇਰੀਏਬਲ
বগাবলৈ,ਚੜ੍ਹਨ ਲਈ
আৰোহী,ਚੜ੍ਹਦਾ
মাত্ৰাৰ আৰোহী ক্ৰম,ਤੀਬਰਤਾ ਦਾ ਵੱਧਦਾ ਕ੍ਰਮ
আৰোহী গ্ৰেড,ਚੜ੍ਹਦਾ ਗ੍ਰੇਡ
এছেম্বলাৰ ভাষা,ਅਸੈਂਬਲਰ ਭਾਸ਼ਾ
"নিযুক্তি সমস্যা নিযুক্তি প্ৰশ্ন,",ਅਸਾਈਨਮੈਂਟ ਸਮੱਸਿਆ ਅਸਾਈਨਮੈਂਟ ਸਵਾਲ
সহযোগী নিয়ম,ਸਹਿਯੋਗੀ ਨਿਯਮ
অপাৰেটৰৰ এছ&#39;চিয়েটিভ নিয়ম,ਆਪਰੇਟਰਾਂ ਦਾ ਸਹਿਯੋਗੀ ਨਿਯਮ
এছ&#39;চিয়েটিভ অপাৰেচন,ਸਹਿਯੋਗੀ ਕਾਰਵਾਈ
সংগীত্ব,ਸਾਥੀ
ধৰি লোৱা গড়,ਮਤਲਬ ਮੰਨਿਆ
ধাৰণা কৰা সম্ভাৱনা বিতৰণ,ਅਨੁਮਾਨਿਤ ਸੰਭਾਵਨਾ ਵੰਡ
"কল্পনা কৰা, স্বীকাৰ কৰা,","ਕਲਪਨਾ, ਮੰਨਿਆ"
জ্যোতিষ বিজ্ঞান,ਜੋਤਿਸ਼
"মহাকাশ অভিযন্তা মহাকাশ অভিযন্তা,",ਪੁਲਾੜ ਵਿਗਿਆਨੀ ਇੰਜੀਨੀਅਰ ਸਪੇਸ ਇੰਜੀਨੀਅਰ
জ্যোতিৰ্বিজ্ঞানী*,ਖਗੋਲ ਵਿਗਿਆਨੀ*
জ্যোতিৰ্বিজ্ঞানৰ ঘড়ী,ਖਗੋਲੀ ਘੜੀ
জ্যোতিৰ্বিজ্ঞান,ਖਗੋਲ ਵਿਗਿਆਨ
অসমতাপূৰ্ণ বক্ৰ,ਅਸਮਿਤ ਵਕਰ
বিষমতা,ਅਸਮਿਤੀ
এছিম্পটটিক,asymptotic
গুৰুতৰ কৰি তোলা,ਪਰੇਸ਼ਾਨ ਕਰਨ ਵਾਲਾ
প্ৰগতিশীল অনুমানক,ਪ੍ਰਗਤੀਸ਼ੀਲ ਅਨੁਮਾਨਕ
ৰেট্ৰ&#39;গ্ৰেড পক্ষপাতমূলক অনুমানক,ਪਿਛਾਖੜੀ ਪੱਖਪਾਤੀ ਅਨੁਮਾਨਕ
ৰেট্ৰ&#39;গ্ৰেড আচৰণ,ਪਿਛਾਖੜੀ ਵਿਹਾਰ
আক্ৰমণাত্মক বিতৰণ ফলন,ਹਮਲਾਵਰ ਵੰਡ ਫੰਕਸ਼ਨ
ওপৰলৈ বিয়পি পৰা,ਉੱਪਰ ਵੱਲ ਫੈਲਣਾ
বায়ুমণ্ডলীয় চাপ,ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ
"যাদৃচ্ছিকভাৱে,",ਬੇਤਰਤੀਬੇ
গুণ*,ਸੰਪਤੀ*
বৈশিষ্ট্য-নমুনা-ব্যৱস্থা,ਗੁਣ-ਨਮੂਨਾ-ਪ੍ਰਣਾਲੀ
বৰ্ধিত মেট্ৰিক্স,ਵਧਿਆ ਹੋਇਆ ਮੈਟਰਿਕਸ
স্ব-সম্বন্ধ সহগ,ਸਵੈ-ਸੰਬੰਧ ਗੁਣਾਂਕ
স্বয়ংসম্বন্ধ কাৰ্য্য,ਸਵੈ-ਸੰਬੰਧ ਫੰਕਸ਼ਨ
সহাৱস্থান,ਸਹਿਵਿਹਾਰ
স্বয়ংক্ৰিয় কম্পিউটাৰ,ਆਟੋਮੈਟਿਕ ਕੰਪਿਊਟਰ
অটোৰিগ্ৰেছন,ਆਟੋਰਿਗਰੇਸ਼ਨ
সহায়ক সমীকৰণ,ਸਹਾਇਕ ਸਮੀਕਰਨ
গড় নমুনা সংখ্যা বক্ৰ (MPC বক্ৰ),ਮੀਨ ਸੈਂਪਲ ਨੰਬਰ ਕਰਵ (MPC ਕਰਵ)
"স্বতন্ত্ৰ, স্বতন্ত্ৰ","axiom, axiom"
স্বতন্ত্ৰ পদ্ধতি,axiom ਪਹੁੰਚ
সম্ভাৱনা স্বতন্ত্ৰতা,ਸੰਭਾਵਨਾ axiom
অক্ষ,ਧੁਰਾ
ভূজাক্ষ,ਭੁਜਕਸ਼ਾ
পৃথিৱীৰ অক্ষ,ਧਰਤੀ ਦਾ ਧੁਰਾ
ঘূৰ্ণন অক্ষ,ਰੋਟੇਸ਼ਨ ਧੁਰਾ
ঘূৰ্ণন অক্ষ,ਰੋਟੇਸ਼ਨ ਧੁਰਾ
স্পিন অক্ষ,ਸਪਿਨ ਧੁਰਾ
পোষ্ট সলনি কৰা,ਪੋਸਟ ਬਦਲੀ
পাছত,ਬਾਅਦ ਵਿੱਚ
পিছলৈ সন্নিৱিষ্ট কৰা সূত্ৰ,ਵਾਪਸ ਸੰਮਿਲਨ ਫਾਰਮੂਲਾ
"ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য","ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ"
সুষম ডিজাইন,ਸੰਤੁਲਿਤ ਡਿਜ਼ਾਈਨ
বেলেন্স শ্বীট,ਸੰਤੁਲਨ ਸ਼ੀਟ
মিছাইল,ਮਿਜ਼ਾਈਲ
"বেলিষ্টিক, অস্ত্ৰ-শস্ত্ৰ","ਬੈਲਿਸਟਿਕਸ, ਹਥਿਆਰ"
"স্তম্ভ, ৰড, কব, বাৰ, বাৰ, বাৰ, বাৰ, বাৰ, বাৰ, ৰেখা, ৰেখা, পৰীক্ষা ৰেখা, প্ৰান্ত","ਕਾਲਮ, ਰਾਡ, ਕੋਬ, ਬਾਰ, ਬਾਰ, ਬਾਰ, ਬਾਰ, ਬਾਰ, ਬਾਰ, ਲਾਈਨ, ਲਾਈਨ, ਟੈਸਟ ਲਾਈਨ, ਕਿਨਾਰਾ"
"ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি","ਅਧਾਰ, ਅਧਾਰ, ਅਧਾਰ, ਅਧਾਰ, ਅਧਾਰ"
ভিত্তি কোণ,ਅਧਾਰ ਕੋਣ
"লগাৰিদমৰ ভিত্তি, লগাৰিদমৰ ভিত্তি","ਲਘੂਗਣਕ ਦਾ ਆਧਾਰ, ਲਘੂਗਣਕ ਦਾ ਆਧਾਰ"
"মূল, মৌলিক,","ਬੁਨਿਆਦੀ, ਬੁਨਿਆਦੀ"
ভিত্তি সুসংহত সমাধান,ਅਧਾਰ ਇਕਸਾਰ ਹੱਲ
ভিত্তি দ্ৰৱণ,ਅਧਾਰ ਹੱਲ
ভিত্তি চলক,ਅਧਾਰ ਵੇਰੀਏਬਲ
ভেঁটি,ਅਧਾਰ
ভিত্তি উপাদান,ਅਧਾਰ ਤੱਤ
ভিত্তি মেট্ৰিক্স,ਬੇਸ ਮੈਟ੍ਰਿਕਸ
ভেক্টৰ স্থানৰ ভিত্তি,ਵੈਕਟਰ ਸਪੇਸ ਦਾ ਅਧਾਰ
উপজনসংখ্যাৰ ভিত্তিত,ਉਪ-ਜਨਸੰਖਿਆ ਦੇ ਆਧਾਰ &#39;ਤੇ
অসাধু,ਬੇਈਮਾਨ
bez-নিয়ম,bez-ਨਿਯਮ
bez- উপপাদ্য,ਬੇਜ਼-ਪ੍ਰਮੇਯ
bernoulli-বিতৰণ,bernoulli-ਵੰਡ
বাৰ্নৌলিৰ সংখ্যা,ਬਰਨੌਲੀ ਨੰਬਰ
বাৰ্নৌলি সম্ভাৱনা ফলন,ਬਰਨੌਲੀ ਪ੍ਰੋਬੇਬਿਲਟੀ ਫੰਕਸ਼ਨ
বাৰ্নৌলি-সমীকৰণ,ਬਰਨੌਲੀ-ਸਮੀਕਰਨ
জামুৰ কাৰ্য্য,ਬੇਰੀ ਫੰਕਸ਼ਨ
শ্ৰেষ্ঠ আঠাযুক্ততা,ਵਧੀਆ ਚਿਪਕਣ
শ্ৰেষ্ঠ আঠাযুক্ত ৰেখা,ਵਧੀਆ ਅਸੰਭਵ ਲਾਈਨ
উত্তম সমাধান,ਵਧੀਆ ਹੱਲ
শ্ৰেষ্ঠ টিপছ,ਵਧੀਆ ਸੁਝਾਅ
বিটা বিতৰণ,ਬੀਟਾ ਵੰਡ
"bias, পক্ষপাতিত্ব","ਪੱਖਪਾਤ, ਪੱਖਪਾਤ"
পক্ষপাতমূলক মূল্যায়ন,ਪੱਖਪਾਤੀ ਮੁਲਾਂਕਣ
দ্বিপদ সমীকৰণ,ਬਾਇਨੋਮੀਅਲ ਸਮੀਕਰਨ
একক কভাৰ,ਸਿੰਗਲ ਕਵਰ
একক কভাৰ মেপ,ਸਿੰਗਲ ਕਵਰ ਨਕਸ਼ਾ
একক কভাৰ মেপিং,ਸਿੰਗਲ ਕਵਰ ਮੈਪਿੰਗ
দ্বিঘাত দ্বিঘাত,ਚਤੁਰਭੁਜ ਚਤੁਰਭੁਜ
দ্বিৰৈখিক ফলন,ਦੋ-ਲੀਨੀਅਰ ਫੰਕਸ਼ਨ
দ্বিৰৈখিক হাৰ্মিটিয়ান সমতা,ਦੋ-ਲੀਨੀਅਰ ਹਰਮੀਟੀਅਨ ਸਮਰੂਪਤਾ
"দ্বি-চলক, বাইনাৰী, দ্বৈত","ਦੋ-ਵੇਰੀਏਬਲ, ਬਾਈਨਰੀ, ਦੋਹਰਾ"
"বাইনাৰী ক&#39;ড, বাইনাৰী ক&#39;ড","ਬਾਈਨਰੀ ਕੋਡ, ਬਾਈਨਰੀ ਕੋਡ"
"বাইনাৰী ক&#39;ড কৰা দশমিক, বাইনাৰী ক&#39;ড কৰা দশমিক","ਬਾਈਨਰੀ ਕੋਡਡ ਦਸ਼ਮਲਵ, ਬਾਈਨਰੀ ਕੋਡਿਡ ਦਸ਼ਮਲਵ"
বাইনাৰী এনকোডিং,ਬਾਈਨਰੀ ਇੰਕੋਡਿੰਗ
বাইনাৰী কম্পিউটাৰ,ਬਾਈਨਰੀ ਕੰਪਿਊਟਰ
বাইনাৰী সংখ্যা,ਬਾਈਨਰੀ ਨੰਬਰ
বাইনাৰী অপাৰেচন,ਬਾਈਨਰੀ ਕਾਰਵਾਈ
বাইনাৰী পদ্ধতি,ਬਾਈਨਰੀ ਢੰਗ
বাইনাৰী চলক,ਬਾਈਨਰੀ ਵੇਰੀਏਬਲ
দ্বিপদ সহগ,ਬਾਇਨੋਮੀਅਲ ਗੁਣਾਂਕ
দ্বিপদ বিতৰণ,ਬਾਇਨੋਮੀਅਲ ਵੰਡ
দ্বিপদ সমীকৰণ,ਬਾਇਨੋਮੀਅਲ ਸਮੀਕਰਨ
দ্বিপদ ভ্যাৰিয়েন্স,ਬਾਇਨੋਮੀਅਲ ਵਿਭਿੰਨਤਾ
দ্বিপদ অভিব্যক্তি,ਦੋਨੋਮੀ ਸਮੀਕਰਨ
দ্বিপদ ৰেণ্ডম চলক,ਬਾਇਨੋਮੀਅਲ ਬੇਤਰਤੀਬ ਵੇਰੀਏਬਲ
দ্বিপদ উপপাদ্য,ਬਾਇਨੋਮੀਅਲ ਥਿਊਰਮ
"আধা, bifurcation","ਅੱਧਾ, ਵਿਭਾਜਨ"
"bisect পদ্ধতি, অৰ্ধবিভাজন পদ্ধতি","ਦੋ-ਭਾਗ ਵਿਧੀ, ਅਰਧ-ਵਿਭਾਜਨ ਵਿਧੀ"
হাফ বাইছেক্টৰ,ਅੱਧਾ ਬਾਈਸੈਕਟਰ
"দ্বিপদ, দ্বৈত","ਬਾਇਨੋਮੀਅਲ, ਦੁਵੱਲਾ"
"ড্ৱায়াংক (বাইনাৰী সংখ্যা), অনি, বাৰ্মিজ, টুক","ਦ੍ਵਯੰਕ (ਬਾਈਨਰੀ ਸੰਖਿਆ), ਅਨੀ, ਬਰਮੀ, ਟੁਕ"
দ্বিপদ দ্বিপদ বিতৰণ দ্বিপদ,binomial binomial distribution binomial
দ্বিচলকীয় সম্পৰ্ক সহগ,ਬਾਇਵਾਰੀਏਟ ਸਹਿ-ਸਬੰਧ ਗੁਣਾਂਕ
দ্বিচলকীয় বিতৰণ,ਦੋ-ਪੱਖੀ ਵੰਡ
দ্বিচলকীয় স্বাভাৱিক-বিতৰণ,bivariate ਸਧਾਰਨ-ਵੰਡ
বাইভেক্টৰ,bivector
বোল্টমেন সমীকৰণ,ਬੋਲਟਮੈਨ ਸਮੀਕਰਨ
বুলিয়ান বীজগণিত*,ਬੁਲੀਅਨ ਅਲਜਬਰਾ*
বস-আইনষ্টাইন পৰিসংখ্যা,ਬੋਸ-ਆਈਨਸਟਾਈਨ ਦੇ ਅੰਕੜੇ
সীমাবদ্ধতা নিষেধাজ্ঞা,ਸੀਮਾ ਪਾਬੰਦੀਆਂ
সীমা স্তৰ,ਸੀਮਾ ਪੱਧਰ
সীমাৰেখা,ਸੀਮਾ ਰੇਖਾ
সীমা মূল্য,ਸੀਮਾ ਮੁੱਲ
