Bengali,Punjabi
প্রাণী প্রত্যাখ্যান,ਪਸ਼ੂਆਂ ਤੋਂ ਇਨਕਾਰ ਕਰੋ
অ্যানিমেট শক্তি,Energy ਰਜਾ ਐਨੀਮੇਟ ਕਰੋ
অ্যানিসোপ্লয়েড,ਅਨੀਸੋਪਲੋਇਡ
বার্ষিক উদ্ভিদ,ਸਾਲਾਨਾ ਪੌਦਾ
বার্ষিক,ਸਾਲਾਨਾ
অ্যান্থেসিস,ਐਥੇਸਮਿਸ
অ্যানথ্রাক্স,ਐਂਥ੍ਰੈਕਸ
অ্যানথ্রোপোজেনিক ফ্যাক্টর,ਐਂਥ੍ਰੋਪੋਜਾਈਜਿਕ ਫੈਕਟਰ
অ্যান্টিবায়োসিস,ਐਂਟੀਬਾਇਸਿਸ
অ্যান্টিবায়োটিক,ਐਂਟੀਬਾਇਓਟਿਕ
প্রতিষেধক,ਐਂਟੀਡੋਟਾ
অ্যান্টিঅক্সিডেন্টস,ਐਂਟੀਆਕਸੀਡੈਂਟਸ
অ্যান্টিটক্সিন,Antitoxin
অ্যানুলাস,ਐਨਾਬੁਲਸ
এফিড,Aphid
অ্যাপিকাল কুঁড়ি,Apical ਮੁਕੁਲ
অ্যাপিকাল আধিপত্য,ਏਪਿਕਲ ਦਬਦਬਾ
এপিক্যালচার (মৌমাছি পালন),Apsiculturuet (ਮਧੂ ਮੱਖੀ ਰੱਖਣ)
অ্যাপোমিক্সিস,ਅਪੋਮਿਕਸ
অ্যাপোপটোসিস,ਅਪੋਪੋਟੋਸਿਸ
সংযোজন,ਅੰਤਿਕਾ
ক্ষুধার্ত,ਭੁੱਖ
প্রয়োগ,ਲਾਗੂ ਕੀਤਾ
জলজ আগাছা,ਐਕੁਆਟਿਕ ਬੂਟੀ
আরবোরিয়াল,ਅਰਬੋਰੀਅਲ
আর্বোরাইজেশন,ਅਰਬਰਾਈਜ਼ੇਸ਼ਨ
আর্কিও-বোটানিকাল রেকর্ডস,ਏ ਆਰਚਿਓ-ਬੋਟੈਨੀਕਲ ਰਿਕਾਰਡ
অঞ্চল পরিসংখ্যান,ਖੇਤਰ ਦੇ ਅੰਕੜੇ
অঞ্চল,ਖੇਤਰ
শুকনো বাস্তুতন্ত্র,ਐੱਫ.ਡੀ.ਆਈ.
আরিল,ਅਰਿਲ
সুগন্ধ,ਖੁਸ਼ਬੂ
সুগন্ধযুক্ত উদ্ভিদ,ਖੁਸ਼ਬੂਦਾਰ ਪੌਦਾ
সুগন্ধযুক্ত চাল,ਖੁਸ਼ਬੂਦਾਰ ਚਾਵਲ
তীর,ਐਰੋਇੰਗ
Asepsis,Espesisis
অ্যাসেপটিক,Sseptic
অ্যাসেক্সুয়াল প্রচার,ਅਸਪਸ਼ਟ ਪ੍ਰਸਾਰ
অ্যাস,ਅਨੀ
সম্পদ,ਸੰਪਤੀ
সংমিশ্রণ,ਸਹਿਯੋਗ
সংঘ,ਐਸੋਸੀਏਸ਼ਨ
জ্যোতিষী,ਤੂਫਾਨੀ
অ্যাসিনাপসিস,ਅਸਟੀਪਿਸਿਸ
Atavism,ਅਟਵੀਵਾਦ
Atomizer,ਐਟੋਮਾਈਜ਼ਰ
অ্যাট্রোফি,ਸ਼ੋਸ਼ਣ
অটোগামি,ਆਟੋਗ੍ਰਾਮ
অটোলাইসিস,ਆਟੋਲਿਸਸਿਸ
অটোক্সিডেশন,ਆਟੋਮਿਡੇਸ਼ਨ
অটোপলিপ্লয়েড,ਆਟੋਪਲਿਪਲਾਈਡ
অক্সিনস,Auxins
এডাব্লুএন (ব্রিজল),ਅੱਲ (ਬ੍ਰਿਸਟਲ)
বাদাম,ਬਦਾਮ
অ্যালো,ਐਲੋ
অমরান্থাস,ਅਮੈਸ਼ਨਥਸ
আম্মি,ਅਮਮੀ
অঞ্জান ঘাস,ਅੰਜਨ ਘਾਹ
অ্যান্থুরিয়াম,ਐਂਥਿਰੀਅਮ
"অোনলা, ভারতীয় গুজবেরি","ਅੋਂਲਾ, ਇੰਡੀਅਨ ਕਰੌਦਾ"
অ্যাপল,ਸੇਬ
এপ্রিকট,ਖੜਮਾਨੀ
আরবিয়ান জেসমিন,ਅਰਬੀਅਨ ਜੈਸਮੀਨ
সুপারি বাদাম,ਅਰੇਕਾ ਗਿਰੀਦਾਰ
অর্জুন,ਅਰਜੁਨ
Asfoetida,ਓਡੋਏਟਿਡਾ
অ্যাশ লাউ,ਸੁਆਹ
অশোক গাছ,ਅਸ਼ੋਕ ਦਾ ਰੁੱਖ
আশ্থমা আগাছা (ইউফোর্বিয়া),ਅਸ਼ਥਮਾ ਬੂਟੀ (ਯੂਫੋਰਬੀਆ)
অ্যাস্পারাগাস,ਐਸਪੈਰਾਗਸ
অ্যাভোকাডো,ਆਵਾਕੈਡੋ
আলফালফা (লুসার্ন),ਅਲਫਾਲਫਾ (LUSEREN)
পিঁপড়া,ਕੀੜੀਆਂ
এফিডস,ਐਫੀਡਜ਼
সেনা কৃমি,ਆਰਮੀ ਕੀੜੀ
কৃষি অর্থনীতিবিদ,ਖੇਤੀਬਾੜੀ ਅਰਥਵਾਦੀ
কৃষি এক্সটেনশনিস্ট,ਖੇਤੀਬਾੜੀ ਵਿਸਤ੍ਰਿਤ
কৃষি বিজ্ঞানী,ਖੇਤੀਬਾੜੀ ਵਿਗਿਆਨੀ
কৃষি প্রকৌশলী,ਖੇਤੀਬਾੜੀ ਇੰਜੀਨੀਅਰ
অ্যাগ্রোবায়োলজিস্ট,ਅਗਾਹੀਵੌਇਲੋਜਿਸਟ
কৃষিবিদ,ਖੇਤੀਬਾਮੀ
অ্যাগ্রোফিজিসট,ਅਸ਼ੋਲੀ
প্রাণী ব্রিডার,ਜਾਨਵਰ ਬ੍ਰੀਡਰ
ব্যাসিলাস ভাইরাস,ਬੇਸਿਲਸ ਵਾਇਰਸ
ব্যাসিলাস,ਬੈਸੀਲਸ
ব্যাকটিরিয়া,ਬੈਕਟੀਰੀਆ
ব্যাকটিরিওক্সিন,ਬੈਕਟੀਰੋਅਟੌਕਸਿਨ
ব্যাগাস,ਬੈਗਸ
ব্যালেন্স শীট,ਸੰਤੁਲਨ ਸ਼ੀਟ
ভারসাম্যহীন নিষেক,ਸੰਤੁਲਿਤ ਖਾਦ
বার ডায়াগ্রাম,ਬਾਰ ਡਾਇਗਰਾਮ
বাকল,ਸੱਕ
ব্যারোমিটার,ਬੈਰੋਮੀਟਰ
বন্ধ্যা,ਬੰਜਰ
বেস,ਅਧਾਰ
বেসিন,ਬੇਸਿਨ
বেসিপেটাল,ਬਾਸਿਪਟਲ
বেসস্টারনাম,ਬਾਸੈਸਟਰਨੀਮ
উপসাগর,ਬੇ ਮਾਨਸੂਨ
বিয়ারিং প্ল্যান্ট,ਬੇਅਰਿੰਗ ਪੌਦਾ
বিছানা,ਬਿਸਤਰੇ
বেডার,ਬੇਡਰ
বিছানাপত্র,ਬਿਸਤਰੇ
বীট গুড়,ਬੀਟ ਗੁੜ
বেলো,ਝੁਕੋ
বেল্ট,ਬੈਲਟ
বেনিফিট-ব্যয় বিশ্লেষণ,ਲਾਭ-ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ
পক্ষপাতদুষ্ট (নমুনা),ਪੱਖਪਾਤੀ (ਸੈਂਲਿੰਗ)
দ্বিবার্ষিক,ਬਨੀਅਲ
দ্বিপদী,ਬਿਨੀਮਾਇਲ
বায়োএজেন্ট,ਬਾਇਓਜੈਂਟ
বায়োক্লিমেট,ਬਾਇਓਸੈਲਮੇਟ
বায়োনারজি,ਬਾਇਓਨੇਰਜੀ
বায়োনমিক্স,ਬਯਨੋਮਿਕਸ
বায়োরিয়্যাক্টর,ਬਾਇਓਰੇਟਰ
বায়োস্ফিয়ার,ਬਾਇਓਸਪੇਅਰ
বায়োটিক,ਬਾਇਓਟਿਕ
বায়োটাইপ,ਬਾਇਓਟਾਈਪ
উভকামী,ਲਿੰਗੀ
ব্লাঞ্চিং,ਬਲੈਂਚਿੰਗ
বিস্ফোরণ,ਧਮਾਕਾ
মিশ্রণ,ਮਿਸ਼ਰਣ
ব্লাইট,ਝੁਲਸਣ
ফোস্কা,ਛਾਲੇ
নীল বিপ্লব,ਨੀਲਾ ਇਨਕਲਾਬ
নীচে তাপ চেম্বার,ਤਲ ਗਰਮੀ ਚੈਂਬਰ
নীচে তাপ কৌশল,ਤਲ ਹੀਟ ਤਕਨੀਕ
ব্রান,ਬ੍ਰੈਨ
শাখা,ਸ਼ਾਖਾ
শাখা,ਬ੍ਰੀਚਲੇਟ
প্রজনন,ਨਸਲ
প্রজনন,ਪ੍ਰਜਨਨ
Brimming,ਝਗੜਾ
ব্রুড,ਬਰੂਦ
উদীয়মান,ਉਭਰਦਾ
বাজেট,ਬਜਟ
বাফার,ਬਫਰ
বাল্ব,ਬੱਲਬ
বুট,ਬੈਂਟ
উপজাত,ਉਪ-ਉਤਪਾਦ
বাবুল অ্যাকাসিয়া,ਬਾਬੂਬਦ ਬੱਬੀ
শিশুর ভূট্টা,ਬੇਬੀ ਮੱਕੀ
বেল,ਬਾਲ
বেল,ਬਿਲ
বালসাম,ਬਾਲਸਮ
বাঁশ,ਬਾਂਸ
কলা,ਕੇਲਾ
বটগাছ,ਬੈਨੀਅਨ ਦਾ ਰੁੱਖ
বার্লি,ਜੌ
বার্নইয়ার্ড মিললেট,ਬਾਰਨੀਅਰ ਬਾਜਰੇ
পুদিনা,ਤੁਲਸੀ
জারজ সিডার,ਬਾਸਟਰਡ ਸੀਡਰ
জারজ মাইরোবালান,ਬਾਸਟਰਡ ਮਾਈਰੋਬੇਲਾ
বাউহিনিয়া,Bauhinia
বে বেরি,ਬੇ ਬੇਰੀ
বিন,ਬੀਨ
বীট,ਚੁਕੰਦਰ
বেলাদোনা,ਬੇਲਾਡੋਨਾ
বের,ਬੇਰ
বার্সিম,ਸੋਰਸਮ
সুপারি,ਸੁਪਾਰੀ
বিলিম্বি,ਬਿਲੀਮਬੀ
বিটার লাউ,ਕੌੜਾ ਬੈਰ
কালো গ্রাম,ਕਾਲਾ ਗ੍ਰਾਮ
কালো নাইটশেড,ਕਾਲੀ ਨਾਈਟਸੈਡ
বোগেনভিলিয়া,ਬੌਗੇਨਵਿਲੇਸਾ
বোতল ব্রাশ,ਬੋਤਲ ਬੁਰਸ਼
বোতল লাউ,ਬੋਤਲ ਬਘਿਆੜ
বক্স ট্রি,ਬਾਕਸ ਲੜੀ
রুটি ফল,ਬਰੈੱਡ ਫਲਾਂ
ব্রাইডাল লতা,ਵਿਆਹ ਦੀ ਨਿੰਬੂ
ব্রিনজাল,ਬ੍ਰਿੰਜਲ
ব্রড শিম,ਬ੍ਰੌਡ ਬੀਨ
ব্রোকলি,ਬ੍ਰੋ CC ਓਲਿ
ব্রাসেলের স্প্রাউট,ਬ੍ਰਸੇਸਲ ਦਾ ਫੁੱਟ
বাকউইট,ਬੱਕਵੈਟ
বুটিয়া,ਬੁਟੀਆ
ব্যান্ডিকুট,ਬੈਂਡਿਕੋਟ
ভাল্লুক,ਰਿੱਛ
বিটল,ਬੀਟਲ
ফোস্কা বিটল,ਛਾਲੇ ਬੀਟਲ
নীল ষাঁড়,ਨੀਲਾ ਬੁੱਲ
বোল কৃমি,ਬੁਲ ਕੀੜਾ
প্রজাপতি,ਬਟਰਫਲਾਈ
ব্যাকটিরিওলজিস্ট,ਜੀਵਾਣੂ-ਵਿਗਿਆਨੀ
বায়োকেমিস্ট,ਬਾਇਓਕੈਮਿਸਟ
জীববিজ্ঞানী,ਜੀਵ ਵਿਗਿਆਨੀ
বায়োটেকনোলজিস্ট,ਬਾਇਓਟੈਕਨੋਲੋਜਿਸਟ
উদ্ভিদবিদ,ਬੋਟੈਨਿਸਟ
সি আর্দ্রতা বৈশিষ্ট্যযুক্ত বক্ররেখা,ਸੀ ਨਮੀ ਦੇ ਗੁਣ
কেক,ਕੇਕ
ক্যালারিয়াস,ਕੈਲਕਿਸ
ক্যালিফিকেশন,ਕੈਲਸੀਫਿਕੇਸ਼ਨ
ফসফেটের ক্যালকিনেশন,ਫਾਸਫੇਟ ਦਾ ਹਿਸਾਬ
Calost,ਕਲੇਸ਼
কলাস,ਕਾਲਸ
ক্যালিক্স,ਕੈਲੀਕਸ
ক্যালিক্স-এন্ড,ਕੈਲੀਕਸ-ਐਂਡ
ক্যাম্বিয়াম,ਕੈਮਬੀਅਮ
ক্যান্সার,ਕੈਨਕਰ
ক্যানিং,ਕੈਨਿੰਗ
ক্যানোপি,ਕੈਨੋਪੀ
মূলধন,ਪੂੰਜੀ
ক্যাপরিফিকেশন,ਕੈਪਟੇਸ਼ਨ
ক্যাপসুল,ਕੈਪਸੂਲ
কার্বনেটেড,ਕਾਰਬੋਨੇਟਡ
কার্বনাইজেশন,ਕਾਰਬੋਨਾਈਜ਼ੇਸ਼ਨ
কার্পেল,ਕਾਰਪਲ
কার্পাস,ਕਾਰਪਸ
ঢালাই,ਕਾਸਟਿੰਗ
ক্যাটাবোলিজম,ਕੈਟਾਬੋਲਿਜ਼ਮ
ক্যাটালাইসিস,ਉਤਪ੍ਰੇਸਿਆ
শুঁয়াপোকা,ਕੇਟਰਪਿਲਰ
সি-ডিএনএ লাইব্রেরি,ਸੀ-ਡੀ ਐਨ ਏ ਲਾਇਬ੍ਰੇਰੀ
সিলিং,ਛੱਤ
সেল,ਸੈੱਲ
কেন্দ্রীয় নেতা ব্যবস্থা,ਕੇਂਦਰੀ ਲੀਡਰ ਸਿਸਟਮ
কেন্দ্রিক,ਕੇਂਦਰਿਤ
সেন্ট্রিফিউগেশন,ਸੈਂਟਰਿਫੁਗਾਸ਼ਨ
সেন্ট্রিফিউজ,ਸੈਂਟਰਿਫਿ ize ਜ
সেন্ট্রিওল,ਸੈਂਟਰਿਓਲ
সেন্ট্রোজেনিক,CentRogenic
সেন্ট্রোজেনাস,ਸੈਂਟੀਗਨੌਜ਼
সার্কাস,ਚੱਕਰ
সিরিয়াল,ਅਨਾਜ
শংসাপত্র,ਸਰਟੀਫਿਕੇਸ਼ਨ
প্রত্যয়িত বীজ,ਪ੍ਰਮਾਣਿਤ ਬੀਜ
চ্যাফ,ਤੂਫਾਨ
চালাজা,ਚਮਜ਼ਾ
কেমোট্রপিজম,ਮੈਕੌਟ੍ਰੋਜ਼ਿਜ਼ਮ
চিয়াসমা,ਚਿਆਸਮਾ
শীতল সময়,ਚਿਲਿੰਗ ਘੰਟੇ
শীতল আঘাত,ਸੱਟ ਲੱਗ ਰਹੀ ਸੱਟ
চিমেরা,Chimera
ক্লোরান্টি,ਚਲੋਟਰੈਠੀ
ক্লোরোফিল,ਕਲੋਰੋਫਿਲ
ক্লোরোসিস,ਕਲੋਰੋਸਿਸ
ক্লোরোলজি,ਕਲੋਰੋਲੋਜੀ
ক্রোমাটিড,Chrimindidd
ক্রোমাটিন,ਕ੍ਰੋਮੈਟਿਨ
ক্রোমাটোগ্রাফি,ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ
ক্রোমাটোলাইসিস,ਕ੍ਰੋਮੈਟੋਲਸਿਸ
ক্রোমোসেন্ট্রে,ਕ੍ਰੋਮੋਸੀਸਟਰ
ক্রোমোজেনেসিস,ਕ੍ਰੋਮੋਜੇਨੇਸਿਸ
ক্রোমোপ্রোটিন,ਕ੍ਰੋਮੋਪ੍ਰੋਟੀਨ
ক্রোমোজোম,ਕ੍ਰੋਮੋਸੋਮ
দীর্ঘস্থায়ী,ਦੀਰਘ
সিট্রঞ্জ,ਸਾਇੰਗ
ক্লেডোড,ਕਲੇਡਡ
শ্রেণিবদ্ধকরণ,ਵਰਗੀਕਰਣ
ক্লে,ਮਿੱਟੀ
পরিষ্কার,ਸਫਾਈ
ক্লিস্টোগ্যামি,ਕਲੇਰਿਸਟਾਗਮੀ
ক্লাইম্যাক্টেরিক ফল,ਜਲਦਬਾਜ਼ੀ ਦਾ ਫਲ
জলবায়ু,ਮੌਸਮ
জলবায়ু,ਜਲਵਾਯੂ
ক্লিপার,ਕਲੀਪਰ
ক্লোড,ਕਲੋਡ
ক্লোন,ਕਲੋਨ
মেঘ,ਬੱਦਲ
ক্লাম্প,ਕਲੰਪ
ক্লাস্টার,ਕਲੱਸਟਰ
মোটা,ਮੋਟੇ
কোট (বীজ),ਕੋਟ (ਬੀਜ)
কোকুন,ਕੋਕੂਨ
কোএনজাইম,ਸਿੱਕੇ
সংহতি,ਏਕਤਾ
কয়ার,ਕੋਇਰ
কোলোররিজা,ਕੋਲੀੋਰਿਹਿਜ਼ਾ
কলার,ਕਾਲਰ
কলয়েড (মাটি),ਕੋਲੋਇਡ (ਮਿੱਟੀ)
কলিউমেলা,ਕੋਲਮੂਲਾ
কলাম,ਕਾਲਮ
কমেন্সালিজম,ਰਿਮੈਂਸੀਵਾਦ
বাণিজ্যিক ব্যাংক,ਵਪਾਰਕ ਬੈਂਕ
পণ্য,ਕਮੋਡਿਟੀ
সম্প্রদায়,ਕਮਿ Community ਨਿਟੀ
সংযোগ (মাটির),ਸੰਕੁਚਨ (ਮਿੱਟੀ ਦਾ)
সামঞ্জস্যতা,ਅਨੁਕੂਲਤਾ
সামঞ্জস্যতা,ਅਨੁਕੂਲਤਾ
ক্ষতিপূরণ,ਮੁਆਵਜ਼ਾ
প্রতিযোগিতামূলক মিথস্ক্রিয়া,ਮੁਕਾਬਲੇਬਾਜ਼ੀ ਨਾਲ ਗੱਲਬਾਤ
পরিপূরক ফসল,ਪੂਰਕ ਫਸਲ
জটিল,ਗੁੰਝਲਦਾਰ
উপাদান,ਭਾਗ
গঠন,ਰਚਨਾ
কম্পোস্ট,ਖਾਦ
চক্রবৃদ্ধিহারে সুদ,ਮਿਸ਼ਰਿਤ ਦਿਲਚਸਪੀ
গণনা,ਗਣਨਾ
কম্পিউটার,ਕੰਪਿ computer ਟਰ
একাগ্রতা,ਧਿਆਨ ਟਿਕਾਉਣਾ
কন্ডিশনার,ਕੰਡੀਸ਼ਨਰ
আচরণ,ਚਾਲ-ਚਲਣ
কনফিগারেশন,ਕੌਨਫਿਗਰੇਸ਼ਨ
অনুসার,ਅਨੁਕੂਲਤਾ
বিভ্রান্তিকর,ਉਲਝਣ
সংমিশ্রণ,ਸੰਜੋਗ
সংযোগকারী,ਕੁਨੈਕਟਿਵ
সংরক্ষণ,ਸੰਭਾਲ
একত্রীকরণের,ਇਕਜੁੱਟ
উপাদান,ਹਲਕੇ
গ্রাহক,ਖਪਤਕਾਰ
খরচ,ਖਪਤ
দূষণ,ਗੰਦਗੀ
কনট্যুর রোপণ,ਕੋਟੌਰ ਲਾਉਣਾ
কনট্যুর,ਸਮਾਲ
চুক্তি চাষ,ਇਕਰਾਰਨਾਮਾ ਖੇਤੀ
নিয়ন্ত্রিত স্টোরেজ,ਨਿਯੰਤਰਿਤ ਸਟੋਰੇਜ
সমবায় ব্যাংক,ਸਹਿਕਾਰਤਾ ਵਾਲਾ ਬੈਂਕ
সহযোগী,ਸਹਿਕਾਰਤਾ
কপিস,ਕਾੱਪੀਸ
Corm,ਕੋਰਮ
করোলা,ਕੋਰੋਲਾ
কর্টেক্স,ਕੋਰਟੇਕਸ
ব্যয়,ਲਾਗਤ
কোটিলেডন (বীজ),ਕੋਟੀਲਡਨ (ਬੀਜ)
ক্রেডিট সোসাইটি,ਕਰੈਡਿਟ ਸੁਸਾਇਟੀ
ক্রেডিট,ਕ੍ਰੈਡਿਟ
পাওনাদার,ਲੈਣਦਾਰ
ক্রেস্ট,ਕਰੈਸਟ
ক্রিঙ্কল,Crinkle
সংকট,ਸੰਕਟ
মানদণ্ড,ਮਾਪਦੰਡ
সমালোচনা,ਆਲੋਚਨਾਤਮਕ
শস্য বীমা,ਫਸਲੀ ਬੀਮਾ
শস্য loan ণ,ਫਸਲ ਲੋਨ
ফসল,ਫਸਲ
ক্রপিং অঞ্চল,ਕਰੂਪਿੰਗ ਖੇਤਰ
ক্রস-ইনমপ্যাটেবল,ਕਰਾਸ-ਅਨੁਕੂਲ
মুকুট (উদ্ভিদ),ਤਾਜ (ਪੌਦਾ)
ক্রম্ব,ਟੁਕੜਾ
ক্রাস্ট,ਛਾਲੇ
ক্রিপ্টোগাম,ਕ੍ਰਿਪਟੌਗਮ
কুল (ফল),ਕੂਲ (ਫਲ)
কাল্ম,ਕੂਲਮ
