Gujarati,Kannada
કૃત્ય,ಅಂಧ
કાર્ય માટેની ક્ષમતા,ಕ್ರಿಯಾಶೀಲತೆ
સક્રિય કાદવ,ಸಕ್ರಿಯ ಕೆತ್ತನೆ
સક્રિય કાદવ ફ્લોક,ಸಕ್ರಿಯ ಕೆಸರು ಫ್ಲೋಕ್
સક્રિય energyર્જા,ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ
સક્રિય શોષણ,ಸಕ್ರಿಯ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
સક્રિય પ્રતિરક્ષા,ಸಕ್ರಿಯ ವಿನಾಯಿತಿ
સક્રિય કિરણોત્સર્ગ,ಸಕ್ರಿಯ ವಿಕಿರಣ
સક્રિય સ્થળ,ಸಕ್ರಿಯ ಸೈಟ್
સક્રિય,ದಳ
અણીદાર,ವಕ್ರವಳತಿ ಮಾಡು
એડ્મસિયા,ಆಡಮ್ಸಿಯಾ
અનુકૂલનક્ષમતા,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
અનુકૂલન,ರೂಪಾಂತರ
પ્રકાશ શાસન માટે અનુકૂલન,ಬೆಳಕಿನ ಆಡಳಿತಕ್ಕೆ ಹೊಂದಿಕೊಳ್ಳುವುದು
પાણીની અછતને અનુકૂલન,ನೀರಿನ ಕೊರತೆಗೆ ಹೊಂದಿಕೊಳ್ಳುವುದು
અનુકૂલનશીલ લાક્ષણિકતાઓ,ಹೊಂದಾಣಿಕೆಯ ಗುಣಲಕ್ಷಣಗಳು
અનુકૂલનશીલ પ્રતિરક્ષા,ಹೊಂದಾಣಿಕೆಯ ವಿನಾಯಿತಿ
અનુકૂલનશીલ કિરણોત્સર્ગ,ಅಡಾಪ್ಟಿವ್ ವಿಕಿರಣ
અનુકૂલન લક્ષણ,ಹೊಂದಾಣಿಕೆಯ ಲಕ್ಷಣ
ઉપદેશક,ಅಡಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ
વ્યસનકારક વિકાર,ವ್ಯಸನಕಾರಿ ಕಾಯಿಲೆ
એક જાતની adાળ,ತಿಕ್ಕಲು
એડોનોકોર્ટિકોટ્રોપિન,ಒಂದು ತತ್ತ್ವ
એનોહિપોફિસીસ,ತತ್ತ್ವ
એડેનોસિન ડિફોસ્ફેટ,ತಿರಸ್ಕಾರ
એમેનોસિન,ಅಂಧ
એનોસિન મોનોફોસ્ફેટ,ಅಸಿನಿನ್ ಮೊನೊಫಾಸ್ಫೇಟ್
એડેનોસિન ટ્રાઇફોસ્ફેટ (એટીપી),ಅಡೆನೊಸಿನ್ ಟ್ರೈಫಾಸ್ಫೇಟ್ (ಎಟಿಪಿ)
સાયક્લેઝ,ತಿರಸ್ಕಾರ
ચપળ બળ,ಅಂಟಿಕೊಳ್ಳುವ ಶಕ್ತಿ
શણગારવું,ಅಡಿಪಡಿ
એડિપોસાઇટ (ચરબી કોષ),ಅಡಿಪೋಸೈಟ್ (ಕೊಬ್ಬಿನ ಕೋಶ)
ચરબી પેશી,ಅಡಿಪಾಯಿ ಅಂಗಾಂಶ
Nતરતું,ಮಡಿ
સંલગ્ન સમુદાય,ಪಕ್ಕದ ಸಮುದಾಯ
વ્યવહાસી,ಮೂತ್ರಜನಕಾಂಗ
એડ્રીનલ ગ્રંથિ,ಅಡ್ರಿನಲ್ ಗ್ರಂಥಿ
એડ્રેનોકોર્ટિકોટ્રોપિક હોર્મોન (એસીટીએચ),ಅಡ್ರಿನೊಕಾರ್ಟಿಕೊಟ್ರೊಪಿಕ್ ಹಾರ್ಮೋನ್ (ಎಸಿಟಿಎಚ್)
એડ્રેનોકોર્ટિકોટ્રોપિક રિલીઝિંગ હોર્મોન (એસીટીઆરએચ),ಅಡ್ರಿನೊಕಾರ್ಟಿಕೊಟ್ರೊಪಿಕ್ ಬಿಡುಗಡೆ ಹಾರ್ಮೋನ್ (ಎಸಿಟಿಆರ್ಹೆಚ್)
શોષક,ಹೊರಹೀರುವ
શોષક,ಹೊರಹೀರತೆ
અદ્યતન તાર,ಸುಧಾರಿತ ಸ್ವರಮೇಳ
ફાયદાકારક પરિવર્તન,ಅನುಕೂಲಕರ ರೂಪಾಂತರ
સાહસિક,ಸಾಹಸದ
અગમ્ય મૂળ,ಸಾಹಸಿ ಮೂಲ
પ્રતિકૂળ અસર,ದುಷ್ಪರಿಣಾಮ
એડીસ,ಈಡಿಸ್
સંસ્કૃતિનો વાયુ,ಸಂಸ್ಕೃತಿಯ ಗಾಳಿ
વિમાન,ವಾಮಪಂಥೀಯ
હવાઈ,ವೈಮಾನಿಕ
હવાઈ ​​મૂળ,ವೈಮಾನಿಕ ಮೂಲ
હવાઈ ​​ગોળી,ವೈಮಾನಿಕ ಚಿಗುರು
વાયુગામી શ્વસન,ಏರೋಬಿಕ್ ಉಸಿರಾಟ
વાયુગામી શ્વસન,ಏರೋಬಿಕ್ ಉಸಿರಾಟ
સૌંદર્ય શાસ્ત્ર,ಸೌಂದರ್ಯಶಾಸ್ತ್ರ
નિલાસ્ય,ಅಸ್ವಸ್ಥತೆ
નિલાસ્ય,ಅಸ್ವಸ್ಥತೆ
સંલગ્ન,ವಿಪರೀತ
લગાવ રંગ,ಅಫಿನಿಟಿ ಕ್ರೊಮ್ಯಾಟೋಗ್ರಫಿ
પીડિત અંગ,ಪೀಡಿತ ಅಂಗ
વનીકરણ,ಸಂಯಮ
અકસ્માત,ಗಗನಯ
પાટિયું,ಗಾಡಿ
અણીદાર,ಜನಗಮಣ
એલોઝ જેલ એલેટ્રોફોરેસિસ,ಅಗರೋಸ್ ಜೆಲ್ ಎಲೆಟ್ರೋಫೊರೆಸಿಸ್
પિલર જેલ,ಅಗರೋಸ್ ಪಾಲಿಮರ್ ಜೆಲ್
અવસ્થામાં,ಚೂರುಪಾರು
ખાડી,ಭೂತಾಳೆ
વય વહેંચણી,ವಯಸ್ಸಿನಲ್ಲಿ ವಿತರಣೆ
વય પિરામિડ,ವಯಸ್ಸು ಪಿರಮಿಡ್
Agલટ,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
સમૂહ,ಒಟ್ಟು
એકંદર,ಕೋಶಕ ಒಟ್ಟು
એકંદર,ಕೋಶಕ ಒಟ್ಟು
એકંદર,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
આક્રમકતા,ಆಕ್ರಮಣಶೀಲತೆ
આંદોલનકારી પદ્ધતિ,ಚಮತ್ಕಾರ
એકરાગ,ಅಜ್ಞಾತ
અણી,ಗಾಡಿ
અગ્રાણ ક્લોરોપ્લાસ્ટ,ಪಂಥದ
એકરારવાળું,ಕೃಪಣದ
એગ્રાન્યુલોસાઇટ,ಪಂಥಿ
કૃષિ,ಕೃಷಿ
કૃષિ -પ્રવેશ,ಕೃಚಾರಕ
મધ્યસ્થી,ಆಗ್ರೊಬ್ಯಾಕ್ಟೀರಿಯಂ ಮಧ್ಯಸ್ಥಿಕೆ
એગ્રોબેક્ટેરિયમ ટ્યુમેફેસિઅન્સ,ಅಗ್ರೋಬ್ಯಾಕ್ಟೀರಿಯಂ ಟ್ಯೂಮೆಫಾಸಿಯನ್ಸ್
કૃષિ -તકનીકી,ಕೃಷಿ ರಾಸಾಯನಿಕ
કૃષિ -તકનીકી,ಕೃಷಿ ರಾಸಾಯನಿಕ
કૃષિ -ક્ષેત્ર,ಕೃಷಿ ವಲಯ
કૃષિવિજ્ trાન,ಕೃಷಿ ಲಕ್ಷಣ
કૃષિવિજ્yાન,ಕೃಷಿ ವಿಜ್ಞಾನ
સહાય,ನೆರಳು
હવાઈ ​​મૂત્રાશય,ಗಾಳಿಗೊಡೆ
હવાઈ ​​કન્ડિશનર,ಹವಾ ನಿಯಂತ್ರಣ ಯಂತ್ರ
હવાઈ ​​માર્ગ,ಗಾಳಿಯ ಮಾರ್ಗ
હવા પ્રદૂષણ,ವಾಯು ಮಾಲಿನ್ಯ
હવાઈ ​​કોથળી,ಗಾಳಿಯ ಚೀಲ
હવાઈપૂટી,ವಿಮಾನ ನಿರ್ವಾತ
હવાઈ ​​શ્વાસ,ಗಾಳಿ ಮರೆಯುವ
અણીદાર,ತಲ್ಲಣ
અણીદાર સ્નાયુ,ಅಲರಿ ಸ್ನಾಯು
અલાસ્કા બ્રાઉન રીંછ,ಅಲಸ್ಕನ್ ಕಂದು ಕರಡಿ
કોયડો,ಒಂದು ಬಗೆಯ ಉಕ್ಕಿನ
કાંચક,ದಾಸ್ಯ
આલ્બ્યુબિન,ಉಣ್ಣೆಯಂಥ
શામક બીજ,ಉಬ್ಬು ಬೀಜದ ಬೀಜ
આલ્બમિન્યુરિયા,ಬಿಲ್ಲಿನ
આવરણ,ಪಾರಾಗಲಿ
અણી,ಹದಮುದಾಯಿ
શણગાર,ಆಲ್ಡಿಹ್ಯೀಡ್
મિથોસ્ટેરોન,ಆಲ್ಡೋಸ್ಟಾನ್ ವ್ಯವಸ್ಥ
અલડોસ્ટેરા,ಆಲ್ಡೋಸ್ಟಲಿಗೆ
Alલ્યુરોન સ્તર,ಅಲ್ಯೂರೋನ್ ಪದರ
એક જાતનો અવાજ,ಕಣ್ಣುಹಾಯ
એક જાતની કળા,ಉಚ್ಚಾರಣಾ
એલ્ગલ મોર,ಪಾಚಿಯ ಹೂವು
જાસૂસ,ಪಾರಿಗೊಣ
પરાયું ડીએનએ,ಅನ್ಯಲೋಕದ ಡಿಎನ್‌ಎ
પરિયન જાતિઓ,ಅನ್ಯ
ગોઠવણી,ಜೋಡಣೆ
ગોઠવણી,ಜೋಡಣೆ
ઉદાર નહેર,ಅಲಿಮೆಂಟಿನ ಕಾಲುವೆ
અંતરીલ પદ્ધતિ,ಅಲಿಮೆಂಟರಿ ವ್ಯವಸ್ಥೆಯ
અણી,ಮಿತ್ರತತ್ವ
ક્ષુદ્ર,ಕ್ಷಾರೀಯ
ક્ષુદ્ર,ಕ್ಷಾರೀಯ
આલ્કીપ્ટોન્યુરિયા,ಕ್ಷಾರೀಯ
અણી,ನಾರು
એલીલ આવર્તન,ಆಲೀಲ್ ಆವರ್ತನ
એલીલ,ಇಳಿಜಾರು
એલેલોમોર્ફિક જોડી,ಅಲಿಮಾರ್ಫಿಕ್ ಜೋಡಿ
એલર્જન,ಅಲರ್ಜಾಟ
મગર,ಅಲಿಗ್ನ
એલીયમ સી.પી.ઇ.પી.એ.,ಆಲಿಯಂ ಸೆಪಾ
સહ -સંબંધ,ಅಲೋಗಮಿ
અલગ,ಅರಿಯುವವಳು
એલોપેટ્રિક સ્પષ્ટીકરણ,ಅಲೋಪ್ಯಾಟ್ರಿಕ್ ಸ್ಪೆಸಿಪೇಶನ್
ફિલોપ્લોઇડ,ಸೂತ್ರ
એલોસ્ટીક અસર,ಅಲೀರಿಕ್ ಪರಿಣಾಮ
એલોસ્ટીક ઉત્સુક,ಅಲೋಸ್ಟರಿಕ್ ಕಿಣ್ವ
એલોસ્ટીક અવરોધક,ಅಲಿಸ್ಟರಿಕ್ ಪ್ರತಿರೋಧಕ
ખેલ -મોડ્યુલેશન,ಅಲೋಸ್ಟೆರಿಕ್ ಮಾಡ್ಯುಲೇಷನ್
એલોસ્ટીક સ્થળ,ಅಲೋಸ್ಟರಿಕ್ ಸೈಟ್
એલોસ્ટીક અવરોધ,ಅಲಿಸ್ಟರಿಕ್ ಪ್ರತಿಬಂಧಕ
એલોટેટ્રાપ્લોઇડ,ತಟೆಾತ್ರಾ
કૃતિ,ದಾಸ್ಯ
કુંવાર,ಅಡೆ
ચેતાક્ષની સાથે,ಆಕ್ಸಾನ್ ಉದ್ದಕ್ಕೂ
આલ્ફા-એન્ટાઇટ્રિપ્સિન,ಆಲ್ಫಾ-ಆಂಟಿಟ್ರಿಪ್ಸಿನ್
અણી,ಆಲ್ಫಾ-ಲಾಕ್ಟಾಲ್ ಬ್ಯೂನ್
આધ્યાત્મિક આબોહવાની સ્થિતિ,ಆಲ್ಪೈನ್ ಹವಾಮಾನ ಸ್ಥಿತಿ
ઘાસચારો,ಆಲ್ಪೈನ್ ಹುಲ್ಲುಗಾವಲು
આલ્પાઈન ઝોન,ಆಲ್ಪೈನ್ ವಲಯ
અલ્ટોનીયા,ಆಲ್ಸ್ಟೋನಿಯಾ
અનાદર,ಪರ್ಯೇಡು
વૈભવી,ಪರ್ಯಾಯ
એકાંત,ಪೀಳಿಗೆಯ ಪರ್ಯಾಯ
Altણ માંદગી,ಎತ್ತರ ಕಾಯಿಲೆ
Altંચાઈ,ಎತ್ತರ
મૂર્ત નળી,ಅಲ್ವಿಯೋಲಾರ್ ನಾಳ
પહાડી,ಮಣ್ಣು
અલ્ઝાઇમર રોગ,ಆಲ್ z ೈಮರ್ ಕಾಯಿಲೆ
આદિક કોષ,ಅಮಾಮಿನ ಕೋಶ
અમરાન્થેસી,ಹುಳ
અમરાન્થસ,ಹುಳಿ
આસપાસના ઓસ્મોટિક એકાગ્રતા,ಸುತ್ತುವರಿದ ಆಸ್ಮೋಟಿಕ್ ಸಾಂದ್ರತೆ
મંગળિયા,ಅಂಬಿಸ್ಟೋಮ
કાર્યરત થવું,ಅಸ್ಫುಲ್
એમિનો એસિડ,ಅಮೈನೊ ಆಸಿಡ್
એમિનો એસિડ સ્વીકારનાર,ಅಮೈನೊ ಆಸಿಡ್ ಸ್ವೀಕಾರಕ
એમિનોસિલ ટી આર.એન.એ.,ಅಮೈನಾಕ್ಲ್ ಟಿ ಆರ್ಎನ್ಎ ಸಿಂಥೆಟೇಸ್
જાદુગરી,ಅಮೈನೊಅಸಿಲೇಷನ್
ક્ષુત્વ,ಅಮೀಟಾಸಿ
તરંગ,ಅಮೋನಿಯ
ચંદ્ર,ಅಮೋನೀಕರಣ
દ્વેષીકરણ,ಅಮ್ಮನೋಟೆಲಿಸಂ
મૈવસેન્ટિસીસ,ಜ್ಯೂನಿಯೊಸೆಂಟಿಸ್
મણકાલોની તકનીક,ಆಮದೋಸೆಂಟೆಸಿಸ್ ತಂತ್ರ
Amnoocyte,ಅಮ್ನಿಯೈಟ್
મૈથુન,ಮಂಕಾದ
મણિ -પ્રવાહી,ಆಮ್ನಿಯೋಟಿಕ್ ದ್ರವ
મખરોધ,ಜಾಮ್ನಿಯೆಟಿಕ್ ಮೆಂಬರೇನ್
મખસુડ,ಜಾಮಿಕಾಟದ ಚೀಲ
અમીર,ಅಮೀಬ
એમોએબોસાઇટ,ಅಮೀಬೋಸೈಟ್
અમીર,ಅಮೀಬಯುಡಿ
એમોએબોઇડ લિમ્ફોસાઇટ,ಅಮೀಬಯಿಡ್ ಲಿಂಫೋಸೈಟ್
એમીબોઇડ આંદોલન,ಅಮೀಬಯಿಡ್ ಚಲನೆ
આકારહીન,ಅರೂಪದ
રકમ,ಮೊತ್ತ
મેફેટેમાઇન,ಆಭರಣ
ઉન્માદ,ಉಭಯಚರ
ઉન્માદ,ಉಭಯಚರ
ઉન્માદ,ಉಭಯಚರ
Amન,ಉಲ್ಬಣ
Amણપત્ર,ಆಂಫಿಯೋಕ್ಸಸ್ ಲ್ಯಾನ್ಸೊಲಾಟಸ್
ઉભય,ಉಭಯಪಕ್ಷೀಯ
ઉભયપથિક લિપિડ,ಉಭಯಚರ ಲಿಪಿಡ್
Amતરતી કળા,ಉಚ್ಚಾರೆ
જાદુઈ,ಲೋಕದ
Amાંકી,ಹಲ್ಲು
Amકલી ગ્રંથિ,ಶಿರೋಕ್ತಿ ಗ್ರಂಥಿ
મસ્તક,ಅಮಿಗ್ಡಾಲ್
એમીગડેલ,ಬಾಚು
એમીગડાલિન,ಅಮಿಗ್ಲಿನ್
સ્ફોટક,ಮಂಕಾದ
મેલીલોપ્લાસ્ટ,ಅಮಿಲೋಪ್ಲಾಸ್ಟ್
અનોડો,ಅ ೦ ಗಡಿ
અનોડો,ಹಳ್ಳ
એનાબોલિક માર્ગ,ಅನಾಬಲಿನ ​​ಮಾರ್ಗಗಳು
અનોખા,ಅನಾಬಾಲಿಸಂ
અનોખા,ಅನಾಕಾರ್ಡಿಯಾಸಿ
રખડુ,ರಕ್ತಹೀನತೆ
એનોરોબ,ಬಯೆರೋಲೆ
એંટરોબિક બળતણ,ಆಮ್ಲಜನವ್ಯಕ್ತಿ
એંકોરોબિક શ્વસન,ಆಮ್ಲಜನವ್ಯಕ್ತಿ
એનારોબિક કાદવ પાચક,ಆಮ್ಲಜನಕರಹಿತ ಕೆಸರು ಡೈಜೆಸ್ಟರ್
એંટરો,ಆಮ್ಲಜನವ್ಯಕ್ತಿ
અનોદ,ಅನೈಮ
ગુદા,ಗುದ
ગુદા,ಗುದ
ગુદા છિદ્ર,ಗುದ ದ್ಯುತಿರಂಧ್ರ
ગુદા સર્કી,ಗುದ
ગુદા લૂપ,ಗುದ ಲೂಪು
ગુદા શૈલી,ಗುದ ಶೈಲಿ
સમાન,ಹೋಲುವ
સમાન,ಹೋಲುವ
સાદ્રશ્ય,ಸಾದೃಶ್ಯ
સાદ્રશ્ય,ಸಾದೃಶ್ಯ
વિશ્લેષણ,ವಿಶ್ಲೇಷಣೆ
એફેઝ,ಅನಾಫೇಸ್
એનાટોમિક અવરોધ,ಅಂಗರಚನಾ ತಡೆಗೋಡೆ
શરીરરચનાવિષયક પાસા,ಅಂಗರಚನಾ ಅಂಶ
શરીરરચનાવિજ્istાની,ಅಂಗರಚನಾ ತಜ್ಞ
શરીરરચના,ಅಂಗರಚನಾಶಾಸ್ತ್ರ
પૂર્વજ વંશજ અનુક્રમ,ಪೂರ್ವಜರ ವಂಶಸ್ಥ ಅನುಕ್ರಮ
પૂર્વજોનો વંશ,ಪೂರ್ವಜರ ವಂಶ
પૂર્વજો,ಪೂರ್ವಜರ ಅನುಕ್ರಮ
આદ,ಚಾಚು
જનનુભારી,ಆಂಡ್ರೊಸಿಯಮ್
થાંભલા,Andrಷಧ
રખડુ,ರಕ್ತಹೀನತೆ
ક anંગું,ವೇಶ್ಯೆ
Anડતું,ಅನೆಲಾಯ್ಡ್
Anન,ಅನೆಪ್ಲು
કંઠમાળ,ಗಂಜಿ
ઝેરગ્રામ,ಆಂಗಿಯ ವರ್ಗ
ઝ પણરો,ಆತಿ
ઝળહળાકાર,ಆಂಜಿಯಾರಿ ಶಾಸ್ತ್ರ
રંગની કળા,ಆಂಜಿಯೋಪ್ಲಾಸ್ಟಿ
કણક,ಆಂಗಿಯೋಸ್ಪೆರ್ಮು
રંગગતિ,ಆಂಜಿಯೋಟೆನ್ಸಿನ್
રંગગતિ,ಆಂಜಿಯೋಟೆನ್ಸಿನ್ ವಂಶದ
કોઠાર માછલી,ಗಾಳಹಾಕಿ ಮೀನು
ઓગળવી,ಗದ್ದೆ
અંગૂઠા,ಕುಡಿನೂದಿ
પશુ,ಪ್ರಾಣಿ
પશુ,ಪ್ರಾಣಿ
પ્રાણીનું છાણ,ಪ್ರಾಣಿ ಸಗಣಿ
પશુપાલન,ಪಶುಸಂಗೋಪನೆ
પશુ કેરીયોટાઇપિંગ,ಪ್ರಾಣಿ ಕ್ಯಾರಿಯೋಟೈಪಿಂಗ್
પ્રાણીસૃષ્ટિ,ಪ್ರಾಣಿ ಸಾಮ್ರಾಜ್ಯ
પશુ પેશી,ಪ್ರಾಣಿಗಳ ಅಂಗಾಂಶ
પોલાણ,ಪ್ರಾಣಿ
ઠગ,ಅಯಾನು
એશિશ,ಅನಿಸೊಟ್ರಾಪಿಕ್ ಬ್ಯಾಂಡ್
Ingંચે ચપટી,ಮುಟ್ಟಿದ
નેલિડ,ಗಡಿಯಾರ
Annણપુટી,ಅನುಗ್ರಹದ
વાર્ષિક,ವಾರ್ಷಿಕ ಉಂಗುರ
ઉશ્કેરાયેલું,ಉರಿಯೂತ
વાંકું,ಅನ್ನ್ಯೂಲ್
વિસંગત પ્રકાર,ಅಸಂಗತ ಪ್ರಕಾರ
પર્વતમાળા,ಅನಾಫಿಲಿಸ್
કીડી,ಇರುವೆ ಭಕ್ಷಕ
વિરોધી,ವಿರೋಧದ
એન્ટાર્કટિક,ಪೃಷ್ಠದ
એન્ટેના,ಆನಂತಾ
એન્ટેના સંકુલ,ಆಂಟೆನಾ ಸಂಕೀರ್ಣ
દ્વેષી ગ્રંથિ,ಆಂಟೆನಾಲ್ ಗ್ರಂಥಿ
અગ્રવર્તી (વેન્ટ્રલ) ગ્રે હોર્ન,ಮುಂಭಾಗದ (ಕುಹರದ) ಬೂದು ಕೊಂಬು
અગ્રવર્તી હાયપોફિસીસ,ಮುಂಭಾಗದ ಹೈಪೋಫಿಸಿಸ್
અગ્રવર્તી ઇન્ટરન્ટિક્યુલર સલ્કસ,ಮುಂಭಾಗದ ಮಧ್ಯಸ್ಥಿಕೆಯ ಸಲ್ಕಸ್
ગૂંથ મારવો,ಪರಾಗ
એન્થર સંસ્કૃતિ,ಪರಂಪರೆ ಸಂಸ್ಕೃತಿ
માદક દ્રવ્યો,ಸ ೦ ಗಂಥಿಯ
એન્થેરોઝોઇડ,ಪರಾಗಿದರದ
એન્થોસેરોસ,ಆಂಥೆಸೆರೋಸ್
એન્થોસેરોટોપ્સિડા,ಆಂಥೋಸೆರೋಟಾಪ್ಸಿಡಾ
એક જાતની નશરીય,ಆಂಥ್ರಾಕ್ಸ್
માનવશાસ્ત્ર,ಮಾನವಜನ್ಯದ ಅಳಿವಿನಂಚಿನಲ್ಲಿರುವ
માનવશાસ્ત્ર,ಮಾನವಶಾಸ್ತ್ರ
એન્ટિબેક્ટેરનું,ಅನುಭವಿನಲ್ಲಿರುವ
એન્ટિબાયોટિક પેનિસિલિન,ಪ್ರತಿಜೀವಕ ಪೆನ್ಸಿಲಿನ್
એન્ટિબાયોટિક પ્રતિરોધક,ಪ್ರತಿಜೀವಕ ನಿರೋಧಕ
એન્ટિબાયોટિક (ઓ),ಪ್ರತಿಜೀವಕ (ಗಳು)
એન્ટિબોડી,ಪ್ರತಿಕಾಯ
એન્ટિબોડી દંપતી,ಪ್ರತಿಕಾಯ ದಂಪತಿಗಳು
એન્ટિબોડી મધ્યસ્થી,ಪ್ರತಿಕಾಯ ಮಧ್ಯಸ್ಥ ರೋಗನಿರೋಧಕ ಶಕ್ತಿ
એન્ટીકોએગ્યુલેંટ,ಪ್ರತಿಮೆಯಂಥ
એન્ટિકોડન લૂપ,ಆಕ್ಟೊಡಾನ್ ಲೂಪ್
એન્ટીડિપ્રેસ,ಖಿನ್ನತೆ -ತತ್ವ
એન્ટિડ્યુરેટિક હોર્મોન (એડીએચ),ಆಂಟಿಡಿಯುರೆಟಿಕ್ ಹಾರ್ಮೋನ್ (ಎಡಿಎಚ್)
જનીન,ಪ್ರತಿಜನಕ ಜೀನ್
એન્ટિજેન-એન્ટિબોડી સંકુલ,ಪ್ರತಿಜನಕ
