Telugu,Punjabi
సముపార్జన,ਬਰੀ
చట్టం,ਐਕਟ
నటన భత్యం,ਅਦਾਕਾਰੀ ਭੱਤਾ
చర్య,ਕਾਰਵਾਈ
కార్య ప్రణాళిక,ਕਾਰਵਾਈ ਜੁਗਤ
క్రియాశీల,ਕਿਰਿਆਸ਼ੀਲ
చురుకుగా,ਸਰਗਰਮੀ ਨਾਲ
కార్యకర్త,ਕਾਰਜਕਰਤਾ
దైవఘటన,ਰੱਬ ਦਾ ਕੰਮ
దుష్ప్రవర్తన చర్య,ਦੁਰਵਿਵਹਾਰ ਦਾ ਕੰਮ
కమీషన్ మరియు కమీషన్,ਕਮਿਸ਼ਨ ਅਤੇ ਗਲਤੀ ਦਾ ਕੰਮ
అసలు,ਅਸਲ
వాస్తవాలు,ਅਸਲ
అనుసరణ,ਅਨੁਕੂਲਤਾ
అదనంగా,ਜੋੜ
అదనపు ఛార్జ్,ਅਤਿਰਿਕਤ ਚਾਰਜ
అదనపు ఫండ్,ਵਾਧੂ ਫੰਡ
అదనపు గ్రాంట్,ਅਤਿਰਿਕਤ ਗ੍ਰਾਂਟ
అదనపు సమాచారం,ਵਧੀਕ ਜਾਣਕਾਰੀ
అదనపు వేతనం,ਵਾਧੂ ਤਨਖਾਹ
అదనంగా మరియు మార్పు,ਜੋੜ ਅਤੇ ਤਬਦੀਲੀ
చిరునామా,ਪਤਾ
చిరునామా,ਐਡਰੈਸਸ
స్వాగత చిరునామా,ਸਵਾਗਤ ਦਾ ਪਤਾ
తగినంత,ਕਾਫ਼ੀ
కట్టుబడి,ਦਾ ਪਾਲਣ ਕਰੋ
తాత్కాలిక హాక్,ਐਡ ਹੋਕ
తాత్కాలిక దావా,ਐਡਹਕ ਕਲੇਮ
తాత్కాలిక కమిటీ,ਐਡਹੌਕ ਕਮੇਟੀ
తాత్కాలిక పెరుగుదల,ਐਡਹੌਕ ਵਾਧਾ
తాత్కాలిక చెల్లింపు,ਐਡਹੌਕ ਭੁਗਤਾਨ
ప్రక్కనే,ਨਾਲ ਲੱਗਦੀ
ప్రక్కనే (= పరస్పర),ਨਾਲ ਲੱਗਦੀ (= ਸੰਜੋਗ)
వాయిదా,ਮੁਲਤਵੀ
వాయిదా చలన,ਮੁਲਤਵੀ ਮੋਸ਼ਨ
అనుబంధం,ਇਜਾਜ਼ਤ
తీర్పు,ਨਿਰਣਾਇਕ
తీర్పు,ਨਿਰਣਾ
న్యాయాధికారి,ਨਿਰਣਾਇਕ
సర్దుబాటు,ਵਿਵਸਥਾ
నిర్వహించండి,ਪ੍ਰਬੰਧਿਤ
ప్రమాణం చేయండి,ਸਹੁੰ ਪ੍ਰਬੰਧ
పరిపాలన,ਪ੍ਰਸ਼ਾਸਨ
న్యాయం యొక్క పరిపాలన,ਜਸਟਿਸ ਦਾ ਪ੍ਰਬੰਧਨ
పరిపాలనా,ਪ੍ਰਬੰਧਕੀ
పరిపాలనా చర్య,ਪ੍ਰਬੰਧਕੀ ਕਾਰਵਾਈ
అడ్మినిస్ట్రేటివ్ అప్రైసల్,ਪ੍ਰਬੰਧਕੀ ਮੁੱਲ
పరిపాలనా ఆమోదం,ਪ੍ਰਬੰਧਕੀ ਪ੍ਰਵਾਨਗੀ
పరిపాలనా అధికారం,ਪ੍ਰਬੰਧਕੀ ਅਥਾਰਟੀ
పరిపాలనా నియంత్రణ,ਪ੍ਰਬੰਧਕੀ ਨਿਯੰਤਰਣ
పరిపాలనా నిర్ణయం,ਪ੍ਰਬੰਧਕੀ ਫੈਸਲਾ
పరిపాలనా విభాగం,ਪ੍ਰਬੰਧਕੀ ਵਿਭਾਗ
అడ్మినిస్ట్రేటివ్ హెడ్,ਪ੍ਰਬੰਧਕੀ ਸਿਰ
పరిపాలనా ప్రధాన కార్యాలయం,ਪ੍ਰਬੰਧਕੀ ਹੈੱਡਕੁਆਰਟਰ
పరిపాలనా చర్యలు,ਪ੍ਰਬੰਧਕੀ ਉਪਾਅ
పరిపాలనా శక్తి,ਪ੍ਰਬੰਧਕੀ ਪਾਵਰ
పరిపాలనా అనుమతి,ਪ੍ਰਬੰਧਕੀ ਮਨਜੂਰੀ
పరిపాలనా సాంకేతికత,ਪ੍ਰਬੰਧਕੀ ਤਕਨੀਕ
అడ్మినిస్ట్రేటివ్ ట్రిబ్యునల్,ਪ੍ਰਬੰਧਕੀ ਟ੍ਰਿਬਿ al ਨਲ
ప్రవేశం,ਮੰਨਣਯੋਗਤਾ
ఆమోదయోగ్యమైన వ్యయం,ਮੰਨਣਯੋਗ ਖਰਚ
అంగీకరించండి,ਮੰਨ ਲਓ
అడ్మిట్ కార్డ్,ਐਡਮਿਟ ਕਾਰਡ
అంగీకరించారు,ਦਾਖਲ
సలహా,ਅਸ਼ੁੱਧ
దత్తత తీసుకున్న వ్యక్తి,ਗੋਦ
దత్తత,ਗੋਣਾਟਰ
దత్తత,ਗੋਦ ਲੈਣਾ
వయోజన,ਬਾਲਗ
కల్తీ,ਵਿਭਚਾਰ
వ్యభిచారం,ਵਿਭਚਾਰ
వయోజన ఫ్రాంచైజ్,ਬਾਲਗ ਫਰੈਂਚਾਇਜ਼ੀ
ప్రకటన విలువ,ਐਡ ਵੈਲੋਰਮ ਡਿ duty ਟੀ
అడ్వాన్స్,ਪੇਸ਼ਗੀ
అడ్వాన్స్ బుకింగ్,ਐਡਵਾਂਸ ਬੁਕਿੰਗ
ముందస్తు కాపీ,ਐਡਵਾਂਸ ਕਾਪੀ
ముందస్తు పెరుగుదల,ਪੇਸ਼ਗੀ ਵਾਧਾ
ముందస్తు చెల్లింపు,ਪੇਸ਼ਗੀ ਭੁਗਤਾਨ ਦੀ
ప్రతికూల ప్రవేశం,ਗਲਤ ਪ੍ਰਵੇਸ਼
ప్రతికూల వ్యాఖ్యలు,ਗਲਤ ਟਿੱਪਣੀ
ప్రతికూల నివేదిక,ਗਲਤ ਰਿਪੋਰਟ
ప్రకటన,ਇਸ਼ਤਿਹਾਰ
సలహా,ਸਲਾਹ
చెల్లింపు సలహా,ਭੁਗਤਾਨ ਦੀ ਸਲਾਹ
సలహా సమితి,ਸਲਾਹਕਾਰ ਕਮੇਟੀ
సలహా మండలి,ਸਲਾਹਕਾਰ ਪਰਿਸ਼ਦ
న్యాయవాది,ਐਡਵੋਕੇਟ
వ్యవహారాలు,ਮਾਮਲੇ
అఫిడవిట్,ਹਲਫੀਆ ਬਿਆਨ
అనుబంధం,ਮਾਨਤਾ
ధృవీకరణ,ਪੁਸ਼ਟੀਕਰਣ
ధృవీకరించేది,ਸਕਾਰਾਤਮਕ
స్థోమత,ਬਰਦਾਸ਼ਤ
పైన పేర్కొన్నది,ਉਪਰੋਕਤ
అఫ్రెష్,ਅਫਰੇਸ਼
వ్యతిరేకంగా,ਦੇ ਵਿਰੁੱਧ
వయస్సు,ਉਮਰ
వయస్సు ధృవీకరణ పత్రం,ਉਮਰ ਦਾ ਸਰਟੀਫਿਕੇਟ
ఓటు హక్కు కోసం వయస్సు,ਦੁਖੀ ਲਈ ਉਮਰ
వయో పరిమితి,ਉਮਰ ਸੀਮਾ
ఏజెన్సీ,ਏਜੰਸੀ
ఎజెండా,ਏਜੰਡਾ
పదవీ విరమణ వయస్సు,ਰਿਟਾਇਰਮੈਂਟ ਦੀ ਉਮਰ
పర్యవేక్షణ వయస్సు,ਪੂਰਕ ਦੀ ਉਮਰ
సమూహనం,ਇਕੱਤਰਤਾ
బాధపడ్డాడు,ਦੁਖਦਾਈ
ఆందోళన,ਅੰਦੋਲਨ
AGM,ਏਜੀਐਮ
ఒప్పందం,ਸਮਝੌਤਾ
ఒప్పంద ఫారం,ਸਮਝੌਤਾ ਫਾਰਮ
వ్యవసాయం,ਖੇਤੀ ਬਾੜੀ
అగ్రో-ఇండస్ట్రీ,ਖੇਤੀ-ਉਦਯੋਗ
సహాయం,ਸਹਾਇਤਾ
అలారం,ਅਲਾਰਮ
అప్రమత్తత,ਚੇਤਾਵਨੀ
అలియాస్,ਉਪਨਾਮ
ఆరోపణ,ਇਲਜ਼ਾਮ
విధేయత,ਵਫ਼ਾਦਾਰੀ
కూటమి,ਗਠਜੋੜ
అనుబంధ సేవలు,ਸਹਿਯੋਗੀ ਸੇਵਾਵਾਂ
అన్ని కలుపుకొని ఖర్చు,ਸਾਰੇ ਸੰਮਲਿਤ ਲਾਗਤ
ఆల్ ఇండియా సర్వీసెస్,ਸਾਰੇ ਭਾਰਤ ਸੇਵਾਵਾਂ
కేటాయింపు,ਅਲਾਟਮੈਂਟ
కేటాయింపు,ਅਲਾਟਮੈਂਟ
కేటాయింపు లేఖ,ਅਲਾਟਮੈਂਟ ਪੱਤਰ
కేటాయింపు,ਅਲਾਟੀਟੀ
అనుమతించదగినది,ਮਨਜ਼ੂਰ
అనుమతించదగిన ఖర్చులు,ਮਨਜ਼ੂਰ ਖਰਚੇ
అప్పీల్‌ను అనుమతించండి,ਇੱਕ ਅਪੀਲ ਦੀ ਆਗਿਆ ਦਿਓ
భత్యం,ਭੱਤਾ
అన్ని హక్కులూ ప్రత్యేకించుకోవడమైనది,ਸਾਰੇ ਹੱਕ ਰਾਖਵੇਂ ਹਨ
అక్షర క్రమం,ਵਰਣਮਾਲਾ ਕ੍ਰਮ
వాగ్వాదం,ਗਰੈਟਰਕੇਸ਼ਨ
ప్రత్యామ్నాయ,ਵਿਕਲਪਿਕ
ప్రత్యామ్నాయం,ਵਿਕਲਪਿਕ
సమ్మేళనం,ਏਕੀਕਰਨ
సవరించిన చిత్తుప్రతి,ਸੋਧਿਆ ਖਰੜਾ
సవరణ,ਸੋਧ
సౌకర్యం,ਸਹੂਲਤ
స్నేహపూర్వక,ਅਮਲ
మందుగుండు సామగ్రి,ਬਾਰੂਦ
రుణ రుణమాఫీ,ਕਰਜ਼ੇ ਦਾ ਅਮੋਰਾਈਜ਼ੇਸ਼ਨ
మొత్తం,ਦੀ ਰਕਮ
పెన్షన్ మొత్తం,ਪੈਨਸ਼ਨ ਦੀ ਮਾਤਰਾ
సారూప్య పోస్ట్,ਸਮਾਨ ਪੋਸਟ
విశ్లేషణ,ਵਿਸ਼ਲੇਸ਼ਣ
విశ్లేషణాత్మక అధ్యయనం,ਵਿਸ਼ਲੇਸ਼ਣ ਅਧਿਐਨ
పూర్వీకుడు,ਪੂਰਵਜ
సహాయక పరిశ్రమ,ਸਹਾਇਕ ਉਦਯੋਗ
శత్రుత్వం,ਵੈਰ
అనుబంధం,ਅਨੁਲੱਗ
వార్షికోత్సవం,ਵਰ੍ਹੇਗੰ
ప్రకటన,ਘੋਸ਼ਣਾ
కోపం,ਨਾਰਾਜ਼ਗੀ
వార్షిక ఆర్థిక ప్రకటన,ਸਾਲਾਨਾ ਵਿੱਤੀ ਬਿਆਨ
వార్షిక నివేదిక,ਸਾਲਾਨਾ ਰਿਪੋਰਟ
యాన్యుటీ,ਐਨੂਅਟੀ
అనామక,ਅਗਿਆਤ
అనామక ఫిర్యాదు,ਅਗਿਆਤ ਸ਼ਿਕਾਇਤ
జవాబుదారీతనం,ਜਵਾਬ
జవాబు పత్రం,ਜਵਾਬ ਸ਼ੀਟ
విరోధి,ਵਿਰੋਧੀ
పూర్వజన్మలు,ਅਨੌਖੇ
Bean హించిన ఖర్చు,ਅਨੁਮਾਨਤ ਖਰਚੇ
Ntic హించిన ఆదాయం,ਅਨੁਮਾਨਤ ਆਮਦਨੀ
Ntic హించడం,ਉਮੀਦ
ముందస్తు బెయిల్,ਅਗਾ .ਂ ਜ਼ਮਾਨਤ
అవినీతి నిరోధక కొలత,ਭ੍ਰਿਸ਼ਟਾਚਾਰ ਵਿਰੋਧੀ ਉਪਾਅ
యాంటీ డంపింగ్,ਐਂਟੀ-ਡੰਪਿੰਗ
పురాతన,ਪੁਰਾਣੀ
వర్ణవివక్ష,ਨਸਲਵਾਦ
ఉదాసీనత,ਉਦਾਸੀ
అపెక్స్ బాడీ,ਸੁਪਰੀਮ ਬਾਡੀ
క్షమాపణ,ਮੁਆਫੀ
అప్పీల్,ਅਪੀਲ
స్వరూపం,ਦਿੱਖ
సంతృప్తి,ਭੁੱਖ
అప్పీలేట్ ట్రిబ్యునల్,ਅਪੀਲ ਟ੍ਰਿਬਿ al ਨਲ
అపెండిక్స్,ਅੰਤਿਕਾ
ఉపకరణం,ਉਪਕਰਣ
వర్తిస్తుంది,ਲਾਗੂ
దరఖాస్తుదారు,ਬਿਨੈਕਾਰ
అప్లికేషన్,ਐਪਲੀਕੇਸ਼ਨ
దరఖాస్తు ఫారం,ਅਰਜ਼ੀ ਫਾਰਮ
అనువర్తిత,ਲਾਗੂ ਕੀਤਾ
వర్తించండి,ਲਾਗੂ ਕਰੋ
నియామకం,ਨਿਯੁਕਤ
నియమించే అధికారాన్ని,ਨਿਯੁਕਤ ਕਰਨ ਦਾ ਅਧਿਕਾਰ
నియామకం,ਨਿਯੁਕਤੀ
నియామక పత్రం,ਮੁਲਾਕਾਤ ਪੱਤਰ
నియామకాల కమిటీ క్యాబినెట్,ਮੰਤਰੀ ਮੰਡਲ ਦੀ ਨਿਯੁਕਤੀਆਂ ਕਮੇਟੀ
వేతనాల విభజన,ਤਨਖਾਹ ਦੀ ਵੰਡ
అంచనా,ਮੁਲਾਂਕਣ
మదింపుదారు,ਮੁਲਾਂਕਣ
ప్రశంసతో,ਕਦਰ
దిగులు,ਖਦਸ਼ਾ
అప్రెంటిస్,ਅਪ੍ਰੈਂਟਿਸ
విధానం,ਪਹੁੰਚ
తగినది,ਉਚਿਤ
తగిన చర్య,ਉਚਿਤ ਕਾਰਵਾਈ
తగిన తల,ਉਚਿਤ ਸਿਰ
కేటాయింపు,ਨਿਰਧਾਰਤ
ఆమోదం,ਮਨਜ਼ੂਰੀ
సుమారు,ਲਗਭਗ
ఆప్టిట్యూడ్ పరీక్ష,ਯੋਗਤਾ ਟੈਸਟ
ఏకపక్ష,ਮਨਮਾਨੀ
మధ్యవర్తిత్వం,ਆਰਬਿਟਰੇਟ
మధ్యవర్తిత్వ,ਆਰਬਿਟਰੇਸ਼ਨ
మధ్యవర్తిత్వ ట్రిబ్యునల్,ਆਰਬਿਟਰੇਸ਼ਨ ਟ੍ਰਿਬਿ al ਨਲ
మధ్యవర్తి,ਆਰਬਿਟਰੇਟਰ
వాస్తుశిల్పం,ਆਰਕੀਟੈਕਚਰ
ఆర్కైవ్స్,ਪੁਰਾਲੇਖ
ప్రాంతం,ਖੇਤਰ
ఏరియా ప్రధాన కార్యాలయం,ਖੇਤਰ ਹੈੱਡਕੁਆਰਟਰ
వాదన,ਦਲੀਲ
తలెత్తండి,ਪੈਦਾ
సాయుధ దళాలు,ਸੁਰਖਿਆ ਬਲ
అమరిక,ਪ੍ਰਬੰਧ
బకాయి,ਬਰੀਅਰ
రాక ప్రకటన,ਅਰੇਅਰ ਬਿਆਨ
రాక నివేదిక,ਆਗਮਨ ਰਿਪੋਰਟ
అహంకారం,ਹੰਕਾਰ
ఆర్సెనల్,ਅਰਸੇਨਲ
వ్యాసం,ਲੇਖ
అసోసియేషన్ వ్యాసాలు,ਐਸੋਸੀਏਸ਼ਨ ਦੇ ਲੇਖ
వ్యాసాలు,ਲੇਖ
ఆరోహణ క్రమం,ਚੜ੍ਹਦੇ ਕ੍ਰਮ
నిర్ధారించడం,ਪਤਾ ਲਗਾਓ
ఎక్కడ ఉందో,ਜਿਵੇਂ ਕਿ ਕਿੱਥੇ ਹੈ
కారక,ਪਹਿਲੂ
ఆస్పర్షన్,ਦਾਖਲਾ
హత్య,ਕਤਲ
దాడి,ਹਮਲਾ
సమీకరించటం,ਇਕੱਠਾ ਕਰਨ ਯੋਗ
అసెంబ్లీ,ਅਸੈਂਬਲੀ
అస్సెంట్,ਸਹਿਮਤੀ
నొక్కి చెప్పండి,ਦਾਅਵਾ ਕਰੋ
మదింపుదారుడు,ਮੁਲਾਂਕਣ
అంచనా,ਮੁਲਾਂਕਣ
అసెస్‌మెంట్ ఇయర్,ਮੁਲਾਂਕਣ ਸਾਲ
మదింపుదారు,ਮੁਲਾਂਕਣ ਕਰਨ ਵਾਲਾ
ఆస్తులు,ਸੰਪਤੀ
కేటాయించిన,Assigneee
అసైన్‌మెంట్,ਅਸਾਈਨਮੈਂਟ
అసైనర్,ਅਸਾਈਨਟਰ
సహాయం,ਸਹਾਇਤਾ
అసోసియేట్,ਸਹਿਯੋਗੀ
అసోసియేషన్,ਐਸੋਸੀਏਸ਼ਨ
ఛార్జ్ యొక్క umption హ,ਚਾਰਜ ਦੀ ਧਾਰਨਾ
హామీ,ਭਰੋਸਾ
అస్యూరెన్స్ కంపెనీ,ਅਸ਼ੋਰੈਂਸ ਕੰਪਨੀ
భరోసా,ਭਰੋਸਾ
డిస్కౌంట్ వద్ద,ਛੂਟ 'ਤੇ
అణు శక్తి,ਪਰਮਾਣੂ ਸ਼ਕਤੀ
పార్ వద్ద,ਬਰਾਬਰ ਵਿਚ
ప్రీమియం వద్ద,ਪ੍ਰੀਮੀਅਮ 'ਤੇ
అటాచ్,ਅਟੈਚ ਕਰੋ
జతచేయబడిన కార్యాలయం,ਨੱਥੀ ਦਫ਼ਤਰ
అటాచ్మెంట్,ਲਗਾਵ
అటాచ్మెంట్ ఆర్డర్,ਅਟੈਚਮੈਂਟ ਆਰਡਰ
సాధించడం,ਪ੍ਰਾਪਤੀ
ప్రయత్నం,ਕੋਸ਼ਿਸ਼
హాజరు,ਹਾਜ਼ਰੀ
హాజరు రిజిస్టర్,ਹਾਜ਼ਰੀ ਰਜਿਸਟਰ
హాజరు స్లిప్,ਹਾਜ਼ਰੀ ਤਿਲਕ
శ్రద్ధ,ਧਿਆਨ
ధృవీకరణ,ਤਸਦੀਕ
ధృవీకరించబడిన కాపీ,ਪ੍ਰਮਾਣਿਤ ਕਾੱਪੀ
వైఖరి,ਰਵੱਈਆ
ఆకర్షణీయమైన జీతం,ਆਕਰਸ਼ਕ ਤਨਖਾਹ
వేలం,ਨਿਲਾਮੀ
వేలంపాట,ਨਿਲਾਮੀ
వేలం అమ్మకం,ਨਿਲਾਮੀ ਵਿਕਰੀ
ప్రేక్షకులు,ਹਾਜ਼ਰੀਨ
ఆడియో-విజువల్ డిస్ప్లే,ਆਡੀਓ-ਵਿਜ਼ੂਅਲ ਡਿਸਪਲੇਅ
ఆడియో-విజువల్ పబ్లిసిటీ,ਆਡੀਓ-ਵਿਜ਼ੂਅਲ ਪ੍ਰਚਾਰ
ఆడిట్,ਆਡਿਟ
ఆడిట్ చేసిన ఖాతాలు,ਆਡਿਟ ਕੀਤੇ ਖਾਤੇ
ఆడిట్ చేసిన బ్యాలెన్స్ షీట్,ਆਡਿਟ ਬੈਲੇਂਸ ਸ਼ੀਟ
ఆడిటింగ్,ਆਡਿਟਿੰਗ
ఆడిట్ అభ్యంతరం,ਆਡਿਟ ਇਤਰਾਜ਼
ఆడిటర్ నివేదిక,ਆਡੀਟਰ ਦੀ ਰਿਪੋਰਟ
ఆడిటోరియం,ਆਡੀਟੋਰੀਅਮ
ఆడిట్ పేరా,ਆਡਿਟ ਪੈਰਾ
ఆర్థిక లెక్కల నివేదిక,ਆਡਿਟ ਰਿਪੋਰਟ
కాఠిన్యం,ਤਪੱਸਿਆ
పొదుపు చర్యలు,ਤਪੱਸਿਆ ਉਪਾਅ
ప్రామాణికమైన,ਪ੍ਰਮਾਣਿਕ
అధీకృత ప్రతినిధి,ਅਧਿਕਾਰਤ ਪ੍ਰਤੀਨਿਧੀ
అధికారిక,ਅਧਿਕਾਰਤ
అధికారం,ਅਧਿਕਾਰ
అధికారం లేఖ,ਅਥਾਰਟੀ ਅੱਖਰ
అధికారం,ਅਧਿਕਾਰਤ
అధీకృత మూలధనం,ਅਧਿਕਾਰਤ ਪੂੰਜੀ
ఆటోమేటిక్,ਆਟੋਮੈਟਿਕ
స్వయంప్రతిపత్తి,ਖੁਦਮੁਖਤਿਆਰੀ
అటానమస్ బాడీ,ਖੁਦਮੁਖਤਿਆਰੀ ਸਰੀਰ
స్వయంప్రతిపత్తి,ਖੁਦਮੁਖਤਿਆਰੀ
సహాయక,ਸਹਾਇਕ
అందుబాటులో ఉంది,ਉਪਲੱਬਧ
సగటు,Average ਸਤ
సగటు సెలవు,Ratuver ਸਤ ਛੁੱਟੀ
విరక్తి,ਘ੍ਰਿਣਾ
అవర్ట్,ਟਾਲਣਾ
నివారించండి,ਬਚਣ
పన్నును నివారించడం,ਟੈਕਸ ਤੋਂ ਪਰਹੇਜ਼ ਕਰੋ
వేచి ఉంది,ਉਡੀਕ ਕੀਤੀ
అవార్డు,ਪੁਰਸਕਾਰ
అథారిటీ అవార్డు,ਅਥਾਰਟੀ
అవగాహన,ਜਾਗਰੂਕਤਾ
బ్యాక్‌డేటెడ్,ਵਾਪਸ
నేపథ్య,ਪਿਛੋਕੜ
బ్యాక్ లాగ్,ਬੈਕ ਲਾਗ
బ్యాక్ అవుట్,ਪਿਛੇ ਹਟ ਜਾਣਾ
వెనుక సూచన,ਬੈਕ ਹਵਾਲਾ
బ్యాకప్,ਬੈਕ ਅਪ
వెనుకబడిన తరగతులు,ਬੈਕਵਾਰਡ ਕਲਾਸਾਂ
వెనుకబడిన తెగ,ਪਿਛਲਾ ਕਬੀਲੇ
చెడు బేరం,ਮਾੜੀ ਸੌਦਾ
చెడు ప్రవర్తన,ਮਾੜਾ ਵਿਵਹਾਰ
చెడ్డ పాత్ర,ਬੁਰਾ ਚਰਿੱਤਰ
చెడు వాతావరణ భత్యం,ਮਾੜੀ ਜਲਵਾਯੂ ਭੱਤਾ
చెడు ప్రవర్తన,ਬੁਰਾ ਚਾਲ
చెడు రుణం,ਬੁਰਾ ਕਰਜਾ
సామాను,ਸਾਮਾਨ
బెయిల్,ਜ਼ਮਾਨਤ
సంతులనం,ਸੰਤੁਲਨ
బ్యాలెన్స్ తగ్గింది,ਸੰਤੁਲਨ ਲਿਆਂਦਾ ਗਿਆ
బ్యాలెన్స్ ముందుకు తెచ్చింది,ਸੰਤੁਲਨ ਅੱਗੇ ਲਿਆਇਆ
సమతుల్య బడ్జెట్,ਸੰਤੁਲਿਤ ਬਜਟ
బ్యాలెన్స్ షీట్,ਸੰਤੁਲਨ ਸ਼ੀਟ
బ్యాలెట్,ਬੈਲਟ
వోట్లు వేసే డబ్బా,ਬੈਲਟ ਬਾਕਸ
బ్యాలెట్ పేపర్,ਬੈਲਟ ਪੇਪਰ
నిషేధం,ਪਾਬੰਦੀ
బ్యాంక్,ਬੈਂਕ
బ్యాంకు ఖాతా,ਬੈੰਕ ਖਾਤਾ
బ్యాంక్ బ్యాలెన్స్,ਬੈਂਕ ਬੈਲੰਸ
బ్యాంకు చార్జీలు,ਬੈਂਕ ਖਰਚੇ
బ్యాంకు హామీ,ਬੈਂਕ ਗਰੰਟੀ
బ్యాంకు సెలవు,ਬੈਂਕ ਦੀ ਛੁਟੀ
బ్యాంకింగ్ సౌకర్యం,ਬੈਂਕਿੰਗ ਸਹੂਲਤ
బ్యాంకింగ్ గంటలు,ਬੈਂਕਿੰਗ ਘੰਟੇ
బ్యాంకింగ్ లావాదేవీ,ਬੈਂਕਿੰਗ ਟ੍ਰਾਂਜੈਕਸ਼ਨ
బ్యాంక్ రేటు,ਬੈਂਕ ਰੇਟ
బ్యాంకు సయోధ్య,ਬੈਂਕ ਮੇਲ-ਮਿਲਾਪ
దివాళా,ਦੀਵਾਲੀਆ
బ్యాంక్ భద్రత,ਬੈਂਕ ਸੁਰੱਖਿਆ
