Gujarati,Telugu
વાસ્તવિક કોડ (= સંપૂર્ણ કોડ),వాస్తవ కోడ్ (= సంపూర్ణ కోడ్)
વાસ્તવિક ડેટા ટ્રાન્સફર રેટ,వాస్తవ డేటా బదిలీ రేటు
વાસ્તવિક દશાંશ બિંદુ,వాస్తవ దశాంశ బిందువు
વાસ્તવિક સૂચના (= અસરકારક સૂચના),వాస్తవ సూచన (= ప్రభావవంతమైన సూచన)
ખરેખર ચા,అసలు కీ
વાસ્તવિક સમય,అసలు సమయం
વાસ્તવિક કામનો સમય,వాస్తవ పని సమయం
કાર્યકારી સંકેત,సిగ్నల్ యాక్చువేటింగ్
અનુકૂલનક્ષમતા,అనుకూలత
અનુકૂલન,అడాప్టర్
અનુકૂલનશીલ ચેનલ ફાળવણી,అడాప్టివ్ ఛానల్ కేటాయింపు
અનુકૂલનશીલ એકીકરણ,అడాప్టివ్ ఇంటిగ్రేషన్
અનુકૂલનશીલ બરાબરી,అడాప్టివ్ ట్రాన్స్వర్సల్ ఈక్వలైజర్
ઉમેરાયેલ નોંધ,ఎంట్రీ జోడించబడింది
પરિવર્તન,అనుబంధం
પ્રહાર,Adder
ઉપદેશક,అడెర్ సబ్‌ట్రాక్టర్
ફાઇલ ઉમેરો,ఫైల్ జోడించండి
વધારાના પાત્ર (= વિશેષ પાત્ર),అదనపు అక్షరం (= ప్రత్యేక అక్షరం)
વધારાની રેકોર્ડર,అదనంగా రికార్డర్
વધારાનો કોઠો,అదనంగా పట్టిక
ઉમેરણ લક્ષણ,సంకలిత లక్షణం
મોડમાં ઉમેરો,మోడ్‌ను జోడించండి
કામગીરી ઉમેરો,ఆపరేషన్ జోడించండి
સંબોધન,చిరునామా
સરનામા -માપદંડ,చిరునామా కొలత
સરનામું આડી સ્થિતિ,చిరునామా క్షితిజ సమాంతర స్థానం
સંબોધન - બિંદુ,చిరునామా పాయింట్
પ્રતિયોગી સ્થિતિ,చిరునామా స్థానం
સરનામું રજિસ્ટર,చిరునామా రిజిస్టర్
પ્રત્યુત્તરપાત્ર સંગ્રહ,చిరునామా నిల్వ
સરનાક verભી સ્થિતિ,చిరునామా నిలువు స్థానం
સરનાવ બસ,చిరునామా బస్సు
સરનામું,చిరునామా కోడ్
સરખામણી કરનાર,చిరునామా కంపారిటర్
સરનામું,చిరునామా గణన
નિવારણ,చిరునామా స్థిరాంకం
ધર્મપરિવર્તન,చిరునామా మార్పిడి
માહિતી,చిరునామా డేటా
સંબોધિત મેમરી,చిరునామా మెమరీ
સંબોધન અસરકારક,చిరునామా ప్రభావవంతంగా ఉంటుంది
સરનાવનું ક્ષેત્ર,చిరునామా ఫీల్డ్
સરનાકનું બંધારણ,చిరునామా ఆకృతి
મફત કાર્યક્રમ,చిరునామా ఉచిత ప్రోగ్రామ్
સંબોધન,చిరునామా
સંબોધન  પાત્ર,చిరునామా  పాత్ర
સંબોધન,అంతరాయాన్ని పరిష్కరించడం
સંબોધન,చిరునామా లూప్
વર્ચુઅલ મેમરીને સંબોધવા,వర్చువల్ మెమరీని పరిష్కరించడం
સરનામું,చిరునామా ఇంటర్లేసింగ్
સરનામાંહીન સૂચના બંધારણ,చిరునామా లేని సూచనల ఆకృతి
સરનામા,చిరునామా లైన్
સરનામાંનું નકશો,చిరునామా మ్యాపింగ్
સરનાવ,చిరునామా గుర్తు
સરનામા -ફેરફાર,చిరునామా మార్పు
સરનામા ભાગ,చిరునామా భాగం
સરનાક નિર્દેશક,చిరునామా పాయింటర్
સરના નોંધણી,చిరునామా రిజిస్టర్
સરનામે સંકેત,చిరునామా సిగ్నల్
સરનાવનું કદ,చిరునామా పరిమాణం
સરનાવની જગ્યા,చిరునామా స్థలం
સરનામું સ્થાન ઓળખકર્તા,చిరునామా స్పేస్ ఐడెంటిఫైయర్
સરનાવ બંધ,చిరునామా స్టాప్
સરનામા,చిరునామా ట్రేస్
સરનામા,చిరునామా ట్రాక్
અનુવાદ,చిరునామా అనువాదం
અનુવાદક,చిరునామా అనువాదకుడు
સબમટ્રેક્ટ સમય ઉમેરવો,జోడించు-ఉపశమనం సమయం
સમય ઉમેરો,సమయాన్ని జోడించండి
સંલગ્નતા,ప్రక్కనే
સંલગ્ન માળખું,ప్రక్కనే ఉన్న నిర్మాణం
સંલગ્ન માતૃભાષા,ప్రక్కనే ఉన్న ఛానల్
સંલગ્ન ડોમેન,ప్రక్కనే ఉన్న డొమైన్
સંલગ્ન મેટ્રિક્સ,ప్రక్కనే ఉన్న మాతృక
સંલગ્ન નોડ,ప్రక్కనే ఉన్న నోడ్
સંલગ્ન સુબેરિયા,ప్రక్కనే ఉన్న సబ్‌యారియా
સંવાદિતા (સિસ્ટમ),అడ్జాయింట్ (సిస్టమ్)
સમાયોજન કરવું,సర్దుబాటు
ગોઠવણપાત્ર હદ,సర్దుబాటు పరిధి
ટેક્સ્ટ મોડને સમાયોજિત કરો,టెక్స్ట్ మోడ్‌ను సర్దుబాటు చేయండి
વહીવટી માહિતી પ્રક્રિયા,అడ్మినిస్ట్రేటివ్ డేటా ప్రాసెసింగ్
વહીવટી કામગીરી,పరిపాలనా ఆపరేషన్
વહીવટી operatorપરેટર,అడ్మినిస్ట్రేటివ్ ఆపరేటర్
વહીવટી પ્રચાલક,అడ్మినిస్ట్రేటివ్ ఆపరేటర్ స్టేషన్
વહીવટી સહાયક પદ્ધતિ,పరిపాలనా మద్దతు వ్యవస్థ
અદ્યતન સંદેશાવ્યવહાર સેવા,అధునాతన కమ్యూనికేషన్ సేవ
અદ્યતન માહિતી પદ્ધતિ,అధునాతన సమాచార వ్యవస్థ
અદ્યતન ઓપ્ટિકલ પાત્ર રીડર,అధునాతనమైన ఆప్టికల్ క్యారెక్టర్ రీడర్
અદ્યતન વૈજ્ .ાનિક કમ્પ્યુટર,అధునాతన శాస్త్రీయ కంప్యూటర్
હવાઈ,ఆకాశయాన
સમૂહ,మొత్తం
કુલ અભિવ્યક્તિ,మొత్తం వ్యక్తీకరణ
લક્ષ્યસ્થાન વર્તુળ,లక్ష్య వృత్తం
લક્ષ્ય ક્ષેત્ર (= લક્ષ્યનું પ્રતીક),లక్ష్యం ఫీల్డ్ (= లక్ష్యం చిహ్నం)
લક્ષ્યસ્થાન પ્રતીક,లక్ష్యం చిహ్నం
હવાઈ ​​કમ્પ્યુટર સિસ્ટમ,వాయుమార్గాన కంప్యూటర్ వ్యవస్థ
બીજગણિત ઇગન્યુલ્યુ સમસ્યા,బీజగణిత ఈజెన్వాల్యూ సమస్య
બીજગણિત  એકીકરણ,బీజగణితం  అనుసంధానం
બીજગણિત ભાષા,బీజగణిత భాష
બીજગણિત હેરાફેરી,బీజగణిత మానిప్యులేషన్
બીજગણિત હેરાફેરી ભાષા,బీజగణిత మానిప్యులేషన్ భాష
બીજગણિત લક્ષી ભાષા,బీజగణిత ఆధారిత భాష
બીજગણિત પાળી,బీజగణిత షిఫ్ట్
બીજગણિત ચિહ્ન સંમેલન,బీజగణిత సంకేత సమావేశం
શિરચ્છેદ,ఆల్గోల్
શીલ લક્ષણ,ఆల్గోల్ ఫీచర్
અલ્ગોલ કાર્યક્રમ,ఆల్గోల్ ప్రోగ్రామింగ్
અલ્ગોરિધમનો,అల్గోరిథం
અલ્ગોરિધમનો સહયોગી ભાષા,అల్గోరిథం అసోసియేటివ్ లాంగ్వేజ్
અલ્ગોરિધમનો વર્ગીકરણ,అల్గోరిథం వర్గీకరణ
અલ્ગોરિધમની જટિલતા,అల్గోరిథం సంక్లిష్టత
અલ્ગોરિધમની ગણતરી,అల్గోరిథం కంప్యూటబిలిటీ
અલ્ગોરિધમિક વિશ્લેષણ,అల్గోరిథమిక్ విశ్లేషణ
અલ્ગોરિધમિક અભિગમ,అల్గోరిథమిక్ విధానం
અલ્ગોરિધએમ ભાષા,అల్గోరిథమిక్ భాష
અલ્ગોરિધમનો રૂટિન,అల్గోరిథమిక్ దినచర్య
અલ્ગોરિધમનો સિદ્ધાંત,అల్గోరిథమిక్ సిద్ధాంతం
ઉર્ફે,అలియాస్
પરવાના,అలియాసింగ్
ઉપનામ નામ (= વૈકલ્પિક નામ),అలియాస్ పేరు (= ప్రత్యామ్నాయ పేరు)
ગોઠવણી,అమరిక
ફાળવવું,కేటాయించండి
ફાળવણીનું માળખું,కేటాయింపు నిర్మాణం
હેતુસર કમ્પ્યુટર,ఆల్-పర్పస్ కంప్యూటర్
વર્ણાનુક્રમ,అక్షర పాత్ర
મૂળાક્ષરોનો પાત્ર સમૂહ,అక్షర అక్షర సమితి
મૂળાક્ષરો,అక్షర అక్షర ఉపసమితి
વર્ણાનુક્રમ,అక్షర కోడ్
વર્ણાનુક્રમ,అక్షర షిఫ్ట్
વર્ણાનુક્રમ,అక్షర స్ట్రింగ్
વર્ણાનુક્રમ,అక్షర పదం
મૂળાક્ષરો,వర్ణమాల
અલ્ફેજ ome મેટ્રિક્સ,ఆల్ఫాజియోమెట్రిక్స్
મૂર્તિમંત,ఆల్ఫామెరిక్
મરણોત્તર,ఆల్ఫామోసాయిక్
મૂર્તિમંત,ఆల్ఫాన్యూమరిక్
આલ્ફાન્યુમેરિકલ કીબોર્ડ ડિવાઇસ,ఆల్ఫాన్యూమరికల్ కీబోర్డ్ పరికరం
મૂળાક્ષર,ఆల్ఫాన్యూమరిక్ క్యారెక్టర్ సెట్
મૂળાક્ષર,ఆల్ఫాన్యూమరిక్ కోడ్
આલ્ફાન્યુમેરિક કોડેડ પાત્ર સમૂહ,ఆల్ఫాన్యూమరిక్ కోడెడ్ క్యారెక్టర్ సెట్
મૂળાક્ષરીનો ડેટા,ఆల్ఫాన్యూమరిక్ డేటా
આલ્ફાન્યુમેરિક ડિસ્પ્લે ડિવાઇસ,ఆల్ఫాన్యూమరిక్ డిస్ప్లే పరికరం
મૂળાક્ષર સંપાદિત પાત્ર,ఆల్ఫాన్యూమరిక్ సవరించిన పాత్ర
વર્ણ -ક્ષેત્ર,ఆల్ఫాన్యూమరిక్ ఫీల్డ్
વર્ણ -સૂચના,ఆల్ఫాన్యూమరిక్ ఇన్స్ట్రక్షన్
મૂળાક્ષર કીબોર્ડ,ఆల్ఫాన్యూమరిక్ కీబోర్డ్
મૂળાક્ષર,ఆల్ఫాన్యూమరిక్ విధమైన
મૂળાક્ષર સંગ્રહ,ఆల్ఫాన్యూమరిక్ స్టోరేజ్
બદલવા યોગ્ય,మార్చగల మెమరీ
ફેરફાર -ફેરૂપ,మార్పు స్విచ్
પરિવર્તનશીલ,మార్చడం
ફેરફાર,ఆల్టర్ మోడ్
વૈકલ્પિક પુન recovery પ્રાપ્તિ,ప్రత్యామ్నాయ రికవరీ
વૈકલ્પિક માર્ગ,ప్రత్యామ్నాయ మార్గం
વૈકલ્પિક માર્ગ,ప్రత్యామ్నాయ రౌటింగ్
વૈકલ્પિક પાટા,ప్రత్యామ్నాయ ట్రాక్
ફેરબદલ (= અથવા કામગીરી),ప్రత్యామ్నాయం (= లేదా ఆపరేషన్)
વૈકલ્પિક લક્ષણ,ప్రత్యామ్నాయ లక్షణం
વૈકલ્પિક અસ્વીકાર (= નહીં અને કામગીરી),ప్రత్యామ్నాయ తిరస్కరణ (= మరియు ఆపరేషన్ కాదు)
અસ્પષ્ટ ભૂલ,అస్పష్టత లోపం
અસ્પષ્ટ સંદર્ભ,అస్పష్టమైన సూచన
પ્રાચય,అనలాగ్
એનાશ -ઉપાડનાર,అనలాగ్ యాడర్
મનોલોત્ર,అనలాగ్ ఛానల్
એનાલોગ કમ્પ્યુટર,అనలాగ్ కంప్యూటర్
એનાશ -રૂપાંતર કરનાર,అనలాగ్ కన్వర్టర్
મનોજ્ analા આંકડા,అనలాగ్ డేటా
એનાશ -વિભાજક,అనలాగ్ డివైడర్
એનાલોગ સુવિધા ટર્મિન,అనలాగ్ ఫెసిలిటీ టెర్మినల్
મનોલોગ કાર્ય  જનરેટર,అనలాగ్ ఫంక్షన్  జనరేటర్
મનોરોગ એકીકરણ,అనలాగ్ ఇంటిగ్రేషన్
એનાલ -ગુણાકાર,అనలాగ్ గుణకం
એનાશિક કાર્યક્રમ,అనలాగ్ ప్రోగ్రామింగ్
એનાલ -સ્તનપાન,అనలాగ్ స్కేలింగ్
એનાલોગ સંકેત,అనలాగ్ సిగ్నల్
એનાશ સિમ્યુલેશન,అనలాగ్ అనుకరణ
એનાશ -સ્વીચ,అనలాగ్ స్విచ్
પ્રાકૃતિક પદ્ધતિ,అనలాగ్ వ్యవస్థ
ડિજિટલથી એનાલોગ  એકત્રીકરણ કરનાર,డిజిటల్‌కు అనలాగ్  కన్వర్టర్
ડિજિટલથી એનાલોગ  એન્કોડર,డిజిటల్‌కు అనలాగ్  ఎన్కోడర్
મનોલોગ પ્રસારણ,అనలాగ్ ట్రాన్స్మిషన్
એનોગ પ્રકાર,అనలాగ్ రకం
વિશ્લેષણ -વિધિ,విశ్లేషణ బ్లాక్
વિશ્લેષણ પદ્ધતિ,విశ్లేషణ మోడ్
વિશ્લેષણાત્મક,విశ్లేషణాత్మక ఇంజిన్
પૂર્વજો,పూర్వీకుల పని
આનુષંગિક સાધનસામગ્રી,సహాయక పరికరాలు
અને,మరియు
અને સર્કિટ,మరియు సర్క్యూట్
અને,మరియు మూలకం
અને દરવાજો,మరియు గేట్
અને માસ્કિંગ,మరియు మాస్కింగ్
અને ઓપરેશન નથી (= બાકાત,మరియు ఆపరేషన్ కాదు (= మినహాయింపు
કામગીરી,మరియు ఆపరేషన్
જોડાણ મેમરી,అనెక్స్ మెమరీ
નોંધણી,ఉల్లేఖనం
જાહેરાત કરનાર,అనన్సియేటర్
પાછો જવાબ આપો,తిరిగి సమాధానం ఇవ్వండి
જવાબ,సమాధానం ఆలస్యం
જવાબદાર સમય,సమయం సమాధానం
જવાબ દીવો,సమాధానం దీపం
જવાબ સૂચિ,జవాబు జాబితా
માત્ર,సమాధానం మాత్రమే
અપેક્ષા -મોડ,Ntic హించే మోడ్
આગોતરક બફર,ముందస్తు బఫరింగ్
આગોતરક કેરી,ముందస్తు క్యారీ
આગોતરી પેજિંગ,ముందస్తు పేజింగ్
અસત્ય કામગીરી,ప్రతిస్కందకం ఆపరేషన్
કૃત્રિમ તત્વ,ప్రతిస్కందకం మూలకం
અતિશય એન્ટેના,అపెరియోడిక్ యాంటెన్నా
છિદ્ર,ఎపర్చరు కార్డు
છિદ્ર,ఎపర్చరు కోడ్
છિદ્રનો સમય,ఎపర్చరు సమయం
સંલગ્ન,అనుబంధం
સંલગ્ન કાર્ય,అనుబంధ పని
અરજી વિકાસકર્તા,అప్లికేషన్ డెవలపర్
અરજી -સ્તર,అప్లికేషన్ లేయర్
અરજીલક્ષી ભાષા,అప్లికేషన్ ఓరియెంటెడ్ లాంగ్వేజ్
અરજી,అప్లికేషన్ ప్యాకేజీ
અરજી કાર્યક્રમ,అప్లికేషన్ ప్రోగ్రామ్
અરજી કાર્યક્રમ,అప్లికేషన్ ప్రోగ్రామింగ్
અરજી જરૂરી ભાષા,అప్లికేషన్ అవసరం భాష
એપ્લિકેશન સોફ્ટવેર,అప్లికేషన్ సాఫ్ట్‌వేర్
અનુકૂળ,అప్లిక్
આશરે સિદ્ધાંત,ఉజ్జాయింపు సిద్ధాంతం
મનસ્વી પ્રવેશ,ఏకపక్ష ప్రాప్యత
મનસ્વી ક્રમ કમ્પ્યુટર,ఏకపక్ష సీక్వెన్స్ కంప్యూటర్
લવાદી,మధ్యవర్తిత్వ
સ્થાપત્ય,వాస్తుశిల్పం
આર્કા,ఆర్కైవింగ్
વિસ્તાર કોડ,స్థల సంకేతం
વિસ્તાર -શોધ,ప్రాంత శోధన
વિસ્તાર -તબદીલી,ప్రాంత బదిలీ
ક્ષેત્રીય,ఏరియా వేరియబుల్
દલીલ,వాదన
દલીલ સરનામું,ఆర్గ్యుమెంట్ చిరునామా
દલીલ યાદી,ఆర్గ్యుమెంట్ జాబితా
અંકગણિત સૂચના,అంకగణిత బోధన
અંકગણિત અને તર્ક એકમ,అంకగణిత మరియు అంకగణిత విభాగం
અંકગણિત સોંપણી નિવેદન,అంకగణిత అసైన్‌మెంట్ స్టేట్మెంట్
અંકગણિત તપાસ,అంకగణిత చెక్
ન્યાયશાસ્ત્ર,అంకగణిత స్థిరాంకం
અંકગણિત,అంకగణిత మార్పిడి
સમાંતરતર ડેટા,అంకగణిత డేటా
અંકગણિત અપવાદ,అంకగణిత మినహాయింపు
અંકગણિત અભિવ્યક્તિ,అంకగణిత వ్యక్తీకరణ
અંકગણિત નિયત બિંદુ,అంకగణిత స్థిర బిందువు
અંકગણિત વંશવેલો,అంకగణిత సోపానక్రమం
અંકગણિત જો નિવેદન,అంకగణితం ఉంటే స్టేట్మెంట్
ન્યાયશાસ્ત્રનું તર્કશાસ્ત્ર,అంకగణిత తర్కం
અંકગણિત તર્ક એકમ,అంకగణిత లాజిక్ యూనిట్
ન્યાયશાસ્ત્ર કામગીરી,అంకగణిత ఆపరేషన్
સમેટાં પ્રપણ,అంకగణిత ఆపరేటర్
અંકગણિત ઓવરફ્લો,అంకగణిత ఓవర్ఫ్లో
અંકગણિત ચિત્ર -માહિતી,అంకగణిత చిత్ర డేటా
અંકગણિત અગ્રતા,అంకగణిత ప్రాధాన్యత
અંકગણિત પ્રાથમિક,అంకగణిత ప్రాధమిక
અંકગણિત રજિસ્ટર,అంకగణిత రిజిస్టర్
અંકગણિત સંબંધ,అంకగణిత సంబంధం
અંકગણિત સ્કેન,అంకగణిత స్కాన్
અંકગણિત વિભાગ,అంకగణిత విభాగం
અંકગણિત પાળી,అంకగణిత మార్పు
અંકગણિત,అంకగణిత బదిలీ
અંકગણિત નિવેદન,అంకగణిత ప్రకటన
ન્યાયશાસ્ત્રની મુદત,అంకగణిత పదం
અંકગણિત,అంకగణిత అండర్ఫ్లో
અંકગણિત એકમ,అంకగణిత యూనిట్
કળ,అమరిక
એરે બાઉન્ડ,శ్రేణి బౌండ్
એરે કમ્પ્યુટર,అర్రే కంప్యూటర్
એરેનું પરિમાણ,శ్రేణి పరిమాణం
એરે તત્વ,శ్రేణి మూలకం
અભિવ્યક્તિ,శ్రేణి వ్యక్తీకరణ
એરે નામ,శ్రేణి పేరు
રચના,నిర్మాణాల శ్రేణి
એરે મુદ્રણ,అర్రే ప్రింటింగ్
એરે પ્રક્રિયા,శ్రేణి ప్రాసెసింగ్
એરે પ્રોસેસર,అర్రే ప్రాసెసర్
સ્પષ્ટ મુદ્દો,ఉచ్చారణ పాయింట్
કૃત્રિમ માન્યતા,కృత్రిమ జ్ఞానం
કૃત્રિમ બુદ્ધિ,కృత్రిమ మేధస్సు
કૃત્રિમ ભાષા,కృత్రిమ భాష
કૃત્રિમ ચલ,కృత్రిమ వేరియబుల్
કળા -એપ્લિકેશન ડેટા બેંક,ఆర్ట్స్ అప్లికేషన్ డేటా బ్యాంక్
કલાકાર -અરજી,ఆర్ట్స్ అప్లికేషన్ మ్యూజిక్
કળા -એપ્લિકેશન પેટર્ન જનરેશન,ఆర్ట్స్ అప్లికేషన్ సరళి తరం
ચડતું,ఆరోహణ
ચ ascતો સ .ર્ટ,ఆరోహణ క్రమబద్ధీకరణ
અયોગ્ય,అస్సిల్
ASCII નિયંત્રણ પાત્ર,ASCII నియంత్రణ అక్షరం
ASCII કી બોર્ડ,ASCII కీ బోర్డు
દૃષ્ટિ,కారక
પાસા અને,కారకం మరియు
ભેગા,సమీకరించటం
ભેગા થયેલા મૂળ,సమావేశమైన మూలం
એકત્રીકરણ સમયગાળો,వ్యవధిని సమీకరించండి
ભેગા કરનાર,సమీకరించేవాడు
એસેમ્બલ નિર્દેશક,సమీకరించే ఆదేశం
ભેળસેળ કરવાની સુવિધા,సమీకరించే సౌకర్యం
જોડાયેલી ભાષા,సమీకరించే భాష
એકત્રીકરણ,సమీకరించడం
ભેગા કરવાનો તબક્કો,సమీకరించే దశ
એકત્રીકરણ સમય,సమీకరించే సమయాన్ని
વિધાનસભા,అసెంబ్లీ
સભા,అసెంబ్లీ భాష
સભા ભાષા કાર્યક્રમ,అసెంబ్లీ భాషా ప్రోగ్రామింగ్
એસેમ્બલી ભાષા સ software ફ્ટવેર સુગમતા,అసెంబ్లీ భాషా సాఫ్ట్‌వేర్ వశ్యత
સભા સૂચિ,అసెంబ్లీ జాబితా
સભા તબક્કા,అసెంబ్లీ దశ
વિધાનસભા દિનચર્યા,అసెంబ్లీ దినచర్య
સભા સમય,అసెంబ్లీ సమయం
સભા એકમ,అసెంబ్లీ యూనిట్
સોંપણી અનુક્રમણિકા,అసైన్‌మెంట్ ఇండెక్సింగ్
સોંપણી કામગીરી,అసైన్‌మెంట్ ఆపరేషన్
સોંપણી પત્રક,అసైన్‌మెంట్ స్టేట్మెంట్
સંલગ્ન સંબોધન,అసోసియేటివ్ చిరునామా
સહયોગી એરે રજિસ્ટર,అసోసియేటివ్ అర్రే రిజిస్టర్
સહ -મુખ્ય,అసోసియేటివ్ కీ
એકસમાન ભાષા,అసోసియేటివ్ లాంగ్వేజ్
સંલગ્ન મેમરી,అసోసియేటివ్ మెమరీ
સંલગ્ન સંગ્રહ,అసోసియేటివ్ స్టోరేజ్
ધારેલો દશાંશ બિંદુ,దశాంశ బిందువు
અસમપ્રમાણ ઉપકરણ,అసమాన పరికరం
અસમપ્રમાણતા I/O,అసమాన i/ఓ
અસુમેળવાળું,అసమకాలిక
અસમકાલીન કમ્પ્યુટર,అసమకాలిక కంప్యూటర్
અસમકાલીન ડેટા સ્થાનાંતરણ,అసమకాలిక డేటా బదిలీ
અસુમેળ ડેટા પ્રસારણ,అసమకాలిక డేటా ట్రాన్స్మిషన్
અસુમેળ ઉપકરણો,అసమకాలిక పరికరాలు
અસુમેળ,అసమకాలిక ఆపరేషన్
અસમકાલીન સંકેત,అసమకాలిక సిగ్నలింగ్
અસુમેળ સમય વિભાગ મલ્ટીપ્લેક્સિંગ,అసమకకరణం
અસુમેળ,అసమకాలిక ప్రసారం
અસમકાલીન કાર્યકારી,అసమకాలిక పని
જોડાયેલ પ્રક્રિયા,అటాచ్డ్ ప్రాసెసింగ్
જોડાયેલ પ્રોસેસર,అటాచ్డ్ ప్రాసెసర్
જોડાયેલ સપોર્ટ પ્રોસેસર,అటాచ్డ్ సపోర్ట్ ప్రాసెసర్
ઉપસ્થિત કામગીરી,హాజరైన ఆపరేషన్
ઉપસ્થિત ટ્રેઇલ પ્રિંટર,ట్రైల్ ప్రింటర్‌కు హాజరయ్యారు
