Assamese,Bengali
"নিৰপেক্ষ সমকালীনতা, নিৰপেক্ষ সমকালীনতা","পরম সমলয়, পরম সমলয়"
নিৰপেক্ষ চাপ,পরম চাপ
নিৰপেক্ষ প্ৰতিসমতা,পরম প্রতিসাম্য
নিৰপেক্ষ গতি শৰীৰ,পরম গতি শরীর
নিৰপেক্ষ একক ব্যৱস্থা,পরম ইউনিট সিস্টেম
নিৰপেক্ষ উষ্ণতা,পরম তাপমাত্রা
নিৰপেক্ষ সময়,পরম সময়
নিৰপেক্ষ এককসমূহ,পরম একক
নিৰপেক্ষ মূল্য,পরম মান
পূৰ্ণসংখ্যা কেলকুলেটৰ,পূর্ণসংখ্যা ক্যালকুলেটর
নিৰপেক্ষ বেগ,পরম বেগ
নিৰপেক্ষ আঠালতীয়াতা,পরম সান্দ্রতা
নিৰপেক্ষ ওজন,পরম ওজন
নিৰপেক্ষ শূন্য*,পরম শূন্য*
শূন্যৰ নিৰপেক্ষ হজক,শূন্যের পরম ভাজক
শুহি লোৱা,শোষণ করা
শোষণ সূচকাংক*,শোষণ সূচক*
শোষিত শক্তি,শোষিত শক্তি
"শোষক, শোষক","শোষক, শোষক"
শোষক মাধ্যম*,শোষক মাধ্যম*
শোষণ ক্ষমতা,শোষণ ক্ষমতা
শোষণ ক্ষমতা,শোষণ
শোষণমাপক*,শোষণ যন্ত্র*
শোষণমিতি*,শোষণমিতি*
শোষণ,শোষণ
শোষণ - বেণ্ড*,শোষণ - ব্যান্ড*
শোষণ বৰ্তনী,শোষণ সার্কিট
শোষণ সহগ,শোষণ গুণাঙ্ক
শোষণ স্তম্ভ,শোষণ কলাম
শোষণ ধ্ৰুৱক,শোষণ ধ্রুবক
শোষণ ধাৰাবাহিকতা,শোষণ ধারাবাহিকতা
শোষণ অঞ্চল,শোষণ অঞ্চল
শোষণ কাৰেণ্ট,শোষণ বর্তমান
শোষণ বক্ৰ*,শোষণ বক্ররেখা*
শোষণ ভাঙন,শোষণ ফ্র্যাকচার
শোষণ কোৰ,শোষণ কোর
শোষণ কাৰক,শোষণ ফ্যাক্টর
শোষণ ফিল্টাৰ,শোষণ ফিল্টার
শোষণ শিখা ফটোমেট্ৰি*,শোষণ শিখা ফটোমেট্রি*
শোষণ হাইগ্ৰ’মিটাৰ,শোষণ হাইগ্রোমিটার
শোষণ ঘাত,শোষণ সূচক
শোষণ প্ৰান্তীয়,শোষণ প্রান্তিক
শোষণ ৰেখা,শোষণ লাইন
শোষণ ক্ষতি,শোষণ ক্ষতি
শোষণ মডুলেচন,শোষণ মড্যুলেশন
পোহৰ শোষণ,আলো শোষণ
বিকিৰণ শক্তি শোষণ কৰা,বিকিরণ শক্তি শোষণ
শোষণ শিখৰ,শোষণ শিখর
শোষণ আলোকমিতি,শোষণ ফটোমেট্রি
শোষণ অনুপাত,শোষণ অনুপাত
শোষণ পৰিসৰ*,শোষণ পরিসীমা*
শোষণ বৰ্ণালী আলোকমিতি*,শোষণ স্পেকট্রাম ফটোমেট্রি*
শোষণ বৰ্ণালী*,শোষণ বর্ণালী*
"শোষণ নলী, শোষণ নলী","শোষণ নল, শোষণ নল"
শোষণ হাইগ্ৰ’মিটাৰ,শোষণ হাইগ্রোমিটার
শোষক*,শোষক*
শোষক বাষ্পীভৱনকাৰী,শোষক বাষ্পীভবনকারী
শোষণ নিয়ম*,শোষণ আইন*
শোষণ মাধ্যম,শোষণ মাধ্যম
"শোষণ ক্ষমতা, শোষণ ক্ষমতা*","শোষণ ক্ষমতা, শোষণ*"
শোষণ ক্ষমতা*,শোষণ*
ষ্টুডিঅ&#39; সজ্জা,স্টুডিও সজ্জা
বহুগুণতা অনুপাত,বহুগুণ অনুপাত
abvolt,বিভ্রান্তি
বিষয়ে,সম্পর্কিত
ত্বৰান্বিত কৰক,ত্বরান্বিত করা
ত্বৰণ-বন্ধ দূৰত্ব,ত্বরণ-স্টপ দূরত্ব
খৰধৰকৈ উঠিল,তাড়াতাড়ি
দ্ৰুত সময় প্ৰভাৱ পৰীক্ষা,দ্রুত সময়ের প্রভাব পরীক্ষা
দ্ৰুত প্ৰবাহ,দ্রুত প্রবাহ
দ্ৰুত গতি,দ্রুত গতি
দ্ৰুত শৰীৰ,দ্রুত শরীর
ত্বৰণকাৰী ওজনকাৰী,এক্সিলারেটর ওজনকারী
ত্বৰণকাৰী ইলেক্ট্ৰ&#39;ড*,এক্সিলারেটর ইলেক্ট্রোড*
ত্বৰক সময়*,এক্সিলারেটরের সময়*
ত্বৰণকাৰী পৰ্যায়,এক্সিলারেটর ফেজ
ত্বৰণকাৰীৰ হাৰ,অ্যাক্সিলারেটর হার
এক্সিলেটৰ ভোল্টেজ*,এক্সিলারেটর ভোল্টেজ*
বেগ বৃদ্ধি,ত্বরণ
ত্বৰান্বিত দহন,ত্বরিত জ্বলন
ত্বৰণ সহগ,ত্বরণ সহগ
ত্বৰণ উপাদান,ত্বরণ উপাদান
মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ,মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি
ত্বৰণ কাৰক,ত্বরণ ফ্যাক্টর
ত্বৰিত চাৰ্জ,ত্বরিত চার্জ
মাধ্যাকৰ্ষণৰ ত্বৰণ,অভিকর্ষের ত্বরণ
ত্বৰণ বিভৱ,ত্বরণ সম্ভাবনা
ত্বৰণ আইন,ত্বরণ আইন
ত্বৰণ প্ৰক্ৰিয়া,ত্বরণ প্রক্রিয়া
ত্বৰণ অঞ্চল,ত্বরণ অঞ্চল
ত্বৰণ পদ্ধতি,ত্বরণ পদ্ধতি
"ত্বৰণ সহনশীলতা, ত্বৰণ সহনশীলতা","ত্বরণ সহনশীলতা, ত্বরণ সহনশীলতা"
ত্বৰণ ভেক্টৰ,ত্বরণ ভেক্টর
ত্বৰণ-ভোল্টেজ,ত্বরণ-ভোল্টেজ
ত্বৰণ তৰংগ,ত্বরণ তরঙ্গ
ত্বৰণকাৰী,এক্সিলারেটর
"accelerate, ত্বৰণকাৰী*","ত্বরণ, ত্বরণক*"
ত্বৰক সমীকৰণ,অ্যাক্সিলারেটর সমীকরণ
ত্বৰণকাৰী*,এক্সিলারেটর*
এক্সিলেৰমিটাৰ,অ্যাক্সিলোমিটার
এক্সিলেৰমিটাৰ মিলন,অ্যাক্সিলোমিটার মিল
প্ৰিষ্ট্ৰেছাৰ,prestresser
বৈধ আখৰ,বৈধ অক্ষর
গ্ৰহণযোগ্যতা কোণ,গ্রহণযোগ্যতা কোণ
গ্ৰহণযোগ্যতা নিৰ্দিষ্টকৰণ,গ্রহণযোগ্যতা স্পেসিফিকেশন
গ্ৰহণযোগ্য পৰীক্ষা,গ্রহণযোগ্য পরীক্ষা
"গ্ৰহণকাৰী*, গ্ৰহণকাৰী","গ্রহণকারী*, গ্রহণকারী"
ৰিচেপ্টৰ পৰমাণু,রিসেপ্টর পরমাণু
ৰিচেপ্টৰ বণ্ড,রিসেপ্টর বন্ড
ৰিচিভাৰ চাৰ্কিট,রিসিভার সার্কিট
ৰিচেপ্টৰ স্তৰ,রিসেপ্টর স্তর
দাতা অণু,দাতা অণু
ৰিচেপ্টৰ বৈশিষ্ট্য,রিসেপ্টর সম্পত্তি
ৰিচেপ্টৰ বৈশিষ্ট্যৰ স্তৰ,রিসেপ্টর সম্পত্তি স্তর
এক্সিলেটৰৰ নলী,অ্যাক্সিলারেটর পায়ের পাতার মোজাবিশেষ
"প্ৰৱেশ, অপেক্ষা, প্ৰৱেশ","অ্যাক্সেস, অপেক্ষা, অ্যাক্সেস"
প্ৰৱেশ ভূজ,ভুজ অ্যাক্সেস করুন
অভিগম ব্যৱস্থাপ্ৰণালী,অ্যাক্সেস সিস্টেম
প্ৰৱেশ সময়,প্রবেশাধিকার সময়
অভিগম্যতা,অ্যাক্সেসযোগ্যতা
"অতিৰিক্ত, সহায়ক, আনুষংগিক (v, ), আনুষংগিক","অতিরিক্ত, সহায়ক, আনুষঙ্গিক (v, ), আনুষাঙ্গিক"
অতিৰিক্ত নিষেধাজ্ঞা,অতিরিক্ত সীমাবদ্ধতা
কাকতালীয়,কাকতালীয়
আকস্মিক সংশোধন,আকস্মিক সংশোধন
আকস্মিক জৈৱজন্ম,দুর্ঘটনাজনিত বায়োজেনেসিস
আকস্মিক ডাইভাৰচন,আকস্মিক ডাইভারশন
দৰ্শকৰ ভুল,ভিজিটর ত্রুটি
"হঠাৎ বন্ধ, হঠাৎ বন্ধ","হঠাৎ বন্ধ, হঠাৎ বাতা"
আকস্মিক সংক্ৰমণ,দুর্ঘটনাজনিত সংক্রমণ
ৰেণ্ডম ভ্যাৰিয়েন্স,এলোমেলো পার্থক্য
সমন্বয়,সমন্বয়
অৱস্থিত,অবস্থিত
সঞ্চিত ভুল,সঞ্চিত ত্রুটি
"সঞ্চয়, সঞ্চয়","accumulation, accumulation"
শক্তি সংৰক্ষণ,শক্তি সঞ্চয়
এক্যুলেটৰ*,সঞ্চয়ক*
শুদ্ধতা,সঠিকতা
বাস্তৱতা,বাস্তবতা
বাস্তৱ যন্ত্ৰ পৰ্যবেক্ষণ,বাস্তব যন্ত্র পর্যবেক্ষণ
সঠিক ৰেঞ্জ মাৰ্কাৰ,সঠিক পরিসীমা চিহ্নিতকারী
নিখুঁত স্কেনিং,নির্ভুলতা স্ক্যানিং
অভ্যাস,অনুশীলন করা
ত্বৰক কোষ*,এক্সিলারেটর সেল*
ৰঙীন লেন্স*,অ্যাক্রোমেটিক লেন্স*
অৰঙীন*,অ্যাক্রোমেটিক*
ৰঙীন বিশ্লেষক,অ্যাক্রোম্যাটিক বিশ্লেষক
ফ্ৰিকুৱেন্সি নিউট্ৰেল এন্টেনা,ফ্রিকোয়েন্সি নিরপেক্ষ অ্যান্টেনা
ৰঙীন আকৃতি,অ্যাক্রোমেটিক আকৃতি
achromatic ফ্ৰিঞ্জ,অ্যাক্রোম্যাটিক ফ্রিঞ্জ
ৰঙীন লেন্স*,অ্যাক্রোমেটিক লেন্স*
ৰঙীন বিন্দু পথ,অ্যাক্রোম্যাটিক পয়েন্ট পাথ
ৰঙীন লেন্স,অ্যাক্রোম্যাটিক লেন্স
ৰঙীন প্ৰিজম,অ্যাক্রোমেটিক প্রিজম
achromatic টেলিস্কোপ,অ্যাক্রোম্যাটিক টেলিস্কোপ
achromaticity*,বর্ণহীনতা*
achromatization*,অ্যাক্রোমাটাইজেশন*
achromaticity*,বর্ণহীনতা*
"ইলাষ্টিক, অপ্ৰতিৰোধক, অবাধ্য","স্থিতিস্থাপক, অবাধ্য, অবাধ্য"
"একৰ্ণ নলী, বঞ্জু নলী","আকর্ণ হোস, বানজু হোস"
ক্ষুদ্ৰ ভালভ,ক্ষুদ্রাকৃতির ভালভ
প্ৰতিধ্বনি,ইকোফোনি
একাউষ্টিক,শাব্দিক
ধ্বনি শোষণ ক্ষমতা,শাব্দ শোষণ
শব্দৰ ক্ষীণকৰণ সহগ,অ্যাকোস্টিক অ্যাটেন্যুয়েশন সহগ
শব্দৰ ক্ষীণকৰণ,অ্যাকোস্টিক অ্যাটেন্যুয়েশন
একাউষ্টিক চোৰ এলাৰ্ম,শাব্দ চোর অ্যালার্ম
ধ্বনিযুক্ত ধাৰণক্ষমতা,অ্যাকোস্টিক ক্যাপাসিট্যান্স
শ্ৰৱণ কেন্দ্ৰ,শ্রবণ কেন্দ্র
ধ্বনিগত ব্যাখ্যা,শাব্দ ব্যাখ্যা
একাউষ্টিক কভাৰ,শাব্দ আবরণ
ধ্বনিগত প্ৰতিক্ৰিয়া,শাব্দ প্রতিক্রিয়া
ধ্বনি উপাদান,শাব্দিক উপাদান
ধ্বনি পৰিবাহীতা,শাব্দ পরিবাহিতা
একাউষ্টিক ডেম্পিং,শাব্দ স্যাঁতসেঁতে
ধ্বনিগত বিক্ষিপ্ততা,শাব্দ বিচ্ছুরণ
শব্দ হেকাৰ,শব্দ হ্যাকার
ধ্বনি শক্তি*,শাব্দ শক্তি*
ধ্বনি শক্তি সমীকৰণ,শাব্দ শক্তি সমীকরণ
ধ্বনি সমীকৰণ,শাব্দিক সমীকরণ
শব্দ পুনৰুদ্ধাৰ,শাব্দ পুনঃস্থাপন
ক্লেডনি আকৃতি,ক্ল্যাডনি আকার
একাউষ্টিক ফিল্টাৰ,শাব্দ ফিল্টার
শব্দ উৎপাদক,শব্দ জেনারেটর
একাউষ্টিক গ্ৰেটিং,শাব্দ ঝাঁঝরি
একাউষ্টিক ইম্পিডেন্স*,শব্দের সংরোধ*
শব্দৰ জড়তা,শাব্দিক জড়তা
শব্দৰ তীব্ৰতা,শাব্দ তীব্রতা
শব্দৰ হস্তক্ষেপ মিটাৰ,শাব্দ হস্তক্ষেপ মিটার
একাউষ্টিক ইন্টাৰফেৰেন্স ডিটেক্টৰ,শাব্দ হস্তক্ষেপ আবিষ্কারক
একাউষ্টিক লেন্স,শাব্দ লেন্স
শব্দ ৰেখা,শব্দ লাইন
ধ্বনিযুক্ত ভৰ,শাব্দ ভর
ধ্বনিগত পদাৰ্থ,শাব্দ উপাদান
শব্দৰ অৰ্থ মুক্ত পথ,অ্যাকোস্টিক মানে মুক্ত পথ
একাউষ্টিক মোড,শাব্দ মোড
শব্দৰ শব্দ,শাব্দিক শব্দ
ধ্বনিযুক্ত ওম*,শাব্দিক ওহম*
"একাউষ্টিক পেনেল, একাউষ্টিক বৰ্ড","অ্যাকোস্টিক প্যানেল, অ্যাকোস্টিক বোর্ড"
ধ্বনি পৰ্যায় ধ্ৰুৱক,শাব্দ ফেজ ধ্রুবক
একাউষ্টিক ৰিচিভাৰ,শাব্দ রিসিভার
শব্দৰ চাপ,শাব্দ চাপ
শব্দৰ প্ৰতিসমতা নিয়ম,শব্দের প্রতিসাম্য নিয়ম
শব্দ সংক্ৰমণ,শাব্দ সংক্রমণ
ধ্বনিগত ধৰ্ম,শাব্দ বৈশিষ্ট্য
ধ্বনিযুক্ত চতুৰ্ভুজ,শাব্দ চতুর্ভুজ
ধ্বনি বিকিৰণ মৌল,শাব্দ বিকিরণ উপাদান
ধ্বনি বিকিৰণ,শাব্দ বিকিরণ
শব্দ নিবাৰণ,শব্দরোধী
একাউষ্টিক ৰেডিঅ&#39;মিটাৰ,অ্যাকোস্টিক রেডিওমিটার
ধ্বনিগত প্ৰতিক্ৰিয়া,শাব্দ প্রতিক্রিয়া
ধ্বনিগত পাৰস্পৰিকতা উপপাদ্য,অ্যাকোস্টিক পারস্পরিক তত্ত্ব
শব্দ হ্ৰাস কাৰক,শাব্দ হ্রাস ফ্যাক্টর
ধ্বনি প্ৰতিফলন সহগ,শাব্দ প্রতিফলন সহগ
ধ্বনি বিবৰ্তন,শাব্দ প্রতিসরণ
শব্দ প্ৰতিৰোধ ক্ষমতা,শাব্দ প্রতিরোধের
ধ্বনিগত প্ৰতিক্ৰিয়া,শাব্দ প্রতিক্রিয়া
ধ্বনিগত বিক্ষিপ্ততা,শাব্দ বিচ্ছুরণ
শুনা বিন্দু,শ্রবণ বিন্দু
শব্দৰ কঠিনতা,শাব্দিক অনমনীয়তা
শব্দ ব্যৱস্থা,শাব্দ ব্যবস্থা
একাউষ্টিক থাৰ্মোমিটাৰ,শাব্দ থার্মোমিটার
শব্দৰ বেগ,শাব্দ বেগ
শব্দ তৰংগ,শব্দ - তরঙ্গ
একাউষ্টিক,শাব্দিক
শব্দ শোষণ সহগ,শব্দ শোষণ সহগ
শব্দ শোষণ উপাদান,শব্দ শোষণ উপাদান
একাউষ্টিক বৰ্তনী,শাব্দ সার্কিট
ধ্বনিগত প্ৰতিক্ৰিয়া,শাব্দ প্রতিক্রিয়া
শব্দ বিলম্ব ৰেখা,শাব্দ বিলম্ব লাইন
ধ্বনিগত বিকৃতি,শাব্দ বিকৃতি
একাউষ্টিক একাউষ্টিক,শাব্দিক ধ্বনিবিদ্যা
একাউষ্টিক ফিল্টাৰ,শাব্দ ফিল্টার
একাউষ্টিক ইম্পিডেন্স*,শব্দের সংরোধ*
ফ&#39;ন&#39;গ্ৰাফ,ফোনোগ্রাফ
ধ্বনিযুক্ত ওম*,শাব্দিক ওহম*
ধ্বনি ধ্ৰুৱক,শাব্দিক ধ্রুবক
একাউষ্টিক ফ&#39;নন,শাব্দিক ফোনন
ধ্বনি সংবহন ধ্ৰুৱক,শাব্দ সংক্রমণ ধ্রুবক
শব্দ পৰিৱৰ্তন সহগ,শব্দ পরিবর্তন সহগ
শব্দ প্ৰতিৰোধ ক্ষমতা,শাব্দ প্রতিরোধের
শব্দৰ কঠিনতা,শাব্দিক অনমনীয়তা
শব্দ একক,শব্দ ইউনিট
শব্দ নিবাৰণ,শব্দরোধী
একাউষ্টিক চাইড লাইন,শাব্দ পার্শ্ব লাইন
"শব্দবিজ্ঞান, ধ্বনিবিজ্ঞান","ধ্বনিবিদ্যা, ধ্বনিবিদ্যা"
শব্দ মিটাৰ,শব্দ মিটার
শব্দৰ চাপ,শব্দ চাপ
অধিগ্ৰহণ ৰাডাৰ,অধিগ্রহণ রাডার
সালোক সংশ্লেষণ বিকিৰণ,সালোকসংশ্লেষী বিকিরণ
এক্টিনিয়াম নিৰ্গমন,অ্যাক্টিনিয়াম নির্গমন
এক্টিনো-ইউৰেনিয়াম,অ্যাক্টিনো-ইউরেনিয়াম
এক্টিনো-ইউৰেনিয়াম শৃংখলা,অ্যাক্টিনো-ইউরেনিয়াম সিরিজ
ৰেডিঅ&#39;ইলেক্ট্ৰিক,তেজস্ক্রিয়
"এক্টিনোমিটাৰ, ফটোমাইক্ৰ&#39;মিটাৰ","অ্যাক্টিনোমিটার, ফটোমাইক্রোমিটার"
"কাৰ্য্য, কাৰ্য্য","কর্ম, কাজ"
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,কর্ম এবং প্রতিক্রিয়া
ক্ৰিয়া ধ্ৰুৱক,কর্ম ধ্রুবক
প্ৰভাৱৰ ক্ষেত্ৰ,প্রভাব গোলক
"সক্ৰিয় কৰা হৈছে, সক্ৰিয় কৰা হৈছে","সক্রিয়, সক্রিয়"
সক্ৰিয় প্ৰসাৰণ,সক্রিয় বিস্তার
"সক্ৰিয় কৰা ফাইবাৰ, সক্ৰিয় কৰা ফাইবাৰ","সক্রিয় ফাইবার, সক্রিয় ফাইবার"
সক্ৰিয়কৰণ প্ৰভাৱ,সক্রিয়করণ প্রভাব
সক্ৰিয়কৰণ প্ৰভাৱ,সক্রিয়করণ প্রভাব
সক্ৰিয়কৰণ বিশ্লেষণ,সক্রিয়করণ বিশ্লেষণ
কাৰ্য্যকলাপ কেন্দ্ৰ,কার্যকলাপ কেন্দ্র
সক্ৰিয়কৰণ পৰীক্ষক,সক্রিয়করণ পরীক্ষক
সক্ৰিয়কৰণ শক্তি,অ্যাক্টিভেশন শক্তি
সক্ৰিয়কৰণ এণ্ট্ৰপি,সক্রিয়করণ এনট্রপি
সক্ৰিয়কৰণ অতিভোল্টেজ,সক্রিয়করণ ওভারভোল্টেজ
সক্ৰিয়কৰণৰ হাৰ,সক্রিয়করণ হার
"সক্ৰিয়কৰ্তা, সক্ৰিয়কৰ্তা","সক্রিয়কারী, সক্রিয়কারী"
সক্ৰিয়কৰ্তা পৰমাণু,অ্যাক্টিভেটর পরমাণু
ত্বৰণকাৰী,এক্সিলারেটর
সক্ৰিয় শোষণ,সক্রিয় শোষণ
সক্ৰিয় আকাশী,সক্রিয় বায়বীয়
বিকিৰণৰ বিপদজনক অঞ্চল,বিকিরণ বিপদ অঞ্চল
সক্ৰিয় ডিভাইচ,সক্রিয় ডিভাইস
সক্ৰিয় লক্ষ্য নিৰ্ধাৰণ,সক্রিয় টার্গেটিং
সক্ৰিয় হাইড্ৰজেন*,সক্রিয় হাইড্রোজেন*
সক্ৰিয় জাল,সক্রিয় জাল
সক্ৰিয় ৰেখা সক্ৰিয় ৰেখা,সক্রিয় লাইন সক্রিয় লাইন
সক্ৰিয় লুপ,সক্রিয় লুপ
সক্ৰিয় ক&#39;ড*,সক্রিয় কোড*
সক্ৰিয় উপাদান,সক্রিয় উপাদান
সক্ৰিয় অণু,সক্রিয় অণু
সক্ৰিয় জাল,সক্রিয় জাল
সক্ৰিয় পুনৰ শোষণ,সক্রিয় পুনর্শোষণ
সক্ৰিয় অঞ্চল,সক্রিয় এলাকা
সক্ৰিয় নিয়ন্ত্ৰণ,সক্রিয় নিয়ন্ত্রণ
সক্ৰিয় উপগ্ৰহ,সক্রিয় স্যাটেলাইট
সক্ৰিয় বিভাজনশীল সৌৰ শিখা,সক্রিয় বিচ্ছিন্ন সৌর শিখা
সক্ৰিয় অণুপুষ্টিকৰ উপাদান,সক্রিয় মাইক্রোনিউট্রিয়েন্ট
সক্ৰিয় অনুসৰণ ব্যৱস্থা,সক্রিয় ট্র্যাকিং সিস্টেম
সক্ৰিয় ট্ৰেন্সডুচাৰ,সক্রিয় ট্রান্সডুসার
