Odiya,Tamil
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,நுழைவு கட்டுப்பாடு
ସ୍କାନିଂ ଆକ୍ସେସ୍ କରନ୍ତୁ |,அணுகல் ஸ்கேனிங்
ଆନୁଷଙ୍ଗିକ,பாகங்கள்
ହିସାବ,கணக்கியல்
"1. ଖାତା ID, 2 ଆକାଉଣ୍ଟିଂ ପରିଚୟ","1. கணக்கு ஐடி, 2. கணக்கியல் அடையாளம்"
ଜମାକାରୀ,திரட்டி
"1. ସଠିକତା, 2 ସଠିକତା","1. துல்லியம், 2. துல்லியம்"
ପ୍ରବେଶ,அணுகல்
ଆକ୍ସେସ୍ କଣ୍ଟ୍ରୋଲ୍ ବାଇଟ୍ |,அணுகல் கட்டுப்பாட்டு பைட்டுகள்
ପ୍ରବେଶ ସୂଚକ,அணுகல் காட்டி
ପ୍ରବେଶ କୀ,அணுகல் விசை
"1. ଆକ୍ସେସ୍ ମ୍ୟାଟ୍ରିକ୍ସ, 2 ମ୍ୟାଟ୍ରିକ୍ସ ଆକ୍ସେସ୍ କରନ୍ତୁ |","1. அணுகல் அணி, 2. அணுகல் அணி"
ପ୍ରବେଶ ମୋଡ୍,அணுகல் முறை
ସୁବିଧା ପ୍ରବେଶ,அணுகல் சலுகைகள்
ସୁରକ୍ଷା ପ୍ରବେଶ କରନ୍ତୁ |,அணுகல் பாதுகாப்பு
"1. ଆକ୍ସେସ୍ ସର୍ଭର, 2 ସର୍ଭରକୁ ପ୍ରବେଶ କରନ୍ତୁ |","1. அணுகல் சேவையகம், 2. அணுகல் சர்வர்"
ପ୍ରବେଶ ସମୟ,அணுகல் நேரம்
ସ୍ୱୀକୃତି,ஒப்புகை
ଆକାଶବାଣୀ,ஒலியியல்
"1. ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ, 2. ସଂକ୍ଷିପ୍ତକରଣ, 3 ଠାରୁ ଛୋଟ","1. சுருக்கம், 2. சுருக்கம், 3. இருந்து குறுகிய"
କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |,செயல் செய்தி
ସକ୍ରିୟ,செயல்படுத்துதல்
ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା |,செயலில் உள்ள சர்வர் பக்கம்
ସକ୍ରିୟ ସଂସ୍କରଣ |,செயலில் உள்ள பதிப்பு
acyclic,அசைக்ளிக்
"1. ଆକାଇକ୍ଲିକ୍ ଗ୍ରାଫ୍, 2 acyclic ଗ୍ରାଫ୍ |","1. அசைக்ளிக் வரைபடம், 2. அசைக்ளிக் வரைபடம்"
ଅଦା କମ୍ପ୍ୟୁଟର ଭାଷା |,அட கணினி மொழி
"1. ଅପ୍ଟିମାଇଜର୍, 2 ଅପ୍ଟିମାଇଜର୍","1. ஆப்டிமைசர், 2. உகப்பாக்கி"
to sum),மொத்தத்தில்)
ରାଶି ଫାଇଲ୍ |,தொகை கோப்பு
"1. ଯୋଗ କାର୍ଯ୍ୟ, 2 ରାଶି କାର୍ଯ୍ୟ","1. கூட்டல் செயல்பாடு, 2. மொத்த செயல்பாடு"
ଆଡର୍,சேர்ப்பான்
ଜାଣନ୍ତୁ |,தெரியும்
ଠିକଣା ବସ୍,முகவரி பேருந்து
ଠିକଣା ଫାଇଲ୍ |,முகவரி கோப்பு
ଠିକଣା ଫର୍ମାଟ୍,முகவரி வடிவம்
ଠିକଣା ଜେନେରେଟର,முகவரி ஜெனரேட்டர்
ଠିକଣା ରେଖା,முகவரி வரி
ଠିକଣା ମ୍ୟାପିଂ,முகவரி மேப்பிங்
ଠିକଣା ସୂଚକ,முகவரி காட்டி
ଠିକଣା ରେଜିଷ୍ଟର,முகவரி பதிவு
ଠିକଣା ଭାଙ୍ଗିବା,முகவரி முறிவு
ଠିକଣା ଅନୁବାଦ,முகவரி மொழிபெயர்ப்பு
"1. ଠିକଣା ଯୋଗ୍ୟ ସ୍ମୃତି, ୨। ଠିକଣା ସ୍ମୃତି","1. முகவரி நினைவகம், 2. முகவரியிடக்கூடிய நினைவகம்"
ଠିକଣା,உரையாற்றுதல்
"1. ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ, 2 ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ |","1. போதுமான அளவுகோல்கள், 2. போதுமான அளவுகோல்"
ସଂଲଗ୍ନ,இணைப்பு
"1. ପରିଚାଳନା, 2 ନିୟନ୍ତ୍ରଣ","1. மேலாண்மை, 2. கட்டுப்பாடு"
"1. ପରିଚାଳକ, 2 ନିୟନ୍ତ୍ରକ","1. மேலாளர், 2. கட்டுப்படுத்தி"
ଆଡୋବ ଆକ୍ରୋବାଟ୍ |,அடோப் அக்ரோபேட்
ଆଡୋବ ଫଟୋସପ୍ |,அடோ போட்டோஷாப்
ABAP (ଉନ୍ନତ ବ୍ୟବସାୟ ପ୍ରୋଗ୍ରାମିଂ),ABAP (மேம்பட்ட வணிக நிரலாக்கம்)
"1. ଉନ୍ନତ ତଥ୍ୟ, ୨। ଉନ୍ନତ ତଥ୍ୟ","1. மேம்பட்ட தரவு, 2. மேம்பட்ட தரவு"
ଉନ୍ନତ ସୂଚନା ପ୍ରଣାଳୀ |,மேம்பட்ட தகவல் அமைப்பு
ଉନ୍ନତ ଜ୍ଞାନକ Technology ଶଳ (AT),மேம்பட்ட தொழில்நுட்பம் (AT)
କାର୍ଯ୍ୟ,நடவடிக்கை
ଏକୀକରଣ,திரட்டுதல்
ବାୟୁବାହୀ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ୍ |,வான்வழி கணினி அமைப்பு
aldus page-make,அல்டஸ் பக்கம்-தயாரிப்பு
ଆଲର୍ଟ ବାକ୍ସ,எச்சரிக்கை பெட்டி
algol (କମ୍ପ୍ୟୁଟର ଭାଷା),அல்கோல் (கணினி மொழி)
"1. ଆଲଗୋରିଦମ, ୨ ଆଲଗୋରିଦମ |","1. அல்காரிதம், 2. அல்காரிதம்"
"1. ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ, ୨। ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ |","1. அல்காரிதம் பகுப்பாய்வு, 2. அல்காரிதம் பகுப்பாய்வு"
ଆଲଗୋରିଦମ ଦକ୍ଷତା |,அல்காரிதம் திறன்
"1. ଏଲିୟସ୍, ୨ ଡାକନାମ, 3 ଆକା","1. எலியாஸ், 2. புனைப்பெயர், 3. aka"
ଶ୍ରେଣୀବଦ୍ଧତା |,சீரமைப்பு
"1. ବଣ୍ଟନ, ୨ ଆବଣ୍ଟନ","1. ஒதுக்கீடு, 2. ஒதுக்கீடு"
"1. ବର୍ଣ୍ଣାନୁକ୍ରମିକ, ୨ ବର୍ଣ୍ଣାନୁକ୍ରମିକ କ୍ରମ |","1. அகரவரிசை, 2. அகரவரிசையில்"
ବର୍ଣ୍ଣମାଳା,எண்ணெழுத்து
"1. ବର୍ଣ୍ଣମାଳା କୀବୋର୍ଡ୍, 2 ବର୍ଣ୍ଣମାଳା କୀବୋର୍ଡ୍ |","1. எண்ணெழுத்து விசைப்பலகை, 2. எண்ணெழுத்து விசைப்பலகை"
ଆଲଫା-ପରୀକ୍ଷା (ପ୍ରଥମ ସ୍ତର ପରୀକ୍ଷା),ஆல்பா-சோதனை (1 வது நிலை சோதனை)
"1. ଆଲଫା ସଂସ୍କରଣ, ୨ ଆଲଫା ଫର୍ମ |","1. ஆல்பா பதிப்பு, 2. ஆல்பா வடிவம்"
alt କି,alt விசை
altavista,அல்டாவிஸ்டா
ବହୁଗୁଣ,பன்முகத்தன்மை
ଅସ୍ପଷ୍ଟ ବ୍ୟାକରଣ,தெளிவற்ற இலக்கணம்
ଆମେରିକୀୟ ନ୍ୟାସନାଲ ଷ୍ଟାଣ୍ଡିସ୍ ଇନଷ୍ଟିଚ୍ୟୁଟ୍ (ANSI),அமெரிக்க தேசிய ஸ்டேண்டீஸ் நிறுவனம் (ANSI)
ଆମେରିକୀୟ ଷ୍ଟାଣ୍ଡାର୍ଡ କଟ୍ (ascii),அமெரிக்கன் ஸ்டாண்டர்ட் கட் (ascii)
"1. ଅନୁରୂପ, 2 analog","1. ஒத்த, 2. அனலாக்"
"1. ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର, 2. ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |","1. அனலாக் கணினி, 2. அனலாக் கணினி"
"1. ଆନାଗଲ୍ ଡିଭାଇସ୍, 2 analog ଉପକରଣ","1. அனலாக் சாதனம், 2. அனலாக் சாதனம்"
"1. ଆନାଗଲ୍ ମୋଡେମ୍, ୨ ଆନାଗଲ୍ ମୋଡେମ୍ |","1. அனலாக் மோடம், 2. அனலாக் மோடம்"
ଡିଜିଟାଲ୍ କନଭର୍ଟର ସହିତ ଅନୁରୂପ |,டிஜிட்டல் மாற்றிக்கு அனலாக்
ଶେଷ (ଡିଜିଟାଲ୍ / ବିମାନ ତର୍କ &#39;ଏବଂ&#39; ବ୍ୟବହୃତ),முடிவு (டிஜிட்டல்/பிளேன் லாஜிக் &#39;மற்றும்&#39; பயன்படுத்தப்பட்டது)
ଶେଷ ସର୍କିଟ |,இறுதி சுற்று
ଶେଷ ଫାଟକ ଏବଂ ଫାଟକ |,இறுதி வாயில் மற்றும் வாயில்
ଶେଷ ନୁହେଁ ଅପରେସନ୍ (ବହିଷ୍କାର),செயல்பாடு அல்ல (விலக்கு)
"1. ଆନିମେସନ୍, 2. କମ୍ପନ |","1. அனிமேஷன், 2. அதிர்வு"
ଧ୍ୟାନ ଦିଅନ୍ତୁ,குறிப்பு
ଅସଙ୍ଗତି |,முரண்பாடு
ପୂର୍ବ,முந்தைய
ଆଶାକର୍ମୀ ପେଜିଂ |,முன்கூட்டிய பேஜிங்
କାଉଣ୍ଟର-ସିମେଟ୍ରିକ୍ |,எதிர்-சமச்சீர்
ଆଣ୍ଟିଭାଇରାଲ୍ ପ୍ରୋଗ୍ରାମ୍ |,வைரஸ் தடுப்பு திட்டம்
"1. ଆପଲେଟ୍, 2 ପ୍ରୟୋଗ","1. ஆப்லெட், 2. விண்ணப்பம்"
ପ୍ରୟୋଗ ବିକାଶକାରୀ |,பயன்பாட்டு டெவலப்பர்
ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ,பயன்பாட்டு நிரலாக்கம்
"1. ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ ଇଣ୍ଟରଫେସ୍, 2 ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ ଇଣ୍ଟରଫେସ୍ (API)","1. பயன்பாட்டு நிரலாக்க இடைமுகம், 2. பயன்பாட்டு நிரலாக்க இடைமுகம் (API)"
ପ୍ରୟୋଗ ସଫ୍ଟୱେର୍,பயன்பாட்டு மென்பொருள்
ପ୍ରୟୋଗ ଭାଷା,பயன்பாட்டு மொழி
ଆନୁମାନିକ ନୀତି,தோராயக் கொள்கை
ଗଠନ,கட்டமைப்பு
କ୍ଷେତ୍ର ସ୍ଥାନାନ୍ତର,புல பரிமாற்றம்
"1. ପାରାମିଟର, ସ୍ independent ାଧୀନ ଭେରିଏବଲ୍, 2. କୋଣ","1. அளவுரு, சுயாதீன மாறி, 2. கோணம்"
"1. ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ, ୨। ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ |","1. எண்கணிதம் மற்றும் தர்க்கவியல் அலகு, 2. எண்கணிதம் மற்றும் தர்க்கவியல் அலகு"
ଗାଣିତିକ ଯାଞ୍ଚ |,எண்கணித சரிபார்ப்பு
ଗାଣିତିକ ସ୍ଥିର |,எண்கணித மாறிலி
ଗାଣିତିକ ତଥ୍ୟ,எண்கணித தரவு
ଗାଣିତିକ ନିର୍ଦ୍ଦେଶ,எண்கணித அறிவுரை
ଗାଣିତିକ ଏବଂ ଲଜିକାଲ୍ ୟୁନିଟ୍ (ALU),கணிதம் மற்றும் தருக்க அலகு (ALU)
ARPA ନେଟ (RPNet),ARPA Net (RPNet)
ଆରେ,வரிசை
"1. ଆରେ କ୍ୟାଚ୍, 2 ଆରେ ଗତି, 3 ଆରେ ମେମୋରୀ","1. வரிசை கேச், 2. வரிசை வேகம், 3. வரிசை நினைவகம்"
ଆରେ କମ୍ପ୍ୟୁଟର |,வரிசை கணினி
ଆରେ ଉପାଦାନ |,வரிசை உறுப்பு
ଆରେ ନାମ,வரிசை பெயர்
ଆରେ ସଞ୍ଚାଳକ,வரிசை செயலி
ତୀର କି,அம்புக்குறி விசை
ଚୁକ୍ତି,ஒப்பந்தம்
ଜଙ୍କସନ୍ ପଏଣ୍ଟ |,சந்திப்பு முனை
କୃତ୍ରିମ ସଙ୍କୋଚନ |,செயற்கை சுருக்கம்
କୃତ୍ରିମ ନିୟନ୍ତ୍ରଣ |,செயற்கை கட்டுப்பாடு
କୃତ୍ରିମ ଅର୍ଥ |,செயற்கை உணர்வு
ଆରୋହଣ,ஏற்ற
ଆରୋହଣ କ୍ରମ,ஏறும் வகை
ascii ବର୍ଣ୍ଣମାଳା |,ascii எழுத்துக்கள்
ascii ନିୟନ୍ତ୍ରଣ ପ୍ରତୀକ |,ascii கட்டுப்பாட்டு சின்னம்
ascii ଫାଇଲ୍ |,ascii கோப்பு
ascii ଫଣ୍ଟ,ascii எழுத்துரு
ASCII ସ୍ଥାନାନ୍ତର |,ASCII பரிமாற்றம்
ଆନୁମାନିକ ଅନୁପାତ,விகிதம்
"1. ଆସ୍ପି, ୨ ASPI","1. ஆஸ்பி, 2. ASPI"
ଏକ S R କାଲାଡ୍ |,ஏ எஸ் ஆர் கலாட்
"1. ସ୍ମରଣ, ୨ ଏକତ୍ରିତ, 3 ଏକତ୍ର ହେବା","1. நினைவாற்றல், 2. அசெம்பிளிங், 3. ஒன்று சேர்க்க"
"1. ଏକତ୍ରକାରୀ, 2 ସ୍ମରଣୀୟ","1. அசெம்பிளர், 2. நினைவூட்டல்"
"1. ଏକତ୍ର ହେବା, 2 ସ୍ମରଣ","1. அசெம்பிளிங், 2. நினைவு"
"1. ସ୍ମୃତି ଭାଷା, ୨। ଭାଷା ଏକତ୍ର କରିବା |","1. மனப்பாடம் மொழி, 2. ஒருங்கிணைக்கும் மொழி"
ନିଷ୍ଠା,உறுதியை
"1. ନିର୍ଦ୍ଦିଷ୍ଟ କାର୍ଯ୍ୟ, 2 ଆବଣ୍ଟନ","1. குறிப்பிட்ட வேலை, 2. ஒதுக்கீடு"
ସାଥୀତା,தோழமை
ସହଯୋଗୀ ଠିକଣା,துணை முகவரி
"1. ଆସୋସିଏଟିଭ୍ ମେମୋରୀ, 2 ସହଯୋଗୀ ସ୍ମୃତି","1. துணை நினைவகம், 2. துணை நினைவகம்"
ନକ୍ଷତ୍ର (* ଚିହ୍ନ),நட்சத்திரம் (* அடையாளம்)
ଅସୀମିତ |,சமச்சீரற்ற
"1. ଅସନ୍ତୁଳିତ, 2 ଅସନ୍ତୁଳିତ |","1. ஒத்திசைவற்ற, 2. ஒத்திசைவற்ற"
ଅସନ୍ତୁଳିତ ଡିଜିଟାଲ୍ ସବସ୍କ୍ରାଇବର ଲାଇନ (ADSL),ஒத்திசைவற்ற டிஜிட்டல் சந்தாதாரர் வரி (ADSL)
ଅସନ୍ତୁଳିତ ସମୟ ବିଭାଗ ମଲ୍ଟିପ୍ଲେସିଙ୍ଗ୍ (ATDM),ஒத்திசைவற்ற நேரப் பிரிவு மல்டிபிளெக்சிங் (ATDM)
ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର |,ஒத்திசைவற்ற பரிமாற்றம்
ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର ମୋଡ୍ (ଏଟିଏମ୍),ஒத்திசைவற்ற பரிமாற்ற முறை (ATM)
"1. ପରମାଣୁ, ୨ ପରମାନ","1. அணு, 2. பரமன்"
ସଂଲଗ୍ନିତ ଡକ୍ୟୁମେଣ୍ଟ୍ |,இணைக்கப்பட்ட ஆவணம்
"1. ସଂଲଗ୍ନ ଫାଇଲ୍ / ମିସାଇଲ୍, 2 ସଂଲଗ୍ନ ଫାଇଲ୍ |","1. இணைக்கப்பட்ட கோப்பு/ஏவுகணை, 2. இணைக்கப்பட்டுள்ள கோப்பு"
"1. ଆବଦ୍ଧ, 2 ଅନୁବନ୍ଧିତ","1. அடைப்பு, 2. இணைந்த"
"1. ଗୁଣ, 2 ବିଶେଷତା","1. பண்புகள், 2. சிறப்பு"
ଶ୍ରବଣଯୋଗ୍ୟ |,கேட்கக்கூடிய
"1. ଅଡିଟ୍ ପ୍ରୋଗ୍ରାମିଂ, 2 ପ୍ରୋଗ୍ରାମିଂ ଅଡିଟ୍ କରନ୍ତୁ |","1. தணிக்கை நிரலாக்கம், 2. தணிக்கை நிரலாக்கம்"
ଖାତା ଯାଞ୍ଚ |,கணக்கு சரிபார்ப்பு
ପଦୋନ୍ନତି,பதவி உயர்வு
ପ୍ରମାଣପତ୍ର ପ୍ରୋଟୋକଲ୍ |,சான்றிதழ் நெறிமுறை
ଲେଖକ ପଦ୍ଧତି,எழுதும் முறை
"1. ପ୍ରାଧିକରଣ, ୨ ପ୍ରାଧିକରଣ, 3 ଟ୍ରିବ୍ୟୁନାଲ","1. அதிகாரம், 2. அதிகாரம், 3. தீர்ப்பாயம்"
ଅଟୋ ଅବଷ୍ଟ୍ରାକ୍ଟ |,தானியங்கு சுருக்கம்
"1. ଅଟୋ ବୁଟିଙ୍ଗ୍, 2 ସେଲ୍ ବୁଟ୍","1. ஆட்டோ பூட்டிங், 2. சுய துவக்கம்"
ଅଟୋକ୍ୟାଡ୍ (ଏକ କମ୍ପ୍ୟୁଟର ଭାଷା),ஆட்டோகேட் (ஒரு கணினி மொழி)
ଅଟୋ ଲଗ୍ ଅନ୍ |,தானாக உள்நுழைவு
ଅଟୋମେଟା |,தானியங்கி
ସ୍ୱୟଂଚାଳିତ ତତ୍ତ୍। |,தானியங்கு கோட்பாடு
ସ୍ୱୟଂଚାଳିତ ଗଣନା,தானியங்கி கணக்கீடு
ସ୍ୱୟଂଚାଳିତ ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |,தானியங்கி தரவு செயலாக்கம்
ସ୍ୱୟଂଚାଳିତ ତ୍ରୁଟି ସଂଶୋଧନ |,தானியங்கி பிழை திருத்தம்
ଅଟୋ ଫଙ୍କସନ୍,தானியங்கு செயல்பாடு
"1. ସ୍ୱୟଂଚାଳିତ ସୂଚକାଙ୍କ, 2 ସ୍ୱୟଂଚାଳିତ ତାଲିକା |","1. தானியங்கி அட்டவணைப்படுத்தல், 2. தானியங்கி பட்டியல்"
ଅଟୋ-ସଂଗ୍ରହ କଲ୍ |,தானியங்கு சேகரிப்பு அழைப்பு
"1. ସ୍ୱୟଂଚାଳିତ ପ୍ରୋଗ୍ରାମିଂ, 2 ସ୍ୱୟଂଚାଳିତ ପ୍ରୋଗ୍ରାମିଂ |","1. தானியங்கி நிரலாக்கம், 2. தானியங்கி நிரலாக்க"
"1. ସ୍ୱୟଂଚାଳିତ ପୁନରୁଦ୍ଧାର ପ୍ରୋଗ୍ରାମ, 2. ସ୍ୱୟଂଚାଳିତ ପୁନରୁଦ୍ଧାର ପ୍ରୋଗ୍ରାମ |","1. தானியங்கி மீட்பு திட்டம், 2. தானியங்கி மீட்பு திட்டம்"
ଅଟୋ ରୁଟିନ୍ |,தானியங்கி வழக்கம்
ସ୍ୱୟଂଚାଳିତ ତନ୍ତ୍ର ପୁନରୁଦ୍ଧାର,தானியங்கி கணினி மீட்பு
"1. ସ୍ୱୟଂଚାଳିତ ଟେଲର୍ ମେସିନ୍ (ଏଟିଏମ୍), ୨ | ଆତ୍ମ ପ୍ରତ୍ୟାହାର ପାଇଁ ବ୍ୟାଙ୍କ ଏଟିଏମ୍ |","1. தானியங்கி பணம் செலுத்தும் இயந்திரங்கள் (ATM), 2. வங்கி ஏ.டி.எம்"
ସ୍ୱୟଂଚାଳିତ,தானியங்கி
"1. ଅଟୋପ୍ଲେ, 2 ଅଟୋ ଚାଲିବା |","1. ஆட்டோபிளே, 2. ஆட்டோ நடை"
କଣ୍ଠଦାନ,குரல் கொடுத்தல்
ସହକାରୀ,உதவியாளர்
ସହାୟକ ସ୍ମୃତି,துணை நினைவகம்
ସହାୟକ ଷ୍ଟୋରେଜ୍,துணை சேமிப்பு
ଉପଲବ୍ଧ ତାଲିକା |,கிடைக்கும் பட்டியல்
ଉପଲବ୍ଧ ସମୟ |,கிடைக்கும் நேரம்
ହାରାହାରି,சராசரி
AWK (ଏକ କମ୍ପ୍ୟୁଟର ନିର୍ଦ୍ଦେଶ),AWK (ஒரு கணினி கட்டளை)
ପରେ,பிறகு
ପୋଷ୍ଟ ପ୍ରୋସେସର୍ |,பின் செயலி
ପରବର୍ତ୍ତୀ କାର୍ଯ୍ୟ ବିଲୋପ |,பின்புற செயல்பாடு நீக்கம்
ପୃଷ୍ଠଭୂମି ପ୍ରକ୍ରିୟାକରଣ |,பின்னணி செயலாக்கம்
ଆନୁଷଙ୍ଗିକ ଷ୍ଟୋରଗୁଡିକ |,துணை கடைகள்
ପଛ ପ୍ୟାଚିଂ |,மீண்டும் ஒட்டுதல்
"1. ପଶ୍ଚିମ, ୨ ବ୍ୟାକସ୍ପେସ୍ |","1. மேற்கு, 2. பின்வெளி"
ବ୍ୟାକଟ୍ରାକ୍,பின்வாங்குதல்
"1. ବ୍ୟାକ୍ ଅପ୍, 2 ପରିଶୋଧ","1. காப்புப்பிரதி, 2. கொடுக்கப்படுவதுடன்"
"1. ସଂପୃକ୍ତ ସ୍ମୃତି, ୨। ବ୍ୟାକ୍ ଅପ୍ ମେମୋରୀ |","1. நிரப்பு நினைவகம், 2. காப்பு நினைவகம்"
ପଛ ତ୍ରୁଟି ସଂଶୋଧନ |,மீண்டும் பிழை திருத்தம்
(ଆୟ-ବ୍ୟୟ) ବାଲାନ୍ସ ସିଟ୍ |,(வருமானம்-செலவு) இருப்புநிலை
ବ୍ୟାଣ୍ଡେଜ୍ |,கட்டு
"1. ବ୍ୟାଣ୍ଡ ଓସାର, 2 ବ୍ୟାଣ୍ଡୱିଡଥ୍ / ସାମର୍ଥ୍ୟ |","1. பேண்ட் அகலம், 2. அலைவரிசை/திறன்"
ବ୍ୟାଙ୍କର ଆଲଗୋରିଦମ |,வங்கியாளர் வழிமுறை
"1. ବାର୍ କୋଡ୍, 2 ବାର୍ କୋଡ୍","1. பார் குறியீடு, 2. பார் குறியீடு"
ବାରକୋଡ୍ ସ୍କାନର୍ |,பட்டை குறி படிப்பான் வருடி
ବାର୍ ଗ୍ରାଫ୍ |,சட்ட வரைபடம்
ମୂଳ ଠିକଣା,அடிப்படை முகவரி
ବେସ୍ ବ୍ୟାଣ୍ଡ |,அடிப்படை இசைக்குழு
ଆଧାର ସଂଖ୍ୟା,ஆதார் எண்
ଆଧାର ଟେବୁଲ୍ |,அடிப்படை அட்டவணை
ବେସିକ୍ (ଏକ କମ୍ପ୍ୟୁଟର ଭାଷା),அடிப்படை (ஒரு கணினி மொழி)
"1. ମ Basic ଳିକ ନିୟନ୍ତ୍ରଣ, ୨। ଆଧାର ନିୟନ୍ତ୍ରଣ |","1. அடிப்படை கட்டுப்பாடு, 2. அடிப்படை கட்டுப்பாடு"
"1. ମୂଳ ବିନିଯୋଗ, ୨। ମୂଳ ବିନିଯୋଗ |","1. அசல் முதலீடு, 2. அடிப்படை முதலீடு"
ମ basic ଳିକ ନିର୍ଦ୍ଦେଶ,அடிப்படை அறிவுறுத்தல்
ମୂଳ ସମସ୍ୟା |,அடிப்படை பிரச்சினை
ମ basic ଳିକ ପର୍ଯ୍ୟାୟ |,அடிப்படை நிலை
"1. ବ୍ୟାଚ୍, ୨ ଗୋଷ୍ଠୀ, 3 ବିପର୍ଯ୍ୟୟ |","1. தொகுதி, 2. குழு, 3. பேரழிவு"
"1. ବ୍ୟାଚ୍ ଫାଇଲ୍, 2 ବ୍ୟାଚ୍ ଫାଇଲ୍ |","1. தொகுதி கோப்பு, 2. தொகுதி கோப்பு"
ବ୍ୟାଚ୍ ସ୍ଥିତି,தொகுதி நிலை
"1. ବ୍ୟାଚ୍ ପ୍ରକ୍ରିୟାକରଣ, 2 ଗୋଷ୍ଠୀ ପ୍ରକ୍ରିୟାକରଣ |","1. தொகுதி செயலாக்கம், 2. குழு செயலாக்கம்"
"1. ବ୍ୟାଚ୍ ସିଷ୍ଟମ୍, 2 କାଟାପଲ୍ଟ ସିଷ୍ଟମ୍ |","1. தொகுதி அமைப்பு, 2. கவண் அமைப்பு"
baud,பாட்
ବାଉଡ୍ ହାର,பாட் விகிதம்
ବିମ୍ ବିମ୍ |,கற்றை கற்றை
"1. ନିର୍ଦ୍ଦେଶାବଳୀ, ୨ ବ୍ୟାଚ୍ ମାର୍କ","1. வழிகாட்டுதல்கள், 2. தொகுதி குறி"
ଦ୍ୱି-ଦିଗୀୟ ଯୋଗାଯୋଗ |,இருதரப்பு தொடர்பு
ସିଧାସଳଖ ଲିଙ୍କ୍ |,நேரடி இணைப்பு
ବାଇନାରୀ କୋଡ୍ |,பைனரி குறியீடு
ବାଇନାରୀ ସଂଖ୍ୟା,பைனரி இலக்கங்கள்
