Punjabi,Bengali
"ਪ੍ਰਵੇਗ ਸਹਿਣਸ਼ੀਲਤਾ, ਪ੍ਰਵੇਗ ਸਹਿਣਸ਼ੀਲਤਾ","ত্বরণ সহনশীলতা, ত্বরণ সহনশীলতা"
ਪ੍ਰਵੇਗ ਵੈਕਟਰ,ত্বরণ ভেক্টর
ਪ੍ਰਵੇਗ-ਵੋਲਟੇਜ,ত্বরণ-ভোল্টেজ
ਪ੍ਰਵੇਗ ਲਹਿਰ,ত্বরণ তরঙ্গ
ਐਕਸਲੇਟਰ,এক্সিলারেটর
"ਪ੍ਰਵੇਗ, ਪ੍ਰਵੇਗਕ *","ত্বরণ, ত্বরণক*"
ਐਕਸਲੇਟਰ ਸਮੀਕਰਨ,অ্যাক্সিলারেটর সমীকরণ
ਐਕਸਲੇਟਰ*,এক্সিলারেটর*
ਐਕਸਲੇਰੋਮੀਟਰ,অ্যাক্সিলোমিটার
ਐਕਸਲੇਰੋਮੀਟਰ ਮੇਲ ਖਾਂਦਾ ਹੈ,অ্যাক্সিলোমিটার মিল
prestresser,prestresser
ਵੈਧ ਅੱਖਰ,বৈধ অক্ষর
ਸਵੀਕ੍ਰਿਤੀ ਕੋਣ,গ্রহণযোগ্যতা কোণ
ਸਵੀਕ੍ਰਿਤੀ ਨਿਰਧਾਰਨ,গ্রহণযোগ্যতা স্পেসিফিকেশন
ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ,গ্রহণযোগ্য পরীক্ষা
"ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ*, ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ","গ্রহণকারী*, গ্রহণকারী"
ਰੀਸੈਪਟਰ ਐਟਮ,রিসেপ্টর পরমাণু
ਰੀਸੈਪਟਰ ਬਾਂਡ,রিসেপ্টর বন্ড
ਰਿਸੀਵਰ ਸਰਕਟ,রিসিভার সার্কিট
ਰੀਸੈਪਟਰ ਪੱਧਰ,রিসেপ্টর স্তর
ਦਾਨੀ ਅਣੂ,দাতা অণু
ਰੀਸੈਪਟਰ ਦੀ ਵਿਸ਼ੇਸ਼ਤਾ,রিসেপ্টর সম্পত্তি
ਰੀਸੈਪਟਰ ਸੰਪਤੀ ਦਾ ਪੱਧਰ,রিসেপ্টর সম্পত্তি স্তর
ਐਕਸਲੇਟਰ ਹੋਜ਼,অ্যাক্সিলারেটর পায়ের পাতার মোজাবিশেষ
"ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚ","অ্যাক্সেস, অপেক্ষা, অ্যাক্সেস"
ਭੁਜ ਤੱਕ ਪਹੁੰਚ ਕਰੋ,ভুজ অ্যাক্সেস করুন
ਪਹੁੰਚ ਸਿਸਟਮ,অ্যাক্সেস সিস্টেম
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,প্রবেশাধিকার সময়
ਪਹੁੰਚਯੋਗਤਾ,অ্যাক্সেসযোগ্যতা
"ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v, ), ਸਹਾਇਕ ਉਪਕਰਣ","অতিরিক্ত, সহায়ক, আনুষঙ্গিক (v, ), আনুষাঙ্গিক"
ਵਾਧੂ ਪਾਬੰਦੀਆਂ,অতিরিক্ত সীমাবদ্ধতা
ਇਤਫ਼ਾਕ,কাকতালীয়
ਅਚਾਨਕ ਸੁਧਾਰ,আকস্মিক সংশোধন
ਦੁਰਘਟਨਾ ਦੇ ਬਾਇਓਜੇਨੇਸਿਸ,দুর্ঘটনাজনিত বায়োজেনেসিস
ਅਚਾਨਕ ਮੋੜ,আকস্মিক ডাইভারশন
ਵਿਜ਼ਟਰ ਗਲਤੀ,ভিজিটর ত্রুটি
"ਅਚਾਨਕ ਰੁਕਣਾ, ਅਚਾਨਕ ਰੁਕਣਾ","হঠাৎ বন্ধ, হঠাৎ বাতা"
ਦੁਰਘਟਨਾ ਸੰਚਾਰ,দুর্ঘটনাজনিত সংক্রমণ
ਬੇਤਰਤੀਬ ਪਰਿਵਰਤਨ,এলোমেলো পার্থক্য
ਵਿਵਸਥਾ,সমন্বয়
ਸਥਿਤੀ ਵਿੱਚ,অবস্থিত
ਸੰਚਿਤ ਗਲਤੀ,সঞ্চিত ত্রুটি
"ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ","accumulation, accumulation"
ਊਰਜਾ ਸਟੋਰੇਜ਼,শক্তি সঞ্চয়
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ*,সঞ্চয়ক*
ਸ਼ੁੱਧਤਾ,সঠিকতা
ਅਸਲੀਅਤ,বাস্তবতা
ਅਸਲ ਸਾਧਨ ਨਿਰੀਖਣ,বাস্তব যন্ত্র পর্যবেক্ষণ
ਸਟੀਕ ਰੇਂਜ ਮਾਰਕਰ,সঠিক পরিসীমা চিহ্নিতকারী
ਸ਼ੁੱਧਤਾ ਸਕੈਨਿੰਗ,নির্ভুলতা স্ক্যানিং
ਅਭਿਆਸ,অনুশীলন করা
ਐਕਸਲੇਟਰ ਸੈੱਲ*,এক্সিলারেটর সেল*
ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ*,অ্যাক্রোমেটিক লেন্স*
ਅਕ੍ਰੋਮੈਟਿਕ*,অ্যাক্রোমেটিক*
ਅਕ੍ਰੋਮੈਟਿਕ ਵਿਸ਼ਲੇਸ਼ਕ,অ্যাক্রোম্যাটিক বিশ্লেষক
ਬਾਰੰਬਾਰਤਾ ਨਿਰਪੱਖ antenna,ফ্রিকোয়েন্সি নিরপেক্ষ অ্যান্টেনা
ਅਕ੍ਰੋਮੈਟਿਕ ਸ਼ਕਲ,অ্যাক্রোমেটিক আকৃতি
ਅਕ੍ਰੋਮੈਟਿਕ ਫਰਿੰਜ,অ্যাক্রোম্যাটিক ফ্রিঞ্জ
ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ*,অ্যাক্রোমেটিক লেন্স*
ਅਕ੍ਰੋਮੈਟਿਕ ਬਿੰਦੂ ਮਾਰਗ,অ্যাক্রোম্যাটিক পয়েন্ট পাথ
ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ,অ্যাক্রোম্যাটিক লেন্স
ਅਕ੍ਰੋਮੈਟਿਕ ਪ੍ਰਿਜ਼ਮ,অ্যাক্রোমেটিক প্রিজম
ਅਕ੍ਰੋਮੈਟਿਕ ਦੂਰਬੀਨ,অ্যাক্রোম্যাটিক টেলিস্কোপ
ਰੰਗੀਨਤਾ*,বর্ণহীনতা*
ਅਕ੍ਰੋਮੈਟਾਈਜ਼ੇਸ਼ਨ*,অ্যাক্রোমাটাইজেশন*
ਰੰਗੀਨਤਾ*,বর্ণহীনতা*
"ਲਚਕੀਲੇ, ਅਪ੍ਰਤੱਖ, ਲਚਕੀਲੇ","স্থিতিস্থাপক, অবাধ্য, অবাধ্য"
"ਐਕੋਰਨ ਹੋਜ਼, ਬੰਜੂ ਹੋਜ਼","আকর্ণ হোস, বানজু হোস"
ਛੋਟੇ ਵਾਲਵ,ক্ষুদ্রাকৃতির ভালভ
akophony,ইকোফোনি
ਧੁਨੀ,শাব্দিক
ਧੁਨੀ ਸਮਾਈ,শাব্দ শোষণ
ਐਕੋਸਟਿਕ ਐਟੀਨਯੂਏਸ਼ਨ ਗੁਣਾਂਕ,অ্যাকোস্টিক অ্যাটেন্যুয়েশন সহগ
ਧੁਨੀ ਧਿਆਨ,অ্যাকোস্টিক অ্যাটেন্যুয়েশন
ਧੁਨੀ ਚੋਰ ਅਲਾਰਮ,শাব্দ চোর অ্যালার্ম
ਧੁਨੀ ਸਮਰੱਥਾ,অ্যাকোস্টিক ক্যাপাসিট্যান্স
ਸੁਣਵਾਈ ਕੇਂਦਰ,শ্রবণ কেন্দ্র
ਧੁਨੀ ਵਿਆਖਿਆ,শাব্দ ব্যাখ্যা
ਧੁਨੀ ਕਵਰ,শাব্দ আবরণ
ਧੁਨੀ ਜਵਾਬ,শাব্দ প্রতিক্রিয়া
ਧੁਨੀ ਭਾਗ,শাব্দিক উপাদান
ਧੁਨੀ ਚਾਲਕਤਾ,শাব্দ পরিবাহিতা
ਧੁਨੀ ਗਿੱਲਾ,শাব্দ স্যাঁতসেঁতে
ਧੁਨੀ ਫੈਲਾਅ,শাব্দ বিচ্ছুরণ
ਆਵਾਜ਼ ਹੈਕਰ,শব্দ হ্যাকার
ਧੁਨੀ ਊਰਜਾ*,শাব্দ শক্তি*
ਧੁਨੀ ਊਰਜਾ ਸਮੀਕਰਨ,শাব্দ শক্তি সমীকরণ
ਧੁਨੀ ਸਮੀਕਰਨ,শাব্দিক সমীকরণ
ਧੁਨੀ ਬਹਾਲੀ,শাব্দ পুনঃস্থাপন
cladney ਆਕਾਰ,ক্ল্যাডনি আকার
ਧੁਨੀ ਫਿਲਟਰ,শাব্দ ফিল্টার
ਆਵਾਜ਼ ਜਨਰੇਟਰ,শব্দ জেনারেটর
ਧੁਨੀ ਗਰੇਟਿੰਗ,শাব্দ ঝাঁঝরি
ਧੁਨੀ ਰੁਕਾਵਟ*,শব্দের সংরোধ*
ਧੁਨੀ ਜੜਤਾ,শাব্দিক জড়তা
ਧੁਨੀ ਤੀਬਰਤਾ,শাব্দ তীব্রতা
ਧੁਨੀ ਦਖਲ ਮੀਟਰ,শাব্দ হস্তক্ষেপ মিটার
ਧੁਨੀ ਦਖਲ ਖੋਜੀ,শাব্দ হস্তক্ষেপ আবিষ্কারক
ਧੁਨੀ ਲੈਂਸ,শাব্দ লেন্স
ਆਵਾਜ਼ ਲਾਈਨ,শব্দ লাইন
ਧੁਨੀ ਪੁੰਜ,শাব্দ ভর
ਧੁਨੀ ਸਮੱਗਰੀ,শাব্দ উপাদান
ਧੁਨੀ ਮਤਲਬ ਮੁਕਤ ਮਾਰਗ,অ্যাকোস্টিক মানে মুক্ত পথ
ਧੁਨੀ ਮੋਡ,শাব্দ মোড
ਧੁਨੀ ਸ਼ੋਰ,শাব্দিক শব্দ
ਧੁਨੀ ਓਮ*,শাব্দিক ওহম*
"ਐਕੋਸਟਿਕ ਪੈਨਲ, ਐਕੋਸਟਿਕ ਬੋਰਡ","অ্যাকোস্টিক প্যানেল, অ্যাকোস্টিক বোর্ড"
ਧੁਨੀ ਪੜਾਅ ਸਥਿਰ,শাব্দ ফেজ ধ্রুবক
ਧੁਨੀ ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲਾ,শাব্দ রিসিভার
ਧੁਨੀ ਦਬਾਅ,শাব্দ চাপ
ਆਵਾਜ਼ ਦਾ ਸਮਰੂਪਤਾ ਨਿਯਮ,শব্দের প্রতিসাম্য নিয়ম
ਧੁਨੀ ਸੰਚਾਰ,শাব্দ সংক্রমণ
ਧੁਨੀ ਗੁਣ,শাব্দ বৈশিষ্ট্য
ਧੁਨੀ ਚਤੁਰਭੁਜ,শাব্দ চতুর্ভুজ
ਧੁਨੀ ਰੇਡੀਏਸ਼ਨ ਤੱਤ,শাব্দ বিকিরণ উপাদান
ਧੁਨੀ ਰੇਡੀਏਸ਼ਨ,শাব্দ বিকিরণ
ਸਾਊਂਡਪਰੂਫ਼,শব্দরোধী
ਧੁਨੀ ਰੇਡੀਓਮੀਟਰ,অ্যাকোস্টিক রেডিওমিটার
ਧੁਨੀ ਸਦਮਾ,শাব্দ প্রতিক্রিয়া
ਧੁਨੀ ਪਰਸਪਰ ਪ੍ਰਮੇਯ,অ্যাকোস্টিক পারস্পরিক তত্ত্ব
ਧੁਨੀ ਘਟਾਉਣ ਕਾਰਕ,শাব্দ হ্রাস ফ্যাক্টর
ਧੁਨੀ ਪ੍ਰਤੀਬਿੰਬ ਗੁਣਾਂਕ,শাব্দ প্রতিফলন সহগ
