English,Assamese
acute exposure,ফুচফুচাই কোৱা
add,সামৰণিত
addition,"যোগ, যোগ, সমষ্টি (ed.), যোগ (v.)"
additional tone,"সংযোগী সুৰ, অতিৰিক্ত সুৰ (স্বৰ)"
additive,যোগকৰণ
adhesion,আঠাযুক্ততা
adhesional energy,আঠাযুক্ত শক্তি
adiabat,আদিয়াবাট
adiabatic,adiabatic
adiathermanous,তাপ নিৰোধক
adjacent,সংলগ্ন কৰা হৈছে
adjustable,নিয়ন্ত্ৰণযোগ্য
admittance,ভেদ
adsorption,শোষণ
advanced,আগলৈ
advancing,প্ৰগতিশীল
aerial,"আকাশী, বায়ু (v.), আকাশী (ed.)"
aerial current,এন্টেনা ষ্ট্ৰিম
aerial survey,আকাশী জৰীপ
aerial velocity,বায়ুৰ বেগ
aerodynamic coefficient,বায়ুগতিশীল সহগ
aerodynamic,বায়ুগতিবিদ্যা
aerodynamics,বায়ুগতিবিদ্যা
aeronautical,এৰোনটিকেল
aeronautics,এৰোনটিক্স
aeropulse,বায়ুৰ স্পন্দন
aerosphere,"বায়ুমণ্ডল, গেছ&#39;স্ফিয়াৰ"
afocal system,ফোকাচ চিষ্টেম
after burning,বেক ইগনিচন
after glow,বেক লাইট
aftershock,জোকাৰণি
age,"বয়স, বয়স, বয়স, যুগ (ed.), সময়ক প্ৰভাৱিত কৰা (ver.), সময়, সময়ৰ দ্বাৰা প্ৰভাৱিত হোৱা"
aged,সময় প্ৰভাৱিত
ageing (aging),"বয়স বৃদ্ধি, বয়স বৃদ্ধি"
aging (=ageing),সময়ৰ প্ৰভাৱ
aging test,সময় প্ৰভাৱ পৰীক্ষা
agravic,মাধ্যাকৰ্ষণহীন
aim,মিলন
airborne radar,"বায়ুমণ্ডলীয় ৰাডাৰ, আকাশী ৰাডাৰ"
airborne target,"আকাশী লক্ষ্য, আকাশী লক্ষ্য"
air breather,বায়ু শ্বাসযন্ত্ৰ
air conditioning,এয়াৰ কণ্ডিচনাৰ
aircore transformer,এয়াৰক্ৰু ট্ৰেন্সফৰ্মাৰ
aircraft,বিমান
alignment,প্ৰান্তিককৰণ
alignment error,প্ৰান্তিককৰণৰ ভুল
alive circuit,লাইভ চাৰ্কিট
all glass tube,সম্পূৰ্ণ কাঁচৰ নলী
all metal tube,গোটেই ধাতুৰ নলী
allocate,ঠিক কৰা
alloy,"মিশ্ৰতু (সম্পা.), মিশ্ৰত্বন (ক্ৰ.)"
alloying,মিশ্ৰত্ৱন
all-pervading medium,সৰ্বব্যাপী মাধ্যম
all-wave antenna,omni এন্টেনা
almanac,আলমানাক
alpha,আলফা
alpha-activity,আলফা-কাৰ্য্যকলাপ
alphabetical,আলফানিউমেৰিক
alpha ray,আলফা ৰশ্মি
alteration,সলা
alternating,"বিকল্প, বিকল্প"
alternator,অলটাৰেটৰ
altigraph,উচ্চতামাপক
altimeter,উচ্চতামাপক
altimetry,উচ্চতা মাপকাঠী
altitude,"উচ্চতা, উচ্চতা, উচ্চতা, উচ্চতা"
ALU (Arithmatic Logic Unit),গাণিতিক যুক্তি একক (ALU)
Amagat law,amaget নিয়ম
ambient,পৰিৱেশ
amicron,amicron
amméter,এমিটাৰ
ampere,এম্পিয়াৰ
Ampere's rule,এম্পিয়াৰ-আইন
amphoteric ion,উভচৰ আয়ন
amplification,এম্প্লিফিকেশন
amplifier,এম্প্লিফায়াৰ
amplitude,"কোণ, মাত্ৰা"
a. m. u. (atomic mass unit),ক. এম ইউ. (পাৰমাণৱিক ভৰ একক)
analog (=analogue),উপযুক্ত
analogy,উপমা
analyser,বিশ্লেষক
analysis,বিশ্লেষণ
analytical,বিশ্লেষণাত্মক
anastigmatic,নন-পইন্ট
anastigmatism,অস্বাভাৱিক
AND gate,আৰু দুৱাৰ
anechoic,অ-ধ্বনিযুক্ত
anelasticity,বিষম স্থিতিস্থাপকতা
aneroid,জলহীন
angle,কোণ
Angstrom unit,angstrom একক
angular,কৌণিক
angular vernier,প্ৰট্ৰেক্টৰ vernier
anharmonic,বিতৰ্কহীন
anharmonicity,অসন্মানজনক
anhysteresis,ৰঙীন চুম্বকীয়কৰণ
anhysteretic,শিথিলতা
anion,এনিয়ন
anisodimensional,অসমতাপূৰ্ণ
anisotropic,সমতলীয়
anisotropy,সমচক্ৰীয়তা
annihilation,মচি পেলোৱা
annunciator,ষড়যন্ত্ৰকাৰী
anode,এনোড
anodize,এনোডাইজেচন
anomalous,অসামঞ্জস্যপূৰ্ণ
anoptic system,অপটিকেল চিষ্টেম
antenna,এন্টেনা
antibaryon,এন্টিবেৰিয়ান
antibinding property,এন্টি-বণ্ডিং বৈশিষ্ট্য
anitibonding,কাউণ্টাৰ বণ্ড
antiferroelectricity,ৰিভাৰ্ছ পাৱাৰ
antiferromagnetic,ডাইমেগনেটিক
antiferromagnetics,ডাইমেগনেটিক পদাৰ্থ
antifoggant,এন্টি-ইনফ্লেমেটৰী
antigravity,এন্টিগ্ৰেভিটি
anti-lambda particle,এন্টিলামডা কণা
anti-lepton,এলিলেপ্টন
antimagnetic,ডাইমেগনেটিক
antimatter,এন্টিমেটাৰ
antimissile,এন্টি মিছাইল
antineutron,এন্টিনিউট্ৰন
antinode,স্পন্দনশীল
antinucleon,এন্টিনিউক্লিয়ন
antiparticle,এন্টিপাৰটিকেল
antiproton,এন্টিপ্ৰ&#39;টন
antireflection,এন্টিৰিফ্লেক্টিভ
antisymmetric,এন্টিসিমেট্ৰিক
aperiodical,non recurring
aperiodicity,এনাক্ৰ&#39;নিজম
apertural disc,ছিদ্ৰযুক্ত স্কেনিং ডিস্ক
aperture,দ্বাৰক
apex,"ওপৰ, ওপৰ, সন্মুখ"
aphelion,"সূৰ্য্য উচ্চ, উচ্চ সূৰ্য্য"
aplanat,উদাসীন জৰী
aplanatic,অকৰুণ
aplanatism,অ-অক্ষমতা
apochromatic,অতি ৰংহীন
apogee,"ভূমি-উচ্চ, apogee"
apolar,"অমেৰু, বৃত্তাকাৰ"
apolarity,পেৰাপোলাৰিটি
apparatus,সঁজুলি
apparent,"ভাৰ্চুৱেল, দৃশ্যমান"
apparent sun,দৃশ্যমান সূৰ্য্য
apparent time,দৃশ্যমান সময়
appearance,উদীয়মান ৰূপ
appliance,দৰ্খাস্ত
applicability,প্ৰযোজ্যতা
applied,প্ৰয়োগ কৰা হৈছে
appreciable,পৰ্যবেক্ষণযোগ্য
approach,পদ্ধতি
approximate,"ওচৰত, প্ৰায়"
approximation,আনুমানিককৰণ
aqueous tension,বাষ্পৰ চাপ
arbitrary,স্বেচ্ছামূলক
arc furnace,"চাপ চুলা, চাপ চুলা"
Archimedes principle,আৰ্কিমিডিছৰ নিয়ম
architectural acoustics,স্থাপত্যৰ ধ্বনিবিজ্ঞান
arc lamp,চাপ লেম্প
arc spectrum,চাপ-বৰ্ণালী
area,"এলেকা, এলেকা"
areal,"আঞ্চলিক, আঞ্চলিক"
arm,"বাহু, বাহু, শাখা"
armature,অপেশাদার
array,"এৰে, এৰে"
arrester,ৰিচিভাৰ
articulation,উচ্চাৰণৰ স্পষ্টতা
artificial,কৃত্ৰিম
artificial transmutation,কৃত্ৰিম ৰূপান্তৰ
ascending,আৰোহী
ascension of the star,আৰোহণ
ascent,বগাই যোৱা
aspheric,আগোলি
aspherizing,একত্ৰীকৰণ
assemblage,set of
assemble,"একত্ৰিত কৰা, একত্ৰিত কৰা"
assembly (=assemblage),"একত্ৰিত কৰা, একত্ৰিত কৰা, একত্ৰিত কৰা"
assessment of accuracy,নিখুঁত অনুমান
assigned assignment (of quantum numbers),নিৰ্দিষ্ট (কোৱাণ্টাম সংখ্যাৰ) ধাৰ্য্যকৰণসমূহ
associated,"সম্পৰ্কীয়, সংযুক্ত, সংযুক্ত"
assonance,স্বৰধ্বনি
astable multivibrator (=free running multivibrator),স্বয়ংক্ৰিয় মাল্টিভাইব্ৰেটৰ
astatic,এষ্টেনিক
astigmatism,"বিৰতি, দৃষ্টিশক্তি"
astrionics,মহাকাশ ভ্ৰমণ ইলেক্ট্ৰনিকছ
astrometry,জ্যোতিৰ্পদাৰ্থ বিজ্ঞান
astronaut,মহাকাশচাৰী
astronomer,জ্যোতিৰ্বিজ্ঞানী
astronomical,আকাশী
astronomy,জ্যোতিৰ্বিজ্ঞান
astrophysics,জ্যোতিৰ্পদাৰ্থ বিজ্ঞান
asymmetrical,অসমতাপূৰ্ণ
asymptote,এছিম্পটটিক
asymptotic,গুৰুতৰ কৰি তোলা
asynchronous,এচিনক্ৰ&#39;নাছ
atmosphere,"বায়ুমণ্ডল, বায়ুমণ্ডল"
atmospheric,বায়ুমণ্ডলীয়
atmospherics,বতাহৰ অস্থিৰতা
atom,পাৰমাণৱিক
atomic,পাৰমাণৱিক
atomicity,পাৰমাণৱিকতা
atomic mass,পাৰমাণৱিক ভৰ
atomic number,পাৰমাণৱিক সংখ্যা
atomic reactor (=atomic pile),"নিউক্লিয়াৰ ৰিয়েক্টৰ, নিউক্লিয়াৰ পাইল"
atomistic,পাৰমাণৱিক
atomization,কণা
atomizer,কণা
attenuation,"attenuation, ক্ষীণকৰণ"
attenuator,"attenuating, ক্ষীণ কৰা"
attraction,আকৰ্ষণ
attractive forces,আকৰ্ষণৰ বল
audibility,শ্ৰৱণ ক্ষমতা
audio-amplifier,অডিঅ&#39; ফ্ৰিকুৱেন্সি এম্প্লিফায়াৰ
audio,শ্ৰৱণযোগ্য
audio generator,অডিঅ&#39; জেনেৰেটৰ
audiogram,শ্ৰৱণ ক্ষমতা গ্ৰাফ
audiology,শ্ৰৱণ বিজ্ঞান
audiometer,অডিঅ&#39;মিটাৰ
audio oscillator,শ্ৰৱণযোগ্য কম্পাঙ্ক দোলক
audio signal,শব্দ সংকেত
audiovisual,দৃশ্য-শ্ৰাব্য
auditorium,"অডিটৰিয়াম, অডিটৰিয়াম"
Auger effect,OZ প্ৰভাৱ
augmentation,প্ৰচাৰ
augmentor,এনহান্সাৰ
aurora,মেৰু শিখা
aurora australis,দক্ষিণ মেৰু শিখা
aurora borealis,উত্তৰ মেৰু শিখা
autoalarm,স্বয়ংক্ৰিয় সতৰ্কবাণী
autocollimator,অটো সমান্তৰালকাৰী
automatic,"স্বয়ংক্ৰিয়, স্বয়ংক্ৰিয়, স্বয়ংক্ৰিয়"
automation,"স্বয়ংক্ৰিয়কৰণ, স্বয়ংক্ৰিয়কৰণ"
auxiliary,"সহায়ক, সমবায়, অতিৰিক্ত"
avalanche,"অৱদাভা, হিমস্খলন"
average,"mean, mean"
avoidance,পৰিৱৰণ
axial,অক্ষীয়
axis,অক্ষ
azimuth,এজিমুথ
azimuthal,এজিমুথ
back,পিছলৈ
background,"পটভূমি, পটভূমি"
backlash,"পিছপৰা, পিছপৰা"
backout,ঘুৰা
back swing voltage pulser,বেক ভল্টেজ পালছাৰ
back to back connection,সম্পৰ্কৰ পিছৰ
back up,ৰিইম্বৰ্চেমেণ্ট
back voltage (Freverse voltage),এন্টি ভল্টেজ
backward scattering,পশ্চাৎ বিক্ষিপ্ততা
back wave (=spacing wave),অন্তৰ্স্থলীৰ তৰংগ
bad conductor,ইনচুলেটৰ
bail out,পেৰাচুট জাম্প
bakeout,উত্তাপন কৰা
balance,"ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য"
balancer,বেলেন্সাৰ
balancing,ভাৰসাম্যতা বজাই ৰখা
ball ended magnet,গ্ল&#39;বুল
ballistic,"বেলিষ্টিক, বেলিষ্টিক"
ballistic galvanometer,"প্ৰজেকচন গেলভেন’মিটাৰ, প্ৰজেকচন গেলভেন’মিটাৰ"
ballistic missile,মিছাইল
ballistics,"বেলিষ্টিক, অস্ত্ৰ-শস্ত্ৰ"
ballistic throw,প্ৰক্ষেপণ
ballistic trajectory,মুক্ত ট্ৰেজেক্টৰী
balloon,"বেলুন, বেলুন"
Balmer discontinuity,বালমাৰ বিচ্ছিন্নতা
band,"বেণ্ড, বেণ্ড, বেণ্ড"
bang,ফুটা
bank,"array, beam, তীৰ, পাৰ, উপকূল"
bar,"স্তম্ভ, বাৰ, কব, ব্লক, বাৰ, ৰড, বাৰ, ৮.বেৰ, ৯. ৰেখা, ১০. প্ৰান্ত, ১ ব্লক, ১, বাৰ, ১, ৰেখা, ১, পৰীক্ষা ৰেখা"
Bardeen theory,bardeen নীতি
Barkhausen effect,barkhausen প্ৰভাৱ
Barlow's wheel,barlow চক্ৰ
bar magnet,বাৰ চুম্বক
barn,ভঁৰাল
barogram,বায়ুৰ চাপৰ গ্ৰাফ
barograph,"বেৰ&#39;গ্ৰাফ, বেৰ&#39;গ্ৰাফ"
barometer,বেৰ&#39;মিটাৰ
barometry,বায়ুমণ্ডলীয় চাপ
barosphere,"ব্ৰহ্মাণ্ড, বেৰ&#39;স্ফিয়াৰ"
bar pendulum,পেণ্ডুলাম
barrier,"বাধা, পাৰমাণৱিক বাধা, পাৰমাণৱিক বাধা"
barrier layer (rectifier)=blocking layer -depletion layer =space charge layer,বাধাৰ স্তৰ
baryon,barion
barysphere,গুৰুমণ্ডল
base band,বেচ বেণ্ড
basic,"মৌলিক, মৌলিক, ক্ষাৰকীয়"
basis,ভেঁটি
batching,"গণনা, দল গঠন"
bath,"cistern, cistern, হিটাৰ, গৰম কৰা পাত্ৰ, গা ধোৱা"
battery,বেটাৰি
bay,"এৰে খণ্ড, কক্ষ, উপসাগৰ"
B-display,প্ৰদৰ্শন
beacon,কিবান
bead,"মণিকা, বিড"
beam,"ৰশ্মি, ৰশ্মি, ৰশ্মি, ট্রাম্প"
bearing,"ডিকমন, ডিকন"
beat,"ডোলে, ভিস্পেণ্ড"
Becqueral effect,becquerel প্ৰভাৱ
bell jar,ঘণ্টা জাৰ
bellow,bellows
bell shaped,ঘণ্টা ঘড়ী
bench,"বেদিকা, বেঞ্চ"
bend,"মোড, বাংক (সম্পা.), বেণ্ড (v.)"
bending,বাংকন
bent,"bent, বেঁকা"
Bernoulli's equation,বাৰ্নৌলি-সমীকৰণ
Bessel function,ভিত্তি-ফলন
best fit,শ্ৰেষ্ঠ আঠাযুক্ততা
beta (भ्),বিটা (খ)
betatron,betatron
Bethe's model,bethe মডেল
bevatron,বিভাট্ৰন
B-H curve,BH বক্ৰ
biangular,দ্বিকোণীয়া
bias,"bias, পক্ষপাতিত্ব"
biaxial,দ্বি-অক্ষীয়
bichromate cell,বাইক্ৰ&#39;মেট কোষ
biconcave,অভ্যাৱতল
biconical aerial,ডাবল এন্টেনা
biconvex,দ্বি উত্তল
bicrystal,"দ্বি-স্ফটিক, দ্বৈত-স্ফটিক"
bidirectional microphone,দ্বিমুখী মাইক্ৰ&#39;ফোন
bifactor model,দ্বিপদ আৰ্হি
bifilar,ডাইঅ&#39;ইচিয়াছ
bilateral,দ্বিপাক্ষিক
bilinear,দ্বিৰেখা
bimolecular,দ্বি আণৱিক
binary,"দ্বি-চলক, দ্বি-ভিত্তিক, দ্বৈত"
binary code,"বাইনাৰী ক&#39;ড, বাইনাৰী ক&#39;ড"
binary star,গেম ষ্টাৰ
binary system,বাইনাৰী পদ্ধতি
binaural,biparietal
binding,বান্ধোন
binocular,"বাইনোকুলাৰ, বাইনোকুলাৰ"
binode,বাইনাৰী
binomial distribution,দ্বিপদ বিতৰণ
binuclear,"দ্বিকেন্দ্ৰীয়, দ্বিকেন্দ্ৰীয়, দ্বি-নিউক্লিয়েট"
biodynamics,জৈৱগতিবিদ্যা
bioelectronics,বায়&#39; ইলেক্ট্ৰনিক্স
biophysicist,জৈৱপদাৰ্থবিজ্ঞানী
biophysics,জৈৱপদাৰ্থ বিজ্ঞান
biosatellite,জৈৱিক উপগ্ৰহ
bioscope,"চিনেমাটোগ্ৰাফাৰ, বায়স্কোপ"
Biot-Savart'law,বায়&#39;-ছাভাৰ্ট নিয়ম
biphase current,দ্বিফেজিক কাৰেণ্ট
bipolar,ডাইপোল
biprism,"বাইপ্ৰিজম, বাইপ্ৰিজম"
biquartz,"বাইকোৱাৰ্টছ, বাইকোৱাৰ্ট"
bistable characteristics,দ্বিপৰ্যায়ৰ আখৰ
bistable multivibrator,দুটা পৰ্যায়ৰ মাল্টিভাইব্ৰেটৰ
bit,"ড্ৱায়াংক* (বাইনাৰী সংখ্যা), বাৰ্মিজ, অনি, টুক"
black,"ক&#39;লা, কৃষ্ণ"
black body,ক&#39;লা শৰীৰ
black light,অদৃশ্য পোহৰ
black out,timirayan ৰেডিঅ&#39; timirayan
black out pulse (=blanking pulse),ইজেকচন পালছ
black out voltage (=cut of bias),end bias
black radiation,ক&#39;লা বিকিৰণ
blank,"অসম্পূৰ্ণ, খালী"
blanketing,আৱৰণ
blanking,বাতিল কৰা
blast,"বিস্ফোৰণ, বিস্ফোৰণ, ধুমুহা"
bleeder,"সবিকা, ব্লিডাৰ, সবি"
blind,"ছদ্মবেশত, অন্ধ"
Bloch theorem,ব্লকৰ উপপাদ্য
blocking,"ব্লক, ব্লক, ব্লক"
blow,"blow, blow, আঘাত কৰা"
blue print,নীলা প্ৰিন্ট
blur circle,অস্পষ্টতা বৃত্ত
blurred,তৰংগ
bob,"বল, গোলক, লকেট"
body,"শৰীৰ, বস্তু"
body capacitance,শাৰীৰিক ক্ষমতা
body centred,কেন্দ্ৰীভূত
body diagonal,"শৰীৰ-তিৰ্যক, শেষ-তিৰ্যক"
bogie,"bogie, অজ্ঞাত ধৰা পেলোৱা (ৰাডাৰ)"
Bohr effect,ব&#39;ৰ ইফেক্ট
Bohr magneton,ব&#39;ৰ মেগনেটন
boiler,"বয়লাৰ, বয়লাৰ"
boiling,"উতলা, উতলা"
Boltzmann equation,বোল্টছমেন সমীকৰণ
bombarding electron,বোমাৰু ইলেক্ট্ৰন
bombarding energy,"আঘাতজনিত শক্তি, বোমা বিস্ফোৰণ শক্তি"
bond,বন্ধক
bonding,"বণ্ডেড, বণ্ডেড, বণ্ডেড"
booster,এনহান্সাৰ
boron,বোৰন
Bose particle,বস-কণা
boson,ব&#39;চন
bounce,"জোকাৰণি, জাম্প"
bound,বাধ্যতা
boundary,"সীমা, সীমা (সম্পা.), প্ৰান্তীয় (v.)"
bound,বাধ্যতা
bow,ধনু ৰাশিৰ চোতাল
bow wave,পালতোলা ঢৌ
Boyle point,বয়লাৰ গৰম কৰা
Boyle's law,ল&#39;ৰাৰ আইন
Boyle' temperature,বয়লাৰ গৰম কৰা
Bracket series,বন্ধনী-শ্ৰেণী
Bragg law,বেগ নিয়ম
braided wire,আন্তঃসংলগ্ন তাঁৰ
braking orbit,ব্ৰেক ক্লাছ
Bramah press,ব্ৰামা কম্প্ৰেছাৰ
branching,শাখা-প্ৰশাখা
Bravais lattice,"ব্ৰেভ লেটিছ, ব্ৰেভ লেটিছ"
braze,ব্ৰাছ ব্ৰেজিং
break,ছেভাৰেন্স
break contact,সংযোগকাৰী ভাঙি পেলাওক
breakdown diode,"ফ্ৰেক্টৰ ডাইঅ’ড, জেনাৰ ডাইঅ’ড"
breaking,হাড়ভঙা
breeder reactor,"ব্ৰীডাৰ ৰিয়েক্টৰ, ব্ৰীডাৰ নিউক্লিয়াৰ ফাৰ্নেচ, ব্ৰীডাৰ ফাৰ্নেচ"
breeding,প্ৰজনন
bremsstrahlung,"ৰিটাৰ্ডেণ্ট ৰেডিয়চন, brastralung"
Brewster angle,ব্ৰুষ্টাৰ-কোণ
Brewster fringe,ব্ৰুষ্টাৰ ফ্ৰীজ
bridge,সেঁতু
bridging,দলং বন্ধন
bright,"উজ্জ্বল, উজ্জ্বল, চকু কপালত তুলিব পৰা"
brightening,ইলুমিনেটৰ
bright,ৰেডিয়েন্স
brightness,"দ্যুতি, প্ৰভা"
Brillouin zone,ব্ৰীলুৱান অঞ্চল
British Standard Candle,ব্ৰিটিছ ষ্টেণ্ডাৰ্ড মমবাতি
brittle,ভংগুৰ
brittleness,ভংগুৰতা
broadcasting,সম্প্ৰচাৰ
broad,বিস্তৃত
broadside,ৰেট্ৰ&#39;গ্ৰেড
Broglie formula,ব্ৰগলি সূত্ৰ
broken,খণ্ডিত
Brownian motion,ব্ৰাউনি গতি
brush,"কুচি, বুৰুষ, কুৰ্চ, গুলম"
bubble,"বুদবুদ, বুদবুদ (ed.), mumble (v.)"
bubbling,effervescence
bucking,প্ৰতিকাৰৰ ব্যৱস্থা
buckling,সংকোচন
buffer,"amp-প্ৰতিৰোধ, বাফাৰ"
building acoustics,শব্দবিজ্ঞান
build up,বৰধন
bulb,বাল্ব
bulging,আবির্ভূত
bulk,"আয়তন, বাল্ক, ভৰ, ভৰ, আয়তন"
bulk modulus,আয়তন স্থিতিস্থাপকতা সহগ
bulk property,জনসংখ্যাৰ সম্পত্তি
bulk temperature,সৰ্বোচ্চ উষ্ণতা
bump (in a curve),উখহি উঠা
bunch,"bunch, bunch (n.), থুপ খাই থকা (ver.)"
buncher,মুঠি
Bunsen cell,বুনচেন কোষ
buoy,প্লাৱন ক্ষমতা
buoyancy,"buoyancy, প্লাৱন ক্ষমতা"
Burger's circuit,বাৰ্গাৰ চাৰ্কিট
burglar alarm,চোৰৰ ঘণ্টা
burner,"বাৰ্নাৰ, ইগনিটাৰ"
burn out,সম্পূৰ্ণ ইগনিচন
burst,"বিস্ফোৰণ, বিস্ফোৰণ, ফাট"
busy line,লাইন ব্যস্ত
busy tone,ব্যস্ত সুৰ
buzzer,buzzer
bypass,পাৰ হোৱা
bypassing,বৰ্তনী
cable,"সাগৰৰ তাঁৰ, কেবল"
cadmium,কেডমিয়াম
caesium cell,চিজিয়াম-কোষ
cage dipole,পাঞ্জাৰ ডাইপোল
cage effect,পাঞ্জাৰ ইফেক্ট
calculate,গণনা কৰা
calculator,কেলকুলেটৰ
calendar,কেলেণ্ডাৰ
calibrate,"মানাংকন, মানাংকন, পুনৰীক্ষণ"
calibration factor,"মানাংকন বহুগুণক, মানাংকন বহুগুণক"
callipers,কেলিপাৰ
call-meter,"কল কেলকুলেটৰ, টক কেলকুলেটৰ"
caloric,"তাপ (v.), কেলৰি (ed.)"
calorimeter,"কেলৰিমিটাৰ, কেলৰিমিটাৰ"
calorimetry,"কেলৰিমেট্ৰি, কেলৰিমেট্ৰি"
camera,কেমেৰা
canal rays,"কুল্যা কিৰণ, খাল কিৰণ"
candela,কেণ্ডেলা
candle,"মমবাতি, মমবাতি"
canonical,canonical
cantilever,কেন্টিলিভাৰ
cap,"টুপি, পোছাক (সম্পা.), ইন্টাৰলেচিং (v.)"
capacitance,ধৰি ৰখা
capacitor,কেপাচিটৰ
capillarity,"কেপিলাৰিটি, কেপিলাৰিটি"
capillary,"কেপিলাৰী, কেপিলাৰী"
capillary force,কেপিলাৰী বল
capsule,"কেপচুল, কেপচুল, কেপচুল"
capture,বন্দী কৰা
carbon 14 dating,কাৰ্বন ১৪ সময়সূচী
cardinals,"মৌলিক বিন্দু, কাৰ্ডিনেল সংখ্যা, গণনা সংখ্যা"
Carnot's theorem,carno ৰ উপপাদ্য
carrier,বাহক
Cartesian axes,কাৰ্টেচিয়ান অক্ষ
cartridge,কাৰ্টিজ
cascade,"সোপানী (ভ.), সোপানীপাট (সম্পা.)"
catalysed,অনুপ্ৰাণিত
catastrophe,"বিপৰ্যয়, দুৰ্যোগ"
catching diode,লিমিটাৰ ডাইঅ&#39;ড
cathetometer,"অৰ্থমিটাৰ, কেথেট&#39;মিটাৰ"
cathetron,কেথেট্ৰন
cathode,কেথ&#39;ড
cation,কেটিয়ন
caustic surface,পোহৰ পৃষ্ঠা
cavity,কোটৰ
ceiling,"প্ৰান্তীয়, আৱৰণ, ছেক্সন, সৰ্বোচ্চ সংখ্যা, আৱৰণ"
celestial,আকাশী
cell constant,কোষ-ধ্ৰুৱক
cemented lens,চিমেণ্টযুক্ত লেন্স
centering,ধ্যান কেন্দ্ৰিত
centigrade,চেন্টিগ্ৰেড
centimeter,চেন্টিমিটাৰ
centimeter gram second system,চেণ্টিমিটাৰ-গ্ৰাম-ছেকেণ্ড পদ্ধতি
central,"কেন্দ্ৰীয়, কেন্দ্ৰীয়"
central processing unit (C.P.U),কেন্দ্ৰীয় সম্পদ একক
centre,কেন্দ্ৰ
centre of collineation,প্ৰান্তিককৰণ কেন্দ্ৰ
centric ray,মধ্যম ৰশ্মি
centripetal,centripetal
centroid,নিউক্লিয়াছ
ceramic,চিৰামিক
c.g.s. system,গ. গ্ৰাম। পৰা. প্রণালী
chain decay,ক্ৰমিক ক্ষয়
chamber,"কোষ, কোঠা, কোঠা"
chance,"chance, chance, সুযোগ"
changing,লৰৃ - চৰ হৈ থকা
channel,"চেনেল, চেনেল, চেনেল, জলপথ"
channelling,"চেনেলাইজেচন, চেনেলাইজেচন"
chaos,"বিশৃংখলতা, বিশৃংখলতা"
character,"চৰিত্ৰ, চৰিত্ৰ, চৰিত্ৰ"
characteristic,"বৈশিষ্ট্যপূৰ্ণ, বৈশিষ্ট্যপূৰ্ণ, বৈশিষ্ট্যপূৰ্ণ, সমগ্ৰ, বৈশিষ্ট্যপূৰ্ণ"
charge,"চাৰ্জ, চাৰ্জ, চাৰ্জ, চাৰ্জ"
charger,চাৰ্জাৰ
charging,পূৰ্ণ
Charles' law,চাৰ্লছ আইন
