Hindi,Kannada
"असंलग्न, सहसा, खड़ा, विच्छिन्न, खंडित","ಲಗತ್ತಿಸಲಾಗಿದೆ, ಸಾಮಾನ್ಯವಾಗಿ, ನಿಂತಿರುವ, ಕತ್ತರಿಸಿದ, ವಿಭಜಿತ"
सहसा जंप,ಆಗಾಗ್ಗೆ ಜಿಗಿತಗಳು
भुज*,ಕೈ*
लुप्त परावर्तन,ಕಳೆದುಹೋದ ಪ್ರತಿಬಿಂಬ
लुप्त स्पैक्ट्रम,ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ
"निरपेक्ष, परम, अचर, परिशुद्ध","ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ"
निरपेक्ष त्वरण,ಸಂಪೂರ್ಣ ವೇಗವರ್ಧನೆ
निरपेक्ष यथार्थता,ಸಂಪೂರ್ಣ ವಾಸ್ತವ
निरपेक्ष पता,ಸಂಪೂರ್ಣ ವಿಳಾಸ
भूसापेक्ष तुंगतामापी,ಜಿಯೋರೆಲೇಟಿವ್ ಅಲ್ಟಿಮೀಟರ್
भूसापेक्ष तुंगता,ಭೂವೈಜ್ಞಾನಿಕ ಎತ್ತರ
निरपेक्ष ऐम्पियर,ಸಂಪೂರ್ಣ ಆಂಪಿಯರ್
परम क्वथनांक,ಸಂಪೂರ್ಣ ಕುದಿಯುವ ಬಿಂದು
निरपेक्ष तेजमापीय दीप्ति,ಸಂಪೂರ್ಣ ಪ್ರಕಾಶಮಾನತೆ
निरपेक्ष धारिता,ಸಂಪೂರ್ಣ ಸಾಮರ್ಥ್ಯ
निरपेक्ष ऊँचाई,ಸಂಪೂರ್ಣ ಎತ್ತರ
निरपेक्ष वर्णाक,ಸಂಪೂರ್ಣ ವರ್ಣದ್ರವ್ಯ
"निरपेक्ष विन्यास, असंदिग्ध विन्यास","ಸಂಪೂರ್ಣ ಸಂರಚನೆ, ನಿಸ್ಸಂದಿಗ್ಧವಾದ ಸಂರಚನೆ"
निरपेक्ष कूलॉम,ಸಂಪೂರ್ಣ ಕೂಲಂಬ್
पूर्ण अंधकार,ಸಂಪೂರ್ಣ ಕತ್ತಲೆ
निरपेक्ष कालनिर्धारण,ಸಂಪೂರ್ಣ ವೇಳಾಪಟ್ಟಿ
निरपेक्ष घनत्व*,ಸಂಪೂರ್ಣ ಸಾಂದ್ರತೆ*
निरपेक्ष अपवहन,ಸಂಪೂರ್ಣ ಒಳಚರಂಡಿ
निरपेक्ष इ.एम.यू. (विद्युत् चुबंकीय मात्रक),ಸಂಪೂರ್ಣ EMU (ವಿದ್ಯುತ್ಕಾಂತೀಯ ಘಟಕ)
निरपेक्ष इ.एस.यू. (स्थिर विद्युत् मात्रक),ಸಂಪೂರ್ಣ ESU (ಸ್ಥಾಯಿ ವಿದ್ಯುತ್ ಘಟಕ)
निरपेक्ष दक्षता,ಸಂಪೂರ್ಣ ದಕ್ಷತೆ
निरपेक्ष विद्युतमापी,ಸಂಪೂರ್ಣ ಎಲೆಕ್ಟ್ರೋಮೀಟರ್
"निरपेक्ष बारंबारता, निरपेक्ष आवृत्ति",ಸಂಪೂರ್ಣ ಆವರ್ತನ ಸಂಪೂರ್ಣ ಆವರ್ತನ
निरपेक्ष आर्द्रता,ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ
निरपेक्ष आपतन,ಸಂಪೂರ್ಣ ಘಟನೆ
निरपेक्ष अपवर्तनांक,ಸಂಪೂರ್ಣ ವಕ್ರೀಕಾರಕ ಸೂಚ್ಯಂಕ
निरपेक्ष अस्‍थायित्व,ಸಂಪೂರ್ಣ ಅಸ್ಥಿರತೆ
निरपेक्ष अस्‍थायित्व,ಸಂಪೂರ್ಣ ಅಸ್ಥಿರತೆ
"निरपेक्ष तीव्रता, निरपेक्ष उग्रता","ಸಂಪೂರ್ಣ ತೀವ್ರತೆ, ಸಂಪೂರ್ಣ ತೀವ್ರತೆ"
शैथिल्य की निरपेक्ष सीमा,ಅಸ್ತೇನಿಯಾದ ಸಂಪೂರ್ಣ ಮಿತಿ
निरपेक्ष ज्योतिर्मयता देहली,ಸಂಪೂರ್ಣ ಪ್ರಕಾಶದ ಸಿಲ್
निरपेक्ष ज्योति वक्र,ಸಂಪೂರ್ಣ ಬೆಳಕಿನ ಕರ್ವ್
निरपेक्ष कांतिमान,ಸಂಪೂರ್ಣ ಪ್ರಮಾಣ
निरपेक्ष दाबांतरमापी,ಸಂಪೂರ್ಣ ಮಾಪಕ
परम उच्चिष्ठ,ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ
निरपेक्ष चरम सीमांक,ಸಂಪೂರ್ಣ ವಿಪರೀತ
परम निम्निष्ठ,ಸಂಪೂರ್ಣ ಕಡಿಮೆ
निरपेक्ष संवेग,ಸಂಪೂರ್ಣ ಆವೇಗ
निरपेक्ष गति,ಸಂಪೂರ್ಣ ವೇಗ
निरपेक्ष संगीत,ಸಂಪೂರ್ಣ ಸಂಗೀತ
निरपेक्ष प्रेक्षण,ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ
निरपेक्ष ओम,ಸಂಪೂರ್ಣ ಓಂ
निरपेक्ष दिगविन्यास,ಸಂಪೂರ್ಣ ದೃಷ್ಟಿಕೋನ
निरपेक्ष विद्युत्-शीलता,ಸಂಪೂರ್ಣ ಎಲೆಕ್ಟ್ರೋನೆಜಿಟಿವಿಟಿ
निरपेक्ष तारत्व,ಸಂಪೂರ್ಣ ಗುರುತ್ವಾಕರ್ಷಣೆ
निरपेक्ष दाब,ಸಂಪೂರ್ಣ ಒತ್ತಡ
निरपेक्ष गुणधर्म,ಸಂಪೂರ್ಣ ಆಸ್ತಿ
निरपेक्ष अदिश,ಸಂಪೂರ್ಣ ಸ್ಕೇಲಾರ್
ताप का परम मापक्रम*,ತಾಪಮಾನದ ಸಂಪೂರ್ಣ ಪ್ರಮಾಣ*
"निरपेक्ष युगपत्ता, निरपेक्ष समकालिकता","ಸಂಪೂರ್ಣ ಸಿಂಕ್ರೊನಿ, ಸಂಪೂರ್ಣ ಸಿಂಕ್ರೊನಿ"
निरपेक्ष प्रतिबल,ಸಂಪೂರ್ಣ ಒತ್ತಡ
निरपेक्ष सममिति,ಸಂಪೂರ್ಣ ಸಮ್ಮಿತಿ
निरपेक्ष गति-निकाय,ಸಂಪೂರ್ಣ ಚಲನೆಯ ದೇಹ
निरपेक्ष मात्रक पद्धति,ಸಂಪೂರ್ಣ ಘಟಕ ವ್ಯವಸ್ಥೆ
परम ताप,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
निरपेक्ष काल,ಸಂಪೂರ್ಣ ಸಮಯ
निरपेक्ष मात्रक,ಸಂಪೂರ್ಣ ಘಟಕಗಳು
निरपेक्ष मान,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
पूर्णाक अभिकलित्र,ಪೂರ್ಣಾಂಕ ಕ್ಯಾಲ್ಕುಲೇಟರ್
निरपेक्ष वेग,ಸಂಪೂರ್ಣ ವೇಗ
निरपेक्ष श्यानता,ಸಂಪೂರ್ಣ ಸ್ನಿಗ್ಧತೆ
निरपेक्ष भार,ಸಂಪೂರ್ಣ ತೂಕ
परम शून्य*,ಸಂಪೂರ್ಣ ಶೂನ್ಯ*
शून्य का निरपेक्ष भाजक,ಶೂನ್ಯದ ಸಂಪೂರ್ಣ ಭಾಜಕ
अवशोषण करना,ಹೀರಿಕೊಳ್ಳುತ್ತವೆ
अवशोषणांक*,ಹೀರಿಕೊಳ್ಳುವ ಸೂಚ್ಯಂಕ*
अवशोषित ऊर्जा,ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಶಕ್ತಿ
"अवशोषक, अवशोषी","ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ"
अवशोषी माध्यम*,ಹೀರಿಕೊಳ್ಳುವ ಮಾಧ್ಯಮ*
अवशोषण सामर्थ्य,ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ
अवशोषणांश,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
अवशोषणमापी*,ಹೀರಿಕೊಳ್ಳುವ ಮಾಪಕ*
अवशोषणामिति*,ಅಬ್ಸಾರ್ಪ್ಟಿಯೋಮೆಟ್ರಿ*
अवशोषण,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
अवशोषण - बैन्ड*,ಹೀರಿಕೊಳ್ಳುವಿಕೆ - ಬ್ಯಾಂಡ್*
अवशोषण परिपथ,ಹೀರಿಕೊಳ್ಳುವ ಸರ್ಕ್ಯೂಟ್
अवशोषण-गुणांक,ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ
अवशोषण-स्तम्भ,ಹೀರಿಕೊಳ್ಳುವ ಕಾಲಮ್
अवशोषण-स्थिरांक,ಹೀರುವಿಕೆ ಸ್ಥಿರ
अवशोषण सांतत्यक,ಹೀರಿಕೊಳ್ಳುವ ನಿರಂತರತೆ
अवशोषण-परिक्षेत्र,ಹೀರಿಕೊಳ್ಳುವ ವಲಯ
अवशोषण-धारा,ಹೀರಿಕೊಳ್ಳುವ ಪ್ರಸ್ತುತ
अवशोषण वक्र*,ಹೀರಿಕೊಳ್ಳುವ ವಕ್ರರೇಖೆ*
अवशोषण भंग,ಹೀರಿಕೊಳ್ಳುವ ಮುರಿತ
अवशोषण कोर,ಹೀರಿಕೊಳ್ಳುವ ಕೋರ್
अवशोषण गुणक,ಹೀರಿಕೊಳ್ಳುವ ಅಂಶ
अवशोषण फिल्टर,ಹೀರಿಕೊಳ್ಳುವ ಫಿಲ್ಟರ್
अवशोषण ज्वाला प्रकाशमिति*,ಹೀರಿಕೊಳ್ಳುವ ಜ್ವಾಲೆಯ ಫೋಟೊಮೆಟ್ರಿ*
अवशोषण आर्द्रतामापी,ಹೀರಿಕೊಳ್ಳುವ ಹೈಗ್ರೋಮೀಟರ್
अवशोषण घातांक,ಹೀರಿಕೊಳ್ಳುವ ಘಾತ
अवशोषण सीमांत,ಹೀರಿಕೊಳ್ಳುವಿಕೆ ಕನಿಷ್ಠ
अवशोषण रेखा,ಹೀರಿಕೊಳ್ಳುವ ರೇಖೆ
अवशोषणजन्य हानि,ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ
अवशोषण माडुलन,ಹೀರಿಕೊಳ್ಳುವ ಮಾಡ್ಯುಲೇಶನ್
प्रकाश अवशोषण,ಬೆಳಕಿನ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
विकिरण ऊर्जा का अवशोषण,ವಿಕಿರಣ ಶಕ್ತಿಯ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
अवशोषण शिखर,ಹೀರಿಕೊಳ್ಳುವ ಗರಿಷ್ಠ
अवशोषण प्रकाशमिति,ಹೀರಿಕೊಳ್ಳುವ ದ್ಯುತಿಮಾಪನ
अवशोषण अनुपात,ಹೀರಿಕೊಳ್ಳುವ ಅನುಪಾತ
अवशोषण श्रेणी*,ಹೀರಿಕೊಳ್ಳುವ ಶ್ರೇಣಿ*
अवशोषण स्पेक्ट्रम प्रकाशमिति*,ಹೀರಿಕೊಳ್ಳುವ ಸ್ಪೆಕ್ಟ್ರಮ್ ಫೋಟೋಮೆಟ್ರಿ*
अवशोषण स्पेक्ट्रम*,ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ*
"अवशोषण नली, अवशोषण नाल","ಹೀರಿಕೊಳ್ಳುವ ಕೊಳವೆ, ಹೀರಿಕೊಳ್ಳುವ ಕೊಳವೆ"
अवशोषण तरगमापी,ಹೀರಿಕೊಳ್ಳುವ ಹೈಗ್ರೋಮೀಟರ್
अवशोषी*,ಹೀರಿಕೊಳ್ಳುವ*
अवशोषी क्षीणकारी,ಹೀರಿಕೊಳ್ಳುವ ಬಾಷ್ಪೀಕರಣ
अवशोषण नियम*,ಹೀರಿಕೊಳ್ಳುವ ಕಾನೂನು*
अवशोषण माध्यम,ಹೀರಿಕೊಳ್ಳುವ ಮಾಧ್ಯಮ
"अवशोषण क्षमता, अवशोषकता*","ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ, ಹೀರಿಕೊಳ್ಳುವಿಕೆ*"
अवशोषकता*,ಹೀರಿಕೊಳ್ಳುವಿಕೆ*
स्टूडिओ सज्जा,ಸ್ಟುಡಿಯೋ ಅಲಂಕಾರ
बाहुल्य अनुपात,ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ
ऐबवोल्ट,abvolt
ऐबवाट,ಸುಮಾರು
त्वरित करना,ವೇಗವನ್ನು
त्वरण-विराम दूरी,ವೇಗವರ್ಧನೆ-ನಿಲುಗಡೆ ಅಂತರ
त्वरित,ಆತುರಪಟ್ಟರು
त्वरित कालप्रभावन परीक्षण,ತ್ವರಿತ ಸಮಯದ ಪರಿಣಾಮ ಪರೀಕ್ಷೆ
त्वरित प्रवाह,ತ್ವರಿತ ಹರಿವು
त्वरित गति,ತ್ವರಿತ ಗತಿ
त्वरित निकाय,ತ್ವರಿತ ದೇಹ
त्वरक तुला,ವೇಗವರ್ಧಕ ತೂಕ
त्वरक इलैक्ट्रोड*,ವೇಗವರ್ಧಕ ವಿದ್ಯುದ್ವಾರ*
त्वरक काल*,ವೇಗವರ್ಧಕ ಸಮಯ*
त्वरक प्रावस्था,ವೇಗವರ್ಧಕ ಹಂತ
त्वरक दर,ವೇಗವರ್ಧಕ ದರ
त्वरक वोल्टता*,ವೇಗವರ್ಧಕ ವೋಲ್ಟೇಜ್*
त्वरण,ವೇಗವರ್ಧನೆ
त्वरणिक अपदहन,ವೇಗವರ್ಧಿತ ದಹನ
त्वरण गुणांक,ವೇಗವರ್ಧಕ ಗುಣಾಂಕ
त्वरण घटक,ವೇಗವರ್ಧಕ ಘಟಕ
गुरूत्वीय त्वरण,ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ
त्वरण गुणक,ವೇಗವರ್ಧಕ ಅಂಶ
त्वरणिक प्रतिभरण,ವೇಗವರ್ಧಿತ ಚಾರ್ಜ್
गुरूत्व त्वरण,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
त्वरण विभव,ವೇಗವರ್ಧಕ ಸಾಮರ್ಥ್ಯ
त्वरण-नियम,ವೇಗವರ್ಧಕ ಕಾನೂನು
त्वरण-प्रक्रम,ವೇಗವರ್ಧಕ ಪ್ರಕ್ರಿಯೆ
त्वरण प्रेदश,ವೇಗವರ್ಧಕ ವಲಯ
त्वरण प्रविधी,ವೇಗವರ್ಧಕ ವಿಧಾನ
"त्वरण सहिष्णुता, त्वरण सहनसीमा","ವೇಗವರ್ಧಕ ಸಹಿಷ್ಣುತೆ, ವೇಗವರ್ಧನೆ ಸಹಿಷ್ಣುತೆ"
त्वरण-सदिश,ವೇಗವರ್ಧಕ ವೆಕ್ಟರ್
त्वरण-वोल्टता,ವೇಗವರ್ಧನೆ-ವೋಲ್ಟೇಜ್
त्वरण तरंग,ವೇಗವರ್ಧಕ ತರಂಗ
त्वरक,ವೇಗವರ್ಧಕ
"त्वरित्र, त्वरक*","ವೇಗಗೊಳಿಸು, ವೇಗವರ್ಧಕ*"
त्वरक समीकरण,ವೇಗವರ್ಧಕ ಸಮೀಕರಣ
त्वरणलेखी*,ವೇಗವರ್ಧಕ*
त्वरणमापी,ವೇಗವರ್ಧಕ
त्वरणमापीय सुमेलन,ವೇಗವರ್ಧಕ ಹೊಂದಾಣಿಕೆ
प्राक्प्रबलक,ಪ್ರಿಸ್ಟ್ರೆಸರ್
मान्य वर्ण,ಮಾನ್ಯ ಅಕ್ಷರಗಳು
स्वीकरण-कोण,ಸ್ವೀಕಾರ ಕೋನ
स्वीकरण-विनिर्देश,ಸ್ವೀಕಾರ ವಿವರಣೆ
स्वीकारी परीक्षण,ಸ್ವೀಕಾರಾರ್ಹ ಪರೀಕ್ಷೆ
"ग्राही*, स्वीकारी","ಸ್ವೀಕರಿಸುವವರು*, ಸ್ವೀಕರಿಸುವವರು"
ग्राही परमाणु,ಗ್ರಾಹಕ ಪರಮಾಣು
ग्राही आबंध,ಗ್ರಾಹಕ ಬಂಧ
ग्राही परिपथ,ರಿಸೀವರ್ ಸರ್ಕ್ಯೂಟ್
ग्राही स्तर,ಗ್ರಾಹಕ ಮಟ್ಟ
आदाता अणु,ದಾನಿ ಅಣು
ग्राही गुणधर्म,ಗ್ರಾಹಕ ಆಸ್ತಿ
ग्राही गुणधर्म तल,ಗ್ರಾಹಕ ಆಸ್ತಿ ಮಟ್ಟ
त्वरक नली,ವೇಗವರ್ಧಕ ಮೆದುಗೊಳವೆ
"अभिगम, प्रतीक्षा, अभिगम्यता","ಪ್ರವೇಶ, ಕಾಯುವಿಕೆ, ಪ್ರವೇಶ"
अभिगम भुज,ಭುಜ್ ಅನ್ನು ಪ್ರವೇಶಿಸಿ
अभिगम-तंत्र,ಪ್ರವೇಶ ವ್ಯವಸ್ಥೆ
अभिगम काल,ಪ್ರವೇಶ ಸಮಯ
अभिगम्यता,ಪ್ರವೇಶಿಸುವಿಕೆ
"अतिरिक्त, सहायक, गौण (वि, ), उपसाधन","ಹೆಚ್ಚುವರಿ, ಸಹಾಯಕ, ಪರಿಕರಗಳು (v, ), ಬಿಡಿಭಾಗಗಳು"
अतिरिक्त प्रतिबन्ध,ಹೆಚ್ಚುವರಿ ನಿರ್ಬಂಧಗಳು
संयोगी संपात,ಕಾಕತಾಳೀಯ
संयोगी संपात-संशोधन,ಆಕಸ್ಮಿಕ ತಿದ್ದುಪಡಿ
आकस्मिक द्विजनन,ಆಕಸ್ಮಿಕ ಜೈವಿಕ ಉತ್ಪತ್ತಿ
आकस्मिक द्विअपवर्तन,ಆಕಸ್ಮಿಕ ತಿರುವು
आगन्तुक त्रुटि,ಸಂದರ್ಶಕರ ದೋಷ
"आकस्मिक रोक, आकस्मिक जकड़","ಹಠಾತ್ ನಿಲುಗಡೆ, ಹಠಾತ್ ಕ್ಲ್ಯಾಂಪ್"
आकस्मिक संचारण,ಆಕಸ್ಮಿಕ ಪ್ರಸರಣ
आकस्मिक विचरण,ಯಾದೃಚ್ಛಿಕ ವ್ಯತ್ಯಾಸ
समंजन,ಹೊಂದಾಣಿಕೆ
प्रतिस्थित,ನೆಲೆಗೊಂಡಿದೆ
संचित त्रुटि,ಸಂಚಿತ ದೋಷ
"संचय, संचयन","ಶೇಖರಣೆ, ಶೇಖರಣೆ"
ऊर्जा संचय,ಶಕ್ತಿ ಸಂಗ್ರಹಣೆ
संचायक*,ಸಂಚಯಕ*
यथार्थता,ನಿಖರತೆ
यथार्थ,ರಿಯಾಲಿಟಿ
यथार्थ उपकरण प्रेक्षण,ನಿಜವಾದ ಉಪಕರಣ ವೀಕ್ಷಣೆ
यथार्थ परास चिह्नक,ನಿಖರ ಶ್ರೇಣಿಯ ಮಾರ್ಕರ್
यथार्थ क्रमवीक्षण,ನಿಖರವಾದ ಸ್ಕ್ಯಾನಿಂಗ್
अभ्यसन,ಅಭ್ಯಾಸ
त्वरक कोष्ठ*,ವೇಗವರ್ಧಕ ಕೋಶ*
अवर्णक लेन्स*,ವರ್ಣರಹಿತ ಮಸೂರ*
अवर्णक*,ವರ್ಣರಹಿತ*
अवर्णक विश्लेषक,ವರ್ಣರಹಿತ ವಿಶ್ಲೇಷಕ
आवृत्ति निरपेक्ष ऐन्टेना,ಆವರ್ತನ ತಟಸ್ಥ ಆಂಟೆನಾ
अवर्णक आकृति,ವರ್ಣರಹಿತ ಆಕಾರ
अवर्णक फ्रिंज,ವರ್ಣರಹಿತ ಫ್ರಿಂಜ್
अवर्णक लेन्स*,ವರ್ಣರಹಿತ ಮಸೂರ*
अवर्णक बिन्दु पथ,ವರ್ಣರಹಿತ ಬಿಂದು ಮಾರ್ಗ
अवर्णक अभिदृश्य लेन्स,ವರ್ಣರಹಿತ ಮಸೂರ
अवर्णक प्रिज़्म,ವರ್ಣರಹಿತ ಪ್ರಿಸ್ಮ್
अवर्णक दूरदर्शक,ವರ್ಣರಹಿತ ದೂರದರ್ಶಕ
अवर्णकता*,ವರ್ಣರಹಿತತೆ*
अवर्णीकरण*,ವರ್ಣಮಯಗೊಳಿಸುವಿಕೆ*
अवर्णकता*,ವರ್ಣರಹಿತತೆ*
"एक्लास्टिक, अनपवर्तनिक, अवपवर्तनी","ಸ್ಥಿತಿಸ್ಥಾಪಕ, ವಕ್ರೀಕಾರಕ, ಸ್ಥಿತಿಸ್ಥಾಪಕ"
"एकॉर्न नली, बंजु नली","ಆಕ್ರಾನ್ ಹೋಸ್, ಬಂಜು ಹೋಸ್"
लघु वाल्व,ಚಿಕಣಿ ಕವಾಟ
एकूफ़ोनी,ಅಕೋಫೋನಿ
ध्वानिक,ಅಕೌಸ್ಟಿಕ್
ध्वानिक अवशोषकता,ಅಕೌಸ್ಟಿಕ್ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ध्वानिक क्षीणन गुणांक,ಅಕೌಸ್ಟಿಕ್ ಅಟೆನ್ಯೂಯೇಶನ್ ಗುಣಾಂಕ
ध्वानिक क्षीणनांक,ಅಕೌಸ್ಟಿಕ್ ಕ್ಷೀಣತೆ
ध्वानिक चोर अलार्म,ಅಕೌಸ್ಟಿಕ್ ಕಳ್ಳ ಎಚ್ಚರಿಕೆ
ध्वानिक धारिता,ಅಕೌಸ್ಟಿಕ್ ಕೆಪಾಸಿಟನ್ಸ್
श्रवण-केन्द्र,ಶ್ರವಣ ಕೇಂದ್ರ
ध्वानिक स्पष्टकारी,ಅಕೌಸ್ಟಿಕ್ ವಿವರಣೆ
ध्वानिक छदपट्ट,ಅಕೌಸ್ಟಿಕ್ ಕವರ್
ध्वानिक अनुवृत्ति,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
ध्वानिक घटक,ಅಕೌಸ್ಟಿಕ್ ಘಟಕ
ध्वानिक चालकता,ಅಕೌಸ್ಟಿಕ್ ವಾಹಕತೆ
ध्वानिक अवमंदन,ಅಕೌಸ್ಟಿಕ್ ಡ್ಯಾಂಪಿಂಗ್
ध्वानिक परिक्षेपण,ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ
ध्वनि हासक,ಧ್ವನಿ ಹ್ಯಾಕರ್
ध्वानिक ऊर्जा*,ಅಕೌಸ್ಟಿಕ್ ಶಕ್ತಿ*
ध्वनिक ऊर्जा समीकरण,ಅಕೌಸ್ಟಿಕ್ ಶಕ್ತಿ ಸಮೀಕರಣ
ध्वानिक समीकरण,ಅಕೌಸ್ಟಿಕ್ ಸಮೀಕರಣ
ध्वानिक पुनर्निवेश,ಅಕೌಸ್ಟಿಕ್ ಮರುಸ್ಥಾಪನೆ
क्लैडनी आकृतियाँ,ಕ್ಲಾಡ್ನಿ ಆಕಾರಗಳು
ध्वानिक फ़िल्टर,ಅಕೌಸ್ಟಿಕ್ ಫಿಲ್ಟರ್
ध्वनि जनित्र,ಧ್ವನಿ ಜನರೇಟರ್
ध्वानिक ग्रेटिंग,ಅಕೌಸ್ಟಿಕ್ ಗ್ರ್ಯಾಟಿಂಗ್
ध्वानिक प्रतिबाधा*,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿರೋಧ*
ध्वानिक जड़त्व,ಅಕೌಸ್ಟಿಕ್ ಜಡತ್ವ
ध्वानिक तीव्रता,ಅಕೌಸ್ಟಿಕ್ ತೀವ್ರತೆ
ध्वानिक व्यतिकरणमापी,ಅಕೌಸ್ಟಿಕ್ ಹಸ್ತಕ್ಷೇಪ ಮೀಟರ್
ध्वानिक अतिक्रमण संसूचक,ಅಕೌಸ್ಟಿಕ್ ಹಸ್ತಕ್ಷೇಪ ಪತ್ತೆಕಾರಕ
ध्वानिक लेन्स,ಅಕೌಸ್ಟಿಕ್ ಲೆನ್ಸ್
ध्वनि लाइन,ಧ್ವನಿ ಸಾಲು
ध्वानिक संहति,ಅಕೌಸ್ಟಿಕ್ ದ್ರವ್ಯರಾಶಿ
ध्वानिक सामग्री,ಅಕೌಸ್ಟಿಕ್ ವಸ್ತು
ध्वानिक माध्य मुक्त पथ,ಅಕೌಸ್ಟಿಕ್ ಎಂದರೆ ಮುಕ್ತ ಮಾರ್ಗ
ध्वानिक विधा,ಅಕೌಸ್ಟಿಕ್ ಮೋಡ್
