Punjabi,Gujarati
ਪ੍ਰਾਚੀਨ ਰਿਵਾਜ,પ્રાચીન રિવાજ
ਪ੍ਰਾਚੀਨ ਇਤਿਹਾਸ,પ્રાચીન ઇતિહાસ
ਪ੍ਰਾਚੀਨ ਸਮਾਰਕ,પ્રાચીન સ્મારકો
ਕਿੱਸਾ,ટુચકો
ਐਂਜਲੋਟ,એન્જેલોટ
ਐਂਜਲਸ,એન્જલસ
ਐਂਜੇਵਿਨ (=ਅੰਜੇਵਿਨ),એન્જેવિન (=એન્જેવિન)
ਕੋਣ,ખૂણો
ਐਂਗਲੀਕਨ,એંગ્લિકન
ਐਂਗਲੀਕਨ ਕਮਿਊਨੀਅਨ,એંગ્લિકન કોમ્યુનિયન
ਐਂਗਲੀਕਨਵਾਦ,અંગ્રેજવાદ
ਐਂਗਲੋ-ਫੋਬ,એંગ્લો-ફોબ
ਐਂਗਲੋ-ਫੋਬੀਆ,એંગ્લો-ફોબિયા
ਐਂਗਲੋ-ਸੈਕਸਨ,એંગ્લો-સેક્સન
ਐਂਗਲੋ-ਸੈਕਸੋਨਿਜ਼ਮ,એંગ્લો-સેક્સોનિઝમ
ਐਨਾਲਿਸਟ,એનાલિસ્ટ
ਇਤਿਹਾਸ,ઇતિહાસ
ਅਨੇਕਸ਼ਨ,જોડાણ
ਐਂਟੀ-ਬੇਲਮ,એન્ટિ-બેલમ
ਪਿਛਲੀ ਤਾਰੀਖ,તારીખ પહેલાં
ਵਿਰੋਧੀ ਮੌਲਵੀਵਾਦ,ક્લેરિકલિઝમ વિરોધી
ਕਲੈਰੀਕਲ ਵਿਰੋਧੀ ਕਾਨੂੰਨ,કારકુની વિરોધી કાયદો
ਪੁਰਾਤਨਤਾ,પ્રાચીનકાળ
ਵਿਰੋਧੀ ਕਿਰਾਇਆ,વિરોધી ભાડા
ਵਿਰੋਧੀ ਕਿਰਾਇਆ,વિરોધી ભાડા
ਵਿਰੋਧੀ ਸਾਮੀਵਾਦ,વિરોધી સેમિટિઝમ
ਐਨਜ਼ੈਕ,એન્ઝેક
ਅਪੇਲਾ,અપેલા
ਅਰਲੂ,અરાલુ
ਆਰਕ ਬਿਸ਼ਪ,આર્ક બિશપ
ਆਰਕ ਡਚੀ,કમાન ડચી
ਆਰਕ ਡਿਊਕ,આર્ક ડ્યુક
ਪੁਰਾਲੇਖ (=ਪੁਰਾਲੇਖ ਸੰਗ੍ਰਹਿ),આર્કાઇફ (=આર્કાઇવલ સંગ્રહ)
ਆਰਚੀਪੀਸਕੋਪੇਟ,આર્કિપીસ્કોપેટ
ਕੁਲੀਨ,કુલીન વર્ગ
ਰਈਸ,કુલીન
ਕੁਲੀਨ ਸਨੋਬਰੀ,કુલીન સ્નોબરી
ਅਰਿਸਟੋਟਲੀਅਨ,એરિસ્ટોટેલિયન
ਆਰਮਾਡਾ,આર્માડા
ਆਰਮਾਡਾ (= ਸਪੇਨੀ ਆਰਮਾਡਾ),આર્મડા (=ધ સ્પેનિશ આર્મડા)
ਸ਼ਸਤਰਧਾਰਕ (=ਸ਼ਸਤਰਧਾਰਕ),આર્મોરિસ્ટ (=આર્મરિસ્ટ)
ਸ਼ਸਤ੍ਰ (= ਸ਼ਸਤ੍ਰ),બખ્તર (=બખ્તર)
ਸ਼ਸਤਰਧਾਰਕ,આર્મરિસ્ટ
ਆਰੀਅਨ,આર્યન
ਆਰੀਅਨ,આર્યન
ਅਸਕਰੀ,અસ્કરી
ਅਸਾਈਨੈਟ,સોંપણી
ਅਸਾਈਜ਼,સહાય કરો
ਅਸਾਈਜ਼,સહાય કરો
ਅਸਾਈਜ਼,સહાય કરો
ਅਸਲਾ ਐਕਟ ਦੀ ਸਹਾਇਤਾ,આર્મ્સ એક્ટની સહાય
ਡੈਰੇਨ ਪ੍ਰੈਜ਼ੈਂਟਮੈਂਟ ਦੀ ਸਹਾਇਤਾ,ડેરેન પ્રેઝન્ટમેન્ટની સહાય
ਮੋਰਟ &#39;ਡੀ&#39; ਪੂਰਵਜ ਦੀ ਸਹਾਇਤਾ,મોર્ટ &#39;ડી&#39; પૂર્વજની સહાય
ਨਾਵਲ ਡੀਸੀਸਿਨ ਦੀ ਸਹਾਇਤਾ,નવલકથા ડીસીસીનની સહાય
ਅੱਤਿਆਚਾਰ,અત્યાચાર
ਹਮਲਾ,હુમલો
ਔਲਿਕ ਕੌਂਸਲ,ઓલિક કાઉન્સિલ
ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ (= ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ),દેવીની કુહાડી (=દેવીની કુહાડી)
ਐਕਸਿਸ (=ਰੋਮ-ਬਰਲਿਨ-ਟੋਕੀਓ ਐਕਸਿਸ),એક્સિસ (=ધ રોમ-બર્લિન-ટોક્યો એક્સિસ)
ਬਾਬਲ,બેબીલોન
ਬਾਬਲੀ ਗ਼ੁਲਾਮੀ (=ਬੇਬੀਲੋਨ ਦੀ ਗ਼ੁਲਾਮੀ),બેબીલોનીયન કેદ (=બેબીલોનીશ કેદ)
ਬਚਨਲ ਭਗਤ,બચનલ ભક્ત
ਬਚਨਲਿਆ,બચ્ચનલિયા
ਕੁਆਰਾ,સ્નાતક
ਬਗਦਾਦ ਸਮਝੌਤਾ,બગદાદ કરાર
ਬਾਲਕਨ ਲੀਗ,બાલ્કન લીગ
ਬਾਲਕਨ ਸਮਝੌਤਾ,બાલ્કન કરાર
ਬਾਲਕਨ ਯੁੱਧ,બાલ્કન યુદ્ધો
ਬਾਲਟਿਕ ਸਮਝੌਤਾ,બાલ્ટિક સંધિ
ਡਾਕੂ,ડાકુ
ਬੈਂਡੁੰਗ ਕਾਨਫਰੰਸ,બાંડુંગ કોન્ફરન્સ
ਦੇਸ਼ ਨਿਕਾਲੇ,દેશનિકાલ
ਬੈਨਰ,બેનર
ਵਹਿਸ਼ੀ,અસંસ્કારી
ਬਾਰਬੀਕਨ,બાર્બીકન
ਬਾਰਡੋਲੀ ਸੱਤਿਆਗ੍ਰਹਿ,બારડોલી સત્યાગ્રહ
ਬਾਰਨ ਬਰਨਰ,બાર્ન બર્નર્સ
ਬੈਰਨ,બેરોન
ਬੈਰੋਨੇਜ,બેરોનેજ
ਬੈਰੋਨਸ ਮੇਜਰਸ,બેરોન્સ મેજર
ਬੈਰੋਨਸ ਨਾਬਾਲਗ,બેરોન્સ સગીર
ਬੈਰੋਨੇਸ,બેરોનેસ
ਬੈਰੋਨੇਟ,બેરોનેટ
ਬੈਰੋਨੇਟੇਜ,બેરોનેટેજ
ਬੈਰੋਨੇਟੇਜ,બેરોનેટેજ
ਬੈਰੋਨੇਟਸੀ,બેરોનેટસી
ਬੈਰੋਨੀ,બેરોની
ਬੈਰਾਕੂਨ,બેરાકૂન
ਬੈਰਾਕੂਨ,બેરાકૂન
ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ),બેરિકેડ (=બેરિકેડ)
ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ),બેરિકેડ (=બેરિકેડ)
ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ),બેરિકેડ (=બેરિકેડ)
ਬੇਸ ਕੈਂਪ,મુખ્ય છાવણી
ਬੇਸਿਲਿਕਾ,બેસિલિકા
ਬੇਸਿਲਿਕਾ,બેસિલિકા
ਬਸਤੀਲਾ,બેસ્ટિલા
ਬੈਸਟਿਲ,બેસ્ટિલ
ਬੈਸਟਿਲ,બેસ્ટિલ
ਬੈਟਰੀ,બેટરી
ਲੜਾਈ,યુદ્ધ
ਬੈਟਲੇ-ਐਰੇ,Batlle-એરે
ਲੜਾਈ ਦਾ ਰੋਣਾ,યુદ્ધ ક્રાય
ਲੜਾਈ ਦੀਨ,યુદ્ધ દિન
ਲੜਾਈ ਦਾ ਮੈਦਾਨ,યુદ્ધ ક્ષેત્ર
ਲੜਾਈ ਦਾ ਭਜਨ,યુદ્ધ સ્તોત્ર
ਸਪਰਸ ਦੀ ਲੜਾਈ,સ્પર્સનું યુદ્ધ
ਸਟੈਂਡਰਡ ਦੀ ਲੜਾਈ,ધોરણનું યુદ્ધ
ਬੈਟਲਸ਼ਿਪ,યુદ્ધજહાજ
ਬੈਟਲਸ਼ਿਪ-ਤਾਕਤ,યુદ્ધજહાજ-શક્તિ
Bayeux tapestry,Bayeux ટેપેસ્ટ્રી
ਬੀਕਨ,બીકન
ਬੀਕਨ ਟਾਵਰ,બીકન ટાવર
ਬੀਵਰ,બીવર
ਬੀਵਰ,બીવર
ਸਮੁੰਦਰ ਦੇ ਭਿਖਾਰੀ,સમુદ્રના ભિખારીઓ
ਬੇਲੀਕੋਜ਼,બેલીકોઝ
ਬੇਲੀਕੋਸ,બેલીકોઝ
ਬੇਲੀਕੋਜ਼,બેલીકોઝ
ਬੇਲੀਕੋਸਿਟੀ,બેલીકોસીટી
ਬੇਲੋਨਾ,બેલોના
ਲਾਭ,લાભ
ਪਾਦਰੀਆਂ ਦਾ ਲਾਭ,ધર્મગુરુઓનો લાભ
ਬੇਨੇਲਕਸ,બેનેલક્સ
ਬਰਲਿਨ ਫ਼ਰਮਾਨ,બર્લિન હુકમનામું
ਬੇਸਰਕਰ,બેર્સકર
ਬੇਸੰਤ (=ਬੇਜ਼ੰਤ),બેસન્ટ (=બેઝન્ટ)
ਬੈਥਲ,બેથેલ
ਬਾਈਬਲੀਓਲੇਟਰ,ગ્રંથસૂચિ
ਬਿਬਲਿਓਲਾਟਰੀ,ગ્રંથસૂચિ
ਵੱਡੀ ਬਰਥਾ,મોટા બર્થા
ਬਿਗੌਟ,ધર્માંધ
ਬਿਲੀਟਿੰਗ,બિલેટિંગ
ਅਟੈਂਡਰ ਦਾ ਬਿੱਲ,અટેન્ડરનું બિલ
ਅਧਿਕਾਰਾਂ ਦਾ ਬਿੱਲ,અધિકારોનું વિયેધક
ਜੀਵਨੀਕਾਰ,જીવનચરિત્રકાર
ਜਨਮ ਕਹਾਣੀਆਂ,જન્મ કથાઓ
ਬਿਵੁਆਕ,બિવૉક
ਬਿਵੁਆਕ,બિવૉક
ਬਿਵੁਆਕ,બિવૉક
ਬਿਜੋਨੀਆ,બિઝોનિયા
ਕਾਲਾ ਪੰਛੀ,બ્લેક બર્ડિંગ
ਕਾਲਾ ਝੰਡਾ,કાળો ઝંડો
ਕਾਲਾ ਮੋਰੀ,બ્લેક હોલ
ਕਾਲਾ ਮੋਰੀ,બ્લેક હોલ
ਕਾਲੀ ਲੱਤ (= ਖੁਰਕ),કાળો પગ (= સ્કેબ)
ਕਾਲੀ ਕਮੀਜ਼,કાળો શર્ટ
ਬਲੇਜ਼ਨ,બ્લેઝોન
ਬਲੇਜ਼ਨ,બ્લેઝોન
ਧਮਾਕੇਦਾਰ,બ્લેઝોનરી
ਧਮਾਕੇਦਾਰ,બ્લેઝોનરી
ਬਲਿਟਜ਼ਕਰੀਗ,બ્લિટ્ઝક્રેગ
ਖੂਨ ਰਹਿਤ ਇਨਕਲਾਬ (= ਸ਼ਾਨਦਾਰ ਇਨਕਲਾਬ),લોહી વગરની ક્રાંતિ (= ભવ્ય ક્રાંતિ)
ਬਲੱਡਵਾਈਟ,બ્લડવાઈટ
ਖੂਨੀ ਮੈਰੀ,બ્લડી મેરી
ਨੀਲਾ,વાદળી
ਨੀਲਾ ਖੂਨ,વાદળી રક્ત
ਨੀਲੀ ਕਿਤਾਬ,વાદળી પુસ્તક
ਨੀਲਾ ਰਿਬਨ,વાદળી રિબન
ਨੀਲਾ ਰਿਬਨ,વાદળી રિબન
ਬਲੂਜ਼ (=ਰਾਇਲ ਹਾਰਸ ਗਾਰਡ),બ્લૂઝ (= રોયલ હોર્સ ગાર્ડ્સ)
ਨੀਲੀ ਕਮੀਜ਼,વાદળી શર્ટ
ਬਲੂ ਵਾਟਰ ਸਕੂਲ,બ્લુ વોટર સ્કૂલ
ਕੰਟਰੋਲ ਬੋਰਡ,બોર્ડ ઓફ કંટ્રોલ
ਸਰੀਰ ਦੇ ਬਸਤ੍ਰ,શારીરિક બખ્તર
ਬੋਅਰ,બોઅર
ਲੁੱਟ,લૂંટ
ਬੋਰੋ,બરો
ਬੁਲੇਉਟੇਰੀਅਨ,બુલ્યુટેરિયન
ਬੋਰਬਨ,બોર્બોન
ਮੁੱਕੇਬਾਜ਼ ਬਗਾਵਤ,બોક્સર બળવો
ਬ੍ਰੇਸ,તાણવું
ਬ੍ਰਾਸਾਰਡ,બ્રાસર્ડ
ਬ੍ਰਾਸਾਰਡ,બ્રાસર્ડ
ਰੋਟੀ ਦੀਆਂ ਬਸਤੀਆਂ,બ્રેડ વસાહતો
ਛਾਤੀ ਪਲੇਟ,સ્તન પ્લેટ
ਛਾਤੀ ਦਾ ਕੰਮ,સ્તન કામ
ਬਰੇਟਵਾਲਡਾ,બ્રેટવાલ્ડા
ਬ੍ਰਿਗੈਂਡ,બ્રિગન્ડ
ਬ੍ਰਿਗੇਂਡੇਜ,બ્રિગેન્ડેજ
ਬ੍ਰਿਟਿਸ਼ ਕਾਮਨਵੈਲਥ ਆਫ ਨੇਸ਼ਨਜ਼,બ્રિટિશ કોમનવેલ્થ ઓફ નેશન્સ
ਭੂਰੇ ਰੰਗ ਦੀਆਂ ਕਮੀਜ਼ਾਂ (=ਨਾਜ਼ੀਆਂ),બ્રાઉન શર્ટ્સ (=નાઝીઓ)
ਬ੍ਰਸੇਲਜ਼ ਸੰਧੀ (ਪੈਕਟ) ਸੰਗਠਨ (= ਪੱਛਮੀ ਯੂਰਪੀਅਨ ਯੂਨੀਅਨ),બ્રસેલ્સ સંધિ (સંધિ) સંસ્થા (=વેસ્ટર્ન યુરોપિયન યુનિયન)
ਮੱਝ,બફ
ਮੱਝ,બફ
ਮੱਝ-ਕੋਟ,બફ-કોટ
ਮੱਝਾਂ,બફ્સ
ਬੁਲੇ (=ਕੌਂਸਲ),બુલે (= કાઉન્સિલ)
ਬਰਗੇਜ,બર્ગેજ
ਬਰਗੇਸ,બર્જેસ
ਬਿਜ਼ੰਤੀਨੀ,બાયઝેન્ટાઇન
ਬਿਜ਼ੰਤੀਨੀ ਚਰਚ,બાયઝેન્ટાઇન ચર્ચ
ਬਿਜ਼ੰਤੀਨੀ ਸਾਮਰਾਜ,બાયઝેન્ટાઇન સામ્રાજ્ય
ਬਿਜ਼ੰਤੀਨੀ ਯੁੱਗ,બાયઝેન્ટાઇન યુગ
ਬਿਜ਼ੰਤੀਨੀ ਇਤਿਹਾਸਕਾਰ,બાયઝેન્ટાઇન ઇતિહાસકારો
ਕਾਬਲ,કેબલ
ਕੈਸਰਵਾਦ,સીઝરિઝમ
ਖਲੀਫਾ,ખલીફા
ਕੈਲੀਗ੍ਰਾਫਰ,સુલેખનકાર
ਕੈਲੀਗ੍ਰਾਫਿਸਟ,સુલેખનકાર
ਕੈਲੀਗ੍ਰਾਫੀ,સુલેખન
ਕੈਲਟ੍ਰੋਪ,કેલ્ટ્રોપ
ਦੋਸਤੀ,મિત્રતા
ਕੈਮਰਿਲਾ,કેમેરિલા
ਕੈਮਰਿਲਾ,કેમેરિલા
ਕੈਮਲੌਕਮ,કેમલૌકમ
ਕੈਮੋਫਲੇਜ,છદ્માવરણ
ਮੁਹਿੰਮ,ઝુંબેશ
ਕੈਂਪ ਫਾਲੋਅਰ,શિબિર અનુયાયી
ਕੈਂਪੋ ਸੈਂਟੋ,કેમ્પો સાન્ટો
ਕੈਂਪਸ ਮਾਰਟੀਅਸ,કેમ્પસ માર્શિયસ
ਕੈਨੇਫੋਰਾ,કેનેફોરા
ਕੈਂਗੂ,કેંગ્યુ
ਕੈਨੋਨੇਡ,તોપ
ਤੋਪ ਚਾਰਾ,તોપ ઘાસચારો
ਕੈਨਨ,કેનન
ਕੈਨਨ ਕਾਨੂੰਨ,કેનન કાયદો
ਕੈਨੋਪਸ ਫ਼ਰਮਾਨ,કેનોપસ હુકમનામું
ਕੈਂਟਿੰਗ ਹਥਿਆਰ,શસ્ત્ર
ਬੰਦੀ,બંદીવાન
ਕੈਪਟਰ,કેપ્ટર
ਕਾਰਡੀਨਲ,કાર્ડિનલ
ਕਾਰਲ,કાર્લ
ਕੈਰੋਲਿੰਗੀਅਨ ਰਾਜਵੰਸ਼,કેરોલિંગિયન રાજવંશ
ਕਾਰਥੁਸੀਅਨ ਸੰਪਰਦਾ,કાર્થુસિયન સંપ્રદાય
ਕਾਰਟੋਸਾ,કાર્ટોસા
ਕੈਸਟਲੀਅਨ,કેસ્ટેલિયન
ਕੈਸਟਲੀਅਨ,કેસ્ટેલિયન
ਜਾਤ ਪ੍ਰਣਾਲੀ,જાતિ વ્યવસ્થા
ਕਿਲ੍ਹਾ,કિલ્લો
ਕਿਲ੍ਹਾ,કિલ્લો
ਕੈਸਲ ਸ਼ਹਿਰ,કેસલ ટાઉન
ਕਾਸਟਰਾ,કાસ્ટ્રા
ਕਾਸਟਰਾ,કાસ્ટ્રા
ਕੈਥੇਡਰਾ,કેથેડ્રા
ਗਿਰਜਾਘਰ,કેથેડ્રલ
ਕੈਟੋ ਸਟ੍ਰੀਟ ਸਾਜ਼ਿਸ਼,કેટો સ્ટ્રીટ કાવતરું
ਕਾਉਡੀਲੋ,કૌડીલો
ਕੈਵਲੀਅਰ,ઘોડેસવાર
ਕੈਵਲੀਅਰ,ઘોડેસવાર
ਕੈਵਲੀਅਰ ਸੰਸਦ,ઘોડેસવાર સંસદ
ਅਦੁੱਲਮ ਦੀ ਗੁਫਾ,અદુલ્લામની ગુફા
ਗੁਫਾ ਚਿੱਤਰਕਾਰੀ,ગુફા પેઇન્ટિંગ
ਗੁਫਾ ਚਿੱਤਰਕਾਰੀ,ગુફા પેઇન્ટિંગ
ਸੇਂਟਮਵੀਰ,સેન્ટુમવીર
ਸੈਂਚੁਰੀਅਨ,સેન્ચ્યુરિયન
ਸਦੀ,સદી
ਚੇਨ ਆਰਮਰ (= ਚੇਨ ਮੇਲ),સાંકળ બખ્તર (= સાંકળ મેલ)
ਛੰਤਰੀ,ચેન્ટ્રી
ਛੰਤਰੀ,ચેન્ટ્રી
ਚੈਪ ਕਿਤਾਬ,ચેપ પુસ્તક
ਪਾਦਰੀ,ધર્મગુરુ
ਅਧਿਆਇ,પ્રકરણ
ਹਾਦਸਿਆਂ ਦਾ ਅਧਿਆਇ,અકસ્માતોનો પ્રકરણ
ਚਾਰਜ,ચાર્જ
ਚਾਰਜ ਡੀ,ચાર્જ ડી અફેર્સ
ਚਾਰਜ ਵਿਭਾਜਨ,ચાર્જ વિદાય
ਚਾਰਜਰ,ચાર્જર
ਰੱਥ,રથ
ਰੱਥ,સારથિ
ਰੱਥ,સારથિ
ਰੱਥ,સારથિ
ਚੈਰਿਟੀ ਰਸੋਈ,ચેરિટી રસોડું
ਚਾਰਟਰ,ચાર્ટર
ਚਾਰਟਿਸਟ ਅੰਦੋਲਨ (=ਚਾਰਟਿਜ਼ਮ),ચાર્ટિસ્ટ ચળવળ (= ચાર્ટિઝમ)
ਚਾਰਟੋਫਾਈਲੇਸ਼ੀਅਮ,ચાર્ટોફિલેસિયમ
Chateau,ચટેઉ
ਚੈੱਕ ਪੋਸਟ,ચેક પોસ્ટ
ਰਸਾਇਣਕ ਯੁੱਧ,રાસાયણિક યુદ્ધ
ਚੈਸਟਰ,ચેસ્ટર
ਮੁੱਖ,મુખ્ય
ਸਰਦਾਰ,સરદાર
ਸਰਦਾਰ,સરદાર
ਸਰਦਾਰ,સરદાર
ਸ਼ਿਫੋਨ,શિફૉન
ਸ਼ਿਸ਼ਟਾਚਾਰ,શૌર્ય
ਚੁਣੇ ਹੋਏ ਲੋਕ,પસંદ કરેલા લોકો
ਕ੍ਰਿਸਮੋਗ੍ਰਾਫੀ,ક્રિસ્મોગ્રાફિયન
ਈਸਾਈ-ਜਗਤ,ખ્રિસ્તી ધર્મ
ਈਸਾਈ ਯੁੱਗ,ખ્રિસ્તી યુગ
ਈਸਾਈ ਸਮਾਜਵਾਦ,ખ્રિસ્તી સમાજવાદ
ਇਤਹਾਸ,ક્રોનિકલ
ਇਤਿਹਾਸਕਾਰ,ક્રોનિકર
Chryse Chersonese,Chryse Chersonese
ਸਿਮਲੀਅਮ,સિમેલિયમ
Cinquecento ਸ਼ੈਲੀ,Cinquecento પ્રકાર
ਸਰਕਮਨੇਵੀਗੇਸ਼ਨ,પરિક્રમા
ਸਿਸਟਰਸੀਅਨ ਭਿਕਸ਼ੂ,સિસ્ટરસિયન સાધુ
ਕਿਲਾ,રાજગઢ
ਹਵਾਲਾ,અવતરણ
ਹਵਾਲਾ,અવતરણ
ਸਿਵਲ ਅਣਆਗਿਆਕਾਰੀ,સામાજિક અસહકાર
ਸਿਵਲ ਯੁੱਧ,નાગરિક યુદ્ધ
ਸਿਵਿਸ ਰੋਮਨਸ,સિવિસ રોમનસ
ਕਲਾਸੀਕਲ ਉਮਰ,શાસ્ત્રીય વય
ਕਲੀਫ਼ਟ (=ਕਲੇਫ਼ਟ),Clepht (=klepht)
ਕਲਰਕਵਾਦ,કારકુનવાદ
ਕਲਰਚ,કારકુન
ਕਲੀਨਿਕ ਅੰਦੋਲਨ,ક્લુનિયાક ચળવળ
ਕੋਟ ਸ਼ਸਤ੍ਰ,કોટ બખ્તર
ਹਥਿਆਰਾਂ ਦਾ ਕੋਟ,શસ્ત્રોનો કોટ
ਹਥਿਆਰਾਂ ਦਾ ਕੋਟ,શસ્ત્રોનો કોટ
ਹਥਿਆਰਾਂ ਦਾ ਕੋਟ,શસ્ત્રોનો કોટ
ਡਾਕ ਦਾ ਕੋਟ,ટપાલનો કોટ
ਸਮੂਹ,સમૂહ
ਕੋਮੀਟੀਆ,કોમીટીયા
Comitia Centuriata,કોમિટિયા સેન્ટુરિયાટા
Comitia Curiata,કોમિટિયા કુરિયાટા
ਕੋਮੀਟੀਆ ਟ੍ਰਿਬੂਟਾ,કોમિટિયા ટ્રિબ્યુટા
ਯਾਦਗਾਰੀ arch,સ્મારક કમાન
ਯਾਦਗਾਰੀ ਸਿੱਕਾ,સ્મારક સિક્કો
ਯਾਦਗਾਰੀ ਮੋਹਰ,સ્મારક સીલ
ਆਮ ਖੇਤਰ,સામાન્ય ક્ષેત્ર
Communard,કોમ્યુનાર્ડ
ਕਨਕੋਰਡੈਟ,કોનકોર્ડેટ
ਕਨਕੋਰਡੈਟ,કોનકોર્ડેટ
ਕੰਡੋਟੀਏਰ,કોન્ડોટિયર
ਪੁਸ਼ਟੀਕਰਣ ਕਾਰਟਾਰਮ,પુષ્ટિકરણ Cartarum
ਟਕਰਾਅ,સંઘર્ષ
ਮੰਡਲੀ,મંડળ
ਜਿੱਤਣ ਵਾਲਾ ਰਾਜ,વિજયી રાજ્ય
ਜੇਤੂ,વિજેતા
ਵਿਜੇਤਾ,વિજેતા
ਕੌਸਿਲਿਅਮ,કોન્સિલિયમ
ਕੰਸਿਸਟਰੀ,કન્સિસ્ટરી
ਸਾਜ਼ਿਸ਼,કાવતરું
ਸਾਜ਼ਿਸ਼,કાવતરું
