Punjabi,Tamil
ਐਲਫਿਸੋਲਸ,அல்பிசோல்ஸ்
ਐਲਗੀ,பாசி
ਐਲਗਲ ਰੋਗ,பாசி நோய்
ਅਲਕਾਲੀ ਪਾਣੀ,கார நீர்
ਐਲਕਲੀਨ,கார
ਐਲੀਲੇ,அல்லீல்
ਐਲਲੋਕਲਿਕਸ,அல்லீல கெமிக்கல்ஸ்
ਅਲੇਲੋਮੋਰਫ,அல்லீலோமார்ப்
ਅਲੇਲੋਪੈਥੀ,அலெலோபதி
ਐਲੀ ਫਸਲ,சந்து பயிர்
ਅਲੋਕਰੇਪੀ,ஒதுக்கீடு
ਆਲੋਗਮ,Allocamy
ਐਲੋਮੈਟਰੀ,அலோமெட்ரி
ਐਲੋਪੋਲਾਈਵਲਾਈਡ,அலோபோலிப்ளோயிட்
ਐਲੋਸਮੈਨੈਪਸਿਸ (ਐਲੋਸਿਨੈਂਡਸਿਸ),அலோசினாப்சிஸ் (அலோசின்டெசிஸ்)
ਵਿਕਲਪਿਕ ਬੇਅਰਿੰਗ,மாற்று தாங்கி
ਵਿਕਲਪੀ ਜ਼ਮੀਨ ਦੀ ਵਰਤੋਂ,மாற்று நில பயன்பாடு
ਅੰਬੀਨਟ,சுற்றுப்புறம்
ਅਮਜੀਗਤ,அமெலியோரண்ட்
ਅਮਿਤੋਸਿਸ,அமிடோசிஸ்
ਅਮਿਨਾਜਾਈਜ਼,வெடிமருந்து
ਅਨੁਮੋਧ,அம்மோனிகேஃபிகேஷன்
ਅਮੋਨੀਫਾਇਰ,அம்மோனியர்
ਅਮੋਰਫ,அமார்
ਐਮਫੀਮਿਕਸਿਸ,ஆம்பிமிக்ஸிஸ்
ਐਮਫੋਟੇਰਿਕ,ஆம்போடெரிக்
ਐਨਾਬੋਲਿਜ਼ਮ,அனபோலிசம்
ਅਨੀਰੋਬ,காற்றில்லா
ਅਨੀਉਟਲੋਇਡ,அனூப்ளோயிட்
ਕੋਣ ਲਾਉਣਾ,கோண நடவு
ਪਸ਼ੂ ਪਾਲਣ,கால்நடை வளர்ப்பு
ਪਸ਼ੂਆਂ ਤੋਂ ਇਨਕਾਰ ਕਰੋ,விலங்கு மறுப்பு
Energy ਰਜਾ ਐਨੀਮੇਟ ਕਰੋ,ஆற்றல் உயிரின
ਅਨੀਸੋਪਲੋਇਡ,அனிசோப்ளோயிட்
ਸਾਲਾਨਾ ਪੌਦਾ,ஆண்டு ஆலை
ਸਾਲਾਨਾ,ஆண்டு
ਐਥੇਸਮਿਸ,ஆன்டெஸிஸ்
ਐਂਥ੍ਰੈਕਸ,ஆந்த்ராக்ஸ்
ਐਂਥ੍ਰੋਪੋਜਾਈਜਿਕ ਫੈਕਟਰ,மானுடவியல் காரணி
ਐਂਟੀਬਾਇਸਿਸ,ஆண்டிபியோசிஸ்
ਐਂਟੀਬਾਇਓਟਿਕ,நுண்ணுயிர்க்கொல்லி
ਐਂਟੀਡੋਟਾ,மாற்று
ਐਂਟੀਆਕਸੀਡੈਂਟਸ,ஆக்ஸிஜனேற்றிகள்
Antitoxin,ஆன்டிடாக்சின்
ਐਨਾਬੁਲਸ,ANNULUS
Aphid,அஃபிட்
Apical ਮੁਕੁਲ,அபிகல் மொட்டு
ਏਪਿਕਲ ਦਬਦਬਾ,நுனி ஆதிக்கம்
Apsiculturuet (ਮਧੂ ਮੱਖੀ ਰੱਖਣ),Apulcalure (தேனீ வைத்திருத்தல்)
ਅਪੋਮਿਕਸ,Apomixis
ਅਪੋਪੋਟੋਸਿਸ,அப்போப்டொசிஸ்
ਅੰਤਿਕਾ,இணைப்பு
ਭੁੱਖ,பசி
ਲਾਗੂ ਕੀਤਾ,பயன்படுத்தப்பட்டது
ਐਕੁਆਟਿਕ ਬੂਟੀ,நீர்வாழ் களை
ਅਰਬੋਰੀਅਲ,ஆர்போரியல்
ਅਰਬਰਾਈਜ਼ੇਸ਼ਨ,ஆர்பரைசேஷன்
ਏ ਆਰਚਿਓ-ਬੋਟੈਨੀਕਲ ਰਿਕਾਰਡ,தொல்பொருள்-பொட்டானியல் பதிவுகள்
ਖੇਤਰ ਦੇ ਅੰਕੜੇ,பகுதி புள்ளிவிவரங்கள்
ਖੇਤਰ,பகுதி
ਐੱਫ.ਡੀ.ਆਈ.,வறண்ட சுற்றுச்சூழல் அமைப்பு
ਅਰਿਲ,Aril
ਖੁਸ਼ਬੂ,நறுமணம்
ਖੁਸ਼ਬੂਦਾਰ ਪੌਦਾ,நறுமண ஆலை
ਖੁਸ਼ਬੂਦਾਰ ਚਾਵਲ,நறுமண அரிசி
ਐਰੋਇੰਗ,அம்பு
Espesisis,அசெப்ஸிஸ்
Sseptic,அசெப்டிக்
ਅਸਪਸ਼ਟ ਪ੍ਰਸਾਰ,ஓரினச்சேர்க்கை பரப்புதல்
ਅਨੀ,மதிப்பீடு
ਸੰਪਤੀ,சொத்துக்கள்
ਸਹਿਯੋਗ,ஒருங்கிணைப்பு
ਐਸੋਸੀਏਸ਼ਨ,தொடர்பு
ਤੂਫਾਨੀ,ஆஸ்ட்ரிஜென்ட்
ਅਸਟੀਪਿਸਿਸ,அசினாப்சிஸ்
ਅਟਵੀਵਾਦ,அடாவிசம்
ਐਟੋਮਾਈਜ਼ਰ,அணுசக்தி
ਸ਼ੋਸ਼ਣ,அட்ராபி
ਆਟੋਗ੍ਰਾਮ,தன்னியக்க
ਆਟੋਲਿਸਸਿਸ,ஆட்டோலிசிஸ்
ਆਟੋਮਿਡੇਸ਼ਨ,ஆட்டோஆக்ஸிஜனேற்றம்
ਆਟੋਪਲਿਪਲਾਈਡ,ஆட்டோபோலிப்ளோயிட்
Auxins,ஆக்சின்கள்
ਅੱਲ (ਬ੍ਰਿਸਟਲ),Awn (முறுக்கு)
ਬਦਾਮ,பாதம் கொட்டை
ਐਲੋ,கற்றாழை
ਅਮੈਸ਼ਨਥਸ,அமராந்தஸ்
ਅਮਮੀ,அம்மி
ਅੰਜਨ ਘਾਹ,அஞ்சன் புல்
ਐਂਥਿਰੀਅਮ,அந்தூரியம்
"ਅੋਂਲਾ, ਇੰਡੀਅਨ ਕਰੌਦਾ","அன்லா, இந்திய நெல்லிக்காய்"
ਸੇਬ,ஆப்பிள்
ਖੜਮਾਨੀ,பாதாமி
ਅਰਬੀਅਨ ਜੈਸਮੀਨ,ஆர்பியன் மல்லிகை
ਅਰੇਕਾ ਗਿਰੀਦਾਰ,அரேகா நட்டு
ਅਰਜੁਨ,அர்ஜுன்
ਓਡੋਏਟਿਡਾ,Asfoetida
ਸੁਆਹ,சாம்பல் பூசணிக்காய்
ਅਸ਼ੋਕ ਦਾ ਰੁੱਖ,அசோகா மரம்
ਅਸ਼ਥਮਾ ਬੂਟੀ (ਯੂਫੋਰਬੀਆ),ஆஷ்த்மா களை (யூபோர்பியா)
ਐਸਪੈਰਾਗਸ,அஸ்பாரகஸ்
ਆਵਾਕੈਡੋ,வெண்ணெய்
ਅਲਫਾਲਫਾ (LUSEREN),அல்பால்ஃபா (லூசர்ன்)
ਕੀੜੀਆਂ,எறும்புகள்
ਐਫੀਡਜ਼,அஃபிட்ஸ்
ਆਰਮੀ ਕੀੜੀ,இராணுவ புழு
ਖੇਤੀਬਾੜੀ ਅਰਥਵਾਦੀ,விவசாய பொருளாதார நிபுணர்
ਖੇਤੀਬਾੜੀ ਵਿਸਤ੍ਰਿਤ,வேளாண் நீட்டிப்பு
ਖੇਤੀਬਾੜੀ ਵਿਗਿਆਨੀ,விவசாய விஞ்ஞானி
ਖੇਤੀਬਾੜੀ ਇੰਜੀਨੀਅਰ,விவசாய பொறியாளர்
ਅਗਾਹੀਵੌਇਲੋਜਿਸਟ,வேளாண் நிபுணர்
ਖੇਤੀਬਾਮੀ,வேளாண் விஞ்ஞானி
ਅਸ਼ੋਲੀ,வேளாண் இயற்பியல்
ਜਾਨਵਰ ਬ੍ਰੀਡਰ,விலங்கு வளர்ப்பாளர்
ਬੇਸਿਲਸ ਵਾਇਰਸ,பேசிலஸ் வைரஸ்
ਬੈਸੀਲਸ,பேசிலஸ்
ਬੈਕਟੀਰੀਆ,பாக்டீரியா
ਬੈਕਟੀਰੋਅਟੌਕਸਿਨ,பாக்டீரியோடாக்சின்
ਬੈਗਸ,கரும்பு சக்கை
ਸੰਤੁਲਨ ਸ਼ੀਟ,இருப்புநிலை
ਸੰਤੁਲਿਤ ਖਾਦ,சீரான கருத்தரித்தல்
ਬਾਰ ਡਾਇਗਰਾਮ,பார் வரைபடம்
ਸੱਕ,பட்டை
ਬੈਰੋਮੀਟਰ,காற்றழுத்தமானி
ਬੰਜਰ,தரிசு
ਅਧਾਰ,அடித்தளம்
ਬੇਸਿਨ,பேசின்
ਬਾਸਿਪਟਲ,பாசிபெட்டல்
ਬਾਸੈਸਟਰਨੀਮ,பாஸ்கிஸ்டெர்னம்
ਬੇ ਮਾਨਸੂਨ,விரிகுடா பருவமழை
ਬੇਅਰਿੰਗ ਪੌਦਾ,தாங்கும் ஆலை
ਬਿਸਤਰੇ,படுக்கை
ਬੇਡਰ,படுக்கை
ਬਿਸਤਰੇ,படுக்கை
ਬੀਟ ਗੁੜ,பீட் மோலாஸ்கள்
ਝੁਕੋ,பெல்லோஸ்
ਬੈਲਟ,பெல்ட்
ਲਾਭ-ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ,நன்மை-செலவு பகுப்பாய்வு
ਪੱਖਪਾਤੀ (ਸੈਂਲਿੰਗ),சார்புடைய (மாதிரி)
ਬਨੀਅਲ,இருபது ஆண்டு
ਬਿਨੀਮਾਇਲ,இரும
ਬਾਇਓਜੈਂਟ,உயிரி கையேடு
ਬਾਇਓਸੈਲਮੇਟ,பயோக்ளைமேட்
ਬਾਇਓਨੇਰਜੀ,பயோஎனெர்ஜி
ਬਯਨੋਮਿਕਸ,பயோனமிக்ஸ்
ਬਾਇਓਰੇਟਰ,உயிரியக்கவியல்
ਬਾਇਓਸਪੇਅਰ,உயிர்க்கோளம்
ਬਾਇਓਟਿਕ,உயிரியல்
ਬਾਇਓਟਾਈਪ,உயிரியல் வகை
ਲਿੰਗੀ,இருபால்
ਬਲੈਂਚਿੰਗ,பிளான்சிங்
ਧਮਾਕਾ,குண்டு வெடிப்பு
ਮਿਸ਼ਰਣ,கலவை
ਝੁਲਸਣ,ப்ளைட்
ਛਾਲੇ,கொப்புளம்
ਨੀਲਾ ਇਨਕਲਾਬ,நீல புரட்சி
ਤਲ ਗਰਮੀ ਚੈਂਬਰ,கீழே வெப்ப அறை
ਤਲ ਹੀਟ ਤਕਨੀਕ,கீழே வெப்ப நுட்பம்
ਬ੍ਰੈਨ,பிரான்
ਸ਼ਾਖਾ,கிளைகள்
ਬ੍ਰੀਚਲੇਟ,கிளை
ਨਸਲ,இனம்
ਪ੍ਰਜਨਨ,இனப்பெருக்க
ਝਗੜਾ,கரைந்து
ਬਰੂਦ,அடைகாக்கும்
ਉਭਰਦਾ,வளரும்
ਬਜਟ,பட்ஜெட்
ਬਫਰ,இடையக
ਬੱਲਬ,விளக்கை
ਬੈਂਟ,பன்ட்
ਉਪ-ਉਤਪਾਦ,துணை தயாரிப்பு
ਬਾਬੂਬਦ ਬੱਬੀ,பாபுல் அகாசியா
ਬੇਬੀ ਮੱਕੀ,குழந்தை சோளம்
ਬਾਲ,பேல்
ਬਿਲ,பெயில்
ਬਾਲਸਮ,பால்சம்
ਬਾਂਸ,மூங்கில்
ਕੇਲਾ,வாழை
ਬੈਨੀਅਨ ਦਾ ਰੁੱਖ,ஆலமரம்
ਜੌ,பார்லி
ਬਾਰਨੀਅਰ ਬਾਜਰੇ,பார்ன்யார்ட் மில்லட்
ਤੁਲਸੀ,துளசி
ਬਾਸਟਰਡ ਸੀਡਰ,பாஸ்டர்ட் சிடார்
ਬਾਸਟਰਡ ਮਾਈਰੋਬੇਲਾ,பாஸ்டர்ட் மைரோபாலன்
Bauhinia,ப au ஹினியா
ਬੇ ਬੇਰੀ,பே பெர்ரி
ਬੀਨ,பீன்
ਚੁਕੰਦਰ,பீட்
ਬੇਲਾਡੋਨਾ,பெல்லடோனா
ਬੇਰ,பெர்
ਸੋਰਸਮ,பெர்சீம்
ਸੁਪਾਰੀ,பெட்டல்
ਬਿਲੀਮਬੀ,பிலிம்பி
ਕੌੜਾ ਬੈਰ,பாகற்காய்
ਕਾਲਾ ਗ੍ਰਾਮ,கருப்பு கிராம்
ਕਾਲੀ ਨਾਈਟਸੈਡ,கருப்பு நைட்ஷேட்
ਬੌਗੇਨਵਿਲੇਸਾ,Bougainvillea
ਬੋਤਲ ਬੁਰਸ਼,பாட்டில் தூரிகை
ਬੋਤਲ ਬਘਿਆੜ,சுரைக்காய்
ਬਾਕਸ ਲੜੀ,பெட்டி மரம்
ਬਰੈੱਡ ਫਲਾਂ,ரொட்டி பழம்
ਵਿਆਹ ਦੀ ਨਿੰਬੂ,பிரைடல் க்ரீப்பர்
ਬ੍ਰਿੰਜਲ,பிரிஞ்சல்
ਬ੍ਰੌਡ ਬੀਨ,பிராட் பீன்
ਬ੍ਰੋ CC ਓਲਿ,ப்ரோக்கோலி
ਬ੍ਰਸੇਸਲ ਦਾ ਫੁੱਟ,பிரஸ்ஸலின் முளை
ਬੱਕਵੈਟ,பக்வீட்
ਬੁਟੀਆ,பியூட்டியா
ਬੈਂਡਿਕੋਟ,பாண்டிகூட்
ਰਿੱਛ,தாங்க
ਬੀਟਲ,வண்டு
ਛਾਲੇ ਬੀਟਲ,கொப்புளம் வண்டு
ਨੀਲਾ ਬੁੱਲ,நீல காளை
ਬੁਲ ਕੀੜਾ,போல் புழு
ਬਟਰਫਲਾਈ,பட்டாம்பூச்சி
ਜੀਵਾਣੂ-ਵਿਗਿਆਨੀ,பாக்டீரியாலஜிஸ்ட்
ਬਾਇਓਕੈਮਿਸਟ,உயிர் வேதியியலாளர்
ਜੀਵ ਵਿਗਿਆਨੀ,உயிரியலாளர்
ਬਾਇਓਟੈਕਨੋਲੋਜਿਸਟ,பயோடெக்னாலஜிஸ்ட்
ਬੋਟੈਨਿਸਟ,தாவரவியலாளர்
ਸੀ ਨਮੀ ਦੇ ਗੁਣ,சி ஈரப்பதம் சிறப்பியல்பு வளைவு
ਕੇਕ,கேக்
ਕੈਲਕਿਸ,கணக்கீட்டு
ਕੈਲਸੀਫਿਕੇਸ਼ਨ,கணக்கீடு
ਫਾਸਫੇਟ ਦਾ ਹਿਸਾਬ,பாஸ்பேட் கணக்கீடு
ਕਲੇਸ਼,காலோசிட்டி
ਕਾਲਸ,கால்சஸ்
ਕੈਲੀਕਸ,கலிக்ஸ்
ਕੈਲੀਕਸ-ਐਂਡ,கலிக்ஸ்-எண்ட்
ਕੈਮਬੀਅਮ,காம்பியம்
ਕੈਨਕਰ,புற்றுநோய்
ਕੈਨਿੰਗ,கேனிங்
ਕੈਨੋਪੀ,விதானம்
ਪੂੰਜੀ,மூலதனம்
ਕੈਪਟੇਸ਼ਨ,கேப்ரிஃபிகேஷன்
ਕੈਪਸੂਲ,காப்ஸ்யூல்
ਕਾਰਬੋਨੇਟਡ,கார்பனேற்றப்பட்ட
ਕਾਰਬੋਨਾਈਜ਼ੇਸ਼ਨ,கார்பனாக்கல்
ਕਾਰਪਲ,கார்பல்
ਕਾਰਪਸ,கார்பஸ்
ਕਾਸਟਿੰਗ,வார்ப்பு
ਕੈਟਾਬੋਲਿਜ਼ਮ,வினையூக்கம்
ਉਤਪ੍ਰੇਸਿਆ,வினையூக்கம்
ਕੇਟਰਪਿਲਰ,கம்பளிப்பூச்சி
ਸੀ-ਡੀ ਐਨ ਏ ਲਾਇਬ੍ਰੇਰੀ,சி-டி.என்.ஏ நூலகம்
ਛੱਤ,உச்சவரம்பு
ਸੈੱਲ,செல்
ਕੇਂਦਰੀ ਲੀਡਰ ਸਿਸਟਮ,மத்திய தலைவர் அமைப்பு
ਕੇਂਦਰਿਤ,மையமாக
ਸੈਂਟਰਿਫੁਗਾਸ਼ਨ,மையவிலக்கு
ਸੈਂਟਰਿਫਿ ize ਜ,மையவிலக்கு
ਸੈਂਟਰਿਓਲ,சென்ட்ரியோல்
CentRogenic,சென்ட்ரோஜெனிக்
ਸੈਂਟੀਗਨੌਜ਼,சென்ட்ரெஸ்ஜெனஸ்
ਚੱਕਰ,செர்கஸ்
ਅਨਾਜ,தானியங்கள்
ਸਰਟੀਫਿਕੇਸ਼ਨ,சான்றிதழ்
ਪ੍ਰਮਾਣਿਤ ਬੀਜ,சான்றளிக்கப்பட்ட விதை
ਤੂਫਾਨ,சஃப்
ਚਮਜ਼ਾ,சலாசா
ਮੈਕੌਟ੍ਰੋਜ਼ਿਜ਼ਮ,வேதியியல்
ਚਿਆਸਮਾ,சியாஸ்மா
ਚਿਲਿੰਗ ਘੰਟੇ,குளிர்ச்சியான நேரம்
ਸੱਟ ਲੱਗ ਰਹੀ ਸੱਟ,குளிர்ச்சியான காயம்
Chimera,சிமேரா
ਚਲੋਟਰੈਠੀ,குளோராந்தி
ਕਲੋਰੋਫਿਲ,குளோரோபில்
ਕਲੋਰੋਸਿਸ,குளோரோசிஸ்
ਕਲੋਰੋਲੋਜੀ,குளோரோலஜி
Chrimindidd,குரோமாடிட்
ਕ੍ਰੋਮੈਟਿਨ,குரோமாடின்
ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ,குரோமடோகிராபி
ਕ੍ਰੋਮੈਟੋਲਸਿਸ,குரோமாடோலிசிஸ்
ਕ੍ਰੋਮੋਸੀਸਟਰ,குரோமோசென்ட்ரே
ਕ੍ਰੋਮੋਜੇਨੇਸਿਸ,குரோமோஜெனெஸிஸ்
ਕ੍ਰੋਮੋਪ੍ਰੋਟੀਨ,குரோமோபுரோட்டீன்
ਕ੍ਰੋਮੋਸੋਮ,குரோமோசோம்
ਦੀਰਘ,நாள்பட்ட
ਸਾਇੰਗ,சிட்ரேஞ்ச்
ਕਲੇਡਡ,கிளாடோட்
ਵਰਗੀਕਰਣ,வகைப்பாடு
ਮਿੱਟੀ,களிமண்
ਸਫਾਈ,சுத்தம்
ਕਲੇਰਿਸਟਾਗਮੀ,கிளீஸ்டோகாமி
ਜਲਦਬਾਜ਼ੀ ਦਾ ਫਲ,க்ளைமாக்டெரிக் பழம்
ਮੌਸਮ,காலநிலை
ਜਲਵਾਯੂ,காலநிலைவியல்
ਕਲੀਪਰ,கிளிப்பர்
ਕਲੋਡ,துணி
ਕਲੋਨ,குளோன்
ਬੱਦਲ,மேகம்
ਕਲੰਪ,கொத்து
ਕਲੱਸਟਰ,கொத்து
ਮੋਟੇ,கரடுமுரடான
ਕੋਟ (ਬੀਜ),கோட்டை (விதை)
ਕੋਕੂਨ,COCOON
ਸਿੱਕੇ,கோஎன்சைம்
ਏਕਤਾ,ஒத்திசைவு
ਕੋਇਰ,Coir
ਕੋਲੀੋਰਿਹਿਜ਼ਾ,கோல்ரோஹிசா
ਕਾਲਰ,காலர்
ਕੋਲੋਇਡ (ਮਿੱਟੀ),கூழ் (மண்)
ਕੋਲਮੂਲਾ,கொலுமெல்லா
ਕਾਲਮ,நெடுவரிசை
ਰਿਮੈਂਸੀਵਾਦ,துவக்கவாதம்
ਵਪਾਰਕ ਬੈਂਕ,வணிக வங்கி
ਕਮੋਡਿਟੀ,பொருள்
ਕਮਿ Community ਨਿਟੀ,சமூக
ਸੰਕੁਚਨ (ਮਿੱਟੀ ਦਾ),சுருக்கம் (மண்ணின்)
ਅਨੁਕੂਲਤਾ,பொருந்தக்கூடிய தன்மை
ਅਨੁਕੂਲਤਾ,பொருந்தக்கூடிய தன்மை
ਮੁਆਵਜ਼ਾ,இழப்பீடு
ਮੁਕਾਬਲੇਬਾਜ਼ੀ ਨਾਲ ਗੱਲਬਾਤ,போட்டி தொடர்பு
ਪੂਰਕ ਫਸਲ,நிரப்பு பயிர்
ਗੁੰਝਲਦਾਰ,சிக்கலான
ਭਾਗ,கூறு
ਰਚਨਾ,கலவை
ਖਾਦ,உரம்
ਮਿਸ਼ਰਿਤ ਦਿਲਚਸਪੀ,கூட்டு வட்டி
ਗਣਨਾ,கணக்கீடு
ਕੰਪਿ computer ਟਰ,கணினி
ਧਿਆਨ ਟਿਕਾਉਣਾ,செறிவு
ਕੰਡੀਸ਼ਨਰ,கண்டிஷனர்
ਚਾਲ-ਚਲਣ,நடத்தை
ਕੌਨਫਿਗਰੇਸ਼ਨ,உள்ளமைவு
ਅਨੁਕੂਲਤਾ,ஏற்ப
ਉਲਝਣ,குழப்பம்
ਸੰਜੋਗ,இணைவு
ਕੁਨੈਕਟਿਵ,இணைப்பு
ਸੰਭਾਲ,பாதுகாப்பு
ਇਕਜੁੱਟ,ஒருங்கிணைப்பு
ਹਲਕੇ,தொகுதிகள்
ਖਪਤਕਾਰ,நுகர்வோர்
ਖਪਤ,நுகர்வு
ਗੰਦਗੀ,மாசுபாடு
ਕੋਟੌਰ ਲਾਉਣਾ,விளிம்பு நடவு
ਸਮਾਲ,விளிம்பு
ਇਕਰਾਰਨਾਮਾ ਖੇਤੀ,ஒப்பந்த விவசாயம்
ਨਿਯੰਤਰਿਤ ਸਟੋਰੇਜ,கட்டுப்படுத்தப்பட்ட சேமிப்பு
ਸਹਿਕਾਰਤਾ ਵਾਲਾ ਬੈਂਕ,கூட்டுறவு வங்கி
ਸਹਿਕਾਰਤਾ,கூட்டுறவு
ਕਾੱਪੀਸ,காப்பிஸ்
ਕੋਰਮ,கோர்ம்
ਕੋਰੋਲਾ,கொரோலா
ਕੋਰਟੇਕਸ,கோர்டெக்ஸ்
ਲਾਗਤ,செலவு
ਕੋਟੀਲਡਨ (ਬੀਜ),கோட்டிலிடன் (விதை)
ਕਰੈਡਿਟ ਸੁਸਾਇਟੀ,கடன் சங்கம்
ਕ੍ਰੈਡਿਟ,கடன்
ਲੈਣਦਾਰ,கடன் வழங்குபவர்
ਕਰੈਸਟ,முகடு
Crinkle,நொறுக்குதல்
ਸੰਕਟ,நெருக்கடி
ਮਾਪਦੰਡ,அளவுகோல்
ਆਲੋਚਨਾਤਮਕ,விமர்சன
ਫਸਲੀ ਬੀਮਾ,பயிர் காப்பீடு
ਫਸਲ ਲੋਨ,பயிர் கடன்
ਫਸਲ,பயிர்
ਕਰੂਪਿੰਗ ਖੇਤਰ,பயிர் பகுதி
ਕਰਾਸ-ਅਨੁਕੂਲ,குறுக்கு இணக்கமானது
