Telugu,Kannada
ఎకౌస్టిక్ రిఫ్లెక్స్,ಅಕೌಸ್ಟಿಕ್ ರಿಫ್ಲೆಕ್ಸ್
శబ్ద టైల్,ಅಕೌಸ್ಟಿಕ್ ಟೈಲ್
శబ్ద వేవ్,ಸ ೦ ವರ ತರಂಗ
శబ్ద శోషణ,ಅಕೌಸ್ಟಿಕ್ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
శబ్ద అటెన్యుయేషన్ స్థిరాంకం,ಅಕೌಸ್ಟಿಕ್ ಅಟೆನ್ಯೂಯೇಷನ್ ​​ಸ್ಥಿರ
శబ్ద డంపింగ్,ಕೊಳೆತ ಡ್ಯಾಂಪಿಂಗ್
శబ్ద ఆలస్యం రేఖ,ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ
శబ్ద వక్రీకరణ,ಅಕೌಸ್ಟಿಕ್ ಅಸ್ಪಷ್ಟತೆ
శబ్ద వాహిక,ಅಕೌಟಿಕಲ್ ನಾಳ
శబ్ద శక్తి,ಅಕೌಟಿಕಲ್ ಶಕ್ತಿ
శబ్ద అభిప్రాయం,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
శబ్ద వడపోత,ಕೊಳೆತ ಫಿಲ್ಟರ್
శబ్ద ఇంపెడెన్స్,ಕೊಳೆತ ಪ್ರತಿರೋಧ
శబ్ద ప్రచారం స్థిరాంకం,ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ ಸ್ಥಿರ
శబ్ద నిరోధకత,ಅಕೌಟಿಕಲ್ ಪ್ರತಿರೋಧ
శబ్దపరంగా ఇన్సులేట్ చేయబడింది,ಅಕೌಸ್ಟಿಕ್ ವಿಂಗಡಣೆಯ
ధ్వని,ಸ್ರವಿಸುವ
సముపార్జన,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
ఎక్రోనిం,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
కార్యాచరణ ప్రాంతం,ಕಾರ್ಯ ಪ್ರದೇಶ
సక్రియం చేయబడిన ఫిలమెంట్,ಸಕ್ರಿಯ ತಂತು
క్రియాశీల,ಸಕ್ರಿಯ
క్రియాశీల ప్రాంతం,ಸಕ್ರಿಯ ಪ್ರದೇಶ
క్రియాశీల విండో,ಸಕ್ರಿಯ ಕಿಟಕಿ
అనుకూలత,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
అడాప్టర్,ಅಡಾಪ್ಟರ್ (ಅಡಾಪ್ಟರ್)
అడాప్టివ్ డిఫరెన్షియల్ పల్స్ కోడ్ మాడ్యులేషన్,ಅಡಾಪ್ಟಿವ್ ಡಿಫರೆನ್ಷಿಯಲ್ ಪಲ್ಸ್ ಕೋಡ್ ಮಾಡ್ಯುಲೇಷನ್
చిరునామా పుస్తకం,ವಿಳಾಸ ಪುಸ್ತಕ
చిరునామా బస్సు,ವಿಳಾಸ ಬಸ್
చిరునామా తీర్మానం,ವಿಳಾಸ ಪರಿಹಾರ
ప్రక్కనే ఉన్న ఛానల్ జోక్యం,ಪಕ್ಕದ ಚಾನಲ್ ಹಸ್ತಕ್ಷೇಪ
ప్రక్కనే ఉన్న ఛానల్ సెలెక్టివిటీ,ಪಕ್ಕದ ಚಾನಲ್ ಆಯ್ಕೆ
ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ,ಪಕ್ಕದ ಆವರ್ತನ
ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ ఛానల్,ಪಕ್ಕದ ಆವರ್ತನ ಚಾನಲ್
ప్రక్కనే ఉన్న పిక్చర్ క్యారియర్,ಪಕ್ಕದ ಚಿತ್ರ ವಾಹಕ
ప్రక్కనే ఉన్న సౌండ్ క్యారియర్,ಪಕ್ಕದ ಧ್ವನಿ ವಾಹಕ
ప్రక్కనే ఉన్న స్టేషన్,ಪಕ್ಕದ ನಿಲ್ದಾಣ
సర్దుబాటు,ಹೊಂದಿಸಲಾಗುವ
సర్దుబాటు కండెన్సర్,ಹೊಂದಾಣಿಕೆ ಕಂಡೆನ್ಸರ್
సర్దుబాటు ఒత్తిడిని,ಒತ್ತಡವನ್ನು ಹೊಂದಿಸುವುದು
రెంచ్ సర్దుబాటు,ವ್ರೆಂಚ್ ಹೊಂದಿಸಲಾಗುತ್ತಿದೆ
సర్దుబాటు,ಹೊಂದಾಣಿಕೆ
నిర్వాహకుడు,ನಿರ್ವಾಹಕ
అధునాతన సాంకేతిక పరిజ్ఞానం,ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ
ఆకాశయాన,ವೈಮಾನಿಕ
వైమానిక శ్రేణి,ವೈಮಾನಿಕ ರಚನೆ
వైమానిక బూస్టర్,ವೈಮಾನಿಕ ಬೂಸ್ಟರ್
వైమానిక ప్రవాహం,ವೈಮಾನಿಕ ಪ್ರವಾಹ
వైమానిక ఎర్తింగ్ స్విచ్,ವೈಮಾನಿಕ ಅರ್ಥಿಂಗ್ ಸ್ವಿಚ್
వైమానిక సామర్థ్యం,ವೈಮಾನಿಕ ದಕ್ಷತೆ
వైమానిక ఇంపెడెన్స్,ವೈಮಾನಿಕ ಪ್ರತಿರೋಧ
వైమానిక ఇండక్టెన్స్,ವೈಮಾನಿಕ ಪ್ರಚೋದನೆ
వైమానిక అవాహకం,ವೈಮಾನಿಕ ಅವಾಹಕ
వైమానిక లోడింగ్ కాయిల్,ವೈಮಾನಿಕ ಲೋಡಿಂಗ್ ಕಾಯಿಲ್
వైమానిక ఫోటోగ్రఫీ,ವೈಮಾನಿಕ ography ಾಯಾಗ್ರಹಣ
వైమానిక శక్తి,ವೈಮಾನಿಕ ಶಕ್ತಿ
వైమానిక రేడియేషన్ రీస్టెన్స్,ವೈಮಾನಿಕ ವಿಕಿರಣ ಮರುಪರಿಶೀಲನೆ
వైమానిక ప్రతిచర్య,ವೈಮಾನಿಕ ಪ್ರತಿಕ್ರಿಯಾತ್ಮಕ
ఏరోడైనమిక్స్,ಧಾರ್ಮಿಕತೆ
ఏజెన్సీ,ವಾಗ್ದಾನ
వాయువుని కుదించునది,ವಾಯು ಸಂಕೋಚಕ
ఎయిర్ కండెన్సర్,ವಾಯುಮಂಡಲ
గాలి చల్లబడింది,ಗಾಳಿ ತಣ್ಣಗಾಯಿತು
ఎయిర్ కోర్డ్ కాయిల్,ಏರ್ ಕೋರ್ಡ್ ಕಾಯಿಲ್
ఎయిర్ కండిషనింగ్,ಹವಾನಿಯಂತ್ರಣ
ఆల్బెడో,ಪಂಥದ
అల్గోరిథం,ಅಲ್ಗಾರಿದಮ್
అలియాసింగ్,ಅಲಿಯಾಸೆ
సమలేఖనం,ಜೋಡಣೆ
అమరిక,ಜೋಡಣೆ
అన్ని వేవ్ వైమానిక,ಎಲ್ಲಾ ತರಂಗ ವೈಮಾನಿಕ
కేటాయింపు,ಮನವಸಿಕೆ
అక్షరాలు,ವರ್ಣಮಾಲೆಯ
ఆల్ఫాన్యూమరిక్,ವರ್ಣಮಾಲೆಯ
ఆల్ఫాన్యూమరిక్ పాత్ర,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಪಾತ್ರ
ఆల్ఫాన్యూమరిక్ సమాచారం,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಮಾಹಿತಿ
ప్రత్యామ్నాయ కరెంట్ (a.c.),ಪರ್ಯಾಯ ಪ್ರವಾಹ (ಎ.ಸಿ.)
ప్రత్యామ్నాయం,ಪರ್ಯಾಯ
ఆల్టర్నేటర్,ಆವರ್ತಕ
ఎత్తు,ಎತ್ತರ
పొక్కు ఎత్తు,ಅಪೊಗೀ ಎತ್ತರ
మూత యొక్క ఎత్తు,ಪೆರಿಜಿಯ ಎತ್ತರ
Te త్సాహిక రేడియో కమ్యూనికేషన్,ಹವ್ಯಾಸಿ ರೇಡಿಯೋ ಸಂವಹನ
వాతావరణం,ಒಳಭಾಗ
వాతావరణ మైక్రోఫోన్,ವಾತಾವರಣ ಮೈಕ್ರೊಫೋನ್
పరిసర పరిస్థితి,ಸುತ್ತುವರಿದ ಸ್ಥಿತಿ
పరిసర లైటింగ్,ಸುತ್ತುವರಿದ ಬೆಳಕು
పరిసర శబ్దం,ಸುತ್ತುವರಿದ ಶಬ್ದ
పరిసర ఉష్ణోగ్రత,ಹೊರಗಿನ ತಾಪಮಾನ
అమెరికన్ స్టాండర్డ్ కోడ్,ಅಮೇರಿಕನ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಕೋಡ್
Ampere,ಒಂದು ಬಗೆಯ ಕಂತು
ఆంపియర్ మీటర్,ಕಪಾಟಿ ಮೀಟರ್
విస్తరణ,ವರ್ಧನೆ
యాంప్లిఫికేషన్ కారకం,ವರ್ಧನೆ ಅಂಶ
యాంప్లిఫైయర్,ಉಲ್ಬಣಕ
యాంప్లిఫైయర్ లాభం,ಆಂಪ್ಲಿಫಯರ್ ಗಳಿಕೆ
యాంప్లిఫైయర్ శబ్దం,ವರ್ಧಕ ಶಬ್ದ
పరికరాలను విస్తరించడం,ಉಪಕರಣಗಳನ್ನು ವರ್ಧಿಸುವುದು
క్లైస్ట్రాన్ విస్తరించడం,ಕ್ಲೈಸ್ಟ್ರಾನ್ ಅನ್ನು ವರ್ಧಿಸುವುದು
యాంప్లిఫైయింగ్ యూనిట్,ವರ್ಧಿಸುವ ಘಟಕ
వ్యాప్తి,ವೈಶಾಲ್ಯ
వ్యాప్తి వక్రీకరణ,ವೈಶಾಲ್ಯ ಅಸ್ಪಷ್ಟತೆ
వ్యాప్తి విహారయాత్ర,ವೈಶಾಲ್ಯ ವಿಹಾರ
వ్యాప్తి కారకం,ಆಂಪ್ಲಿಟ್ಯೂಡ್ ಫ್ಯಾಕ್ಟರ್
వ్యాప్తి పరిమితి,ವೈಶಾಲ್ಯ
వ్యాప్తి మాడ్యులేటెడ్,ಆಂಪ್ಲಿಟ್ಯೂಡ್ ಮಾಡ್ಯುಲೇಟೆಡ್
యాంప్లిట్యూడ్ మాడ్యులేషన్,ವೈಶಾಲ್ಯ
అనలాగ్ (అనలాగ్),ಅನಲಾಗ್ (
అనలాగ్ సర్క్యూట్,ಸರ್ಕ್ಯೂಟ್
అనలాగ్ కంప్యూటర్,ಅನಾನುಕೂಲ ಕಂಪ್ಯೂಟರ್
ఫ్రీక్వెన్సీ ఛానల్,ಅನಲಾಗ್ ರೇಡಿಯೋ ಆವರ್ತನ ಚಾನಲ್
అనలాగ్ ప్రాతినిధ్యం,ಸಾದೃಶ್ಯ ನಿರೂಪಣೆ
అనలాగ్ సిగ్నల్,ಅನಾಲಾಗ್ ಸಂಕೇತ
డిజిటల్‌కు అనలాగ్,ಡಿಜಿಟಲ್ಗೆ ಅನಲಾಗ್
డిజిటల్ కన్వర్టర్‌కు అనలాగ్,ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್
అనలాగ్ వీడియో,ಅನಾನುಕೂಲ ವಿಡಿಯೋ
సారూప్యత,ಹೋಲುವ
సారూప్యత,ಸಾದೃಶ್ಯ
విశ్లేషణ,ವಿಶ್ಲೇಷಣೆ
డేటా యొక్క విశ్లేషణ,ಡೇಟಾದ ವಿಶ್ಲೇಷಣೆ
విశ్లేషణాత్మక సాంద్రత,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಸಾಂದ್ರತೆ
విశ్లేషించడానికి,ವಿಶ್ಲೇಷಿಸು
ఎనలైజర్,ವಿಶ್ಲೇಷಕ
సహాయక పరికరాలు,ಪೂರಕ ಉಪಕರಣಗಳು
మరియు గేట్,ಮತ್ತು ಗೇಟ್
కొలిమేషన్ యొక్క కోణం,ಘರ್ಷಣೆಯ ಕೋನ
ధ్రువణ కోణం,ಧ್ರುವೀಕರಣದ ಕೋನ
భ్రమణ కోణం,ತಿರುಗುವಿಕೆಯ ಕೋನ
గోరు,ಆಂಗ್‌ಸ್ಟ್ರಾಮ್ (Å)
కోణీయ,ಕೋನೀಯ
కోణీయ త్వరణం,ಕೋನೀಯ ವೇಗವರ್ಧನೆ
కోణీయ సమన్వయాలు,ಕೋನೀಯ ಸಮನ್ವಯ
కోణీయ విక్షేపం,ಕೋನೀಯ ವಿಚಲನ
కోణీయ చెదరగొట్టడం,ಕೋನೀಯ ಪ್ರಸರಣ
కోణీయ స్థానభ్రంశం,ಕೋನೀಯ ಸ್ಥಳಾಂತರ
కోణీయ లోపం,ಕೋನೀಯ ದೋಷ
కోణీయ పౌన .పున్యం,ಕೋನೀಯ ಆವರ್ತನ
కోణీయ మొమెంటం,ಕೋನೀಯ ಆವೇಗ
కోణీయ కదలిక,ಕೋನೀಯ ಚಲನೆ
కోణీయ వేగం,ಕೋನೀಯ ವೇಗ
యానిమేషన్,ಅನೆ
యానోడ్,ಆವರಣ
యానోడ్ బ్యాటరీ,ಆನೋಡ್ ಬ್ಯಾಟರಿ
యానోడ్ లక్షణం,ಆನೋಡ್ ವಿಶಿಷ್ಟ ಲಕ್ಷಣಗಳು
యానోడ్ సర్క్యూట్,ಆಂಡ್ಹ್ಯೋಡ್ ವೃತ್ತ
యానోడ్ వెదజల్లడం,ಆನೋಡ್ ಹರಡುವಿಕೆ
యానోడ్ సామర్థ్యం,ಆನೋಡ್ ದಕ್ಷತೆ
యానోడ్ ఇన్పుట్ శక్తి,ಆನೋಡ್ ಇನ್ಪುಟ್ ಶಕ್ತಿ
యానోడ్ మాడ్యులేషన్,ಆನೋಡ್ ಮಾಡ್ಯುಲೇಷನ್
యాంటెన్నా,ಆನಂತಾ
యాంటెన్నా బీమ్విడ్త్,ಆಂಟೆನಾ ಬೀಮ್‌ವಿಡ್ತ್
యాంటెన్నా బూస్టర్,ಆಂಟೆನಾ ಬೂಸ್ಟರ್
యాంటెన్నా చేంజ్ఓవర్ స్విచ్,ಆಂಟೆನಾ ಚೇಂಜ್ಓವರ್ ಸ್ವಿಚ್
యాంటెన్నా కాయిల్,ಆಂಟೆನಾ ಕಾಯಿಲ್
యాంటెన్నా కాన్ఫిగరేషన్,ಆಂಟೆನಾ ಸಂರಚನೆ
యాంటెన్నా కప్లర్,ಆಂಟೆನಾ ಸಹಕ
యాంటెన్నా క్రాస్ ధ్రువ నమూనా,ಆಂಟೆನಾ ಕ್ರಾಸ್ ಪೋಲಾರ್ ಪ್ಯಾಟರ್ನ್
యాంటెన్నా కరెంట్,ಪ್ರವಾಹ
యాంటెన్నా డైరెక్టివిటీ లాభం,ಆಂಟೆನಾ ನಿರ್ದೇಶನ ಲಾಭ
యాంటెన్నా డ్యూప్లెక్సర్,ಆಂಟೆನಾ ಡ್ಯುಪ್ಲೆಕ್ಸರ್
యాంటెన్నా ప్రభావవంతమైన ప్రాంతం,ಆಂಟೆನಾ ಪರಿಣಾಮಕಾರಿ ಪ್ರದೇಶ
యాంటెన్నా సామర్థ్యం,ಆಂಟೆನಾ ದಕ್ಷತೆ
యాంటెన్నా ఫీడ్,ಆಂಟೆನಾ ಫೀಡ್
యాంటెన్నా ఫుట్ ప్రింట్,ಆಂಟೆನಾ ಕಾಲು ಮುದ್ರಣ
యాంటెన్నా లాభం,ಆಂಟೆನಾ ಗಳಿಕೆ
యాంటెన్నా ఎత్తు,ಆಂಟೆನಾ ಎತ್ತರ
యాంటెన్నా ఇంపెడెన్స్,ಪ್ರತಿರೋಧ
యాంటెన్నా ఇండక్టెన్స్,ಆಂಟೆನಾ ಪ್ರಚೋದನೆ
యాంటెన్నా నమూనా,ಆಂಟೆನಾ ಮಾದರಿ
యాంటెన్నా ప్లెక్సర్,ಪತಂಗ
యాంటెన్నా ధ్రువణత,ಆಂಟೆನಾ ಧ್ರುವೀಕರಣ
యాంటెన్నా శక్తి,ಆಂಟೆನಾ ಶಕ್ತಿ
యాంటెన్నా శక్తి లాభం,ಆಂಟೆನಾ ವಿದ್ಯುತ್ ಲಾಭ
యాంటెన్నా రేడియేషన్ నిరోధకత,ಆಂಟೆನಾ ವಿಕಿರಣ ಪ್ರತಿರೋಧ
యాంటెన్నా రియాక్టెన్స్,ಆಂಟೆನಾ ಪ್ರತಿಕ್ರಿಯೆ
యాంటెన్నా రిఫ్లెక్టర్,ಆಂಟೆನಾ ಪ್ರತಿಫಲನ
యాంటెన్నా నిరోధకత,ಆಂಟೆನಾ ಪ್ರತಿರೋಧ
యాంటెన్నా ప్రతిధ్వని ఫ్రీక్వెన్సీ,ಆಂಟೆನಾ ಪ್ರತಿಧ್ವನಿಸುವ ಆವರ್ತನ
యాంటెన్నా స్పేసింగ్,ಆಂತರಿಕ ಅಂತರ
యాంటెన్నా స్విచింగ్ రూమ్,ಆಂಟೆನಾ ಸ್ವಿಚಿಂಗ್ ರೂಮ್
యాంటెన్నా ట్యూనింగ్ కాయిల్,ಆಂಟೆನಾ ಟ್ಯೂನಿಂಗ್ ಕಾಯಿಲ್
యాంటెన్నా ట్యూనింగ్ హట్,ಆಂಟೆನಾ ಟ್ಯೂನಿಂಗ್ ಹಟ್
ఎపర్చరు,ದ್ಯುತಿರಂಧ್ರ
అపోజీ,ಮಂಜುಗಡ್ಡೆಯ
అపోజీ రాకెట్,ಕಟಾ ರಾಕೆಟ್
ఉపకరణం,ಉಪಕರಣ
స్పష్టంగా,ಸ್ಪಷ್ಟ
ఆప్లెట్,ರಭಸ
అప్లికేషన్,ಅನ್ವಯಿಸು
సుమారు,ಅಂದಾಜು
అక్వేస్ ద్రావణం,ಅಕ್ವೌಸ್ ಪರಿಹಾರ
ఆర్క్,ಚಾಪ
వాస్తుశిల్పం,ವಾಸ್ತುಶಿಲ್ಪಿ
సౌండ్ రికార్డింగ్ యొక్క ఆర్కైవల్ బదిలీ,ಧ್ವನಿ ರೆಕಾರ್ಡಿಂಗ್ ಆರ್ಕೈವಲ್ ವರ್ಗಾವಣೆ
ఆర్కైవ్స్,ಆರ್ಕೈವ್ಸ್
అంకగణిత కోడింగ్,ಅಂಕಗಣಿತದ ಕೋಡಿಂಗ್
ఆర్మేచర్,ಶಸ್ತ್ರಾಸ್ತ್ರ
ఆర్మేచర్ వైండింగ్,ಆರ್ಮೇಚರ್ ವಿಂಡಿಂಗ್
అమరిక,ರಂಗ
అరేస్టర్,ಬಂಧಕ
ఉచ్చారణ,ಉಚ್ಚ್ಯ
(= కళాఖండము,ಕಲಾಕೃತಿ (= ಕಲಾಕೃತಿ)
ఆరోహణ,ಏರಿಕೆ
కారక నిష్పత్తి,ಶೋಧ ಅನುಪಾತ
సమీకరించేవాడు,ಷೋಬರೆ
వాదన,ಪ್ರತಿಪಾದಿಸುವುದು
అప్పగింత,ನಿಯೋಜನೆ
అసైన్‌మెంట్ ఛానల్,ನಿಯೋಜನೆ ಚಾನೆಲ್
అసమాన,ಅಸಮ್ಮತಿಗೆ ಸಂಬಂಧಿಸಿದ
అసమకాలిక,ಅಸಮಕಾಲಿಕ
వాతావరణం,ವಾತಾವರಣ
వాతావరణ నష్టం,ವಾತಾವರಣದ ನಷ್ಟ
వాతావరణ శబ్దం,ವಾತಾವರಣದ ಶಬ್ದ
వాతావరణ పీడనం,ವಾತಾವರಣದ ಒತ್ತಡ
వాతావరణ ప్రచారం,ವಾತಾವರಣದ ಪ್ರಸರಣ
వాతావరణ రేడియో-వేవ్,ವಾತಾವರಣದ ರೇಡಿಯೋ ತರಂಗ
వాతావరణం,ವಾತಾವರಣದ
అణువు,ಪರಮಾಣು
అణు నిర్మాణం,ಪರಮಾಣು ರಚನೆ
అటాచ్మెంట్,ಬಾಂಧಾಣ
అటెన్యుయేషన్,ಗಮನ
అటెన్యుయేషన్ నష్టం,ಅಟೆನ್ಯೂಯೇಷನ್ ​​ನಷ್ಟ
ధ్వని తరంగాల యొక్క అటకన,ಧ್ವನಿ ತರಂಗಗಳ ಅಟೆನ್ಯೂಯೇಷನ್
అటెన్యూయేటర్,ಕೈಗೆಟುಕುವವನು
అటెన్యూయేటర్-ప్యాడ్,ಅಟೆಂಡು-ಪ್ಯಾಡ್
విడిబిలిటీ థ్రెషోల్డ్,ಶ್ರದ್ಧೆಯ ಮಿತಿ
వినగల,ಶ್ರವ್ಯ
వినగల ఫ్రీక్వెన్సీ,ಶ್ರವ್ಯ ಆವರ್ತನ
వినగల స్వరం,ಶ್ರವ್ಯ ಸ್ವರ
వినగల-స్పెక్ట్రం,ಸ್ವಸಾಧ್ಯ
ప్రేక్షకులు,ಪ್ರೇಕ್ಷಕರು
ఆడియో,ಆವಿಷ್ಕಾರ
ఆడియో యాంప్లిఫైయర్,ಆಡಿಯೊ ಆಂಪ್ಲಿಫೈಯರ್
ఆడియో ఎనలైజర్,ಆಡಿಯೊ ವಿಶ್ಲೇಷಕ
ఆడియో ప్రసారం,ಆಡಿಯೊ ಪ್ರಸಾರ
ఆడియో కేబుల్,ಆಡಿಯೊ ಕೇಬಲ್
ఆడియో గొలుసు,ಆಡಿಯೊ ಸರಪಳಿ
ఆడియో కోడెక్,ಆಡಿಯೊ ಕೋಡೆಕ್
ఆడియో కుదింపు,ಆಡಿಯೊ ಸಂಕೋಚನ
ఆడియో కంప్రెసర్,ಆಡಿಯೊ ಸಂಕೋಚಕ
ఆడియో కన్సోల్,ಆಡಿಯೊ ಕನ್ಸೋಲ್
ఆడియో వక్రీకరణ,ಆಡಿಯೊ ಅಸ್ಪಷ್ಟತೆ
ఆడియో డైనమిక్ పరిధి,ಆಡಿಯೊ ಡೈನಾಮಿಕ್ ಶ್ರೇಣಿ
ఆడియో ఫైల్ ఫార్మాట్,ಆಡಿಯೊ ಫೈಲ್ ಸ್ವರೂಪ
ఆడియో ఫ్రేమ్ ఫార్మాట్,ಆಡಿಯೊ ಫ್ರೇಮ್ ಸ್ವರೂಪ
ఆడియో ఫ్రీక్వెన్సీ యాంప్లిఫైయర్,ಆಡಿಯೊ ಆವರ್ತನ ಆಂಪ್ಲಿಫಯರ್
ఆడియో ఫ్రీక్వెన్సీ జనరేటర్,ಆಡಿಯೊ ಆವರ್ತನ ಜನರೇಟರ್
ఆడియో ఫ్రీక్వెన్సీ పరిధి,ಆಡಿಯೊ ಆವರ್ತನ ಶ್ರೇಣಿ
ఆడియో ఫ్రీక్వెన్సీ ప్రతిస్పందన,ಆಡಿಯೊ ಆವರ್ತನ ಪ್ರತಿಕ್ರಿಯೆ
ఆడియో పరిమితి,ಆವಿಷ್ಕಾರದ ಮಿತಿ
ఆడియో లైన్,ಆಡಿಯೊ ಮಾರ್ಗ
ఆడియో మిక్సర్,ಆಡಿಯೊ ಮಿಕ್ಸರ್
ఆడియో మాడ్యులేషన్,ಆಡಿಯೊ ಮಾಡ್ಯುಲೇಷನ್
ఆడియో ఓసిలేటర్,ಆವಿಭರಣ
ఆడియో అవుట్పుట్,ಆಡಿಯೊ ಉತ್ಪಾದನೆ
ఆడియో శక్తి,ಆಡಿಯೊ ಶಕ್ತಿ
ఆడియో నాణ్యత,ಆಡಿಯೊ ಗುಣಮಟ್ಟ
ఆడియో సిగ్నల్,ಆಡಿಯೊ ಸಂಕೇತ
ఆడియో సిగ్నల్ ప్రాసెసింగ్,ಆಡಿಯೊ ಸಿಗ್ನಲ್ ಸಂಸ್ಕರಣೆ
ఆడియో స్పెక్ట్రం,ಆಡಿಯೊ ವರ್ಣಪಟಲ
ఆడియో నిల్వ,ಆಡಿಯೊ ಸಂಗ್ರಹಣೆ
ఆడియో సబ్ క్యారియర్,ಆಡಿಯೊ ಉಪನಾಮ
ఆడియో ట్రాన్స్ఫార్మర్,ಆಡಿಯೊ ಪರಿವರ್ತಕ
ఆడియో ట్రాన్స్మిటర్,ಆಡಿಯೊ ಟ್ರಾನ್ಸ್ಮಿಟರ್
శ్రవణ/వీడియో కుదింపు,ಆಡಿಯೋ/ವಿಡಿಯೋ ಸಂಕೋಚನ
ఆడియో-ఫ్రీక్వెన్సీ ఓసిలేటర్,ಆಡಿಯೊ ಆವರ್ತನ ಆಂದೋಲಕ
ఆడియో-ఫ్రీక్వెన్సీ సిగ్నల్,ಆವರ್ತನ ಆವರ್ತನ ಸಂಕೇತ
ఆడియోమెట్రీ,ಆಲಿಕಲ್ಲು ಮಾಪನ
ఆడియో-విజువల్ ఎయిడ్,ಆಡಿಯೋ ದೃಶ್ಯ ಸಹಾಯ
శ్రవణ అవగాహన,ಶ್ರವಣೇಂದ್ರಿಯ ಗ್ರಹಿಕೆ
ప్రామాణీకరణ,ದೃentೀಕರಣ
అధీకృత క్యారియర్ ఫ్రీక్వెన్సీ,ಅಧಿಕೃತ ವಾಹಕ ಆವರ್ತನ
ఆటో క్యాడ్,ಆಟೋ ಸಿಎಡಿ
ఆటో డయాగ్నస్టిక్స్,ಸ್ವಯಂ ರೋಗನಿರ್ಣಯ
