Marathi,Kannada
पत्ता मॅपिंग,ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್
पत्ता सूचक,ವಿಳಾಸ ಸೂಚಕ
पत्ता नोंदवही,ವಿಳಾಸ ರಿಜಿಸ್ಟರ್
पत्ता ब्रेकडाउन,ವಿಳಾಸ ಸ್ಥಗಿತ
पत्ता अनुवाद,ವಿಳಾಸ ಅನುವಾದ
"1. पत्ता मेमरी, 2. पत्ता करण्यायोग्य मेमरी","1. ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಮರಣೆ, 2. ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಮರಣೆ"
संबोधित,ಉದ್ದೇಶಿಸಿ
"1. पर्याप्ततेचे निकष, 2. पर्याप्तता निकष","1. ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡ, 2. ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡ"
संलग्नक,ಬಾಂಧವ್ಯ
"1. व्यवस्थापन, 2. नियंत्रण","1. ನಿರ್ವಹಣೆ, 2. ನಿಯಂತ್ರಣ"
"1. व्यवस्थापक, 2. नियंत्रक","1. ಮ್ಯಾನೇಜರ್, 2. ನಿಯಂತ್ರಕ"
adobe acrobat,ಅಡೋಬ್ ಅಕ್ರೋಬ್ಯಾಟ್
अडोब फोटोशाॅप,ಅಡೋಬ್ ಫೋಟೋಶಾಪ್
ABAP (प्रगत व्यवसाय प्रोग्रामिंग),ABAP (ಸುಧಾರಿತ ವ್ಯಾಪಾರ ಪ್ರೋಗ್ರಾಮಿಂಗ್)
"1. प्रगत डेटा, 2. प्रगत डेटा","1. ಸುಧಾರಿತ ಡೇಟಾ, 2. ಸುಧಾರಿತ ಡೇಟಾ"
प्रगत माहिती प्रणाली,ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ
प्रगत तंत्रज्ञान (AT),ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ (AT)
क्रिया,ಕ್ರಮ
एकत्रीकरण,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
एअरबोर्न संगणक प्रणाली,ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ
aldus page-make,ಅಲ್ಡಸ್ ಪೇಜ್-ಮೇಕ್
अलर्ट बॉक्स,ಎಚ್ಚರಿಕೆ ಪೆಟ್ಟಿಗೆ
अल्गोल (संगणक भाषा),ಅಲ್ಗೋಲ್ (ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ)
"1. अल्गोरिदम, 2. अल्गोरिदम","1. ಅಲ್ಗಾರಿದಮ್, 2. ಅಲ್ಗಾರಿದಮ್"
"1. अल्गोरिदम विश्लेषण, 2. अल्गोरिदम विश्लेषण","1. ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ, 2. ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ"
अल्गोरिदम कार्यक्षमता,ಅಲ್ಗಾರಿದಮ್ ದಕ್ಷತೆ
"1. इलियास, 2. टोपणनाव, 3. उर्फ","1. ಎಲಿಯಾಸ್, 2. ಅಡ್ಡಹೆಸರು, 3. ಅಕಾ"
संरेखन,ಜೋಡಣೆ
"1. वाटप, 2. वाटप","1. ಹಂಚಿಕೆ, 2. ಹಂಚಿಕೆ"
"1. वर्णमाला, 2. अक्षर क्रमानुसार","1. ವರ್ಣಮಾಲೆಯ, 2. ವರ್ಣಮಾಲೆಯ ಪ್ರಕಾರ"
अल्फान्यूमेरिक,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್
"1. अल्फान्यूमेरिक कीबोर्ड ,2. अल्फान्यूमेरिक कीबोर्ड","1. ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀಬೋರ್ಡ್, 2. ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀಬೋರ್ಡ್"
अल्फा-चाचणी (पहिली स्तर चाचणी),ಆಲ್ಫಾ-ಪರೀಕ್ಷೆ (1 ನೇ ಹಂತದ ಪರೀಕ್ಷೆ)
"1. अल्फा आवृत्ती, 2. अल्फा फॉर्म","1. ಆಲ್ಫಾ ಆವೃತ್ತಿ, 2. ಆಲ್ಫಾ ರೂಪ"
alt की,ಆಲ್ಟ್ ಕೀ
altavista,ಅಲ್ಟಾವಿಸ್ತಾ
बहुविधता,ಬಹುತ್ವ
अस्पष्ट व्याकरण,ಅಸ್ಪಷ್ಟ ವ್ಯಾಕರಣ
अमेरिकन नॅशनल स्टँडीज इन्स्टिट्यूट (ANSI),ಅಮೇರಿಕನ್ ನ್ಯಾಷನಲ್ ಸ್ಟಾಂಡೀಸ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ (ANSI)
अमेरिकन स्टँडर्ड कट (ascii),ಅಮೇರಿಕನ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಕಟ್ (ascii)
"1. समानार्थी, 2. अॅनालॉग","1. ಸಾದೃಶ್ಯ, 2. ಅನಲಾಗ್"
"1. अॅनालॉग संगणक, 2. अॅनालॉग संगणक","1. ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್, 2. ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್"
"1. अॅनालॉग उपकरण, 2. अॅनालॉग डिव्हाइस","1. ಅನಲಾಗ್ ಸಾಧನ, 2. ಅನಲಾಗ್ ಸಾಧನ"
"1. अॅनालॉग मॉडेम, 2. अॅनालॉग मॉडेम","1. ಅನಲಾಗ್ ಮೋಡೆಮ್, 2. ಅನಲಾಗ್ ಮೋಡೆಮ್"
अॅनालॉग ते डिजिटल कन्व्हर्टर,ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್
शेवट (डिजिटल/प्लेन लॉजिक &#39;आणि&#39; वापरलेले),ಅಂತ್ಯ (ಡಿಜಿಟಲ್/ಪ್ಲೇನ್ ಲಾಜಿಕ್ &#39;ಮತ್ತು&#39; ಬಳಸಲಾಗಿದೆ)
एंड सर्किट,ಅಂತಿಮ ಸರ್ಕ್ಯೂಟ್
शेवटचे गेट आणि गेट,ಕೊನೆಯ ಗೇಟ್ ಮತ್ತು ಗೇಟ್
आणि ऑपरेशन नाही (वगळणे),ಮತ್ತು ಕಾರ್ಯಾಚರಣೆಯಲ್ಲ (ಹೊರಗಿಡುವಿಕೆ)
"1. अॅनिमेशन, 2. कंपन","1. ಅನಿಮೇಷನ್, 2. ಕಂಪನ"
नोंद,ಸೂಚನೆ
विसंगती,ಅಸಂಗತತೆ
मागील,ಹಿಂದಿನ
आगाऊ पेजिंग,ನಿರೀಕ್ಷಿತ ಪೇಜಿಂಗ್
काउंटर-सिमेट्रिक,ಪ್ರತಿ-ಸಮ್ಮಿತೀಯ
अँटीव्हायरल प्रोग्राम,ಆಂಟಿವೈರಲ್ ಪ್ರೋಗ್ರಾಂ
"1. ऍपलेट, 2. अर्ज","1. ಆಪ್ಲೆಟ್, 2. ಅಪ್ಲಿಕೇಶನ್"
अनुप्रयोग विकसक,ಅಪ್ಲಿಕೇಶನ್ ಡೆವಲಪರ್
अनुप्रयोग प्रोग्रामिंग,ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್
"1. ऍप्लिकेशन प्रोग्रामिंग इंटरफेस, 2. ऍप्लिकेशन प्रोग्रामिंग इंटरफेस (API)","1. ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್, 2. ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್ (API)"
अनुप्रयोग सॉफ्टवेअर,ಅಪ್ಲಿಕೇಶನ್ ಸಾಫ್ಟ್ವೇರ್
अनुप्रयोग भाषा,ಅಪ್ಲಿಕೇಶನ್ ಭಾಷೆ
अंदाजे तत्त्व,ಅಂದಾಜು ತತ್ವ
रचना,ರಚನೆ
फील्ड हस्तांतरण,ಕ್ಷೇತ್ರ ವರ್ಗಾವಣೆ
"1. पॅरामीटर, स्वतंत्र चल, 2. कोन","1. ನಿಯತಾಂಕ, ಸ್ವತಂತ್ರ ವೇರಿಯಬಲ್, 2. ಕೋನ"
"1. अंकगणित आणि तर्कशास्त्र एकक, 2. अंकगणित आणि तर्कशास्त्र एकक","1. ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ, 2. ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ"
अंकगणित तपासणी,ಅಂಕಗಣಿತದ ಪರಿಶೀಲನೆ
अंकगणित स्थिरांक,ಅಂಕಗಣಿತದ ಸ್ಥಿರ
अंकगणित डेटा,ಅಂಕಗಣಿತದ ಡೇಟಾ
अंकगणित सूचना,ಅಂಕಗಣಿತದ ಸೂಚನೆ
गणिती आणि तार्किक एकक (ALU),ಗಣಿತ ಮತ್ತು ತಾರ್ಕಿಕ ಘಟಕ (ALU)
ARPA नेट (RPNet),ARPA ನೆಟ್ (RPNet)
रचना,ಶ್ರೇಣಿ
"1. अॅरे कॅशे, 2. अॅरे गती, 3. अॅरे मेमरी","1. ರಚನೆಯ ಸಂಗ್ರಹ, 2. ರಚನೆಯ ವೇಗ, 3. ರಚನೆಯ ಮೆಮೊರಿ"
अॅरे संगणक,ಅರೇ ಕಂಪ್ಯೂಟರ್
अॅरे घटक,ರಚನೆಯ ಅಂಶ
अॅरे नाव,ರಚನೆಯ ಹೆಸರು
अॅरे प्रोसेसर,ರಚನೆಯ ಪ್ರೊಸೆಸರ್
बाण की,ಬಾಣದ ಕೀಲಿ
करार,ಒಪ್ಪಂದ
जंक्शन पॉइंट,ಜಂಕ್ಷನ್ ಪಾಯಿಂಟ್
कृत्रिम कॉम्पॅक्शन,ಕೃತಕ ಸಂಕೋಚನ
कृत्रिम नियंत्रण,ಕೃತಕ ನಿಯಂತ್ರಣ
कृत्रिम भावना,ಕೃತಕ ಅರ್ಥದಲ್ಲಿ
माउंट,ಆರೋಹಣ
चढत्या क्रमवारी,ಆರೋಹಣ ರೀತಿಯ
ascii वर्णमाला,ascii ವರ್ಣಮಾಲೆ
ascii नियंत्रण चिन्ह,ascii ನಿಯಂತ್ರಣ ಚಿಹ್ನೆ
ascii फाइल,ascii ಫೈಲ್
ascii फॉन्ट,ascii ಫಾಂಟ್
ASCII हस्तांतरण,ASCII ವರ್ಗಾವಣೆ
प्रसर गुणोत्तर,ಆಕಾರ ಅನುಪಾತ
"1. एस्पी, 2. एएसपीआय","1. ಆಸ್ಪಿ, 2. ASPI"
ए एस आर कलाड,ಎ ಎಸ್ ಆರ್ ಕಲಾದ್
"1. स्मरण, 2. एकत्र करणे, 3. एकत्र करणे","1. ಸ್ಮರಣೆ, 2. ಜೋಡಣೆ, 3. ಜೋಡಿಸಲು"
"1. असेंबलर, 2. स्मरणपत्र","1. ಅಸೆಂಬ್ಲರ್, 2. ಜ್ಞಾಪನೆ"
"1. एकत्र करणे, 2. आठवण","1. ಜೋಡಿಸುವುದು, 2. ಸ್ಮರಣೆ"
"1. लक्षात ठेवण्याची भाषा, 2. भाषा एकत्र करणे","1. ಕಂಠಪಾಠ ಭಾಷೆ, 2. ಭಾಷೆ ಜೋಡಣೆ"
निर्धार,ನಿರ್ಣಯ
"1. निर्दिष्ट कार्य, 2. वाटप","1. ನಿಗದಿತ ಕೆಲಸ, 2. ಹಂಚಿಕೆ"
सहवास,ಒಡನಾಟ
सहयोगी पत्ता,ಸಹಾಯಕ ವಿಳಾಸ
"1. सहयोगी स्मृती, 2. सहयोगी स्मृती","1. ಸಹಾಯಕ ಸ್ಮರಣೆ, 2. ಸಹಾಯಕ ಸ್ಮರಣೆ"
तारका (* चिन्ह),ನಕ್ಷತ್ರ ಚಿಹ್ನೆ (* ಚಿಹ್ನೆ)
असममित,ಅಸಮ್ಮಿತ
"1. असिंक्रोनस, 2. असिंक्रोनस","1. ಅಸಮಕಾಲಿಕ, 2. ಅಸಮಕಾಲಿಕ"
असिंक्रोनस डिजिटल सबस्क्राइबर लाइन (ADSL),ಅಸಮಕಾಲಿಕ ಡಿಜಿಟಲ್ ಚಂದಾದಾರರ ಸಾಲು (ADSL)
असिंक्रोनस टाइम डिव्हिजन मल्टीप्लेक्सिंग (ATDM),ಅಸಿಂಕ್ರೊನಸ್ ಟೈಮ್ ಡಿವಿಷನ್ ಮಲ್ಟಿಪ್ಲೆಕ್ಸಿಂಗ್ (ATDM)
असिंक्रोनस हस्तांतरण,ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ
असिंक्रोनस ट्रान्सफर मोड (ATM),ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ ಮೋಡ್ (ATM)
"1. अणू, 2. परमान","1. ಪರಮಾಣು, 2. ಪರಮನ್"
संलग्न दस्तऐवज,ಲಗತ್ತಿಸಲಾದ ಡಾಕ್ಯುಮೆಂಟ್
"1. संलग्न फाइल/ मिसाइल, 2. संलग्न फाइल","1. ಲಗತ್ತಿಸಲಾದ ಫೈಲ್/ಮಿಸಿಲ್, 2. ಲಗತ್ತಿಸಲಾದ ಕಡತ"
"1. संलग्नक, 2. संलग्न","1. ಆವರಣ, 2. ಸಂಯೋಜಿತ"
"1. गुणधर्म, 2. खासियत","1. ಗುಣಲಕ್ಷಣಗಳು, 2. ವಿಶೇಷತೆ"
ऐकण्यायोग्य,ಶ್ರವ್ಯ
"1. ऑडिट प्रोग्रामिंग, 2. ऑडिट प्रोग्रामिंग","1. ಆಡಿಟ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಆಡಿಟ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್"
खाते सत्यापन,ಖಾತೆ ಪರಿಶೀಲನೆ
जाहिरात,ಪ್ರಚಾರ
प्रमाणन प्रोटोकॉल,ಪ್ರಮಾಣೀಕರಣ ಪ್ರೋಟೋಕಾಲ್
लेखन पद्धत,ಲೇಖಕರ ವಿಧಾನ
"1. प्राधिकरण, 2. अधिकार, 3. न्यायाधिकरण","1. ಪ್ರಾಧಿಕಾರ, 2. ಅಧಿಕಾರ, 3. ನ್ಯಾಯಮಂಡಳಿ"
स्वयं गोषवारा,ಸ್ವಯಂ ಅಮೂರ್ತ
"1. ऑटो बूटिंग, 2. स्वत: बूट","1. ಸ್ವಯಂ ಬೂಟಿಂಗ್, 2. ಸ್ವಯಂ ಬೂಟ್"
ऑटोकॅड (संगणक भाषा),ಆಟೋಕ್ಯಾಡ್ (ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ)
ऑटो लॉग-ऑन,ಸ್ವಯಂ ಲಾಗ್-ಆನ್
स्वयंचलित,ಸ್ವಯಂಚಾಲಿತ
ऑटोमेटा सिद्धांत,ಸ್ವಯಂಚಾಲಿತ ಸಿದ್ಧಾಂತ
स्वयंचलित गणना,ಸ್ವಯಂಚಾಲಿತ ಲೆಕ್ಕಾಚಾರ
स्वयंचलित डेटा प्रक्रिया,ಸ್ವಯಂಚಾಲಿತ ಡೇಟಾ ಸಂಸ್ಕರಣೆ
स्वयंचलित त्रुटी सुधारणा,ಸ್ವಯಂಚಾಲಿತ ದೋಷ ತಿದ್ದುಪಡಿ
स्वयं कार्य,ಸ್ವಯಂ ಕಾರ್ಯ
"1. स्वयंचलित अनुक्रमणिका, 2. स्वयंचलित सूची","1. ಸ್ವಯಂಚಾಲಿತ ಇಂಡೆಕ್ಸಿಂಗ್, 2. ಸ್ವಯಂಚಾಲಿತ ಪಟ್ಟಿ"
स्वयं-संग्रह कॉल,ಸ್ವಯಂ ಸಂಗ್ರಹ ಕರೆ
"1. स्वयंचलित प्रोग्रामिंग, 2. स्वयंचलित प्रोग्रामिंग","1. ಸ್ವಯಂಚಾಲಿತ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸ್ವಯಂಚಾಲಿತ ಪ್ರೋಗ್ರಾಮಿಂಗ್"
"1. स्वयंचलित पुनर्प्राप्ती कार्यक्रम, 2. स्वयंचलित पुनर्प्राप्ती कार्यक्रम","1. ಸ್ವಯಂಚಾಲಿತ ಚೇತರಿಕೆ ಪ್ರೋಗ್ರಾಂ, 2. ಸ್ವಯಂಚಾಲಿತ ಚೇತರಿಕೆ ಪ್ರೋಗ್ರಾಂ"
स्वयं दिनचर्या,ಸ್ವಯಂ ದಿನಚರಿ
स्वयंचलित प्रणाली पुनर्प्राप्ती,ಸ್ವಯಂಚಾಲಿತ ಸಿಸ್ಟಮ್ ಚೇತರಿಕೆ
"1. ऑटोमॅटिक टेलर मशिन्स (ATM), 2. स्वत: पैसे काढण्यासाठी बँक एटीएम","1. ಸ್ವಯಂಚಾಲಿತ ಟೆಲ್ಲರ್ ಯಂತ್ರಗಳು (ATM), 2. ಸ್ವಯಂ ಹಿಂಪಡೆಯಲು ಬ್ಯಾಂಕ್ ಎಟಿಎಂ"
ऑटोमेशन,ಯಾಂತ್ರೀಕೃತಗೊಂಡ
"1. ऑटोप्ले , 2. ऑटो चालणे","1. ಸ್ವಯಂಪ್ಲೇ, 2. ಆಟೋ ನಡಿಗೆ"
स्वर,ಗಾಯನ
सहाय्यक,ಸಹಾಯಕ
सहाय्यक मेमरी,ಸಹಾಯಕ ಸ್ಮರಣೆ
सहायक स्टोरेज,ಸಹಾಯಕ ಸಂಗ್ರಹಣೆ
उपलब्ध यादी,ಲಭ್ಯವಿರುವ ಪಟ್ಟಿ
उपलब्ध वेळ,ಲಭ್ಯವಿರುವ ಸಮಯ
सरासरी,ಸರಾಸರಿ
AWK (संगणक कमांड),AWK (ಕಂಪ್ಯೂಟರ್ ಆಜ್ಞೆ)
नंतर,ನಂತರ
पोस्ट प्रोसेसर,ಪೋಸ್ಟ್ ಪ್ರೊಸೆಸರ್
पोस्टरियर फंक्शन हटवणे,ಹಿಂಭಾಗದ ಕಾರ್ಯ ಅಳಿಸುವಿಕೆ
पार्श्वभूमी प्रक्रिया,ಹಿನ್ನೆಲೆ ಸಂಸ್ಕರಣೆ
सहायक स्टोअर्स,ಪೂರಕ ಅಂಗಡಿಗಳು
बॅक पॅचिंग,ಮತ್ತೆ ಪ್ಯಾಚಿಂಗ್
"1. पश्चिम, 2. बॅकस्पेस","1. ಪಶ್ಚಿಮ, 2. ಬ್ಯಾಕ್‌ಸ್ಪೇಸ್"
बॅकट्रॅकिंग,ಬ್ಯಾಕ್‌ಟ್ರ್ಯಾಕಿಂಗ್
"1. बॅक-अप, 2. प्रतिपूर्ती","1. ಬ್ಯಾಕ್ ಅಪ್, 2. ಮರುಪಾವತಿ"
"1. पूरक स्मृती, 2. बॅकअप मेमरी","1. ಪೂರಕ ಸ್ಮರಣೆ, 2. ಬ್ಯಾಕ್-ಅಪ್ ಮೆಮೊರಿ"
परत त्रुटी सुधारणा,ಹಿಂದಿನ ದೋಷ ತಿದ್ದುಪಡಿ
(उत्पन्न-खर्च) ताळेबंद,(ಆದಾಯ-ವೆಚ್ಚ) ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್
मलमपट्टी,ಬ್ಯಾಂಡೇಜ್
"1. बँड रुंदी, 2. बँडविड्थ/क्षमता","1. ಬ್ಯಾಂಡ್ ಅಗಲ, 2. ಬ್ಯಾಂಡ್‌ವಿಡ್ತ್/ಸಾಮರ್ಥ್ಯ"
बँकरचा अल्गोरिदम,ಬ್ಯಾಂಕರ್ ಅಲ್ಗಾರಿದಮ್
"1. बार कोड, 2. बार कोड","1. ಬಾರ್ ಕೋಡ್, 2. ಬಾರ್ ಕೋಡ್"
बारकोड स्कॅनर,ಬಾರ್ಕೋಡ್ ಸ್ಕ್ಯಾನರ್
बार आलेख,ಬಾರ್ ಗ್ರಾಫ್
मूळ पत्ता,ಮೂಲ ವಿಳಾಸ
बेस बँड,ಬೇಸ್ ಬ್ಯಾಂಡ್
आधार क्रमांक,ಆಧಾರ್ ಸಂಖ್ಯೆ
बेस टेबल,ಬೇಸ್ ಟೇಬಲ್
बेसिक (संगणक भाषा),ಮೂಲಭೂತ (ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ)
"1. मूलभूत नियंत्रण, 2. बेस नियंत्रण","1. ಮೂಲ ನಿಯಂತ್ರಣ, 2. ಮೂಲ ನಿಯಂತ್ರಣ"
"1. मूळ गुंतवणूक, 2. मूळ गुंतवणूक","1. ಮೂಲ ಹೂಡಿಕೆ, 2. ಮೂಲ ಹೂಡಿಕೆ"
मूलभूत सूचना,ಮೂಲ ಸೂಚನೆ
मूळ समस्या,ಮೂಲ ಸಮಸ್ಯೆ
मूलभूत टप्पा,ಮೂಲ ಹಂತ
"1. बॅच, 2. गट, 3. आपत्ती","1. ಬ್ಯಾಚ್, 2. ಗುಂಪು, 3. ದುರಂತ"
"1. बॅच फाइल, 2. बॅच फाइल","1. ಬ್ಯಾಚ್ ಫೈಲ್, 2. ಬ್ಯಾಚ್ ಫೈಲ್"
बॅच स्थिती,ಬ್ಯಾಚ್ ಸ್ಥಿತಿ
"1. बॅच प्रोसेसिंग, 2. गट प्रक्रिया","1. ಬ್ಯಾಚ್ ಪ್ರಕ್ರಿಯೆ, 2. ಗುಂಪು ಸಂಸ್ಕರಣೆ"
"1. बॅच सिस्टम, 2. कॅटपल्ट प्रणाली","1. ಬ್ಯಾಚ್ ವ್ಯವಸ್ಥೆ, 2. ಕವಣೆ ವ್ಯವಸ್ಥೆ"
बॉड,ಬಾಡ್
बॉड दर,ಬೌಡ್ ದರ
तुळई तुळई,ಕಿರಣದ ಕಿರಣ
