Marathi,Kannada
लक्षणे नसलेला,ಲಕ್ಷಣರಹಿತ
त्रासदायक,ಉಲ್ಬಣಗೊಳಿಸುತ್ತಿದೆ
प्रगतीशील अंदाजक,ಪ್ರಗತಿಪರ ಅಂದಾಜುಗಾರ
प्रतिगामी पक्षपाती अनुमानक,ಹಿಮ್ಮುಖ ಪಕ್ಷಪಾತದ ಅಂದಾಜುಗಾರ
प्रतिगामी आचरण,ಹಿಮ್ಮುಖ ನಡವಳಿಕೆ
आक्रमक वितरण कार्य,ಆಕ್ರಮಣಕಾರಿ ವಿತರಣಾ ಕಾರ್ಯ
वर पसरलेला,ಮೇಲ್ಮುಖವಾಗಿ ಹರಡಿತು
वातावरणाचा दाब,ವಾತಾವರಣದ ಒತ್ತಡ
"यादृच्छिकपणे,",ಯಾದೃಚ್ಛಿಕವಾಗಿ
मालमत्ता*,ಆಸ್ತಿ*
विशेषता-नमुना-यंत्रणा,ಗುಣಲಕ್ಷಣ-ಮಾದರಿ-ಯಾಂತ್ರಿಕತೆ
संवर्धित मॅट्रिक्स,ವರ್ಧಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್
स्वयंसंबंध गुणांक,ಸ್ವಯಂ ಸಂಬಂಧ ಗುಣಾಂಕ
स्वयंसंबंध कार्य,ಸ್ವಯಂ ಸಂಬಂಧ ಕಾರ್ಯ
सहप्रसरण,ಸಹವರ್ತಿತ್ವ
स्वयंचलित संगणक,ಸ್ವಯಂಚಾಲಿತ ಕಂಪ್ಯೂಟರ್
ऑटोरिग्रेशन,ಸ್ವಯಂ ಹಿನ್ನಡೆ
सहाय्यक समीकरण,ಸಹಾಯಕ ಸಮೀಕರಣ
सरासरी नमुना क्रमांक वक्र (MPC वक्र),ಸರಾಸರಿ ಮಾದರಿ ಸಂಖ್ಯೆ ಕರ್ವ್ (MPC ಕರ್ವ್)
"स्वयंसिद्ध, स्वयंसिद्ध","ಮೂಲತತ್ವ, ಮೂಲತತ್ವ"
स्वयंसिद्ध दृष्टीकोन,ಮೂಲತತ್ವ ವಿಧಾನ
संभाव्यता स्वयंसिद्ध,ಸಂಭವನೀಯತೆಯ ಮೂಲತತ್ವ
अक्ष,ಅಕ್ಷರೇಖೆ
भुजक्षा,ಭುಜಾಕ್ಷ
पृथ्वीचा अक्ष,ಭೂಮಿಯ ಅಕ್ಷ
रोटेशन अक्ष,ತಿರುಗುವ ಅಕ್ಷ
रोटेशन अक्ष,ತಿರುಗುವಿಕೆಯ ಅಕ್ಷ
फिरकी अक्ष,ಸ್ಪಿನ್ ಅಕ್ಷ
पोस्ट बदली,ಪೋಸ್ಟ್ ಬದಲಿ
नंतर,ನಂತರ
बॅक इन्सर्टेशन फॉर्म्युला,ಹಿಂದಿನ ಅಳವಡಿಕೆ ಸೂತ್ರ
"शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक","ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ"
संतुलित डिझाइन,ಸಮತೋಲಿತ ವಿನ್ಯಾಸ
ताळेबंद,ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್
क्षेपणास्त्र,ಕ್ಷಿಪಣಿ
"बॅलिस्टिक्स, शस्त्रे","ಬ್ಯಾಲಿಸ್ಟಿಕ್ಸ್, ಶಸ್ತ್ರಾಸ್ತ್ರ"
"स्तंभ, बार, कोब, बार, बार, बार, बार, बार, बार, रेषा, रेषा, चाचणी रेषा, किनार","ಕಾಲಮ್, ಬಾರ್, ಕಾಬ್, ಬಾರ್, ಬಾರ್, ಬಾರ್, ಬಾರ್, ಬಾರ್, ಬಾರ್, ಲೈನ್, ಲೈನ್, ಟೆಸ್ಟ್ ಲೈನ್, ಎಡ್ಜ್"
"बेस, बेस, बेस, बेस, बेस","ಬೇಸ್, ಬೇಸ್, ಬೇಸ್, ಬೇಸ್, ಬೇಸ್"
बेस कोन,ಮೂಲ ಕೋನ
"लॉगरिथमचा आधार, लॉगरिथमचा आधार","ಲಾಗರಿಥಮ್ನ ಆಧಾರ, ಲಾಗರಿಥಮ್ನ ಆಧಾರ"
"मूलभूत, मूलभूत,","ಮೂಲಭೂತ, ಮೂಲಭೂತ"
बेस सुसंगत उपाय,ಮೂಲ ಸುಸಂಬದ್ಧ ಪರಿಹಾರ
बेस सोल्यूशन,ಮೂಲ ಪರಿಹಾರ
बेस व्हेरिएबल,ಮೂಲ ವೇರಿಯಬಲ್
पाया,ಬೇಸ್
मूळ घटक,ಮೂಲ ಅಂಶ
बेस मॅट्रिक्स,ಮೂಲ ಮ್ಯಾಟ್ರಿಕ್ಸ್
वेक्टर स्पेसचा पाया,ವೆಕ್ಟರ್ ಜಾಗದ ಆಧಾರ
उपलोकसंख्या आधार,ಉಪಜನಸಂಖ್ಯೆಯ ಆಧಾರ
बेईमान,ನಿರ್ಲಜ್ಜ
bez-नियम,ಬೆಜ್-ನಿಯಮ
bez-प्रमेय,ಬೆಜ್-ಪ್ರಮೇಯ
bernoulli-वितरण,ಬರ್ನೌಲಿ-ವಿತರಣೆ
बर्नौली क्रमांक,ಬರ್ನೌಲ್ಲಿ ಸಂಖ್ಯೆಗಳು
बर्नौली संभाव्यता कार्य,ಬರ್ನೌಲ್ಲಿ ಸಂಭವನೀಯತೆ ಕಾರ್ಯ
बर्नौली-समीकरण,ಬರ್ನೌಲ್ಲಿ-ಸಮೀಕರಣ
बोरासारखे बी असलेले लहान फळ कार्य,ಬೆರ್ರಿ ಕಾರ್ಯ
सर्वोत्तम आसंजन,ಅತ್ಯುತ್ತಮ ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
सर्वोत्तम आसंजन ओळ,ಅತ್ಯುತ್ತಮ ಅಂಟಿಕೊಳ್ಳುವ ರೇಖೆ
सर्वोत्तम उपाय,ಉತ್ತಮ ಪರಿಹಾರ
सर्वोत्तम टिपा,ಅತ್ಯುತ್ತಮ ಸಲಹೆಗಳು
बीटा वितरण,ಬೀಟಾ ವಿತರಣೆ
"पक्षपात, पक्षपात","ಪಕ್ಷಪಾತ, ಪಕ್ಷಪಾತ"
पक्षपाती मूल्यांकन,ಪಕ್ಷಪಾತದ ಮೌಲ್ಯಮಾಪನ
द्विपद समीकरण,ದ್ವಿಪದ ಸಮೀಕರಣ
एकल कव्हर,ಒಂದೇ ಕವರ್
सिंगल कव्हर नकाशा,ಒಂದೇ ಕವರ್ ನಕ್ಷೆ
सिंगल कव्हर मॅपिंग,ಏಕ ಕವರ್ ಮ್ಯಾಪಿಂಗ್
चतुर्भुज चौकोन,ಚತುರ್ಭುಜ ಚತುರ್ಭುಜ
द्विरेखीय कार्य,ಬೈಲಿನಿಯರ್ ಕಾರ್ಯ
द्विरेखीय हर्मिटियन एकजिनसीपणा,ಬೈಲಿನಿಯರ್ ಹರ್ಮಿಟಿಯನ್ ಏಕರೂಪತೆ
"द्वि-चर, बायनरी, दुहेरी","ದ್ವಿ-ವೇರಿಯಬಲ್, ಬೈನರಿ, ಡ್ಯುಯಲ್"
"बायनरी कोड, बायनरी कोड","ಬೈನರಿ ಕೋಡ್, ಬೈನರಿ ಕೋಡ್"
"बायनरी कोडेड दशांश, बायनरी कोडेड दशांश","ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ, ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ"
बायनरी एन्कोडिंग,ಬೈನರಿ ಎನ್ಕೋಡಿಂಗ್
बायनरी संगणक,ಬೈನರಿ ಕಂಪ್ಯೂಟರ್
बायनरी अंक,ಬೈನರಿ ಸಂಖ್ಯೆಗಳು
बायनरी ऑपरेशन,ಬೈನರಿ ಕಾರ್ಯಾಚರಣೆ
बायनरी पद्धत,ಬೈನರಿ ವಿಧಾನ
बायनरी व्हेरिएबल,ಬೈನರಿ ವೇರಿಯಬಲ್
द्विपदी गुणांक,ದ್ವಿಪದ ಗುಣಾಂಕ
द्विपदी वितरण,ದ್ವಿಪದ ವಿತರಣೆ
द्विपद समीकरण,ದ್ವಿಪದ ಸಮೀಕರಣ
द्विपद भिन्नता,ದ್ವಿಪದ ವ್ಯತ್ಯಾಸ
द्विपदी अभिव्यक्ती,ದ್ವಿಪದ ಅಭಿವ್ಯಕ್ತಿ
द्विपदी यादृच्छिक चल,ದ್ವಿಪದ ಯಾದೃಚ್ಛಿಕ ವೇರಿಯಬಲ್
द्विपद प्रमेय,ದ್ವಿಪದ ಪ್ರಮೇಯ
"अर्धा, दुभाजक","ಅರ್ಧ, ಕವಲೊಡೆಯುವಿಕೆ"
"दुभाजक पद्धत, अर्धविभाग पद्धत","ಬೈಸೆಕ್ಟ್ ವಿಧಾನ, ಸೆಮಿಡಿವಿಷನ್ ವಿಧಾನ"
अर्धा दुभाजक,ಅರ್ಧ ದ್ವಿಭಾಜಕ
"द्विपदी, द्विपदी","ದ್ವಿಪದ, ದ್ವಿಪದ"
"द्वयंक (बायनरी अंक), अनी, बर्मीज, तुक","ದ್ವಯಾಂಕ್ (ದ್ವಿಮಾನ ಸಂಖ್ಯೆ), ಅನಿ, ಬರ್ಮೀಸ್, ತುಕ್"
द्विपदी द्विपद वितरण द्विपदी,ದ್ವಿಪದ ದ್ವಿಪದ ವಿತರಣೆ ದ್ವಿಪದ
द्विवैरिएट सहसंबंध गुणांक,ದ್ವಿಗುಣ ಪರಸ್ಪರ ಸಂಬಂಧ ಗುಣಾಂಕ
द्विवैरिएट वितरण,ದ್ವಿಗುಣ ವಿತರಣೆ
द्विवैरिएट सामान्य-वितरण,ದ್ವಿಗುಣ ಸಾಮಾನ್ಯ-ವಿತರಣೆ
bivector,ಬೈವೆಕ್ಟರ್
बोल्टमन समीकरण,ಬೋಲ್ಟ್‌ಮನ್ ಸಮೀಕರಣ
बुलियन बीजगणित*,ಬೂಲಿಯನ್ ಬೀಜಗಣಿತ*
बोस-आईन्स्टाईन सांख्यिकी,ಬೋಸ್-ಐನ್ಸ್ಟೈನ್ ಅಂಕಿಅಂಶಗಳು
मर्यादा निर्बंध,ಮಿತಿ ನಿರ್ಬಂಧಗಳು
सीमा पातळी,ಗಡಿ ಮಟ್ಟ
सीमारेषा,ಗಡಿ ರೇಖೆ
मर्यादा मूल्य,ಮಿತಿ ಮೌಲ್ಯ
सीमा मूल्य समस्या,ಗಡಿ ಮೌಲ್ಯದ ಸಮಸ್ಯೆ
"बाउंड फंक्शन बाउंडेड फळ,",ಪರಿಮಿತಿ ಕಾರ್ಯ ಸೀಮಿತ ಹಣ್ಣು
"बाउंडेड मॅट्रिक्स, बाउंडेड मॅट्रिक्स, बाउंडेड टेबल,","ಬೌಂಡೆಡ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್, ಬೌಂಡೆಡ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್, ಬೌಂಡೆಡ್ ಟೇಬಲ್"
"सीमाबद्ध प्रदेश सीमाबद्ध प्रदेश,",ಗಡಿ ಪ್ರದೇಶ ಗಡಿ ಪ್ರದೇಶ
"बाऊंड सेट बाउंडेड सेट,",ಬೌಂಡೆಡ್ ಸೆಟ್ ಬೌಂಡೆಡ್ ಸೆಟ್
ब्राउनी मोशन,ಬ್ರೌನಿ ಚಲನೆ
मोजणे,ಲೆಕ್ಕಾಚಾರ ಮಾಡಲು
गणना,ಲೆಕ್ಕಾಚಾರ
"कॅल्क्युलेटर, कॅल्क्युलेटर","ಕ್ಯಾಲ್ಕುಲೇಟರ್, ಕ್ಯಾಲ್ಕುಲೇಟರ್"
गणना*,ಲೆಕ್ಕಾಚಾರ*
संगणकीय क्रिया पद्धत,ಕಂಪ್ಯೂಟೇಶನಲ್ ಕ್ರಿಯೆಯ ವಿಧಾನ
"कॅल्क्युलेटर, कॅल्क्युलेटर","ಕ್ಯಾಲ್ಕುಲೇಟರ್, ಕ್ಯಾಲ್ಕುಲೇಟರ್"
"कॅल्क्युलस, कॅल्क्युलस","ಕಲನಶಾಸ್ತ್ರ, ಕಲನಶಾಸ್ತ್ರ"
भिन्नता कॅल्क्युलस,ವ್ಯತ್ಯಾಸ ಕಲನಶಾಸ್ತ್ರ
कॅलरीज,ಕ್ಯಾಲೋರಿಗಳು
नियम रद्द करा,ನಿಯಮವನ್ನು ರದ್ದುಗೊಳಿಸಿ
प्रामाणिक समीकरण,ಅಂಗೀಕೃತ ಸಮೀಕರಣ
प्रामाणिक फॉर्म,ಅಂಗೀಕೃತ ರೂಪ
