Malayalam,Kannada
യഥാർത്ഥ കോഡ് (= കേവല കോഡ്),ನಿಜವಾದ ಕೋಡ್ (= ಸಂಪೂರ್ಣ ಕೋಡ್)
യഥാർത്ഥ ഡാറ്റ കൈമാറ്റ നിരക്ക്,ನಿಜವಾದ ಡೇಟಾ ವರ್ಗಾವಣೆ ದರ
യഥാർത്ഥ ദശാംശസ്ഥാനം,ವಾಸ್ತವಿಕ ದಶಮಾಂಶ ಬಿಂದು
യഥാർത്ഥ നിർദ്ദേശം (= ഫലപ്രദമായ നിർദ്ദേശം),ನಿಜವಾದ ಸೂಚನೆ (= ಪರಿಣಾಮಕಾರಿ ಸೂಚನೆ)
യഥാർത്ഥ കീ,ವಾಸ್ತವಿಕ ಕೀ
യഥാർത്ഥ സമയം,ವಾಸ್ತವಿಕ ಸಮಯ
യഥാർത്ഥ ജോലി സമയം,ನಿಜವಾದ ಕೆಲಸದ ಸಮಯ
ആരംഭിക്കുന്ന സിഗ്നൽ,ಸಂಕೇತ
പൊരുത്തപ്പെടലി,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
അഡാപ്റ്റർ,ಅಳವಡಗಾರ
അഡാപ്റ്റീവ് ചാനൽ അനുവദിക്കൽ,ಹೊಂದಾಣಿಕೆಯ ಚಾನಲ್ ಹಂಚಿಕೆ
അഡാപ്റ്റീവ് ഇന്റഗ്രേഷൻ,ಹೊಂದಾಣಿಕೆಯ ಏಕೀಕರಣ
അഡാപ്റ്റീവ് ട്രാൻസ്വേഴ്സ് ഇക്വൈസർ,ಅಡಾಪ್ಟಿವ್ ಟ್ರಾನ್ಸ್‌ವರ್ಸಲ್ ಈಕ್ವಲೈಜರ್
എൻട്രി ചേർത്തു,ಪ್ರವೇಶವನ್ನು ಸೇರಿಸಲಾಗಿದೆ
കൂട്ടിച്ചേര്ക്കുക,ಸೇರಿಸು
ആംഗം,ಸೇರಿಸುವವನು
എ ഷട്രക്റ്റർ,ಸೇಡ್ ಸಬ್ಟ್ರಾಕ್ಟರ್
ഫയൽ ചേർക്കുക,ಕಡತವನ್ನು ಸೇರಿಸು
അധിക പ്രതീകം (= പ്രത്യേക പ്രതീകം),ಹೆಚ್ಚುವರಿ ಅಕ್ಷರ (= ವಿಶೇಷ ಅಕ್ಷರ)
ബഹുമതി,ಸೇರ್ಪಡೆ ರೆಕಾರ್ಡರ್
കൂട്ടിച്ചേർക്കലാ പട്ടിക,ಸೇರ್ಪಡೆ ಮೇಜು
അഡിറ്റീവ് ആട്രിബ്യൂട്ട്,ಸಂಯೋಜಕ ಗುಣಲಕ್ಷಣ
മോഡ് ചേർക്കുക,ಮೋಡ್ ಸೇರಿಸಿ
പ്രവർത്തനം ചേർക്കുക,ಕಾರ್ಯಾಚರಣೆ ಸೇರಿಸಿ
അഭിസംബോധന ചെയ്യുക,ಭಾಷಣ
വിലാസ നടപടി,ವಿಳಾಸದ ಅಳತೆ
അഭിസംബോധന ചെയ്യാവുന്ന തിരശ്ചീന സ്ഥാനം,ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸಮತಲ ಸ್ಥಾನ
വിലാസ പോയിന്റ്,ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಬಿಂದು
അഭിസംബോധന ചെയ്യാവുന്ന സ്ഥാനം,ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಥಾನ
വിലാസ രജിസ്റ്റർ,ವಿಳಾಸ ಮಾಡಬಹುದಾದ ರಿಜಿಸ್ಟರ್
വിലാസ സംഭരണം,ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸಂಗ್ರಹಣೆ
അഭിസംബോധന ചെയ്യാവുന്ന ലംബ സ്ഥാനം,ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಲಂಬ ಸ್ಥಾನ
വിലാസ ബസ്,ವಿಳಾಸ ಬಸ್
വിലാസ കോഡ്,ವಿಳಾಸ ಕೋಡ್
വിലാസ താരതമ്യക്കാരൻ,ವಿಳಾಸ ಹೋಲಿಕೆದಾರ
വിലാസ കണക്കുകൂട്ടൽ,ವಿಳಾಸ ಗಣನೆ
വിലാസ സ്ഥിരത,ವಿಳಾಸ ಸ್ಥಿರ
വിലാസ പരിവർത്തനം,ವಿಳಾಸ ಪರಿವರ್ತನೆ
വിലാസ ഡാറ്റ,ವಿಳಾಸ ಡೇಟಾ
മെമ്മറി അഭിസംബോധന ചെയ്തു,ವಿಳಾಸ ಮೆಮೊರಿ
വിലാസ ഫലപ്രദമാണ്,ವಿಳಾಸ ಪರಿಣಾಮಕಾರಿ
വിലാസ ഫീൽഡ്,ವಿಳಾಸ ಕ್ಷೇತ್ರ
വിലാസ ഫോർമാറ്റ്,ವಿಳಾಸ ಸ್ವರೂಪ
വിലാസ സ contry ജന്യ പ്രോഗ്രാം,ವಿಳಾಸ ಉಚಿತ ಕಾರ್ಯಕ್ರಮ
അഭിസംബോധന,ಸಂಬೋಧಿಸುವುದು
അഭിസംബോധന  കഥാപാതം,ಸಂಬೋಧಿಸುವುದು  ಪಾತ್ರ
അഭിസംബോധന ഇന്ററപ്റ്റ്,ಅಡಚಣೆಯನ್ನು ಉದ್ದೇಶಿಸಿ
വിലാസം ലൂപ്പ്,ವಿಳಾಸ ಲೂಪ್
വെർച്വൽ മെമ്മറി അഭിസംബോധന ചെയ്യുന്നു,ವರ್ಚುವಲ್ ಮೆಮೊರಿಯನ್ನು ಉದ್ದೇಶಿಸಿ
വിലാസം ഇന്റർലേസിംഗ്,ವಿಳಾಸ ಇಂಟರ್ಲೇಟಿಂಗ್
വിലാസരഹിതമായ നിർദ്ദേശങ്ങൾ ഫോർമാറ്റ്,ವಿಳಾಸವಿಲ್ಲದ ಸೂಚನಾ ಸ್ವರೂಪ
വിലാസ ലൈൻ,ವಿಳಾಸ ಸಾಲು
വിലാസ മാപ്പിംഗ്,ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್
വിലാസ അടയാളം,ವಿಳಾಸ ಗುರುತು
വിലാസ പരിഷ്ക്കരണം,ವಿಳಾಸ ಮಾರ್ಪಾಡು
വിലാസ ഭാഗം,ವಿಳಾಸದ ಭಾಗ
വിലാസം പോയിന്റർ,ವಿಳಾಸ ಪಾಯಿಂಟರ್
വിലാസ രജിസ്റ്റർ,ವಿಳಾಸ ನೋಂದಣಿ
വിലാസ സിഗ്നൽ,ವಿಳಾಸ ಸಂಕೇತ
വിലാസ വലുപ്പം,ವಿಳಾಸದ ಗಾತ್ರ
വിലാസ ഇടം,ವಿಳಾಸ ಸ್ಥಳ
വിലാസ ബഹിരാകാശ ഐഡന്റിഫയർ,ವಿಳಾಸ ಬಾಹ್ಯಾಕಾಶ ಗುರುತಿಸುವಿಕೆ
വിലാസ സ്റ്റോപ്പ്,ವಿಳಾಸ ನಿಲುಗಡೆ
വിലാസ ട്രെയ്സ്,ವಿಳಾಸ ಜಾಡಿನ
വിലാസ ട്രാക്ക്,ವಿಳಾಸ ಟ್ರ್ಯಾಕ್
വിവർത്തനം വിവർത്തനം ചെയ്യുക,ವಿಳಾಸ ಅನುವಾದ
വിലാസ പരിഭാഷകന്,ವಿಳಾಸ ಅನುವಾದಕ
ചേർക്കുക-കുറയ്ക്കുക സമയം,ಕಕ್ಸಚ್ಚುವಿಕೆಯನ್ನು ಸೇರಿಸಿ ಸಮಯ
സമയം ചേർക്കുക,ಸಮಯವನ್ನು ಸೇರಿಸಿ
വാര്ത്താവകം,ಪಕ್ಕದ
അഡ്ജഞ്ചൻസിൻസ് ഘടന,ಪಕ್ಕದ ರಚನೆ
തൊട്ടടുത്തുള്ള ചാനൽ,ಪಕ್ಕದ ಚಾನಲ್
അടുത്തുള്ള ഡൊമെയ്ൻ,ಪಕ್ಕದ ಡೊಮೇನ್
തൊട്ടടുത്തുള്ള മാട്രിക്സ്,ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
തൊട്ടടുത്തുള്ള നോഡ്,ಪಕ್ಕದ ನೋಡ್
തൊട്ടടുത്തുള്ള സുബരിയ,ಪಕ್ಕದ ಸುಬೇರಿಯಾ
കസ്റ്റേഴ്സ് (സിസ്റ്റം),ಹೊಂದಾಣಿಕೆ (ಸಿಸ್ಟಮ್)
കമപ്പെടുത്തുക,ಸರಿಹೊಂದಿಸು
ക്രമീകരിക്കാവുന്ന പരിധി,ಹೊಂದಾಣಿಕೆ ವ್ಯಾಪ್ತಿ
ടെക്സ്റ്റ് മോഡ് ക്രമീകരിക്കുക,ಪಠ್ಯ ಮೋಡ್ ಅನ್ನು ಹೊಂದಿಸಿ
അഡ്മിനിസ്ട്രേറ്റീവ് ഡാറ്റ പ്രോസസ്സിംഗ്,ಆಡಳಿತ ದತ್ತಾಂಶ ಸಂಸ್ಕರಣೆ
അഡ്മിനിസ്ട്രേറ്റീവ് പ്രവർത്തനം,ಆಡಳಿತಾತ್ಮಕ ಕಾರ್ಯಾಚರಣೆ
അഡ്മിനിസ്ട്രേറ്റീവ് ഓപ്പറേറ്റർ,ಆಡಳಿತಕಾರಕ
അഡ്മിനിസ്ട്രേറ്റീവ് ഓപ്പറേറ്റർ സ്റ്റേഷൻ,ಆಡಳಿತ ನಿರ್ವಾಹಕ ಕೇಂದ್ರ
അഡ്മിനിസ്ട്രേറ്റീവ് സപ്പോർട്ട് സിസ്റ്റം,ಆಡಳಿತಾತ್ಮಕ ಬೆಂಬಲ ವ್ಯವಸ್ಥೆ
നൂതന ആശയവിനിമയ സേവനം,ಸುಧಾರಿತ ಸಂವಹನ ಸೇವೆ
വിപുലമായ വിവര സിസ്റ്റം,ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ
വിപുലമായ ഒപ്റ്റിക്കൽ പ്രതീക റീഡർ,ಸುಧಾರಿತ ಆಪ್ಟಿಕಲ್ ಕ್ಯಾರೆಕ್ಟರ್ ರೀಡರ್
വിപുലമായ ശാസ്ത്ര കമ്പ്യൂട്ടർ,ಸುಧಾರಿತ ವೈಜ್ಞಾನಿಕ ಕಂಪ್ಯೂಟರ್
ഏരിയൽ,ವೈಮಾನಿಕ
ആകെത്തുകയായുള്ള,ಒಟ್ಟು
മൊത്തം എക്സ്പ്രഷൻ,ಒಟ್ಟು ಅಭಿವ್ಯಕ್ತಿ
ലക്ഷ്യമിടുന്നു,ಗುರಿ ವೃತ್ತ
ലക്ഷ്യമിടുന്ന ഫീൽഡ് (= ലക്ഷ്യമിടുന്നത്),ಗುರಿ ಕ್ಷೇತ್ರ (= ಗುರಿ ಚಿಹ್ನೆ)
എഡിയൽ ചിഹ്നം,ಗುರಿ ಚಿಹ್ನೆ
എയർബോൺ കമ്പ്യൂട്ടർ സിസ്റ്റം,ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ
ബീജഗണിത ഐജൻവാലു പ്രശ്നം,ಬೀಜಗಣಿತ ಐಜೆನ್ವಾಲ್ಯು ಸಮಸ್ಯೆ
ബീജഗണിത  സംയോജനം,ಬೀಜಗಣಿತದ  ಏಕೀಕರಣ
ബീജഗണിത ഭാഷ,ಬೀಜಗಣಿತದ ಭಾಷೆ
ബീജഗണിത കൃത്രിമത്വം,ಬೀಜಗಣಿತದ ಕುಶಲ
ബീജഗണിത കൃത്രിമ ഭാഷ,ಬೀಜಗಣಿತದ ಕುಶಲ ಭಾಷೆ
ബീജഗണിത ഓറിയന്റഡ് ഭാഷ,ಬೀಜಗಣಿತ ಆಧಾರಿತ ಭಾಷೆ
ബീജഗണിത മാറ്റം,ಬೀಜಗಣಿತದ ಶಿಫ್ಟ್
ബീജഗണിത ചിഹ്ന കൺവെൻഷൻ,ಬೀಜಗಣಿತ ಚಿಹ್ನೆ ಸಮಾವೇಶ
അൽഗോൾ,ಪಾಚಕ
അൽഗോൾ സവിശേഷത,ಆಲ್ಗೋಲ್ ವೈಶಿಷ್ಟ್ಯ
അൽഗോൾ പ്രോഗ്രാമിംഗ്,ಅಲ್ಗೋಲ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್
അൽഗോരിതം,ಅಲ್ಗಾರಿದಮ್
അൽഗോരിതം അസോസിയേറ്റീവ് ഭാഷ,ಅಲ್ಗಾರಿದಮ್ ಸಹಾಯಕ ಭಾಷೆ
അൽഗോരിതം വർഗ്ഗീകരണം,ಅಲ್ಗಾರಿದಮ್ ವರ್ಗೀಕರಣ
അൽഗോരിതം സങ്കീർണ്ണത,ಅಲ್ಗಾರಿದಮ್ ಸಂಕೀರ್ಣತೆ
അൽഗോരിതം കേസബിലിറ്റി,ಅಲ್ಗಾರಿದಮ್ ಗಣನೀಯತೆ
അൽഗോരിത്ത്മിക് വിശകലനം,ಕ್ರಮಾವಧಿಕ ವಿಶ್ಲೇಷಣೆ
അൽഗോരിത്തിസ് സമീപനം,ಕ್ರಮಾವಧಿಕ ವಿಧಾನ
അൽഗോറിത്ത്മിക് ഭാഷ,ಕ್ರಮಬದ್ಧ ಭಾಷೆ
അൽഗോരിഥമ്മിക് പതിവ്,ಅಲ್ಗಾರಿದಮಿಕ್ ವಾಡಿಕೆಯ
അൽഗോരിതംസിക് സിദ്ധാന്തം,ಕ್ರಮಾವಧಿಕ ಸಿದ್ಧಾಂತ
അപരാഭിധാനം,ಅಲಿಯಾಸ್
അപരനാത്മകം,ಅಲಿಯಾಸೆ
അപരനാമം (= ഇതര പേര്),ಅಲಿಯಾಸ್ ಹೆಸರು (= ಪರ್ಯಾಯ ಹೆಸರು)
വിന്യാപകമായ,ಜೋಡಣೆ
നീക്കിവയ്ക്കുക,ನಿಯೋಜಿಸು
അലോക്കേഷൻ ഘടന,ಹಂಚಿಕೆ ರಚನೆ
എല്ലാ ഉദ്ദേശ്യ കമ്പ്യൂട്ടറും,ಎಲ್ಲಾ ಉದ್ದೇಶದ ಕಂಪ್ಯೂಟರ್
അക്ഷരമാല പ്രതീകം,ವರ್ಣಮಾಲೆಯ ಪಾತ್ರ
അക്ഷരമാല പ്രതീക സെറ്റ്,ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರಗಳ ಸೆಟ್
അക്ഷരമാല പ്രതീക സബ്സെറ്റ്,ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ ಉಪವಿಭಾಗ
അക്ഷരമാല കോഡ്,ವರ್ಣಮಾಲೆ ಸಂಕೇತ
അക്ഷരമാല മാറ്റം,ವರ್ಣಮಾಲೆ ಶಿಫ್ಟ್
അക്ഷരമാല സ്ട്രിംഗ്,ವರ್ಣಮಾಲೆಯ ದಾರ
അക്ഷരമാല വാക്ക്,ವರ್ಣಮಾಲೆ ಪದ
അക്ഷരമാലാളം,ವರ್ಣಮಾಲೆ
ആഫറാമോമെട്രിക്സ്,ಆಲ್ಫೇಜೀಟ್ರಿಕ್ಸ್
ആഫളാചിക്,ಆಲ್ಫಾಮನ
ആൽഫമോസയ്ക്ക്,ವರ್ಣಮಾಲೆಯ
ആൽഫാന്യൂമെറിക്,ವರ್ಣಮಾಲೆಯ
ആൽഫാന്യൂമെറിക്കൽ കീബോർഡ് ഉപകരണം,ಆಲ್ಫಾನ್ಯೂಮರಿಕಲ್ ಕೀಬೋರ್ಡ್ ಸಾಧನ
ആൽഫാന്യൂമെറിക് പ്രതീക സെറ്റ്,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಅಕ್ಷರ ಸೆಟ್
ആൽഫാന്യൂമെറിക് കോഡ്,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೋಡ್
ആൽഫാന്യൂമെറിക് കോഡ്ഡ് പ്രതീക സെറ്റ്,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೋಡೆಡ್ ಅಕ್ಷರ ಸೆಟ್
ആൽഫാന്യൂമെറിക് ഡാറ്റ,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಡೇಟಾ
ആൽഫാന്യൂമെറിക് ഡിസ്പ്ലേ ഉപകരണം,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಪ್ರದರ್ಶನ ಸಾಧನ
ആൽഫാന്യൂമെറിക് എഡിറ്റുചെയ്ത പ്രതീകം,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಸಂಪಾದಿತ ಪಾತ್ರ
ആൽഫാന്യൂമെറിക് ഫീൽഡ്,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕ್ಷೇತ್ರ
ആൽഫാന്യൂമെറിക് നിർദ്ദേശം,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಸೂಚನೆ
ആൽഫാന്യൂമെറിക് കീബോർഡ്,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀಬೋರ್ಡ್
ആൽഫാന്യൂമെറിക് തരം,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ವಿಂಗಡಣೆ
ആൽഫാന്യൂമെറിക് സംഭരണം,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಸಂಗ್ರಹ
മാറ്റം വരുത്തുന്നതിന് മെമ്മറി,ಬದಲಾಯಿಸಬಹುದಾದ ಮೆಮೊರಿ
മാറ്റങ്ങൾ സ്വിച്ച്,ಬದಲಾವಣೆ ಸ್ವಿಚ್
മാറ്റം,ಬದಲಾಯಿಸುವ
മാറ്റ മോഡ്,ಬದಲಾದ ಮೋಡ್
ഇതര വീണ്ടെടുക്കൽ,ಪರ್ಯಾಯ ಚೇತರಿಕೆ
ഇതര റൂട്ട്,ಪರ್ಯಾಯ ಮಾರ್ಗ
ഇതര റൂട്ടിംഗ്,ಪರ್ಯಾಯ ರೂಟಿಂಗ್
ഇതര ട്രാക്ക്,ಪರ್ಯಾಯ ಟ್ರ್ಯಾಕ್
ഇതര (= അല്ലെങ്കിൽ പ്രവർത്തനം),ಪರ್ಯಾಯ (= ಅಥವಾ ಕಾರ್ಯಾಚರಣೆ)
ഇതര ആട്രിബ്യൂട്ട്,ಪರ್ಯಾಯ ಗುಣಲಕ್ಷಣ
"ഇതര നിഷേധം (= അല്ല, പ്രവർത്തനം)",ಪರ್ಯಾಯ ನಿರಾಕರಣೆ (= ಅಲ್ಲ ಮತ್ತು ಕಾರ್ಯಾಚರಣೆ)
അവ്യക്തത പിശക്,ಅಸ್ಪಷ್ಟ ದೋಷ
അവ്യക്തമായ റഫറൻസ്,ಅಸ್ಪಷ್ಟ ಉಲ್ಲೇಖ
അനാലോഗ്,ಜರುಗೋಲು
അനലോഗ് അഡെർ,ಅನಾಲಾಗ್
അനലോഗ് ചാനൽ,ಅನಾನುಕೂಲ ಚಾನೆಲ್
അനലോഗ് കമ്പ്യൂട്ടർ,ಅನಾನುಕೂಲ ಕಂಪ್ಯೂಟರ್
അനലോഗ് കൺവെർട്ടർ,ಅನಾನುಕೂಲ ಪರಿವರ್ತಕ
അനലോഗ് ഡാറ്റ,ಅನಲಾಗ್ ಡೇಟಾ
അനലോഗ് ഡിവൈഡർ,ಅನನುಕಿನ ವಿಭಾಜಕ
അനലോഗ് ഫെസിലിറ്റി ടെർമിനൽ,ಅನಲಾಗ್ ಫೆಸಿಲಿಟಿ ಟರ್ಮಿನಲ್
അനലോഗ് ഫംഗ്ഷൻ  വൈദുതോല്പാദനയന്തം,ಅನಾನುಕೂಲ ಕಾರ್ಯ  ಉತ್ಪಾದಕ
അനലോഗ് സംയോജനം,ಅನಲಾಗ್ ಏಕೀಕರಣ
അനലോഗ് ഗുണിതം,ಸೋಗು ಗುಣಕ
അനലോഗ് പ്രോഗ്രാമിംഗ്,ಅನಲಾಗ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್
അനലോഗ് സ്കെയിലിംഗ്,ಅನನುಕಿನ ಸ್ಕೇಲಿಂಗ್
