Malayalam,Hindi
കാർഷിക തൊഴിലാളി,"कृषि श्रम, खेतिहर मजदूर"
കാർഷിക മാർക്കറ്റിംഗ്,कृषि विपणन
കാർഷിക സാങ്കേതികവിദ്യ,कृषि प्रद्योगिकी
കൃഷിപ്പണി,"कृषि, खेतीबारी, कृषि विज्ञान"
അഗ്രിസിൾവികൾച്ചർ,कृषि वनवर्धन
കാർഷികൈവൻവിറ്റി,कृषि जैविक विविधता
അഗ്രോബയോളജിക്കൽ വൈകല്യങ്ങൾ,कृषि जैविक दोष
അഗ്രോബയോളജി,कृषि जैविकी
അഗ്രോകീല വൈവിധ്യമാർന്ന വൈവിധ്യമാർന്ന,कृषि जलवायुवीय विविधता
അഗ്രോക്ലിമാറ്റിക് സോണിംഗ്,कृषि जलवायुवीय क्षेत्रीकरण
അഗ്രോഫോറസ്ട്രി,कृषि वानिकी
ങ്ങളോട്,सस्य मृदा विज्ञान
അഗ്രോണമി,सस्य विज्ञान
അഗ്രോപസ്റ്റോറൽ,कृषि पशुचारणिक
കാർഷികസംരക്ഷണം,फसल प्रसंस्करण
അഗ്രോസ്റ്റോസ്റ്റിയോളജി,घास विज्ञान
അഗ്രോട്ടിപ്പ്,सस्य प्ररूप
എയർ പ്ലാന്റ്,अधिपादप
അക്കിയോച്ചി മണ്ണ്,ऐकिओची मृदा
ആൽബിനിസം,"वर्णकहीनता, अवर्णता"
ആൽഫിസോളുകൾ,एल्फिसॉल
ആല്ഗകൾ,"शैवाल, काई"
ആൽഗൽ രോഗം,शैवाल रोग
ക്ഷാളി വെള്ളം,क्षार जल
ആൽക്കലൈൻ,क्षारीय
അല്ലലേ,विकल्पी
അല്ലോകെമിക്കലുകൾ,एलीलो रसायन
AllloMorph,युग्मविकल्पी
നിയോവദാതി,एलीलोपैथी
ഓൺലൈൻ ക്രോപ്പിംഗ്,वीथी सस्यन
അലോക്കർപി,परनिषेक-फलता
അലോഗാമി,परनिषेचन
അലറിരം,"सापेक्षमिति, ऐलोमैट्री"
Allopolyplogid,परबहुगुणित
Allosynapsis (Allowsyndesis),"परयुग्मन, अपायुग्लन"
ഇതര ബെയറിംഗ്,"एकातंर वर्ष फलन, एकांतरित फलन"
ഇതര ഭൂമി ഉപയോഗം,वैकल्पिक भूमि उपयोग
ആംബിയന്റ്സ്,परिवेश
സൗഹാർഭോഗം,सुधारक
അമിറ്റോസിസ്,असूत्रीविभाजन
അമിനിവൽക്കരണം,ऐमीनन
അമ്മോണിഫിക്കേഷൻ,अमोनियन
അമോമോണിഫയർ,अमोनीकारक
അമോഫ്,"अप्रभावी रूप, अरूपी"
ആംഫിമിക്സിസ്,उभय मिश्रण
ആംഫോടെക്,उभयधर्मी
അനാബോളിസം,उपचय
അയ്റോബ്,"अवायुजीव, अनॉक्सी जीव"
Aneuplogode,असुगुणित
ആംഗിൾ നടുക്കം,कोणीय रोपण
മൃഗസംരക്ഷണം,पशुपालन
മൃഗങ്ങളെ പ്രതിഫലിപ്പിക്കൽ,पशु उच्छिष्ट
ആത്യന്തിക .ർജ്ജം,सजीव ऊर्जा
Anisoplode,असमगुणित
വാർഷിക സസ്യം,एकवर्षीय पादप
ആണ്ടുതോറുമുള്ള,वार्षिक
ആന്തീസിസ്,"परागोद्भव, प्रफुल्लन"
ആന്ത്രാക്സ്,ऐन्थ्रेक्स
ആന്ത്രോപെനിക് ഘടകം,मानवजनिक कारक
ആന്റിബിയോസിസ്,प्रतिजीविता
രോഗനാശിനി,"प्रतिजैविक, ऐन्टीबायोटिक"
മറുമരുന്ന്,प्रतिकारक
ആന്റിഓക്സിഡന്റുകൾ,प्रतिऑक्सीकारक
ആന്റിടോക്സിൻ,प्रतिआविष
അപര്യാഘാതം,वलयिका
ആഫിഡ്,"ऐफिड, माहू, चेपा"
അഗ്രമുദിനം,शीर्ष कलिका
അഗ്ര ആധിപത്യം,शिखाग्र प्रभाविता
അപ്പോർച്ചർ (ബീ സൂപ്പർഡിംഗ്),मधुमक्खी पालन
അപ്പോമിക്സിസ്,असंगजनन
അപ്പോപ്ടോസിസ്,एपोप्टोसिस
അനുബന്ധം,उपांग
വിശപ്പ്,क्षुधावर्धक
പ്രയോഗിച്ചു,अनुप्रयुक्त
അക്വാട്ടിക് കള,जलीय खरपतवार
അർബോറിയൽ,"वृक्षीय, वृक्षवासी"
അർബോറൈസേഷൻ,प्रशाखायन
ആർഎംജിയോ-ബൊട്ടാണിക്കൽ റെക്കോർഡുകൾ,आद्य वानस्पतिक अभिलेख
ഏരിയ സ്ഥിതിവിവരക്കണക്കുകൾ,क्षेत्रांकड़
പദേശം,"क्षेत्र, क्षेत्रफल"
വരണ്ട ആവാസവ്യവസ്ഥ,शुष्क पारितंत्र
വര്ഷ്ടിക്കുക,"बीजचोल, बीजोपांग"
സൗരഭം,"सौरभ, सुवास"
ആരോമാറ്റിക് പ്ലാന്റ്,सुगंधी पादप
ആരോമാറ്റിക് അരി,सुगंधित चावल
അഴുക്കുചാല്,इक्षु पुष्पन
അശെപ്സിസ്,अपूति
അസെപ്ലെവ്,"अपूतित, अज़र्म"
അസുഖകരമായ പ്രചരണം,अलैंगिक प्रवर्धन
അസേ,"आमाप, परख"
ആസ്തി,परिसंपत्ति
ഉറപ്പ്,"स्वांगीकरण, आत्मसात्करण"
ചങ്ങാത്തം,"साहचर्य, संघ"
രേണിംഗന്റ്,"स्तंभक, कषाय"
അസിനാപ്സിസ്,असूत्रयुग्मन
Atawavism,"पूर्वजता, ऐटाविज्म"
ആലേറ്ററിജർ,कणित्र
അട്രോഫി,"अपुष्टि, क्षीणता"
ഓട്ടോഗാമി,स्वयुग्मन
ഓട്ടോലിസിസ്,स्वलयन
യന്തവഹനം,"स्वतः उपचयन, स्वतः ऑक्सीकरण"
ഓട്ടോപോളിപ്ലോയിഡ്,स्वबहुगुणित
ഓക്സിൻസ്,ऑक्सिन
Awn (ബ്രിട്ട്),"शूक, तूड़"
ബദാം കായ്,बादाम
കറ്റാർ,धीकुवार
അമരന്തസ്,"चौलाई, रामदाना"
ആംമി,अजवाइन
അഞ്ജൻ പുല്ല്,"अंजन घास, धामन घास"
ആന്തറിയം,एंथूरियम
"ആരോള, ഇന്ത്യൻ നെല്ലിക്ക",आंवला
ആപ്പിൾ,सेब
ആപ്രിക്കോട്ട്,खुबानी
Arbian ജാസ്മിൻ,"मोगरा, बेला"
Arcaunt,सुपारी
അർജുൻ,अर्जुन
അസ്ഫോറ്റിഡ,हींग
ആഷ് പൊറോട്ട,पेठा
അശോക ട്രീ,अशोक
അഷെതർ കള (യൂഫോർബിയ),दूधी
ശതാവരിച്ചെടി,सतावर
അവോക്കാഡോ,अवोकाडो
പയറുവർഗ്ഗങ്ങൾ (ലൂസെർൻ),"रिजक्रा, लूसर्न"
ഉറുമ്പുകൾ,चींटी
മുഞ്ഞ,"तेला, माहू"
സൈനിക വേം,सैनिक कीट
കാർഷിക സാമ്പത്തിക ശാസ്ത്രജ്ഞൻ,कृषि अर्थशास्त्री
കാർഷിക വിപുലീകരണവാദി,कृषि प्रसार विज्ञानी
കാർഷിക ശാസ്ത്രജ്ഞൻ,कृषि वैज्ञानिक
കാർഷിക എഞ്ചിനീയർ,कृषि अभियंता
അഗ്രോബയോളജിസ്റ്റിക്,कृषि जीवविज्ञानी
അഗ്രോണമിസ്റ്റ്,सस्य विज्ञानी
Agrofysicst,कृषि भौतिकीविद्
മൃഗങ്ങളുടെ ബ്രീഡർ,"प्राणि प्रजनक, पशु प्रजनक"
ബാസിലസ് വൈറസ്,दंड विषाणु
ബാസിലസ്,"दंडाणु, बैसिलस"
ബാക്ടീരിയ,"जीवाणु, बैक्टीरिया"
ബാക്ടറോമോക്സിൻ,जीवविष
ബാഗസ്,खोई
ബാലൻസ് ഷീറ്റ്,"तुलन-पत्र, चिट्ठा"
സമതുലിതമായ ബീജസങ്കലനം,संतुलित निषेचन
ബാർ ഡയഗ്രം,दंड आरेख
കുര,छाल
ബാരോമീമീറ്റർ,"वायुदाबमापी, बैरोमीटर"
തരിശായ,"बजर, अकृष्य, बांझ"
അടിത്തറ,"आधार, बेस, कपांग"
പരന്നപാതം,"थाला, द्रोणी"
അടിസ്ഥാനപരമായ,तलाभिसारी
ബസിസ്റ്റർനം,"बेसिस्टर्नम, मूलाधारक"
ബേ മൺസൂൺ,खाड़ी मानसून
വഹിക്കുന്ന പ്ലാന്റ്,फलदायी पौधा
കിടക്ക,क्यारी
അടിദേഡർ,क्यारी - पौधा
ശയ്യോപകരണങ്ങള്,क्यारी बनाना
ബീറ്റ്റൂട്ട് മോളസ്,चुंकदर शीरा
മണിനാദം,धौंकनी
അരപ്പട്ട,"पट्टी, इलाका"
ആനുകൂല്യ-വില വിശകലനം,लाभ-लागत विश्लेषण
പക്ഷപാതപരമായ (സാമ്പിൾ),अभिनत (प्रतिचयन)
ബിനാത്തില്,द्विवर्षीय पादप
ബിനോമിയൽ,द्विपद
ബയോജന്റ്,जैवकारक
ബയോക്രിമേറ്റ്,जीव जलवायु
ബയോ എനെർജി,जैव ऊर्जा
ബയോണോമിക്സ്,जीव पारिस्थितिकी
BIOREACTOR,"जैव-प्रक्रियापात्र, बायो रिएक्टर"
ബയോസ്ഫിയർ,जीव-मंडल
ഉപകാരന്,जैविक
ബയോട്ടിവൈപ്പ്,जीव प्रारूप
ബൈസെക്ഷ്വൽ,द्विलिंगी
ബ്ലാഞ്ചിംഗ്,धवलन
സ്ഫോടനം,"प्रध्वसं (रोग), झोंका रोग"
സങ്കലനം,सम्मिश्रण
വരണ്ടതാണ,"अंगमारी (रोग), ब्लाइट (रोग)"
പൊള്ളല്,"छाला, फफोला, उद्वर्त, ब्लिस्टर"
നീല വിപ്ലവം,नीली क्रांति
ചുവടെ ചൂട് ചേമ്പർ,तलीय ताप चैंबर
ചുവടെയുള്ള താപ രീതി,तलीय ताप तकनीक
തണ്ണീര്,चोकर
ശാചിനമായ,शाखन
ലഘുലേഖ,"टहनी, उपशाखा"
ഇനം,नस्ल
പ്രജനനം,"प्रजनन, अभिजनन"
തിളങ്ങുന്ന,शीघ्र अंकुरण उपचार
കുഞ്ഞുങ്ങള്,"शाव, अंड, भ्रूण"
വളർന്നുകാരി,कलिकायन
വരവ്ചെലവ് മതിപ്പ്,बजट
ബഫർ,"उभयप्रतिरोधी, बफर"
ബൾബ്,शल्ककंद
മുണ്ടു,"बंट (रोग), चोट"
ഉപോൽപ്പന്നം,"उपजात, उपोत्पाद"
ബാബുൾ അക്കേഷ്യ,"बबूल, कीकर"
കുഞ്ഞ് ധാന്യം,बेबी कॉर्न
ബാലിനെ,बेल
ബില്ലാൻ,लाजालु
ബൽസം,गुलमेंहदी
മുള,बांस
വാഴപ്പഴം,केला
ബനിയൻ ട്രീ,बरगद
യവം,जौ
ബാർയ്യാർഡ് മില്ലറ്റ്,सावां
തുളക്ടി,तुलसी
ബാസ്റ്റാർഡ് ദേവദാരു,रुद्राक्ष
ബാസ്റ്റാർഡ് മൈറോബലൻ,बहेड़ा
ബവായീനിയ,कचनार
ബേ ബെറി,कैफल
അമര,सेम
മധുരക്കിഴങ്ങുചെടി,चुकंदर
ബെല്ലഡോണ,बेलाडोना
മുളകു,बेर
പതുക്കമുള്ള,बरसीम
മുയേറ്റ,पान
ബിലിമ്പി,बिलिंबी
പാവയ്ക്ക,करेला
കറുത്ത ഗ്രാം,उड़द
കറുത്ത നൈറ്റ്ഷെയ്ഡ്,मकोय
ബ g ഗൻവില്ല,बोगेनविलिया
കുപ്പി ബ്രഷ്,बोटल ब्रश
ബോട്ടിൽ പൊറോട്ട,लौकी
ബോക്സ് മരം,"चीकदी, पापरी"
ബ്രെഡ് ഫലം,ब्रेड फ्रूट
വധുവിന്റെ ക്രീപ്പർ,डेला
വശ്ശീല,बैंगन
വിശാലമായ ബീൻ,"बाकला, चौड़ी बीन"
ബ്രോക്കോളി,ब्रोकोली
ബ്രസ്സൽസ് മുള,ब्रुसेल्स स्प्राउट
താനിന്നു,कुटू
ബദ്ധ,"पलाश लता, किंशुक"
ബാൻഡികാൂട്ട്,घूंस
കരടി,भालू
വണ്ട്,भृंग
ബ്ലിസ്റ്റർ വണ്ട്,फफोला भृंग
നീല കാള,नील गाय
ബോൾ വേം,कपास की सूंड़ी
ചിതശലഭം,तितली
ബാക്ടീരിയോളജിസ്റ്റ്,जीवाणु विज्ञानी
ബയോകെമിസ്റ്റ്,जैव रसायनविद्
ജീവശാസ്തജ്ഞന്,जीव विज्ञानी
ബയോടെക്നോളജിക്,जैव प्रौद्योगिकीविद्
സസ്യശാസ്ത്രജ്ഞൻ,वनस्पतिविद्
സി ഈർപ്പം സ്വഭാവ വക്ര,c नमी विशिष्टता वक्र
കേയ്ക്ക്,खली
കണക്കാക്കാന്വേമികമായ,"चूनेदार, कैल्सियमी"
കണക്കുകഷ്ടം,कैल्सीयन
ഫോസ്ഫേറ്റിന്റെ കാൽനികം,फॉस्फेट का निस्तापन
കൗണം,"किणता, कैलसता"
ഞങ്ങളെ വിളിക്കൂ,"कैलस, किण"
കാലിക്സ്,"बाह्यदल पुंज, कैलिक्स"
കാലിക്സ്-അവസാനം,बाह्यदल अंत
കാമ്പി,एधा
കാൻകെറർ,कैंकर (जीवाणु रोग)
കാനിംഗ്,डिब्बाबंदी
മേലാപ്പ്,वितान
തലസ്ഥാനം,पूंजी
പിസേരിഫിക്കേഷൻ,परागण (अंजीर का)
കാപ്സ്യൂൾ,"संपुट, संपुटिका, कैप्सूल"
കാർബണേറ്റഡ്,कार्बोनीकृत
കാർബണലൈസേഷൻ,कार्बनन
പരല്പം,अंडप
കാർപസ്,मणिबंध
കാസ്റ്റിംഗ്,"ढलाई (लोहे की), क्षिप्ति (कीट)"
കാറ്റബോളിസം,अपचय
കവചലിസ്,उत्प्रेरण
ചിതശലഭപ്പുഴു,"इल्ली, सूंडी"
സി-ഡിഎൻഎ ലൈബ്രറി,C- डीएनए संग्रह
മച്ച്,सीमा
കോശം,"कोशिका, कोष्ठिका"
കേന്ദ്ര നേതാവ് സംവിധാനം,केंद्रीय अग्रलेख प्रणाली
ഒരിനംവീപ്പ്,"सबिंदु, सकेंद्र"
സെൻറ്ഫ്യൂഗേഷൻ,अपकेंद्रण
കേന്ദ്രീകൃത,अपकेंद्रित
സെൻട്രിയോൾ,तारककेंद्र
നൂന്കോജാനിക്,केंद्रजनिक
നൂനിശ്ചയമുള്ള,केंद्रजा
കടല്ചലട്,लूम
ധാനം,"धान्य, सीरियल"
സാക്ഷപ്പെടുത്തല്,"प्रमाणीकरण, प्रमाणन"
സാക്ഷ്യപ്പെടുത്തിയ വിത്ത്,प्रमाणित बीज
ചാട്ട,"भूसा, कुट्टी, शल्क सहपत्र"
ചാലസ,"निभाग, कैलाजा"
പരോപപാതം,रसानुवर्तन
ചിയാസ്മ,"काएज्मा, व्यत्यस्त"
ചില്ലിംഗ് സമയം,द्रुतशीतन घंटे
ചില്ലിംഗ് പരിക്ക്,शीतज क्षति
ചിമേര,"विचित्रोतकी, किमेरा"
ക്ലോറോറാന്തി,हरित दली
ക്ലോറോഫിൽ,"पर्णहरित, हरितक"
ക്ലോറോസിസ്,हरिमाहीनता
ക്ലോറോളജി,जीव वितरण विज्ञान
ക്രോമാറ്റിഡ്,"क्रोमैटिड, अर्धगुणसूत्र"
ക്രോമാറ്റിൻ,क्रोमैटिन
ക്രോമാറ്റോഗ്രാഫി,वर्णलेखन
ക്രോമാറ്റോളിസിസ്,क्रोमोटिनलयन
ക്രോമസെന്റ്റന്റ്,परिसूत्र बिंदु
ക്രോമോജെനിസിസ്,वर्णजनन
ക്രോമോപ്രോട്ടൻ,"क्रोमोप्रोटीन, वर्णकप्रोटीन"
ക്രോമസോം,"गुणसूत्र, क्रोमोसोम"
വിട്ടുമാറാത്ത,"चिरकाली, दीर्घकाली, जीर्ण, पुराना"
സിട്രഞ്ച്,सिट्रेंज
പചാരു,पर्णाभपर्व
വര്ഗീകരണം,वर्गीकरण
കളിമണ്ണ്,"मृत्तिका, चिकनी मिट्टी"
ശുചിയാക്കല്,"निर्मलन, मार्जन, सफाई, शोधन"
Clistogay,"अनुन्मील्य परागण, स्वपरागण"
ക്ലൈമാക്രിക് ഫ്രൂട്ട്,क्रांतिक श्वसनी फल
കാലാവസ്ഥ,जलवायु
കാലാവസ്ഥയുള്ള,जलवायु विज्ञान
ക്ലിപ്പര്,कतरनी
വലം,ढेला (मिट्टी का)
ക്ലോൺ,"क्लोन, कृन्तक"
മേഘം,"मेघ, बादल"
തോപ്പ്,"पुंज (क्लंप, संपुंजन)"
ക്ലസ്റ്റർ,गुच्छ
പരുക്കനായ,"स्थूल, मोटा, कच्चा, अपरिष्कृत"
കോട്ട് (വിത്ത്),"आवरण (बीज़), चर्मावरण"
കീടകോശം,कोया
Coenzyme,"कोएन्जाइम, सह-प्रकिण्व"
ഏകീകരണം,संसंजन
കയർ,"रेशा (जूट पटसन), नारियल जटा"
കൊളോറൈസ,मूलांकुर चोल
കുപ്പായക്കഴുത്ത്,"स्तंभमूलसंधि, कॉलर, ग्रीवा"
കൊളോയിഡ് (മണ്ണ്),कोलॉइड (मृदा)
കൊളംറ്റെല്ല,"स्तंभिका, कॉलुमेला"
കോളം,"दंड, स्तंभ, कॉलम"
ആമേനസം,सहभोजिता
വാണിജ്യ ബാങ്ക്,वाणिज्यिक बैंक
ചരക്ക്,"जिंस, पण्य वस्तु"
സമൂഹം,समुदाय
കോംപാക്ഷൻ (മണ്ണിന്റെ),"संहनन, (मृदा का)"
അനുയോജ്യത,"सुसंगति, संगतता"
അനുയോജ്യത,सुसंगतता
നഷ്ടപരിഹാരം,"क्षतिपूर्ति, मुआवजा"
മത്സര ഇടപെടൽ,स्पर्धी अन्योन्यक्रिया
പൂരക വിള,पूरक सस्य
കോംപ്ലമായ,"सम्मिश्र, जटिल"
ഘടകം,घटक
രചന,संघटन
കമ്പോസ്റ്റ്,कंपोस्ट
കൂട്ടുപലിശ,चक्रवृद्धि ब्याज
കണക്കുകൂട്ടൽ,अभिकलन
കന്വൂട്ടര്,"अभिकलित्र, कंप्यूटर"
ഏകാഗത,"सांद्रण, संकेद्रण"
കണ്ടന്റർ,"अनुकूलक, पुनरुद्धारक"
മാര്ഗ്ഗം,चालकता
കോൺഫിഗറേഷൻ,"विन्यास, संरूपण"
അനുരൂപത,"अनुरूपता, समविन्यास, समरूपता"
ആശയക്കുഴപ്പത്തില്,"समाकुलन, संकरण"
സംയോജനം,संयुग्मन
കണക്റ്റീവ്,"योजी, संयोजी"
സംരക്ഷണം,सरंक्षण
ഏകീകരണം,चकबंदी
ഘടകങ്ങൾ,"संघटक, अवयव"
ഉപഭോക്താവ്,उपभोक्ता
ഉപഭോഗം,उपभोग
മലിനമാക്കല്,संदूषण
കോണ്ടൂർ നടീൽ,समोच्च रोपण
ബാഹരേഖ,समोच्च रेखा
കരാർ കൃഷി,"संविदा कृषि, ठेका कृषि, अनुबंधित खेती"
നിയന്ത്രിത സംഭരണം,नियंत्रित भंडारण
കോ-ഓപ്പറേറ്റീവ് ബാങ്ക്,सहकारी बैंक
സഹകരണക്കാരൻ,सहकारी संस्था सदस्य
ചെവിസിസ്,गुल्मवन
വലം,घनकंद
കൊറോള്ള,"दलपुंज, कोरोला"
Cuortex,"वल्कल, कॉर्टेक्स"
ചെലവ്,लागत
കോട്ടിലെഡൺ (വിത്ത്),बीजपत्र
ക്രെഡിറ്റ് സമൂഹം,ऋण समिति
കീര്ത്തി,"उधार, साख"
കടക്കാരന്,"ऋणदाता, लेनदार"
ചിഹ്നം,"शिखा, शीर्ष, शिखर"
കാശി,व्याकुंचन
പതിസന്ധി,संकट
മാനദണ്ഡം,कसौटी
വിമര്ശിക്കുന്ന,"क्रांतिक, विकट, नाजुक"
വിള ഇൻഷുറൻസ്,फसल बीमा
വിള വായ്പ,फसल ऋण
വിള,"सस्य, फसल"
വിളവെടുപ്പ് പ്രദേശം,सस्यन क्षेत्र
ക്രോസ്-പൊരുത്തപ്പെടുന്നില്ല,पार-असंगत
കിരീടം (പ്ലാന്റ്),"मुकुट, शिखर (पादप)"
അപ്പക്കഷണം,मृदुकण
അപ്പത്തിന്റെമൊരിഞ്ഞപുറം,पपड़ी
ക്രിപ്റ്റോഗം,"क्रिप्टोगैम, अपुष्पीपादप"
കല്ല് (പഴങ്ങൾ),छांटन (फल)
കുള,"कल्म, वेणुकाण्ड"
കൃഷിചെയ്യുക,कृष्य किस्म
കൃഷി,"कर्षण, कृषि, खेती"
കൃഷിക്കാരൻ,"किसान, कल्टीवेटर (यंत्र)"
സംസ്കാരം,"संवर्ध, संवर्धन, पालन"
രോഗശമനം,"संसाधन, तैयार करना"
കേവിംഗ്,"कुंतलन, कुंचन"
പവാഹം,मुद्रा
ഉപയാകൃതിയായ,"उपत्वचा, क्यूटिकल"
മുറിക്കൽ,"कलम, कटाई, काटना, कटाग्र, कटावा"
തൊലി,"कृमि कोष, सिस्ट, पुटी, विकृत गुल्म, रसौली"
സൈറ്റോക്രോം,साइटोक्रोम
Cytogy,कोशिका युग्मन
Cretogenesis,कोशिका जनन
സൈറ്റോജെനിറ്റിക്സ്,कोशिका आनुवंशिकी
സൈറ്റോകിനിസ്,कोशिका द्रव्य विभाजन
സൈറ്റിയോളജി,कोशिका विज्ञान
സൈനോളിസിസ്,कोशिकाविघटन
സൈറ്റോമിയർ,"साइटोमियर, कोशिका खंड"
സൈറ്റോപ്ലാസം,कोशिका द्रव्य
കാബേജ്,बंदगोभी
കള്ളിച്ചെടി,नागफनी
കലണ്ടുല,ज़रगुल
കാനറി പുല്ല് (ഫലാരിസ്),"गिल्ली डंडा, गेहूं का मामा"
കാന,कैना
കപ്പരിസ്,करीर
കാപ്സിക്കം,शिमला मिर्च
കാരാംബോള,कमरख
കാരാപ്പ,पुसुर
ഏലാമി,इलाइची
മാംസവര്ണ്ണം,कार्नेशन
കാരറ്റ്,गाजर
കശുവണ്ടി,काजू
കാസിയ,अमलतास
നായക,अरंडी
കോളിഫ്ലവർ,फूलगोभी
മുള്ളങ്കി,सेलेरी
ഖപായം,चम्पा
ചെനോപോഡിയം,बथुआ
ചെറി തക്കാളി,चेरी टमाटर
ചെറി,चेरी
"ചിക്കൻ, ഗ്രാം",चना
മുള്ളികൾ,मिर्च
ചൈന ടർപ്പന്റൈൻ ട്രീ,काकड़ा
ച ow-ച ow,लौकू
ക്രിസന്തമം,गुलदाउदी
"ചുഫ, എർത്ത് ബദാം",चिचोड़ा
സിക്കോറി,"चिकोरी, कारनी"
കറുവ,दालचीनी
സിട്രൺ,सिट्रोन
സിട്രോൻസെല്ല പുല്ല്,गंजनी
ജസ്മിൻ കയറുന്നു,मालती
ചൂള,लौंग
ക്ലസ്റ്റർ ബീൻ,ग्वार बीन
കൊക്കോ,कहवा
നാളികേരം,नारियल
കോഫി,कॉफी
കൊളാസ്,पत्थरचूर
കൊളോസാസിയ,अरबी
"കൊളോസിന്ത്, കയ്പേറിയ ആപ്പിൾ",इंद्रायन
സാധാരണ പർപ്പഴം,जंगली पालक
മല്ലി,धनिया
പരുത്തി,कपास
കൗപിയ,लोबिया
ക്യൂബ്,कबाब-चीनी
വെള്ളരിക്ക,खीरा
കുക്കർബിറ്റുകൾ,कद्दूवर्गीय
കുമിൻ,जीरा
കറി ഇല,करी पत्ता
കസ്റ്റാർഡ് ആപ്പിൾ,शरीफा
കാപ്സ്യൂൾ ബോറർ,पुटिका वेधक
കാറ്റർപില്ലർ,इल्ली
സിട്രസ് സൈല,सिट्रस साएला
കിക്കറ്റ്,झींगर
കാക്ക,कौआ
പുഴുവിനെ മുറിക്കുക,कटुआ
പാല്ശേഖരണകേന്ദം,"डेरी, दुग्धशाला"
ക്ഷീണം,डेरी उद्योग
അണക്കെട്ട്,"बांध, प्रजननी"
ഡേ-ന്യൂട്രൽ,दिवस निरपेक्ष पादप
പൂവിടുമ്പോൾ ദിവസങ്ങൾ,पुष्पन के बाद के दिवस
നിറച്ച ദിവസങ്ങൾ,पूर्ण पुष्पन के बाद के दिवस
വഴുതിവീഴുന്നു,निष्पुष्पन
നിര്ണ്ണായകീകരണം,विकैल्सीकरण
പാനമായ,"निथारना, निस्तारना"
അഴുകല്,क्षय
ഇലപന്തം,पर्णपाती
ദശാംശ,"दशमिक, दशमलव"
അപരാപ്തത,न्यूनता
ഡെഫ്ലോക്യൂളിറ്റ് (മണ്ണ്),"अनूर्णन (मृदा), वि-उर्णन"
വസതിരൂപം,विपुष्पन
വികോപനം,विपत्रण
വനനശീകരണം,वनोन्मूलन
