Marathi,English
बार चुंबक,bar magnet
धान्याचे कोठार,barn
हवेचा दाब आलेख,barogram
"बॅरोग्राफ, बॅरोग्राफ",barograph
बॅरोमीटर,barometer
वातावरणाचा दाब,barometry
"कॉसमॉस, बॅरोमोस्फियर",barosphere
पेंडुलम पेंडुलम,bar pendulum
"अडथळा, आण्विक, आण्विक अडथळा",barrier
अडथळा पातळी,barrier layer (rectifier)=blocking layer -depletion layer =space charge layer
बेरियन,baryon
गुरुमंडळ,barysphere
बेस बँड,base band
"मूलभूत, मूलभूत, अल्कधर्मी",basic
पाया,basis
"गणना, संघ निर्मिती",batching
"टाकी, टाकी, हीटर, गरम करण्याचे भांडे, आंघोळ",bath
बॅटरी,battery
"अॅरे सेगमेंट, चेंबर, बे",bay
प्रदर्शन,B-display
किबान,beacon
"माणिका, बीड",bead
"तुळई, तुळई, तुळई, ट्रम्प",beam
"डिकमन, डिकॉन",bearing
"dole, vispand",beat
बेकरेल प्रभाव,Becqueral effect
बेल जार,bell jar
घुंगरू,bellow
घंटा घड्याळ,bell shaped
"वेदिका, खंडपीठ",bench
"मोड, बंक (सं.), वाकणे (v.)",bend
बँकन,bending
"वाकलेला, वाकलेला",bent
बर्नौली-समीकरण,Bernoulli's equation
बेसल-फंक्शन,Bessel function
सर्वोत्तम आसंजन,best fit
बीटा (ब),beta (भ्)
betatron,betatron
bethe मॉडेल,Bethe's model
बायव्हट्रॉन,bevatron
BH वक्र,B-H curve
द्विभुज,biangular
"पक्षपात, पक्षपात",bias
द्वि-अक्षीय,biaxial
बिक्रोमेट सेल,bichromate cell
अभ्यवताल,biconcave
दुहेरी अँटेना,biconical aerial
द्विउत्तल,biconvex
"द्वि-क्रिस्टल, दुहेरी-क्रिस्टल",bicrystal
द्विदिश मायक्रोफोन,bidirectional microphone
द्विपदी मॉडेल,bifactor model
डायओशियस,bifilar
द्विपक्षीय,bilateral
द्विरेखीय,bilinear
द्विमोलेक्युलर,bimolecular
"द्वि-चर, द्वि-आधार, दुहेरी",binary
"बायनरी कोड, बायनरी कोड",binary code
गेम स्टार,binary star
बायनरी पद्धत,binary system
दुहेरी बाजू असलेला,binaural
बंध,binding
"द्विनेत्री, द्विनेत्री",binocular
बायनरी,binode
द्विपदी वितरण,binomial distribution
"द्विकेंद्रीय, द्विकेंद्री, द्विकेंद्रित",binuclear
जैवगतिकी,biodynamics
बायो इलेक्ट्रॉनिक्स,bioelectronics
बायोफिजिस्ट,biophysicist
बायोफिजिक्स,biophysics
जैविक उपग्रह,biosatellite
"सिनेमॅटोग्राफर, बायोस्कोप",bioscope
जैव-सावर्त नियम,Biot-Savart'law
biphasic प्रवाह,biphase current
द्विध्रुव,bipolar
"biprism, biprism",biprism
"biquartz, biquartz",biquartz
biphasic वर्ण,bistable characteristics
दोन-स्टेज मल्टीव्हायब्रेटर,bistable multivibrator
"द्वयंक* (बायनरी अंक), बर्मीज, अनी, तुक",bit
"काळा, कृष्णा",black
काळे शरीर,black body
अदृश्य प्रकाश,black light
timirayan रेडिओ timirayan,black out
इजेक्शन नाडी,black out pulse (=blanking pulse)
पूर्वाग्रह समाप्त करा,black out voltage (=cut of bias)
काळा विकिरण,black radiation
"अपूर्ण, रिक्त",blank
कव्हर,blanketing
रद्द करणे,blanking
"स्फोट, स्फोट, वाफा",blast
"savika, bleeder, savi",bleeder
"वेशात, आंधळा",blind
ब्लोचचे प्रमेय,Bloch theorem
"अवरोधित करणे, अवरोधित करणे, अडथळा आणणे",blocking
"फुंकणे, फुंकणे, फुंकणे",blow
ब्लू प्रिंट,blue print
अस्पष्टता वर्तुळ,blur circle
अस्पष्ट,blurred
"बॉल, गोलाकार, लटकन",bob
"शरीर, वस्तू",body
शारीरिक क्षमता,body capacitance
केंद्रीत,body centred
"शरीर-कर्ण, अंत-कर्ण",body diagonal
"बोगी, अज्ञात शोध (रडार)",bogie
बोअर इफेक्ट,Bohr effect
बोर मॅग्नेटन,Bohr magneton
"बॉयलर, बॉयलर",boiler
"उकळणे, उकळणे",boiling
बोल्ट्समन समीकरण,Boltzmann equation
बॉम्बर इलेक्ट्रॉन,bombarding electron
"क्लेशकारक ऊर्जा, बॉम्बस्फोट ऊर्जा",bombarding energy
गहाण,bond
"बंधलेले, बंधलेले, बंधलेले",bonding
वर्धक,booster
बोरॉन,boron
बोस-कण,Bose particle
बोसॉन,boson
"धक्का, उडी",bounce
बद्ध,bound
"मर्यादा, मर्यादा (सं.), सीमांत (वि.)",boundary
बद्ध,bound
धनु राशीचे अंगण,bow
नौकानयन लाट,bow wave
बॉयलर गरम करणे,Boyle point
बॉयलचा कायदा,Boyle's law
बॉयलर गरम करणे,Boyle' temperature
कंस-वर्ग,Bracket series
पिशवी नियम,Bragg law
गुंफलेली तार,braided wire
ब्रेक वर्ग,braking orbit
ब्रामा कंप्रेसर,Bramah press
शाखा,branching
"धाडसी जाळी, धाडसी जाळी",Bravais lattice
ब्रास ब्रॅझिंग,braze
विच्छेदन,break
ब्रेक कनेक्टर,break contact
"फ्रॅक्चर डायोड, जेनर डायोड",breakdown diode
फ्रॅक्चर,breaking
"ब्रीडर रिएक्टर, ब्रीडर न्यूक्लियर फर्नेस, ब्रीडर फर्नेस",breeder reactor
पुनरुत्पादन,breeding
"retardant विकिरण, brastralung",bremsstrahlung
brewster-कोन,Brewster angle
ब्रुस्टर फ्रीज,Brewster fringe
पूल,bridge
ब्रिज बाँड,bridging
"तेजस्वी, तेजस्वी, चमकदार",bright
प्रकाशक,brightening
तेज,bright
"द्युती, प्रभा",brightness
ब्रिलुवान क्षेत्र,Brillouin zone
ब्रिटिश मानक मेणबत्ती,British Standard Candle
ठिसूळ,brittle
ठिसूळपणा,brittleness
प्रसारण,broadcasting
तपशीलवार,broad
प्रतिगामी,broadside
ब्रोगली फॉर्म्युला,Broglie formula
खंडित,broken
ब्राउनी मोशन,Brownian motion
"कुची, बुरुश, कुर्च, गुल्म",brush
"बबल, बबल (सं.), बडबड (v.)",bubble
उत्तेजित होणे,bubbling
प्रतिकार,bucking
आकुंचन,buckling
"amp-प्रतिरोध, बफर",buffer
ध्वनीशास्त्र,building acoustics
बर्धन,build up
बल्ब,bulb
उदयास येणे,bulging
"मात्रा, मोठ्या प्रमाणात, वस्तुमान, वस्तुमान, खंड",bulk
व्हॉल्यूम लवचिकता गुणांक,bulk modulus
लोकसंख्या मालमत्ता,bulk property
कमाल तापमान,bulk temperature
फुगवटा,bump (in a curve)
"गुच्छ, गुच्छ (n.), क्लस्टर करणे (ver.)",bunch
घड,buncher
बनसेन सेल,Bunsen cell
उत्साह,buoy
"उछाल, उत्साह",buoyancy
बर्गर सर्किट,Burger's circuit
चोराची घंटा,burglar alarm
"बर्नर, इग्निटर",burner
पूर्ण प्रज्वलन,burn out
"स्फोट, स्फोट, फूट",burst
ओळ व्यस्त,busy line
व्यस्त टोन,busy tone
बजर,buzzer
बायपास,bypass
सर्किट,bypassing
"सागरी तार, केबल",cable
कॅडमियम,cadmium
सीझियम सेल,caesium cell
पांजर द्विध्रुव,cage dipole
पांजर इफेक्ट,cage effect
मोजणे,calculate
कॅल्क्युलेटर,calculator
कॅलेंडर,calendar
"कॅलिब्रेशन, कॅलिब्रेशन, पुनरावृत्ती",calibrate
"कॅलिब्रेशन गुणक, कॅलिब्रेशन गुणक",calibration factor
कॅलिपर,callipers
"कॉल कॅल्क्युलेटर, टॉक कॅल्क्युलेटर",call-meter
"उष्णता (v.), उष्मांक (सं.)",caloric
"कॅलरीमीटर, कॅलरीमीटर",calorimeter
"कॅलरीमेट्री, कॅलरीमेट्री",calorimetry
कॅमेरा,camera
"कुल्या किरण, कालवा किरण",canal rays
candela,candela
"मेणबत्ती, मेणबत्ती",candle
प्रामाणिक,canonical
cantilever,cantilever
"टोपी, झगा (सं.), इंटरलेसिंग (v.)",cap
धारण,capacitance
कॅपेसिटर,capacitor
"capillarity, capillarity",capillarity
"केशिका, केशिका",capillary
केशिका शक्ती,capillary force
"कॅप्सूल, कॅप्सूल, कॅप्सूल",capsule
पकडणे,capture
कार्बन 14 शेड्यूलिंग,carbon 14 dating
"अविभाज्य बिंदू, मुख्य संख्या, संख्या संख्या",cardinals
कार्नोचे प्रमेय,Carnot's theorem
वाहक,carrier
कार्टेशियन अक्ष,Cartesian axes
काडतूस,cartridge
"सोपानी (वि.), सोपानीपत (सं.)",cascade
प्रेरित,catalysed
"आपत्ती, आपत्ती",catastrophe
लिमिटर डायोड,catching diode
"ऑर्थोमीटर, कॅथेटोमीटर",cathetometer
कॅथेट्रॉन,cathetron
कॅथोड,cathode
cation,cation
तेजस्वी पृष्ठ,caustic surface
कोटोर,cavity
"सीमांत, कव्हर, छेदनबिंदू, सर्वोच्च संख्या, आवरण",ceiling
आकाशीय,celestial
सेल-स्थिर,cell constant
सिमेंट लेन्स,cemented lens
लक्ष केंद्रित,centering
सेंटीग्रेड,centigrade
सेंटीमीटर,centimeter
सेंटीमीटर-ग्राम-सेकंद पद्धत,centimeter gram second system
"मध्यवर्ती, मध्यवर्ती",central
केंद्रीय संसाधन युनिट,central processing unit (C.P.U)
केंद्र,centre
संरेखन केंद्र,centre of collineation
मध्य किरण,centric ray
केंद्राभिमुख,centripetal
केंद्रक,centroid
सिरॅमिक,ceramic
c हरभरा. पासून. पद्धत,c.g.s. system
क्रमिक क्षय,chain decay
"कक्ष, खोली, खोली",chamber
"संधी, संधी, संधी",chance
चल,changing
"वाहिनी, वाहिनी, जलवाहिनी, जलमार्ग",channel
"channelization, channelization",channelling
"गोंधळ, अव्यवस्था",chaos
"वर्ण, वर्ण, वर्ण",character
"वैशिष्ट्यपूर्ण, वैशिष्ट्यपूर्ण, वैशिष्ट्यपूर्ण, संपूर्ण, वैशिष्ट्यपूर्ण",characteristic
"चार्ज, चार्ज, चार्ज, चार्ज",charge
चार्जर,charger
भरा,charging
चार्ल्स कायदा,Charles' law
"तक्ता, तक्ता",chart
पाठपुरावा,chasing
"चौकी, चेसिस",chasis
"चाचणी, चाचणी",check
रासायनिक,chemical
केमिल्युमिनेसन्स,chemi-luminescence
"शेव्हिंग्ज, चिप्स, चिप्स",chip
वर्ग नसलेली चाचणी,chi-square test
"गुदमरणे (दोष), गुदमरणे",choke
मधूनमधून अॅम्प्लिफायर,chopper amplifier
समूह संगीत,choral music
रंगीत,chromatic
रंगद्रव्य,chromaticity
रंगद्रव्य,chromaticness
रंगद्रव्य,chromastism
क्रोमॅटोग्राम,chromatograph
"रंगमापक, क्रोमोमीटर",chromometer
क्रोमोफोर,chromophore
"क्रोमोस्फियर, क्रोमोस्फियर",chromosphere
"क्रोनोग्राफ, क्रोनोग्राफ, क्रोनोग्राफ",chronograph
क्रोनोमीटर,chronometer
"चित्रपट, चित्रपट",cinema
सिनेमॅटोग्राफी,cinematography
"शून्य, सायफर",cipher (zero)
पुनरावृत्ती,circle in (=iris in)
सर्किट,circuit
सर्किटरी,circuitry
"वर्तुळाकार, गोलाकार",circular
प्रसारित,circulating
"अभिसरण, अभिसरण",circulation
परिपत्रक,circulator
परिघीय,circumferential
आण्विक इलेक्ट्रॉन,circumuclear electron
परिभू उपग्रह,circumterrestrial satellite
नागरी वारंवारता बँड,citizen's band
"यादी, वहिवाट",cladding
बंध,clamping
क्लेपेरॉन समीकरण,Clapeyron equation
"क्लासिक, क्लासिक, क्लासिक",classical
"मध्यांतर, काढणे (सं.)",clearance
फूट,cleavage
हवामान,climate
माउंट,climb
"पायरोमीटर, वैद्यकीय थर्मामीटर",clinical thermometer
घड्याळ व्होल्टेज,clock voltage
घड्याळाच्या दिशेने,clockwise
बंद परिक्रमा,closed circuit
बंद-सर्किट दूरदर्शन,closed circuit television (=piped television)
"tightly packed, tightly packed",close packed
चांगली पॅकेज केलेली रचना,close packed structure
जवळचा दृष्टीकोन,closest approach
नवीनतम पॅक,closest packed
जवळचे दृश्य,close-up (=close-up view)
"ढग, ढग, अंधुक, स्पॉट्स",cloud
घड,cluster
"खडबडीत, खडबडीत, कच्चे, निकृष्ट, अपरिष्कृत",coarse
मॅक्रो क्रिस्टलीय,coarsely crystalline
"कोस्ट, टार्गेट हाऊस (रडार)",coast
"आवरण, कोट, कोट, कोटिंग",coat
"लेप, लेप, लेप",coating
शांत करणे,coaxial
"कोड, चिन्ह, कोड, कोड, कोड",code
कोड केलेले,coded
कोडिंग पल्स,coding pulse
गुणांक,coefficient
संयम,coercive
सस्पेन्स,coercivity
"संलग्नता, संलग्नता",coherence
"संलग्न, संलग्न",coherent
एकसंधता,cohesion
सांसांजी,cohesional
कुंडली,coil
गुंडाळलेले,coiled
"कॉइलिंग, कॉइल बिल्डिंग, कॉइलिंग",coiling
फ्लॅट,coincidence
थंड,cold
कमी तापमान उत्सर्जन,cold emission
सबथर्मल न्यूट्रॉन्स,cold neutron
नाश,collapsible state
"संपार्श्विक, शाखा, शाखा",collateral
"समन्वयक, समन्वयक, संग्राहक",collator
संकलन,collection
"सामूहिक, लोकसंख्या",collective
"कलेक्टर, कलेक्टर, कलेक्टर",collector
टक्कर करणारा कण,colliding particles
समांतर,collimate
"समांतर, दिशाहीन",collimated
समांतरभुज चौकोन,collimator
संरेखन,collinear
संरेखन,collinearity
"टक्कर, टक्कर, टक्कर",collision
कोलायड,colloidal
"रंगमापक, रंगमापक",colorimeter
रंगाधळेपण,colour blindness
वर्ण,colour
"स्तंभ, स्तंभ",column
"स्वल्पविराम, गुच्छा, शेपटी, शेपटी",coma
"संयोजन, संयोजन, जमा",combination
संमिश्र स्वर,combinational tone
संमिश्र स्वर,combination tone
दायित्व,combustibility
ज्वलन,combustion
व्यावसायिक फेराइट,commercial ferrite
"सामान्य, सामान्य, सामान्य, सामान्य, सामान्य",common
कम्युनिकेशन्स,communication
"वळवणे, डेटा बदल, क्रमपरिवर्तन",commutation
"कम्युटेटर, कम्युटेटर, कम्युटेटर",commutator
"तुलना करणारा, तुलना करणारा",comparator
तुलना,comparison
"होकायंत्र, होकायंत्र, होकायंत्र",compass
"सुसंगतता, सुसंगतता, सुसंगतता, सुसंगतता",compatibility
"भरपाई, बदला",compensate
"भरपाई, भरपाई, भरपाई",compensation
प्रतिकार,compensator
"संकलन, व्याख्या",compilation
"संकलन, व्याख्या",compile
पूरकता,complementarity
पूरक,comlementary
पूर्ण,complete
पूर्ण सेल,completed shell
पूर्ण मॉड्यूलेशन,complete modulation
"जटिल, जटिल, पॅकेज",complex
जटिल अणू,complex atom
जटिल कार्य,complex function
स्वरूप,complexion
जटिल यंत्रणा,complex mechanism
पाठपुरावा,compliance
"घटक, संबंधित घटक",component
"एकत्रित, मिश्रित",composite
"मिश्र, मिश्र, एकत्रित, वित्त, संयुग",compound
asral लोलक,compound pendulum
"कॉम्प्रेस (सं.), कॉम्प्रेस (v.)",compress
संकुचित,compressed
संकुचितता,compressibility
दाबण्यायोग्य,compressible
संक्षेप,compression
"कंप्रेसर, कंप्रेसर",compressor
"कॉम्प्टन इलेक्ट्रॉन, प्रतिसंतुलित इलेक्ट्रॉन",Compton electron
गणना,computation
संगणकीय,computational
"संगणक, संगणक, संगणक",computer
अवतल,concave
द्विउत्तल,concavo-concave
"एकाग्र करणे, घट्ट करणे, एकाग्र करणे (adj.), एकाग्र करणे (v.)",concentrate
"एकाग्र, एकाग्र, एकाग्र",concentrated
"एकाग्रता, एकाग्रता, एकाग्रता, एकाग्रता",concentration
"एककेंद्री, केंद्रीत",concentric
संकल्पना,conception
वैचारिक,conceptual
"जवळीक, संवाद",concordance
सुसंवाद,concordant
"समवर्ती, अनुगामी",concurrent
"संक्षेपण, संक्षेपण",condensation
"घनीभूत करणे, द्रव करणे, द्रव करणे",condense
"घनरूप, द्रवरूप, संक्षिप्त",condensed
"कंडेनसर, कॅपेसिटर, कलेक्टर",condenser
"स्थिती, स्थिती, स्थिती, स्थिती",condition
वाहकता,conductance
चालक,conducting
ड्रायव्हिंग,conduction
वाहकता,conductivity
निष्ठा,confidence
