Malayalam,Assamese
അക്കോസ്റ്റിക് ഫോണോൺ,একাউষ্টিক ফ&#39;নন
ശബ്ദ യൂണിറ്റ്,শব্দ একক
അക്കോസ്റ്റിക്,একাউষ্টিক
ശബ്ദ ജനറേറ്റർ,শব্দ উৎপাদক
പ്രവർത്തനവും പ്രതികരണവും,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
സജീവമാക്കൽ,সক্ৰিয়কৰণ
സജീവമാക്കൽ ഊർജ്ജം,সক্ৰিয়কৰণ শক্তি
"ആക്റ്റിവേറ്റർ, ആക്റ്റിവേറ്റർ","সক্ৰিয়কৰ্তা, সক্ৰিয়কৰ্তা"
സജീവമാണ്,সক্ৰিয়
ആക്ടിവിസം,সক্ৰিয়তা
യഥാർത്ഥ സമ്മർദ്ദം,প্ৰকৃত মানসিক চাপ
മന്ത്രിക്കുന്നു,ফুচফুচাই কোৱা
സംഗ്രഹിക്കാനായി,সামৰণিত
"തുക, കൂട്ടിച്ചേർക്കൽ, മൊത്തം (എഡി.), സങ്കലനം (വി.)","যোগ, যোগ, সমষ্টি (ed.), যোগ (v.)"
"സംയോജിത സ്വരം, അധിക സ്വരം (സ്വരാക്ഷരങ്ങൾ)","সংযোগী সুৰ, অতিৰিক্ত সুৰ (স্বৰ)"
സങ്കലനം,যোগকৰণ
അഡീഷൻ,আঠাযুক্ততা
പശ ഊർജ്ജം,আঠাযুক্ত শক্তি
അടിയാബാറ്റ്,আদিয়াবাট
adiabatic,adiabatic
ചൂട് ഇൻസുലേറ്റിംഗ്,তাপ নিৰোধক
ബന്ധം,সংলগ্ন কৰা হৈছে
ക്രമീകരിക്കാവുന്ന,নিয়ন্ত্ৰণযোগ্য
നുഴഞ്ഞുകയറ്റം,ভেদ
ആഗിരണം,শোষণ
മുന്നോട്ട്,আগলৈ
പുരോഗമനപരമായ,প্ৰগতিশীল
"ആകാശി, വായു (വി.), ഏരിയൽ (എഡി.)","আকাশী, বায়ু (v.), আকাশী (ed.)"
ആന്റിന സ്ട്രീം,এন্টেনা ষ্ট্ৰিম
ഏരിയൽ സർവേ,আকাশী জৰীপ
വായു വേഗത,বায়ুৰ বেগ
എയറോഡൈനാമിക് കോഫിഫിഷ്യന്റ്,বায়ুগতিশীল সহগ
എയറോഡൈനാമിക്,বায়ুগতিবিদ্যা
എയറോഡൈനാമിക്സ്,বায়ুগতিবিদ্যা
എയറോനോട്ടിക്കൽ,এৰোনটিকেল
എയറോനോട്ടിക്സ്,এৰোনটিক্স
എയർ പൾസ്,বায়ুৰ স্পন্দন
"അന്തരീക്ഷം, വാതകമണ്ഡലം","বায়ুমণ্ডল, গেছ&#39;স্ফিয়াৰ"
ഫോക്കസ് സിസ്റ്റം,ফোকাচ চিষ্টেম
തിരികെ ജ്വലനം,বেক ইগনিচন
ബാക്ക് ലൈറ്റ്,বেক লাইট
ഞെട്ടൽ,জোকাৰণি
"പ്രായം, പ്രായം, പ്രായം, യുഗം (എഡി.), സമയത്തെ ബാധിക്കാൻ (ver.), സമയം, സമയം ബാധിക്കുക","বয়স, বয়স, বয়স, যুগ (ed.), সময়ক প্ৰভাৱিত কৰা (ver.), সময়, সময়ৰ দ্বাৰা প্ৰভাৱিত হোৱা"
സമയം ബാധിച്ചു,সময় প্ৰভাৱিত
"വാർദ്ധക്യം, വാർദ്ധക്യം","বয়স বৃদ্ধি, বয়স বৃদ্ধি"
സമയ പ്രഭാവം,সময়ৰ প্ৰভাৱ
സമയ ഫല പരിശോധന,সময় প্ৰভাৱ পৰীক্ষা
ഗുരുത്വാകർഷണമില്ലാത്ത,মাধ্যাকৰ্ষণহীন
അനുരഞ്ജനം,মিলন
"വായുവിലൂടെയുള്ള റഡാർ, ഏരിയൽ റഡാർ","বায়ুমণ্ডলীয় ৰাডাৰ, আকাশী ৰাডাৰ"
"ആകാശ ലക്ഷ്യം, ആകാശ ലക്ഷ്യം","আকাশী লক্ষ্য, আকাশী লক্ষ্য"
എയർ റെസ്പിറേറ്റർ,বায়ু শ্বাসযন্ত্ৰ
എയർ കണ്ടീഷനിംഗ്,এয়াৰ কণ্ডিচনাৰ
എയർക്രൂ ട്രാൻസ്ഫോർമർ,এয়াৰক্ৰু ট্ৰেন্সফৰ্মাৰ
വിമാനം,বিমান
വിന്യാസം,প্ৰান্তিককৰণ
വിന്യാസ പിശക്,প্ৰান্তিককৰণৰ ভুল
ലൈവ് സർക്യൂട്ട്,লাইভ চাৰ্কিট
മുഴുവൻ ഗ്ലാസ് ട്യൂബ്,সম্পূৰ্ণ কাঁচৰ নলী
മുഴുവൻ മെറ്റൽ ട്യൂബ്,গোটেই ধাতুৰ নলী
പരിഹരിക്കാൻ,ঠিক কৰা
"മിസ്രതു (എഡി.), മിശ്രത്വാൻ (സി.ആർ.)","মিশ্ৰতু (সম্পা.), মিশ্ৰত্বন (ক্ৰ.)"
മിശ്രത്വൻ,মিশ্ৰত্ৱন
സർവ്വവ്യാപിയായ മാധ്യമം,সৰ্বব্যাপী মাধ্যম
ഓമ്‌നി ആന്റിന,omni এন্টেনা
പഞ്ചഭൂതം,আলমানাক
ആൽഫ,আলফা
ആൽഫ പ്രവർത്തനം,আলফা-কাৰ্য্যকলাপ
ആൽഫാന്യൂമെറിക്,আলফানিউমেৰিক
ആൽഫാ റേ,আলফা ৰশ্মি
മാറ്റുക,সলা
"ഒന്നിടവിട്ട്, ഒന്നിടവിട്ട്","বিকল্প, বিকল্প"
ആൾട്ടർനേറ്റർ,অলটাৰেটৰ
ആൾട്ടിമീറ്റർ,উচ্চতামাপক
ആൾട്ടിമീറ്റർ,উচ্চতামাপক
ആൾട്ടിമെട്രി,উচ্চতা মাপকাঠী
"ഉയരം, ഉയരം, ഉയരം, ഉയരം","উচ্চতা, উচ্চতা, উচ্চতা, উচ্চতা"
അരിത്മെറ്റിക് റീസണിംഗ് യൂണിറ്റ് (ALU),গাণিতিক যুক্তি একক (ALU)
ഒരു ഭരണം,amaget নিয়ম
പരിസ്ഥിതി,পৰিৱেশ
അമ്ക്രോൺ,amicron
അമ്മീറ്റർ,এমিটাৰ
ആമ്പിയർ,এম্পিয়াৰ
ആമ്പിയർ നിയമം,এম্পিয়াৰ-আইন
ഉഭയജീവി അയോൺ,উভচৰ আয়ন
ആംപ്ലിഫിക്കേഷൻ,এম্প্লিফিকেশন
ആംപ്ലിഫയർ,এম্প্লিফায়াৰ
"ആംഗിൾ, അളവ്","কোণ, মাত্ৰা"
എ. എം.യു. (ആറ്റോമിക് മാസ് യൂണിറ്റ്),ক. এম ইউ. (পাৰমাণৱিক ভৰ একক)
അനുയോജ്യം,উপযুক্ত
സാമ്യം,উপমা
അനലിസ്റ്റ്,বিশ্লেষক
വിശകലനം,বিশ্লেষণ
വിശകലനാത്മകമായ,বিশ্লেষণাত্মক
നോൺ-പോയിന്റ്,নন-পইন্ট
അസാധാരണമായ,অস্বাভাৱিক
വാതിലും,আৰু দুৱাৰ
നോൺ-അക്കോസ്റ്റിക്,অ-ধ্বনিযুক্ত
അസാധാരണമായ ഇലാസ്തികത,বিষম স্থিতিস্থাপকতা
ജലരഹിതമായ,জলহীন
കോൺ,কোণ
angstrom യൂണിറ്റ്,angstrom একক
കോണിക,কৌণিক
പ്രൊട്രാക്ടർ വെർനിയർ,প্ৰট্ৰেক্টৰ vernier
തർക്കരഹിതമായ,বিতৰ্কহীন
ബഹുമാനമില്ലാത്ത,অসন্মানজনক
അക്രോമാറ്റിക് കാന്തികവൽക്കരണം,ৰঙীন চুম্বকীয়কৰণ
മന്ദത,শিথিলতা
അയോൺ,এনিয়ন
അസമമായ,অসমতাপূৰ্ণ
ഐസോട്രോപിക്,সমতলীয়
ഐസോട്രോപിസം,সমচক্ৰীয়তা
ഇല്ലാതാക്കൽ,মচি পেলোৱা
ഗൂഢാലോചനക്കാർ,ষড়যন্ত্ৰকাৰী
ആനോഡ്,এনোড
ആനോഡൈസേഷൻ,এনোডাইজেচন
പൊരുത്തമില്ലാത്ത,অসামঞ্জস্যপূৰ্ণ
ഒപ്റ്റിക്കൽ സിസ്റ്റം,অপটিকেল চিষ্টেম
ആന്റിന,এন্টেনা
ആന്റിബെറിയോൺ,এন্টিবেৰিয়ান
ബോണ്ടിംഗ് വിരുദ്ധ സ്വത്ത്,এন্টি-বণ্ডিং বৈশিষ্ট্য
കൌണ്ടർ ബോണ്ട്,কাউণ্টাৰ বণ্ড
റിവേഴ്സ് പവർ,ৰিভাৰ্ছ পাৱাৰ
ഡയമാഗ്നറ്റിക്,ডাইমেগনেটিক
ഡയമാഗ്നറ്റിക് മെറ്റീരിയൽ,ডাইমেগনেটিক পদাৰ্থ
വിരുദ്ധ ബാഹ്യാവിഷ്ക്കാരമാണ്,এন্টি-ইনফ্লেমেটৰী
ആന്റിഗ്രാവിറ്റി,এন্টিগ্ৰেভিটি
ആന്റിലാംഡ കണിക,এন্টিলামডা কণা
അല്ലെലെപ്റ്റൺ,এলিলেপ্টন
ഡയമാഗ്നറ്റിക്,ডাইমেগনেটিক
പ്രതിദ്രവ്യം,এন্টিমেটাৰ
വിരുദ്ധ മിസൈൽ,এন্টি মিছাইল
ആന്റിന്യൂട്രോൺ,এন্টিনিউট্ৰন
സ്പന്ദിക്കുന്ന,স্পন্দনশীল
ആന്റി ന്യൂക്ലിയോൺ,এন্টিনিউক্লিয়ন
ആന്റിപാർട്ടിക്കിൾ,এন্টিপাৰটিকেল
ആന്റിപ്രോട്ടോൺ,এন্টিপ্ৰ&#39;টন
ആന്റി റിഫ്ലെക്റ്റീവ്,এন্টিৰিফ্লেক্টিভ
ആന്റിസിമെട്രിക്,এন্টিসিমেট্ৰিক
ആവർത്തിക്കാത്ത,non recurring
അനാക്രോണിസം,এনাক্ৰ&#39;নিজম
സുഷിരങ്ങളുള്ള സ്കാനിംഗ് ഡിസ്ക്,ছিদ্ৰযুক্ত স্কেনিং ডিস্ক
ദ്വാരക്,দ্বাৰক
"മുകളിൽ, മുകളിൽ, മുൻഭാഗം","ওপৰ, ওপৰ, সন্মুখ"
"സൂര്യൻ ഉയർന്ന, സൂര്യൻ ഉയർന്ന, അപ്സർ","সূৰ্য্য উচ্চ, উচ্চ সূৰ্য্য"
ഉദാസീനമായ ലേസ്,উদাসীন জৰী
ദയനീയമല്ലാത്ത,অকৰুণ
വൈകല്യമില്ലാത്തത്,অ-অক্ষমতা
വളരെ അക്രോമാറ്റിക്,অতি ৰংহীন
"ഭൂമി-ഉയരം, അപ്പോജി","ভূমি-উচ্চ, apogee"
"ധ്രുവീയമല്ലാത്ത, വൃത്താകൃതിയിലുള്ള","অমেৰু, বৃত্তাকাৰ"
പരധ്രുവത്വം,পেৰাপোলাৰিটি
ഉപകരണം,সঁজুলি
"വെർച്വൽ, വിഷ്വൽ","ভাৰ্চুৱেল, দৃশ্যমান"
ദൃശ്യ സൂര്യൻ,দৃশ্যমান সূৰ্য্য
ദൃശ്യ സമയം,দৃশ্যমান সময়
ഉയർന്നുവരുന്ന രൂപം,উদীয়মান ৰূপ
അപേക്ഷ,দৰ্খাস্ত
പ്രയോഗക്ഷമത,প্ৰযোজ্যতা
അപേക്ഷിച്ചു,প্ৰয়োগ কৰা হৈছে
നിരീക്ഷിക്കാവുന്നതാണ്,পৰ্যবেক্ষণযোগ্য
സമീപനം,পদ্ধতি
"അടുത്ത്, ഏകദേശം","ওচৰত, প্ৰায়"
ഏകദേശ കണക്ക്,আনুমানিককৰণ
നീരാവി മർദ്ദം,বাষ্পৰ চাপ
സ്വമേധയാ,স্বেচ্ছামূলক
"ആർക്ക് ചൂള, ആർക്ക് ചൂള","চাপ চুলা, চাপ চুলা"
ആർക്കിമിഡീസിന്റെ നിയമം,আৰ্কিমিডিছৰ নিয়ম
വാസ്തുവിദ്യാ ശബ്ദശാസ്ത്രം,স্থাপত্যৰ ধ্বনিবিজ্ঞান
ആർക്ക് ലാമ്പ്,চাপ লেম্প
ആർക്ക്-സ്പെക്ട്രം,চাপ-বৰ্ণালী
"പ്രദേശം, പ്രദേശം","এলেকা, এলেকা"
"പ്രാദേശിക, പ്രാദേശിക","আঞ্চলিক, আঞ্চলিক"
"ഭുജം, ഭുജം, ശാഖ","বাহু, বাহু, শাখা"
അമച്വർ,অপেশাদার
"അറേ, അറേ","এৰে, এৰে"
റിസീവർ,ৰিচিভাৰ
ഉച്ചാരണ വ്യക്തത,উচ্চাৰণৰ স্পষ্টতা
സിന്തറ്റിക്,কৃত্ৰিম
കൃത്രിമ പരിവർത്തനം,কৃত্ৰিম ৰূপান্তৰ
ആരോഹണം,আৰোহী
കയറ്റം,আৰোহণ
കയറുന്നു,বগাই যোৱা
അഗോലി,আগোলি
സമാഹരണം,একত্ৰীকৰণ
കൂട്ടം,set of
"അസംബ്ലിംഗ്, അസംബ്ലിംഗ്","একত্ৰিত কৰা, একত্ৰিত কৰা"
"അസംബ്ലിംഗ്, അസംബ്ലിംഗ്, അസംബ്ലിംഗ്","একত্ৰিত কৰা, একত্ৰিত কৰা, একত্ৰিত কৰা"
കൃത്യമായ കണക്കുകൂട്ടൽ,নিখুঁত অনুমান
വ്യക്തമാക്കിയ (ക്വാണ്ടം സംഖ്യകളുടെ) സവിശേഷതകൾ,নিৰ্দিষ্ট (কোৱাণ্টাম সংখ্যাৰ) ধাৰ্য্যকৰণসমূহ
"ബന്ധപ്പെട്ട, സഹകാരി, സംയോജിത","সম্পৰ্কীয়, সংযুক্ত, সংযুক্ত"
സ്വരാക്ഷര ശബ്ദം,স্বৰধ্বনি
ഓട്ടോമാറ്റിക് മൾട്ടിവൈബ്രേറ്റർ,স্বয়ংক্ৰিয় মাল্টিভাইব্ৰেটৰ
ആസ്തെനിക്,এষ্টেনিক
"വിട്ടുനിൽക്കൽ, astigmatism","বিৰতি, দৃষ্টিশক্তি"
ബഹിരാകാശ യാത്ര ഇലക്ട്രോണിക്സ്,মহাকাশ ভ্ৰমণ ইলেক্ট্ৰনিকছ
ജ്യോതിശാസ്ത്രം,জ্যোতিৰ্পদাৰ্থ বিজ্ঞান
ബഹിരാകാശ സഞ്ചാരി,মহাকাশচাৰী
ജ്യോതിശാസ്ത്രജ്ഞൻ,জ্যোতিৰ্বিজ্ঞানী
സ്വർഗ്ഗീയ,আকাশী
ജ്യോതിശാസ്ത്രം,জ্যোতিৰ্বিজ্ঞান
ജ്യോതിശാസ്ത്രം,জ্যোতিৰ্পদাৰ্থ বিজ্ঞান
അസമമായ,অসমতাপূৰ্ণ
അസിംപ്റ്റോട്ടിക്,এছিম্পটটিক
വഷളാക്കുന്നു,গুৰুতৰ কৰি তোলা
അസമന്വിത,এচিনক্ৰ&#39;নাছ
"അന്തരീക്ഷം, അന്തരീക്ഷം","বায়ুমণ্ডল, বায়ুমণ্ডল"
അന്തരീക്ഷം,বায়ুমণ্ডলীয়
കാറ്റ് പ്രക്ഷുബ്ധത,বতাহৰ অস্থিৰতা
ആണവ,পাৰমাণৱিক
ആറ്റോമിക,পাৰমাণৱিক
ആറ്റോമിസിറ്റി,পাৰমাণৱিকতা
ആണവ പിണ്ഡം,পাৰমাণৱিক ভৰ
ആറ്റോമിക നമ്പർ,পাৰমাণৱিক সংখ্যা
"ന്യൂക്ലിയർ റിയാക്ടർ, ന്യൂക്ലിയർ പൈൽ","নিউক্লিয়াৰ ৰিয়েক্টৰ, নিউক্লিয়াৰ পাইল"
ആറ്റോമിക,পাৰমাণৱিক
കണം,কণা
കണം,কণা
ശോഷണം,"attenuation, ক্ষীণকৰণ"
"ശോഷണം, ശോഷണം","attenuating, ক্ষীণ কৰা"
ചാം,আকৰ্ষণ
ആകർഷണ ശക്തി,আকৰ্ষণৰ বল
ശ്രവണക്ഷമത,শ্ৰৱণ ক্ষমতা
ഓഡിയോ ഫ്രീക്വൻസി ആംപ്ലിഫയർ,অডিঅ&#39; ফ্ৰিকুৱেন্সি এম্প্লিফায়াৰ
കേൾക്കാവുന്ന,শ্ৰৱণযোগ্য
ഓഡിയോ ജനറേറ്റർ,অডিঅ&#39; জেনেৰেটৰ
ഓഡിബിലിറ്റി ഗ്രാഫ്,শ্ৰৱণ ক্ষমতা গ্ৰাফ
കേൾവി ശാസ്ത്രം,শ্ৰৱণ বিজ্ঞান
ഓഡിയോമീറ്റർ,অডিঅ&#39;মিটাৰ
കേൾക്കാവുന്ന ഫ്രീക്വൻസി ഓസിലേറ്റർ,শ্ৰৱণযোগ্য কম্পাঙ্ক দোলক
ശബ്ദ സിഗ്നൽ,শব্দ সংকেত
ദൃശ്യ-ശ്രാവ്യ,দৃশ্য-শ্ৰাব্য
"ഓഡിറ്റോറിയം, ഓഡിറ്റോറിയം","অডিটৰিয়াম, অডিটৰিয়াম"
OZ പ്രഭാവം,OZ প্ৰভাৱ
പ്രമോഷൻ,প্ৰচাৰ
എൻഹാൻസർ,এনহান্সাৰ
ധ്രുവജ്വാല,মেৰু শিখা
ദക്ഷിണ ധ്രുവജ്വാല,দক্ষিণ মেৰু শিখা
ഉത്തരധ്രുവ ജ്വാല,উত্তৰ মেৰু শিখা
യാന്ത്രിക മുന്നറിയിപ്പ്,স্বয়ংক্ৰিয় সতৰ্কবাণী
ഓട്ടോ പാരലലൈസർ,অটো সমান্তৰালকাৰী
"ഓട്ടോമാറ്റിക്, ഓട്ടോമാറ്റിക്, ഓട്ടോമാറ്റിക്","স্বয়ংক্ৰিয়, স্বয়ংক্ৰিয়, স্বয়ংক্ৰিয়"
"ഓട്ടോമേഷൻ, ഓട്ടോമേഷൻ","স্বয়ংক্ৰিয়কৰণ, স্বয়ংক্ৰিয়কৰণ"
"സഹായി, സഹകരണം, അധിക","সহায়ক, সমবায়, অতিৰিক্ত"
"അവദവ, അവലാഞ്ചി","অৱদাভা, হিমস্খলন"
"അർത്ഥം, അർത്ഥം","mean, mean"
പരിവാരൻ,পৰিৱৰণ
അച്ചുതണ്ട്,অক্ষীয়
അച്ചുതണ്ട്,অক্ষ
അസിമുത്ത്,এজিমুথ
അസിമുത്ത്,এজিমুথ
തിരികെ,পিছলৈ
"പശ്ചാത്തലം, പശ്ചാത്തലം","পটভূমি, পটভূমি"
"പിന്നോട്ട്, പിന്നോട്ട്","পিছপৰা, পিছপৰা"
ടേൺ എറൗണ്ട്,ঘুৰা
ബാക്ക് വോൾട്ടേജ് പൾസർ,বেক ভল্টেজ পালছাৰ
പോസ്റ്റ്-റിലേഷൻഷിപ്പ്,সম্পৰ্কৰ পিছৰ
തിരിച്ചടവ്,ৰিইম্বৰ্চেমেণ্ট
ആന്റി വോൾട്ടേജ്,এন্টি ভল্টেজ
പിൻഭാഗം ചിതറിക്കൽ,পশ্চাৎ বিক্ষিপ্ততা
ഇന്റർസ്റ്റീഷ്യൽ വേവ്,অন্তৰ্স্থলীৰ তৰংগ
ഇൻസുലേറ്റർ,ইনচুলেটৰ
പാരച്യൂട്ട് ജമ്പ്,পেৰাচুট জাম্প
ചൂടാക്കൽ,উত্তাপন কৰা
"ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്","ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য"
ബാലൻസർ,বেলেন্সাৰ
ബാലൻസ്,ভাৰসাম্যতা বজাই ৰখা
ഗോളാകൃതി,গ্ল&#39;বুল
"ബാലിസ്റ്റിക്, ബാലിസ്റ്റിക്","বেলিষ্টিক, বেলিষ্টিক"
"പ്രൊജക്ഷൻ ഗാൽവനോമീറ്റർ, പ്രൊജക്ഷൻ ഗാൽവനോമീറ്റർ","প্ৰজেকচন গেলভেন’মিটাৰ, প্ৰজেকচন গেলভেন’মিটাৰ"
മിസൈൽ,মিছাইল
"ബാലിസ്റ്റിക്സ്, ആയുധം","বেলিষ্টিক, অস্ত্ৰ-শস্ত্ৰ"
പ്രൊജക്ഷൻ,প্ৰক্ষেপণ
സ്വതന്ത്ര പാത,মুক্ত ট্ৰেজেক্টৰী
"ബലൂൺ, ബലൂൺ","বেলুন, বেলুন"
ബാൽമർ നിർത്തലാക്കൽ,বালমাৰ বিচ্ছিন্নতা
"ബാൻഡ്, ബാൻഡ്, ബാൻഡ്","বেণ্ড, বেণ্ড, বেণ্ড"
സ്ഫോടനം,ফুটা
"അറേ, ബീം, തീരം, ബാങ്ക്, തീരം","array, beam, তীৰ, পাৰ, উপকূল"
"കോളം, ബാർ, കോബ്, ബ്ലോക്ക്, ബാർ, വടി, ബാർ, 8. മതിൽ, 9. ലൈൻ, 10. എഡ്ജ്, 1 ബ്ലോക്ക്, 1, ബാർ, 1, ലൈൻ, 1, ടെസ്റ്റ് ലൈൻ","স্তম্ভ, বাৰ, কব, ব্লক, বাৰ, ৰড, বাৰ, ৮.বেৰ, ৯. ৰেখা, ১০. প্ৰান্ত, ১ ব্লক, ১, বাৰ, ১, ৰেখা, ১, পৰীক্ষা ৰেখা"
ബാർഡീൻ തത്വം,bardeen নীতি
ബാർഖൗസെൻ പ്രഭാവം,barkhausen প্ৰভাৱ
ബാർലോ സൈക്കിൾ,barlow চক্ৰ
ബാർ കാന്തം,বাৰ চুম্বক
കളപ്പുര,ভঁৰাল
വായു മർദ്ദം ഗ്രാഫ്,বায়ুৰ চাপৰ গ্ৰাফ
"ബാരോഗ്രാഫ്, ബാരോഗ്രാഫ്","বেৰ&#39;গ্ৰাফ, বেৰ&#39;গ্ৰাফ"
ബാരോമീറ്റർ,বেৰ&#39;মিটাৰ
അന്തരീക്ഷമർദ്ദം,বায়ুমণ্ডলীয় চাপ
"കോസ്മോസ്, ബാരോമോസ്ഫിയർ","ব্ৰহ্মাণ্ড, বেৰ&#39;স্ফিয়াৰ"
പെൻഡുലം പെൻഡുലം,পেণ্ডুলাম
"തടസ്സം, ആണവ, ആണവ തടസ്സം","বাধা, পাৰমাণৱিক বাধা, পাৰমাণৱিক বাধা"
തടസ്സം നില,বাধাৰ স্তৰ
ബാരിയോൺ,barion
ഗുരുമണ്ഡലം,গুৰুমণ্ডল
അടിസ്ഥാന ബാൻഡ്,বেচ বেণ্ড
"അടിസ്ഥാന, അടിസ്ഥാന, ക്ഷാര","মৌলিক, মৌলিক, ক্ষাৰকীয়"
അടിസ്ഥാനം,ভেঁটি
"എണ്ണൽ, ടീം രൂപീകരണം","গণনা, দল গঠন"
"ജലസംഭരണി, ജലസംഭരണി, ഹീറ്റർ, ചൂടാക്കൽ പാത്രം, കുളി","cistern, cistern, হিটাৰ, গৰম কৰা পাত্ৰ, গা ধোৱা"
ബാറ്ററി,বেটাৰি
"അറേ സെഗ്മെന്റ്, ചേമ്പർ, ബേ","এৰে খণ্ড, কক্ষ, উপসাগৰ"
പ്രദർശനം,প্ৰদৰ্শন
കിബാൻ,কিবান
"മാണിക, ബീഡ്","মণিকা, বিড"
"ബീം, ബീം, ബീം, ട്രംപ്","ৰশ্মি, ৰশ্মি, ৰশ্মি, ট্রাম্প"
"ഡിക്മാൻ, ഡിക്കൺ","ডিকমন, ডিকন"
"ഡോൾ, വിസ്പൻഡ്","ডোলে, ভিস্পেণ্ড"
ബെക്വറൽ പ്രഭാവം,becquerel প্ৰভাৱ
മണി ഭരണി,ঘণ্টা জাৰ
തുരുത്തി,bellows
മണി ക്ലോക്ക്,ঘণ্টা ঘড়ী
"വേദിക, ബെഞ്ച്","বেদিকা, বেঞ্চ"
"മോഡ്, ബങ്ക് (എഡി.), ബെൻഡ് (വി.)","মোড, বাংক (সম্পা.), বেণ্ড (v.)"
ബാങ്കൻ,বাংকন
"വളഞ്ഞു, വളഞ്ഞു","bent, বেঁকা"
ബെർണൂലി-സമവാക്യം,বাৰ্নৌলি-সমীকৰণ
അടിസ്ഥാന-പ്രവർത്തനം,ভিত্তি-ফলন
മികച്ച അഡീഷൻ,শ্ৰেষ্ঠ আঠাযুক্ততা
ബീറ്റ (ബി),বিটা (খ)
ബീറ്റാട്രോൺ,betatron
bethe മോഡൽ,bethe মডেল
bivatron,বিভাট্ৰন
BH കർവ്,BH বক্ৰ
ദ്വികോണാകൃതിയിലുള്ള,দ্বিকোণীয়া
"പക്ഷപാതം, പക്ഷപാതം","bias, পক্ষপাতিত্ব"
ദ്വി-അക്ഷാംശം,দ্বি-অক্ষীয়
ബിക്രോമേറ്റ് സെൽ,বাইক্ৰ&#39;মেট কোষ
അഭ്യവതാൽ,অভ্যাৱতল
ഇരട്ട ആന്റിന,ডাবল এন্টেনা
