Malayalam,Odiya
കാർഷിക-കാലാവസ്ഥാ വൈവിധ്യം,କୃଷି-ଜଳବାୟୁ ବିବିଧତା |
കാർഷിക കാലാവസ്ഥാ മേഖല സൃഷ്ടിക്കൽ,agroclimatic ଜୋନ୍ ସୃଷ୍ଟି |
അഗ്രോഫോറസ്ട്രി,କୃଷି ଜଙ୍ଗଲ
കാർഷിക ശാസ്ത്രം,କୃଷି
അഗ്രോണമിക്,ଆଗ୍ରୋନୋମିକ୍
കാർഷിക ഇടയൻ,କୃଷି ପାଳକ
വിള സംസ്കരണം,ଫସଲ ପ୍ରକ୍ରିୟାକରଣ |
പുല്ല് ശാസ്ത്രം,ଘାସ ବିଜ୍ଞାନ |
വിള തരം,ଫସଲ ପ୍ରକାର |
എപ്പിഫൈറ്റ്,ଏପିଫାଇଟ୍ |
aikiochi മണ്ണ്,aikiochi ମାଟି |
വർണ്ണാന്ധത,ରଙ୍ଗ ଅନ୍ଧତା |
ആൽഫിസോൾ,ଆଲଫିସୋଲ୍ |
ആൽഗകൾ,ଶାଗ
ആൽഗ രോഗം,ଆଲଗା ରୋଗ
ആൽക്കലി വെള്ളം,କ୍ଷାର ଜଳ |
ആൽക്കലൈൻ,କ୍ଷାର
ബദൽ,ବିକଳ୍ପ
അല്ലെലോ രസതന്ത്രം,ଆଲେଲୋ କେମେଷ୍ଟ୍ରି |
അല്ലീൽ,ଆଲେଲେ
അല്ലെലോപ്പതി,ଆଲେଲୋପାଥି
വേത്തി വിള,ଭେଟି ଫସଲ |
പൂർത്തീകരണം,ସମାପ୍ତି
ബീജസങ്കലനം,ଫର୍ଟିଲାଇଜେସନ୍
1. ആപേക്ഷികത 2. അലോമെട്രി,1. ଆପେକ୍ଷିକତା 2. ଆଲୋମେଟ୍ରି |
മൾട്ടിപ്ലോയിഡി,ମଲ୍ଟିପ୍ଲୋଡି
1. പാരാസിഗോസിറ്റി,1. ପାରାଜାଇଗୋସିଟି |
1. ഇതര വർഷത്തെ പ്രവർത്തനം 2. ഇതര പ്രവർത്തനം,1. ବ Year କଳ୍ପିକ ବର୍ଷ କାର୍ଯ୍ୟ 2. ବିକଳ୍ପ କାର୍ଯ୍ୟ |
ബദൽ ഭൂമി ഉപയോഗം,ବିକଳ୍ପ ଜମି ବ୍ୟବହାର |
പരിസ്ഥിതി,ପରିବେଶ
പരിഷ്കർത്താവ്,ସଂସ୍କାରକ
മൈറ്റോസിസ്,ମାଇଟୋସିସ୍
ആമീനൻ,ଆମେନାନ୍
അമോണിയൻ,ଆମୋନିଅନ୍ |
അമ്നിഫെറസ്,amniferous
1. ഫലപ്രദമല്ലാത്ത രൂപം 2. അരൂപി,1. ପ୍ରଭାବହୀନ ଫର୍ମ 2. ଅରୁପି |
ഉഭയജീവി മിശ്രിതം,ଆମ୍ଫିବିଆନ୍ ମିଶ୍ରଣ |
ആംഫോട്ടെറിക്,ଆମ୍ଫୋଟେରିକ୍ |
സ്റ്റോക്ക്പൈലിംഗ്,ଷ୍ଟକପିଲିଂ |
1. അനറോബിക് 2. അനറോബിക് ഓർഗാനിസംസ്,1. ଆନାଏରୋବିକ୍ 2. ଆନାଏରୋବିକ ଜୀବ |
ഹാപ്ലോയിഡ്,ହାପ୍ଲଏଡ୍ |
കോണീയ നടീൽ,କୋଣାର୍କ ବୃକ୍ଷ ରୋପଣ |
മൃഗസംരക്ഷണം,ପଶୁପାଳନ
മൃഗ വിസർജ്ജനം,ପଶୁ ନିର୍ଗମନ
ജീവനുള്ള ഊർജ്ജം,ଜୀବନ୍ତ ଶକ୍ତି
അസാധാരണമായ,ଅସନ୍ତୁଷ୍ଟ |
ഒരു വർഷം പഴക്കമുള്ള ചെടി,ଏକ ବର୍ଷ ପୁରୁଣା ଉଦ୍ଭିଦ |
വാർഷിക,ବାର୍ଷିକ
1. പരമാനന്ദം 2. പ്രഭ,1. ଉତ୍କଣ୍ଠା 2. ପ୍ରଭାବ
ആന്ത്രാക്സ്,ଆନ୍ଥ୍ରାକ୍ସ
നരവംശ ഘടകങ്ങൾ,ଆନ୍ଥ୍ରୋପୋଜେନିକ୍ କାରକଗୁଡିକ |
അതിജീവനം,ବଞ୍ଚିବା
1. ആന്റിബയോട്ടിക് 2. ആന്റിബയോട്ടിക്,1. ଆଣ୍ଟିବାୟୋଟିକ୍ 2 ଆଣ୍ଟିବାୟୋଟିକ୍ |
വെറുപ്പുളവാക്കുന്ന,ଘୃଣ୍ୟ
ആന്റിഓക്‌സിഡന്റ്,ଆଣ୍ଟିଅକ୍ସିଡାଣ୍ଟ |
ആന്റിടോക്സിൻ,ଆଣ୍ଟିଟୋକ୍ସିନ୍ |
മോതിര വിരൽ,ଆଙ୍ଗୁଠି ରିଙ୍ଗ୍ |
1. മുഞ്ഞ 2. മാഹു 3. ചേപ,1. ଆପିଡ୍ 2. ମାହୁ 3. ଚେପା |
മുകളിലെ മുകുളം,ଉପର ଗୁଣ୍ଡ |
പീക്ക് ഫലപ്രാപ്തി,ଶିଖର ପ୍ରଭାବ
തേനീച്ച വളർത്തൽ,ମହୁମାଛି ପାଳନ
അലൈംഗികത,ସମଲିଙ୍ଗୀତା
അപ്പോപ്റ്റോസിസ്,ଆପୋପ୍ଟୋସିସ୍ |
അനുബന്ധങ്ങൾ,ଅନୁକ୍ରମଣିକା
വിശപ്പ്,ଭୋକ
അപേക്ഷിച്ചു,ପ୍ରୟୋଗ ହୋଇଛି |
ജല കള,ଜଳୀୟ ତୃଣ
1. മരം 2. വൃക്ഷ നിവാസി,1. ବୃକ୍ଷ 2. ବୃକ୍ଷ ନିବାସୀ |
ശാഖകൾ,ଶାଖା
പ്രോട്ടോബോട്ടാണിക്കൽ റെക്കോർഡുകൾ,ପ୍ରୋଟୋବୋଟାନିକାଲ୍ ରେକର୍ଡଗୁଡିକ |
സോൺ നമ്പർ,ଜୋନ୍ ସଂଖ୍ୟା
1. ഏരിയ 2. ഏരിയ,1. କ୍ଷେତ୍ର 2. କ୍ଷେତ୍ର
വരണ്ട ആവാസവ്യവസ്ഥ,ଶୁଖିଲା ଇକୋସିଷ୍ଟମ୍ |
കോട്ടിലിഡൺ,କୋଟିଲଡନ୍ |
സൗരഭ്,ସ aur ରଭ |
ആരോമാറ്റിക് പ്ലാന്റ്,ସୁଗନ୍ଧିତ ଉଦ୍ଭିଦ |
സുഗന്ധമുള്ള അരി,ସୁଗନ୍ଧିତ ଚାଉଳ |
ഇക്ഷു പുഷ്പൻ,ଇକଶୁ ପୁଷ୍ପନ୍ |
അസെപ്റ്റിക്,ଆସେପ୍ଟିକ୍ |
1. അസെപ്റ്റിക് 2. അസെപ്റ്റിക്,1. ଆସେପ୍ଟିକ୍ 2. ଆସେପ୍ଟିକ୍ |
അലൈംഗിക പുനരുൽപാദനം,ସମଲିଙ୍ଗୀ ପ୍ରଜନନ |
വലിപ്പം,ଆକାର
ആസ്തി,ସମ୍ପତ୍ତି
1. സ്വാംശീകരണം 2. സ്വാംശീകരണം,1. ଆସ୍ମିଲେସନ୍ 2. ଆସ୍ମିଲେସନ୍ |
1. അസോസിയേഷൻ 2. അസോസിയേഷൻ,1. ଆସୋସିଏସନ 2. ଆସୋସିଏସନ
1. കോളം 2. ആസ്ട്രിംഗ്സി,1. ସ୍ତମ୍ଭ 2. ଜ୍ୟୋତିଷ
ഹെറ്ററോസൈഗോസിറ്റി,ହେଟେରୋଜାଇଗୋସିଟି |
1. പൂർവ്വികൻ 2. അടവിസം,1. ପିତୃପୁରୁଷ 2. ଆଟାଭିଜିମ୍ |
കണം,କଣିକା
1. സ്ഥിരീകരണം 2. വൈകല്യം,1. ଅନିଶ୍ଚିତତା 2. ଦୁର୍ବଳତା |
സ്വയം ജോടിയാക്കൽ,ଆତ୍ମ ଯୋଡି |
ഓട്ടോലിസിസ്,ଅଟୋଲାଇସିସ୍
1. സ്വതസിദ്ധമായ ഓക്സീകരണം 2. സ്വതസിദ്ധമായ ഓക്സീകരണം,1. ସ୍ ont ତ aneous ସ୍ପୃତ ଅକ୍ସିଡେସନ୍ 2. ସ୍ ont ତ aneous ସ୍ପୃତ ଅକ୍ସିଡେସନ୍ |
സ്വയം മൾട്ടിപ്ലക്സ്,ସ୍ୱୟଂ ମଲ୍ଟିପ୍ଲେକ୍ସଡ୍ |
ഓക്സിൻ,ଆକ୍ସିନ୍
1. ഷൂക്ക് 2. പൂവൻ,1. ହଲାନ୍ତୁ 2. ଟୋଡ୍ |
ശിക്ഷാ വൈറസ്,ଦଣ୍ଡବିଧାନ ଜୀବାଣୁ |
1. ബാസിലസ് 2. ബാസിലസ്,1. ବାକିଲସ୍ 2. ବାକିଲସ୍ |
1. ബാക്ടീരിയ 2. ബാക്ടീരിയ,1. ଜୀବାଣୁ 2. ଜୀବାଣୁ
ബാക്ടീരിയൽ വിഷം,ଜୀବାଣୁ ବିଷାକ୍ତ
ബാഗാസ്,ବାଗାସେ |
ബാലൻസ് ഷീറ്റ്,ତୂଳନା ପତ୍ର
സമീകൃത വളം ഉപയോഗം,ସନ୍ତୁଳିତ ସାର ବ୍ୟବହାର |
ബാർ ഗ്രാഫ്,ବାର୍ ଗ୍ରାଫ୍ |
കുര,ଭୁକିବା |
1. ബാരോമീറ്റർ 2. ബാരോമീറ്റർ,1. ବାରୋମିଟର 2. ବାରୋମିଟର |
1. ബസർ 2. നിഷ്ക്രിയം 3. വന്ധ്യം,1. ବଜର୍ 2. ଅଦୃଶ୍ୟ 3. ବନ୍ଧ୍ୟା |
1. അടിസ്ഥാനം 2. അടിസ്ഥാനം 3. കുപാങ്,1. ଆଧାର 2. ଆଧାର 3. କପଙ୍ଗ |
1. താല 2. തടം,1. ତାଲା 2. ବେସିନ |
തലബിസാരി,ତଲାବିସାରି |
1. ബാസിസ്റ്റെർനം 2. റൂട്ട് ഹോൾഡർ,1. ବେସ୍ଟର୍ନମ୍ 2. ମୂଳ ଧାରକ |
ഗൾഫ് മൺസൂൺ,ଗଲ୍ଫ ମ so ସୁମୀ |
ഫലം പ്ലാന്റ്,ଫଳ ଉଦ୍ଭିଦ |
കിടക്ക,ଶଯ୍ୟା
കിടക്ക പ്ലാന്റ്,ଶଯ୍ୟା ଉଦ୍ଭିଦ |
കിടക്കവിരി,ଶଯ୍ୟା
ബീറ്റ്റൂട്ട് മോളാസസ്,ବିଲା ଗୁଣ୍ଡ |
തുരുത്തി,ଘଣ୍ଟି
1. സ്ട്രിപ്പ് 2. ഭൂപ്രദേശം,1. ଷ୍ଟ୍ରିପ୍ 2. ଭୂମି
ലാഭ-ചെലവ് വിശകലനം,ଲାଭ-ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |
അഭിലാഷം (സാമ്പിൾ),ଆଶାକର୍ମୀ (ନମୁନା)
ദ്വിവത്സര സസ്യങ്ങൾ,ଦ୍ୱି ବର୍ଷୀୟ ଉଦ୍ଭିଦ |
ദ്വിപദം,ଦ୍ୱିପାକ୍ଷିକ |
ബയോഫാക്ടർ,ବାୟୋଫାକ୍ଟର |
ജൈവ കാലാവസ്ഥ,ଜ bi ବିକ ଜଳବାୟୁ |
ജൈവ ഊർജ്ജം,ଜ o ବ ଶକ୍ତି |
ജന്തു പരിസ്ഥിതി,ଜୀବଜନ୍ତୁ ପରିବେଶ |
1. ബയോ പ്രോസസർ 2. ബയോ റിയാക്ടർ,1. ବାୟୋ-ପ୍ରୋସେସର୍ 2. ବାୟୋ-ରିଆକ୍ଟର |
ജൈവമണ്ഡലം,ଜ bi ବ ଜୀବ |
ബയോട്ടിക്,ବାୟୋଟିକ୍ |
ജന്തുജാലങ്ങൾ,ପ୍ରାଣୀ
ദിവിലിംഗി,ଡିଭିଲିଙ୍ଗୀ |
ധവാലൻ,ଧାୱାଲାନ୍ |
1. പ്രധ്വാസൻ (രോഗം) 2. ഗസ്റ്റ് രോഗം,1. ପ୍ରଭାସନ୍ (ରୋଗ) 2. ଗୁଣ୍ଡ ରୋଗ |
മിശ്രണം,ମିଶ୍ରଣ
1. അംഗ്മാരി (രോഗം) 2. ബ്ലൈറ്റ് (രോഗം),1. ଅଙ୍ଗମାରି (ରୋଗ) 2. ବ୍ଲାଇଟ୍ (ରୋଗ)
1. ബ്ലിസ്റ്റർ 2. ബ്ലിസ്റ്റർ 3. എറപ്ഷൻ 4. ബ്ലിസ്റ്റർ,1. ଫୁଲା 2. ଫୁଲା 3. ଉଦ୍ଗୀରଣ 4. ଫୁଲା |
നീല വിപ്ലവം,ନୀଳ ବିପ୍ଳବ |
പ്ലാനർ ഹീറ്റിംഗ് ചേമ്പർ,ପ୍ଲାନାର୍ ହିଟିଂ ଚାମ୍ବର |
പ്ലാനർ തപീകരണ സാങ്കേതികവിദ്യ,ପ୍ଲାନାର୍ ଗରମ ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |
തവിട്,କଞ୍ଚା |
ശാഖകൾ,ଶାଖା
1. തടി 2. ഉപശാഖ,1. ଟ୍ୱିଗ୍ 2. ସବବ୍ରାଞ୍ଚ |
ഇനം,ପ୍ରଜାତି
പുനരുൽപാദനം,ପ୍ରଜନନ
ആദ്യകാല മുളയ്ക്കൽ ചികിത്സ,ଶୀଘ୍ର ଅଙ୍କୁର ଚିକିତ୍ସା |
1. കുട്ടി 2. മുട്ട 3. ഭ്രൂണം,1. ଘନ 2. ଅଣ୍ଡା 3. ଭ୍ରୁଣ |
വളർന്നുവരുന്ന,ଅଙ୍କୁରିତ |
ബജറ്റ്,ବଜେଟ୍
1.ആംഫോട്ടറിക് 2. ബഫർ,1. ଆମ୍ଫୋଟେରିକ୍ 2. ବଫର୍ |
മധുരക്കിഴങ്ങ്,ମିଠା ଆଳୁ
ബണ്ട് (രോഗം),ବଣ୍ଟ (ରୋଗ)
1. ഉപോൽപ്പന്നം 2. ഉപോൽപ്പന്നം,1. ଉପ-ଉତ୍ପାଦ 2. ଉପ-ଉତ୍ପାଦ |
c ഈർപ്പം സ്പെസിഫിക്കേഷൻ കർവ്,c ଆର୍ଦ୍ରତା ନିର୍ଦ୍ଦିଷ୍ଟ ବକ୍ର
എണ്ണ പിണ്ണാക്ക്,ତେଲ କେକ୍ |
1. നാരങ്ങ 2. കാൽസ്യം,1. ଚୂନ 2. କ୍ୟାଲସିୟମ୍ |
calcion,କାଲସିଅନ୍ |
ഫോസ്ഫേറ്റ് നീക്കം,ଫସଫେଟ୍ ଅପସାରଣ |
1. കിനാറ്റ 2. കാലാറ്റ,1. କିନାଟା 2. କାଲାଟା |
1.കല്ലസ് 2. കിരണം,1. କଲସ୍ 2. କିରଣ
1. വിദളങ്ങൾ 2. കാളിക്സ്,1. କବରଗୁଡିକ 2. କାଲିକ୍ସ |
പുറത്തെ അവസാനം,ବାହ୍ୟ ଶେଷ
എധ,ଏଡା
കാൻസർ (ബാക്ടീരിയ രോഗം),କର୍କଟ (ଜୀବାଣୁ)
കാനിംഗ്,କ୍ୟାନିଂ |
ആകാശം,ଆକାଶ
ധനകാര്യം,ଅର୍ଥ
പരാഗണം (അത്തിപ്പഴം),ପ୍ରଦୂଷଣ (ଡିମ୍ବିରି)
1. കാപ്സ്യൂൾ 2. ക്യാപ്സ്യൂൾ 3. ക്യാപ്സ്യൂൾ,1. କ୍ୟାପସୁଲ୍ 2. କ୍ୟାପସୁଲ୍ 3. କ୍ୟାପସୁଲ୍ |
കാർബണൈസ്ഡ്,ଅଙ୍ଗାରକାମ୍ଳ |
കാർബണൻ,ଅଙ୍ଗାରକାମ୍ଳ |
കാർപേസ്,କାରାପେସ୍ |
വള,ବ୍ରେସଲେଟ୍
1. കാസ്റ്റിംഗ് (ഇരുമ്പ്) 2. ക്ഷിപ്തി (പ്രാണി),1. କାଷ୍ଟିଂ (ଲୁହା) 2. କିସିପି (କୀଟ)
കാറ്റബോളിസം,କାଟାବୋଲିଜିମ୍ |
പ്രേരണ,ପ୍ରେରଣା
1. കാറ്റർപില്ലർ 2. കാറ്റർപില്ലർ,1. କୀଟପିଲା 2. କୀଟପିଲା |
സി ഡി. എൻ. എ. സമാഹാരം,c d। N. a। ସଂଗ୍ରହ
പരിധി,ପରିସର
1. സെൽ 2. സെൽ,1. କକ୍ଷ 2. କକ୍ଷ
സെൻട്രൽ ഫ്രണ്ട് സിസ്റ്റം,କେନ୍ଦ୍ରୀୟ ସାମ୍ନା ବ୍ୟବସ୍ଥା |
1. പോയിന്റ് 2. ഫോക്കസ്,1. ବିନ୍ଦୁ 2. ଧ୍ୟାନ |
അപകേന്ദ്രീകരണം,ସେଣ୍ଟ୍ରିଫୁଗେସନ୍ |
സെൻട്രിഫ്യൂജ്,ସେଣ୍ଟ୍ରିଫୁଗ୍
നക്ഷത്ര കേന്ദ്രം,ତାରା କେନ୍ଦ୍ର |
എപ്പിജെനെറ്റിക്,epigenetic
കേന്ദ്രരാജ,କେନ୍ଦୁ ra ର
തറി,ଲୁମ୍
1. ധാന്യം 2. സീരിയൽ,1. ଶସ୍ୟ 2. କ୍ରମିକ |
1. സർട്ടിഫിക്കേഷൻ 2. സർട്ടിഫിക്കേഷൻ,1. ପ୍ରମାଣପତ୍ର 2. ପ୍ରମାଣପତ୍ର
സാക്ഷ്യപ്പെടുത്തിയ വിത്ത്,ପ୍ରମାଣିତ ବିହନ |
1. വൈക്കോൽ 2. കുട്ടി 3. ശലക് സഹപത്ര,1. ନଡ଼ା 2. କୁଟି 3. ଶାଲକ ସାହାପାତ୍ର |
1. നിഭാഗ് 2. കൈലജ,1. ନିବାଗ 2. କ ail ଲାଜା |
കൈമോഗ്രഫി,ଚିମୋଗ୍ରାଫି
1. കിയാസ്മ 2. തിരക്കിലാണ്,1. କିଆଜମା 2. ବ୍ୟସ୍ତ
supercooling മണിക്കൂർ,ସୁପରକୋଲିଂ ଘଣ୍ଟା |
മഞ്ഞ് കേടുപാടുകൾ,ବରଫର କ୍ଷତି |
1. വിചിരോതകി 2. ചിമേര,1. ଭିଚିରୋଟାକି 2. ଚିମେରା |
പച്ച കഞ്ഞി,ସବୁଜ ପୋଖରୀ |
1. ഇലകൾ 2. പച്ച,1. ପତ୍ର 2. ସବୁଜ
സയനോസിസ്,ସିଆନୋସିସ୍ |
ജൈവ വിതരണ ശാസ്ത്രം,ଜ bi ବିକ ବଣ୍ଟନ ବିଜ୍ science ାନ |
1. ക്രോമാറ്റിഡുകൾ 2. പകുതി ക്രോമസോമുകൾ,1. କ୍ରୋମାଟିଡସ୍ 2. ଅଧା କ୍ରୋମୋଜୋମ୍ |
ക്രോമാറ്റിൻ,କ୍ରୋମାଟିନ୍
ക്രോമാറ്റോഗ്രാഫി,କ୍ରୋମାଟୋଗ୍ରାଫି |
ക്രോമാറ്റിലേഷൻ,କ୍ରୋମାଟିନେସନ୍
ഏട്രിയൽ പോയിന്റ്,atrial point
ക്രോമാറ്റോജെനിസിസ്,କ୍ରୋମାଟୋଜେନେସିସ୍
1. ക്രോമോപ്രോട്ടീൻ 2. പിഗ്മെന്റ് പ്രോട്ടീൻ,1. କ୍ରୋମୋପ୍ରୋଟେନ୍ 2. ପିଗମେଣ୍ଟ୍ରୋଟିନ୍ |
1. ക്രോമസോമുകൾ 2. ക്രോമസോമുകൾ,1. କ୍ରୋମୋଜୋମ୍ 2. କ୍ରୋମୋଜୋମ୍ |
1. വിട്ടുമാറാത്ത 2. വിട്ടുമാറാത്ത 3. വിട്ടുമാറാത്ത 4. കാലഹരണപ്പെട്ട,1. କ୍ରନିକ୍ 2. କ୍ରନିକ୍ 3. କ୍ରନିକ୍ 4. ପୁରୁଣା |
സിട്രേഞ്ച്,citrange
ശരത്കാല ഉത്സവം,ପତିତପାବନ ପର୍ବ |
വർഗ്ഗീകരണം,ବର୍ଗୀକରଣ
1. കളിമണ്ണ് 2. കളിമണ്ണ്,1. ମାଟି 2. ମାଟି
1. വൃത്തിയാക്കൽ 2. സ്‌ക്രബ്ബിംഗ് 3. വൃത്തിയാക്കൽ 4. ശുദ്ധീകരണം,1. ସଫା କରିବା 2. ସ୍କ୍ରବିଂ 3. ସଫା କରିବା 4. ଶୁଦ୍ଧତା |
സ്ഥിരമായ പരാഗണം,ସ୍ଥାୟୀ ପ୍ରଦୂଷଣ |
ക്രൂസിഫറസ് ഫലം,କ୍ରୁଶବିହୀନ ଫଳ |
കാലാവസ്ഥ,ଜଳବାୟୁ
കാലാവസ്ഥാ ശാസ്ത്രം,ଜଳବାୟୁ
കത്രിക,କେଶ
പിണ്ഡം (കളിമണ്ണ്),ଗୁଣ୍ଡ (ମାଟି)
ക്ലോൺ,କ୍ଲୋନ୍ |
1.മേഘങ്ങൾ 2.മേഘങ്ങൾ,1. କ୍ଲାଉଡ୍ 2. କ୍ଲାଉଡ୍ |
കൂട്ടം,ump ୁଲା |
കുല,ଗୁଣ୍ଡ |
