Tamil,Punjabi
வான்வழி கணினி அமைப்பு,ਏਅਰਬੋਰਨ ਕੰਪਿਊਟਰ ਸਿਸਟਮ
அல்டஸ் பக்கம்-தயாரிப்பு,aldus page-make
எச்சரிக்கை பெட்டி,ਚੇਤਾਵਨੀ ਬਾਕਸ
அல்கோல் (கணினி மொழி),ਐਲਗੋਲ (ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ)
"1. அல்காரிதம் , 2. அல்காரிதம்","1. ਐਲਗੋਰਿਦਮ, 2. ਐਲਗੋਰਿਦਮ"
"1. அல்காரிதம் பகுப்பாய்வு, 2. அல்காரிதம் பகுப்பாய்வு","1. ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ, 2. ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ"
அல்காரிதம் திறன்,ਐਲਗੋਰਿਦਮ ਕੁਸ਼ਲਤਾ
"1. எலியாஸ், 2. புனைப்பெயர், 3. aka","1. ਏਲੀਯਾਸ, 2. ਉਪਨਾਮ, 3. ਉਰਫ"
சீரமைப்பு,ਅਲਾਈਨਮੈਂਟ
"1. ஒதுக்கீடு, 2. ஒதுக்கீடு","1. ਵੰਡ, 2. ਵੰਡ"
"1. அகரவரிசை, 2. அகரவரிசையில்","1. ਵਰਣਮਾਲਾ, 2. ਵਰਣਮਾਲਾ ਕ੍ਰਮ"
எண்ணெழுத்து,ਅੱਖਰ ਅੰਕੀ
"1. எண்ணெழுத்து விசைப்பலகை ,2. எண்ணெழுத்து விசைப்பலகை","1. ਅਲਫਾਨਿਊਮੇਰਿਕ ਕੀਬੋਰਡ, 2. ਅੱਖਰ ਅੰਕੀ ਕੀਬੋਰਡ"
ஆல்பா-சோதனை (1 வது நிலை சோதனை),ਅਲਫ਼ਾ-ਟੈਸਟਿੰਗ (ਪਹਿਲਾ ਪੱਧਰ ਦਾ ਟੈਸਟ)
"1. ஆல்பா பதிப்பு, 2. ஆல்பா வடிவம்","1. ਅਲਫ਼ਾ ਸੰਸਕਰਣ, 2. ਅਲਫ਼ਾ ਫਾਰਮ"
alt விசை,alt ਕੁੰਜੀ
அல்டாவிஸ்டா,altavista
பன்முகத்தன்மை,ਬਹੁਲਤਾ
தெளிவற்ற இலக்கணம்,ਅਸਪਸ਼ਟ ਵਿਆਕਰਣ
அமெரிக்க தேசிய ஸ்டேண்டீஸ் நிறுவனம் (ANSI),ਅਮਰੀਕਨ ਨੈਸ਼ਨਲ ਸਟੈਂਡੀਜ਼ ਇੰਸਟੀਚਿਊਟ (ANSI)
அமெரிக்கன் ஸ்டாண்டர்ட் கட் (ascii),ਅਮਰੀਕਨ ਸਟੈਂਡਰਡ ਕੱਟ (ascii)
"1. ஒத்த, 2. அனலாக்","1. ਸਮਾਨ, 2. ਐਨਾਲਾਗ"
"1. அனலாக் கணினி, 2. அனலாக் கணினி","1. ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ, 2. ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ"
"1. அனலாக் சாதனம், 2. அனலாக் சாதனம்","1. ਐਨਾਲਾਗ ਯੰਤਰ, 2. ਐਨਾਲਾਗ ਜੰਤਰ"
"1. அனலாக் மோடம், 2. அனலாக் மோடம்","1. ਐਨਾਲਾਗ ਮਾਡਮ, 2. ਐਨਾਲਾਗ ਮਾਡਮ"
டிஜிட்டல் மாற்றிக்கு அனலாக்,ਐਨਾਲਾਗ ਤੋਂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ
முடிவு (டிஜிட்டல்/பிளேன் லாஜிக் &#39;மற்றும்&#39; பயன்படுத்தப்பட்டது),ਅੰਤ (ਡਿਜੀਟਲ/ਪਲੇਨ ਤਰਕ &#39;ਅਤੇ&#39; ਵਰਤਿਆ ਗਿਆ)
இறுதி சுற்று,ਅੰਤ ਸਰਕਟ
இறுதி வாயில் மற்றும் வாயில்,ਅੰਤ ਗੇਟ ਅਤੇ ਗੇਟ
செயல்பாடு அல்ல (விலக்கு),ਅੰਤ ਨਹੀਂ ਓਪਰੇਸ਼ਨ (ਬੇਹੱਦ)
"1. அனிமேஷன், 2. அதிர்வு","1. ਐਨੀਮੇਸ਼ਨ, 2. ਵਾਈਬ੍ਰੇਸ਼ਨ"
குறிப்பு,ਨੋਟ
முரண்பாடு,ਅਸੰਗਤਤਾ
முந்தைய,ਪਿਛਲਾ
முன்கூட்டிய பேஜிங்,ਅਗਾਊਂ ਪੇਜਿੰਗ
எதிர்-சமச்சீர்,ਵਿਰੋਧੀ-ਸਮਮਿਤੀ
வைரஸ் தடுப்பு திட்டம்,ਐਂਟੀਵਾਇਰਲ ਪ੍ਰੋਗਰਾਮ
"1. ஆப்லெட், 2. விண்ணப்பம்","1. ਐਪਲਿਟ, 2. ਐਪਲੀਕੇਸ਼ਨ"
பயன்பாட்டு டெவலப்பர்,ਐਪਲੀਕੇਸ਼ਨ ਡਿਵੈਲਪਰ
பயன்பாட்டு நிரலாக்கம்,ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
"1. பயன்பாட்டு நிரலாக்க இடைமுகம், 2. பயன்பாட்டு நிரலாக்க இடைமுகம் (API)","1. ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ ਇੰਟਰਫੇਸ, 2. ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ ਇੰਟਰਫੇਸ (API)"
பயன்பாட்டு மென்பொருள்,ਐਪਲੀਕੇਸ਼ਨ ਸਾਫਟਵੇਅਰ
பயன்பாட்டு மொழி,ਐਪਲੀਕੇਸ਼ਨ ਭਾਸ਼ਾ
தோராயக் கொள்கை,ਲਗਭਗ ਸਿਧਾਂਤ
கட்டமைப்பு,ਬਣਤਰ
புல பரிமாற்றம்,ਖੇਤਰ ਦਾ ਤਬਾਦਲਾ
"1. அளவுரு, சுயாதீன மாறி, 2. கோணம்","1. ਪੈਰਾਮੀਟਰ, ਸੁਤੰਤਰ ਵੇਰੀਏਬਲ, 2. ਕੋਣ"
"1. எண்கணிதம் மற்றும் தர்க்கவியல் அலகு, 2. எண்கணிதம் மற்றும் தர்க்கவியல் அலகு","1. ਅੰਕਗਣਿਤ ਅਤੇ ਤਰਕ ਇਕਾਈ, 2. ਅੰਕਗਣਿਤ ਅਤੇ ਤਰਕ ਇਕਾਈ"
எண்கணித சரிபார்ப்பு,ਗਣਿਤ ਦੀ ਜਾਂਚ
எண்கணித மாறிலி,ਅੰਕਗਣਿਤ ਸਥਿਰ
எண்கணித தரவு,ਗਣਿਤ ਡਾਟਾ
எண்கணித அறிவுரை,ਗਣਿਤ ਦੀ ਹਿਦਾਇਤ
கணிதம் மற்றும் தருக்க அலகு (ALU),ਗਣਿਤ ਅਤੇ ਲਾਜ਼ੀਕਲ ਯੂਨਿਟ (ALU)
ARPA Net (RPNet),ARPA ਨੈੱਟ (RPNet)
வரிசை,ਐਰੇ
"1. வரிசை கேச், 2. வரிசை வேகம், 3. வரிசை நினைவகம்","1. ਐਰੇ ਕੈਸ਼, 2. ਐਰੇ ਸਪੀਡ, 3. ਐਰੇ ਮੈਮੋਰੀ"
வரிசை கணினி,ਐਰੇ ਕੰਪਿਊਟਰ
வரிசை உறுப்பு,ਐਰੇ ਤੱਤ
வரிசை பெயர்,ਐਰੇ ਨਾਮ
வரிசை செயலி,ਐਰੇ ਪ੍ਰੋਸੈਸਰ
அம்புக்குறி விசை,ਤੀਰ ਕੁੰਜੀ
ஒப்பந்தம்,ਸੰਧੀ
சந்திப்பு முனை,ਜੰਕਸ਼ਨ ਬਿੰਦੂ
செயற்கை சுருக்கம்,ਨਕਲੀ ਸੰਕੁਚਿਤ
செயற்கை கட்டுப்பாடு,ਨਕਲੀ ਕੰਟਰੋਲ
செயற்கை உணர்வு,ਨਕਲੀ ਭਾਵਨਾ
ஏற்ற,ਮਾਊਂਟ
ஏறும் வகை,ਵਧਦੀ ਲੜੀ
ascii எழுத்துக்கள்,ascii ਵਰਣਮਾਲਾ
ascii கட்டுப்பாட்டு சின்னம்,ascii ਕੰਟਰੋਲ ਚਿੰਨ੍ਹ
ascii கோப்பு,ascii ਫਾਈਲ
ascii எழுத்துரு,ascii ਫੌਂਟ
ASCII பரிமாற்றம்,ASCII ਟ੍ਰਾਂਸਫਰ
விகிதம்,ਆਕਾਰ ਅਨੁਪਾਤ
"1. ஆஸ்பி, 2. ASPI","1. ਐਸਪੀ, 2. ਏ.ਐਸ.ਪੀ.ਆਈ"
ஏ எஸ் ஆர் கலாட்,ਏ ਐਸ ਆਰ ਕਲਾਡ
"1. நினைவாற்றல், 2. அசெம்பிளிங், 3. ஒன்று சேர்க்க","1. ਯਾਦ, 2. ਅਸੈਂਬਲਿੰਗ, 3. ਇਕੱਠੇ ਕਰਨ ਲਈ"
"1. அசெம்பிளர், 2. நினைவூட்டல்","1. ਅਸੈਂਬਲਰ, 2. ਯਾਦਗਾਰੀ"
"1. அசெம்பிளிங், 2. நினைவு","1. ਅਸੈਂਬਲਿੰਗ, 2. ਯਾਦ"
"1. மனப்பாடம் மொழி, 2. ஒருங்கிணைக்கும் மொழி","1. ਯਾਦਾਸ਼ਤ ਭਾਸ਼ਾ, 2. ਅਸੈਂਬਲਿੰਗ ਭਾਸ਼ਾ"
உறுதியை,ਦ੍ਰਿੜ੍ਹਤਾ
"1. குறிப்பிட்ட வேலை, 2. ஒதுக்கீடு","1. ਨਿਰਧਾਰਤ ਕੰਮ, 2. ਵੰਡ"
தோழமை,ਸਾਥੀ
துணை முகவரி,ਸਹਿਯੋਗੀ ਪਤਾ
"1. துணை நினைவகம், 2. துணை நினைவகம்","1. ਸਹਿਯੋਗੀ ਮੈਮੋਰੀ, 2. ਸਹਿਯੋਗੀ ਮੈਮੋਰੀ"
நட்சத்திரம் (* அடையாளம்),ਤਾਰਾ (* ਚਿੰਨ੍ਹ)
சமச்சீரற்ற,ਅਸਮਿਤ
"1. ஒத்திசைவற்ற , 2. ஒத்திசைவற்ற","1. ਅਸਿੰਕ੍ਰੋਨਸ, 2. ਅਸਿੰਕ੍ਰੋਨਸ"
ஒத்திசைவற்ற டிஜிட்டல் சந்தாதாரர் வரி (ADSL),ਅਸਿੰਕ੍ਰੋਨਸ ਡਿਜੀਟਲ ਸਬਸਕ੍ਰਾਈਬਰ ਲਾਈਨ (ADSL)
ஒத்திசைவற்ற நேரப் பிரிவு மல்டிபிளெக்சிங் (ATDM),ਅਸਿੰਕ੍ਰੋਨਸ ਟਾਈਮ ਡਿਵੀਜ਼ਨ ਮਲਟੀਪਲੈਕਸਿੰਗ (ATDM)
ஒத்திசைவற்ற பரிமாற்றம்,ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ
ஒத்திசைவற்ற பரிமாற்ற முறை (ATM),ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ ਮੋਡ (ATM)
"1. அணு, 2. பரமன்","1. ਐਟਮ, 2. ਪਰਮਾਨ"
இணைக்கப்பட்ட ஆவணம்,ਨੱਥੀ ਦਸਤਾਵੇਜ਼
"1. இணைக்கப்பட்ட கோப்பு/ஏவுகணை, 2. இணைக்கப்பட்டுள்ள கோப்பு","1. ਨੱਥੀ ਫਾਈਲ/ਮਿਸਲ, 2. ਨੱਥੀ ਫਾਈਲ"
"1. அடைப்பு, 2. இணைந்த","1. ਦੀਵਾਰ, 2. ਸੰਬੰਧਿਤ"
"1. பண்புகள், 2. சிறப்பு","1. ਗੁਣ, 2. ਵਿਸ਼ੇਸ਼ਤਾ"
கேட்கக்கூடிய,ਸੁਣਨਯੋਗ
"1. தணிக்கை நிரலாக்கம், 2. தணிக்கை நிரலாக்கம்","1. ਆਡਿਟ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਆਡਿਟ ਪ੍ਰੋਗਰਾਮਿੰਗ"
கணக்கு சரிபார்ப்பு,ਖਾਤਾ ਪੁਸ਼ਟੀਕਰਨ
பதவி உயர்வு,ਤਰੱਕੀ
சான்றிதழ் நெறிமுறை,ਸਰਟੀਫਿਕੇਸ਼ਨ ਪ੍ਰੋਟੋਕੋਲ
எழுதும் முறை,ਲੇਖਕ ਵਿਧੀ
"1. அதிகாரம், 2. அதிகாரம், 3. தீர்ப்பாயம்","1. ਅਥਾਰਟੀ, 2. ਅਥਾਰਟੀ, 3. ਟ੍ਰਿਬਿਊਨਲ"
தானியங்கு சுருக்கம்,ਆਟੋ ਐਬਸਟਰੈਕਟ
"1. ஆட்டோ பூட்டிங், 2. சுய துவக்கம்","1. ਆਟੋ ਬੂਟਿੰਗ, 2. ਸਵੈ ਬੂਟ"
ஆட்டோகேட் (ஒரு கணினி மொழி),ਆਟੋਕੈਡ (ਇੱਕ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ)
தானாக உள்நுழைவு,ਆਟੋ ਲੌਗ-ਆਨ
தானியங்கி,ਆਟੋਮੇਟਾ
தானியங்கு கோட்பாடு,ਆਟੋਮੈਟਾ ਥਿਊਰੀ
தானியங்கி கணக்கீடு,ਆਟੋਮੈਟਿਕ ਗਣਨਾ
தானியங்கி தரவு செயலாக்கம்,ਆਟੋਮੈਟਿਕ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ
தானியங்கி பிழை திருத்தம்,ਆਟੋਮੈਟਿਕ ਗਲਤੀ ਸੁਧਾਰ
தானியங்கு செயல்பாடு,ਆਟੋ ਫੰਕਸ਼ਨ
"1. தானியங்கி அட்டவணைப்படுத்தல், 2. தானியங்கி பட்டியல்","1. ਆਟੋਮੈਟਿਕ ਇੰਡੈਕਸਿੰਗ, 2. ਆਟੋਮੈਟਿਕ ਸੂਚੀਕਰਨ"
தானியங்கு சேகரிப்பு அழைப்பு,ਸਵੈ-ਸੰਗ੍ਰਹਿ ਕਾਲ
"1. தானியங்கி நிரலாக்கம், 2. தானியங்கி நிரலாக்க","1. ਆਟੋਮੈਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਆਟੋਮੈਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ"
"1. தானியங்கி மீட்பு திட்டம், 2. தானியங்கி மீட்பு திட்டம்","1. ਆਟੋਮੈਟਿਕ ਰਿਕਵਰੀ ਪ੍ਰੋਗਰਾਮ, 2. ਆਟੋਮੈਟਿਕ ਰਿਕਵਰੀ ਪ੍ਰੋਗਰਾਮ"
தானியங்கி வழக்கம்,ਆਟੋਮੈਟਿਕ ਰੁਟੀਨ
தானியங்கி கணினி மீட்பு,ਆਟੋਮੈਟਿਕ ਸਿਸਟਮ ਰਿਕਵਰੀ
"1. தானியங்கி பணம் செலுத்தும் இயந்திரங்கள் (ATM), 2. வங்கி ஏ.டி.எம்","1. ਆਟੋਮੈਟਿਕ ਟੈਲਰ ਮਸ਼ੀਨਾਂ (ATM), 2. ਸਵੈ ਨਿਕਾਸੀ ਲਈ ਬੈਂਕ ਏ.ਟੀ.ਐਮ"
தானியங்கி,ਆਟੋਮੇਸ਼ਨ
"1. ஆட்டோபிளே , 2. ஆட்டோ நடை","1. ਆਟੋਪਲੇ, 2. ਆਟੋ ਵਾਕ"
குரல் கொடுத்தல்,ਵੋਕਲਾਈਜ਼ੇਸ਼ਨ
உதவியாளர்,ਸਹਾਇਕ
துணை நினைவகம்,ਸਹਾਇਕ ਮੈਮੋਰੀ
துணை சேமிப்பு,ਸਹਾਇਕ ਸਟੋਰੇਜ਼
கிடைக்கும் பட்டியல்,ਉਪਲਬਧ ਸੂਚੀ
கிடைக்கும் நேரம்,ਉਪਲਬਧ ਸਮਾਂ
சராசரி,ਔਸਤ
AWK (ஒரு கணினி கட்டளை),AWK (ਇੱਕ ਕੰਪਿਊਟਰ ਕਮਾਂਡ)
பிறகு,ਬਾਅਦ
பின் செயலி,ਪੋਸਟ ਪ੍ਰੋਸੈਸਰ
பின்புற செயல்பாடு நீக்கம்,ਪਿਛਲਾ ਫੰਕਸ਼ਨ ਮਿਟਾਉਣਾ
பின்னணி செயலாக்கம்,ਪਿਛੋਕੜ ਦੀ ਕਾਰਵਾਈ
துணை கடைகள்,ਸਹਾਇਕ ਸਟੋਰ
மீண்டும் ஒட்டுதல்,ਵਾਪਸ ਪੈਚਿੰਗ
"1. மேற்கு, 2. பின்வெளி","1. ਪੱਛਮ, 2. ਬੈਕਸਪੇਸ"
பின்வாங்குதல்,ਬੈਕਟਰੈਕਿੰਗ
"1. காப்புப்பிரதி , 2. கொடுக்கப்படுவதுடன்","1. ਬੈਕ-ਅੱਪ, 2. ਅਦਾਇਗੀ"
"1. நிரப்பு நினைவகம், 2. காப்பு நினைவகம்","1. ਪੂਰਕ ਮੈਮੋਰੀ, 2. ਬੈਕਅੱਪ ਮੈਮੋਰੀ"
மீண்டும் பிழை திருத்தம்,ਵਾਪਸ ਗਲਤੀ ਸੁਧਾਰ
(வருமானம்-செலவு) இருப்புநிலை,(ਆਮਦਨ-ਖਰਚਾ) ਬੈਲੇਂਸ ਸ਼ੀਟ
கட்டு,ਪੱਟੀ
"1. பேண்ட் அகலம், 2. அலைவரிசை/திறன்","1. ਬੈਂਡ ਚੌੜਾਈ, 2. ਬੈਂਡਵਿਡਥ/ਸਮਰੱਥਾ"
வங்கியாளர் வழிமுறை,ਬੈਂਕਰ ਦਾ ਐਲਗੋਰਿਦਮ
"1. பார் குறியீடு, 2. பார் குறியீடு","1. ਬਾਰ ਕੋਡ, 2. ਬਾਰ ਕੋਡ"
பட்டை குறி படிப்பான் வருடி,ਬਾਰਕੋਡ ਸਕੈਨਰ
சட்ட வரைபடம்,ਪੱਟੀ ਗ੍ਰਾਫ
அடிப்படை முகவரி,ਅਧਾਰ ਪਤਾ
அடிப்படை இசைக்குழு,ਅਧਾਰ ਬੈਂਡ
ஆதார் எண்,ਆਧਾਰ ਨੰਬਰ
அடிப்படை அட்டவணை,ਅਧਾਰ ਸਾਰਣੀ
அடிப்படை (ஒரு கணினி மொழி),ਬੇਸਿਕ (ਇੱਕ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ)
"1. அடிப்படை கட்டுப்பாடு, 2. அடிப்படை கட்டுப்பாடு","1. ਬੁਨਿਆਦੀ ਨਿਯੰਤਰਣ, 2. ਅਧਾਰ ਕੰਟਰੋਲ"
"1. அசல் முதலீடு, 2. அடிப்படை முதலீடு","1. ਮੂਲ ਨਿਵੇਸ਼, 2. ਅਧਾਰ ਨਿਵੇਸ਼"
அடிப்படை அறிவுறுத்தல்,ਬੁਨਿਆਦੀ ਹਦਾਇਤ
அடிப்படை பிரச்சினை,ਅਧਾਰ ਮੁੱਦਾ
அடிப்படை நிலை,ਬੁਨਿਆਦੀ ਪੜਾਅ
"1. தொகுதி, 2. குழு, 3. பேரழிவு","1. ਬੈਚ, 2. ਸਮੂਹ, 3. ਤਬਾਹੀ"
"1. தொகுதி கோப்பு, 2. தொகுதி கோப்பு","1. ਬੈਚ ਫਾਈਲ, 2. ਬੈਚ ਫਾਈਲ"
தொகுதி நிலை,ਬੈਚ ਸਥਿਤੀ
"1. தொகுதி செயலாக்கம், 2. குழு செயலாக்கம்","1. ਬੈਚ ਪ੍ਰੋਸੈਸਿੰਗ, 2. ਗਰੁੱਪ ਪ੍ਰੋਸੈਸਿੰਗ"
"1. தொகுதி அமைப்பு, 2. கவண் அமைப்பு","1. ਬੈਚ ਸਿਸਟਮ, 2. catapult ਸਿਸਟਮ"
பாட்,ਬੌਡ
பாட் விகிதம்,ਬੌਡ ਦਰ
கற்றை கற்றை,ਬੀਮ ਬੀਮ
"1. வழிகாட்டுதல்கள், 2. தொகுதி குறி","1. ਦਿਸ਼ਾ-ਨਿਰਦੇਸ਼, 2. ਬੈਚ ਮਾਰਕ"
