Assamese,Kannada
বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা,ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ
aldus পৃষ্ঠা-নিৰ্মাণ,ಅಲ್ಡಸ್ ಪೇಜ್-ಮೇಕ್
সতৰ্কবাণী বাকচ,ಎಚ್ಚರಿಕೆ ಪೆಟ್ಟಿಗೆ
algol (কম্পিউটাৰ ভাষা),ಅಲ್ಗೋಲ್ (ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ)
"1. এলগৰিদম , 2. এলগৰিদম","1. ಅಲ್ಗಾರಿದಮ್, 2. ಅಲ್ಗಾರಿದಮ್"
"১.এলগৰিদম বিশ্লেষণ, ২. এলগৰিদম বিশ্লেষণ","1. ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ, 2. ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ"
এলগৰিদম দক্ষতা,ಅಲ್ಗಾರಿದಮ್ ದಕ್ಷತೆ
"১.ইলিয়াছ, ২. ডাকনাম, ৩. aka","1. ಎಲಿಯಾಸ್, 2. ಅಡ್ಡಹೆಸರು, 3. ಅಕಾ"
প্ৰান্তিককৰণ,ಜೋಡಣೆ
"১.আবণ্টন, ২. আবণ্টন","1. ಹಂಚಿಕೆ, 2. ಹಂಚಿಕೆ"
"১.বৰ্ণানুক্ৰমিক, ২. বৰ্ণানুক্ৰমিক ক্ৰম","1. ವರ್ಣಮಾಲೆಯ, 2. ವರ್ಣಮಾಲೆಯ ಪ್ರಕಾರ"
আলফানিউমেৰিক,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್
"1. আলফানিউমেৰিক কিবৰ্ড ,2. আলফানিউমেৰিক কিবৰ্ড","1. ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀಬೋರ್ಡ್, 2. ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀಬೋರ್ಡ್"
আলফা-পৰীক্ষণ (১ম স্তৰৰ পৰীক্ষা),ಆಲ್ಫಾ-ಪರೀಕ್ಷೆ (1 ನೇ ಹಂತದ ಪರೀಕ್ಷೆ)
"1. আলফা সংস্কৰণ, 2. আলফা ৰূপ","1. ಆಲ್ಫಾ ಆವೃತ್ತಿ, 2. ಆಲ್ಫಾ ರೂಪ"
alt কি&#39;,ಆಲ್ಟ್ ಕೀ
আলতাভিস্তা,ಅಲ್ಟಾವಿಸ್ತಾ
বহুগুণতা,ಬಹುತ್ವ
অস্পষ্ট ব্যাকৰণ,ಅಸ್ಪಷ್ಟ ವ್ಯಾಕರಣ
আমেৰিকান নেচনেল ষ্টেণ্ডিজ ইনষ্টিটিউট (ANSI),ಅಮೇರಿಕನ್ ನ್ಯಾಷನಲ್ ಸ್ಟಾಂಡೀಸ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ (ANSI)
আমেৰিকান ষ্টেণ্ডাৰ্ড কাট (ascii),ಅಮೇರಿಕನ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಕಟ್ (ascii)
"1. অনুৰূপ, ২. এনালগ","1. ಸಾದೃಶ್ಯ, 2. ಅನಲಾಗ್"
"১.এনালগ কম্পিউটাৰ, ২.এনালগ কম্পিউটাৰ","1. ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್, 2. ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್"
"1. এনালগ ডিভাইচ, 2. এনালগ ডিভাইচ","1. ಅನಲಾಗ್ ಸಾಧನ, 2. ಅನಲಾಗ್ ಸಾಧನ"
"1. এনালগ মডেম, 2. এনালগ মডেম","1. ಅನಲಾಗ್ ಮೋಡೆಮ್, 2. ಅನಲಾಗ್ ಮೋಡೆಮ್"
এনালগ টু ডিজিটেল কনভাৰ্টাৰ,ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್
শেষ (ডিজিটেল/প্লেন লজিক &#39;আৰু&#39; ব্যৱহৃত),ಅಂತ್ಯ (ಡಿಜಿಟಲ್/ಪ್ಲೇನ್ ಲಾಜಿಕ್ &#39;ಮತ್ತು&#39; ಬಳಸಲಾಗಿದೆ)
শেষ বৰ্তনী,ಅಂತಿಮ ಸರ್ಕ್ಯೂಟ್
শেষৰ গেট আৰু গেট,ಕೊನೆಯ ಗೇಟ್ ಮತ್ತು ಗೇಟ್
অপাৰেচন শেষ নহয় (বৰ্জন),ಮತ್ತು ಕಾರ್ಯಾಚರಣೆಯಲ್ಲ (ಹೊರಗಿಡುವಿಕೆ)
"১.এনিমেচন, ২.কম্পন","1. ಅನಿಮೇಷನ್, 2. ಕಂಪನ"
দ্ৰষ্টব্য,ಸೂಚನೆ
অসামঞ্জস্যতা,ಅಸಂಗತತೆ
পূৰ্ৱবৰ্তী,ಹಿಂದಿನ
প্ৰত্যাশিত পেজিং,ನಿರೀಕ್ಷಿತ ಪೇಜಿಂಗ್
প্ৰতি-সমমিতিক,ಪ್ರತಿ-ಸಮ್ಮಿತೀಯ
এন্টিভাইৰেল প্ৰগ্ৰেম,ಆಂಟಿವೈರಲ್ ಪ್ರೋಗ್ರಾಂ
"১.এপলেট, ২. দৰ্খাস্ত","1. ಆಪ್ಲೆಟ್, 2. ಅಪ್ಲಿಕೇಶನ್"
এপ্লিকেচন ডেভেলপাৰ,ಅಪ್ಲಿಕೇಶನ್ ಡೆವಲಪರ್
এপ্লিকেচন প্ৰগ্ৰেমিং,ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್
"1. এপ্লিকেচন প্ৰগ্ৰামিং আন্তঃপৃষ্ঠ, 2. এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API)","1. ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್, 2. ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್ (API)"
এপ্লিকেচন চফ্টৱেৰ,ಅಪ್ಲಿಕೇಶನ್ ಸಾಫ್ಟ್ವೇರ್
আবেদন ভাষা,ಅಪ್ಲಿಕೇಶನ್ ಭಾಷೆ
আনুমানিক নীতি,ಅಂದಾಜು ತತ್ವ
গাঁঠনি,ರಚನೆ
ক্ষেত্ৰ স্থানান্তৰ,ಕ್ಷೇತ್ರ ವರ್ಗಾವಣೆ
"1. প্ৰাচল, স্বাধীন চলক, 2. কোণ","1. ನಿಯತಾಂಕ, ಸ್ವತಂತ್ರ ವೇರಿಯಬಲ್, 2. ಕೋನ"
"1. গাণিতিক আৰু যুক্তি একক, 2. গাণিতিক আৰু যুক্তি একক","1. ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ, 2. ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ"
গাণিতিক পৰীক্ষা,ಅಂಕಗಣಿತದ ಪರಿಶೀಲನೆ
গাণিতিক ধ্ৰুৱক,ಅಂಕಗಣಿತದ ಸ್ಥಿರ
গাণিতিক তথ্য,ಅಂಕಗಣಿತದ ಡೇಟಾ
গাণিতিক নিৰ্দেশনা,ಅಂಕಗಣಿತದ ಸೂಚನೆ
গাণিতিক আৰু যুক্তিসংগত একক (ALU),ಗಣಿತ ಮತ್ತು ತಾರ್ಕಿಕ ಘಟಕ (ALU)
ARPA নেট (RPNet),ARPA ನೆಟ್ (RPNet)
এৰে,ಶ್ರೇಣಿ
"1. এৰে কেচ, 2. এৰেৰ গতি, ৩. এৰে মেমৰি","1. ರಚನೆಯ ಸಂಗ್ರಹ, 2. ರಚನೆಯ ವೇಗ, 3. ರಚನೆಯ ಮೆಮೊರಿ"
এৰে কম্পিউটাৰ,ಅರೇ ಕಂಪ್ಯೂಟರ್
এৰে উপাদান,ರಚನೆಯ ಅಂಶ
এৰেৰ নাম,ರಚನೆಯ ಹೆಸರು
এৰে প্ৰচেছৰ,ರಚನೆಯ ಪ್ರೊಸೆಸರ್
কাঁড় চিহ্ন,ಬಾಣದ ಕೀಲಿ
সন্ধি,ಒಪ್ಪಂದ
জংচন পইণ্ট,ಜಂಕ್ಷನ್ ಪಾಯಿಂಟ್
কৃত্ৰিম সংকোচন,ಕೃತಕ ಸಂಕೋಚನ
কৃত্ৰিম নিয়ন্ত্ৰণ,ಕೃತಕ ನಿಯಂತ್ರಣ
কৃত্ৰিম ইন্দ্ৰিয়,ಕೃತಕ ಅರ್ಥದಲ್ಲಿ
মাউন্ট,ಆರೋಹಣ
আৰোহী সজাই পৰাই তোলা,ಆರೋಹಣ ರೀತಿಯ
ascii বৰ্ণমালা,ascii ವರ್ಣಮಾಲೆ
ascii নিয়ন্ত্ৰণ চিহ্ন,ascii ನಿಯಂತ್ರಣ ಚಿಹ್ನೆ
ascii ফাইল,ascii ಫೈಲ್
ascii ফন্ট,ascii ಫಾಂಟ್
ASCII স্থানান্তৰ,ASCII ವರ್ಗಾವಣೆ
এস্পেক্ট ৰেচিঅ&#39;,ಆಕಾರ ಅನುಪಾತ
"১.এছপি, ২. এ এছ পি আই","1. ಆಸ್ಪಿ, 2. ASPI"
এ এছ আৰ কালাদ,ಎ ಎಸ್ ಆರ್ ಕಲಾದ್
"১/ স্মৰণ, ২। একত্ৰিত কৰা, ৩. একত্ৰিত কৰা","1. ಸ್ಮರಣೆ, 2. ಜೋಡಣೆ, 3. ಜೋಡಿಸಲು"
"১.সমাবেশকাৰী, ২. স্মাৰক","1. ಅಸೆಂಬ್ಲರ್, 2. ಜ್ಞಾಪನೆ"
"1. একত্ৰিত কৰা, ২. স্মৃতি","1. ಜೋಡಿಸುವುದು, 2. ಸ್ಮರಣೆ"
"১/ মুখস্থ কৰা ভাষা, ২. ভাষা একত্ৰিত কৰা","1. ಕಂಠಪಾಠ ಭಾಷೆ, 2. ಭಾಷೆ ಜೋಡಣೆ"
সংকল্প,ನಿರ್ಣಯ
"1. নিৰ্দিষ্ট কাম, 2. আবণ্টন","1. ನಿಗದಿತ ಕೆಲಸ, 2. ಹಂಚಿಕೆ"
সংগীত্ব,ಒಡನಾಟ
সহযোগী ঠিকনা,ಸಹಾಯಕ ವಿಳಾಸ
"১.সংগত স্মৃতি, ২. সহযোগী স্মৃতিশক্তি","1. ಸಹಾಯಕ ಸ್ಮರಣೆ, 2. ಸಹಾಯಕ ಸ್ಮರಣೆ"
তাৰকা চিহ্ন (* চিহ্ন),ನಕ್ಷತ್ರ ಚಿಹ್ನೆ (* ಚಿಹ್ನೆ)
অসমতাপূৰ্ণ,ಅಸಮ್ಮಿತ
"1. এচিনক্ৰ&#39;নাছ , 2. এচিনক্ৰ&#39;নাছ","1. ಅಸಮಕಾಲಿಕ, 2. ಅಸಮಕಾಲಿಕ"
এচিনক্ৰ&#39;নাছ ডিজিটেল গ্ৰাহক লাইন (ADSL),ಅಸಮಕಾಲಿಕ ಡಿಜಿಟಲ್ ಚಂದಾದಾರರ ಸಾಲು (ADSL)
এচিংক্ৰ&#39;নাছ সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM),ಅಸಿಂಕ್ರೊನಸ್ ಟೈಮ್ ಡಿವಿಷನ್ ಮಲ್ಟಿಪ್ಲೆಕ್ಸಿಂಗ್ (ATDM)
এচিনক্ৰ&#39;নাছ স্থানান্তৰ,ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ
এচিংক্ৰ&#39;নাছ ট্ৰেন্সফাৰ মোড (ATM),ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ ಮೋಡ್ (ATM)
"১.পৰমাণু, ২. পৰমণ","1. ಪರಮಾಣು, 2. ಪರಮನ್"
সংলগ্ন নথিপত্ৰ,ಲಗತ್ತಿಸಲಾದ ಡಾಕ್ಯುಮೆಂಟ್
"1. সংলগ্ন ফাইল/মিছিল, 2. সংলগ্ন ফাইল","1. ಲಗತ್ತಿಸಲಾದ ಫೈಲ್/ಮಿಸಿಲ್, 2. ಲಗತ್ತಿಸಲಾದ ಕಡತ"
"১.আৱৰণ, ২. সংযুক্ত","1. ಆವರಣ, 2. ಸಂಯೋಜಿತ"
"১.গুণ, ২. বৈশিষ্ট্য","1. ಗುಣಲಕ್ಷಣಗಳು, 2. ವಿಶೇಷತೆ"
শ্ৰৱণযোগ্য,ಶ್ರವ್ಯ
"1. অডিট প্ৰগ্ৰেমিং, 2. অডিট প্ৰগ্ৰেমিং","1. ಆಡಿಟ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಆಡಿಟ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್"
একাউণ্ট পৰীক্ষণ,ಖಾತೆ ಪರಿಶೀಲನೆ
প্ৰচাৰ,ಪ್ರಚಾರ
প্ৰমাণীকৰণ প্ৰট&#39;কল,ಪ್ರಮಾಣೀಕರಣ ಪ್ರೋಟೋಕಾಲ್
লেখক পদ্ধতি,ಲೇಖಕರ ವಿಧಾನ
"১.কৰ্তৃত্ব, ২. কৰ্তৃত্ব, ৩. ন্যায়াধিকৰণ","1. ಪ್ರಾಧಿಕಾರ, 2. ಅಧಿಕಾರ, 3. ನ್ಯಾಯಮಂಡಳಿ"
অটো বিমূৰ্ত,ಸ್ವಯಂ ಅಮೂರ್ತ
"1. স্বয়ংক্ৰিয় বুটিং, 2. self বুট","1. ಸ್ವಯಂ ಬೂಟಿಂಗ್, 2. ಸ್ವಯಂ ಬೂಟ್"
AutoCAD (এটা কম্পিউটাৰ ভাষা),ಆಟೋಕ್ಯಾಡ್ (ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ)
স্বয়ংক্ৰিয় লগ-অন,ಸ್ವಯಂ ಲಾಗ್-ಆನ್
automata,ಸ್ವಯಂಚಾಲಿತ
automata তত্ত্ব,ಸ್ವಯಂಚಾಲಿತ ಸಿದ್ಧಾಂತ
স্বয়ংক্ৰিয় গণনা,ಸ್ವಯಂಚಾಲಿತ ಲೆಕ್ಕಾಚಾರ
স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ,ಸ್ವಯಂಚಾಲಿತ ಡೇಟಾ ಸಂಸ್ಕರಣೆ
স্বয়ংক্ৰিয় ভুল সংশোধন,ಸ್ವಯಂಚಾಲಿತ ದೋಷ ತಿದ್ದುಪಡಿ
অটো ফাংচন,ಸ್ವಯಂ ಕಾರ್ಯ
"1. স্বয়ংক্ৰিয় সূচীভুক্তকৰণ, 2. স্বয়ংক্ৰিয় তালিকাভুক্তকৰণ","1. ಸ್ವಯಂಚಾಲಿತ ಇಂಡೆಕ್ಸಿಂಗ್, 2. ಸ್ವಯಂಚಾಲಿತ ಪಟ್ಟಿ"
অটো-সংগ্ৰহ কল,ಸ್ವಯಂ ಸಂಗ್ರಹ ಕರೆ
"1. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং, 2. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং","1. ಸ್ವಯಂಚಾಲಿತ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸ್ವಯಂಚಾಲಿತ ಪ್ರೋಗ್ರಾಮಿಂಗ್"
"1. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম, 2. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম","1. ಸ್ವಯಂಚಾಲಿತ ಚೇತರಿಕೆ ಪ್ರೋಗ್ರಾಂ, 2. ಸ್ವಯಂಚಾಲಿತ ಚೇತರಿಕೆ ಪ್ರೋಗ್ರಾಂ"
অটো ৰুটিন,ಸ್ವಯಂ ದಿನಚರಿ
স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ,ಸ್ವಯಂಚಾಲಿತ ಸಿಸ್ಟಮ್ ಚೇತರಿಕೆ
"১/ স্বয়ংক্ৰিয় টেলাৰ মেচিন (এটিএম), ২. স্বয়ং উলিওৱাৰ বাবে বেংকৰ ATM","1. ಸ್ವಯಂಚಾಲಿತ ಟೆಲ್ಲರ್ ಯಂತ್ರಗಳು (ATM), 2. ಸ್ವಯಂ ಹಿಂಪಡೆಯಲು ಬ್ಯಾಂಕ್ ಎಟಿಎಂ"
অটোমেচন,ಯಾಂತ್ರೀಕೃತಗೊಂಡ
"1. অটোপ্লে , 2. অটো ৱাক","1. ಸ್ವಯಂಪ್ಲೇ, 2. ಆಟೋ ನಡಿಗೆ"
কণ্ঠদান,ಗಾಯನ
সহায়ক,ಸಹಾಯಕ
সহায়ক স্মৃতিশক্তি,ಸಹಾಯಕ ಸ್ಮರಣೆ
সহায়ক সংৰক্ষণ,ಸಹಾಯಕ ಸಂಗ್ರಹಣೆ
উপলব্ধ তালিকা,ಲಭ್ಯವಿರುವ ಪಟ್ಟಿ
উপলব্ধ সময়,ಲಭ್ಯವಿರುವ ಸಮಯ
গড়,ಸರಾಸರಿ
AWK (এটা কম্পিউটাৰ কমাণ্ড),AWK (ಕಂಪ್ಯೂಟರ್ ಆಜ್ಞೆ)
পাছত,ನಂತರ
পোষ্ট প্ৰচেছৰ,ಪೋಸ್ಟ್ ಪ್ರೊಸೆಸರ್
পশ্চাৎ কাৰ্য্য বিলোপন,ಹಿಂಭಾಗದ ಕಾರ್ಯ ಅಳಿಸುವಿಕೆ
পটভূমি প্ৰক্ৰিয়াকৰণ,ಹಿನ್ನೆಲೆ ಸಂಸ್ಕರಣೆ
আনুষংগিক দোকানসমূহ,ಪೂರಕ ಅಂಗಡಿಗಳು
বেক পেচিং,ಮತ್ತೆ ಪ್ಯಾಚಿಂಗ್
"১.পশ্চিম, ২. বেকস্পেচ","1. ಪಶ್ಚಿಮ, 2. ಬ್ಯಾಕ್‌ಸ್ಪೇಸ್"
পিছুৱাই যোৱা,ಬ್ಯಾಕ್‌ಟ್ರ್ಯಾಕಿಂಗ್
"1. বেক-আপ , 2. ৰিইম্বৰ্চেমেণ্ট","1. ಬ್ಯಾಕ್ ಅಪ್, 2. ಮರುಪಾವತಿ"
"১/ পৰিপূৰক স্মৃতিশক্তি, ২. বেক-আপ মেমৰি","1. ಪೂರಕ ಸ್ಮರಣೆ, 2. ಬ್ಯಾಕ್-ಅಪ್ ಮೆಮೊರಿ"
পিছলৈ ভুল সংশোধন,ಹಿಂದಿನ ದೋಷ ತಿದ್ದುಪಡಿ
(আয়-ব্যয়) বেলেন্স শ্বীট,(ಆದಾಯ-ವೆಚ್ಚ) ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್
