Bengali,Odiya
অস্বাভাবিক প্রতিরোধ,ପରମାନନ୍ଦ ପ୍ରତିରୋଧ |
ab-om,ab-om
"preponderance, ব্যর্থতা","ଅଗ୍ରାଧିକାର, ବିଫଳତା |"
"সংযুক্ত, সাধারণত, দাঁড়ানো, বিচ্ছিন্ন, খণ্ডিত","ସଂଲଗ୍ନ, ସାଧାରଣତ, ଠିଆ, ବିଚ୍ଛିନ୍ନ, ଖଣ୍ଡବିଖଣ୍ଡିତ |"
প্রায়ই লাফ দেয়,ବାରମ୍ବାର ଡେଇଁପଡେ |
হাত*,ହାତ *
হারিয়ে যাওয়া প্রতিফলন,ହଜିଯାଇଥିବା ପ୍ରତିଫଳନ |
অনুপস্থিত বর্ণালী,ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |
"পরম, পরম, ধ্রুবক, নিখুঁত","ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |"
পরম ত্বরণ,ସଂପୂର୍ଣ୍ଣ ତ୍ୱରଣ
পরম বাস্তবতা,ସଂପୂର୍ଣ୍ଣ ବାସ୍ତବତା |
পরম ঠিকানা,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
ভূ-আপেক্ষিক উচ্চতা মিটার,ଜିଓ-ଆପେକ୍ଷିକ ଉଚ୍ଚତା |
ভূতাত্ত্বিক উচ্চতা,ଭ ge ଗୋଳିକ ଉଚ୍ଚତା |
পরম অ্যাম্পিয়ার,ସଂପୂର୍ଣ୍ଣ ଆମ୍ପେର୍ |
পরম ফুটন্ত বিন্দু,ସଂପୂର୍ଣ୍ଣ ଫୁଟିବା ବିନ୍ଦୁ |
পরম আলোকসজ্জা,ସଂପୂର୍ଣ୍ଣ ଉଜ୍ଜ୍ୱଳତା |
পরম ক্ষমতা,ସଂପୂର୍ଣ୍ଣ କ୍ଷମତା
পরম উচ্চতা,ସଂପୂର୍ଣ୍ଣ ଉଚ୍ଚତା |
পরম রঙ্গক,ସଂପୂର୍ଣ୍ଣ ପିଗମେଣ୍ଟ |
"পরম কনফিগারেশন, দ্ব্যর্থহীন কনফিগারেশন","ସଂପୂର୍ଣ୍ଣ ବିନ୍ୟାସ, ଅସ୍ପଷ୍ଟ ବିନ୍ୟାସ |"
পরম কুলম্ব,ସଂପୂର୍ଣ୍ଣ କୁଲମ୍ବ |
সম্পূর্ণ অন্ধকার,ସମ୍ପୂର୍ଣ୍ଣ ଅନ୍ଧକାର |
পরম সময়সূচী,ସଂପୂର୍ଣ୍ଣ କାର୍ଯ୍ୟସୂଚୀ
পরম ঘনত্ব*,ସଂପୂର୍ଣ୍ଣ ଘନତା *
পরম নিষ্কাশন,ସଂପୂର୍ଣ୍ଣ ଜଳ ନିଷ୍କାସନ |
পরম ইএমইউ (ইলেক্ট্রোম্যাগনেটিক ইউনিট),ସଂପୂର୍ଣ୍ଣ EMU | (ବ elect ଦ୍ୟୁତିକ ଚୁମ୍ବକୀୟ ଏକକ)
পরম ESU (স্থির শক্তি ইউনিট),ସଂପୂର୍ଣ୍ଣ ESU | (ଷ୍ଟାଟିକ୍ ୟୁନିଟ୍)
পরম দক্ষতা,ସଂପୂର୍ଣ୍ଣ ଦକ୍ଷତା |
পরম ইলেক্ট্রোমিটার,ସଂପୂର୍ଣ୍ଣ ଇଲେକ୍ଟ୍ରୋମିଟର |
পরম ফ্রিকোয়েন্সি পরম ফ্রিকোয়েন্সি,ସଂପୂର୍ଣ୍ଣ ଫ୍ରିକ୍ୱେନ୍ସି ସଂପୂର୍ଣ୍ଣ ଫ୍ରିକ୍ୱେନ୍ସି |
পরম আর্দ্রতা,ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |
পরম ঘটনা,ସଂପୂର୍ଣ୍ଣ ଘଟଣା
পরম প্রতিসরাঙ্ক সূচক,ସଂପୂର୍ଣ୍ଣ ପ୍ରତୀକାତ୍ମକ ସୂଚକାଙ୍କ |
পরম অস্থিরতা,ସଂପୂର୍ଣ୍ଣ ଅସ୍ଥିରତା |
পরম অস্থিরতা,ସଂପୂର୍ଣ୍ଣ ଅସ୍ଥିରତା |
"পরম তীব্রতা, পরম তীব্রতা","ସଂପୂର୍ଣ୍ଣ ତୀବ୍ରତା, ସଂପୂର୍ଣ୍ଣ ତୀବ୍ରତା |"
অ্যাথেনিয়ার পরম সীমা,ଆଥେନିଆର ସଂପୂର୍ଣ୍ଣ ସୀମା |
পরম আলোকসজ্জা সিল,ସଂପୂର୍ଣ୍ଣ ଆଲୋକୀକରଣ ସିଲ୍ |
পরম হালকা বক্ররেখা,ସଂପୂର୍ଣ୍ଣ ଆଲୋକ ବକ୍ର
পরম মাত্রা,ସଂପୂର୍ଣ୍ଣ ପରିମାଣ
পরম ব্যারোমিটার,ସଂପୂର୍ଣ୍ଣ ବାରୋମିଟର |
সর্বোচ্চ সর্বোচ্চ,ସର୍ବୋଚ୍ଚ ସର୍ବୋଚ୍ଚ
পরম চরম,ସଂପୂର୍ଣ୍ଣ ଚରମ
পরম সর্বনিম্ন,ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |
পরম গতিবেগ,ସଂପୂର୍ଣ୍ଣ ଗତି
পরম গতি,ସଂପୂର୍ଣ୍ଣ ଗତି
পরম সঙ্গীত,ସଂପୂର୍ଣ୍ଣ ସଂଗୀତ |
পরম পর্যবেক্ষণ,ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |
পরম ওম,ସଂପୂର୍ଣ୍ଣ ଓହମ୍ |
পরম অভিযোজন,ସଂପୂର୍ଣ୍ଣ ଆଭିମୁଖ୍ୟ
পরম বৈদ্যুতিক ঋণাত্মকতা,ସଂପୂର୍ଣ୍ଣ ଇଲେକ୍ଟ୍ରୋନେଗେଟିଭିଟି |
পরম মাধ্যাকর্ষণ,ସଂପୂର୍ଣ୍ଣ ମାଧ୍ୟାକର୍ଷଣ |
পরম চাপ,ସଂପୂର୍ଣ୍ଣ ଚାପ |
পরম সম্পত্তি,ସଂପୂର୍ଣ୍ଣ ସମ୍ପତ୍ତି |
পরম স্কেলার,ସଂପୂର୍ଣ୍ଣ ସ୍କାଲାର୍ |
তাপমাত্রার পরম স্কেল*,ତାପମାତ୍ରାର ଚରମ ମାପ *
"পরম সমলয়, পরম সমলয়","ସଂପୂର୍ଣ୍ଣ ସିଙ୍କ୍ରୋନି, ସଂପୂର୍ଣ୍ଣ ସିଙ୍କ୍ରୋନି |"
পরম চাপ,ସଂପୂର୍ଣ୍ଣ ଚାପ |
পরম প্রতিসাম্য,ସଂପୂର୍ଣ୍ଣ ସମୃଦ୍ଧତା |
পরম গতি শরীর,ସଂପୂର୍ଣ୍ଣ ଗତି ଶରୀର |
পরম ইউনিট সিস্টেম,ସଂପୂର୍ଣ୍ଣ ୟୁନିଟ୍ ସିଷ୍ଟମ୍ |
পরম তাপমাত্রা,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
পরম সময়,ସଂପୂର୍ଣ୍ଣ ସମୟ |
পরম একক,ସଂପୂର୍ଣ୍ଣ ଏକକ |
পরম মান,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
পূর্ণসংখ্যা ক্যালকুলেটর,ପୂର୍ଣ୍ଣ କାଲକୁଲେଟର
পরম বেগ,ସଂପୂର୍ଣ୍ଣ ବେଗ
পরম সান্দ্রতা,ସଂପୂର୍ଣ୍ଣ ସାନ୍ଦ୍ରତା |
পরম ওজন,ସଂପୂର୍ଣ୍ଣ ଓଜନ |
পরম শূন্য*,ସଂପୂର୍ଣ୍ଣ ଶୂନ *
শূন্যের পরম ভাজক,ଶୂନ୍ୟର ସଂପୂର୍ଣ୍ଣ ବିଭାଜନକାରୀ |
শোষণ করা,ଶୋଷଣ
শোষণ সূচক*,ଅବସାଦ ସୂଚକାଙ୍କ *
শোষিত শক্তি,ଶୋଷିତ ଶକ୍ତି
"শোষক, শোষক","ଶୋଷକ, ଶୋଷକ"
শোষক মাধ্যম*,ଅବଶୋଷକ ମାଧ୍ୟମ *
শোষণ ক্ষমতা,ଅବଶୋଷଣ କ୍ଷମତା |
শোষণ,ଅବସାଦ |
শোষণ যন্ত্র*,ଶୋଷଣକାରୀ *
শোষণমিতি*,ଶୋଷଣକାରୀ *
শোষণ,ଅବଶୋଷଣ
শোষণ - ব্যান্ড*,ଅବଶୋଷଣ - ବ୍ୟାଣ୍ଡ *
শোষণ সার্কিট,ଅବଶୋଷଣ ସର୍କିଟ |
শোষণ গুণাঙ্ক,ଶୋଷଣ ଗୁଣବତ୍ତା
শোষণ কলাম,ଅବଶୋଷଣ ସ୍ତମ୍ଭ
শোষণ ধ্রুবক,ଅବଶୋଷଣ ସ୍ଥିର |
শোষণ ধারাবাহিকতা,ଅବଶୋଷଣ କ୍ରମାଗତ |
শোষণ অঞ্চল,ଅବଶୋଷଣ ଜୋନ୍ |
শোষণ বর্তমান,ଅବଶୋଷଣ କରେଣ୍ଟ |
শোষণ বক্ররেখা*,ଅବଶୋଷଣ ବକ୍ର *
শোষণ ফ্র্যাকচার,ଅବଶୋଷଣ ଭଙ୍ଗା |
শোষণ কোর,ଅବଶୋଷଣ କୋର୍ |
শোষণ ফ্যাক্টর,ଅବଶୋଷଣ କାରକ |
শোষণ ফিল্টার,ଅବଶୋଷଣ ଫିଲ୍ଟର୍ |
শোষণ শিখা ফটোমেট্রি*,ଅବଶୋଷଣ ଫ୍ଲେମ୍ ଫୋଟୋମେଟ୍ରି *
শোষণ হাইগ্রোমিটার,ଅବଶୋଷଣ ହାଇଗ୍ରୋମିଟର |
শোষণ সূচক,ଅବଶୋଷଣ ପ୍ରଦର୍ଶକ |
শোষণ প্রান্তিক,ଶୋଷଣ ମାର୍ଜିନ
শোষণ লাইন,ଅବଶୋଷଣ ରେଖା |
শোষণ ক্ষতি,ଅବଶୋଷଣ କ୍ଷତି |
শোষণ মড্যুলেশন,ଅବଶୋଷଣ ମଡ୍ୟୁଲେସନ୍ |
আলো শোষণ,ହାଲୁକା ଅବଶୋଷଣ |
বিকিরণ শক্তি শোষণ,ବିକିରଣ ଶକ୍ତିର ଅବଶୋଷଣ |
শোষণ শিখর,ଅବଶୋଷଣ ଶିଖର |
শোষণ ফটোমেট্রি,ଅବଶୋଷଣ ଫୋଟୋମେଟ୍ରି |
শোষণ অনুপাত,ଅବଶୋଷଣ ଅନୁପାତ |
শোষণ পরিসীমা*,ଅବଶୋଷଣ ପରିସର *
শোষণ স্পেকট্রাম ফটোমেট্রি*,ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ ଫୋଟୋମେଟ୍ରି *
শোষণ বর্ণালী*,ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ *
"শোষণ নল, শোষণ নল","ଅବଶୋଷଣ ଟ୍ୟୁବ୍, ଅବଶୋଷଣ ଟ୍ୟୁବ୍ |"
শোষণ হাইগ্রোমিটার,ଅବଶୋଷଣ ହାଇଗ୍ରୋମିଟର |
শোষক*,ଶୋଷଣକାରୀ *
শোষক বাষ্পীভবনকারী,ଶୋଷକ ବାଷ୍ପୀକରଣକାରୀ |
শোষণ আইন*,ଅବଶୋଷଣ ନିୟମ *
শোষণ মাধ্যম,ଅବଶୋଷଣ ମାଧ୍ୟମ |
"শোষণ ক্ষমতা, শোষণ*","ଅବଶୋଷଣ କ୍ଷମତା, ଅବଶୋଷଣ *"
শোষণ*,ଅବସାଦ *
স্টুডিও সজ্জা,ଷ୍ଟୁଡିଓ ସାଜସଜ୍ଜା |
বহুগুণ অনুপাত,ବହୁଗୁଣ ଅନୁପାତ |
বিভ্রান্তি,abvolt
সম্পর্কিত,ବିଷୟରେ
ত্বরান্বিত করা,ତ୍ୱରାନ୍ୱିତ କର |
ত্বরণ-স্টপ দূরত্ব,ତ୍ୱରଣ-ସ୍ଥଗିତ ଦୂରତା |
তাড়াতাড়ি,ଶୀଘ୍ର ଶୀଘ୍ର
দ্রুত সময়ের প্রভাব পরীক্ষা,ଶୀଘ୍ର ସମୟ ପ୍ରଭାବ ପରୀକ୍ଷା |
দ্রুত প্রবাহ,ଶୀଘ୍ର ପ୍ରବାହ
দ্রুত গতি,ଦ୍ରୁତ ଗତି
দ্রুত শরীর,ଶୀଘ୍ର ଶରୀର
এক্সিলারেটর ওজনকারী,ତ୍ୱରଣକାରୀ ଓଜନ
এক্সিলারেটর ইলেক্ট্রোড*,ତ୍ୱରକ ଇଲେକ୍ଟ୍ରୋଡ୍ *
এক্সিলারেটরের সময়*,ତ୍ୱରକ ସମୟ *
এক্সিলারেটর ফেজ,ତ୍ୱରକ ପର୍ଯ୍ୟାୟ |
অ্যাক্সিলারেটর হার,ତ୍ୱରଣକାରୀ ହାର
এক্সিলারেটর ভোল্টেজ*,ତ୍ୱରକ ଭୋଲଟେଜ୍ *
ত্বরণ,ତ୍ୱରଣ
ত্বরিত জ্বলন,ତ୍ୱରିତ ଜାଳେଣି |
ত্বরণ সহগ,ତ୍ୱରଣ ଗୁଣବତ୍ତା
ত্বরণ উপাদান,ତ୍ୱରଣ ଉପାଦାନ
মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি,ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |
ত্বরণ ফ্যাক্টর,ତ୍ୱରଣ କାରକ
ত্বরিত চার্জ,ତ୍ୱରିତ ଚାର୍ଜ |
অভিকর্ষের ত্বরণ,ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ
ত্বরণ সম্ভাবনা,ତ୍ୱରଣ ସମ୍ଭାବନା |
ত্বরণ আইন,ତ୍ୱରଣ ନିୟମ
ত্বরণ প্রক্রিয়া,ତ୍ୱରଣ ପ୍ରକ୍ରିୟା
ত্বরণ অঞ্চল,ତ୍ୱରଣ କ୍ଷେତ୍ର
ত্বরণ পদ্ধতি,ତ୍ୱରଣ ପଦ୍ଧତି
"ত্বরণ সহনশীলতা, ত্বরণ সহনশীলতা","ତ୍ୱରଣ ସହନଶୀଳତା, ତ୍ୱରଣ ସହନଶୀଳତା |"
ত্বরণ ভেক্টর,ତ୍ୱରଣ ଭେକ୍ଟର
ত্বরণ-ভোল্টেজ,ତ୍ୱରଣ-ଭୋଲଟେଜ୍
ত্বরণ তরঙ্গ,ତ୍ୱରଣ ତରଙ୍ଗ
এক্সিলারেটর,ତ୍ୱରକ
"ত্বরণ, ত্বরণক*","ତ୍ୱରାନ୍ୱିତ, ତ୍ୱରକ *"
অ্যাক্সিলারেটর সমীকরণ,ତ୍ୱରକ ସମୀକରଣ |
এক্সিলারেটর*,ତ୍ୱରକ *
অ্যাক্সিলোমিটার,ଆକ୍ସିଲେରୋମିଟର
অ্যাক্সিলোমিটার মিল,ଆକ୍ସିଲେରୋମିଟର ମେଳ |
prestresser,ସମ୍ମାନ
বৈধ অক্ষর,ବ valid ଧ ବର୍ଣ୍ଣଗୁଡିକ |
গ্রহণযোগ্যতা কোণ,ଗ୍ରହଣ କୋଣ
গ্রহণযোগ্যতা স্পেসিফিকেশন,ଗ୍ରହଣ ନିର୍ଦ୍ଦିଷ୍ଟକରଣ |
গ্রহণযোগ্য পরীক্ষা,ଗ୍ରହଣୀୟ ପରୀକ୍ଷା
"গ্রহণকারী*, গ্রহণকারী","ଗ୍ରହଣକାରୀ *, ଗ୍ରହଣକାରୀ"
রিসেপ্টর পরমাণু,ରିସେପ୍ଟର ପରମାଣୁ |
রিসেপ্টর বন্ড,ରିସେପ୍ଟର ବଣ୍ଡ |
রিসিভার সার্কিট,ରିସିଭର୍ ସର୍କିଟ୍ |
রিসেপ্টর স্তর,ରିସେପ୍ଟର ସ୍ତର
দাতা অণু,ଦାତା ଅଣୁ
রিসেপ্টর সম্পত্তি,ରିସେପ୍ଟର ସମ୍ପତ୍ତି |
রিসেপ্টর সম্পত্তি স্তর,ରିସେପ୍ଟର ସମ୍ପତ୍ତି ସ୍ତର |
অ্যাক্সিলারেটর পায়ের পাতার মোজাবিশেষ,ତ୍ୱରକ ହୋସ୍ |
"অ্যাক্সেস, অপেক্ষা, অ্যাক্সেস","ପ୍ରବେଶ, ଅପେକ୍ଷା, ପ୍ରବେଶ"
ভুজ অ্যাক্সেস করুন,ଭୁଜ୍ ପ୍ରବେଶ କରନ୍ତୁ |
অ্যাক্সেস সিস্টেম,ଆକ୍ସେସ୍ ସିଷ୍ଟମ୍ |
প্রবেশাধিকার সময়,ପ୍ରବେଶ ସମୟ
অ্যাক্সেসযোগ্যতা,ଅଭିଗମ୍ୟତା
"অতিরিক্ত, সহায়ক, আনুষঙ্গিক (v, ), আনুষাঙ্গিক","ଅତିରିକ୍ତ, ସହାୟକ, ଆନୁଷଙ୍ଗିକ (v, ), ଆନୁଷଙ୍ଗିକ |"
অতিরিক্ত সীমাবদ্ধতা,ଅତିରିକ୍ତ ପ୍ରତିବନ୍ଧକ |
কাকতালীয়,ସୁଯୋଗ ସମକକ୍ଷ |
আকস্মিক সংশোধন,ଆକସ୍ମିକ ସଂଶୋଧନ |
দুর্ঘটনাজনিত বায়োজেনেসিস,ଆକସ୍ମିକ ବାୟୋଜେନେସିସ୍ |
আকস্মিক ডাইভারশন,ଆକସ୍ମିକ ବିଭ୍ରାଟ |
ভিজিটর ত্রুটি,ପରିଦର୍ଶକ ତ୍ରୁଟି |
"হঠাৎ বন্ধ, হঠাৎ বাতা","ହଠାତ୍ ବନ୍ଦ, ଆକସ୍ମିକ ବନ୍ଦ |"
দুর্ঘটনাজনিত সংক্রমণ,ଆକସ୍ମିକ ସଂକ୍ରମଣ
এলোমেলো পার্থক্য,ଅନିୟମିତ ଭିନ୍ନତା |
সমন্বয়,ଆଡଜଷ୍ଟମେଣ୍ଟ୍
অবস্থিত,ସ୍ଥିତ
সঞ্চিত ত্রুটি,ସଂଗୃହିତ ତ୍ରୁଟି |
"accumulation, accumulation","ଜମା, ଜମା"
শক্তি সঞ্চয়,ଶକ୍ତି ସଂରକ୍ଷଣ
সঞ্চয়ক*,ଜମାକାରୀ *
সঠিকতা,ସଠିକତା
বাস্তবতা,ବାସ୍ତବତା
বাস্তব যন্ত্র পর্যবেক্ষণ,ପ୍ରକୃତ ଯନ୍ତ୍ରର ପର୍ଯ୍ୟବେକ୍ଷଣ |
সঠিক পরিসীমা চিহ্নিতকারী,ସଠିକ୍ ପରିସର ମାର୍କର |
নির্ভুলতা স্ক্যানিং,ସଠିକତା ସ୍କାନିଂ |
অনুশীলন করা,ଅଭ୍ୟାସ କର |
এক্সিলারেটর সেল*,ତ୍ୱରକ କକ୍ଷ *
অ্যাক্রোমেটিক লেন্স*,ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ *
অ্যাক্রোমেটিক*,ଆକ୍ରୋମାଟିକ୍ *
অ্যাক্রোম্যাটিক বিশ্লেষক,ଆକ୍ରୋମାଟିକ୍ ଆନାଲିଜର୍ |
ফ্রিকোয়েন্সি নিরপেক্ষ অ্যান্টেনা,ଫ୍ରିକ୍ୱେନ୍ସି ନିରପେକ୍ଷ ଆଣ୍ଟେନା |
অ্যাক্রোমেটিক আকৃতি,ଆକ୍ରୋମାଟିକ୍ ଆକୃତି |
অ্যাক্রোম্যাটিক ফ্রিঞ্জ,ଆକ୍ରୋମାଟିକ୍ ଫ୍ରିଙ୍ଗ୍ |
অ্যাক্রোমেটিক লেন্স*,ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ *
অ্যাক্রোম্যাটিক পয়েন্ট পাথ,ଆକ୍ରୋମାଟିକ୍ ପଏଣ୍ଟ ପଥ |
অ্যাক্রোম্যাটিক লেন্স,ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ |
অ্যাক্রোমেটিক প্রিজম,ଆକ୍ରୋମାଟିକ୍ ପ୍ରିଜିମ୍ |
অ্যাক্রোম্যাটিক টেলিস্কোপ,ଆକ୍ରୋମାଟିକ୍ ଟେଲିସ୍କୋପ୍ |
বর্ণহীনতা*,ଆକ୍ରୋମାଟିଟି *
অ্যাক্রোমাটাইজেশন*,ଆକ୍ରୋମାଟାଇଜେସନ୍ *
বর্ণহীনতা*,ଆକ୍ରୋମାଟିଟି *
"স্থিতিস্থাপক, অবাধ্য, অবাধ্য","ଇଲାଷ୍ଟିକ୍, ଅପ୍ରାକୃତିକ, ଚିତ୍ତାକର୍ଷକ |"
"আকর্ণ হোস, বানজু হোস","ଆକୋରନ୍ ହୋସ୍, ବାଞ୍ଜୁ ହୋସ୍ |"
ক্ষুদ্রাকৃতির ভালভ,କ୍ଷୁଦ୍ର ଭଲଭ୍ |
ইকোফোনি,ଇକୋଫୋନି |
শাব্দিক,ଶବ୍ଦ
শাব্দ শোষণ,ଆକାଶବାଣୀ ଅବଶୋଷଣ |
অ্যাকোস্টিক অ্যাটেন্যুয়েশন সহগ,ଆକାଶବାଣୀ ଆଟେଣ୍ଡେସନ୍ କୋଏଫିସିଏଣ୍ଟ୍ |
অ্যাকোস্টিক অ্যাটেন্যুয়েশন,ଆକାଶବାଣୀ
শাব্দ চোর অ্যালার্ম,ଶବ୍ଦ ଚୋର ଆଲାର୍ମ |
অ্যাকোস্টিক ক্যাপাসিট্যান্স,ଆକାଶବାଣୀ କ୍ଷମତା |
শ্রবণ কেন্দ্র,ଶ୍ରବଣ କେନ୍ଦ୍ର
শাব্দ ব্যাখ্যা,ଆକାଶବାଣୀ ବ୍ୟାଖ୍ୟା
শাব্দ আবরণ,ଶବ୍ଦ କଭର |
শাব্দ প্রতিক্রিয়া,ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |
শাব্দিক উপাদান,ଆକାଶବାଣୀ ଉପାଦାନ |
শাব্দ পরিবাহিতা,ଆକାଶବାଣୀ
শাব্দ স্যাঁতসেঁতে,ଆକାଶବାଣୀ ଡମ୍ପିଂ |
শাব্দ বিচ্ছুরণ,ଆକାଶବାଣୀ ବିଚ୍ଛେଦ |
শব্দ হ্যাকার,ସାଉଣ୍ଡ ହ୍ୟାକର୍ |
শাব্দ শক্তি*,ଶବ୍ଦ ଶକ୍ତି *
শাব্দ শক্তি সমীকরণ,ଶବ୍ଦ ଶକ୍ତି ସମୀକରଣ |
শাব্দিক সমীকরণ,ଆକାଶବାଣୀ ସମୀକରଣ |
শাব্দ পুনঃস্থাপন,ଶବ୍ଦ ପୁନ st ସ୍ଥାପନ |
ক্ল্যাডনি আকার,କ୍ଲାଡନି ଆକୃତି |
শাব্দ ফিল্টার,ଶବ୍ଦ ଫିଲ୍ଟର୍ |
শব্দ জেনারেটর,ଶବ୍ଦ ଜେନେରେଟର
শাব্দ ঝাঁঝরি,ଆକାଶବାଣୀ
শব্দের সংরোধ*,ଶବ୍ଦଗତ ପ୍ରତିରୋଧ *
শাব্দিক জড়তা,ଶବ୍ଦଗତ ନିଷ୍କ୍ରିୟତା |
শাব্দ তীব্রতা,ଶବ୍ଦ ତୀବ୍ରତା |
শাব্দ হস্তক্ষেপ মিটার,ଆକାଶବାଣୀ ବାଧା ମିଟର |
শাব্দ হস্তক্ষেপ আবিষ্কারক,ଆକାଶବାଣୀ ବାଧା ଚିହ୍ନଟକାରୀ |
শাব্দ লেন্স,ଶବ୍ଦ ଲେନ୍ସ |
শব্দ লাইন,ଧ୍ୱନି ରେଖା |
শাব্দ ভর,ଆକାଶବାଣୀ
শাব্দ উপাদান,ଶବ୍ଦ ପଦାର୍ଥ |
অ্যাকোস্টিক মানে মুক্ত পথ,ଶବ୍ଦର ଅର୍ଥ ହେଉଛି ମୁକ୍ତ ପଥ |
শাব্দ মোড,ଆକାଶବାଣୀ ମୋଡ୍ |
শাব্দিক শব্দ,ଶବ୍ଦ ଶବ୍ଦ
শাব্দিক ওহম*,ଆକାଶବାଣୀ ଓମ୍ *
"অ্যাকোস্টিক প্যানেল, অ্যাকোস্টিক বোর্ড","ଆକାଶବାଣୀ ପ୍ୟାନେଲ୍, ଆକାଶବାଣୀ ବୋର୍ଡ |"
শাব্দ ফেজ ধ্রুবক,ଶବ୍ଦ ଚରଣ ସ୍ଥିର |
শাব্দ রিসিভার,ଆକାଶବାଣୀ
শাব্দ চাপ,ଶବ୍ଦ ଚାପ
শব্দের প্রতিসাম্য নিয়ম,ଶବ୍ଦର ସମୃଦ୍ଧ ନିୟମ |
শাব্দ সংক্রমণ,ଶବ୍ଦ ସଂକ୍ରମଣ
শাব্দ বৈশিষ্ট্য,ଶବ୍ଦ ଗୁଣ
শাব্দ চতুর্ভুজ,ଆକାଶବାଣୀ ଚତୁର୍ଭୁଜ |
শাব্দ বিকিরণ উপাদান,ଆକାଶବାଣୀ ବିକିରଣ ଉପାଦାନ |
শাব্দ বিকিরণ,ଆକାଶବାଣୀ ବିକିରଣ |
শব্দরোধী,ସାଉଣ୍ଡ ପ୍ରୁଫ୍ |
