Bengali,Assamese
বাইনারি মই,বাইনাৰী জখলা
বাইনারি প্যাথোমিটার,বাইনাৰী পেথ&#39;মিটাৰ
বাইনারি অবস্থা,বাইনাৰী অৱস্থা
বাইনারি-ডেসিমেল ডিকোডার,বাইনাৰী-দশমিক ডিকোডাৰ
বাইনারি লোড,বাইনাৰী লোড
বাইনারি শব্দ,বাইনাৰী শব্দ
বাইপোলার,বাইপোলাৰ
বাইপোলার ক্যাপাসিটর,বাইপোলাৰ কেপাচিটৰ
বাইপোলার ডিভাইস,বাইপোলাৰ ডিভাইচ
বাইপোলার উৎস,বাইপোলাৰ উৎস
বাইপোলার ট্রানজিস্টর,বাইপোলাৰ ট্ৰেঞ্জিষ্টৰ
বাইপোলার জংশন ট্রানজিস্টর,বাইপোলাৰ জংচন ট্ৰেঞ্জিষ্টৰ
দ্বিঘাত ফিল্টার,দ্বিঘাত ফিল্টাৰ
ডবল অবস্থান,ডাবল পজিচন
দুই-পর্যায়ের মাল্টিভাইব্রেটর,দুটা পৰ্যায়ৰ মাল্টিভাইব্ৰেটৰ
দ্বিমুখী রিলে,দ্বিমুখী ৰিলে
দুই-পর্যায়ের রাষ্ট্র,দুটা পৰ্যায়ৰ অৱস্থা
দুই-পজিশন ট্রিগার,দুটা অৱস্থানৰ ট্ৰিগাৰ
বিট ত্রুটি,বিট ভুল
বিট ত্রুটি হার,বিট ভুলৰ হাৰ
বিট ত্রুটি,বিট ভুল
বিটকল ত্রুটি,bitkal ত্ৰুটি
অন্ধ বাক্স,অন্ধ বাকচ
ঘনীভূত নাড়ি,ঘনীভূত স্পন্দন
সচিব,নিঃসৰণকাৰী
সিক্রেটরি ইনহিবিটার,নিঃসৰণ প্ৰতিৰোধক
অন্ধত্ব,অন্ধতা
সেগমেন্ট ডায়াগ্রাম,ছেগমেণ্ট ডায়াগ্ৰাম
ব্লকিং প্রতিবন্ধকতা,ব্লক কৰা ইম্পিডেন্স
খণ্ড স্থানান্তর,ফ্ৰেগমেণ্ট ট্ৰেন্সফাৰ
পথিমধ্যে রোধ করা,ইন্টাৰচেপ্ট
প্রতিরোধক ক্যাপাসিটর,ৰেজিষ্টৰ কেপাচিটৰ
প্রতিরোধক ক্যাপাসিটর,ৰেজিষ্টৰ কেপাচিটৰ
ব্লকিং অসিলেটর,ব্লক কৰা দোলক
প্রতিরোধক অসিলেটর,ৰেজিষ্টৰ দোলক
প্রতিরোধক ভোল্টেজ,ৰেজিষ্টৰ ভল্টেজ
ব্লোয়ার,ব্ল&#39;ৱাৰ
বোড ডায়াগ্রাম,বোড ডায়াগ্ৰাম
voltzmann সম্পর্ক,voltzmann সম্পৰ্ক
voltzmann ধ্রুবক,voltzmann ধ্ৰুৱক
বন্ধন,বান্ধোন
আবদ্ধ স্ট্রেন গেজ,বান্ধি ৰখা ষ্ট্ৰেইন গেজ
স্ব-চালিত পরিবর্ধক,স্ব-সহায়ক এম্প্লিফায়াৰ
বুলিয়ান বীজগণিত,বুলিয়ান বীজগণিত
বুলিয়ান সমীকরণ,বুলিয়ান সমীকৰণ
বুট Strapon,বুট ষ্ট্ৰেপন
বুথের অ্যালগরিদম,বুথৰ এলগৰিদম
বুটস্ট্র্যাপ প্রিজম সার্কিট,বুটষ্ট্ৰেপ প্ৰিজম বৰ্তনী
bosscutts নিয়ম,bosscutts শাসন কৰে
বোস-চৌধুরী হকেনহাম (বিসিএইচ) কোড,বসু-চৌধাৰী হকেনহাম (BCH) কোড
"লাফ, লাফ","জপিয়াই, জপিয়াই"
আবদ্ধ ইলেকট্রন,বান্ধ খাই থকা ইলেক্ট্ৰন
ব্র্যাগ প্রতিফলক,bragg প্ৰতিফলক
জড়িত তার,আন্তঃসংলগ্ন তাঁৰ
শাখা,শাখা
শাখা,শাখা-প্ৰশাখা
পরীক্ষা বোর্ড,পৰীক্ষা বৰ্ড
বিরতি জোন,ব্ৰেক জ&#39;ন
ব্রেকিং ভোল্টেজ,ভল্টেজ ভাঙি যোৱা
ব্রেকডাউন ডায়োড,ব্ৰেকডাউন ডাইঅ&#39;ড
ফ্র্যাকচার ফিক্সেশন,ভাঙন স্থিৰকৰণ
ব্রেকিং ভোল্টেজ,ভল্টেজ ভাঙি যোৱা
সেতু,সেঁতু
সেতু সংশোধনকারী,ব্ৰীজ ৰেক্টিফায়াৰ
প্রশস্ত ব্যান্ড,বহল বেণ্ড
সম্প্রচার ব্যান্ড,সম্প্ৰচাৰ বেণ্ড
অ্যাস্ট্রাল অ্যারে,নক্ষত্ৰীয় এৰে
সম্প্রচার,সম্প্ৰচাৰ
সম্প্রচার অ্যান্টেনা,সম্প্ৰচাৰ এন্টেনা
সম্প্রচার গ্রহনকারী যন্ত্র,সম্প্ৰচাৰ গ্ৰাহক
ফ্রিকোয়েন্সি ব্রডকাস্ট রিসিভার,কম্পাঙ্ক সম্প্ৰচাৰ গ্ৰাহক
সম্প্রচার ট্রান্সমিটার,সম্প্ৰচাৰ ট্ৰেন্সমিটাৰ
বুস্টার অ্যান্টেনা,বুষ্টাৰ এন্টেনা
বাস অ্যান্টেনা,বাছ এন্টেনা
বুরুশ নিমজ্জন,ব্ৰাছ বিসৰ্জন
বুদবুদ এবং গেট,bubbling AND গেট
বুডবুডু বা গেট,বুডবুডু বা গেট
বুদবুদ স্মৃতি,বুদবুদযুক্ত স্মৃতিশক্তি
ক্ষতিপূরণকারী ভোল্টেজ,ক্ষতিপূৰণমূলক ভল্টেজ
বাফার,বাফাৰ
বাফার পরিবর্ধক,বাফাৰ এম্প্লিফায়াৰ
বাফার সার্কিট,বাফাৰ বৰ্তনী
বাফার অপারেটর,বাফাৰ অপাৰেটৰ
বাফার রেজিস্টার,বাফাৰ ৰেজিষ্টাৰ
বাল্ব,বাল্ব
জনসংখ্যার প্রভাব,জনসংখ্যাৰ প্ৰভাৱ
ম্যাক্রো সেমিকন্ডাক্টর ডিভাইস,মেক্ৰ&#39; অৰ্ধপৰিবাহী যন্ত্ৰ
গুচ্ছ,মুঠি
নিমজ্জিত বিনিময়,ডুব যোৱা বিনিময়
নিমজ্জিত স্তর,ডুব যোৱা স্তৰ
নিমজ্জিত যোগাযোগ,ডুব যোৱা সংস্পৰ্শ
বিস্ফোরণ পরিবর্ধক,ব্লাষ্ট এম্প্লিফায়াৰ
বিস্ফোরণ কভার,ব্লাষ্ট কভাৰ
বিস্ফোরণ গুলি,ব্লাষ্ট ফায়াৰিং
বিস্ফোরণ দরজা পরিবর্ধক,বিস্ফোৰণ দুৱাৰ এম্প্লিফায়াৰ
বিস্ফোরিত মোড,বাৰ্ষ্ট মোড
বিস্ফোরণ বিভাজক,বিস্ফোৰণ বিভাজক
বিস্ফোরণের সংকেত,বিস্ফোৰণ সংকেত
বিস্ফোরণ ত্রুটি সংশোধনকারী কোড,বাৰ্ষ্ট ভুল সংশোধক ক&#39;ড
যথেষ্ট,বাছ
বাস বার,বাছ বাৰ
বাস সংগঠন,বাছ সংস্থা
বাস স্ট্যান্ডার্ড,বাছৰ মানদণ্ড
শুধু ক্ষণস্থায়ী,মাত্ৰ ক্ষণিক
মাখন মূল্য ফিল্টার,ফিল্টাৰৰ মূল্যৰ মাখন
bnc তার,bnc তাঁৰ
বিএনসি জয়েন্টার,বিএনচি জইণ্টাৰ
উপায় দ্বারা,বাই-ৱে
বাইপাস ক্যাপাসিটর,বাইপাছ কেপাচিটৰ
বাইট,বাইট
ভি ব্যান্ড,ভি বেণ্ড
সি ব্যান্ড অ্যান্টেনা,C বেণ্ড এন্টেনা
তার,তাঁৰ
তারের রাউটিং,তাঁৰৰ ৰুটিং
টেলিগ্রাফ টেলিভিশন,টেলিগ্ৰাফ টেলিভিছন
ক্যাশ মেমরি,কেশ্ব মেমৰি
সিসিম ফ্রিকোয়েন্সি স্ট্যান্ডার্ড,ছিছিম ফ্ৰিকুৱেন্সি ষ্টেণ্ডাৰ্ড
ক্যালকুলেটর,কেলকুলেটৰ
ক্রমাঙ্কন,মানাংকন
কল ঠিকানা,কল ঠিকনা
কলপিট অসিলেটর,কলপিট দোলক
ক্যাম কর্ডার,কেম কৰ্ডাৰ
ক্যামেরা,কেমেৰা
ক্যামেরার পায়ের পাতার মোজাবিশেষ,কেমেৰাৰ নলী
candela,কেণ্ডেলা
মোমবাতি শক্তি,মমবাতিৰ শক্তি
ক্যান্টিলিভার স্ট্রেন গেজ,কেন্টিলিভাৰ ষ্ট্ৰেইন গেজ
ধারণ,ধৰি ৰখা
ক্যাপাসিট্যান্স রক্তচাপ ট্রান্সডুসার,ৰক্তচাপ ট্ৰেন্সডুচাৰ
হোল্ডিং ডিস্ট্রিবিউটর,ধাৰণকাৰী বিতৰক
চুক্তি ধারণ,চুক্তি ধাৰণ কৰা
ক্যাপাসিট্যান্স গেজ,ধাৰণক্ষমতা গেজ
সংগ্রাহক হোল্ডিং,ধৰি ৰখা সংগ্ৰাহক
ক্যাপাসিট্যান্স বিক্রিয়া,ধাৰণক্ষমতা বিক্ৰিয়াশীলতা
"ক্যাপাসিটিভ এনার্জি কনভার্টার, ট্রান্সডুসার","কেপাচিটিভ এনাৰ্জি কনভাৰ্টাৰ, ট্ৰেন্সডুচাৰ"
ক্যাপাসিটর,কেপাচিটৰ
ক্যাপাসিটর ব্যাংক,কেপাচিটৰ বেংক
ক্যাপাসিটর ফিল্টার,কেপাচিটৰ ফিল্টাৰ
ক্যাপাসিটর ইনপুট ফিল্টার,কেপাচিটৰ ইনপুট ফিল্টাৰ
উইঞ্চ মোটর,উইঞ্চ মটৰ
পুলি সার্ভো বডি,পুলি চাৰ্ভো বডি
চরখী,চৰখী
ক্যাপচার,বন্দী কৰা
ক্যাপচার ধারা,capture clause
ক্যাপচার প্রভাব,কেপচাৰ ইফেক্ট
ক্যারিয়ারের শব্দ অনুপাত,বাহক শব্দ অনুপাত
গাড়ির রেডিও,গাড়ী ৰেডিঅ&#39;
কার্বন প্রতিরোধক,কাৰ্বন ৰেজিষ্টৰ
কার্ড পাঠক,কাৰ্ড ৰিডাৰ
কার্ডিওড ডায়াগ্রাম,কাৰ্ডিঅ&#39;ইড ডায়েগ্ৰাম
বহন,গাড়ী
গাড়ি ফেরত,carriage return
বাহক,বাহক
ক্যারিয়ার যোগাযোগ,বাহক যোগাযোগ
ক্যারিয়ারের ঘনত্ব,বাহক ঘনত্ব
ক্যারিয়ার ফ্রিকোয়েন্সি,বাহক কম্পাঙ্ক
ক্যারিয়ার প্রজনন,বাহক প্ৰজনন
ক্যারিয়ার স্তর,বাহক স্তৰ
ক্যারিয়ার জীবন,বাহক জীৱন
ক্যারিয়ারের গতিশীলতা,বাহক গতিশীলতা
বাহক গুণন,বাহক গুণন
ক্যারিয়ারের শব্দ স্তর,বাহক শব্দৰ মাত্ৰা
ক্যারিয়ার পরিসীমা,বাহক পৰিসৰ
ক্যারিয়ার রিকভারি সার্কিট,বাহক পুনৰুদ্ধাৰ বৰ্তনী
ক্যারিয়ার পুনঃনিবেশ,বাহক পুনৰ সন্নিৱিষ্ট কৰা
পরিবাহী বিক্ষিপ্তকরণ,পৰিবাহী বিকিৰণ
ক্যারিয়ার দমন,বাহক দমন
বাহক খাঁচা,বাহক পিঞ্জৰা
ক্যারিয়ার বেগ,বাহক বেগ
হাত বিট,হেণ্ড বিট
পতাকা রাখা,ধাৰণ কৰা পতাকা
"দখলের রেজিস্টার, দখলের রেজিস্টার","দখলৰ পঞ্জীয়ন, দখলৰ পঞ্জী"
বহনযোগ্য জেনারেটর,পৰ্টেবল জেনেৰেটৰ
কার্সনের আইন,carson&#39;s আইন
কার্তুজ ফিউজ,কাৰ্টিজ ফিউজ
কার্তুজ টেপ,কাৰ্টিজ টেপ
ক্যারি ফস্টার ব্রিজ,কেৰী ফষ্টাৰ ব্ৰীজ
ধাপ পরিবর্ধক,ষ্টেপ এম্প্লিফায়াৰ
গ্রেডেশন,গ্ৰেডেচন
ক্যাসকেড পরিবর্ধক,কেছকেড এম্প্লিফায়াৰ
"ক্যাসকোড অ্যামপ্লিফায়ার, স্টেপ অ্যামপ্লিফায়ার","কেস্কোড এম্প্লিফায়াৰ, ষ্টেপ এম্প্লিফায়াৰ"
ক্যাসেট,কেছেট
প্ররোচনা,প্ৰৰোচনা
ক্যাপটিভ কোটার,বন্দী কোটাৰ
ক্যাথোড,কেথ&#39;ড
ক্যাথোড ট্রেলিং,কেথ&#39;ড ট্ৰেইলিং
ক্যাথোড ট্রেলিং পরিবর্ধক,কেথ&#39;ড ট্ৰেইলিং এম্প্লিফায়াৰ
ক্যাথোড আলোকসজ্জা,কেথ&#39;ড লুমিনেন্স
ক্যাথোড উপাদান,কেথ&#39;ড পদাৰ্থ
ক্যাথোড রে অসিলোস্কোপ,কেথ’ড ৰশ্মিৰ অচিলোস্কোপ
ক্যাথোড রশ্মি নল,কেথ&#39;ড ৰশ্মিৰ নলী
ক্যাথোড কণা জমা,কেথ&#39;ড কণা নিক্ষেপ
ক্যাথোড আলোকসজ্জা,কেথ&#39;ড লুমিনেন্স
কয়ার ফিল্টার,কুয়াৰ ফিল্টাৰ
kaver ফিল্টার,kaver ফিল্টাৰ
কোটর,কোটৰ
এন্ট্রাল বিকিরণ,এণ্ট্ৰেল ৰেডিয়চন
cotter অনুরণক,কটাৰ অনুনাদক
ফ্যাট চার্জ কাপলড ডিভাইস (CCD),ফেট চাৰ্জ কাপল্ড ডিভাইচ (CCD)
সিডি রম,cd ৰম
সিডি রম ড্রাইভ,cd ৰম ড্ৰাইভ
সেল (ব্যাটারি),কোষ (বেটাৰী)
কেন্দ্রীয় সম্পদ উপাদান,কেন্দ্ৰীয় সম্পদ উপাদান
কেন্দ্রীয় সম্পদ ইউনিট,কেন্দ্ৰীয় সম্পদ একক
কেন্দ্রীয় প্রসেসর,কেন্দ্ৰীয় প্ৰচেছৰ
গড় স্কেল,গড় স্কেল
