Tamil,Kannada
காலமற்ற தன்மை,ಅನಾಕ್ರೊನಿಸಮ್
துளையிடப்பட்ட ஸ்கேனிங் வட்டு,ರಂದ್ರ ಸ್ಕ್ಯಾನಿಂಗ್ ಡಿಸ್ಕ್
துவாரக்,ದ್ವಾರಕ್
"மேல், மேல், முன்","ಮೇಲ್ಭಾಗ, ಮೇಲ್ಭಾಗ, ಮುಂಭಾಗ"
"சூரியன் உயர், அதிக சூரியன்","ಸೂರ್ಯ ಅಧಿಕ, ಸೂರ್ಯ ಅಧಿಕ, ಅಪ್ಸೌರ್"
அக்கறையற்ற சரிகை,ನಿರಾಸಕ್ತಿ ಲೇಸ್
பரிதாபமற்றது,ಕರುಣಾಜನಕವಲ್ಲದ
இயலாமை,ಅಂಗವೈಕಲ್ಯವಲ್ಲದ
மிகவும் வண்ணமயமான,ಬಹಳ ವರ್ಣರಹಿತ
"நிலம்-உயர்ந்த, உச்சநிலை","ಭೂಮಿ-ಎತ್ತರ, ಅಪೋಜಿ"
"துருவமற்ற, சுற்றளவு","ಧ್ರುವೀಯವಲ್ಲದ, ವೃತ್ತಾಕಾರದ"
பார்ப்பனியம்,ಪರಧ್ರುವೀಯತೆ
சாதனம்,ಸಾಧನ
"மெய்நிகர், காட்சி","ವಾಸ್ತವ, ದೃಶ್ಯ"
தெரியும் சூரியன்,ಗೋಚರ ಸೂರ್ಯ
காட்சி நேரம்,ದೃಶ್ಯ ಸಮಯ
வெளிப்படும் தோற்றம்,ಹೊರಹೊಮ್ಮುವ ನೋಟ
விண்ணப்பம்,ಅಪ್ಲಿಕೇಶನ್
பொருந்தக்கூடிய தன்மை,ಅನ್ವಯಿಸುವಿಕೆ
விண்ணப்பித்தார்,ಅನ್ವಯಿಸಲಾಗಿದೆ
கவனிக்கத்தக்கது,ಗಮನಿಸಬಹುದಾದ
அணுகுமுறை,ಅನುಸಂಧಾನ
"அருகில், தோராயமாக","ಹತ್ತಿರ, ಸುಮಾರು"
தோராயம்,ಅಂದಾಜು
நீராவி அழுத்தம்,ಆವಿಯ ಒತ್ತಡ
தன்னார்வ,ಸ್ವಯಂಪ್ರೇರಿತ
"வில் உலை, வில் உலை","ಆರ್ಕ್ ಫರ್ನೇಸ್, ಆರ್ಕ್ ಫರ್ನೇಸ್"
ஆர்க்கிமிடிஸ் சட்டம்,ಆರ್ಕಿಮಿಡಿಸ್ ಕಾನೂನು
கட்டிடக்கலை ஒலியியல்,ವಾಸ್ತುಶಿಲ್ಪದ ಅಕೌಸ್ಟಿಕ್ಸ್
பரிதி விளக்கு,ಆರ್ಕ್ ದೀಪ
வில்-ஸ்பெக்ட்ரம்,ಆರ್ಕ್-ಸ್ಪೆಕ್ಟ್ರಮ್
"பகுதி, பகுதி","ಪ್ರದೇಶ, ಪ್ರದೇಶ"
"பிராந்திய, பிராந்திய","ಪ್ರಾದೇಶಿಕ, ಪ್ರಾದೇಶಿಕ"
"கை, கை, கிளை","ತೋಳು, ತೋಳು, ಶಾಖೆ"
அமெச்சூர்,ಹವ್ಯಾಸಿ
"வரிசை, வரிசை","ವ್ಯೂಹ, ವ್ಯೂಹ"
பெறுபவர்,ರಿಸೀವರ್
உச்சரிப்பு தெளிவு,ಉಚ್ಚಾರಣೆ ಸ್ಪಷ್ಟತೆ
செயற்கை,ಸಂಶ್ಲೇಷಿತ
செயற்கை மாற்றம்,ಕೃತಕ ರೂಪಾಂತರ
ஏறுமுகம்,ಆರೋಹಣ
ஏற்றம்,ಆರೋಹಣ
ஏறும்,ಹತ್ತುವುದು
அகோலி,ಆಗೋಲಿ
திரட்டுதல்,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
தொகுப்பு,ಜೊತೆ
"கூட்டுதல், கூட்டுதல்","ಜೋಡಿಸುವುದು, ಜೋಡಿಸುವುದು"
"அசெம்பிளிங், அசெம்பிள், அசெம்பிள்","ಜೋಡಿಸುವುದು, ಜೋಡಿಸುವುದು, ಜೋಡಿಸುವುದು"
துல்லியமான மதிப்பீடு,ನಿಖರವಾದ ಅಂದಾಜು
குறிப்பிடப்பட்ட (குவாண்டம் எண்களின்) விவரக்குறிப்புகள்,ನಿರ್ದಿಷ್ಟಪಡಿಸಿದ (ಕ್ವಾಂಟಮ್ ಸಂಖ್ಯೆಗಳ) ವಿಶೇಷಣಗಳು
"தொடர்புடைய, துணை, இணைந்த","ಸಂಬಂಧಿತ, ಸಹಾಯಕ, ಸಂಯೋಜಿತ"
உயிர் ஒலி,ಸ್ವರ ಧ್ವನಿ
தானியங்கி மல்டிவிபிரேட்டர்,ಸ್ವಯಂಚಾಲಿತ ಮಲ್ಟಿವೈಬ್ರೇಟರ್
ஆஸ்தெனிக்,ಅಸ್ತೇನಿಕ್
"மதுவிலக்கு, astigmatism","ಇಂದ್ರಿಯನಿಗ್ರಹ, ಅಸ್ಟಿಗ್ಮ್ಯಾಟಿಸಮ್"
விண்வெளி பயண மின்னணுவியல்,ಬಾಹ್ಯಾಕಾಶ ಪ್ರಯಾಣ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್
வானியற்பியல்,ಖಗೋಳ ಭೌತಶಾಸ್ತ್ರ
விண்வெளி,ಗಗನಯಾತ್ರಿ
வானியலாளர்,ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞ
விண்ணுலகம்,ಆಕಾಶ
வானியல்,ಖಗೋಳಶಾಸ್ತ್ರ
வானியற்பியல்,ಖಗೋಳ ಭೌತಶಾಸ್ತ್ರ
சமச்சீரற்ற,ಅಸಮ್ಮಿತ
அறிகுறியற்ற,ಲಕ್ಷಣರಹಿತ
மோசமாக்கும்,ಉಲ್ಬಣಗೊಳಿಸುತ್ತಿದೆ
ஒத்திசைவற்ற,ಅಸಮಕಾಲಿಕ
"வளிமண்டலம், வளிமண்டலம்","ವಾತಾವರಣ, ವಾತಾವರಣ"
வளிமண்டலம்,ವಾತಾವರಣದ
காற்று கொந்தளிப்பு,ಗಾಳಿ ಪ್ರಕ್ಷುಬ್ಧತೆ
அணுக்கரு,ಪರಮಾಣು
அணு,ಪರಮಾಣು
அணுசக்தி,ಪರಮಾಣುತ್ವ
அணுக்கரு நிறை,ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ
அணு எண்,ಪರಮಾಣು ಸಂಖ್ಯೆ
"அணு உலை, அணுக் குவியல்","ಪರಮಾಣು ರಿಯಾಕ್ಟರ್, ಪರಮಾಣು ರಾಶಿ"
அணு,ಪರಮಾಣು
துகள்,ಕಣ
துகள்,ಕಣ
"தணிவு, தணிவு",ಕ್ಷೀಣತೆ
"தணித்தல், தணித்தல்","ಕ್ಷೀಣಿಸುವುದು, ಕ್ಷೀಣಿಸುವುದು"
வசீகரம்,ಮೋಡಿ
ஈர்ப்பு சக்தி,ಆಕರ್ಷಣೆಯ ಶಕ್ತಿ
கேட்கக்கூடிய தன்மை,ಶ್ರವ್ಯತೆ
ஒலி அதிர்வெண் பெருக்கி,ಆಡಿಯೊ ಆವರ್ತನ ಆಂಪ್ಲಿಫಯರ್
கேட்கக்கூடிய,ಶ್ರವ್ಯ
ஆடியோ ஜெனரேட்டர்,ಆಡಿಯೋ ಜನರೇಟರ್
கேட்கக்கூடிய வரைபடம்,ಶ್ರವಣ ಗ್ರಾಫ್
கேட்கும் அறிவியல்,ಶ್ರವಣ ವಿಜ್ಞಾನ
ஒலிமானி,ಆಡಿಯೋಮೀಟರ್
கேட்கக்கூடிய அதிர்வெண் ஆஸிலேட்டர்,ಶ್ರವ್ಯ ಆವರ್ತನ ಆಂದೋಲಕ
ஒலி சமிக்ஞை,ಧ್ವನಿ ಸಂಕೇತ
ஒலி-ஒளி காட்சி,ಶ್ರವ್ಯ-ದೃಶ್ಯ
"ஆடிட்டோரியம், ஆடிட்டோரியம்","ಸಭಾಂಗಣ, ಸಭಾಂಗಣ"
OZ விளைவு,OZ ಪರಿಣಾಮ
பதவி உயர்வு,ಪ್ರಚಾರ
மேம்படுத்துபவர்,ವರ್ಧಕ
துருவ சுடர்,ಧ್ರುವ ಜ್ವಾಲೆ
தென் துருவ சுடர்,ದಕ್ಷಿಣ ಧ್ರುವ ಜ್ವಾಲೆ
வட துருவ சுடர்,ಉತ್ತರ ಧ್ರುವ ಜ್ವಾಲೆ
தானியங்கி எச்சரிக்கை,ಸ್ವಯಂಚಾಲಿತ ಎಚ್ಚರಿಕೆ
தானாக இணையாக,ಸ್ವಯಂ ಸಮಾನಾಂತರಕಾರಕ
"தானியங்கி, தானியங்கி, தானியங்கி","ಸ್ವಯಂಚಾಲಿತ, ಸ್ವಯಂಚಾಲಿತ, ಸ್ವಯಂಚಾಲಿತ"
"ஆட்டோமேஷன், ஆட்டோமேஷன்","ಯಾಂತ್ರೀಕೃತಗೊಂಡ, ಯಾಂತ್ರೀಕೃತಗೊಂಡ"
"உதவியாளர், கூட்டுறவு, கூடுதல்","ಸಹಾಯಕ, ಸಹಕಾರಿ, ಹೆಚ್ಚುವರಿ"
"அவடவா, அவலாஞ்சி","ಅವದಾವ, ಅವಲಾಂಚೆ"
"சராசரி, சராசரி","ಅರ್ಥ, ಅರ್ಥ"
பரிவாரன்,ಪರಿವಾರನ್
அச்சு,ಅಕ್ಷೀಯ
அச்சு,ಅಕ್ಷರೇಖೆ
அஜிமுத்,ಅಜಿಮುತ್
அஜிமுத்,ಅಜಿಮುತ್
மீண்டும்,ಹಿಂದೆ
"பின்னணி, பின்னணி","ಹಿನ್ನೆಲೆ, ಹಿನ್ನೆಲೆ"
"பின்தங்கிய, பின்தங்கிய","ಹಿಂದುಳಿದ, ಹಿಂದುಳಿದ"
திருப்புமுனை,ತಿರುವು
பின் மின்னழுத்த துடிப்பு,ಬ್ಯಾಕ್ ವೋಲ್ಟೇಜ್ ಪಲ್ಸರ್
பிந்தைய உறவு,ನಂತರದ ಸಂಬಂಧ
கொடுக்கப்படுவதுடன்,ಮರುಪಾವತಿ
எதிர்ப்பு மின்னழுத்தம்,ವಿರೋಧಿ ವೋಲ್ಟೇಜ್
பின்புற சிதறல்,ಹಿಂಭಾಗದ ಚದುರುವಿಕೆ
இடைநிலை அலை,ತೆರಪಿನ ಅಲೆ
இன்சுலேட்டர்,ಇನ್ಸುಲೇಟರ್
பாராசூட் ஜம்ப்,ಪ್ಯಾರಾಚೂಟ್ ಜಿಗಿತ
வெப்பமூட்டும்,ಬಿಸಿ
"சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை","ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ"
சமநிலைப்படுத்துபவர்,ಬ್ಯಾಲೆನ್ಸರ್
சமநிலை,ಸಮತೋಲನ
உருண்டை,ಗೋಳಾಕಾರದ
"பாலிஸ்டிக், பாலிஸ்டிக்","ಬ್ಯಾಲಿಸ್ಟಿಕ್, ಬ್ಯಾಲಿಸ್ಟಿಕ್"
"ப்ராஜெக்ஷன் கால்வனோமீட்டர், ப்ராஜெக்ஷன் கால்வனோமீட்டர்","ಪ್ರೊಜೆಕ್ಷನ್ ಗಾಲ್ವನೋಮೀಟರ್, ಪ್ರೊಜೆಕ್ಷನ್ ಗಾಲ್ವನೋಮೀಟರ್"
ஏவுகணை,ಕ್ಷಿಪಣಿ
"பந்துவீச்சு, ஆயுதம்","ಬ್ಯಾಲಿಸ್ಟಿಕ್ಸ್, ಶಸ್ತ್ರಾಸ್ತ್ರ"
கணிப்பு,ಪ್ರೊಜೆಕ್ಷನ್
இலவச பாதை,ಉಚಿತ ಪಥ
"பலூன், பலூன்","ಬಲೂನ್, ಬಲೂನ್"
பால்மர் இடைநிறுத்தம்,ಬಾಲ್ಮರ್ ಸ್ಥಗಿತಗೊಳಿಸುವಿಕೆ
"இசைக்குழு, இசைக்குழு, இசைக்குழு","ಬ್ಯಾಂಡ್, ಬ್ಯಾಂಡ್, ಬ್ಯಾಂಡ್"
குண்டு வெடிப்பு,ಸ್ಫೋಟ
"வரிசை, கற்றை, கரை, கரை, கடற்கரை","ವ್ಯೂಹ, ಕಿರಣ, ತೀರ, ದಂಡೆ, ಕರಾವಳಿ"
