English,Odiya
Address effective,ଠିକଣା ପ୍ରଭାବଶାଳୀ |
Address field,ଠିକଣା କ୍ଷେତ୍ର
Address format,ଠିକଣା ଫର୍ମାଟ୍
Address free program,ଠିକଣା ମାଗଣା ପ୍ରୋଗ୍ରାମ୍ |
Addressing,ଠିକଣା
Addressing  Character,ଠିକଣା  ବର୍ଣ୍ଣ
Addressing interrupt,ବାଧା ଠିକଣା
Addressing loop,ଲୁପ୍ ଠିକଣା
Addressing virtual memory,ଭର୍ଚୁଆଲ୍ ମେମୋରୀ ଠିକଣା
Address interlacing,ଠିକଣା ଅନ୍ତରାପଳୀ
Addressless instruction format,ଠିକଣାହୀନ ନିର୍ଦ୍ଦେଶ ଫର୍ମାଟ୍ |
Address line,ଠିକଣା ରେଖା
Address mapping,ଠିକଣା ମ୍ୟାପିଙ୍ଗ
Address mark,ଠିକଣା ଚିହ୍ନ
Address modification,ଠିକଣା ପରିବର୍ତ୍ତନ
Address part,ଠିକଣା ଅଂଶ
Address pointer,ଠିକଣା ସୂଚକ
Address register,ଠିକଣା ରେଜିଷ୍ଟର |
Address signal,ଠିକଣା ସଙ୍କେତ
Address size,ଠିକଣା ଆକାର
Address space,ଠିକଣା ସ୍ଥାନ
Address space identifier,ଠିକଣା ସ୍ପେସ୍ ପରିଚାୟକ |
Address stop,ଠିକଣା ଷ୍ଟପ୍
Address trace,ଠିକଣା ଚିହ୍ନ
Address track,ଠିକଣା ଟ୍ରାକ୍
Address translation,ଠିକଣା ଅନୁବାଦ
Address translator,ଠିକଣା ଅନୁବାଦକ
Add-subtract time,ଯୋଡନ୍ତୁ-ସବଟ୍ରାକ୍ଟ ଟାଇମ୍ |
Add time,ସମୟ ଯୋଡନ୍ତୁ |
Adjacency,ସଂଲଗ୍ନ
Adjacency structure,ସଂଲଗ୍ନ structure ାଞ୍ଚା |
Adjacent channel,ସଂଲଗ୍ନ ଚ୍ୟାନେଲ |
Adjacent domain,ସଂଲଗ୍ନ ଡୋମେନ୍ |
Adjacent matrix,ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |
Adjacent node,ସଂଲଗ୍ନ ନୋଡ୍ |
Adjacent subarea,ସଂଲଗ୍ନ ସୁବିରା |
Adjoint (system),Adjone (ସିଷ୍ଟମ୍)
Adjust,ଆଡଜଷ୍ଟ କରନ୍ତୁ |
Adjustable extent,ନିୟନ୍ତ୍ରିତ ପରିମାଣ
Adjust text mode,ପାଠ୍ୟ ମୋଡ୍ ଆଡଜଷ୍ଟ କରନ୍ତୁ |
Administrative data processing,ପ୍ରଶାସନିକ ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |
Administrative operation,ପ୍ରଶାସନିକ କାର୍ଯ୍ୟ
Administrative operator,ପ୍ରଶାସନିକ ଅପରେଟର |
Administrative operator station,ପ୍ରଶାସନିକ ଅପରେଟର୍ ଷ୍ଟେସନ୍ |
Administrative support system,ପ୍ରଶାସନିକ ସମର୍ଥନ ସିଷ୍ଟମ୍ |
Advanced communication service,ଉନ୍ନତ ଯୋଗାଯୋଗ ସେବା |
Advanced information system,ଉନ୍ନତ ସୂଚନା ସିଷ୍ଟମ୍ |
Advanced optical character reader,ଅପ୍ଟିକାଲ୍ ବର୍ଣ୍ଣ ରିଡର୍ |
Advanced scientific computer,ଉନ୍ନତ ବ scientific ଜ୍ଞାନିକ କମ୍ପ୍ୟୁଟର |
Aerial,ବାୟୁ
Aggregate,ସମୁଦାୟ
Aggregate expression,ସମୁଦାୟ ଅଭିବ୍ୟକ୍ତି |
Aiming circle,ଲକ୍ଷ୍ୟ ସର୍କଲ୍ |
Aiming field (= aiming symbol),ଲକ୍ଷ୍ୟ କ୍ଷେତ୍ର (= ଲକ୍ଷ୍ୟ କରୁଥିବା ପ୍ରତୀକ)
Aiming symbol,ଲକ୍ଷ୍ୟମୂଳକ ପ୍ରତୀକ
Airborne computer system,ଏୟାରବୋର୍ନ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ୍ |
Algebraic eigenvalue problem,ବୀଜେବ୍ରିକ୍ ଇଗେନ୍ଭିଲ୍ ସମସ୍ୟା ସମସ୍ୟା |
Algebraic  Integration,ବ el ୍ଜନିକ୍ |  ଏକୀକରଣ
Algebraic language,ବଗିଳିନିକ୍ ଭାଷା |
Algebraic manipulation,ବୀଜେବ୍ରିକ୍ ମନିପୁଲେସନ୍ |
Algebraic manipulation language,Algebric ମନିପୁଲେସନ୍ ଭାଷା |
Algebraic oriented language,ବୀଜେବ୍ରିକ୍ ଆଧାରିତ ଭାଷା |
Algebraic shift,ଆଲଜେବ୍ରିକ୍ ସିଫ୍ଟ |
Algebraic sign convention,ଆଲଜେବ୍ରିକ୍ ଚିହ୍ନ ସମ୍ମିଳନୀ |
Algol,ଆଲଗୋଲ୍ |
Algol feature,ଆଲଗୋଲ ବ feature ଶିଷ୍ଟ୍ୟ |
Algol Programming,Algol ପ୍ରୋଗ୍ରାମିଂ |
Algorithm,ଆଲଗୋରିଦମ
Algorithm associative language,ଆଲଗୋରିଦମ ଆସୋସିଟିଭ୍ ଭାଷା |
Algorithm classification,ଆଲଗୋରିଦମ ବର୍ଗୀକରଣ |
Algorithm complexity,ଆଲଗୋରିଦମ ଜଟିଳତା |
Algorithm computability,ଆଲଗୋରିଦମ ଗଣନା |
Algorithmic analysis,ଆଲଗୋରିଥେମିକ୍ ବିଶ୍ଳେଷଣ |
Algorithmic approach,ଆଲଗୋରିଥମିକ୍ ଆଭିମୁଖ୍ୟ |
Algorithmic language,ଆଲଗୋରିଥମିକ୍ ଭାଷା |
Algorithmic routine,ଆଲଗୋରିଥେମିକ୍ ରୁଟିନ୍ |
Algorithmic theory,ଆଲଗୋରିଥେମିକ୍ ସିଦ୍ଧାନ୍ତ |
Alias,ଛଦ୍ମନାମ
Aliasing,ଛଦ୍ମନାମ
Alias name (= alternative name),ଛଦ୍ମନାମ ନାମ (= ​​ବିକଳ୍ପ ନାମ)
Alignment,ପରିଚାଳିତ
Allocate,ବଣ୍ଟନ କରନ୍ତୁ |
Allocation structure,ଆବଣ୍ଟନ ସଂରଚନା |
All-purpose computer,ସମସ୍ତ ଉଦ୍ଦେଶ୍ୟମୂଳକ କମ୍ପ୍ୟୁଟର |
Alphabetic character,ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ
Alphabetic character set,ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ ସେଟ୍ |
Alphabetic character subset,ବର୍ଣ୍ଣମାଳା ଅକ୍ଷର ସବ୍ |
Alphabetic code,ବର୍ଣ୍ଣମାଳା କୋଡ୍
Alphabetic shift,ବର୍ଣ୍ଣମାଳା ଶିଫ୍ଟ |
Alphabetic string,ବର୍ଣ୍ଣମାଳା ଷ୍ଟ୍ରିଙ୍ଗ୍ |
Alphabetic word,ବର୍ଣ୍ଣମାଳା ଶବ୍ଦ
Alphabetization,ବର୍ଣ୍ଣମାଳା
Alphageometrics,ଆଲଫେମେଟ୍ରିକ୍ସ
Alphameric,ଆଲଫାମ୍
Alphamosaic,ଆଲଫାମାସିକ୍ |
Alphanumeric,ବର୍ଣ୍ଣମାଳା
Alphanumerical keyboard device,ବର୍ଣ୍ଣମାଳା କୀବୋର୍ଡ୍ ଉପକରଣ |
Alphanumeric character set,ବର୍ଣ୍ଣମାଳା ଅକ୍ଷର ସେଟ୍ |
Alphanumeric code,ବର୍ଣ୍ଣମାଳା କୋଡ୍
Alphanumeric coded character set,ବର୍ଣ୍ଣମାଳା କୋଡେଡ୍ ଅକ୍ଷର ସେଟ୍ |
Alphanumeric data,ବର୍ଣ୍ଣମାଳା ତଥ୍ୟ |
Alphanumeric display device,ବର୍ଣ୍ଣମାଳା ପ୍ରଦର୍ଶନ ଉପକରଣ |
Alphanumeric edited character,ବର୍ଣ୍ଣମାଳା ସମ୍ପାଦିତ ବର୍ଣ୍ଣ |
Alphanumeric field,ବର୍ଣ୍ଣମାଳା କ୍ଷେତ୍ର
Alphanumeric instruction,ବର୍ଣ୍ଣମାଳା ନିର୍ଦ୍ଦେଶ
Alphanumeric keyboard,ବର୍ଣ୍ଣମାଳା କୀବୋର୍ଡ୍ |
Alphanumeric sort,ବର୍ଣ୍ଣମାଳା ପ୍ରକାର |
Alphanumeric storage,ବର୍ଣ୍ଣମାଳା ଷ୍ଟୋରେଜ୍ |
Alterable memory,ବିକୃତ ସ୍ମୃତି
Alteration switch,ପରିବର୍ତ୍ତନ ସୁଇଚ୍ |
Altering,ପରିବର୍ତ୍ତନ
Alter mode,ପରିବର୍ତ୍ତନ ମୋଡ୍
Alternate recovery,ଅନ୍ୟ ପୁନରୁଦ୍ଧାର
Alternate route,ବିକଳ୍ପ ମାର୍ଗ
Alternate routing,ଅନ୍ୟ ଧାତାଳ
Alternate track,ବିକଳ୍ପ ଟ୍ରାକ୍
Alternation (= OR operation),ବିକଳ୍ପ (= କିମ୍ବା ଅପରେସନ୍)
Alternative attribute,ବିକଳ୍ପ ଗୁଣ
Alternative denial (= NOT-AND operation),ବିକଳ୍ପ ଅସ୍ୱୀକାର (= ନୁହେଁ-ଏବଂ ଅପରେସନ୍)
Ambiguity error,ଅସ୍ପଷ୍ଟତା ତ୍ରୁଟି |
Ambiguous reference,ଅସ୍ପଷ୍ଟ ରେଫରେନ୍ସ |
Analog,ଆନାଗଲଗ୍ |
Analog adder,ଆନାଗଲ୍ ଆଡର୍ |
Analog channel,ଆନାଗଲ୍ ଚ୍ୟାନେଲ୍ |
Analog computer,ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |
Analog converter,ଆନାଗଲ୍ କନଭର୍ଟର |
Analog data,ଆନାଗଲ୍ ଡାଟା |
Analog divider,ଆନାଗଲ୍ ଡିଭାଇଡର୍ |
Analog facility terminal,ଆନାଗଲ୍ ସୁବିଧା ଟର୍ମିନାଲ୍ |
Analog function  Generator,ଆନାଗଲ୍ ଫଙ୍କସନ୍ |  ଜେନେରେଟର
Analog integration,ଆନାଗଲ୍ ଏକୀକରଣ |
Analog multiplier,ଆନାଗଲ୍ ମଲ୍ଟିୱାର୍ଡ |
Analog programming,ଆନାଗଲ୍ ପ୍ରୋଗ୍ରାମିଂ |
Analog scaling,ଆନାଗଲ୍ ସ୍କେଲିଂ |
Analog signal,ଆନାଗଲ୍ ସିଗନାଲ୍ |
Analog simulation,ଆନାଗଲ୍ ସିମୁଲେସନ୍
Analog switch,ଆନାଗଲ୍ ସୁଇଚ୍ |
Analog system,ଆନାଗୋଲଗ୍ ସିଷ୍ଟମ୍ |
Analog to digital  Converter,ଅନୁରୂପ କରିବାକୁ ଅନୁରୂପ |  Convercer
Analog to digital  Encoder,ଅନୁରୂପ କରିବାକୁ ଅନୁରୂପ |  ଏନକୋଡର୍ |
Analog transmission,ଆନାଗଲ୍ ଟ୍ରାନ୍ସମିସନ୍ |
Analog type,ଆନାଗଲ୍ ପ୍ରକାର |
Analysis block,ବିଶ୍ଳେଷଣ କ୍ଷେତ୍ର
Analysis mode,ବିଶ୍ଳେଷଣ ମୋଡ୍ |
Analytical engine,ଆନାଲିଟିକାଲ୍ ଇଞ୍ଜିନ୍ |
Ancestral task,ପ ancest ତୃକ କାର୍ଯ୍ୟ |
Ancillary equipment,ଆନୁଷଙ୍ଗିକ ଉପକରଣ |
AND,ଏବଂ
AND circuit,ଏବଂ ସର୍କିଟ |
AND element,ଏବଂ ଉପାଦାନ |
AND gate,ଏବଂ ଫାଟକ
AND masking,ଏବଂ ମାସ୍କିଂ |
AND NOT operation (=exclusion,ଏବଂ ଅପରେସନ୍ ନୁହେଁ (= ବହିଷ୍କାର |
AND operation,ଏବଂ ଅପରେସନ୍ |
Annex memory,ଆନେକ୍ସ ମେମୋରୀ |
Annotation,ଟିପ୍ପଣୀ
Annunciator,ଆନୁଷରାତ
Answer back,ଉତ୍ତର ଦିଅ
Answer delay,ବିଳମ୍ବର ଉତ୍ତର ଦିଅ |
Answering time,ସମୟର ଉତ୍ତର ଦେବା
Answer lamp,ଉତ୍ତର ପ୍ରଦୀପ
Answer list,ଉତ୍ତର ତାଲିକା
Answer only,କେବଳ ଉତ୍ତର ଦିଅ
Anticipation mode,ପ୍ରତୀକ୍ଷା ମୋଡ୍ |
Anticipatory buffering,ଆଣ୍ଟିସାଇପେଟୋରୀ ବଫର୍ |
Anticipatory carry,ଆଣ୍ଟିସାଇପେଟୋରୀ ବହନ
Anticipatory paging,ଆଣ୍ଟିସାଇପେଟୋରୀ ପେଜିଂ |
Anticoincidence operation,ଆଣ୍ଟିକୋସିସିସିସିସିସିସିଡିସନ୍ ଅପରେସନ୍ |
Anticoincident element,ଆଣ୍ଟିକିନସିଡିସିଡିସେଡିସିଡି ଉପାଦାନ |
Aperiodic antenna,Ampegoiedent ଆଣ୍ଟେନା |
Aperture card,ଆପେଚର କାର୍ଡ |
Aperture code,ଆପେଚର କୋଡ୍ |
Aperture time,ଆପେଚର ସମୟ |
Appendage,ଅନୁକ୍ରମଣିକା
Appendage task,ଅନୁକ୍ରମଣିକା କାର୍ଯ୍ୟ |
Application developer,ପ୍ରୟୋଗ ବିକାଶକାରୀ |
Application layer,ପ୍ରୟୋଗ ସ୍ତର
Application oriented language,ପ୍ରୟୋଗୀ ଆଧାରିତ ଭାଷା |
Application package,ପ୍ରୟୋଗ ପ୍ୟାକେଜ୍
Application program,ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମ
Application programming,ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ |
Application required language,ପ୍ରୟୋଗ ଆବଶ୍ୟକ ଭାଷା |
Application software,ପ୍ରୟୋଗ ସଫ୍ଟୱେର୍
Applique,ଆପ୍ଲିକ୍
Approximation theory,ଆନୁମାନିକ ସିଦ୍ଧାନ୍ତ |
Arbitrary access,ଇଚ୍ଛାଧୀନ ପ୍ରବେଶ |
Arbitrary sequence computer,ଇଚ୍ଛାଧୀନ କ୍ରମ କମ୍ପ୍ୟୁଟର |
Arbitration,ଆର୍ବିଟ୍ରେସନ୍
Architecture,ସ୍ଥାପତ୍ୟ
Archiving,ଅଭିପାକ୍ଷେତ୍ର
Area code,ଏରିୟା କୋଡ
Area search,କ୍ଷେତ୍ର ସନ୍ଧାନ
Area transfer,କ୍ଷେତ୍ର ସ୍ଥାନାନ୍ତର
Area variable,କ୍ଷେତ୍ର ଭେରିଏବଲ୍
Argument,ଯୁକ୍ତି
Argument address,ଯୁକ୍ତି ଠିକଣା
Argument list,ଯୁକ୍ତି ତାଲିକା
Arithmetical instruction,ଗାଣିତିକ ନିର୍ଦ୍ଦେଶ
Arithmetic and logic unit,ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ |
Arithmetic assignment statement,ଗାଣିତିକ ଆସାଇନମେଣ୍ଟ ଷ୍ଟେଟମେଣ୍ଟ୍ |
Arithmetic check,ଗାଣିତିକ ଯାଞ୍ଚ |
Arithmetic constant,ଗାଣିତିକ ସ୍ଥିର |
Arithmetic conversion,ଗାଣିତିକ ରୂପାନ୍ତର
Arithmetic data,ଗାଣିତିକ ତଥ୍ୟ |
Arithmetic exception,ଗାଣିତିକ ବ୍ୟତିକ୍ରମ |
Arithmetic expression,ଗାଣିତିକ ଅଭିବ୍ୟକ୍ତି |
Arithmetic fixed point,ଗାଣିତିକ ଫିକ୍ସଡ୍ ପଏଣ୍ଟ |
Arithmetic hierarchy,ଗାଣିତିକ ହାଇରାର୍କି |
Arithmetic IF statement,ବେଷ୍ଟମେଟିକ୍ ଯଦି ଷ୍ଟେଟମେଣ୍ଟ୍ |
Arithmetic logic,ଗାଣିତିକ ତର୍କ
Arithmetic logic unit,ଗାଣିତିକ ତର୍କ ଏକକ |
Arithmetic operation,ଗାଣିତିକ ଅପରେସନ୍ |
Arithmetic operator,ଗାଣିତିକ ଅପରେଟର |
Arithmetic overflow,ଗାଣିତିକ ଓଭରଫ୍ଲୋ |
Arithmetic picture data,ଗାଣିତିକ ଚିତ୍ର ତଥ୍ୟ |
Arithmetic precedence,ଗାଣିତିକ ପ୍ରଚାର
Arithmetic primary,ଗାଣିତିକ ପ୍ରାଥମିକ |
Arithmetic register,ଗାଣିତିକ ରେଜିଷ୍ଟର |
Arithmetic relation,ଗାଣିତିକ ସମ୍ପର୍କ |
Arithmetic scan,ଗାଣିତିକ ସ୍କାନ୍ |
Arithmetic section,ଗାଣିତିକ ବିଭାଗ |
Arithmetic shift,ଗାଣିତିକ ଶିଫ୍ଟ |
Arithmetic shifting,ଗାଣିତିକ ସ୍ଥାନାନ୍ତରିତ |
Arithmetic statement,ଗ୍ୟଟିଥେଟିକ୍ ଷ୍ଟେଟମେଣ୍ଟ
Arithmetic term,ଗାଣିତିକ ଶବ୍ଦ
Arithmetic underflow,ଆରିଥମେଟିକ୍ ଅଣ୍ଡରଫ୍ଲୋ |
Arithmetic unit,ଗାଣିତିକ ଏକକ |
Array,ଆରେ
Array bound,ଆରେ ବନ୍ଧା
Array computer,ଆରେ କମ୍ପ୍ୟୁଟର |
Array dimension,ଆରେ ଡାଇମେସନ୍ |
Array element,ଆରେ ଉପାଦାନ
Array expression,ଆରେ ଏକ୍ସପ୍ରେସନ୍ |
Array name,ଆରେ ନାମ
Array of structures,ସଂରଚନାଗୁଡ଼ିକର ଆରେ |
Array printing,ଆରେ ମୁଦ୍ରଣ
Array processing,ଆରେ ପ୍ରକ୍ରିୟାକରଣ |
Array processor,ଆରେ ପ୍ରୋସେସର୍ |
Articulation point,ଆର୍ଟିକ୍ୟୁଲେସନ୍ ପଏଣ୍ଟ |
Artificial cognition,କୃତ୍ରିମ ଜ୍ଞାନ
Artificial intelligence,କୃତ୍ରିମ ବୁଦ୍ଧି
Artificial language,କୃତ୍ରିମ ଭାଷା |
Artificial variable,କୃତ୍ରିମ ଭେରିଏବଲ୍ |
Arts application data bank,କଳା ପ୍ରୟୋଗ ଡାଟା ବ୍ୟାଙ୍କ |
Arts application music,କଳା ପ୍ରୟୋଗ ସଂଗୀତ |
Arts application pattern generation,କଳା ପ୍ରୟୋଗ ନମୁନା ପି generation ଼ି |
Ascender,କୁବିଙ୍ଗ୍ସ
Ascending sort,ଆରୋହଣ ସର୍ଟ |
ASCIL,ଆଷ୍ଟିଲ୍ |
ASCII control character,ASCII ନିୟନ୍ତ୍ରଣ ବର୍ଣ୍ଣ |
ASCII key board,ASCII କି ବୋର୍ଡ |
Aspect,ସର୍ବୋଚ୍ଚ
Aspect and,ଦିଗ ଏବଂ
Assemble,ଏକତ୍ର ହୁଅ
Assembled origin,ଏକତ୍ରିତ ଉତ୍ପତ୍ତି |
Assemble duration,ସମୟ ସମାପ୍ତ କରନ୍ତୁ |
Assembler,ଏକତ୍ରିତ |
Assembler directive,ଏକତ୍ରିତ ନିର୍ଦ୍ଦେଶନାମା |
Assembler facility,ଏକତ୍ରିତ ସୁବିଧା |
