Malayalam,Hindi
"അസൈൻമെന്റ് പ്രശ്നം വാട്ട് ചോദ്യം,",नियतन समस्या वाटपप्रश्न
അക്ഷരമാലാ ക്രമം,अक्षरात्मक संकेत पद्‌धति
അക്ഷരമാലാക്രമം,अक्षरात्मक संप्रतीक
ഇതര കോണുകൾ,एकांतर कोण
"ഇതര ഏകതാനമായ ഇതര രൂപം,",एकांतर समघात प्रत्यावर्ती रूप
ഇതര ഗ്രൂപ്പ്,एकांतर समूह
ഇതര മാട്രിക്സ്,एकांतर आव्यूह
ഇതര പരമ്പര,एकांतर श्रेणी
ഇതര സിദ്ധാന്തം,वैकल्पिक परिकल्पना
ബദൽ ഒപ്റ്റിമം,वैकल्पिक इष्टमत
ഇതര ഫലം,वैकल्पिक परिणाम
അനലോഗ് അക്ക കൺവെർട്ടർ,अनुरूप-अंकीय परिवर्तक
"അനലോഗ് കമ്പ്യൂട്ടർ,",अनुरूप कम्प्यूटर
വിശകലനം,विश्लेषण
സഹവർത്തിത്വ വിശകലനം,सहप्रसरण-विश्लेषण
എണ്ണൽ-വിവര വിശകലനം,गणन-आंकड़ों का विश्लेषण
വ്യതിയാന വിശകലനം,प्रसरण-विश्लेषण
അനലിറ്റിക്കൽ ജ്യാമിതി,विश्लेषिक ज्यामिति
വിശകലന പ്രവർത്തനം,विश्लेषिक फलन
കോൺ,कोण
ടാൻജന്റ് കോൺ,स्पर्श-कोण
വ്യതിചലന കോൺ,विक्षेप-कोण
വിഷാദം ആംഗിൾ,अवनमन-कोण
വ്യതിയാനം കോൺ,विचलन-कोण
ഡിഫ്രാക്ഷൻ ആംഗിൾ,विवर्तन-कोण
എലവേഷൻ കോൺ,उन्नयन-कोण
സംഭവത്തിന്റെ കോൺ,आपतन-कोण
പ്രൊജക്ഷൻ കോൺ,प्रक्षेप-कोण
പ്രതിഫലനത്തിന്റെ കോൺ,परावर्तन-कोण
അപവർത്തന കോൺ,अपवर्तन-कोण
റൊട്ടേഷൻ കോൺ,घूर्णन-कोण
പ്രതിഫലനത്തിന്റെ സമ്പൂർണ്ണ കോൺ,पूर्ण परावर्तन-कोण
കോണീയ ത്വരണം,कोणीय त्वरण
കോണീയ പ്രവേഗം,कोणीय गति
കോണീയ വേഗത,कोणीय चाल
കോണീയ പ്രവേഗം,कोणीय वेग
മോതിര വിരൽ,वलयिका
ഉത്തരം,उत्तर
കൌണ്ടർ ഡെറിവേറ്റീവ്,प्रति-अवकलज
ഐസോമെട്രിക് ഫംഗ്ഷൻ,प्रतिसममित फलन
"കവർ ചെയ്യാവുന്ന, ബാധകമായ, ബാധകമായ","आच्छाद्य, अनु प्रयोज्य, लागू"
"അപേക്ഷ അപേക്ഷ,",अनुप्रयोग उपयोजन
പ്രയോഗിച്ച ഡൈനാമിക് പ്രോഗ്രാമിംഗ്,अनुप्रयुक्त गतिशील प्रोग्रामन
പ്രയോഗിച്ച ജ്യാമിതി,अनुप्रयुक्त ज्यामिति
പ്രയോഗിച്ച ഗണിതശാസ്ത്രം,अनुप्रयुक्त गणित
പ്രയോഗിച്ച സ്ഥിതിവിവരക്കണക്കുകൾ,अनुप्रयुक्त सांख्यिकी
"ഏകദേശം, ഏകദേശം","सन्निकटतः, लगभग"
ഏകദേശം തുടർച്ചയായ പ്രവർത്തനം,सन्निकटतः संतत फलन
"മാക്രോ രീതി, ഏകദേശ രീതി","स्थूल विधि, सन्निकट विधि"
ഏകദേശ പരിഹാരം,सन्निकट हल
ഏകദേശ പ്രശ്നം,सन्निकटन-समस्या
ഏകദേശ സ്വത്ത്,सन्निकटन-गुणधर्म
അഭിരുചി പരീക്ഷ,अभिक्षमता-परीक्षावली
ആർഗോൺ ഡയഗ്രം,आरगाँ आरेख
സ്വമേധയാ,स्वेच्छगहीतृ
"ക്രമരഹിതമായ, ക്രമരഹിതമായ","स्वेच्छ, यादृच्छिक"
ഏകപക്ഷീയമായ സ്ഥിരാങ്കം,स्वेच्छ अचर
സ്വതന്ത്ര ഘടകം,स्वेच्छ अवयव
ഏകപക്ഷീയമായ പോയിന്റ്,स्वेच्छ बिन्दु
ആർക്കിമിഡീസിന്റെ നിയമം,आर्किमीडी नियम
ആർക്കിമിഡീസിന്റെ നിയമം,आर्किमीडीज़ का नियम
"കമാനം നീളം, കമാനം നീളം","चाप-दैर्घ्य, चाप-लम्बाई"
സർക്കിൾ ആർക്ക്,वत्तृ चाप
വിപരീത സൈൻ വിതരണം,प्रतिलोम ज्या बंटन
വിപരീത സൈൻ പരിവർത്തനം,प्रतिलोम ज्या रूपांतरण
"പ്രദേശം, പ്രദേശം","क्षेत्र, क्षेत्रफल"
പ്രാദേശിക കോൺഫിഗറേഷൻ,क्षेत्रीय विन्यास
ഒരു സങ്കീർണ്ണ സംഖ്യയുടെ കോൺ,सम्मिश्र संख्या का कोणांक
ഗണിത അർത്ഥം,समांतर माध्य
ഡിജിറ്റൽ പ്രവർത്തനം,अंकीय संक्रिया
ഡിജിറ്റൽ യൂണിറ്റ്,अंकीय एकक
"കോൺഫിഗറേഷൻ, ക്രമീകരണം","विन्यास, व्यवस्था"
"അറേ, അറേ","व्यूह, सरणी"
കൃത്രിമ ഉപഗ്രഹം,कृत्रिम उपग्रह
കൃത്രിമ വേരിയബിൾ,कृत्रिम चर
കയറാൻ,आरोहण करना
ആരോഹണം,आरोही
മാഗ്നിറ്റ്യൂഡിന്റെ ആരോഹണ ക്രമം,परिमाण का आरोही क्रम
ആരോഹണ ഗ്രേഡ്,आरोही श्रेणी
അസംബ്ലർ ഭാഷ,कोडांतरक भाषा
"അസൈൻമെന്റ് പ്രശ്നം അസൈൻമെന്റ് ചോദ്യം,",नियतन समस्या नियतन प्रश्न
സഹകാരി നിയമം,साहचर्य नियम
ഓപ്പറേറ്റർമാരുടെ അനുബന്ധ നിയമം,संकारकों का साहचर्य नियम
അനുബന്ധ പ്രവർത്തനം,साहचर्य-संक्रिया
കൂട്ടുകെട്ട്,सहचारिता
അർത്ഥമാക്കുന്നത്,कल्पित माध्य
പ്രോബബിലിറ്റി ഡിസ്ട്രിബ്യൂഷൻ അനുമാനിച്ചു,कल्पित प्रायिकता बंटन
"സങ്കല്പിച്ചു, സമ്മതിച്ചു,","कल्पना, गृहीत"
ജ്യോതിഷം,ज्योतिष
"ബഹിരാകാശ എഞ്ചിനീയർ ബഹിരാകാശ എഞ്ചിനീയർ,",अंतरिक्षयानिक इंजीनियर अंतराळी अभियंता
ജ്യോതിശാസ്ത്രജ്ഞൻ*,खगोलज्ञ*
ജ്യോതിശാസ്ത്ര ഘടികാരം,खगोलीय घड़ी
ജ്യോതിശാസ്ത്രം,खगोलिकी
അസമമായ വക്രം,असममित वक्र
അസമമിതി,असममिति
അസിംപ്റ്റോട്ടിക്,अनंतस्पर्शी
വഷളാക്കുന്നു,उपगामी
പുരോഗമന എസ്റ്റിമേറ്റർ,उपगामी दक्ष आकलक
റിട്രോഗ്രേഡ് ബയസ്ഡ് എസ്റ്റിമേറ്റർ,उपगामी अनभिनत आकलक
പിന്തിരിപ്പൻ പെരുമാറ്റം,उपगामी आचरण
ആക്രമണാത്മക വിതരണ പ്രവർത്തനം,उपगामी बंटन-फलन
മുകളിലേക്ക് വ്യാപിച്ചു,उपगामी प्रसार
അന്തരീക്ഷമർദ്ദം,वायु मंडलीय दाब
"ക്രമരഹിതമായി,",यदृच्छया
സ്വത്ത്*,गुण*
ആട്രിബ്യൂട്ട്-സാമ്പിൾ-മെക്കാനിസം,गुण-प्रतिचयन-क्रियाविधि
വർദ്ധിപ്പിച്ച മാട്രിക്സ്,संवर्धित आव्यूह
ഓട്ടോകോറിലേഷൻ കോഫിഫിഷ്യന്റ്,स्वसहसंबंध गुणांक
ഓട്ടോകോറിലേഷൻ ഫംഗ്ഷൻ,स्वसहसंबंध फलन
സഹവർത്തിത്വം,स्वसहप्रसरण
ഓട്ടോമാറ്റിക് കമ്പ്യൂട്ടർ,स्वचालित अभिकलित्र
സ്വയം റിഗ്രഷൻ,स्वसमाश्रयण
സഹായ സമവാക്യം,सहायक समीकरण
ശരാശരി സാമ്പിൾ നമ്പർ വക്രം (MPC കർവ്),माध्य प्रतिदर्श संख्या वक्र (मा.प्र.सं. वक्र)
"സിദ്ധാന്തം, സിദ്ധാന്തം","स्वयंसिद्‌ध, अभिगृहीत"
axiom സമീപനം,अभिगहीती दृष्टिकोण
സംഭാവ്യത സിദ്ധാന്തം,प्रायिकता अभिगृहीत
അച്ചുതണ്ട്,अक्ष
ഭുജാക്ഷ,भुजाक्ष
ഭൂമിയുടെ അച്ചുതണ്ട്,भू-अक्ष
ഭ്രമണ അക്ഷം,परिक्रमण-अक्ष
ഭ്രമണ അക്ഷം,घूर्णन अक्ष
സ്പിൻ അക്ഷം,प्रचक्रण-अक्ष
പോസ്റ്റ് മാറ്റിസ്ഥാപിക്കൽ,पश्च-प्रतिस्थापन
പിന്നീട്,पश्चांतर
തിരികെ ചേർക്കൽ സൂത്രവാക്യം,पश्च अंतर्वेशन-सूत्र
"ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്","तुला, तराजू, संतु लन, शेष, बाकी, संतुलित होना, संतुलित करना"
സമതുലിതമായ ഡിസൈൻ,संतुलित अभिकल्पना
ബാലൻസ് ഷീറ്റ്,तुलन-पत्र
മിസൈൽ,प्रक्षेपास्त्र
"ബാലിസ്റ്റിക്സ്, ആയുധം","प्राक्षेपिकी, अस्त्र विज्ञान"
"നിര, വടി, കോബ്, ബാർ, ബാർ, ബാർ, ബാർ, ബാർ, ബാർ, ലൈൻ, ലൈൻ, ടെസ്റ്റ് ലൈൻ, എഡ്ജ്","स्तंभ, शलाका, सिल, सिल्ली, दंड, छड़, पट्टी, रोधिका, भित्ति, बार, रेखा, रेखिका, परीक्षण रेखा, धार"
"അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം","आधार, क्षारक, अधम, मूल, बेस"
അടിസ്ഥാന കോൺ,आधार कोण
"ലോഗരിതം അടിസ്ഥാനം, ലോഗരിതം അടിസ്ഥാനം","लघुगणक का आधार, लॉगरिथ्म का आधार"
"അടിസ്ഥാന, അടിസ്ഥാന,","आधारी, मूल"
അടിസ്ഥാന യോജിച്ച പരിഹാരം,आधारी सुसंगत हल
അടിസ്ഥാന പരിഹാരം,आधारी हल
അടിസ്ഥാന വേരിയബിൾ,आधारी चर
അടിസ്ഥാനം,आधारक
അടിസ്ഥാന ഘടകം,आधार अवयव
അടിസ്ഥാന മാട്രിക്സ്,आधारी आव्यूह
വെക്റ്റർ സ്ഥലത്തിന്റെ അടിസ്ഥാനം,सदिश समष्टि का आधार
ഉപജനസംഖ്യാ അടിസ്ഥാനം,उपसमष्टि का आधार
സത്യസന്ധമല്ലാത്ത,बेज़-आकल
ബെസ്-റൂൾ,बेज़-नियम
bez-theorem,बेज़-प्रमेय
ബെർണൂലി-വിതരണം,बर्नूली-बंटन
ബെർണൂലി നമ്പറുകൾ,बर्नूली संख्या
ബെർണൂലി പ്രോബബിലിറ്റി ഫംഗ്‌ഷൻ,बर्नूली प्रायिकता-फलन
ബെർണൂലി-സമവാക്യം,बर्नूली-समीकरण
ബെറി ഫംഗ്ഷൻ,बेरी फलन
മികച്ച അഡീഷൻ,श्रेष्ठतम आसंजन
മികച്ച അഡീഷൻ ലൈൻ,श्रेष्ठतम आसंजन रेखा
മികച്ച പരിഹാരം,सर्वोत्तम हल
മികച്ച നുറുങ്ങുകൾ,सर्वोत्तम युक्तियाँ
ബീറ്റ വിതരണം,बीटा बंटन
"പക്ഷപാതം, പക്ഷപാതം","अभिनति, बायस"
പക്ഷപാതപരമായ വിലയിരുത്തൽ,अभिनत आकल
ദ്വിപദ സമവാക്യം,द्विप्रसंवादी समीकरण
ഒറ്റ കവർ,एकैकी आच्छादन
ഒറ്റ കവർ മാപ്പ്,एकैकी आच्छादी प्रतिचित्र
ഒറ്റ കവർ മാപ്പിംഗ്,एकैकी आच्छादी प्रतिचित्रण
ക്വാഡ്രാറ്റിക് ക്വാഡ്രാറ്റിക്,द्विएकघाती समघात
ബിലീനിയർ ഫംഗ്ഷൻ,द्विरैखिक फलन
ബൈലീനിയർ ഹെർമിഷ്യൻ ഹോമോജെനിറ്റി,द्विरैखिक हर्मिटीय समघात
"ദ്വി-വേരിയബിൾ, ബൈനറി, ഡ്യുവൽ","द्वि-चर, द्वि-आधारी, द्वयी"
"ബൈനറി കോഡ്, ബൈനറി കോഡ്","द्वि-आधारी कोड, द्विआधारी कूट"
"ബൈനറി കോഡ് ചെയ്ത ദശാംശം, ബൈനറി കോഡഡ് ദശാംശം","द्वि-आधारी कूट दशमलव, द्वि-आधारी कोडित दशमलव"
ബൈനറി എൻകോഡിംഗ്,द्वि-आधारी कूटलेखन
ബൈനറി കമ്പ്യൂട്ടർ,द्वि-आधारी अभिकलित्र
ബൈനറി അക്കങ്ങൾ,द्वि-आधारी अंक
ബൈനറി പ്രവർത്തനം,द्विआधारी संक्रिया
ബൈനറി രീതി,द्विआधारी पद्‌धति
ബൈനറി വേരിയബിൾ,द्विआधारी चर
ദ്വിപദ ഗുണകം,द्विपद गुणांक
ദ്വിപദ വിതരണം,द्विपद बंटन
ദ്വിപദ സമവാക്യം,द्विपद समीकरण
ദ്വിപദ വ്യത്യാസം,द्विपद प्रसरण
ദ്വിപദ പദപ്രയോഗം,द्विपद व्यंजक
ബൈനോമിയൽ റാൻഡം വേരിയബിൾ,द्विपद यादृच्छिक चर
ദ്വിപദ സിദ്ധാന്തം,द्विपद-प्रमेय
"പകുതി, വിഭജനം","अर्धन, द्विभाजन"
"വിഭജന രീതി, സെമിഡിവിഷൻ രീതി","समद्विभाजन विधि, अर्धीकरण विधि"
പകുതി ദ്വിമുഖം,"अर्धक, द्विभाजक"
"ദ്വിപദം, ദ്വിമുഖം","द्विपंक्तिक, द्विश्रेणिक"
"ഡ്വയങ്ക് (ബൈനറി സംഖ്യ), ആനി, ബർമീസ്, തുക്","द्वयंक (द्विआधारी अंक), अणी, बरमी, टूक"
ദ്വിപദ ദ്വിപദ വിതരണം ദ്വിപദം,द्विचर द्विपद-बंटन द्विचल
ദ്വിവസ്ത്ര പരസ്പര ബന്ധ ഗുണകം,द्विचर सहसंबंध गुणांक
ദ്വിവിധ വിതരണം,द्विचर बंटन
bivariate സാധാരണ-വിതരണം,द्विचर प्रसामान्य-बंटन
ബിവെക്ടർ,द्विसदिश
ബോൾട്ട്മാൻ സമവാക്യം,बोल्ट्मान समीकरण
ബൂളിയൻ ബീജഗണിതം*,बूलीय बीजावली*
ബോസ്-ഐൻസ്റ്റീൻ സ്ഥിതിവിവരക്കണക്കുകൾ,बोस-आइन्स्टाइन सांख्यिकी
പരിമിതി നിയന്ത്രണങ്ങൾ,परिसीमा प्रतिबन्ध
അതിർത്തി നില,परिसीमा स्तर
അതിർത്തി രേഖ,परिसीमा रेखा
പരിധി മൂല്യം,परिसीमा मान
അതിർത്തി മൂല്യ പ്രശ്നം,परिसीमा मान समस्या
"പരിമിതമായ പ്രവർത്തനം പരിമിതമായ ഫലം,",परिबद्‌ध फलन परिबद्‌ध फल
"ബൗണ്ടഡ് മാട്രിക്സ്, ബൗണ്ടഡ് മാട്രിക്സ്, ബൗണ്ടഡ് ടേബിൾ,","परिबद्‌ध मैट्रिक्स, परिबद्‌ध आव्यूह परिबद्‌ध सारणी"
"അതിർത്തി പ്രദേശം അതിർത്തി പ്രദേശം,",परिबद्‌ध प्रदेश परिबद्‌ध प्रदेश
"ബൗണ്ടഡ് സെറ്റ് ബൗണ്ടഡ് സെറ്റ്,",परिबद्‌ध समच्चय परिबद्‌ध संच
ബ്രൗണി ചലനം,ब्राउनी गति
കണക്കാക്കാൻ,परिकलन करना
കണക്കുകൂട്ടല്,परिकलन
"കാൽക്കുലേറ്റർ, കാൽക്കുലേറ്റർ","परिकलन-यंत्र, परिकलित्र"
കണക്കുകൂട്ടല്*,परिकलन*
കമ്പ്യൂട്ടേഷണൽ പ്രവർത്തന രീതി,परिकलनात्मक क्रिया विधि
"കാൽക്കുലേറ്റർ, കാൽക്കുലേറ്റർ","परिकलित्र, परिकलक"
"കാൽക്കുലസ്, കാൽക്കുലസ്","कलन, कैलकुलस"
വേരിയൻസ് കാൽക്കുലസ്,विचरण-कलन
കലോറികൾ,कैलोरी
ഭരണം റദ്ദാക്കുക,निरसन नियम
കാനോനിക്കൽ സമവാക്യം,विहित समीकरण
കാനോനിക്കൽ രൂപം,विहित रूप
"കാനോനിക്കൽ മാട്രിക്സ്, കെ കാനോനിക്കൽ മാട്രിക്സ്","विहित मैट्रिक्स, के नानिकल मैट्रिक्स"
കാന്റർ സെറ്റ്,कैन्टर समुच्चय
കാന്റർ ത്രികോണ സെറ്റ്,कैन्टर त्रिआधारी समुच्चय
പരിമിതമായ ഗതാഗത പ്രശ്നം,परिबंधित परिवहन समस्या
കഴിവ്,क्षमता
കാപ്പിലറി ബലം,केशिका-बल
"എണ്ണം നമ്പർ, കാർഡിനൽ നമ്പർ","गणन संख्या, कार्डिनल संख्या"
കാർട്ടിസിയൻ അക്ഷം,कार्तीय अक्ष
കാർട്ടീഷ്യൻ കോർഡിനേറ്റുകൾ,कार्तीय निर्देशांक
കാർട്ടീഷ്യൻ ഉൽപ്പന്നം,कार्तीय गुणन
സെറ്റുകളുടെ കാർട്ടീഷ്യൻ ഗുണനം,समुच्चयों का कार्तीय गुणन
"കേസ് പഠനം, കേസ് പഠനം","केस अध्ययन, वस्तुस्थिति अध्ययन"
ആപത്കരമായ പ്രസംഗം,विपत्तिपूर्ण उच्चावचन
കാറ്ററി,कैटिनरी
കോച്ചി വിതരണം,कौशी बंटन
കൗശിയുടെ സൂത്രം,कौशी सूत्र
കൗശി-ഗുർസാ സിദ്ധാന്തം,कौशी-गूर्सा-प्रमेय
കൗശി-റീമാൻ-ബാൻ,कौशी-रीमान-प्रतिबंध
Cauchy ക്രമം,कौशी अनुक्रम
കൗശി അവിഭാജ്യ,कौशी समाकल
കൗശി പ്രധാന മൂല്യം,कौशी मुख्य-मान
കൗച്ചി ശേഷിക്കുന്ന സിദ്ധാന്തം,कौशी अवशेष प्रमेय
കാൾ-ഹാമിൽട്ടൺ-സിദ്ധാന്തം,कैले-हैमिल्टन-प्रमेय
ആകാശ ശരീരം,"खपिंड, खगोलीय पिंड"
ജ്യോതിശാസ്ത്രപരമായ അളവ്,खगोलीय माप
ആകാശ മെക്കാനിക്സ്,खगोलीय यांत्रिकी
ആകാശ ശരീരം,खगोलीय पिंड
സെൽ ആവൃത്തി,कोशिका बारंबारता
"സെൻസസ്, സെൻസസ്","गणना, जनगणना"
ശതമാനം,शततमक
സെന്റീമീറ്റർ,सेन्टीमीटर
സെന്റീമീറ്റർ-ഗ്രാം-രണ്ടാം രീതി,सेन्टीमीटर-ग्राम-सेकंड पद्‌धति
"കേന്ദ്ര, കേന്ദ്രീകൃത","केन्द्रीय, सकेन्द्र"
കേന്ദ്ര അക്ഷം,केन्द्रीय अक्ष
കേന്ദ്ര വിടവ്,केन्द्रीय अंतर
കേന്ദ്ര വ്യത്യാസ ഫോർമുല,केन्द्रीय अंतर सूत्र
കേന്ദ്ര ഡിഫറൻഷ്യൽ പട്ടിക,केन्द्रीय अंतर सारणी
കേന്ദ്ര പരിധി സിദ്ധാന്തം,केन्द्रीय सीमा प्रमेय
കേന്ദ്ര നിമിഷം,केन्द्रीय आघूर्ण
കേന്ദ്ര റിസോഴ്സ് യൂണിറ്റ്,केन्द्रीय संसाधन एकक
കേന്ദ്ര സഹജാവബോധം,केन्द्रीय प्रवतिृ
കേന്ദ്രം*,केन्द्र*
ഗുരുത്വാകർഷണ കേന്ദ്രം,गुरुत्व-केन्द्र
ഗ്രൂപ്പ് കേന്ദ്രം,समूह-केन्द्र
ബഹുജന കേന്ദ്രം,संहति-केन्द्र
സമമിതിയുടെ കേന്ദ്രം,सममिति-केन्द्र
അപകേന്ദ്ര ബലം,अपकेन्द्री बल
അപകേന്ദ്രബലം,अभिकेन्द्र-बल
"സെൻട്രിപെറ്റൽ മെറിഡിയൻ,",केन्द्रक मध्यगासंपात
ഉറപ്പ്,निश्चितता
cgs രീതി,c.g.s.पद्‌धति
cgs യൂണിറ്റ്,c.g.s.मात्रक
വ്യത്യാസത്തിന്റെ ശൃംഖല,अवकलन का शृंखला नियम
ആകസ്മികമായി,संयोग हेतु
ക്രമരഹിതമായ നീക്കം,सांयोगिक चाल
അച്ചുതണ്ട് ഷിഫ്റ്റ്,अक्ष-परिवर्तन
"അടിസ്ഥാന മാറ്റം പേയാധാര് മാറ്റം,",आधार परिवर्तन पायाधार-बदल
ക്രമമാറ്റം,क्रम परिवर्तन
സ്വഭാവ ഗുണകം,अभिलक्षणिक गुणांक
സ്വഭാവ നിർണ്ണയം,अभिलक्षणिक सारणिक
സ്വഭാവ സമവാക്യം,अभिलक्षण-समीकरण
"സ്വഭാവ പ്രവർത്തനം, സ്വഭാവ പ്രവർത്തനം","अभिलक्षण-फलन, कैरेक्टेरिस्टिक फलन"
ലോഗരിതം പൂർണ്ണസംഖ്യ,लघुगणक का पूर्णांश
"സ്വഭാവ ബഹുപദം,",अभिलक्षणिक बहुपद
സ്വഭാവ മൂല്യം,अभिलक्षणिक मान
സ്വഭാവ വെക്റ്റർ,अभिलक्षणिक सदिश
സ്വഭാവ സമൂഹം,संप्रतीक समुदाय
"ചാർട്ടുകൾ, ചാർട്ടുകൾ,","चार्ट, संचित्र तक्ता"
ചി-സ്ക്വയർ വിതരണം,काई-वर्ग बंटन
ചി-സ്ക്വയർ ഫോർമുല,काई-वर्गं सूत्र
ചി-സ്ക്വയർ ടെസ്റ്റ്,काई-वर्ग परीक्षण
കോർഡ്*,जीवा*
കോർഡ് വിഭജന രീതി,जीवा-द्विभाजन-विधि
എഴുതിയ സന്ദേശം,बीजलिखित संदेश
"പൂജ്യം, സൈഫർ","शून्य, सिफर"
വൃത്തം*,वृत्त*
ഒത്തുചേരൽ വൃത്തം,अभिसरण वत्तृ
സർക്യൂട്ട് മാട്രിക്സ്,परिपथ आव्यूह
"വൃത്താകൃതിയിലുള്ള, വൃത്താകൃതിയിലുള്ള,","वृत्ताकार, वर्तुल"
വൃത്താകൃതിയിലുള്ള അസിംപ്റ്റോട്ടുകൾ,वर्तुल अनंतस्पर्शी
വൃത്താകൃതിയിലുള്ള ചാലകം,वृत्तीय कंडुलिनी
വൃത്താകൃതിയിലുള്ള ചലനം,वर्तुल गति
