Odiya,Kannada
"1. ଖାତା ID, 2 ଆକାଉଣ୍ଟିଂ ପରିଚୟ","1. ಖಾತೆ ಐಡಿ, 2. ಲೆಕ್ಕಪತ್ರ ಗುರುತಿಸುವಿಕೆ"
ଜମାକାରୀ,ಸಂಚಯಕ
"1. ସଠିକତା, 2 ସଠିକତା","1. ನಿಖರತೆ, 2. ನಿಖರತೆ"
ପ୍ରବେଶ,ಪ್ರವೇಶ
ଆକ୍ସେସ୍ କଣ୍ଟ୍ରୋଲ୍ ବାଇଟ୍ |,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್‌ಗಳು
ପ୍ରବେଶ ସୂଚକ,ಪ್ರವೇಶ ಸೂಚಕ
ପ୍ରବେଶ କୀ,ಪ್ರವೇಶ ಕೀ
"1. ଆକ୍ସେସ୍ ମ୍ୟାଟ୍ରିକ୍ସ, 2 ମ୍ୟାଟ୍ରିକ୍ସ ଆକ୍ସେସ୍ କରନ୍ତୁ |","1. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್, 2. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್"
ପ୍ରବେଶ ମୋଡ୍,ಪ್ರವೇಶ ಮೋಡ್
ସୁବିଧା ପ୍ରବେଶ,ಪ್ರವೇಶ ಸವಲತ್ತುಗಳು
ସୁରକ୍ଷା ପ୍ରବେଶ କରନ୍ତୁ |,ಪ್ರವೇಶ ಭದ್ರತೆ
"1. ଆକ୍ସେସ୍ ସର୍ଭର, 2 ସର୍ଭରକୁ ପ୍ରବେଶ କରନ୍ତୁ |","1. ಪ್ರವೇಶ ಸರ್ವರ್, 2. ಪ್ರವೇಶ ಸರ್ವರ್"
ପ୍ରବେଶ ସମୟ,ಪ್ರವೇಶ ಸಮಯ
ସ୍ୱୀକୃତି,ಸ್ವೀಕೃತಿ
ଆକାଶବାଣୀ,ಅಕೌಸ್ಟಿಕ್ಸ್
"1. ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ, 2. ସଂକ୍ଷିପ୍ତକରଣ, 3 ଠାରୁ ଛୋଟ","1. ಸಂಕ್ಷಿಪ್ತ ರೂಪ, 2. ಸಂಕ್ಷೇಪಣ, 3. ನಿಂದ ಚಿಕ್ಕದಾಗಿದೆ"
କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |,ಕ್ರಿಯೆಯ ಸಂದೇಶ
ସକ୍ରିୟ,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା |,ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ
ସକ୍ରିୟ ସଂସ୍କରଣ |,ಸಕ್ರಿಯ ಆವೃತ್ತಿ
acyclic,ಅಸೈಕ್ಲಿಕ್
"1. ଆକାଇକ୍ଲିକ୍ ଗ୍ରାଫ୍, 2 acyclic ଗ୍ରାଫ୍ |","1. ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್, 2. ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್"
ଅଦା କମ୍ପ୍ୟୁଟର ଭାଷା |,ಅದಾ ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ
"1. ଅପ୍ଟିମାଇଜର୍, 2 ଅପ୍ଟିମାଇଜର୍","1. ಆಪ್ಟಿಮೈಜರ್, 2. ಆಪ್ಟಿಮೈಜರ್"
to sum),ಒಟ್ಟು)
ରାଶି ଫାଇଲ୍ |,ಮೊತ್ತದ ಕಡತ
"1. ଯୋଗ କାର୍ଯ୍ୟ, 2 ରାଶି କାର୍ଯ୍ୟ","1. ಸೇರ್ಪಡೆ ಕಾರ್ಯಾಚರಣೆ, 2. ಮೊತ್ತದ ಕಾರ್ಯಾಚರಣೆ"
ଆଡର୍,ಸೇರಿಸುವವನು
ଜାଣନ୍ତୁ |,ಗೊತ್ತು
ଠିକଣା ବସ୍,ವಿಳಾಸ ಬಸ್
ଠିକଣା ଫାଇଲ୍ |,ವಿಳಾಸ ಫೈಲ್
ଠିକଣା ଫର୍ମାଟ୍,ವಿಳಾಸ ಸ್ವರೂಪ
ଠିକଣା ଜେନେରେଟର,ವಿಳಾಸ ಜನರೇಟರ್
ଠିକଣା ରେଖା,ವಿಳಾಸ ಸಾಲು
ଠିକଣା ମ୍ୟାପିଂ,ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್
ଠିକଣା ସୂଚକ,ವಿಳಾಸ ಸೂಚಕ
ଠିକଣା ରେଜିଷ୍ଟର,ವಿಳಾಸ ರಿಜಿಸ್ಟರ್
ଠିକଣା ଭାଙ୍ଗିବା,ವಿಳಾಸ ಸ್ಥಗಿತ
ଠିକଣା ଅନୁବାଦ,ವಿಳಾಸ ಅನುವಾದ
"1. ଠିକଣା ଯୋଗ୍ୟ ସ୍ମୃତି, ୨। ଠିକଣା ସ୍ମୃତି","1. ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಮರಣೆ, 2. ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಮರಣೆ"
ଠିକଣା,ಉದ್ದೇಶಿಸಿ
"1. ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ, 2 ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ |","1. ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡ, 2. ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡ"
ସଂଲଗ୍ନ,ಬಾಂಧವ್ಯ
"1. ପରିଚାଳନା, 2 ନିୟନ୍ତ୍ରଣ","1. ನಿರ್ವಹಣೆ, 2. ನಿಯಂತ್ರಣ"
"1. ପରିଚାଳକ, 2 ନିୟନ୍ତ୍ରକ","1. ಮ್ಯಾನೇಜರ್, 2. ನಿಯಂತ್ರಕ"
ଆଡୋବ ଆକ୍ରୋବାଟ୍ |,ಅಡೋಬ್ ಅಕ್ರೋಬ್ಯಾಟ್
ଆଡୋବ ଫଟୋସପ୍ |,ಅಡೋಬ್ ಫೋಟೋಶಾಪ್
ABAP (ଉନ୍ନତ ବ୍ୟବସାୟ ପ୍ରୋଗ୍ରାମିଂ),ABAP (ಸುಧಾರಿತ ವ್ಯಾಪಾರ ಪ್ರೋಗ್ರಾಮಿಂಗ್)
"1. ଉନ୍ନତ ତଥ୍ୟ, ୨। ଉନ୍ନତ ତଥ୍ୟ","1. ಸುಧಾರಿತ ಡೇಟಾ, 2. ಸುಧಾರಿತ ಡೇಟಾ"
ଉନ୍ନତ ସୂଚନା ପ୍ରଣାଳୀ |,ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ
ଉନ୍ନତ ଜ୍ଞାନକ Technology ଶଳ (AT),ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ (AT)
କାର୍ଯ୍ୟ,ಕ್ರಮ
ଏକୀକରଣ,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
ବାୟୁବାହୀ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ୍ |,ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ
aldus page-make,ಅಲ್ಡಸ್ ಪೇಜ್-ಮೇಕ್
ଆଲର୍ଟ ବାକ୍ସ,ಎಚ್ಚರಿಕೆ ಪೆಟ್ಟಿಗೆ
algol (କମ୍ପ୍ୟୁଟର ଭାଷା),ಅಲ್ಗೋಲ್ (ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ)
"1. ଆଲଗୋରିଦମ, ୨ ଆଲଗୋରିଦମ |","1. ಅಲ್ಗಾರಿದಮ್, 2. ಅಲ್ಗಾರಿದಮ್"
"1. ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ, ୨। ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ |","1. ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ, 2. ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ"
ଆଲଗୋରିଦମ ଦକ୍ଷତା |,ಅಲ್ಗಾರಿದಮ್ ದಕ್ಷತೆ
"1. ଏଲିୟସ୍, ୨ ଡାକନାମ, 3 ଆକା","1. ಎಲಿಯಾಸ್, 2. ಅಡ್ಡಹೆಸರು, 3. ಅಕಾ"
ଶ୍ରେଣୀବଦ୍ଧତା |,ಜೋಡಣೆ
"1. ବଣ୍ଟନ, ୨ ଆବଣ୍ଟନ","1. ಹಂಚಿಕೆ, 2. ಹಂಚಿಕೆ"
"1. ବର୍ଣ୍ଣାନୁକ୍ରମିକ, ୨ ବର୍ଣ୍ଣାନୁକ୍ରମିକ କ୍ରମ |","1. ವರ್ಣಮಾಲೆಯ, 2. ವರ್ಣಮಾಲೆಯ ಪ್ರಕಾರ"
ବର୍ଣ୍ଣମାଳା,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್
"1. ବର୍ଣ୍ଣମାଳା କୀବୋର୍ଡ୍, 2 ବର୍ଣ୍ଣମାଳା କୀବୋର୍ଡ୍ |","1. ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀಬೋರ್ಡ್, 2. ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀಬೋರ್ಡ್"
ଆଲଫା-ପରୀକ୍ଷା (ପ୍ରଥମ ସ୍ତର ପରୀକ୍ଷା),ಆಲ್ಫಾ-ಪರೀಕ್ಷೆ (1 ನೇ ಹಂತದ ಪರೀಕ್ಷೆ)
"1. ଆଲଫା ସଂସ୍କରଣ, ୨ ଆଲଫା ଫର୍ମ |","1. ಆಲ್ಫಾ ಆವೃತ್ತಿ, 2. ಆಲ್ಫಾ ರೂಪ"
alt କି,ಆಲ್ಟ್ ಕೀ
altavista,ಅಲ್ಟಾವಿಸ್ತಾ
ବହୁଗୁଣ,ಬಹುತ್ವ
ଅସ୍ପଷ୍ଟ ବ୍ୟାକରଣ,ಅಸ್ಪಷ್ಟ ವ್ಯಾಕರಣ
ଆମେରିକୀୟ ନ୍ୟାସନାଲ ଷ୍ଟାଣ୍ଡିସ୍ ଇନଷ୍ଟିଚ୍ୟୁଟ୍ (ANSI),ಅಮೇರಿಕನ್ ನ್ಯಾಷನಲ್ ಸ್ಟಾಂಡೀಸ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ (ANSI)
ଆମେରିକୀୟ ଷ୍ଟାଣ୍ଡାର୍ଡ କଟ୍ (ascii),ಅಮೇರಿಕನ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಕಟ್ (ascii)
"1. ଅନୁରୂପ, 2 analog","1. ಸಾದೃಶ್ಯ, 2. ಅನಲಾಗ್"
"1. ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର, 2. ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |","1. ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್, 2. ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್"
"1. ଆନାଗଲ୍ ଡିଭାଇସ୍, 2 analog ଉପକରଣ","1. ಅನಲಾಗ್ ಸಾಧನ, 2. ಅನಲಾಗ್ ಸಾಧನ"
"1. ଆନାଗଲ୍ ମୋଡେମ୍, ୨ ଆନାଗଲ୍ ମୋଡେମ୍ |","1. ಅನಲಾಗ್ ಮೋಡೆಮ್, 2. ಅನಲಾಗ್ ಮೋಡೆಮ್"
ଡିଜିଟାଲ୍ କନଭର୍ଟର ସହିତ ଅନୁରୂପ |,ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್
ଶେଷ (ଡିଜିଟାଲ୍ / ବିମାନ ତର୍କ &#39;ଏବଂ&#39; ବ୍ୟବହୃତ),ಅಂತ್ಯ (ಡಿಜಿಟಲ್/ಪ್ಲೇನ್ ಲಾಜಿಕ್ &#39;ಮತ್ತು&#39; ಬಳಸಲಾಗಿದೆ)
ଶେଷ ସର୍କିଟ |,ಅಂತಿಮ ಸರ್ಕ್ಯೂಟ್
ଶେଷ ଫାଟକ ଏବଂ ଫାଟକ |,ಕೊನೆಯ ಗೇಟ್ ಮತ್ತು ಗೇಟ್
ଶେଷ ନୁହେଁ ଅପରେସନ୍ (ବହିଷ୍କାର),ಮತ್ತು ಕಾರ್ಯಾಚರಣೆಯಲ್ಲ (ಹೊರಗಿಡುವಿಕೆ)
"1. ଆନିମେସନ୍, 2. କମ୍ପନ |","1. ಅನಿಮೇಷನ್, 2. ಕಂಪನ"
ଧ୍ୟାନ ଦିଅନ୍ତୁ,ಸೂಚನೆ
ଅସଙ୍ଗତି |,ಅಸಂಗತತೆ
ପୂର୍ବ,ಹಿಂದಿನ
ଆଶାକର୍ମୀ ପେଜିଂ |,ನಿರೀಕ್ಷಿತ ಪೇಜಿಂಗ್
କାଉଣ୍ଟର-ସିମେଟ୍ରିକ୍ |,ಪ್ರತಿ-ಸಮ್ಮಿತೀಯ
ଆଣ୍ଟିଭାଇରାଲ୍ ପ୍ରୋଗ୍ରାମ୍ |,ಆಂಟಿವೈರಲ್ ಪ್ರೋಗ್ರಾಂ
"1. ଆପଲେଟ୍, 2 ପ୍ରୟୋଗ","1. ಆಪ್ಲೆಟ್, 2. ಅಪ್ಲಿಕೇಶನ್"
ପ୍ରୟୋଗ ବିକାଶକାରୀ |,ಅಪ್ಲಿಕೇಶನ್ ಡೆವಲಪರ್
ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ,ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್
"1. ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ ଇଣ୍ଟରଫେସ୍, 2 ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ ଇଣ୍ଟରଫେସ୍ (API)","1. ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್, 2. ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್ (API)"
ପ୍ରୟୋଗ ସଫ୍ଟୱେର୍,ಅಪ್ಲಿಕೇಶನ್ ಸಾಫ್ಟ್ವೇರ್
ପ୍ରୟୋଗ ଭାଷା,ಅಪ್ಲಿಕೇಶನ್ ಭಾಷೆ
ଆନୁମାନିକ ନୀତି,ಅಂದಾಜು ತತ್ವ
ଗଠନ,ರಚನೆ
କ୍ଷେତ୍ର ସ୍ଥାନାନ୍ତର,ಕ್ಷೇತ್ರ ವರ್ಗಾವಣೆ
"1. ପାରାମିଟର, ସ୍ independent ାଧୀନ ଭେରିଏବଲ୍, 2. କୋଣ","1. ನಿಯತಾಂಕ, ಸ್ವತಂತ್ರ ವೇರಿಯಬಲ್, 2. ಕೋನ"
"1. ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ, ୨। ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ |","1. ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ, 2. ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ"
ଗାଣିତିକ ଯାଞ୍ଚ |,ಅಂಕಗಣಿತದ ಪರಿಶೀಲನೆ
ଗାଣିତିକ ସ୍ଥିର |,ಅಂಕಗಣಿತದ ಸ್ಥಿರ
ଗାଣିତିକ ତଥ୍ୟ,ಅಂಕಗಣಿತದ ಡೇಟಾ
ଗାଣିତିକ ନିର୍ଦ୍ଦେଶ,ಅಂಕಗಣಿತದ ಸೂಚನೆ
ଗାଣିତିକ ଏବଂ ଲଜିକାଲ୍ ୟୁନିଟ୍ (ALU),ಗಣಿತ ಮತ್ತು ತಾರ್ಕಿಕ ಘಟಕ (ALU)
ARPA ନେଟ (RPNet),ARPA ನೆಟ್ (RPNet)
ଆରେ,ಶ್ರೇಣಿ
"1. ଆରେ କ୍ୟାଚ୍, 2 ଆରେ ଗତି, 3 ଆରେ ମେମୋରୀ","1. ರಚನೆಯ ಸಂಗ್ರಹ, 2. ರಚನೆಯ ವೇಗ, 3. ರಚನೆಯ ಮೆಮೊರಿ"
ଆରେ କମ୍ପ୍ୟୁଟର |,ಅರೇ ಕಂಪ್ಯೂಟರ್
ଆରେ ଉପାଦାନ |,ರಚನೆಯ ಅಂಶ
ଆରେ ନାମ,ರಚನೆಯ ಹೆಸರು
ଆରେ ସଞ୍ଚାଳକ,ರಚನೆಯ ಪ್ರೊಸೆಸರ್
ତୀର କି,ಬಾಣದ ಕೀಲಿ
ଚୁକ୍ତି,ಒಪ್ಪಂದ
ଜଙ୍କସନ୍ ପଏଣ୍ଟ |,ಜಂಕ್ಷನ್ ಪಾಯಿಂಟ್
କୃତ୍ରିମ ସଙ୍କୋଚନ |,ಕೃತಕ ಸಂಕೋಚನ
କୃତ୍ରିମ ନିୟନ୍ତ୍ରଣ |,ಕೃತಕ ನಿಯಂತ್ರಣ
କୃତ୍ରିମ ଅର୍ଥ |,ಕೃತಕ ಅರ್ಥದಲ್ಲಿ
ଆରୋହଣ,ಆರೋಹಣ
ଆରୋହଣ କ୍ରମ,ಆರೋಹಣ ರೀತಿಯ
ascii ବର୍ଣ୍ଣମାଳା |,ascii ವರ್ಣಮಾಲೆ
ascii ନିୟନ୍ତ୍ରଣ ପ୍ରତୀକ |,ascii ನಿಯಂತ್ರಣ ಚಿಹ್ನೆ
ascii ଫାଇଲ୍ |,ascii ಫೈಲ್
ascii ଫଣ୍ଟ,ascii ಫಾಂಟ್
ASCII ସ୍ଥାନାନ୍ତର |,ASCII ವರ್ಗಾವಣೆ
ଆନୁମାନିକ ଅନୁପାତ,ಆಕಾರ ಅನುಪಾತ
"1. ଆସ୍ପି, ୨ ASPI","1. ಆಸ್ಪಿ, 2. ASPI"
ଏକ S R କାଲାଡ୍ |,ಎ ಎಸ್ ಆರ್ ಕಲಾದ್
"1. ସ୍ମରଣ, ୨ ଏକତ୍ରିତ, 3 ଏକତ୍ର ହେବା","1. ಸ್ಮರಣೆ, 2. ಜೋಡಣೆ, 3. ಜೋಡಿಸಲು"
"1. ଏକତ୍ରକାରୀ, 2 ସ୍ମରଣୀୟ","1. ಅಸೆಂಬ್ಲರ್, 2. ಜ್ಞಾಪನೆ"
"1. ଏକତ୍ର ହେବା, 2 ସ୍ମରଣ","1. ಜೋಡಿಸುವುದು, 2. ಸ್ಮರಣೆ"
"1. ସ୍ମୃତି ଭାଷା, ୨। ଭାଷା ଏକତ୍ର କରିବା |","1. ಕಂಠಪಾಠ ಭಾಷೆ, 2. ಭಾಷೆ ಜೋಡಣೆ"
ନିଷ୍ଠା,ನಿರ್ಣಯ
"1. ନିର୍ଦ୍ଦିଷ୍ଟ କାର୍ଯ୍ୟ, 2 ଆବଣ୍ଟନ","1. ನಿಗದಿತ ಕೆಲಸ, 2. ಹಂಚಿಕೆ"
ସାଥୀତା,ಒಡನಾಟ
ସହଯୋଗୀ ଠିକଣା,ಸಹಾಯಕ ವಿಳಾಸ
"1. ଆସୋସିଏଟିଭ୍ ମେମୋରୀ, 2 ସହଯୋଗୀ ସ୍ମୃତି","1. ಸಹಾಯಕ ಸ್ಮರಣೆ, 2. ಸಹಾಯಕ ಸ್ಮರಣೆ"
ନକ୍ଷତ୍ର (* ଚିହ୍ନ),ನಕ್ಷತ್ರ ಚಿಹ್ನೆ (* ಚಿಹ್ನೆ)
ଅସୀମିତ |,ಅಸಮ್ಮಿತ
"1. ଅସନ୍ତୁଳିତ, 2 ଅସନ୍ତୁଳିତ |","1. ಅಸಮಕಾಲಿಕ, 2. ಅಸಮಕಾಲಿಕ"
ଅସନ୍ତୁଳିତ ଡିଜିଟାଲ୍ ସବସ୍କ୍ରାଇବର ଲାଇନ (ADSL),ಅಸಮಕಾಲಿಕ ಡಿಜಿಟಲ್ ಚಂದಾದಾರರ ಸಾಲು (ADSL)
ଅସନ୍ତୁଳିତ ସମୟ ବିଭାଗ ମଲ୍ଟିପ୍ଲେସିଙ୍ଗ୍ (ATDM),ಅಸಿಂಕ್ರೊನಸ್ ಟೈಮ್ ಡಿವಿಷನ್ ಮಲ್ಟಿಪ್ಲೆಕ್ಸಿಂಗ್ (ATDM)
ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର |,ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ
ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର ମୋଡ୍ (ଏଟିଏମ୍),ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ ಮೋಡ್ (ATM)
"1. ପରମାଣୁ, ୨ ପରମାନ","1. ಪರಮಾಣು, 2. ಪರಮನ್"
ସଂଲଗ୍ନିତ ଡକ୍ୟୁମେଣ୍ଟ୍ |,ಲಗತ್ತಿಸಲಾದ ಡಾಕ್ಯುಮೆಂಟ್
"1. ସଂଲଗ୍ନ ଫାଇଲ୍ / ମିସାଇଲ୍, 2 ସଂଲଗ୍ନ ଫାଇଲ୍ |","1. ಲಗತ್ತಿಸಲಾದ ಫೈಲ್/ಮಿಸಿಲ್, 2. ಲಗತ್ತಿಸಲಾದ ಕಡತ"
"1. ଆବଦ୍ଧ, 2 ଅନୁବନ୍ଧିତ","1. ಆವರಣ, 2. ಸಂಯೋಜಿತ"
"1. ଗୁଣ, 2 ବିଶେଷତା","1. ಗುಣಲಕ್ಷಣಗಳು, 2. ವಿಶೇಷತೆ"
ଶ୍ରବଣଯୋଗ୍ୟ |,ಶ್ರವ್ಯ
"1. ଅଡିଟ୍ ପ୍ରୋଗ୍ରାମିଂ, 2 ପ୍ରୋଗ୍ରାମିଂ ଅଡିଟ୍ କରନ୍ତୁ |","1. ಆಡಿಟ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಆಡಿಟ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್"
ଖାତା ଯାଞ୍ଚ |,ಖಾತೆ ಪರಿಶೀಲನೆ
ପଦୋନ୍ନତି,ಪ್ರಚಾರ
ପ୍ରମାଣପତ୍ର ପ୍ରୋଟୋକଲ୍ |,ಪ್ರಮಾಣೀಕರಣ ಪ್ರೋಟೋಕಾಲ್
ଲେଖକ ପଦ୍ଧତି,ಲೇಖಕರ ವಿಧಾನ
"1. ପ୍ରାଧିକରଣ, ୨ ପ୍ରାଧିକରଣ, 3 ଟ୍ରିବ୍ୟୁନାଲ","1. ಪ್ರಾಧಿಕಾರ, 2. ಅಧಿಕಾರ, 3. ನ್ಯಾಯಮಂಡಳಿ"
ଅଟୋ ଅବଷ୍ଟ୍ରାକ୍ଟ |,ಸ್ವಯಂ ಅಮೂರ್ತ
"1. ଅଟୋ ବୁଟିଙ୍ଗ୍, 2 ସେଲ୍ ବୁଟ୍","1. ಸ್ವಯಂ ಬೂಟಿಂಗ್, 2. ಸ್ವಯಂ ಬೂಟ್"
ଅଟୋକ୍ୟାଡ୍ (ଏକ କମ୍ପ୍ୟୁଟର ଭାଷା),ಆಟೋಕ್ಯಾಡ್ (ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ)
ଅଟୋ ଲଗ୍ ଅନ୍ |,ಸ್ವಯಂ ಲಾಗ್-ಆನ್
ଅଟୋମେଟା |,ಸ್ವಯಂಚಾಲಿತ
ସ୍ୱୟଂଚାଳିତ ତତ୍ତ୍। |,ಸ್ವಯಂಚಾಲಿತ ಸಿದ್ಧಾಂತ
ସ୍ୱୟଂଚାଳିତ ଗଣନା,ಸ್ವಯಂಚಾಲಿತ ಲೆಕ್ಕಾಚಾರ
ସ୍ୱୟଂଚାଳିତ ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |,ಸ್ವಯಂಚಾಲಿತ ಡೇಟಾ ಸಂಸ್ಕರಣೆ
ସ୍ୱୟଂଚାଳିତ ତ୍ରୁଟି ସଂଶୋଧନ |,ಸ್ವಯಂಚಾಲಿತ ದೋಷ ತಿದ್ದುಪಡಿ
