Telugu,English
సౌండ్ రికార్డింగ్ యొక్క ఆర్కైవల్ బదిలీ,Archival transfer of sound recording
ఆర్కైవ్స్,Archives
అంకగణిత కోడింగ్,Arithmetic coding
ఆర్మేచర్,Armature
ఆర్మేచర్ వైండింగ్,Armature winding
అమరిక,Array
అరేస్టర్,Arrester
ఉచ్చారణ,Articulation
(= కళాఖండము,Artifact (=artefact)
ఆరోహణ,Ascending
కారక నిష్పత్తి,Aspect ratio
సమీకరించేవాడు,Assembler
వాదన,Assertion
అప్పగింత,Assignment
అసైన్‌మెంట్ ఛానల్,Assignment channel
అసమాన,Asymmetrical
అసమకాలిక,Asynchronous
వాతావరణం,Atmosphere
వాతావరణ నష్టం,Atmospheric loss
వాతావరణ శబ్దం,Atmospheric noise
వాతావరణ పీడనం,Atmospheric pressure
వాతావరణ ప్రచారం,Atmospheric propagation
వాతావరణ రేడియో-వేవ్,Atmospheric radio-wave
వాతావరణం,Atmospherics
అణువు,Atom
అణు నిర్మాణం,Atomic structure
అటాచ్మెంట్,Attachment
అటెన్యుయేషన్,Attenuation
అటెన్యుయేషన్ నష్టం,Attenuation loss
ధ్వని తరంగాల యొక్క అటకన,Attenuation of sound waves
అటెన్యూయేటర్,Attenuator
అటెన్యూయేటర్-ప్యాడ్,Attenuator-pad
విడిబిలిటీ థ్రెషోల్డ్,Audibility threshold
వినగల,Audible
వినగల ఫ్రీక్వెన్సీ,Audible frequency
వినగల స్వరం,Audible tone
వినగల-స్పెక్ట్రం,Audible-spectrum
ప్రేక్షకులు,Audience
ఆడియో,Audio
ఆడియో యాంప్లిఫైయర్,Audio amplifier
ఆడియో ఎనలైజర్,Audio analyzer
ఆడియో ప్రసారం,Audio broadcasting
ఆడియో కేబుల్,Audio cable
ఆడియో గొలుసు,Audio chain
ఆడియో కోడెక్,Audio codec
ఆడియో కుదింపు,Audio compression
ఆడియో కంప్రెసర్,Audio compressor
ఆడియో కన్సోల్,Audio console
ఆడియో వక్రీకరణ,Audio distortion
ఆడియో డైనమిక్ పరిధి,Audio dynamic range
ఆడియో ఫైల్ ఫార్మాట్,Audio file format
ఆడియో ఫ్రేమ్ ఫార్మాట్,Audio frame format
ఆడియో ఫ్రీక్వెన్సీ యాంప్లిఫైయర్,Audio frequency amplifier
ఆడియో ఫ్రీక్వెన్సీ జనరేటర్,Audio frequency generator
ఆడియో ఫ్రీక్వెన్సీ పరిధి,Audio frequency range
ఆడియో ఫ్రీక్వెన్సీ ప్రతిస్పందన,Audio frequency response
ఆడియో పరిమితి,Audio limiter
ఆడియో లైన్,Audio line
ఆడియో మిక్సర్,Audio mixer
ఆడియో మాడ్యులేషన్,Audio modulation
ఆడియో ఓసిలేటర్,Audio oscillator
ఆడియో అవుట్పుట్,Audio output
ఆడియో శక్తి,Audio power
ఆడియో నాణ్యత,Audio quality
ఆడియో సిగ్నల్,Audio signal
ఆడియో సిగ్నల్ ప్రాసెసింగ్,Audio signal processing
ఆడియో స్పెక్ట్రం,Audio spectrum
ఆడియో నిల్వ,Audio storage
ఆడియో సబ్ క్యారియర్,Audio sub-carrier
ఆడియో ట్రాన్స్ఫార్మర్,Audio transformer
ఆడియో ట్రాన్స్మిటర్,Audio transmitter
శ్రవణ/వీడియో కుదింపు,Audio/video compression
ఆడియో-ఫ్రీక్వెన్సీ ఓసిలేటర్,Audio-frequency oscillator
ఆడియో-ఫ్రీక్వెన్సీ సిగ్నల్,Audio-frequency signal
ఆడియోమెట్రీ,Audiometry
ఆడియో-విజువల్ ఎయిడ్,Audio-visual aid
శ్రవణ అవగాహన,Auditory perception
ప్రామాణీకరణ,Authentication
అధీకృత క్యారియర్ ఫ్రీక్వెన్సీ,Authorised carrier frequency
ఆటో క్యాడ్,Auto CAD
ఆటో డయాగ్నస్టిక్స్,Auto diagnostics
ఆటోమేటిక్,Automatic
స్వయంచాలక నియంత్రణ,Automatic control
ఆటోమేటిక్ డిటెక్షన్,Automatic detection
స్వయంచాలక పరికరాలు,Automatic equipment
ఆటోమేటిక్ ఫ్రీక్వెన్సీ కంట్రోల్,Automatic frequency control
ఆటోమేటిక్ లిమిటర్,Automatic limiter
ఆటోమేటిక్ మెషిన్,Automatic machine
ఆటోమేటిక్ ఫేసే నియంత్రణ,Automatic phasae control
ఆటోమేటిక్ పిక్చర్ ట్రాన్స్మిషన్,Automatic picture transmission
ఆటోమేటిక్ ప్లేబ్యాక్,Automatic playback
ఆటోమేటిక్ పవర్ కంట్రోల్,Automatic power control
ఆటోమేటిక్ ప్రోగ్రామింగ్,Automatic programming
ఆటోమేటిక్ రికార్డింగ్,Automatic recording
ఆటోమేటిక్ రీసెట్,Automatic reset
ఆటోమేటిక్ షట్టర్,Automatic shutter
ఆటోమేటిక్ సిస్టమ్,Automatic system
ఆటోమేటిక్ టెలిఫోన్,Automatic telephone
స్వయంచాలక ఉష్ణోగ్రత నియంత్రణ,Automatic temperature control
ఆటోమేటిక్ వోల్టేజ్ రెగ్యులేటర్,Automatic voltage regulator
ఆటోమేటిక్ వాల్యూమ్ కంప్రెసర్,Automatic volume compressor
ఆటోమేటిక్ వాల్యూమ్ కంట్రోల్,Automatic volume control
ఆటోమేటిక్ వాల్యూమ్ ఎక్స్‌పాండర్,Automatic volume expander
ఆటోమేషన్,Automation
ఆటోమేషన్ నియంత్రణ,Automation control
ఆటోమేషన్ ఫ్రీక్వెన్సీ కంట్రోలర్,Automation frequency controller
సహాయక,Auxiliary
సహాయక ఆడియో బస్సు,Auxiliary audio bus
అందుబాటులో ఉన్న శక్తి,Available power
హిమపాతం విచ్ఛిన్నం,Avalanche breakdown
సగటు జీవితం,Average life
సగటు పీడనం,Average pressure
సగటు వేగం,Average speed
స్పిన్ యొక్క అక్షం,Axis of spin
అజిముత్,Azimuth
అజిముత్ కోణం,Azimuth angle
అజిముత్ లోపం,Azimuth error
బ్యాక్ లైట్,Back light
బ్యాక్ ప్రొజెక్షన్,Back projection
వెనుక వోల్టేజ్ (= రివర్స్ వోల్టేజ్),Back voltage (=reverse voltage)
బ్యాక్‌ఫైర్ (ఆర్క్ బ్యాక్),Backfire (arc back)
నేపథ్య కాంతి,Background light
వెనుకవైపు శబ్ధం,Background noise
నేపథ్య ప్రొజెక్షన్,Background projection
బ్యాకప్,Backup
అడ్డుపడే,Baffle
బేకింగ్,Baking
సమతుల్య ఆడియో,Balanced audio
సమతుల్య ఆడియో లైన్,Balanced audio line
సమతుల్య ప్రసార రేఖ,Balanced transmission line
బ్యాలెన్సింగ్,Balancing
బ్యాలస్ట్,Ballast
బ్యాలస్ట్ కారకం,Ballast factor
బలున్,Balun
బ్యాండ్,Band
బ్యాండ్ పాస్ ఫిల్టర్,Band pass filter
బ్యాండ్ సెలెక్టర్,Band selector
బ్యాండ్ విభజన,Band splitting
బ్యాండ్ స్టాప్ ఫిల్టర్,Band stop filter
బ్యాండ్ స్విచ్,Band switch
బ్యాండ్ ట్యూనింగ్,Band tuning
బ్యాండ్‌విడ్త్,Bandwidth
బార్,Bar
బార్ కోడ్,Bar code
బార్ డేటా,Bar data
బేర్ బ్యాండ్,Bare band
బేర్ లాంప్,Bare lamp
బార్న్ డోర్,Barn door
బేస్ బ్యాండ్,Base band
బేస్ బ్యాండ్ సిగ్నల్,Base band signal
బేస్ బ్యాండ్ వ్యవస్థ,Base band system
బేస్ బ్రౌజర్,Base browser
బేస్ కలెక్టర్ జంక్షన్,Base collector junction
బేస్ ఇన్సులేటర్,Base insulator
బాస్,Bass
బాస్ పరిహారం,Bass compensation
బాస్ లౌడ్‌స్పీకర్ (వూఫర్),Bass loudspeaker (woofer)
బ్యాచ్ స్కానింగ్,Batch scanning
బ్యాటరీ ఛార్జింగ్,Battery charging
బీమ్,Beam
బీట్,Beat
బీట్ ఫ్రీక్వెన్సీ ఓసిలేటర్,Beat frequency oscillator
బెల్,Bel
బయాస్,Bias
బయాస్ సర్క్యూట్,Bias circuit
బయాస్ ఫ్రీక్వెన్సీ,Bias frequency
బయాస్ వోల్టేజ్,Bias voltage
ఫార్వర్డ్ దిశలో పక్షపాతం,Biased in the forward direction
ద్వి-దిశాత్మక మైక్రోఫోన్,Bi-directional microphone
బిల్‌బోర్డ్,Billboard
బిల్‌బోర్డ్ అప్లికేషన్,Billboard application
ద్వి-మెటాలిక్ మూలకం,Bi-metallic element
బైనరీ,Binary
బైనరీ కోడెడ్ దశాంశం,Binary coded decimal
బైనరీ అంకెలు,Binary digit (bit)
బైనరీ సంఖ్య,Binary number
బైనరల్ హియరింగ్,Binaural hearing
బైనాక్యులర్,Binocular
బయోమెట్రిక్,Biometric
బైపోలార్ ట్రాన్సిస్టర్,Bipolar transistor
బిట్ కేటాయింపు,Bit allocation
బిట్ రేటు,Bit rate
బ్లాక్ & వైట్ టీవీ,Black & white TV
ఖాళీ,Blank
ఖాళీ విరామం,Blanking interval
బ్లాంకింగ్ స్థాయి,Blanking level
బ్లీడర్ రెసిస్టెన్స్,Bleeder resistance
బ్లింపెడ్ కెమెరా,Blimped camera
బ్లైండింగ్ గ్లేర్,Blinding glare
బ్లింక్,Blink
బ్లింకింగ్,Blinking
బ్లాక్ కోడ్,Block code
బ్లాక్ రేఖాచిత్రం,Block diagram
బ్లాక్ ఇంటర్‌లీవ్,Block interleave
కెపాసిటర్ నిరోధించడం,Blocking capacitor
ఓసిలేటర్‌ను నిరోధించడం,Blocking oscillator
బ్లూమ్,Bloom
బ్లో లాంప్,Blow lamp
బ్లో పైప్,Blow pipe
బ్లోవర్,Blower
బ్లూటూత్,Bluetooth
బాడీ కెపాసిటెన్స్,Body capacitance
బుక్‌మార్క్,Bookmark
బూలియన్ బీజగణితం,Boolean algebra
బూమ్,Boom
బూస్ట్,Boost
బూస్టర్,Booster
బూస్టర్ లైట్,Booster light
బూస్టింగ్,Boosting
బూటింగ్,Booting
బూట్స్ట్రాప్,Bootstrap
దిగువ కాంతి,Bottom light
బౌన్స్ లైట్,Bounce light
విచ్ఛిన్నం,Break down
వోల్టేజ్ను విచ్ఛిన్నం చేయండి,Break down voltage
వంతెన మూలకం,Bridge element
బ్రిడ్జ్ రెక్టిఫైయర్,Bridge rectifier
వంతెన ‘టి’ అటెన్యూయేటర్,Bridged ‘T’ attenuator
వంతెన నిర్మాణం,Bridged structure
బ్రిడ్జింగ్,Bridging
బ్రిడ్జింగ్ యాంప్లిఫైయర్,Bridging amplifier
వంతెన నష్టం,Bridging loss
ప్రకాశం,Brightness
ప్రకాశం నియంత్రణ,Brightness control
పెళుసు,Brittle
పెళుసైన పదార్ధం,Brittle substance
బ్రాడ్‌బ్యాండ్,Broadband
బ్రాడ్‌బ్యాండ్ యాంప్లిఫైయర్,Broadband amplifier
బ్రాడ్‌బ్యాండ్ ISDN,Broadband ISDN
బ్రాడ్‌బ్యాండ్ వ్యవస్థ,Broadband system
ప్రసార మరియు కమ్యూనికేషన్ టెక్నాలజీ,Broadcast and communication technology
ప్రసార కవరేజ్,Broadcast coverage
ప్రసార రిసీవర్,Broadcast receiver
ప్రసార సేవా ప్రణాళిక,Broadcast service planning
ప్రసార ట్రాన్స్మిటర్,Broadcast transmitter
బ్రాడ్‌కాస్టర్,Broadcaster
ప్రసారం,Broadcasting
బ్రాడ్కాస్టింగ్ స్టేషన్,Broadcasting station
విరిగింది,Broken
బ్రౌజర్,Browser
బ్రౌజింగ్,Browsing
బుడగ,Bubble
బఫర్,Buffer
బఫర్ యాంప్లిఫైయర్,Buffer amplifier
బఫర్ ట్యూబ్,Buffer tube
బగ్,Bug
అంతర్నిర్మిత యాంటెన్నా,Built-in antenna
బర్నర్,Burner
బర్నింగ్,Burning
పేలుడు లోపం,Burst error
పేలుడు చొప్పించే పల్స్,Burst insertion pulse
పేలుడు దశ,Burst phase
బస్సు,Bus
వ్యాపార నైపుణ్యం,Business intelligence
బజర్,Buzzer
పాస్ ద్వారా,By pass
ఉత్తీర్ణత ద్వారా,By passing
బైపాస్ కండెన్సర్,Bypass condenser
సి,C
సి+ప్రోగ్రామింగ్ భాష,C+programming language
క్యాబినెట్,Cabinet
కేబుల్,Cable
కేబుల్ సమ్మేళనం,Cable compound
కేబుల్ ఈక్వలైజేషన్,Cable equalization
కేబుల్ నష్టం,Cable loss
కాష్,Cache
కాషింగ్,Caching
కాడ్మియం సెల్,Cadmium cell
మెషీన్ లెక్కిస్తోంది,Calculating machine
లెక్కింపు,Calculation
కాలిక్యులేటర్,Calculator
క్రమాంకనం,Calibrate
కాలిపర్స్,Calipers
కేలరీమీటర్,Calorimeter
క్యామ్‌కార్డర్,Camcorder
కెమెరా,Camera
కెమెరా అమరిక,Camera alignment
కెమెరా ఎపర్చరు,Camera aperture
కెమెరా కవరేజ్,Camera coverage
కెమెరా లైనప్,Camera line-up
కెమెరా ట్యూబ్,Camera tube
పందిరి,Canopy
సామర్ధ్యం,Capability
కెపాసిటెన్స్,Capacitance
కెపాసిటివ్ లోడ్,Capacitive load
కెపాసిటివ్ రియాక్టెన్స్,Capacitive reactance
కెపాసిటర్,Capacitor
కెపాసిటర్ ఇన్పుట్ ఫిల్టర్,Capacitor input filter
సామర్థ్యం,Capacity
క్యాప్సూల్,Capsule
శీర్షిక,Caption
సంగ్రహ ప్రభావం,Capture effect
కార్డు,Card
కార్డియోయిడ్,Cardioid
కార్డియోయిడ్ మైక్రోఫోన్,Cardioid microphone
క్యారియర్,Carrier
క్యారియర్ ఫ్రీక్వెన్సీ,Carrier frequency
క్యారియర్ ఫ్రీక్వెన్సీ షిఫ్ట్,Carrier frequency shift
క్యారియర్ శక్తి,Carrier power
క్యారియర్ సెన్స్ సిగ్నల్,Carrier sense signal
క్యారియర్ సున్నితత్వం,Carrier sensitivity
క్యారియర్ విభజన,Carrier separation
క్యారియర్ షిఫ్ట్,Carrier shift
క్యారియర్ స్పేసింగ్,Carrier spacing
క్యారియర్ అణచివేత,Carrier suppression
క్యారియర్ వేవ్,Carrier wave
గుళిక,Cartridge
చెక్కడం,Carving
క్యాస్కేడ్,Cascade
క్యాస్కేడ్ సర్క్యూట్,Cascaded circuit
క్యాసెట్,Cassette
తారాగణం ఇనుము,Cast iron
కాస్టింగ్,Casting
జాబితా,Catalogue
విపత్తు జోక్యం,Catastrophic interference
కాథోడ్,Cathode
కాథోడ్ అనుచరుడు,Cathode follower
కాథోడ్ రెసిస్టర్,Cathode resistor
సెల్‌ఫోన్,Cellphone
సెల్యులార్,Cellular
కేంద్ర నియంత్రణ,Central control
కేంద్ర పౌన frequency పున్యం,Central frequency
సెంట్రల్ ప్రాసెసింగ్ యూనిట్,Central processing unit
కేంద్రీకృత డేటాబేస్,Centralised database
కేంద్రీకృత వ్యవస్థ,Centralised system
సిరామిక్,Ceramic
గది,Chamber
చేంజ్ఓవర్ స్విచ్,Changeover switch
ఛానెల్,Channel
ఛానెల్ ఎన్కోడర్,Channel encoder
ఛానెల్ విభజన,Channel separation
ఛానెల్ అంతరం,Channel spacing
ఛానెల్ స్విచింగ్,Channel switching
లక్షణ ఇంపెడెన్స్,Characteristic impedance
లక్షణాలు,Characteristics
ఛార్జ్ క్యారియర్,Charge carrier
ఛార్జ్ సాంద్రత,Charge density
ఛార్జ్ చేయబడింది,Charged
ఛార్జర్,Charger
ఛార్జింగ్ వోల్టేజ్,Charging voltage
చార్ట్,Chart
చాసిన్,Chasis
చాట్,Chat
చిప్,Chip
చౌక్ కాయిల్,Choke coil
చౌక్ ఇన్పుట్,Choke input
ఛాపర్ యాంప్లిఫైయర్,Chopper amplifier
క్రోమా,Chroma
క్రోమా నమూనా నిర్మాణం,Chroma sampling structure
క్రోమినాన్స్,Chrominance
సినిమాటోగ్రఫీ,Cinematography
సర్క్యూట్,Circuit
సర్క్యూట్ బోర్డ్,Circuit board
సర్క్యూట్ బ్రేకర్,Circuit breaker
సర్క్యూట్ మూలకం,Circuit element
సర్క్యూట్ స్విచింగ్,Circuit switching
సర్క్యూట్రీ,Circuitry
వృత్తాకార కదలిక,Circular motion
వృత్తాకార ధ్రువణత,Circular polarization
వృత్తాకార ఉపగ్రహ కక్ష్య,Circular satellite orbit
వృత్తాకార వేగం,Circular velocity
వృత్తాకార ధ్రువణ యాంటెన్నా,Circularly polarised antenna
వృత్తాకార ధ్రువణ ప్రసారం,Circularly polarised transmission
సర్క్యులేటర్,Circulator
క్లాడింగ్,Cladding
బిగింపు,Clamp
బిగింపు సర్క్యూట్,Clamping circuit
క్లాస్ ఎ ఆపరేషన్,Class A operation
క్లాస్ సి ట్యూన్డ్ యాంప్లిఫైయర్,Class C tuned amplifier
ఉద్గార తరగతి,Class of emission
క్లాసికల్ ఫిజిక్స్,Classical physics
వర్గీకరణ,Classification
శుభ్రపరిచే ఏజెంట్,Cleaning agent
క్లియర్,Clear
ఛానెల్ క్లియర్,Clear channel
క్లిక్ చేయండి,Click
క్లయింట్,Client
