Gujarati,Marathi
ગણતરી,गणना
"કેલ્ક્યુલેટર, કેલ્ક્યુલેટર","कॅल्क्युलेटर, कॅल्क्युलेटर"
ગણતરી*,गणना*
કોમ્પ્યુટેશનલ એક્શન પદ્ધતિ,संगणकीय क्रिया पद्धत
"કેલ્ક્યુલેટર, કેલ્ક્યુલેટર","कॅल्क्युलेटर, कॅल्क्युलेटर"
"કલન, કલન","कॅल्क्युलस, कॅल्क्युलस"
વિભિન્ન કલન,भिन्नता कॅल्क्युलस
કેલરી,कॅलरीज
નિયમ રદ કરો,नियम रद्द करा
પ્રામાણિક સમીકરણ,प्रामाणिक समीकरण
પ્રમાણભૂત સ્વરૂપ,प्रामाणिक फॉर्म
"કેનોનિકલ મેટ્રિક્સ, કેનોનિકલ મેટ્રિક્સ","कॅनॉनिकल मॅट्रिक्स, के कॅनॉनिकल मॅट्रिक्स"
કેન્ટર સેટ,cantor सेट
કેન્ટર ત્રિકોણાકાર સમૂહ,cantor त्रिकोणी संच
પ્રતિબંધિત પરિવહન સમસ્યા,वाहतुकीची अडचण
ક્ષમતા,क्षमता
રુધિરકેશિકા બળ,केशिका शक्ती
"કાઉન્ટ નંબર, કાર્ડિનલ નંબર","संख्या संख्या, मुख्य संख्या"
કાર્ટેશિયન અક્ષ,कार्टेशियन अक्ष
કાર્ટેશિયન કોઓર્ડિનેટ્સ,कार्टेशियन समन्वय
કાર્ટેશિયન ઉત્પાદન,कार्टेशियन उत्पादन
સમૂહોનું કાર્ટેશિયન ગુણાકાર,संचांचे कार्टेशियन गुणाकार
"કેસ સ્ટડી, કેસ સ્ટડી","केस स्टडी, केस स्टडी"
આપત્તિજનક ભાષણ,आपत्तीजनक भाषण
કેટિનરી,कॅटिनरी
કોચી વિતરણ,कॉची वितरण
કૌશીનું સૂત્ર,कौशीचें सूत्र
કૌશી-ગુર્સા-પ્રમેય,कौशी-गुरसा-प्रमेय
કૌશી-રીમેન-બાન,कौशी-रिमन-बॅन
કોચી ક્રમ,कॉची क्रम
કૌશી અભિન્ન,कौशी अभिन्न
કૌશી મુખ્ય-મૂલ્ય,कौशी मुख्य-मूल्य
કોચી શેષ પ્રમેય,कॉची शेष प्रमेय
કેલે-હેમિલ્ટન-પ્રમેય,कॅले-हॅमिल्टन-प्रमेय
અવકાશી પદાર્થ,आकाशीय शरीर
ખગોળશાસ્ત્રીય માપન,खगोलशास्त्रीय मोजमाप
અવકાશી મિકેનિક્સ,खगोलीय यांत्रिकी
અવકાશી પદાર્થ,आकाशीय शरीर
સેલ આવર્તન,सेल वारंवारता
"વસ્તી ગણતરી, વસ્તી ગણતરી","जनगणना, जनगणना"
ટકાવારી,टक्केवारी
સેન્ટીમીટર,सेंटीमीटर
સેન્ટીમીટર-ગ્રામ-સેકન્ડ પદ્ધતિ,सेंटीमीटर-ग्राम-सेकंद पद्धत
"કેન્દ્રિય, કેન્દ્રિત","मध्यवर्ती, केंद्रीत"
કેન્દ્રીય અક્ષ,मध्य अक्ष
કેન્દ્રીય અંતર,मध्यवर्ती अंतर
કેન્દ્રીય તફાવત સૂત્ર,केंद्रीय फरक सूत्र
કેન્દ્રીય વિભેદક કોષ્ટક,केंद्रीय भिन्नता सारणी
કેન્દ્રીય મર્યાદા પ્રમેય,केंद्रीय मर्यादा प्रमेय
કેન્દ્રીય ક્ષણ,मध्यवर्ती क्षण
કેન્દ્રીય સંસાધન એકમ,केंद्रीय संसाधन युनिट
કેન્દ્રીય વૃત્તિ,केंद्रीय अंतःप्रेरणा
કેન્દ્ર*,केंद्र*
ગુરુત્વાકર્ષણ કેન્દ્ર,गुरुत्व मध्यभागी
જૂથ કેન્દ્ર,गट केंद्र
સમૂહ કેન્દ્ર,वस्तुमान केंद्र
સમપ્રમાણતાનું કેન્દ્ર,सममितीचे केंद्र
કેન્દ્રત્યાગી બળ,केंद्रापसारक शक्ती
કેન્દ્રબિંદુ બળ,केंद्राभिमुख शक्ती
"કેન્દ્રિય મેરીડીયન,",मध्यवर्ती मेरिडियन
નિશ્ચિતતા,निश्चितता
cgs પદ્ધતિ,cgs पद्धत
સીજીએસ એકમ,cgs युनिट
ભિન્નતાનો સાંકળ નિયમ,भिन्नतेचा साखळी नियम
તક દ્વારા,दैवयोगाने
રેન્ડમ ચાલ,यादृच्छिक हालचाल
અક્ષ શિફ્ટ,अक्ष शिफ्ट
"આધાર પરિવર્તન પાયધર-પરિવર્તન,",आधार बदल Payadhar-बदल
ક્રમચય,क्रमपरिवर्तन
લાક્ષણિક ગુણાંક,वैशिष्ट्यपूर्ण गुणांक
લાક્ષણિકતા નિર્ણાયક,वैशिष्ट्यपूर्ण निर्धारक
લાક્ષણિક સમીકરણ,वैशिष्ट्यपूर्ण समीकरण
"લાક્ષણિક કાર્ય, લાક્ષણિક કાર્ય","वैशिष्ट्यपूर्ण कार्य, वैशिष्ट्यपूर्ण कार्य"
લઘુગણકનું પૂર્ણાંક,लॉगरिदमची पूर्णांक
"લાક્ષણિક બહુપદી,",वैशिष्ट्यपूर्ण बहुपदी
લાક્ષણિક મૂલ્ય,वैशिष्ट्यपूर्ण मूल्य
લાક્ષણિક વેક્ટર,वैशिष्ट्यपूर्ण वेक्टर
પાત્ર સમુદાય,वर्ण समुदाय
"ચાર્ટ, ચાર્ટ,","तक्ते, तक्ते"
ચી-સ્ક્વેર વિતરણ,ची-स्क्वेअर वितरण
ચી-સ્ક્વેર ફોર્મ્યુલા,ची-स्क्वेअर सूत्र
ચી-સ્ક્વેર ટેસ્ટ,ची-स्क्वेअर चाचणी
તાર*,जीवा*
તાર વિભાજન પદ્ધતિ,जीवा विभाजित करण्याची पद्धत
લેખિત સંદેશ,लिखित संदेश
"શૂન્ય, સાઇફર","शून्य, सायफर"
વર્તુળ*,मंडळ*
કન્વર્જન્સ વર્તુળ,अभिसरण मंडळ
સર્કિટ મેટ્રિક્સ,सर्किट मॅट्रिक्स
"પરિપત્ર, પરિપત્ર,","गोलाकार, गोलाकार"
પરિપત્ર એસિમ્પ્ટોટ્સ,वर्तुळाकार लक्षणे
ગોળાકાર કોન્ડ્યુલાઇન,गोलाकार कंड्युलिन
પરિપત્ર ગતિ,गोलाकार हालचाल
પરિઘ કેન્દ્ર,परिघ
નિવૃત્ત*,सेवानिवृत्त*
"પ્રદક્ષિણા કરવી, આસપાસ દોરવું",प्रदक्षिणा करणे
ભૂતકાળ,भूतकाळ
ઘેરાયેલું,घेरलेले
પ્રખ્યાત કોર્પોરેટ,प्रख्यात कॉर्पोरेट
ક્લાસિક ગતિશીલતા,क्लासिक डायनॅमिक्स
ક્લાસિક ઓપ્ટિમાઇઝેશન,क्लासिक ऑप्टिमायझेशन
ક્રોનિક નાણાકીય સમસ્યા,दीर्घकालीन आर्थिक समस्या
શાસ્ત્રીય આંકડાકીય મિકેનિક્સ,शास्त्रीय सांख्यिकीय यांत्रिकी
ભૂલોનું વર્ગીકરણ,त्रुटींचे वर्गीकरण
વર્ગ અંતરાલ,वर्ग मध्यांतर
વર્ગ અંતરાલ એકમ,वर्ग मध्यांतर युनिट
વર્ગ મર્યાદા,वर्ग मर्यादा
ઘડિયાળની દિશામાં,घड्याळाच्या दिशेने
બંધ,बंद
"બંધ, બંધ","बंद, बंद"
બંધ સ્તર આવરણ,बंद थर कव्हर
બંધ સમઘન,बंद घन
"બંધ વળાંક, બંધ વળાંક","बंद वक्र, बंद वक्र"
બંધ પ્રાંત,बंद प्रांत
બંધ આકાર,बंद आकार
બંધ અંતરાલ,बंद अंतराल
"બંધ પ્રદેશ, બંધ પ્રદેશ","बंद प्रदेश, बंद प्रदेश"
બંધ સેટ,बंद संच
"બંધ પાનું, બંધ પાનું","बंद पान, बंद पान"
નેમેસિસ,नीलमन
pronator,pronator
બહિર્મુખ બિંદુ,बहिर्वक्र बिंदू
કેપ્ટિવ-સ્વીકૃત,बंदिस्त-स्वीकृत
કેપ્ટિવ સેટ,बंदिस्त संच
ક્લસ્ટર પોઇન્ટ,क्लस्टर पॉइंट
ક્લસ્ટર નમૂના,क्लस्टर सॅम्पलिंग
ક્લસ્ટર એકંદર,क्लस्टर एकूण
કોક્સિયલ વર્તુળ,समाक्षीय वर्तुळ
કોક્સિયલ પેરાબોલા,समाक्षीय पॅराबोला
કોક્સિયલ પ્લેન,समाक्षीय विमान
કોક્સિયલ ત્રિકોણ,समाक्षीय त्रिकोण
કોબ-ડગ્લાસ કાર્ય,कोब-डग्लस फंक्शन
"એન્કોડિંગ, કોડિંગ, નોટેશન","एन्कोडिंग, कोडिंग, नोटेशन"
સામગ્રી સંકેત,साहित्य नोटेशन
સહ-પ્રાંત,सह-प्रांत
ગુણાંક મેટ્રિક્સ,गुणांक मॅट्रिक्स
સહસંબંધ ગુણાંક,सहसंबंध गुणांक
નિર્ધારણ ગુણાંક,निर्धार गुणांक
સ્થિતિસ્થાપકતા ગુણાંક,लवचिकता गुणांक
પ્રસરણ ગુણાંક,प्रसार गुणांक
ઘર્ષણ ગુણાંક,घर्षण गुणांक
રેખાંશ વિસ્તરણનો ગુણાંક,अनुदैर्ध्य विस्ताराचे गुणांक
રીગ્રેસન ગુણાંક,प्रतिगमन गुणांक
સપાટીના તાણનો ગુણાંક,पृष्ठभाग तणावाचे गुणांक
વિચલનો ગુણાંક,भिन्नता गुणांक
"સહ-પરિબળ, સહ-પરિબળ, સહ-પરિબળ","सह-घटक, सह-घटक, सह-घटक"
સિક્કો ટૉસ,नाणेफेक
નમૂના સંગ્રહ,नमुना संकलन
સમરેખા,समरेख
ગોઠવણી,संरेखन
"કૉલમ, કૉલમ","स्तंभ, स्तंभ"
સ્તંભત્વ,स्तंभलेखन
સ્તંભાકાર,स्तंभ
