Telugu,Gujarati
యాక్సెస్ పద్ధతి,પ્રવેશ પદ્ધતિ
యాక్సెస్ పద్ధతి దినచర్య,પ્રવેશ -પદ્ધતિ
యాక్సెస్ మోడ్,પ્રવેશ -પદ્ધતિ
హక్కును యాక్సెస్ చేయండి,પ્રવેશ -હક
యాక్సెస్ స్కాన్,પ્રવેશ -સ્કેન
ప్రాప్యత సమయం,પ્રવેશ સમય
అకౌంటింగ్,નામું
అకౌంటింగ్ ఫైనాన్స్ సిస్టమ్,હિસાબ -પદ્ધતિ પદ્ધતિ
అకౌంటింగ్ మెషిన్,હિસાબ -વ્યવસ્થા
ఖాతా సంఖ్య,ખાતા નંબર
పునరుత్పత్తిదారుని కూడబెట్టుకోవడం,સંચયી પ્રજનનકર્તા
సంచితం,એકઠા કરનાર
సంచిత రిజిస్టర్,સંચિત રજિસ્ટર
సంచిత షిఫ్ట్ సూచన,સંચય -પાળી સૂચના
ఖచ్చితత్వం,ચોકસાઈ
ఖచ్చితత్వ నియంత్రణ పాత్ర,ચોકસાઈ નિયંત્રણ
ఖచ్చితత్వ నియంత్రణ వ్యవస్థ,ચોકસાઈ નિયંત્રણ પદ્ધતિ
ఏస్ పైలట్,પાસાનો પાસાનો પો
పాత్రను గుర్తించండి,પાત્ર સ્વીકારવું
ఎకౌస్టిక్ కప్లర్,ધ્વનિકર્તા
శబ్ద కలపడం,ધ્વનિ -જોડાણ
శబ్ద ఆలస్యం రేఖ,ધ્વનિ વિલંબ રેખા
శబ్ద జ్ఞాపకశక్తి,ધ્વનિમૂર્તિ
ఎకౌస్టిక్ మోడెమ్,ધ્વનિ -મોડેમ
శబ్ద సిగ్నల్,ધ્વનિ સંકેત
శబ్ద నిల్వ,ધ્વનિ સંગ્રહ
ఎక్రోనిం,ટૂંકાક્ષર
చర్య,ક્રિયા
చర్య చక్రం,કાર્ય -ચક્ર
యాక్షన్ లైన్,ક્રિયા -રેખ
చర్య సందేశం,ક્રિયા
చర్య స్పెసిఫికేషన్,કાર્ય -સ્પષ્ટીકરણ
క్రియాశీలత,સક્રિય
క్రియాశీల,સક્રિય
యాక్టివ్ ఫైల్,સક્રિય ફાઈલ
యాక్టివ్ లైన్,સક્રિય રેખા
క్రియాశీల లింక్,સક્રિય કડી
యాక్టివ్ మాస్టర్ ఫైల్,સક્રિય માસ્ટર ફાઇલ
యాక్టివ్ మాస్టర్ ఐటెమ్,સક્રિય મુખ્ય વસ્તુ
క్రియాశీల ఉపగ్రహం,સક્રિય ઉપગ્રહ
యాక్టివ్ స్టేషన్,સક્રિય કેન્દ્ર
క్రియాశీల నిల్వ,સક્રિય સંગ્રહ
కార్యాచరణ,પ્રવૃત્તિ
కార్యాచరణ స్థాయి,પ્રવૃત્તિ સ્તરે
కార్యాచరణ లోడింగ్,પ્રવૃત્તિ લોડિંગ
కార్యాచరణ నిష్పత్తి,પ્રવૃત્તિ ગુણોત્તર
వాస్తవ చిరునామా (= సంపూర్ణ చిరునామా),વાસ્તવિક સરનામું (= સંપૂર્ણ સરનામું)
వాస్తవ కోడ్ (= సంపూర్ణ కోడ్),વાસ્તવિક કોડ (= સંપૂર્ણ કોડ)
వాస్తవ డేటా బదిలీ రేటు,વાસ્તવિક ડેટા ટ્રાન્સફર રેટ
వాస్తవ దశాంశ బిందువు,વાસ્તવિક દશાંશ બિંદુ
వాస్తవ సూచన (= ప్రభావవంతమైన సూచన),વાસ્તવિક સૂચના (= અસરકારક સૂચના)
అసలు కీ,ખરેખર ચા
అసలు సమయం,વાસ્તવિક સમય
వాస్తవ పని సమయం,વાસ્તવિક કામનો સમય
సిగ్నల్ యాక్చువేటింగ్,કાર્યકારી સંકેત
అనుకూలత,અનુકૂલનક્ષમતા
అడాప్టర్,અનુકૂલન
అడాప్టివ్ ఛానల్ కేటాయింపు,અનુકૂલનશીલ ચેનલ ફાળવણી
అడాప్టివ్ ఇంటిగ్రేషన్,અનુકૂલનશીલ એકીકરણ
అడాప్టివ్ ట్రాన్స్వర్సల్ ఈక్వలైజర్,અનુકૂલનશીલ બરાબરી
ఎంట్రీ జోడించబడింది,ઉમેરાયેલ નોંધ
అనుబంధం,પરિવર્તન
Adder,પ્રહાર
అడెర్ సబ్‌ట్రాక్టర్,ઉપદેશક
ఫైల్ జోడించండి,ફાઇલ ઉમેરો
అదనపు అక్షరం (= ప్రత్యేక అక్షరం),વધારાના પાત્ર (= વિશેષ પાત્ર)
అదనంగా రికార్డర్,વધારાની રેકોર્ડર
అదనంగా పట్టిక,વધારાનો કોઠો
సంకలిత లక్షణం,ઉમેરણ લક્ષણ
మోడ్‌ను జోడించండి,મોડમાં ઉમેરો
ఆపరేషన్ జోడించండి,કામગીરી ઉમેરો
చిరునామా,સંબોધન
చిరునామా కొలత,સરનામા -માપદંડ
చిరునామా క్షితిజ సమాంతర స్థానం,સરનામું આડી સ્થિતિ
చిరునామా పాయింట్,સંબોધન - બિંદુ
చిరునామా స్థానం,પ્રતિયોગી સ્થિતિ
చిరునామా రిజిస్టర్,સરનામું રજિસ્ટર
చిరునామా నిల్వ,પ્રત્યુત્તરપાત્ર સંગ્રહ
చిరునామా నిలువు స్థానం,સરનાક verભી સ્થિતિ
చిరునామా బస్సు,સરનાવ બસ
చిరునామా కోడ్,સરનામું
చిరునామా కంపారిటర్,સરખામણી કરનાર
చిరునామా గణన,સરનામું
చిరునామా స్థిరాంకం,નિવારણ
చిరునామా మార్పిడి,ધર્મપરિવર્તન
చిరునామా డేటా,માહિતી
చిరునామా మెమరీ,સંબોધિત મેમરી
చిరునామా ప్రభావవంతంగా ఉంటుంది,સંબોધન અસરકારક
చిరునామా ఫీల్డ్,સરનાવનું ક્ષેત્ર
చిరునామా ఆకృతి,સરનાકનું બંધારણ
చిరునామా ఉచిత ప్రోగ్రామ్,મફત કાર્યક્રમ
చిరునామా,સંબોધન
చిరునామా  పాత్ర,સંબોધન  પાત્ર
అంతరాయాన్ని పరిష్కరించడం,સંબોધન
చిరునామా లూప్,સંબોધન
వర్చువల్ మెమరీని పరిష్కరించడం,વર્ચુઅલ મેમરીને સંબોધવા
చిరునామా ఇంటర్లేసింగ్,સરનામું
చిరునామా లేని సూచనల ఆకృతి,સરનામાંહીન સૂચના બંધારણ
చిరునామా లైన్,સરનામા
చిరునామా మ్యాపింగ్,સરનામાંનું નકશો
చిరునామా గుర్తు,સરનાવ
చిరునామా మార్పు,સરનામા -ફેરફાર
చిరునామా భాగం,સરનામા ભાગ
చిరునామా పాయింటర్,સરનાક નિર્દેશક
చిరునామా రిజిస్టర్,સરના નોંધણી
చిరునామా సిగ్నల్,સરનામે સંકેત
చిరునామా పరిమాణం,સરનાવનું કદ
చిరునామా స్థలం,સરનાવની જગ્યા
చిరునామా స్పేస్ ఐడెంటిఫైయర్,સરનામું સ્થાન ઓળખકર્તા
చిరునామా స్టాప్,સરનાવ બંધ
చిరునామా ట్రేస్,સરનામા
చిరునామా ట్రాక్,સરનામા
చిరునామా అనువాదం,અનુવાદ
చిరునామా అనువాదకుడు,અનુવાદક
జోడించు-ఉపశమనం సమయం,સબમટ્રેક્ટ સમય ઉમેરવો
సమయాన్ని జోడించండి,સમય ઉમેરો
ప్రక్కనే,સંલગ્નતા
ప్రక్కనే ఉన్న నిర్మాణం,સંલગ્ન માળખું
ప్రక్కనే ఉన్న ఛానల్,સંલગ્ન માતૃભાષા
ప్రక్కనే ఉన్న డొమైన్,સંલગ્ન ડોમેન
ప్రక్కనే ఉన్న మాతృక,સંલગ્ન મેટ્રિક્સ
ప్రక్కనే ఉన్న నోడ్,સંલગ્ન નોડ
ప్రక్కనే ఉన్న సబ్‌యారియా,સંલગ્ન સુબેરિયા
అడ్జాయింట్ (సిస్టమ్),સંવાદિતા (સિસ્ટમ)
సర్దుబాటు,સમાયોજન કરવું
సర్దుబాటు పరిధి,ગોઠવણપાત્ર હદ
టెక్స్ట్ మోడ్‌ను సర్దుబాటు చేయండి,ટેક્સ્ટ મોડને સમાયોજિત કરો
అడ్మినిస్ట్రేటివ్ డేటా ప్రాసెసింగ్,વહીવટી માહિતી પ્રક્રિયા
పరిపాలనా ఆపరేషన్,વહીવટી કામગીરી
అడ్మినిస్ట్రేటివ్ ఆపరేటర్,વહીવટી operatorપરેટર
అడ్మినిస్ట్రేటివ్ ఆపరేటర్ స్టేషన్,વહીવટી પ્રચાલક
పరిపాలనా మద్దతు వ్యవస్థ,વહીવટી સહાયક પદ્ધતિ
అధునాతన కమ్యూనికేషన్ సేవ,અદ્યતન સંદેશાવ્યવહાર સેવા
అధునాతన సమాచార వ్యవస్థ,અદ્યતન માહિતી પદ્ધતિ
అధునాతనమైన ఆప్టికల్ క్యారెక్టర్ రీడర్,અદ્યતન ઓપ્ટિકલ પાત્ર રીડર
అధునాతన శాస్త్రీయ కంప్యూటర్,અદ્યતન વૈજ્ .ાનિક કમ્પ્યુટર
ఆకాశయాన,હવાઈ
మొత్తం,સમૂહ
మొత్తం వ్యక్తీకరణ,કુલ અભિવ્યક્તિ
లక్ష్య వృత్తం,લક્ષ્યસ્થાન વર્તુળ
లక్ష్యం ఫీల్డ్ (= లక్ష్యం చిహ్నం),લક્ષ્ય ક્ષેત્ર (= લક્ષ્યનું પ્રતીક)
లక్ష్యం చిహ్నం,લક્ષ્યસ્થાન પ્રતીક
వాయుమార్గాన కంప్యూటర్ వ్యవస్థ,હવાઈ ​​કમ્પ્યુટર સિસ્ટમ
బీజగణిత ఈజెన్వాల్యూ సమస్య,બીજગણિત ઇગન્યુલ્યુ સમસ્યા
బీజగణితం  అనుసంధానం,બીજગણિત  એકીકરણ
బీజగణిత భాష,બીજગણિત ભાષા
బీజగణిత మానిప్యులేషన్,બીજગણિત હેરાફેરી
బీజగణిత మానిప్యులేషన్ భాష,બીજગણિત હેરાફેરી ભાષા
బీజగణిత ఆధారిత భాష,બીજગણિત લક્ષી ભાષા
బీజగణిత షిఫ్ట్,બીજગણિત પાળી
బీజగణిత సంకేత సమావేశం,બીજગણિત ચિહ્ન સંમેલન
ఆల్గోల్,શિરચ્છેદ
ఆల్గోల్ ఫీచర్,શીલ લક્ષણ
ఆల్గోల్ ప్రోగ్రామింగ్,અલ્ગોલ કાર્યક્રમ
అల్గోరిథం,અલ્ગોરિધમનો
అల్గోరిథం అసోసియేటివ్ లాంగ్వేజ్,અલ્ગોરિધમનો સહયોગી ભાષા
అల్గోరిథం వర్గీకరణ,અલ્ગોરિધમનો વર્ગીકરણ
అల్గోరిథం సంక్లిష్టత,અલ્ગોરિધમની જટિલતા
అల్గోరిథం కంప్యూటబిలిటీ,અલ્ગોરિધમની ગણતરી
అల్గోరిథమిక్ విశ్లేషణ,અલ્ગોરિધમિક વિશ્લેષણ
అల్గోరిథమిక్ విధానం,અલ્ગોરિધમિક અભિગમ
అల్గోరిథమిక్ భాష,અલ્ગોરિધએમ ભાષા
అల్గోరిథమిక్ దినచర్య,અલ્ગોરિધમનો રૂટિન
అల్గోరిథమిక్ సిద్ధాంతం,અલ્ગોરિધમનો સિદ્ધાંત
అలియాస్,ઉર્ફે
అలియాసింగ్,પરવાના
అలియాస్ పేరు (= ప్రత్యామ్నాయ పేరు),ઉપનામ નામ (= વૈકલ્પિક નામ)
అమరిక,ગોઠવણી
కేటాయించండి,ફાળવવું
కేటాయింపు నిర్మాణం,ફાળવણીનું માળખું
ఆల్-పర్పస్ కంప్యూటర్,હેતુસર કમ્પ્યુટર
అక్షర పాత్ర,વર્ણાનુક્રમ
అక్షర అక్షర సమితి,મૂળાક્ષરોનો પાત્ર સમૂહ
అక్షర అక్షర ఉపసమితి,મૂળાક્ષરો
అక్షర కోడ్,વર્ણાનુક્રમ
అక్షర షిఫ్ట్,વર્ણાનુક્રમ
అక్షర స్ట్రింగ్,વર્ણાનુક્રમ
అక్షర పదం,વર્ણાનુક્રમ
వర్ణమాల,મૂળાક્ષરો
ఆల్ఫాజియోమెట్రిక్స్,અલ્ફેજ ome મેટ્રિક્સ
ఆల్ఫామెరిక్,મૂર્તિમંત
ఆల్ఫామోసాయిక్,મરણોત્તર
ఆల్ఫాన్యూమరిక్,મૂર્તિમંત
ఆల్ఫాన్యూమరికల్ కీబోర్డ్ పరికరం,આલ્ફાન્યુમેરિકલ કીબોર્ડ ડિવાઇસ
ఆల్ఫాన్యూమరిక్ క్యారెక్టర్ సెట్,મૂળાક્ષર
ఆల్ఫాన్యూమరిక్ కోడ్,મૂળાક્ષર
ఆల్ఫాన్యూమరిక్ కోడెడ్ క్యారెక్టర్ సెట్,આલ્ફાન્યુમેરિક કોડેડ પાત્ર સમૂહ
ఆల్ఫాన్యూమరిక్ డేటా,મૂળાક્ષરીનો ડેટા
ఆల్ఫాన్యూమరిక్ డిస్ప్లే పరికరం,આલ્ફાન્યુમેરિક ડિસ્પ્લે ડિવાઇસ
ఆల్ఫాన్యూమరిక్ సవరించిన పాత్ర,મૂળાક્ષર સંપાદિત પાત્ર
ఆల్ఫాన్యూమరిక్ ఫీల్డ్,વર્ણ -ક્ષેત્ર
ఆల్ఫాన్యూమరిక్ ఇన్స్ట్రక్షన్,વર્ણ -સૂચના
ఆల్ఫాన్యూమరిక్ కీబోర్డ్,મૂળાક્ષર કીબોર્ડ
ఆల్ఫాన్యూమరిక్ విధమైన,મૂળાક્ષર
ఆల్ఫాన్యూమరిక్ స్టోరేజ్,મૂળાક્ષર સંગ્રહ
మార్చగల మెమరీ,બદલવા યોગ્ય
మార్పు స్విచ్,ફેરફાર -ફેરૂપ
మార్చడం,પરિવર્તનશીલ
ఆల్టర్ మోడ్,ફેરફાર
ప్రత్యామ్నాయ రికవరీ,વૈકલ્પિક પુન recovery પ્રાપ્તિ
ప్రత్యామ్నాయ మార్గం,વૈકલ્પિક માર્ગ
ప్రత్యామ్నాయ రౌటింగ్,વૈકલ્પિક માર્ગ
ప్రత్యామ్నాయ ట్రాక్,વૈકલ્પિક પાટા
ప్రత్యామ్నాయం (= లేదా ఆపరేషన్),ફેરબદલ (= અથવા કામગીરી)
ప్రత్యామ్నాయ లక్షణం,વૈકલ્પિક લક્ષણ
ప్రత్యామ్నాయ తిరస్కరణ (= మరియు ఆపరేషన్ కాదు),વૈકલ્પિક અસ્વીકાર (= નહીં અને કામગીરી)
అస్పష్టత లోపం,અસ્પષ્ટ ભૂલ
అస్పష్టమైన సూచన,અસ્પષ્ટ સંદર્ભ
అనలాగ్,પ્રાચય
అనలాగ్ యాడర్,એનાશ -ઉપાડનાર
అనలాగ్ ఛానల్,મનોલોત્ર
అనలాగ్ కంప్యూటర్,એનાલોગ કમ્પ્યુટર
అనలాగ్ కన్వర్టర్,એનાશ -રૂપાંતર કરનાર
అనలాగ్ డేటా,મનોજ્ analા આંકડા
అనలాగ్ డివైడర్,એનાશ -વિભાજક
అనలాగ్ ఫెసిలిటీ టెర్మినల్,એનાલોગ સુવિધા ટર્મિન
అనలాగ్ ఫంక్షన్  జనరేటర్,મનોલોગ કાર્ય  જનરેટર
అనలాగ్ ఇంటిగ్రేషన్,મનોરોગ એકીકરણ
అనలాగ్ గుణకం,એનાલ -ગુણાકાર
అనలాగ్ ప్రోగ్రామింగ్,એનાશિક કાર્યક્રમ
అనలాగ్ స్కేలింగ్,એનાલ -સ્તનપાન
అనలాగ్ సిగ్నల్,એનાલોગ સંકેત
అనలాగ్ అనుకరణ,એનાશ સિમ્યુલેશન
అనలాగ్ స్విచ్,એનાશ -સ્વીચ
అనలాగ్ వ్యవస్థ,પ્રાકૃતિક પદ્ધતિ
డిజిటల్‌కు అనలాగ్  కన్వర్టర్,ડિજિટલથી એનાલોગ  એકત્રીકરણ કરનાર
డిజిటల్‌కు అనలాగ్  ఎన్కోడర్,ડિજિટલથી એનાલોગ  એન્કોડર
అనలాగ్ ట్రాన్స్మిషన్,મનોલોગ પ્રસારણ
అనలాగ్ రకం,એનોગ પ્રકાર
విశ్లేషణ బ్లాక్,વિશ્લેષણ -વિધિ
విశ్లేషణ మోడ్,વિશ્લેષણ પદ્ધતિ
విశ్లేషణాత్మక ఇంజిన్,વિશ્લેષણાત્મક
పూర్వీకుల పని,પૂર્વજો
సహాయక పరికరాలు,આનુષંગિક સાધનસામગ્રી
మరియు,અને
మరియు సర్క్యూట్,અને સર્કિટ
మరియు మూలకం,અને
మరియు గేట్,અને દરવાજો
మరియు మాస్కింగ్,અને માસ્કિંગ
మరియు ఆపరేషన్ కాదు (= మినహాయింపు,અને ઓપરેશન નથી (= બાકાત
మరియు ఆపరేషన్,કામગીરી
అనెక్స్ మెమరీ,જોડાણ મેમરી
ఉల్లేఖనం,નોંધણી
అనన్సియేటర్,જાહેરાત કરનાર
తిరిగి సమాధానం ఇవ్వండి,પાછો જવાબ આપો
సమాధానం ఆలస్యం,જવાબ
సమయం సమాధానం,જવાબદાર સમય
సమాధానం దీపం,જવાબ દીવો
జవాబు జాబితా,જવાબ સૂચિ
సమాధానం మాత్రమే,માત્ર
Ntic హించే మోడ్,અપેક્ષા -મોડ
ముందస్తు బఫరింగ్,આગોતરક બફર
ముందస్తు క్యారీ,આગોતરક કેરી
ముందస్తు పేజింగ్,આગોતરી પેજિંગ
ప్రతిస్కందకం ఆపరేషన్,અસત્ય કામગીરી
ప్రతిస్కందకం మూలకం,કૃત્રિમ તત્વ
అపెరియోడిక్ యాంటెన్నా,અતિશય એન્ટેના
ఎపర్చరు కార్డు,છિદ્ર
ఎపర్చరు కోడ్,છિદ્ર
ఎపర్చరు సమయం,છિદ્રનો સમય
అనుబంధం,સંલગ્ન
అనుబంధ పని,સંલગ્ન કાર્ય
అప్లికేషన్ డెవలపర్,અરજી વિકાસકર્તા
అప్లికేషన్ లేయర్,અરજી -સ્તર
అప్లికేషన్ ఓరియెంటెడ్ లాంగ్వేజ్,અરજીલક્ષી ભાષા
అప్లికేషన్ ప్యాకేజీ,અરજી
అప్లికేషన్ ప్రోగ్రామ్,અરજી કાર્યક્રમ
అప్లికేషన్ ప్రోగ్రామింగ్,અરજી કાર્યક્રમ
అప్లికేషన్ అవసరం భాష,અરજી જરૂરી ભાષા
అప్లికేషన్ సాఫ్ట్‌వేర్,એપ્લિકેશન સોફ્ટવેર
అప్లిక్,અનુકૂળ
ఉజ్జాయింపు సిద్ధాంతం,આશરે સિદ્ધાંત
ఏకపక్ష ప్రాప్యత,મનસ્વી પ્રવેશ
ఏకపక్ష సీక్వెన్స్ కంప్యూటర్,મનસ્વી ક્રમ કમ્પ્યુટર
మధ్యవర్తిత్వ,લવાદી
వాస్తుశిల్పం,સ્થાપત્ય
ఆర్కైవింగ్,આર્કા
స్థల సంకేతం,વિસ્તાર કોડ
ప్రాంత శోధన,વિસ્તાર -શોધ
ప్రాంత బదిలీ,વિસ્તાર -તબદીલી
ఏరియా వేరియబుల్,ક્ષેત્રીય
వాదన,દલીલ
ఆర్గ్యుమెంట్ చిరునామా,દલીલ સરનામું
ఆర్గ్యుమెంట్ జాబితా,દલીલ યાદી
అంకగణిత బోధన,અંકગણિત સૂચના
అంకగణిత మరియు అంకగణిత విభాగం,અંકગણિત અને તર્ક એકમ
అంకగణిత అసైన్‌మెంట్ స్టేట్మెంట్,અંકગણિત સોંપણી નિવેદન
అంకగణిత చెక్,અંકગણિત તપાસ
అంకగణిత స్థిరాంకం,ન્યાયશાસ્ત્ર
అంకగణిత మార్పిడి,અંકગણિત
అంకగణిత డేటా,સમાંતરતર ડેટા
అంకగణిత మినహాయింపు,અંકગણિત અપવાદ
అంకగణిత వ్యక్తీకరణ,અંકગણિત અભિવ્યક્તિ
అంకగణిత స్థిర బిందువు,અંકગણિત નિયત બિંદુ
అంకగణిత సోపానక్రమం,અંકગણિત વંશવેલો
అంకగణితం ఉంటే స్టేట్మెంట్,અંકગણિત જો નિવેદન
అంకగణిత తర్కం,ન્યાયશાસ્ત્રનું તર્કશાસ્ત્ર
అంకగణిత లాజిక్ యూనిట్,અંકગણિત તર્ક એકમ
అంకగణిత ఆపరేషన్,ન્યાયશાસ્ત્ર કામગીરી
అంకగణిత ఆపరేటర్,સમેટાં પ્રપણ
అంకగణిత ఓవర్ఫ్లో,અંકગણિત ઓવરફ્લો
అంకగణిత చిత్ర డేటా,અંકગણિત ચિત્ર -માહિતી
అంకగణిత ప్రాధాన్యత,અંકગણિત અગ્રતા
అంకగణిత ప్రాధమిక,અંકગણિત પ્રાથમિક
అంకగణిత రిజిస్టర్,અંકગણિત રજિસ્ટર
అంకగణిత సంబంధం,અંકગણિત સંબંધ
అంకగణిత స్కాన్,અંકગણિત સ્કેન
అంకగణిత విభాగం,અંકગણિત વિભાગ
అంకగణిత మార్పు,અંકગણિત પાળી
అంకగణిత బదిలీ,અંકગણિત
అంకగణిత ప్రకటన,અંકગણિત નિવેદન
అంకగణిత పదం,ન્યાયશાસ્ત્રની મુદત
అంకగణిత అండర్ఫ్లో,અંકગણિત
అంకగణిత యూనిట్,અંકગણિત એકમ
అమరిక,કળ
శ్రేణి బౌండ్,એરે બાઉન્ડ
అర్రే కంప్యూటర్,એરે કમ્પ્યુટર
శ్రేణి పరిమాణం,એરેનું પરિમાણ
శ్రేణి మూలకం,એરે તત્વ
శ్రేణి వ్యక్తీకరణ,અભિવ્યક્તિ
శ్రేణి పేరు,એરે નામ
నిర్మాణాల శ్రేణి,રચના
అర్రే ప్రింటింగ్,એરે મુદ્રણ
శ్రేణి ప్రాసెసింగ్,એરે પ્રક્રિયા
అర్రే ప్రాసెసర్,એરે પ્રોસેસર
ఉచ్చారణ పాయింట్,સ્પષ્ટ મુદ્દો
కృత్రిమ జ్ఞానం,કૃત્રિમ માન્યતા
కృత్రిమ మేధస్సు,કૃત્રિમ બુદ્ધિ
కృత్రిమ భాష,કૃત્રિમ ભાષા
కృత్రిమ వేరియబుల్,કૃત્રિમ ચલ
ఆర్ట్స్ అప్లికేషన్ డేటా బ్యాంక్,કળા -એપ્લિકેશન ડેટા બેંક
ఆర్ట్స్ అప్లికేషన్ మ్యూజిక్,કલાકાર -અરજી
ఆర్ట్స్ అప్లికేషన్ సరళి తరం,કળા -એપ્લિકેશન પેટર્ન જનરેશન
ఆరోహణ,ચડતું
ఆరోహణ క్రమబద్ధీకరణ,ચ ascતો સ .ર્ટ
అస్సిల్,અયોગ્ય
ASCII నియంత్రణ అక్షరం,ASCII નિયંત્રણ પાત્ર
ASCII కీ బోర్డు,ASCII કી બોર્ડ
కారక,દૃષ્ટિ
కారకం మరియు,પાસા અને
సమీకరించటం,ભેગા
సమావేశమైన మూలం,ભેગા થયેલા મૂળ
వ్యవధిని సమీకరించండి,એકત્રીકરણ સમયગાળો
సమీకరించేవాడు,ભેગા કરનાર
సమీకరించే ఆదేశం,એસેમ્બલ નિર્દેશક
సమీకరించే సౌకర్యం,ભેળસેળ કરવાની સુવિધા
సమీకరించే భాష,જોડાયેલી ભાષા
సమీకరించడం,એકત્રીકરણ
సమీకరించే దశ,ભેગા કરવાનો તબક્કો
సమీకరించే సమయాన్ని,એકત્રીકરણ સમય
అసెంబ్లీ,વિધાનસભા
అసెంబ్లీ భాష,સભા
అసెంబ్లీ భాషా ప్రోగ్రామింగ్,સભા ભાષા કાર્યક્રમ
అసెంబ్లీ భాషా సాఫ్ట్‌వేర్ వశ్యత,એસેમ્બલી ભાષા સ software ફ્ટવેર સુગમતા
అసెంబ్లీ జాబితా,સભા સૂચિ
అసెంబ్లీ దశ,સભા તબક્કા
అసెంబ్లీ దినచర్య,વિધાનસભા દિનચર્યા
అసెంబ్లీ సమయం,સભા સમય
అసెంబ్లీ యూనిట్,સભા એકમ
అసైన్‌మెంట్ ఇండెక్సింగ్,સોંપણી અનુક્રમણિકા
అసైన్‌మెంట్ ఆపరేషన్,સોંપણી કામગીરી
అసైన్‌మెంట్ స్టేట్మెంట్,સોંપણી પત્રક
అసోసియేటివ్ చిరునామా,સંલગ્ન સંબોધન
అసోసియేటివ్ అర్రే రిజిస్టర్,સહયોગી એરે રજિસ્ટર
అసోసియేటివ్ కీ,સહ -મુખ્ય
అసోసియేటివ్ లాంగ్వేజ్,એકસમાન ભાષા
అసోసియేటివ్ మెమరీ,સંલગ્ન મેમરી
అసోసియేటివ్ స్టోరేజ్,સંલગ્ન સંગ્રહ
దశాంశ బిందువు,ધારેલો દશાંશ બિંદુ
అసమాన పరికరం,અસમપ્રમાણ ઉપકરણ
అసమాన i/ఓ,અસમપ્રમાણતા I/O
అసమకాలిక,અસુમેળવાળું
అసమకాలిక కంప్యూటర్,અસમકાલીન કમ્પ્યુટર
అసమకాలిక డేటా బదిలీ,અસમકાલીન ડેટા સ્થાનાંતરણ
అసమకాలిక డేటా ట్రాన్స్మిషన్,અસુમેળ ડેટા પ્રસારણ
అసమకాలిక పరికరాలు,અસુમેળ ઉપકરણો
అసమకాలిక ఆపరేషన్,અસુમેળ
అసమకాలిక సిగ్నలింగ్,અસમકાલીન સંકેત
అసమకకరణం,અસુમેળ સમય વિભાગ મલ્ટીપ્લેક્સિંગ
అసమకాలిక ప్రసారం,અસુમેળ
అసమకాలిక పని,અસમકાલીન કાર્યકારી
అటాచ్డ్ ప్రాసెసింగ్,જોડાયેલ પ્રક્રિયા
అటాచ్డ్ ప్రాసెసర్,જોડાયેલ પ્રોસેસર
అటాచ్డ్ సపోర్ట్ ప్రాసెసర్,જોડાયેલ સપોર્ટ પ્રોસેસર
హాజరైన ఆపరేషన్,ઉપસ્થિત કામગીરી
ట్రైల్ ప్రింటర్‌కు హాజరయ్యారు,ઉપસ્થિત ટ્રેઇલ પ્રિંટર
