Bengali,Assamese
অ্যাপ্লিকেশন সফ্টওয়্যার,এপ্লিকেচন চফ্টৱেৰ
অ্যাপ্লিকেশন ভাষা,আবেদন ভাষা
আনুমানিক নীতি,আনুমানিক নীতি
গঠন,গাঁঠনি
ক্ষেত্র স্থানান্তর,ক্ষেত্ৰ স্থানান্তৰ
"1. প্যারামিটার, স্বাধীন পরিবর্তনশীল, 2. কোণ","1. প্ৰাচল, স্বাধীন চলক, 2. কোণ"
"1. পাটিগণিত এবং যুক্তি ইউনিট, 2. পাটিগণিত এবং যুক্তি ইউনিট","1. গাণিতিক আৰু যুক্তি একক, 2. গাণিতিক আৰু যুক্তি একক"
পাটিগণিত পরীক্ষা,গাণিতিক পৰীক্ষা
গাণিতিক ধ্রুবক,গাণিতিক ধ্ৰুৱক
গাণিতিক তথ্য,গাণিতিক তথ্য
গাণিতিক নির্দেশ,গাণিতিক নিৰ্দেশনা
গাণিতিক ও লজিক্যাল ইউনিট (ALU),গাণিতিক আৰু যুক্তিসংগত একক (ALU)
ARPA নেট (RPNet),ARPA নেট (RPNet)
অ্যারে,এৰে
"1. অ্যারে ক্যাশে, 2. অ্যারের গতি, 3. অ্যারে মেমরি","1. এৰে কেচ, 2. এৰেৰ গতি, ৩. এৰে মেমৰি"
অ্যারে কম্পিউটার,এৰে কম্পিউটাৰ
অ্যারে উপাদান,এৰে উপাদান
অ্যারের নাম,এৰেৰ নাম
অ্যারে প্রসেসর,এৰে প্ৰচেছৰ
তীর কী,কাঁড় চিহ্ন
সন্ধি,সন্ধি
সংযোগ বিন্দু,জংচন পইণ্ট
কৃত্রিম কম্প্যাকশন,কৃত্ৰিম সংকোচন
কৃত্রিম নিয়ন্ত্রণ,কৃত্ৰিম নিয়ন্ত্ৰণ
কৃত্রিম অনুভূতি,কৃত্ৰিম ইন্দ্ৰিয়
মাউন্ট,মাউন্ট
আরোহী সাজানোর,আৰোহী সজাই পৰাই তোলা
ascii বর্ণমালা,ascii বৰ্ণমালা
ascii নিয়ন্ত্রণ প্রতীক,ascii নিয়ন্ত্ৰণ চিহ্ন
ascii ফাইল,ascii ফাইল
ascii ফন্ট,ascii ফন্ট
ASCII স্থানান্তর,ASCII স্থানান্তৰ
আনুমানিক অনুপাত,এস্পেক্ট ৰেচিঅ&#39;
"1. Aspy, 2. এএসপিআই","১.এছপি, ২. এ এছ পি আই"
এ এস আর কালাদ,এ এছ আৰ কালাদ
"1. স্মরণ, 2. সমাবেশ, 3. জড় করা","১/ স্মৰণ, ২। একত্ৰিত কৰা, ৩. একত্ৰিত কৰা"
"1. অ্যাসেম্বলার, 2. অনুস্মারক","১.সমাবেশকাৰী, ২. স্মাৰক"
"1. সমাবেশ, 2. স্মরণ","1. একত্ৰিত কৰা, ২. স্মৃতি"
"1. মুখস্থ ভাষা, 2. একত্রিত ভাষা","১/ মুখস্থ কৰা ভাষা, ২. ভাষা একত্ৰিত কৰা"
সংকল্প,সংকল্প
"1. নির্দিষ্ট কাজ, 2. বরাদ্দ","1. নিৰ্দিষ্ট কাম, 2. আবণ্টন"
সাহচর্য,সংগীত্ব
সহযোগী ঠিকানা,সহযোগী ঠিকনা
"1. সহযোগী স্মৃতি, 2. সহযোগী স্মৃতি","১.সংগত স্মৃতি, ২. সহযোগী স্মৃতিশক্তি"
তারকাচিহ্ন (* চিহ্ন),তাৰকা চিহ্ন (* চিহ্ন)
অপ্রতিসম,অসমতাপূৰ্ণ
"1. অ্যাসিঙ্ক্রোনাস, 2. অ্যাসিঙ্ক্রোনাস","1. এচিনক্ৰ&#39;নাছ, 2. এচিনক্ৰ&#39;নাছ"
অ্যাসিঙ্ক্রোনাস ডিজিটাল সাবস্ক্রাইবার লাইন (ADSL),এচিনক্ৰ&#39;নাছ ডিজিটেল গ্ৰাহক লাইন (ADSL)
অ্যাসিঙ্ক্রোনাস টাইম ডিভিশন মাল্টিপ্লেক্সিং (ATDM),এচিংক্ৰ&#39;নাছ সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM)
অ্যাসিঙ্ক্রোনাস স্থানান্তর,এচিনক্ৰ&#39;নাছ স্থানান্তৰ
অ্যাসিঙ্ক্রোনাস ট্রান্সফার মোড (এটিএম),এচিংক্ৰ&#39;নাছ ট্ৰেন্সফাৰ মোড (ATM)
"1. পরমাণু, 2. পরমণ","১.পৰমাণু, ২. পৰমণ"
সংযুক্ত নথি,সংলগ্ন নথিপত্ৰ
"1. সংযুক্ত ফাইল/মিসিল, 2. সংযুক্ত ফাইল","1. সংলগ্ন ফাইল/মিছিল, 2. সংলগ্ন ফাইল"
"1. ঘের, 2. সম্বন্ধযুক্ত","১.আৱৰণ, ২. সংযুক্ত"
"1. বৈশিষ্ট্য, 2. বিশেষত্ব","১.গুণ, ২. বৈশিষ্ট্য"
শ্রবণযোগ্য,শ্ৰৱণযোগ্য
"1. অডিট প্রোগ্রামিং, 2. অডিট প্রোগ্রামিং","1. অডিট প্ৰগ্ৰেমিং, 2. অডিট প্ৰগ্ৰেমিং"
অ্যাকাউন্ট পরীক্ষা,একাউণ্ট পৰীক্ষণ
পদোন্নতি,প্ৰচাৰ
সার্টিফিকেশন প্রোটোকল,প্ৰমাণীকৰণ প্ৰট&#39;কল
রচনা পদ্ধতি,লেখক পদ্ধতি
"1. কর্তৃপক্ষ, 2. কর্তৃপক্ষ, 3. ট্রাইব্যুনাল","১.কৰ্তৃত্ব, ২. কৰ্তৃত্ব, ৩. ন্যায়াধিকৰণ"
স্বয়ংক্রিয় বিমূর্ত,অটো বিমূৰ্ত
"1. অটো বুটিং, 2. স্ব বুট","1. স্বয়ংক্ৰিয় বুটিং, 2. self বুট"
অটোক্যাড (একটি কম্পিউটার ভাষা),AutoCAD (এটা কম্পিউটাৰ ভাষা)
স্বয়ংক্রিয় লগ-অন,স্বয়ংক্ৰিয় লগ-অন
স্বয়ংক্রিয়,automata
স্বয়ংক্রিয় তত্ত্ব,automata তত্ত্ব
স্বয়ংক্রিয় গণনা,স্বয়ংক্ৰিয় গণনা
স্বয়ংক্রিয় তথ্য প্রক্রিয়াকরণ,স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ
স্বয়ংক্রিয় ত্রুটি সংশোধন,স্বয়ংক্ৰিয় ভুল সংশোধন
স্বয়ংক্রিয় ফাংশন,অটো ফাংচন
"1. স্বয়ংক্রিয় সূচীকরণ, 2. স্বয়ংক্রিয় তালিকা","1. স্বয়ংক্ৰিয় সূচীভুক্তকৰণ, 2. স্বয়ংক্ৰিয় তালিকাভুক্তকৰণ"
স্বয়ংক্রিয় সংগ্রহ কল,অটো-সংগ্ৰহ কল
"1. স্বয়ংক্রিয় প্রোগ্রামিং, 2. স্বয়ংক্রিয় প্রোগ্রামিং","1. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং, 2. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং"
"1. স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম, 2. স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম","1. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম, 2. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম"
স্বয়ংক্রিয় রুটিন,অটো ৰুটিন
স্বয়ংক্রিয় সিস্টেম পুনরুদ্ধার,স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ
"1. অটোমেটিক টেলার মেশিন (ATM), 2. নিজে তোলার জন্য ব্যাঙ্ক এটিএম","১/ স্বয়ংক্ৰিয় টেলাৰ মেচিন (এটিএম), ২. স্বয়ং উলিওৱাৰ বাবে বেংকৰ ATM"
অটোমেশন,অটোমেচন
"1. অটোপ্লে, 2. স্বয়ংক্রিয় হাঁটা","1. অটোপ্লে, 2. অটো ৱাক"
কণ্ঠস্বর,কণ্ঠদান
সহকারী,সহায়ক
অক্জিলিয়ারী মেমরি,সহায়ক স্মৃতিশক্তি
অক্জিলিয়ারী স্টোরেজ,সহায়ক সংৰক্ষণ
প্রাপ্তিসাধ্য তালিকা,উপলব্ধ তালিকা
উপলব্ধ সময়,উপলব্ধ সময়
গড়,গড়
AWK (একটি কম্পিউটার কমান্ড),AWK (এটা কম্পিউটাৰ কমাণ্ড)
পরে,পাছত
পোস্ট প্রসেসর,পোষ্ট প্ৰচেছৰ
পোস্টেরিয়র ফাংশন মুছে ফেলা,পশ্চাৎ কাৰ্য্য বিলোপন
পটভূমি প্রক্রিয়াকরণ,পটভূমি প্ৰক্ৰিয়াকৰণ
আনুষঙ্গিক দোকান,আনুষংগিক দোকানসমূহ
ব্যাক প্যাচিং,বেক পেচিং
"1. পশ্চিম, 2. ব্যাকস্পেস","১.পশ্চিম, ২. বেকস্পেচ"
ব্যাকট্র্যাকিং,পিছুৱাই যোৱা
"1. ব্যাক আপ, 2. প্রতিদান","1. বেক-আপ, 2. ৰিইম্বৰ্চেমেণ্ট"
"1. পরিপূরক স্মৃতি, 2. ব্যাক আপ মেমরি","১/ পৰিপূৰক স্মৃতিশক্তি, ২. বেক-আপ মেমৰি"
পিছনে ত্রুটি সংশোধন,পিছলৈ ভুল সংশোধন
(আয়-ব্যয়) ব্যালেন্স শীট,(আয়-ব্যয়) বেলেন্স শ্বীট
ব্যান্ডেজ,পট্টি
"1. ব্যান্ড প্রস্থ, 2. ব্যান্ডউইথ/ক্ষমতা","১.বেণ্ড প্ৰস্থ, ২. বেণ্ডউইডথ/ক্ষমতা"
ব্যাংকারের অ্যালগরিদম,বেংকাৰৰ এলগৰিদম
"1. বার কোড, 2. বার কোড","1. বাৰ ক&#39;ড, 2. বাৰ ক&#39;ড"
বারকোড স্ক্যানার,বাৰক&#39;ড স্ক্যানাৰ
বার গ্রাফ,বাৰ গ্ৰাফ
ভিত্তি ঠিকানা,ভিত্তি ঠিকনা
বেস ব্যান্ড,বেচ বেণ্ড
আধার নম্বর,আধাৰ নম্বৰ
ভিত্তি টেবিল,ভিত্তি টেবুল
বেসিক (একটি কম্পিউটার ভাষা),মূল (এটা কম্পিউটাৰ ভাষা)
"1. মৌলিক নিয়ন্ত্রণ, 2. ভিত্তি নিয়ন্ত্রণ","1. মূল নিয়ন্ত্ৰণ, 2. ভিত্তি নিয়ন্ত্ৰণ"
"1. মূল বিনিয়োগ, 2. ভিত্তি বিনিয়োগ","১/ মূল বিনিয়োগ, ২. ভিত্তি বিনিয়োগ"
মৌলিক নির্দেশ,মূল নিৰ্দেশনা
ভিত্তি সমস্যা,ভিত্তি বিষয়
মৌলিক পর্যায়,মূল পৰ্যায়
"1. ব্যাচ, 2। গ্রুপ, 3। বিপর্যয়","১.বেচ, ২. গোট, ৩. বিপৰ্যয়"
"1. ব্যাচ ফাইল, 2. ব্যাচ ফাইল","1. বেচ ফাইল, 2. বেচ ফাইল"
ব্যাচ অবস্থা,বেচৰ অৱস্থা
"1. ব্যাচ প্রসেসিং, 2. গ্রুপ প্রক্রিয়াকরণ","১.বেচ প্ৰচেছিং, ২. গ্ৰুপ প্ৰচেছিং"
"1. ব্যাচ সিস্টেম, 2. ক্যাটাপল্ট সিস্টেম","1. বেচ ব্যৱস্থা, 2. কেটাপল্ট ব্যৱস্থা"
বউড,baud
বড হার,বড হাৰ
মরীচি মরীচি,ৰশ্মি ৰশ্মি
"1. নির্দেশিকা, 2. ব্যাচ চিহ্ন","1. নিৰ্দেশনা, 2. বেচ মাৰ্ক"
দ্বিমুখী যোগাযোগ,দ্বিমুখী যোগাযোগ
সরাসরি লিঙ্ক,প্ৰত্যক্ষ সংযোগ
বাইনারি কোড,বাইনাৰী ক&#39;ড
বাইনারি সংখ্যা,বাইনাৰী অংক
বাইনারি ইনভেস্টমেন্ট আউটপুট সিস্টেম (BIOS),বাইনাৰী বিনিয়োগ আউটপুট ব্যৱস্থা (BIOS)
বাইনারি সংখ্যা,বাইনাৰী সংখ্যা
বাইনারি অপারেটর,বাইনাৰী অপাৰেটৰ
বাইনারি সম্পর্ক,বাইনাৰী সম্পৰ্ক
বাইনারি অনুসন্ধান,বাইনাৰী সন্ধান
বাইনারি এক্সপ্লোরেশন ট্রি (বিএসটি),বাইনাৰী অন্বেষণ বৃক্ষ (BST)
"1. বাইনারি ট্রান্সফার ট্রি, 2. বাইনারি স্থানান্তর","1. বাইনাৰী স্থানান্তৰ গছ, 2. বাইনাৰী স্থানান্তৰ"
বাইনারি গাছ,বাইনাৰী গছ
"1. বাইপোলার মেমরি, 2. বাইপোলার মেমরি","১.দ্বিমেৰু স্মৃতিশক্তি, ২. বাইপোলাৰ মেম’ৰী"
"1. জন্ম ও মৃত্যু মডেল, 2. জন্ম মৃত্যু মডেল","১/ জন্ম আৰু মৃত্যুৰ আৰ্হি, ২. জন্ম মৃত্যুৰ আৰ্হি"
জন্ম মৃত্যু প্রক্রিয়া,জন্ম মৃত্যু প্ৰক্ৰিয়া
"1. ডুয়েক, 2। বিট","১.ডুয়েক, ২. বিট"
বিট দোষ,বিট দোষ
বিট মানচিত্র,বিট মেপ
"1. বিট, 2। মানচিত্র, 3. পিক্সেল (BMP)","1. বিট, 2. মানচিত্ৰ, ৩. পিক্সেল (BMP)"
"1. বিট ম্যাট্রিক্স, 2. বিট টেবিল","1. বিট মেট্ৰিক্স, 2. বিট টেবুল"
বিট প্যাটার্ন,বিট পেটাৰ্ণ
বিট অবস্থান,বিটৰ অৱস্থান
"1. বিট রেট, 2. বিট হার","1. বিট হাৰ, 2. বিট হাৰ"
চোখ বেঁধে পরীক্ষা,চকুত পটি পৰীক্ষা কৰা
শিমার,shimmer
ব্লক,অৱৰুদ্ধ কৰা
"1. ব্লক ক্যাশে, 2. ব্লক ক্যাশে / খণ্ড মেমরি","1. ব্লক কেচ, 2. ব্লক কেচ / চুংক মেমৰি"
ব্লক প্রোব,ব্লক প্ৰ&#39;ব
ভলিউম কপি,ভলিউম কপি
ব্লক ডায়াগ্রাম,ব্লক ডায়াগ্ৰাম
"1. ব্লক করা নেটওয়ার্ক, 2. ব্লক করা নেটওয়ার্ক","1. ব্লক কৰা নেটৱৰ্ক, 2. ব্লক কৰা নেটৱাৰ্ক"
বোর্ড,ব’ৰ্ড
পৃষ্ঠা মেমরি,পৃষ্ঠাৰ স্মৃতিশক্তি
বুলিয়ান বীজগণিত,বুলিয়ান বীজগণিত
বুলিয়ান সম্পর্ক,বুলিয়ান সম্পৰ্ক
বুট পার্টিশন,বুট বিভাজন
বুট strapping,বুট ষ্ট্ৰেপিং
1. বুটস্ট্র্যাপ লোডার,1.বুটষ্ট্ৰেপ লোডাৰ
"1.ব্রিজ, 2.ব্রিজ","১.দলং, ২.দলং"
ব্রডব্যান্ড নেটওয়ার্ক,ব্ৰডবেণ্ড নেটৱৰ্ক
সম্প্রচার,সম্প্ৰচাৰ
রেডিও সম্প্রচার,সম্প্ৰচাৰ ৰেডিঅ&#39;
(নেট) ভিন্নতা,(নেট) ভ্যাৰিয়েন্স
(net) vicar,(নেট) ভিকাৰ
বি-ট্রু,বি-ট্ৰু
"1.বুদবুদ মেমরি, 2.বাবল মেমরি","1.বাবল মেমৰি, 2.বাবল মেমৰি"
বুদবুদ সাজানোর,বুদবুদ সজাই পৰাই তোলা
"1.বালতি, 2.বালতি","১.বাল্টি, ২.বাল্টি"
"1. ভ্রাতৃত্ব ব্যবস্থা, 2. বড় সিস্টেম","১.ভ্ৰাতৃত্ববোধ ব্যৱস্থা, ২.বৃহৎ ব্যৱস্থা"
বাজেট কার্যকর নিয়ন্ত্রণ,বাজেট ফলপ্ৰসূ নিয়ন্ত্ৰণ
বাফার,বাফাৰ
ঘাটতি,অভাৱ
যথেষ্ট,বাছ
"1. অষ্ট ব্যাঙ্ক, 2. বিট (আট বিট)","১.অষ্ট ব্যাংক, ২. বিট (আঠটা বিট)"
বাইট কোড,বাইট ক&#39;ড
সি (কম্পিউটার ভাষা),C (কম্পিউটাৰ ভাষা)
"1.C প্লাস প্লাস, 2.C++ (কম্পিউটার ভাষা)","1.C Plus Plus, 2.C++ (কম্পিউটাৰ ভাষা)"
"1.নগদ, 2. দ্রুত, 3. দ্রুত","১.নগদ ধন, ২. বেগাই"
"1.ক্যাশ বাফার, 2.মেমরি বাফার","1.কেচ বাফাৰ, 2.মেমৰি বাফাৰ"
"1.ক্যাশ মেমরি, 2.ক্যাশ মেমরি, 3.ফাস্ট মেমরি","1.কেচ মেমৰি, 2.কেচ মেমৰি, 3.দ্ৰুত মেমৰি"
গণনা,গণনা কৰা
"1.ক্যালকুলেটর, 2.ক্যালকুলেটর","১.কেলকুলেটৰ, ২.কেলকুলেটৰ"
"1.ক্যালকুলেটর চিপ,2. ক্যালকুলেটর চিপ","1.কেলকুলেটৰ চিপ, 2. কেলকুলেটৰ চিপ"
আহ্বান করুন,আমন্ত্ৰণ কৰক
নাম কল,নাম কল
