Odiya,Gujarati
"ସଂଲଗ୍ନ ଏନକ୍ଲୋଜର,",જોડાયેલ બંધ
ସାଧାରଣ ନିର୍ଣ୍ଣୟକାରୀ |,સામાન્ય નિર્ણાયક
ସଂଲଗ୍ନ ଡିଫେରିଏଲ୍ ସମୀକରଣ |,જોડાયેલ વિભેદક સમીકરણ
ସଂଲଗ୍ନ ସମୀକରଣ,જોડાયેલ સમીકરણ
କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |,કોહોમોજીનીયસ મેટ્રિક્સ
ମ୍ୟାଟ୍ରିକ୍ସ କୋଭାରିଆନ୍ସ |,મેટ્રિક્સ સહપ્રવૃત્તિ
କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |,કોહોમોજીનીયસ મેટ્રિક્સ
ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ,સ્વીકાર્ય નિર્ણય કાર્ય
ଗ୍ରହଣୀୟ ଅନୁମାନ,સ્વીકાર્ય પૂર્વધારણા
ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |,એરોડાયનેમિક બળ
ଏରୋଡାଇନାମିକ୍ସ |,એરોડાયનેમિક્સ
ଏକମାତ୍ର ଜ୍ୟାମିତି |,સજાતીય ભૂમિતિ
ଏକମାତ୍ର ମ୍ୟାପିଙ୍ଗ୍ |,સજાતીય મેપિંગ
ଏକମାତ୍ର ପରିବର୍ତ୍ତନ,સજાતીય પરિવર્તન
ଏଗ୍ରିଗେଟ୍ ଭେରିଏବଲ୍ |,એકંદર ચલ
"ବୀଜ ବିବେଚନା, ବୀଜ ବିବେଚନା, ବୀଜ ବିବେଚନା","બીજગણિત, બીજગણિત, બીજગણિત, બીજગણિત"
"ବିହନ ବନ୍ଦ, ବିହନଯୁକ୍ତ |","સીડી બંધ, બીજરૂપે"
ବୀଜ ବର୍ଣ୍ଣିତ ସମୀକରଣ |,બીજગણિતીય સમીકરણ
ବୀଜ ବର୍ଣ୍ଣନା,બીજગણિતીય અભિવ્યક્તિ
ବୀଜ ବର୍ଣ୍ଣିତ ଏକତା |,બીજગણિત એકરૂપતા
ବୀଜ ବର୍ଣ୍ଣିତ କାର୍ଯ୍ୟ,બીજગણિત કાર્ય
ବୀଜ ବର୍ଣ୍ଣିତ ଜ୍ୟାମିତି |,બીજગણિત ભૂમિતિ
ବୀଜ ବର୍ଣ୍ଣିତ ବହୁଳତା |,બીજગણિત બહુમતી
ବୀଜ ବର୍ଣ୍ଣିତ ପ୍ରଣାଳୀ |,બીજગણિત સિસ્ટમ
ସମସ୍ତ-ପୂର୍ଣ୍ଣ ସମସ୍ୟା |,તમામ પૂર્ણાંક સમસ્યા
"ଆସାଇନମେଣ୍ଟ ସମସ୍ୟା ୱାଟ ପ୍ରଶ୍ନ,",સોંપણી સમસ્યા વોટ પ્રશ્ન
ବର୍ଣ୍ଣାନୁକ୍ରମିକ ଟିପ୍ପଣୀ |,આલ્ફાબેટીકલ નોટેશન
ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ,આલ્ફાબેટીક અક્ષર
ବିକଳ୍ପ କୋଣ,વૈકલ્પિક ખૂણા
"ବ hom କଳ୍ପିକ ଏକମାତ୍ର ବିକଳ୍ପ ଫର୍ମ,",વૈકલ્પિક સજાતીય વૈકલ્પિક સ્વરૂપ
ବିକଳ୍ପ ଗୋଷ୍ଠୀ |,વૈકલ્પિક જૂથ
ବିକଳ୍ପ ମ୍ୟାଟ୍ରିକ୍ସ |,વૈકલ્પિક મેટ્રિક્સ
ବିକଳ୍ପ କ୍ରମ |,વૈકલ્પિક શ્રેણી
ବିକଳ୍ପ ଅନୁମାନ,વૈકલ્પિક પૂર્વધારણા
ବିକଳ୍ପ ସର୍ବୋତ୍କୃଷ୍ଟ |,વૈકલ્પિક શ્રેષ્ઠ
ବିକଳ୍ପ ଫଳାଫଳ |,વૈકલ્પિક પરિણામ
analog-digit କନଭର୍ଟର |,એનાલોગ-અંક કન્વર્ટર
"ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର,",એનાલોગ કમ્પ્યુટર
ବିଶ୍ଳେଷଣ |,વિશ્લેષણ
କୋଭାରିଆନ୍ସ ବିଶ୍ଳେଷଣ |,સહપ્રવર્તન વિશ્લેષણ
ଗଣନା-ତଥ୍ୟ ବିଶ୍ଳେଷଣ |,ગણતરી-માહિતી વિશ્લેષણ
ଭିନ୍ନତା ବିଶ୍ଳେଷଣ |,વિચલન વિશ્લેષણ
ଆନାଲିଟିକାଲ୍ ଜ୍ୟାମିତି |,વિશ્લેષણાત્મક ભૂમિતિ
ବିଶ୍ଳେଷଣାତ୍ମକ କାର୍ଯ୍ୟ,વિશ્લેષણાત્મક કાર્ય
କୋଣ,કોણ
ଟାଙ୍ଗେଣ୍ଟ୍ କୋଣ |,સ્પર્શકોણ
ବିଘ୍ନ କୋଣ |,વિચલન કોણ
ଉଦାସୀନତା କୋଣ,હતાશા કોણ
ବିଘ୍ନ କୋଣ |,વિચલન કોણ
ବିଭାଜନ କୋଣ |,વિવર્તન કોણ
ଉଚ୍ଚତା କୋଣ,એલિવેશન એંગલ
ଘଟଣାର କୋଣ,ઘટના કોણ
ପ୍ରୋଜେକ୍ଟର କୋଣ,પ્રક્ષેપણ કોણ
ପ୍ରତିଫଳନ କୋଣ,પ્રતિબિંબ કોણ
ପ୍ରତିଫଳନ କୋଣ,રીફ્રેક્શન કોણ
ଘୂର୍ଣ୍ଣନ କୋଣ,પરિભ્રમણ કોણ
ପ୍ରତିଫଳନର ସଂପୂର୍ଣ୍ଣ କୋଣ |,પ્રતિબિંબનો સંપૂર્ણ કોણ
କୋଣାର୍କ ତ୍ୱରଣ |,કોણીય પ્રવેગક
କୋଣାର୍କ ବେଗ |,કોણીય વેગ
କୋଣାର୍କ ଗତି,કોણીય ઝડપ
କୋଣାର୍କ ବେଗ |,કોણીય વેગ
ଆଙ୍ଗୁଠି ରିଙ୍ଗ୍ |,રિંગ આંગળી
ଉତ୍ତର,જવાબ આપો
କାଉଣ୍ଟର ଡେରିଭେଟିଭ୍ |,પ્રતિ વ્યુત્પન્ન
ଆଇସୋମେଟ୍ରିକ୍ କାର୍ଯ୍ୟ,આઇસોમેટ્રિક કાર્ય
"ଆଚ୍ଛାଦିତ, ପ୍ରଯୁଜ୍ୟ, ପ୍ରଯୁଜ୍ୟ |","આવરી લેવા યોગ્ય, લાગુ, લાગુ"
"ଆବେଦନ ପ୍ରୟୋଗ,",અરજી અરજી
ଗତିଶୀଳ ପ୍ରୋଗ୍ରାମିଂ ପ୍ରୟୋଗ |,લાગુ ડાયનેમિક પ્રોગ્રામિંગ
ପ୍ରୟୋଗ ହୋଇଥିବା ଜ୍ୟାମିତି |,લાગુ ભૂમિતિ
ପ୍ରୟୋଗ ହୋଇଥିବା ଗଣିତ |,લાગુ ગણિત
ପ୍ରୟୋଗ ପରିସଂଖ୍ୟାନ |,લાગુ આંકડા
"ପ୍ରାୟ, ପ୍ରାୟ","લગભગ, લગભગ"
ପ୍ରାୟ ନିରନ୍ତର କାର୍ଯ୍ୟ |,લગભગ સતત કાર્ય
"ମାକ୍ରୋ ପଦ୍ଧତି, ଆନୁମାନିକ ପଦ୍ଧତି |","મેક્રો પદ્ધતિ, અંદાજ પદ્ધતિ"
ଆନୁମାନିକ ସମାଧାନ,અંદાજિત ઉકેલ
ଆନୁମାନିକ ସମସ୍ୟା,અંદાજની સમસ્યા
ଆନୁମାନିକ ସମ୍ପତ୍ତି,અંદાજિત મિલકત
ଦକ୍ଷତା ପରୀକ୍ଷା,અભિરુચિ કસોટી
ଆର୍ଗନ୍ ଚିତ୍ର,આર્ગોન ડાયાગ્રામ
ସ୍ବେଚ୍ଛାକୃତ,સ્વૈચ્છિક
"ଅନିୟମିତ, ଅନିୟମିତ |","રેન્ડમ, રેન્ડમ"
ଇଚ୍ଛାଧୀନ ସ୍ଥିର |,મનસ્વી સતત
ମାଗଣା ଉପାଦାନ |,મફત તત્વ
ଇଚ୍ଛାଧୀନ ବିନ୍ଦୁ |,મનસ્વી બિંદુ
ଆର୍କିମିଡେଙ୍କ ନିୟମ |,આર્કિમિડીનો કાયદો
ଆର୍କିମିଡିସ୍ ନିୟମ |,આર્કિમિડીઝનો કાયદો
"ଆର୍କ-ଲମ୍ବ, ଆର୍କ-ଲମ୍ବ |","ચાપ-લંબાઈ, ચાપ-લંબાઈ"
ବୃତ୍ତାକାର,વર્તુળ ચાપ
ଓଲଟା ସାଇନ ବଣ୍ଟନ |,વ્યસ્ત સાઈન વિતરણ
ଓଲଟା ସାଇନ ରୂପାନ୍ତର |,વ્યસ્ત સાઈન રૂપાંતરણ
"କ୍ଷେତ୍ର, କ୍ଷେତ୍ର","વિસ્તાર, વિસ્તાર"
ଆ regional ୍ଚଳିକ ସଂରଚନା,પ્રાદેશિક રૂપરેખાંકન
ଏକ ଜଟିଳ ସଂଖ୍ୟାର କୋଣ |,જટિલ સંખ્યાનો કોણ
ଗାଣିତିକ ଅର୍ଥ |,અંકગણિત સરેરાશ
ଡିଜିଟାଲ୍ ଅପରେସନ୍,ડિજિટલ કામગીરી
ଡିଜିଟାଲ୍ ୟୁନିଟ୍ |,ડિજિટલ એકમ
"ବିନ୍ୟାସ, ବ୍ୟବସ୍ଥା","ગોઠવણી, ગોઠવણી"
"ଆରେ, ଆରେ","એરે, એરે"
କୃତ୍ରିମ ଉପଗ୍ରହ |,કૃત્રિમ ઉપગ્રહ
କୃତ୍ରିମ ଭେରିଏବଲ୍ |,કૃત્રિમ ચલ
ଚ imb ିବାକୁ,ચઢવું
ଆରୋହଣ,ચડતા
ତୀବ୍ରତାର କ୍ରମ,તીવ્રતાનો ચડતો ક્રમ
ଆରୋହଣ ଗ୍ରେଡ୍,ચડતા ગ્રેડ
ଏକତ୍ରକାରୀ ଭାଷା |,એસેમ્બલર ભાષા
"ଆସାଇନମେଣ୍ଟ ସମସ୍ୟା ଆସାଇନମେଣ୍ଟ ପ୍ରଶ୍ନ,",સોંપણી સમસ્યા સોંપણી પ્રશ્ન
ସହଯୋଗୀ ନିୟମ |,સહયોગી નિયમ
ଅପରେଟର୍ମାନଙ୍କର ଆସୋସିଏଟିଭ୍ ନିୟମ |,ઓપરેટરોનો સહયોગી નિયમ
ଆସୋସିଏଟିଭ୍ ଅପରେସନ୍ |,સહયોગી કામગીરી
ସାଥୀତା,સોબત
ଅନୁମାନ କରାଯାଉଥିବା ଅର୍ଥ |,ધાર્યું સરેરાશ
ସମ୍ଭାବ୍ୟ ବଣ୍ଟନ ଅନୁମାନ କରାଯାଇଛି |,અનુમાનિત સંભાવના વિતરણ
"କଳ୍ପିତ, ସ୍ୱୀକାର,","કલ્પના, સ્વીકાર્યું"
ଜ୍ୟୋତିଷ ଶାସ୍ତ୍ର,જ્યોતિષશાસ્ત્ર
"ମହାକାଶଚାରୀ ଇଞ୍ଜିନିୟର ସ୍ପେସ୍ ଇଞ୍ଜିନିୟର,",એસ્ટ્રોનોટિકલ એન્જિનિયર સ્પેસ એન્જિનિયર
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନୀ *,ખગોળશાસ્ત્રી*
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ ଘଣ୍ଟା |,ખગોળશાસ્ત્રીય ઘડિયાળ
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ,ખગોળશાસ્ત્ર
ଅସୀମିତ ବକ୍ର,અસમપ્રમાણ વળાંક
ଅସୀମତା |,અસમપ્રમાણતા
ଅସ୍ମିପଟୋଟିକ୍ |,એસિમ્પટોટિક
ବୃଦ୍ଧି,ઉત્તેજક
ପ୍ରଗତିଶୀଳ ଆକଳନକାରୀ |,પ્રગતિશીલ અંદાજકાર
ରିଟ୍ରୋଗ୍ରେଡ୍ ଦ୍ୱିପାକ୍ଷିକ ଆକଳନକାରୀ |,પૂર્વગ્રહ પક્ષપાતી અંદાજકાર
ପ୍ରତ୍ୟାବର୍ତ୍ତନ ଆଚରଣ |,પૂર્વવર્તી આચરણ
ଆକ୍ରମଣାତ୍ମକ ବଣ୍ଟନ କାର୍ଯ୍ୟ |,આક્રમક વિતરણ કાર્ય
ଉପର ବିସ୍ତାର,ઉપરની તરફ ફેલાવો
ବାୟୁମଣ୍ଡଳୀୟ ଚାପ |,વાતાવરણ નુ દબાણ
"ଅନିୟମିତ ଭାବରେ,",અવ્યવસ્થિત રીતે
ସମ୍ପତ୍ତି *,મિલકત*
ଗୁଣଧର୍ମ-ନମୁନା-ଯାନ୍ତ୍ରିକ |,એટ્રિબ્યુટ-સેમ્પલિંગ-મિકેનિઝમ
ବୃଦ୍ଧି ହୋଇଥିବା ମାଟ୍ରିକ୍ସ,સંવર્ધિત મેટ્રિક્સ
ଅଟୋକୋରେଲେସନ୍ କୋଏଫିସିଏଣ୍ଟ୍ |,સ્વતઃસંબંધ ગુણાંક
ଅଟୋକୋରେଲେସନ୍ ଫଙ୍କସନ୍,સ્વતઃસંબંધ કાર્ય
କୋଭାରିଆନ୍ସ |,સહપ્રવૃત્તિ
ସ୍ୱୟଂଚାଳିତ କମ୍ପ୍ୟୁଟର |,સ્વચાલિત કમ્પ્યુટર
ଆତ୍ମସମ୍ମାନ,ઓટોરીગ્રેશન
ସହାୟକ ସମୀକରଣ,સહાયક સમીકરણ
ହାରାହାରି ନମୁନା ସଂଖ୍ୟା ବକ୍ର (MPC ବକ୍ର),મીન સેમ્પલ નંબર કર્વ (MPC કર્વ)
"axiom, axiom","axiom, axiom"
axiom ପଦ୍ଧତି |,સ્વયંસિદ્ધ અભિગમ
ସମ୍ଭାବ୍ୟତା axiom |,સંભાવના સ્વયંસિદ્ધ
ଅକ୍ଷ,ધરી
ଭୁଜାକ୍,ભુજક્ષા
ପୃଥିବୀ ଅକ୍ଷ,પૃથ્વીની ધરી
ଘୂର୍ଣ୍ଣନ ଅକ୍ଷ,પરિભ્રમણ અક્ષ
ଘୂର୍ଣ୍ଣନ ଅକ୍ଷ,પરિભ્રમણ અક્ષ
ସ୍ପିନ୍ ଅକ୍ଷ,સ્પિન અક્ષ
ପୋଷ୍ଟ ରିପ୍ଲେସମେଣ୍ଟ,પોસ્ટ રિપ્લેસમેન્ટ
ପରେ,પાછળથી
ପଛ ସନ୍ନିବେଶ ସୂତ୍ର |,પાછા નિવેશ સૂત્ર
"ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ |","સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન"
ସନ୍ତୁଳିତ ଡିଜାଇନ୍ |,સંતુલિત ડિઝાઇન
ତୂଳନା ପତ୍ର,સરવૈયા
କ୍ଷେପଣାସ୍ତ୍ର,મિસાઇલ
"ବାଲିଷ୍ଟିକ୍, ଅସ୍ତ୍ରଶସ୍ତ୍ର |","બેલિસ્ટિક્સ, હથિયાર"
"ସ୍ତମ୍ଭ, ବାଡ଼ି, କୋବ୍, ବାର୍, ବାର୍, ବାର୍, ବାର୍, ବାର୍, ବାର୍, ରେଖା, ରେଖା, ପରୀକ୍ଷା ରେଖା, ଧାର |","કૉલમ, બાર, કોબ, બાર, બાર, બાર, બાર, બાર, બાર, રેખા, રેખા, પરીક્ષણ રેખા, ધાર"
"ଆଧାର, ଆଧାର, ଆଧାର, ଆଧାର, ଆଧାର |","આધાર, આધાર, આધાર, આધાર, આધાર"
ମୂଳ କୋଣ,આધાર કોણ
"ଲୋଗାରିଦମର ଆଧାର, ଲୋଗାରିଦମର ଆଧାର |","લઘુગણકનો આધાર, લઘુગણકનો આધાર"
"ମ basic ଳିକ, ମ basic ଳିକ,","મૂળભૂત, મૂળભૂત"
ମୂଳ ସମନ୍ୱିତ ସମାଧାନ |,આધાર સુસંગત ઉકેલ
ମୂଳ ସମାଧାନ |,આધાર ઉકેલ
ବେସ୍ ଭେରିଏବଲ୍ |,આધાર ચલ
ଆଧାର,પાયો
ମୂଳ ଉପାଦାନ |,આધાર તત્વ
ବେସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |,આધાર મેટ્રિક્સ
ଭେକ୍ଟର ସ୍ପେସ୍ ର ଆଧାର |,વેક્ટર જગ્યાનો આધાર
ଜନସଂଖ୍ୟା ଆଧାର |,પેટા-વસ્તીનો આધાર
ଅସାଧୁ,અનૈતિક
bez-rule,bez-નિયમ
ବେଜ୍-ଥିଓରେମ୍ |,bez-પ્રમેય
bernoulli- ବଣ୍ଟନ |,bernoulli-વિતરણ
ବର୍ନୁଲି ସଂଖ୍ୟା |,બર્નોલી નંબરો
ବର୍ନୁଲି ସମ୍ଭାବ୍ୟ କାର୍ଯ୍ୟ |,Bernoulli સંભાવના કાર્ય
ବର୍ନୁଲି-ସମୀକରଣ |,બર્નોલી-સમીકરણ
ବେରୀ କାର୍ଯ୍ୟ,બેરી કાર્ય
ସର୍ବୋତ୍ତମ ଆଡିଶିନ୍ |,શ્રેષ્ઠ સંલગ્નતા
ସର୍ବୋତ୍ତମ ଆଡେସିନ୍ ରେଖା |,શ્રેષ્ઠ સંલગ્નતા રેખા
ସର୍ବୋତ୍ତମ ସମାଧାନ |,શ્રેષ્ઠ ઉકેલ
ସର୍ବୋତ୍ତମ ଟିପ୍ସ |,શ્રેષ્ઠ ટીપ્સ
ବିଟା ବଣ୍ଟନ |,બીટા વિતરણ
"ପକ୍ଷପାତ, ପକ୍ଷପାତ |","પૂર્વગ્રહ, પૂર્વગ્રહ"
ପକ୍ଷପାତିତ ମୂଲ୍ୟାଙ୍କନ |,પક્ષપાતી આકારણી
ଦ୍ୱିପାକ୍ଷିକ ସମୀକରଣ |,દ્વિપદી સમીકરણ
ଏକକ କଭର |,એક કવર
ଏକକ କଭର ମାନଚିତ୍ର,એક કવર નકશો
ଏକକ କଭର ମ୍ୟାପିଂ |,સિંગલ કવર મેપિંગ
ଚତୁର୍ଭୁଜ ଚତୁର୍ଭୁଜ |,ચતુર્ભુજ ચતુર્ભુજ
ବିଲିନାର୍ ଫଙ୍କସନ୍,દ્વિરેખીય કાર્ય
bilinear hermitian homogeneity |,દ્વિરેખીય સંન્યાસી એકરૂપતા
"ଦ୍ୱି-ଭେରିଏବଲ୍, ବାଇନାରୀ, ଡୁଆଲ୍ |","દ્વિ-ચલ, દ્વિસંગી, દ્વિ"
"ବାଇନାରୀ କୋଡ୍, ବାଇନାରୀ କୋଡ୍ |","બાઈનરી કોડ, બાઈનરી કોડ"
"ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ, ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ |","દ્વિસંગી કોડેડ દશાંશ, દ્વિસંગી કોડેડ દશાંશ"
ବାଇନାରୀ ଏନକୋଡିଂ |,બાઈનરી એન્કોડિંગ
ବାଇନାରୀ କମ୍ପ୍ୟୁଟର |,દ્વિસંગી કમ્પ્યુટર
ବାଇନାରୀ ସଂଖ୍ୟା,દ્વિસંગી સંખ્યાઓ
ବାଇନାରୀ ଅପରେସନ୍ |,દ્વિસંગી કામગીરી
ବାଇନାରୀ ପଦ୍ଧତି |,દ્વિસંગી પદ્ધતિ
ବାଇନାରୀ ଭେରିଏବଲ୍ |,દ્વિસંગી ચલ
ଦ୍ୱିପାକ୍ଷିକ ଗୁଣବତ୍ତା |,દ્વિપદી ગુણાંક
ଦ୍ୱିପାକ୍ଷିକ ବଣ୍ଟନ |,દ્વિપદી વિતરણ
ଦ୍ୱିପାକ୍ଷିକ ସମୀକରଣ |,દ્વિપદી સમીકરણ
ଦ୍ୱିପାକ୍ଷିକ ଭିନ୍ନତା |,દ્વિપદી ભિન્નતા
ଦ୍ୱିପାକ୍ଷିକ ଅଭିବ୍ୟକ୍ତି |,દ્વિપદી અભિવ્યક્તિ
ଦ୍ୱିପାକ୍ଷିକ ରାଣ୍ଡମ୍ ଭେରିଏବଲ୍ |,દ્વિપદી રેન્ડમ ચલ
ଦ୍ୱିପାକ୍ଷିକ ତତ୍ତ୍। |,દ્વિપદી પ્રમેય
"ଅଧା, ବିଫୁର୍କେସନ୍ |","અર્ધ, વિભાજન"
"ବିସେକ୍ଟ ପଦ୍ଧତି, ସେମିଡିଭିଜନ୍ ପଦ୍ଧତି |","દ્વિભાજ્ય પદ્ધતિ, અર્ધવિભાજન પદ્ધતિ"
ଅଧା ବିସେକ୍ଟର |,અડધા દ્વિભાજક
ଦ୍ୱିପାକ୍ଷିକ |,દ્વિપદી
"ଡୱେଙ୍କ୍ (ବାଇନାରୀ ସଂଖ୍ୟା), ଅନି, ବର୍ମା, ଟୁକ୍ |","દ્વાયાંક (દ્વિસંગી અંક), અની, બર્મીઝ, ટુક"
ଦ୍ୱିପାକ୍ଷିକ ଦ୍ୱିପାକ୍ଷିକ ବଣ୍ଟନ ଦ୍ୱିପାକ୍ଷିକ |,દ્વિપદી દ્વિપદી વિતરણ દ્વિપદી
ବିଭାରିଏଟ୍ ସମ୍ପର୍କ କୋଏଫିସିଏଣ୍ଟ୍ |,દ્વિવિધ સહસંબંધ ગુણાંક
ବିଭାରିଏଟ୍ ବଣ୍ଟନ |,દ્વિવિધ વિતરણ
ସାଧାରଣ ବଣ୍ଟନ,બાયવેરિયેટ સામાન્ય-વિતરણ
ବିଭେକ୍ଟର୍ |,બાઇવેક્ટર
ବୋଲ୍ଟମ୍ୟାନ୍ ସମୀକରଣ |,બોલ્ટમેન સમીકરણ
ବୁଲିୟନ୍ ବୀଜ ବର୍ଣ୍ଣନା *,બુલિયન બીજગણિત*
ବୋଷ-ଆଇନଷ୍ଟାଇନ ପରିସଂଖ୍ୟାନ |,બોઝ-આઈન્સ્ટાઈન સ્ટેટિસ્ટિક્સ
ସୀମିତତା ପ୍ରତିବନ୍ଧକ |,મર્યાદા પ્રતિબંધો
ସୀମା ସ୍ତର |,સીમા સ્તર
ସୀମା ରେଖା |,સીમા રેખા
ସୀମା ମୂଲ୍ୟ,મર્યાદા મૂલ્ય
ସୀମା ମୂଲ୍ୟ ସମସ୍ୟା |,સીમા મૂલ્યની સમસ્યા
"ସୀମାବଦ୍ଧ କାର୍ଯ୍ୟ ସୀମିତ ଫଳ,",બાઉન્ડેડ ફંક્શન બાઉન્ડેડ ફલ
"ସୀମାବଦ୍ଧ ମ୍ୟାଟ୍ରିକ୍ସ, ସୀମାବଦ୍ଧ ମ୍ୟାଟ୍ରିକ୍ସ, ସୀମାବଦ୍ଧ ଟେବୁଲ୍,","બાઉન્ડેડ મેટ્રિક્સ, બાઉન્ડેડ મેટ્રિક્સ, બાઉન્ડેડ ટેબલ"
"ସୀମାବଦ୍ଧ ଅଞ୍ଚଳ ସୀମାବଦ୍ଧ ଅଞ୍ଚଳ,",સીમિત પ્રદેશ સીમિત પ્રદેશ
"ସୀମାବଦ୍ଧ ସେଟ୍ ସୀମାବଦ୍ଧ ସେଟ୍,",બાઉન્ડેડ સેટ બાઉન્ડેડ સેટ
ବ୍ରାଉନି ଗତି |,બ્રાઉની ગતિ
ଗଣନା କରିବାକୁ,ગણતરી કરવી
ଗଣନା,ગણતરી
"କାଲକୁଲେଟର, କାଲକୁଲେଟର","કેલ્ક્યુલેટર, કેલ્ક્યુલેટર"
ଗଣନା *,ગણતરી*
ଗଣନା କାର୍ଯ୍ୟ ପଦ୍ଧତି |,કોમ્પ્યુટેશનલ એક્શન પદ્ધતિ
