Bengali,Punjabi
"বিকল্প সমজাতীয় বিকল্প ফর্ম,",ਬਦਲਵੇਂ ਸਮਰੂਪ ਬਦਲਵੇਂ ਰੂਪ
বিকল্প গোষ্ঠী,ਵਿਕਲਪਕ ਸਮੂਹ
বিকল্প ম্যাট্রিক্স,ਵਿਕਲਪਕ ਮੈਟ੍ਰਿਕਸ
বিকল্প সিরিজ,ਵਿਕਲਪਿਕ ਲੜੀ
বিকল্প অনুমান,ਵਿਕਲਪਕ ਅਨੁਮਾਨ
বিকল্প সর্বোত্তম,ਵਿਕਲਪਿਕ ਸਰਵੋਤਮ
বিকল্প ফলাফল,ਵਿਕਲਪਿਕ ਨਤੀਜਾ
এনালগ-ডিজিট কনভার্টার,ਐਨਾਲਾਗ-ਅੰਕ ਕਨਵਰਟਰ
"এনালগ কম্পিউটার,",ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ
বিশ্লেষণ,ਵਿਸ਼ਲੇਸ਼ਣ
সহভক্তি বিশ্লেষণ,ਸਹਿਵਿਹਾਰ ਵਿਸ਼ਲੇਸ਼ਣ
গণনা-ডেটা বিশ্লেষণ,ਗਣਨਾ-ਡਾਟਾ ਵਿਸ਼ਲੇਸ਼ਣ
বৈচিত্র্য বিশ্লেষণ,ਪਰਿਵਰਤਨ ਵਿਸ਼ਲੇਸ਼ਣ
বিশ্লেষণাত্মক জ্যামিতি,ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਜਿਓਮੈਟਰੀ
বিশ্লেষণাত্মক ফাংশন,ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਫੰਕਸ਼ਨ
কোণ,ਕੋਣ
স্পর্শক কোণ,ਸਪਰਸ਼ ਕੋਣ
বিচ্যুতি কোণ,ਡਿਫਲੈਕਸ਼ਨ ਕੋਣ
বিষণ্নতা কোণ,ਡਿਪਰੈਸ਼ਨ ਕੋਣ
বিচ্যুতি কোণ,ਭਟਕਣ ਕੋਣ
বিবর্তন কোণ,ਵਿਭਿੰਨ ਕੋਣ
উচ্চতা কোণ,ਉਚਾਈ ਕੋਣ
ঘটনার কোণ,ਘਟਨਾ ਦਾ ਕੋਣ
অভিক্ষেপ কোণ,ਪ੍ਰੋਜੈਕਸ਼ਨ ਦਾ ਕੋਣ
প্রতিফলন কোণ,ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ
প্রতিসরণ কোণ,ਅਪਵਰਤਨ ਦਾ ਕੋਣ
ঘূর্ণন কোণ,ਰੋਟੇਸ਼ਨ ਕੋਣ
প্রতিফলনের পরম কোণ,ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਪੂਰਨ ਕੋਣ
কৌণিক ত্বরণ,ਕੋਣੀ ਪ੍ਰਵੇਗ
কৌণিক বেগ,ਕੋਣੀ ਵੇਗ
কৌণিক গতি,ਕੋਣੀ ਗਤੀ
কৌণিক বেগ,ਕੋਣੀ ਵੇਗ
অনামিকা আঙুল,ਰਿੰਗ ਉਂਗਲ
উত্তর,ਜਵਾਬ
কাউন্টার ডেরিভেটিভ,ਵਿਰੋਧੀ ਡੈਰੀਵੇਟਿਵ
আইসোমেট্রিক ফাংশন,isometric ਫੰਕਸ਼ਨ
"আচ্ছাদনযোগ্য, প্রযোজ্য, প্রযোজ্য","ਕਵਰ ਕਰਨ ਯੋਗ, ਲਾਗੂ, ਲਾਗੂ"
"আবেদনের আবেদন,",ਐਪਲੀਕੇਸ਼ਨ ਐਪਲੀਕੇਸ਼ਨ
প্রয়োগকৃত গতিশীল প্রোগ্রামিং,ਲਾਗੂ ਡਾਇਨਾਮਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ
প্রয়োগ করা জ্যামিতি,ਲਾਗੂ ਕੀਤੀ ਜਿਓਮੈਟਰੀ
ফলিত গণিত,ਲਾਗੂ ਗਣਿਤ
ফলিত পরিসংখ্যান,ਲਾਗੂ ਅੰਕੜੇ
"প্রায়, প্রায়","ਲਗਭਗ, ਲਗਭਗ"
প্রায় একটানা ফাংশন,ਲਗਭਗ ਲਗਾਤਾਰ ਫੰਕਸ਼ਨ
"ম্যাক্রো পদ্ধতি, আনুমানিক পদ্ধতি","ਮੈਕਰੋ ਵਿਧੀ, ਅਨੁਮਾਨ ਵਿਧੀ"
আনুমানিক সমাধান,ਅੰਦਾਜ਼ਨ ਹੱਲ
আনুমানিক সমস্যা,ਲਗਭਗ ਸਮੱਸਿਆ
আনুমানিক সম্পত্তি,ਲਗਭਗ ਸੰਪਤੀ
বুদ্ধিমত্তার পরীক্ষা,ਯੋਗਤਾ ਟੈਸਟ
আর্গন ডায়াগ্রাম,ਆਰਗਨ ਚਿੱਤਰ
স্বেচ্ছায়,ਸਵੈ-ਇੱਛਤ
"এলোমেলো, এলোমেলো","ਬੇਤਰਤੀਬ, ਬੇਤਰਤੀਬ"
নির্বিচারে ধ্রুবক,ਆਪਹੁਦਰੇ ਸਥਿਰ
বিনামূল্যে উপাদান,ਮੁਫ਼ਤ ਤੱਤ
নির্বিচারে পয়েন্ট,ਮਨਮਾਨੀ ਬਿੰਦੂ
আর্কিমিডের আইন,ਆਰਕੀਮੀਡ ਦਾ ਕਾਨੂੰਨ
আর্কিমিডিসের আইন,ਆਰਕੀਮੀਡੀਜ਼ ਦਾ ਕਾਨੂੰਨ
"চাপ-দৈর্ঘ্য, চাপ-দৈর্ঘ্য","ਚਾਪ-ਲੰਬਾਈ, ਚਾਪ-ਲੰਬਾਈ"
বৃত্ত চাপ,ਚੱਕਰ ਚਾਪ
ইনভার্স সাইন ডিস্ট্রিবিউশন,ਉਲਟ ਸਾਈਨ ਵੰਡ
বিপরীত সাইন রূপান্তর,ਉਲਟ ਸਾਈਨ ਪਰਿਵਰਤਨ
"এলাকা, এলাকা","ਖੇਤਰ, ਖੇਤਰ"
আঞ্চলিক কনফিগারেশন,ਖੇਤਰੀ ਸੰਰਚਨਾ
একটি জটিল সংখ্যার কোণ,ਇੱਕ ਮਿਸ਼ਰਿਤ ਸੰਖਿਆ ਦਾ ਕੋਣ
গাণিতিক গড়,ਗਣਿਤ ਦਾ ਮਤਲਬ
ডিজিটাল অপারেশন,ਡਿਜ਼ੀਟਲ ਕਾਰਵਾਈ
ডিজিটাল ইউনিট,ਡਿਜ਼ੀਟਲ ਯੂਨਿਟ
"কনফিগারেশন, বিন্যাস","ਸੰਰਚਨਾ, ਵਿਵਸਥਾ"
"অ্যারে, অ্যারে","ਐਰੇ, ਐਰੇ"
কৃত্রিম উপগ্রহ,ਨਕਲੀ ਉਪਗ੍ਰਹਿ
কৃত্রিম পরিবর্তনশীল,ਨਕਲੀ ਵੇਰੀਏਬਲ
আরোহন করা,ਚੜ੍ਹਨ ਲਈ
আরোহী,ਚੜ੍ਹਦਾ
মাত্রার আরোহী ক্রম,ਤੀਬਰਤਾ ਦਾ ਵੱਧਦਾ ਕ੍ਰਮ
আরোহী গ্রেড,ਚੜ੍ਹਦਾ ਗ੍ਰੇਡ
সংযোজনকারী ভাষা,ਅਸੈਂਬਲਰ ਭਾਸ਼ਾ
"অ্যাসাইনমেন্ট সমস্যা অ্যাসাইনমেন্ট প্রশ্ন,",ਅਸਾਈਨਮੈਂਟ ਸਮੱਸਿਆ ਅਸਾਈਨਮੈਂਟ ਸਵਾਲ
সহযোগী নিয়ম,ਸਹਿਯੋਗੀ ਨਿਯਮ
অপারেটরদের সহযোগী নিয়ম,ਆਪਰੇਟਰਾਂ ਦਾ ਸਹਿਯੋਗੀ ਨਿਯਮ
সহযোগী অপারেশন,ਸਹਿਯੋਗੀ ਕਾਰਵਾਈ
সাহচর্য,ਸਾਥੀ
ধরে নেওয়া গড়,ਮਤਲਬ ਮੰਨਿਆ
অনুমান সম্ভাব্যতা বন্টন,ਅਨੁਮਾਨਿਤ ਸੰਭਾਵਨਾ ਵੰਡ
"কল্পনা করা, স্বীকার করা,","ਕਲਪਨਾ, ਮੰਨਿਆ"
জ্যোতিষশাস্ত্র,ਜੋਤਿਸ਼
"মহাকাশচারী প্রকৌশলী মহাকাশ প্রকৌশলী,",ਪੁਲਾੜ ਵਿਗਿਆਨੀ ਇੰਜੀਨੀਅਰ ਸਪੇਸ ਇੰਜੀਨੀਅਰ
জ্যোতির্বিদ*,ਖਗੋਲ ਵਿਗਿਆਨੀ*
জ্যোতির্বিদ্যা ঘড়ি,ਖਗੋਲੀ ਘੜੀ
জ্যোতির্বিদ্যা,ਖਗੋਲ ਵਿਗਿਆਨ
অপ্রতিসম বক্ররেখা,ਅਸਮਿਤ ਵਕਰ
অসমতা,ਅਸਮਿਤੀ
অ্যাসিম্পোটিক,asymptotic
উত্তেজক,ਪਰੇਸ਼ਾਨ ਕਰਨ ਵਾਲਾ
প্রগতিশীল অনুমানকারী,ਪ੍ਰਗਤੀਸ਼ੀਲ ਅਨੁਮਾਨਕ
বিপরীতমুখী পক্ষপাতমূলক অনুমানকারী,ਪਿਛਾਖੜੀ ਪੱਖਪਾਤੀ ਅਨੁਮਾਨਕ
বিপরীতমুখী আচরণ,ਪਿਛਾਖੜੀ ਵਿਹਾਰ
আক্রমনাত্মক বিতরণ ফাংশন,ਹਮਲਾਵਰ ਵੰਡ ਫੰਕਸ਼ਨ
ঊর্ধ্বগামী বিস্তার,ਉੱਪਰ ਵੱਲ ਫੈਲਣਾ
বায়ুমণ্ডলীয় চাপ,ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ
"এলোমেলোভাবে,",ਬੇਤਰਤੀਬੇ
সম্পত্তি*,ਸੰਪਤੀ*
অ্যাট্রিবিউট-স্যাম্পলিং-মেকানিজম,ਗੁਣ-ਨਮੂਨਾ-ਪ੍ਰਣਾਲੀ
অগমেন্টেড ম্যাট্রিক্স,ਵਧਿਆ ਹੋਇਆ ਮੈਟਰਿਕਸ
স্বয়ংক্রিয় সম্পর্ক সহগ,ਸਵੈ-ਸੰਬੰਧ ਗੁਣਾਂਕ
স্বয়ংক্রিয় সম্পর্ক ফাংশন,ਸਵੈ-ਸੰਬੰਧ ਫੰਕਸ਼ਨ
সহবাস,ਸਹਿਵਿਹਾਰ
স্বয়ংক্রিয় কম্পিউটার,ਆਟੋਮੈਟਿਕ ਕੰਪਿਊਟਰ
অটোরিগ্রেশন,ਆਟੋਰਿਗਰੇਸ਼ਨ
সহায়ক সমীকরণ,ਸਹਾਇਕ ਸਮੀਕਰਨ
গড় নমুনা সংখ্যা বক্ররেখা (MPC বক্ররেখা),ਮੀਨ ਸੈਂਪਲ ਨੰਬਰ ਕਰਵ (MPC ਕਰਵ)
"axiom, axiom","axiom, axiom"
স্বতঃসিদ্ধ পদ্ধতি,axiom ਪਹੁੰਚ
সম্ভাব্যতা স্বতঃসিদ্ধ,ਸੰਭਾਵਨਾ axiom
অক্ষ,ਧੁਰਾ
ভুজক্ষ,ਭੁਜਕਸ਼ਾ
পৃথিবী অক্ষ,ਧਰਤੀ ਦਾ ਧੁਰਾ
ঘূর্ণন অক্ষ,ਰੋਟੇਸ਼ਨ ਧੁਰਾ
ঘূর্ণন অক্ষ,ਰੋਟੇਸ਼ਨ ਧੁਰਾ
স্পিন অক্ষ,ਸਪਿਨ ਧੁਰਾ
পোস্ট প্রতিস্থাপন,ਪੋਸਟ ਬਦਲੀ
পরে,ਬਾਅਦ ਵਿੱਚ
ফিরে সন্নিবেশ সূত্র,ਵਾਪਸ ਸੰਮਿਲਨ ਫਾਰਮੂਲਾ
"ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য","ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ"
সুষম নকশা,ਸੰਤੁਲਿਤ ਡਿਜ਼ਾਈਨ
ব্যালেন্স শীট,ਸੰਤੁਲਨ ਸ਼ੀਟ
মিসাইল,ਮਿਜ਼ਾਈਲ
"ব্যালিস্টিক, অস্ত্র","ਬੈਲਿਸਟਿਕਸ, ਹਥਿਆਰ"
"কলাম, রড, কোব, বার, বার, বার, বার, বার, বার, লাইন, লাইন, টেস্ট লাইন, প্রান্ত","ਕਾਲਮ, ਰਾਡ, ਕੋਬ, ਬਾਰ, ਬਾਰ, ਬਾਰ, ਬਾਰ, ਬਾਰ, ਬਾਰ, ਲਾਈਨ, ਲਾਈਨ, ਟੈਸਟ ਲਾਈਨ, ਕਿਨਾਰਾ"
"ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি","ਅਧਾਰ, ਅਧਾਰ, ਅਧਾਰ, ਅਧਾਰ, ਅਧਾਰ"
ভিত্তি কোণ,ਅਧਾਰ ਕੋਣ
"লগারিদমের ভিত্তি, লগারিদমের ভিত্তি","ਲਘੂਗਣਕ ਦਾ ਆਧਾਰ, ਲਘੂਗਣਕ ਦਾ ਆਧਾਰ"
"মৌলিক, মৌলিক,","ਬੁਨਿਆਦੀ, ਬੁਨਿਆਦੀ"
ভিত্তি সুসংগত সমাধান,ਅਧਾਰ ਇਕਸਾਰ ਹੱਲ
ভিত্তি সমাধান,ਅਧਾਰ ਹੱਲ
ভিত্তি পরিবর্তনশীল,ਅਧਾਰ ਵੇਰੀਏਬਲ
ভিত্তি,ਅਧਾਰ
ভিত্তি উপাদান,ਅਧਾਰ ਤੱਤ
বেস ম্যাট্রিক্স,ਬੇਸ ਮੈਟ੍ਰਿਕਸ
ভেক্টর স্থানের ভিত্তি,ਵੈਕਟਰ ਸਪੇਸ ਦਾ ਅਧਾਰ
উপ-জনসংখ্যা ভিত্তিতে,ਉਪ-ਜਨਸੰਖਿਆ ਦੇ ਆਧਾਰ &#39;ਤੇ
নীতিহীন,ਬੇਈਮਾਨ
বেজ-রুল,bez-ਨਿਯਮ
bez-তত্ত্ব,ਬੇਜ਼-ਪ੍ਰਮੇਯ
bernoulli-বন্টন,bernoulli-ਵੰਡ
বার্নোলি সংখ্যা,ਬਰਨੌਲੀ ਨੰਬਰ
Bernoulli সম্ভাব্যতা ফাংশন,ਬਰਨੌਲੀ ਪ੍ਰੋਬੇਬਿਲਟੀ ਫੰਕਸ਼ਨ
বার্নোলি-সমীকরণ,ਬਰਨੌਲੀ-ਸਮੀਕਰਨ
বেরি ফাংশন,ਬੇਰੀ ਫੰਕਸ਼ਨ
সেরা আনুগত্য,ਵਧੀਆ ਚਿਪਕਣ
সেরা আনুগত্য লাইন,ਵਧੀਆ ਅਸੰਭਵ ਲਾਈਨ
সেরা সমাধান,ਵਧੀਆ ਹੱਲ
সেরা টিপস,ਵਧੀਆ ਸੁਝਾਅ
বিটা বিতরণ,ਬੀਟਾ ਵੰਡ
"পক্ষপাত, পক্ষপাত","ਪੱਖਪਾਤ, ਪੱਖਪਾਤ"
পক্ষপাতমূলক মূল্যায়ন,ਪੱਖਪਾਤੀ ਮੁਲਾਂਕਣ
দ্বিপদ সমীকরণ,ਬਾਇਨੋਮੀਅਲ ਸਮੀਕਰਨ
একক আবরণ,ਸਿੰਗਲ ਕਵਰ
একক কভার মানচিত্র,ਸਿੰਗਲ ਕਵਰ ਨਕਸ਼ਾ
একক কভার ম্যাপিং,ਸਿੰਗਲ ਕਵਰ ਮੈਪਿੰਗ
দ্বিঘাত দ্বিঘাত,ਚਤੁਰਭੁਜ ਚਤੁਰਭੁਜ
বাইলিনিয়ার ফাংশন,ਦੋ-ਲੀਨੀਅਰ ਫੰਕਸ਼ਨ
বাইলিনিয়ার হারমিটিয়ান একজাতীয়তা,ਦੋ-ਲੀਨੀਅਰ ਹਰਮੀਟੀਅਨ ਸਮਰੂਪਤਾ
"দ্বি-পরিবর্তনশীল, বাইনারি, দ্বৈত","ਦੋ-ਵੇਰੀਏਬਲ, ਬਾਈਨਰੀ, ਦੋਹਰਾ"
"বাইনারি কোড, বাইনারি কোড","ਬਾਈਨਰੀ ਕੋਡ, ਬਾਈਨਰੀ ਕੋਡ"
"বাইনারি কোডেড দশমিক, বাইনারি কোডেড দশমিক","ਬਾਈਨਰੀ ਕੋਡਡ ਦਸ਼ਮਲਵ, ਬਾਈਨਰੀ ਕੋਡਿਡ ਦਸ਼ਮਲਵ"
বাইনারি এনকোডিং,ਬਾਈਨਰੀ ਇੰਕੋਡਿੰਗ
বাইনারি কম্পিউটার,ਬਾਈਨਰੀ ਕੰਪਿਊਟਰ
বাইনারি সংখ্যা,ਬਾਈਨਰੀ ਨੰਬਰ
বাইনারি অপারেশন,ਬਾਈਨਰੀ ਕਾਰਵਾਈ
বাইনারি পদ্ধতি,ਬਾਈਨਰੀ ਢੰਗ
বাইনারি পরিবর্তনশীল,ਬਾਈਨਰੀ ਵੇਰੀਏਬਲ
দ্বিপদ সহগ,ਬਾਇਨੋਮੀਅਲ ਗੁਣਾਂਕ
দ্বিপদ ডিস্ট্রিবিউশন,ਬਾਇਨੋਮੀਅਲ ਵੰਡ
দ্বিপদ সমীকরণ,ਬਾਇਨੋਮੀਅਲ ਸਮੀਕਰਨ
দ্বিপদ প্রকরণ,ਬਾਇਨੋਮੀਅਲ ਵਿਭਿੰਨਤਾ
দ্বিপদ অভিব্যক্তি,ਦੋਨੋਮੀ ਸਮੀਕਰਨ
দ্বিপদী র্যান্ডম পরিবর্তনশীল,ਬਾਇਨੋਮੀਅਲ ਬੇਤਰਤੀਬ ਵੇਰੀਏਬਲ
দ্বিপদ উপপাদ্য,ਬਾਇਨੋਮੀਅਲ ਥਿਊਰਮ
"অর্ধেক, বিভাজন","ਅੱਧਾ, ਵਿਭਾਜਨ"
"দ্বিখণ্ডিত পদ্ধতি, অর্ধবিভাগ পদ্ধতি","ਦੋ-ਭਾਗ ਵਿਧੀ, ਅਰਧ-ਵਿਭਾਜਨ ਵਿਧੀ"
অর্ধেক দ্বিখণ্ডক,ਅੱਧਾ ਬਾਈਸੈਕਟਰ
দ্বিপদ,"ਬਾਇਨੋਮੀਅਲ, ਦੁਵੱਲਾ"
"Dwayank (বাইনারী সংখ্যা), আনি, বার্মিজ, টুক","ਦ੍ਵਯੰਕ (ਬਾਈਨਰੀ ਸੰਖਿਆ), ਅਨੀ, ਬਰਮੀ, ਟੁਕ"
দ্বিপদ দ্বিপদী বন্টন দ্বিপদ,binomial binomial distribution binomial
দ্বিভারী পারস্পরিক সম্পর্ক সহগ,ਬਾਇਵਾਰੀਏਟ ਸਹਿ-ਸਬੰਧ ਗੁਣਾਂਕ
দ্বিমুখী বন্টন,ਦੋ-ਪੱਖੀ ਵੰਡ
bivariate স্বাভাবিক-বন্টন,bivariate ਸਧਾਰਨ-ਵੰਡ
bivector,bivector
বোল্টম্যান সমীকরণ,ਬੋਲਟਮੈਨ ਸਮੀਕਰਨ
বুলিয়ান বীজগণিত*,ਬੁਲੀਅਨ ਅਲਜਬਰਾ*
বোস-আইনস্টাইন পরিসংখ্যান,ਬੋਸ-ਆਈਨਸਟਾਈਨ ਦੇ ਅੰਕੜੇ
সীমাবদ্ধতা সীমাবদ্ধতা,ਸੀਮਾ ਪਾਬੰਦੀਆਂ
সীমানা স্তর,ਸੀਮਾ ਪੱਧਰ
সীমান,ਸੀਮਾ ਰੇਖਾ
সীমা মান,ਸੀਮਾ ਮੁੱਲ
সীমানা মান সমস্যা,ਸੀਮਾ ਮੁੱਲ ਸਮੱਸਿਆ
"আবদ্ধ ফাংশন আবদ্ধ ফল,",ਸੀਮਿਤ ਫੰਕਸ਼ਨ ਸੀਮਿਤ ਫਲ
"আবদ্ধ ম্যাট্রিক্স, আবদ্ধ ম্যাট্রিক্স, আবদ্ধ টেবিল,","ਬਾਊਂਡਡ ਮੈਟ੍ਰਿਕਸ, ਬਾਊਂਡਡ ਮੈਟ੍ਰਿਕਸ, ਬਾਊਂਡਡ ਟੇਬਲ"
"সীমাবদ্ধ অঞ্চল সীমাবদ্ধ অঞ্চল,",ਸੀਮਾਬੱਧ ਖੇਤਰ ਸੀਮਾਬੱਧ ਖੇਤਰ
"আবদ্ধ সেট আবদ্ধ সেট,",ਬਾਊਂਡਡ ਸੈੱਟ ਬਾਊਂਡਡ ਸੈੱਟ
ব্রাউনি গতি,ਭੂਰੀ ਮੋਸ਼ਨ
হিসাব করতে,ਗਣਨਾ ਕਰਨ ਲਈ
গণনা,ਗਣਨਾ
"ক্যালকুলেটর, ক্যালকুলেটর","ਕੈਲਕੁਲੇਟਰ, ਕੈਲਕੁਲੇਟਰ"
হিসাব*,ਗਣਨਾ*
