Gujarati,English
કેન્દ્રબિંદુ બળ,centripetal force
"કેન્દ્રિય મેરીડીયન,",centroid
નિશ્ચિતતા,certainty
cgs પદ્ધતિ,c.g.s. system
સીજીએસ એકમ,c.g.s. unit
ભિન્નતાનો સાંકળ નિયમ,chain rule of differentiation
તક દ્વારા,chance causes
રેન્ડમ ચાલ,chance moves
અક્ષ શિફ્ટ,change of axes
"આધાર પરિવર્તન પાયધર-પરિવર્તન,",change of basis
ક્રમચય,change of order
લાક્ષણિક ગુણાંક,characteristic coefficient
લાક્ષણિકતા નિર્ણાયક,determinant
લાક્ષણિક સમીકરણ,characteristic equation
"લાક્ષણિક કાર્ય, લાક્ષણિક કાર્ય",characteristic function
લઘુગણકનું પૂર્ણાંક,characteristic of logarithm
"લાક્ષણિક બહુપદી,",characteristic polynomial
લાક્ષણિક મૂલ્ય,characteristic value
લાક્ષણિક વેક્ટર,characteristic vector
પાત્ર સમુદાય,character set
"ચાર્ટ, ચાર્ટ,",chart
ચી-સ્ક્વેર વિતરણ,chi-square distribution
ચી-સ્ક્વેર ફોર્મ્યુલા,chi-square formula
ચી-સ્ક્વેર ટેસ્ટ,chi-square test
તાર*,chord
તાર વિભાજન પદ્ધતિ,chord-bisection method
લેખિત સંદેશ,cipher message (=coded message)
"શૂન્ય, સાઇફર",cipher (zero)
વર્તુળ*,circle
કન્વર્જન્સ વર્તુળ,circle of convergence
સર્કિટ મેટ્રિક્સ,circuit matrix
"પરિપત્ર, પરિપત્ર,",circular
પરિપત્ર એસિમ્પ્ટોટ્સ,circular asymptote
ગોળાકાર કોન્ડ્યુલાઇન,circular helix
પરિપત્ર ગતિ,circular motion
પરિઘ કેન્દ્ર,circumcentre
નિવૃત્ત*,circumcircle
"પ્રદક્ષિણા કરવી, આસપાસ દોરવું",circumscribe
ભૂતકાળ,circumscribed
ઘેરાયેલું,circumscribed circle
પ્રખ્યાત કોર્પોરેટ,classical deductive technique
ક્લાસિક ગતિશીલતા,classical dynamics
ક્લાસિક ઓપ્ટિમાઇઝેશન,classical optimization
ક્રોનિક નાણાકીય સમસ્યા,classical ruin problem
શાસ્ત્રીય આંકડાકીય મિકેનિક્સ,classical statistical mechanics
ભૂલોનું વર્ગીકરણ,classification of errors
વર્ગ અંતરાલ,class interval
વર્ગ અંતરાલ એકમ,class-interval unit
વર્ગ મર્યાદા,class limit
ઘડિયાળની દિશામાં,clockwise
બંધ,clopen (= closed and open)
"બંધ, બંધ",closed
બંધ સ્તર આવરણ,closed convex hull
બંધ સમઘન,closed cube
"બંધ વળાંક, બંધ વળાંક",closed curve
બંધ પ્રાંત,closed domain
બંધ આકાર,closed figure
બંધ અંતરાલ,closed interval
"બંધ પ્રદેશ, બંધ પ્રદેશ",closed region
બંધ સેટ,closed set
"બંધ પાનું, બંધ પાનું",closed surface
નેમેસિસ,closure
pronator,closure operator
બહિર્મુખ બિંદુ,closure point (= contact point)
કેપ્ટિવ-સ્વીકૃત,closure postulate
કેપ્ટિવ સેટ,closure set
ક્લસ્ટર પોઇન્ટ,cluster point
ક્લસ્ટર નમૂના,cluster sampling
ક્લસ્ટર એકંદર,cluster set
કોક્સિયલ વર્તુળ,coaxial circles
કોક્સિયલ પેરાબોલા,coaxial parabolas
કોક્સિયલ પ્લેન,coaxial planes
કોક્સિયલ ત્રિકોણ,coaxial triangles
કોબ-ડગ્લાસ કાર્ય,Cobb - Douglas function
"એન્કોડિંગ, કોડિંગ, નોટેશન",coding
સામગ્રી સંકેત,coding of data
સહ-પ્રાંત,co-domain
ગુણાંક મેટ્રિક્સ,coefficient matrix
સહસંબંધ ગુણાંક,coefficient of correlation
નિર્ધારણ ગુણાંક,coefficient of determination
સ્થિતિસ્થાપકતા ગુણાંક,coefficient of elasticity
પ્રસરણ ગુણાંક,coefficient of expansion
ઘર્ષણ ગુણાંક,coefficient of friction
રેખાંશ વિસ્તરણનો ગુણાંક,coefficient of linear expansion
રીગ્રેસન ગુણાંક,coefficient of regression
સપાટીના તાણનો ગુણાંક,coefficient of surface tension
વિચલનો ગુણાંક,coefficient of variation
"સહ-પરિબળ, સહ-પરિબળ, સહ-પરિબળ",cofactor
સિક્કો ટૉસ,coin throw (coin toss)
નમૂના સંગ્રહ,collection of sample
સમરેખા,collinear
ગોઠવણી,collinearity
"કૉલમ, કૉલમ",column
સ્તંભત્વ,column equivalence
સ્તંભાકાર,column equivalent
સ્તંભાકાર મેટ્રિક્સ,column equivalent matrix
કૉલમ મેટ્રિક્સ,column matrix
કૉલમ ક્રમ,column rank
સ્તંભાકાર અધિક્રમિક મેટ્રિક્સ,column reduced echolon matrix
કૉલમ વેક્ટર,column vector
કૉલમ મુજબ,columnwise
સંયુક્ત સમીકરણ,combined equation
"સામાન્ય કોણ, સામાન્ય કોણ",common angle
સામાન્ય અક્ષ,common axis
"સામાન્ય આધાર, સામાન્ય આધાર",common base
સાર્વત્રિક,common denominator
સામાન્ય તફાવત,common difference
"સામાન્ય પરિબળ, સામાન્ય પરિબળ, સામાન્ય પરિબળ",common factor
"સરળ લઘુગણક, સરળ લઘુગણક",common logarithm
"સામાન્ય બહુવિધ, સામાન્ય",common multiple
સામાન્ય ગુણોત્તર,common ratio
આંતરછેદ કલમ,common section
સામાન્ય હાથ,common side
"સામાન્ય સ્પર્શક, સામાન્ય સ્પર્શક",common tangent
સામાન્ય સ્થિતિ,common term
પરિવર્તનીય નિયમ,commutative law
વિનિમયાત્મક મિલકત,commutative property
પરિવર્તનીય નિયમ,commutative rule
રકમનો વિનિમયાત્મક કાયદો,commutative law of addition
ગુણાકારનો વિનિમયાત્મક નિયમ,commutative law of multiplication
વિનિમયાત્મક કામગીરી,commutative operation
પરિવર્તનીય જૂથ,commutator group
મેટ્રિસિસનું વિનિમયાત્મક,commuting of matrices
કોમ્પેક્ટ સેટ,compact set
"તુલનાત્મકતા, તુલનાત્મકતા",comparability
માધ્યમની સરખામણી,comparision of means
ટકાવારીની સરખામણી,comparision of percentage
સરખામણી કસોટી,comparision test
સુસંગત સમીકરણ,compatibility equation
સ્પર્ધાત્મક રમત,competitive game
સ્પર્ધાત્મક સ્થિતિ,competitive situation
સ્પર્ધાત્મક વ્યૂહરચના,competitive strategy
"દુભાષિયા, કમ્પાઇલર",compiler
પૂરક,complementary
પૂરક કોણ,complementary angle
પૂરક ઘટના,complementary event पूरक घटना
પૂરક પરિબળ,complementary factor
પૂરક કાર્ય,complementary function
પૂરક અડધી વસ્તી,complementary half space
પૂરક અંતરાલ,complementary interval
પૂરક સમૂહ,complementary set
"પૂરક, પૂરક",complementation
પૂરક સમૂહ,complement of a set
સંપૂર્ણ સ્કોર,complete census
સંપૂર્ણ સહસંબંધ મેટ્રિક્સ,complete correlation matrix
સંપૂર્ણ શ્રેણી વસ્તી,complete metric space
સંપૂર્ણ સામાન્ય ઓર્થોગોનલ સેટ,complete orthonormal set
સંપૂર્ણ ચતુષ્કોણ,complete quadrangle
સંપૂર્ણ ગુણાંક,complete quotient
સંપૂર્ણ સેટ,complete set
સંપૂર્ણ ઉકેલ,complete solution
સંપૂર્ણપણે રેન્ડમાઇઝ્ડ ડિઝાઇન,completely randomised design
જટિલ સ્વતંત્ર ચલ,complex argument
જટિલ જોડાણ,complex conjugate
જટિલ વિભેદક,complex differentiation
જટિલ કાર્ય,complex function
જટિલ એકીકરણ,complex integration
જટિલ મેટ્રિક્સ,complex matrices
જટિલ સંખ્યા,complex number
જટિલ સંખ્યા ક્ષેત્ર,complex number field
જટિલ વર્ટિકલ મેટ્રિક્સ,complex orthogonal matrix
સંયુક્ત વિમાન,complex plane
જટિલ રકમ,complex quantity
જટિલ વ્યસ્ત,complex reciprocal
સંયુક્ત પરિણામ,complex resultant
જટિલ વસ્તી,complex space
સંયુક્ત કાર્ય,complex valued function
જટિલ ચલ,complex variable
સરવાળો ગુણોત્તર,componendo and divindendo
"ઘટક, સંબંધિત ઘટક",component
ઘટક વિશ્લેષણ,component analysis
વિચલન પરિબળ,component of variance
વેક્ટર ઘટક,component of vector
સંયુક્ત કાર્ય,composite function
સંયુક્ત દ્રષ્ટિ,composite hypothesis
સંયુક્ત સંખ્યા,composite number
સંયુક્ત શ્રેણી,composite series
વેક્ટર સંયોજન,composition of vectors
મિશ્ર કોણ,compound angle
એલોય ભાગ,compound division
મિશ્ર અપૂર્ણાંક,compound fraction
સંયોજન વ્યાજ,compound interest
મિશ્ર સંભાવના,compound probability
સંકુચિત પ્રવાહ,compressible flow
સંકોચન,compression
ગણતરી,computation
કોમ્પ્યુટેશનલ ફોર્મ્યુલા,computational formula
ગણતરી કરેલ મૂલ્ય,computed value
"કમ્પ્યુટર, કમ્પ્યુટર (મશીન), કમ્પ્યુટર (વ્યક્તિ)",computer
ગણતરી કરેલ અલ્ગોરિધમ,computer algorithm
કમ્પ્યુટર પ્રોગ્રામ,computer programme
કોમ્પ્યુટર પ્રોગ્રામીંગ,computer programming
કમ્પ્યુટર સિમ્યુલેશન,computer simulation
ગણતરી,computing
લક્ષી કાર્ય,concave function
અંતર્મુખ બહુકોણ,concave polygon
લક્ષી પ્રોગ્રામિંગ,concave programming
કેન્દ્રિત વર્તુળ,concentric circles
કેન્દ્રિત વળાંક,concentric curves
અમૂર્ત ખ્યાલને વાસ્તવિક ગણો,concrete form
રેખાઓનો સંગમ,concurrency of lines
સમવર્તી,concurrent
સમવર્તી બળ,concurrent forces
શરતી ઘનતા કાર્ય,conditional density function
શરતી વિતરણ,conditional distribution
પ્રતિબંધિત અપેક્ષા,conditional expectation
શરતી સરેરાશ,conditional mean
શરતી સંભાવના,conditional probability
સંરેખણ પ્રતિબંધ,condition of collinearity
સુસંગતતા પ્રતિબંધો,condition of consistency
અખંડિતતા પ્રતિબંધ,condition of integrability
સ્પર્શ પ્રતિબંધ,condition of tangency
"શંકુ, શંકુ",cone
આત્મવિશ્વાસ અંતરાલ,confidence interval
આત્મવિશ્વાસ અંતરાલ અંદાજ,confidence interval estimate
વફાદારી મર્યાદા,confidence limits
આત્મવિશ્વાસ ઝોન,confidence region
વિરોધ સ્થિતિ,conflict situation
કોન્ફોકલ કોનિક,confocal conics
confocal ellipsoid,confocal ellipses
કોન્ફોકલ ભૂમિતિ,confocal geometry
કોન્ફોકલ હાઇપરબોલા,confocal hyperbolae
કોન્ફોકલ હાઇપરબોલા,confocal hyperboloids
કોન્ફોકલ પેરાબોલા,confocal parabola
કોન્ફોકલ પેરાબોલિક કોઓર્ડિનેટ્સ,confocal paraboloidal cordinates
"સમાન, સમાન",conformal
કોણ મેપિંગ,conformal mapping
"સુસંગતતા, દ્વિસમાંતર રેખા-કુલ, સમાનતા",congruence
દ્વિ સમાંતર વર્તુળ કુલ,congruence of circles
"સુસંગત, સમ",congruent
સમકક્ષ મેટ્રિક્સ,congruent matrices
"શંકુદ્રુપ, શંકુદ્રુપ",conic
શંક્વાકાર ફ્રસ્ટમ,conical frustum
શંકુ-કુંડલિની,conical helix
"કોનિક કટ, કોનિક",conical section
શંકુ ગણિત,conics
"શંકુ-કટ, શંકુ-વિભાગ",conic section
"સંયોજિત થવું (વિ.), જોડવું (વિ.)",conjugate
સંયોજક કોણ,conjugate angles
સંયુક્ત અક્ષ,conjugate axis
