Gujarati,Assamese
1. એફિડ 2. મહુ 3. ચેપા,১.এফিড ২.মহু ৩.চেপা
ટોચની કળી,শীৰ্ষ কলি
ટોચની અસરકારકતા,শীৰ্ষ ফলপ্ৰসূতা
મધમાખી ઉછેર,মৌমাখি ৰখা
અજાતીયતા,অযৌনতা
એપોપ્ટોસિસ,এপ&#39;প্টোছিছ
પરિશિષ્ટ,appendages
ભૂખ લગાડનાર,appetizer
લાગુ,প্ৰয়োগ কৰা হৈছে
જળચર નીંદણ,জলজ অপতৃণ
1. વૃક્ષ 2. વૃક્ષ નિવાસી,১.গছ ২.গছৰ বাসিন্দা
શાખાઓ,শাখা-প্ৰশাখা
પ્રોટોબોટનિકલ રેકોર્ડ્સ,প্ৰ&#39;ট&#39;বোটানিকেল ৰেকৰ্ড
ઝોન નંબર,জ&#39;ন নম্বৰ
1. વિસ્તાર 2. વિસ્તાર,১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল
શુષ્ક ઇકોસિસ્ટમ,শুকান পৰিৱেশ তন্ত্ৰ
કોટિલેડોન,কুটিলডন
સૌરભ,সৌৰভ
સુગંધિત છોડ,সুগন্ধিযুক্ত উদ্ভিদ
સુગંધિત ચોખા,সুগন্ধি চাউল
ઇક્ષુ પુષ્પન,ইক্ষু পুষ্পন
એસેપ્ટિક,বীজাণুমুক্ত
1. એસેપ્ટિક 2. એસેપ્ટિક,১.এচেপ্টিক ২.এচেপ্টিক
અજાતીય પ્રજનન,অযৌন প্ৰজনন
કદ,আকাৰ
સંપત્તિ,সম্পত্তি
1. એસિમિલેશન 2. એસિમિલેશન,১/ আত্মসাৎ ২. আত্মসাৎ
1. એસોસિએશન 2. એસોસિએશન,১.সংঘ ২.সংঘ
1. કૉલમ 2. અસ્પષ્ટતા,1. স্তম্ভ 2. astringency
હેટરોઝાયગોસિટી,হেটেৰ&#39;জাইগোচিটি
1. પૂર્વજ 2. એટાવિઝમ,১.পূৰ্বপুৰুষ ২.আটাভিজম
કણ,কণা
1. પુષ્ટિ 2. ક્ષતિ,1. অনিশ্চয়তা 2. বিকলতা
સ્વ જોડી,self pairing
ઓટોલિસિસ,অটোলাইছিছ
1. સ્વયંસ્ફુરિત ઓક્સિડેશન 2. સ્વયંસ્ફુરિત ઓક્સિડેશન,1. স্বতঃস্ফূৰ্ত অক্সিডেচন 2. স্বতঃস্ফূৰ্ত অক্সিডেচন
સ્વ મલ્ટિપ્લેક્સ્ડ,self multiplexed
ઓક્સિન,অক্সিন
1. હચમચી 2. દેડકો,১/ জোকাৰি যোৱা ২. টোড
દંડ વાયરસ,পেনাল ভাইৰাছ
1. બેસિલસ 2. બેસિલસ,১.বেচিলাছ ২.বেচিলাছ
1. બેક્ટેરિયા 2. બેક્ટેરિયા,১/ বেক্টেৰিয়া ২) বেক্টেৰিয়া
બેક્ટેરિયલ ઝેર,বেক্টেৰিয়াৰ বিষাক্ত পদাৰ্থ
બગાસ,বাগাছ
સરવૈયા,বেলেন্স শ্বীট
સંતુલિત ખાતરનો ઉપયોગ,সুষম সাৰৰ ব্যৱহাৰ
બાર ગ્રાફ,বাৰ গ্ৰাফ
છાલ,বাকলি
1. બેરોમીટર 2. બેરોમીટર,১.বেৰ’মিটাৰ ২.বেৰ’মিটাৰ
1. બઝર 2. જડ 3. ઉજ્જડ,১. বাজাৰ ২. নিষ্ক্ৰিয় ৩. বন্যাৰ্ত
1. આધાર 2. આધાર 3. કપંગ,1. ভিত্তি 2. ভিত্তি 3. কুপাং
1. તાલા 2. બેસિન,১.তালা ২.বেচিন
તલાબીસરી,তালাবিছাৰী
1. બેસિસ્ટર્નમ 2. રુટ ધારક,১.বেচিষ্টেৰনাম ২.মূল ধাৰণকাৰী
ગલ્ફ ચોમાસું,উপসাগৰীয় বাৰিষা
ફળનો છોડ,ফলৰ উদ্ভিদ
પથારી,বিছনা
બેડ પ્લાન્ટ,বিচনা উদ্ভিদ
પથારી,বিচনা চাদৰ
બીટ દાળ,বুটমাহৰ গুড়
બેલો,bellows
1. પટ્ટી 2. ભૂપ્રદેશ,১.ষ্ট্ৰিপ ২.ভূখণ্ড
નફો-ખર્ચ વિશ્લેષણ,লাভ-খৰচ বিশ্লেষণ
મહત્વાકાંક્ષી (સેમ્પલિંગ),আকাংক্ষিত (Sampling)
દ્વિવાર્ષિક છોડ,দ্বিবাৰ্ষিক উদ্ভিদ
દ્વિપદી,দ্বিপদ
બાયોફેક્ટર,বায়&#39;ফেক্টৰ
જૈવિક આબોહવા,জৈৱিক জলবায়ু
જૈવ ઊર્જા,জৈৱ শক্তি
પ્રાણીસૃષ્ટિ ઇકોલોજી,প্ৰাণীৰ পৰিস্থিতিতন্ত্ৰ
1. બાયો-પ્રોસેસર 2. બાયો-રિએક્ટર,১/ বায়’-প্ৰচেছৰ ২.বায়’-ৰিয়ক্টৰ
બાયોસ્ફિયર,জৈৱমণ্ডল
જૈવિક,জৈৱিক
પ્રાણીસૃષ્ટિ,প্ৰাণীজগত
ડિવિલિંગી,ডিভিলিংগি
ધવલન,ধাৱলান
1. પ્રધવાસન (રોગ) 2. ગસ્ટ રોગ,১/প্ৰধ্বাসন (ৰোগ) ২) গাষ্ট ৰোগ
મિશ્રણ,মিশ্ৰণ
1. અંગમારી (રોગ) 2. બ્લાઈટ (રોગ),১.আংমাৰী (ৰোগ) ২.ব্লাইট (ৰোগ) ২.
1. ફોલ્લો 2. ફોલ્લો 3. ફાટી નીકળવો 4. ફોલ્લો,১/ ফোহা ২. ফোহা ৩. বিস্ফোৰণ ৪. ফোহা
વાદળી ક્રાંતિ,নীলা বিপ্লৱ
પ્લાનર હીટિંગ ચેમ્બર,প্লেনাৰ হিটিং চেম্বাৰ
પ્લાનર હીટિંગ ટેકનોલોજી,সমতল উত্তাপন প্ৰযুক্তি
થૂલું,ব্ৰাণ
શાખાઓ,শাখা-প্ৰশাখা
1. ટ્વિગ 2. સબબ્રાન્ચ,১.ডাল ২.উপশাখা
જાતિ,বংশবৃদ্ধি
પ્રજનન,প্ৰজনন
પ્રારંભિક અંકુરણ સારવાર,আগতীয়াকৈ অংকুৰণৰ চিকিৎসা
1. બચ્ચા 2. ઇંડા 3. ગર્ભ,১. পোৱালি ২. কণী ৩. ভ্ৰূণ
ઉભરતા,budding
બજેટ,বাজেট
1.એમ્ફોટેરિક 2. બફર,১.এম্ফোটেৰিক ২.বাফাৰ
શક્કરિયા,মিঠা আলু
બંટ (રોગ),বান্ট (ৰোগ)
1. આડપેદાશ 2. આડપેદાશ,1. উপ-উৎপাদন 2. উপ-উৎপাদন
c ભેજ સ્પષ્ટીકરણ વળાંક,c আৰ্দ্ৰতা নিৰ্দিষ্টকৰণ বক্ৰ
તેલ કેક,তেলৰ কেক
1. ચૂનો 2. કેલ્શિયમ,১.চূণ ২.কেলচিয়াম
કેલ્સિયન,calcion
ફોસ્ફેટ દૂર કરવું,ফছফেট আঁতৰোৱা
1. કિનાટા 2. કેલાટા,১.কিনাটা ২.কালাটা
1.કેલસ 2. કિરણ,১.কেলাছ ২.ৰশ্মি
1. સેપલ્સ 2. કેલિક્સ,1. ফুলৰ গুটি 2. calyx
બહારનો છેડો,বাহ্যিক শেষ
એધા,এধা
કર્કશ (બેક્ટેરિયલ રોગ),কেন্সাৰ (বেক্টেৰিয়াৰ ৰোগ)
કેનિંગ,কেনিং
આકાશ,আকাশ
ફાઇનાન્સ,বিত্ত
પરાગનયન (અંજીરનું),পৰগাছা (ডুমুৰৰ)
1. કેપ્સ્યુલ 2. કેપ્સ્યુલ 3. કેપ્સ્યુલ,১.কেপচুল ২.কেপচুল ৩.কেপচুল
કાર્બનયુક્ત,কাৰ্বনাইজড
કાર્બનન,কাৰ্বনেন
કારાપેસ,carapace
બંગડી,এপাত হাতৰ অলংকাৰ
1. કાસ્ટિંગ (લોખંડ) 2. ક્ષિપ્તિ (જંતુ),1. ঢালাই (লোহা) 2. ক্ষীপতি (পোক)
અપચય,কেটাবলিজম
પ્રેરિત,প্ৰৰোচনা
1. કેટરપિલર 2. કેટરપિલર,1. পোক 2. পোক
c ડી. એન. a સંગ્રહ,গ ঘ. এন. ক. সংগ্ৰহ
શ્રેણી,পৰিসৰ
1. સેલ 2. સેલ,১.কোষ ২.কোষ
કેન્દ્રીય ફ્રન્ટ સિસ્ટમ,কেন্দ্ৰীয় ফ্ৰন্ট ব্যৱস্থা
1. બિંદુ 2. ફોકસ,1. বিন্দু 2. ফোকাচ
સેન્ટ્રીફ્યુગેશન,কেন্দ্ৰচালিতকৰণ
સેન્ટ્રીફ્યુજ,কেন্দ্ৰচালিত কৰক
સ્ટાર સેન્ટર,তাৰকা কেন্দ্ৰ
એપિજેનેટિક,এপিজেনেটিক
કેન્દ્રજા,কেন্দ্ৰজা
લૂમ,loom
1. અનાજ 2. સીરીયલ,১/ শস্যৰ বীজ ২. ছিৰিয়েল
1. પ્રમાણપત્ર 2. પ્રમાણપત્ર,১.প্ৰমাণীকৰণ ২.প্ৰমাণীকৰণ
પ્રમાણિત બીજ,প্ৰমাণিত বীজ
1. સ્ટ્રો 2. કુટ્ટી 3. શલક સહપાત્ર,১) খেৰ ২.কুট্টি ৩.শালক সহপাত্ৰ
1. નિભાગ 2. કૈલાજા,১.নিভাগ ২.কৈলাজা
કીમોગ્રાફી,চাইম&#39;গ্ৰাফী
1. કિયાઝમા 2. વ્યસ્ત,১.কিয়াজমা ২.ব্যস্ত
સુપરકૂલિંગ કલાકો,ছুপাৰকুলিং ঘন্টা
હિમ નુકસાન,হিম ক্ষতি
1. વિચિરોતકી 2. ચિમેરા,১/ ভিচিৰোটাকি ২.চিমেৰা
લીલો પોર્રીજ,সেউজীয়া দাইল
1. પર્ણસમૂહ 2. લીલો,১.পাতল ২.সেউজীয়া
સાયનોસિસ,চাইন&#39;ছিছ
જૈવિક વિતરણ વિજ્ઞાન,জৈৱিক বিতৰণ বিজ্ঞান
1. ક્રોમેટિડ 2. અર્ધ રંગસૂત્રો,১) ক্ৰ’মেটিড ২) আধা ক্ৰম’জম
ક્રોમેટિન,ক্ৰ&#39;মেটিন
ક્રોમેટોગ્રાફી,ক্ৰ&#39;মাট&#39;গ্ৰাফী
ક્રોમેટિનલેશન,ক্ৰ&#39;মেটিনেচন
ધમની બિંદુ,অলিন্দৰ বিন্দু
ક્રોમેટોજેનેસિસ,ক্ৰ&#39;মেট&#39;জেনেছিছ
1. ક્રોમોપ્રોટીન 2. પિગમેન્ટપ્રોટીન,১/ ক্ৰম’প্ৰটিন ২.ৰঞ্জক প্ৰটিন
1. રંગસૂત્રો 2. રંગસૂત્રો,১.ক্ৰম’জম ২.ক্ৰম’জম
1. ક્રોનિક 2. ક્રોનિક 3. ક્રોનિક 4. અપ્રચલિત,1. দীৰ্ঘদিনীয়া 2. দীৰ্ঘদিনীয়া 3. দীৰ্ঘদিনীয়া 4. অচল
સાઇટ્રેન્જ,ট্যাগ এর সাথে ছবি &#39;citrange&#39;:
પાનખર તહેવાર,পতন উৎসৱ
વર્ગીકરણ,শ্ৰেণীবিভাজন
1. માટી 2. માટી,১.মাটি ২.মাটি
1. સફાઈ 2. સ્ક્રબિંગ 3. સફાઈ 4. શુદ્ધિકરણ,১/ পৰিষ্কাৰ কৰা ২.স্ক্ৰাব কৰা ৩. পৰিষ্কাৰ কৰা ৪.বিশুদ্ধকৰণ
સતત પરાગનયન,স্থায়ী পৰগাছা
ક્રુસિફેરસ ફળ,ক্ৰুচিফেৰাছ ফল
વાતાવરણ,জলবায়ু
આબોહવાશાસ્ત્ર,জলবায়ুবিজ্ঞান
કાતર,shear
ગઠ્ઠો (માટી),গোট (মাটি)
ક્લોન,ক্ল&#39;ন
1.વાદળો 2.વાદળો,১.ডাৱৰ ২.ডাৱৰ
ઝુંડ,ক্লাম্প
ટોળું,মুঠি
1. બરછટ 2. ખરબચડી 3. કાચી 4. ખરબચડી,১.মোটা ২.ৰুক্ষ ৩.কেঁচা ৪.ৰুক্ষ
1. કવર 2. ચામડું,১.আৱৰণ ২.চামৰাৰ টুকুৰা
કોયા,কয়া
1. કોએનઝાઇમ 2. કો-એન્ઝાઇમ,১/ কো-এনজাইম ২.কো-এনজাইম
સંયોગ,সংহতি
1. ફાઇબર (જ્યુટ જ્યુટ) 2. નારિયેળ બરછટ,১/ আঁহ (পাট পাট) ২) নাৰিকল মোটা
મુલંકુર ચોલા,মুলংকুৰ চোলা
,
કોલોઇડ (માટી),কলয়ড (মাটি)
1.કૉલમ 2.કોલ્યુમેલા,১.স্তম্ভ ২.কলমেলা
1. દંડ 2. કૉલમ 3. કૉલમ,১/ শাস্তি ২.স্তম্ভ ৩.স্তম্ভ
કોમ્યુનિયન,কমিউনিয়ন
કોમર્શિયલ બેંક,বাণিজ্যিক বেংক
1. કોમોડિટી 2. મર્ચેન્ડાઇઝ,১/ পণ্য ২/ ব্যৱসায়িক সামগ্ৰী
સમુદાય,সমুদায়
કોમ્પેક્શન (માટીનું),সংকোচন (মাটিৰ)
1. સુસંગતતા 2. સુસંગતતા,1. সামঞ্জস্যতা 2. সামঞ্জস্যতা
સુસંગતતા,সামঞ্জস্যতা
1. વળતર 2. વળતર,১/ ক্ষতিপূৰণ ২/ ক্ষতিপূৰণ
સ્પર્ધાત્મક ક્રિયાપ્રતિક્રિયા,প্ৰতিযোগিতামূলক পাৰস্পৰিক ক্ৰিয়া
પૂરક પાક,শস্যৰ পৰিপূৰক
1.સંયુક્ત 2.જટિલ,১.সংমিশ্ৰিত ২.জটিল
ઘટક,সমষ্টিবাসী
રચના,সুৰ-ৰচনা
ખાતર,পচন সাৰ
સંયોજન વ્યાજ,যৌগিক আগ্ৰহ
ગણતરી,গণনা
1. કોમ્પ્યુટર 2. કોમ્પ્યુટર,1. কম্পিউটাৰ 2. কম্পিউটাৰ
1. એકાગ્રતા 2. એકાગ્રતા,১/ ঘনত্ব ২. ঘনত্ব
1. ઑપ્ટિમાઇઝર 2. રિવાઇટલાઇઝર,১.অপ্টিমাইজাৰ ২.ৰিভাইটালাইজাৰ
વાહકતા,পৰিবাহীতা
1. રૂપરેખાંકન 2. રૂપરેખા,1. বিন্যাস 2. বিন্যাস
1. અનુરૂપતા 2. રૂપરેખાંકન 3. અનુરૂપતા,1. অনুকূলতা 2. সংৰূপ 3. অনুকূলতা
1. એકીકરણ 2. હાઇબ્રિડાઇઝેશન,১.সংহতি ২.সংকৰকৰণ
જોડાણ,সংযোজন
1. એડિટિવ 2. કનેક્ટિવ,1. যোগকৰণ 2. সংযোগী
રક્ષણ,সুৰক্ষা
એકીકરણ,একত্ৰীকৰণ
1. ઘટક 2. ઘટકો,১.উপাদান ২.উপাদান
ઉપભોક્તા,গ্ৰাহক
વપરાશ,সেৱন
દૂષણ,দূষণ কৰা
સમોચ્ચ વાવેતર,কনট্যুৰ ৰোপণ
સમોચ્ચ રેખા,কনট্যুৰ ৰেখা
1. કોન્ટ્રાક્ટ ફાર્મિંગ 2. કોન્ટ્રાક્ટ ફાર્મિંગ 3. કોન્ટ્રાક્ટ ફાર્મિંગ,১/ ঠিকাদাৰী খেতি ২.ঠিকাদাৰী খেতি ৩.চুক্তিবদ্ধ কৃষি
નિયંત્રિત વાતાવરણીય સંગ્રહ,নিয়ন্ত্ৰিত বায়ুমণ্ডলীয় সংৰক্ষণ
સહકારી બેંક,সমবায় বেংক
સહકારી મંડળીના સભ્ય,সমবায় সমিতিৰ সদস্য
ગુલમાવન,গুলমাৱন
ક્યુબ્ડ,ঘনকীয়
1. દાલપુંજ 2. કોરોલા,১.দলপুঞ্জ ২.কৰোলা
1. કોર્ટેક્સ 2. કોર્ટેક્સ,১.কৰ্টেক্স ২.কৰ্টেক্স
ખર્ચ,খৰচ
કોટિલેડોન,কুটিলডন
ક્રેડિટ કમિટી,ক্ৰেডিট কমিটি
1. ધિરાણ 2. ક્રેડિટ,১/ ঋণ দিয়া ২.ক্ৰেডিট
1. શાહુકાર 2. લેણદાર,১/ ঋণদাতা ২.পাওনাদাৰ
1. ક્રેસ્ટ 2. શિરોબિંદુ 3. સ્પાયર,1. শিখৰ 2. শিখৰ 3. শিখৰ
પાછું ખેંચવું,প্ৰত্যাহাৰ
સમસ્યા,বিপদ
પરીક્ષણ,পৰীক্ষা
જટિલ,জটিল অৱস্থা
પાક વીમો,শস্যৰ বীমা
પાક લોન,শস্যৰ ঋণ
1. પાક 2. પાક,১.শস্য ২.শস্য
ખેતી વિસ્તાર,খেতি কৰা অঞ্চল
ક્રોસ અસંગત,ক্ৰছ অসঙ্গতিপূৰ্ণ
1. તાજ 2. શિખર (છોડ),1. মুকুট 2. শিখৰ (উদ্ভিদ)
નરમ કણો,কোমল কণা
પોપડો,খোলা
1. ક્રિપ્ટોગમ 2. નોન-ફ્લોરીફોર્મ,1. ক্ৰিপ্টোগাম 2. নন-ফ্ল&#39;ৰিফৰ্ম
કાપણી (ફળ),ছাঁটনি (ফল)
પેન,কলম
કલ્ટીવાર વિવિધ,জাত জাত
1. ટ્રેક્શન 2. ખેતી 3. ખેતી,১.ট্ৰেকচন ২.কৃষি ৩.খেতি কৰা
1. ખેડૂત 2. ખેડૂત,১/ কৃষক ২/ খেতিয়ক
1. ખેતી 2. ખેતી 3. ઉછેર,১.খেতি ২.খেতি ৩.পালন
1.સંસાધન 2.તૈયારી,১.সম্পদ ২.প্ৰস্তুতি
1.કુંતલન 2.કુંચોન,১.কুন্তলন ২.কুঞ্চন
મુદ્રા,মুদ্ৰা
1. બાહ્ય ત્વચા 2. ક્યુટિકલ,১.এপিডাৰ্মিছ ২.কিউটিকল
1. પેન 2. કટિંગ 3. કટીંગ 4. કટીંગ 5. કટીંગ,1. কলম 2. কাটি 3. কাটি 4. কাটি 5. কাটিব
1. કૃમિ કોર્પસ 2. ફોલ્લો 3. ફોલ્લો 4. વિકૃત ગઠ્ઠો 5. નિયોપ્લાઝમ,১.কৃমিৰ কৰ্পাছ ২.চিষ্ট ৩.চিষ্ট ৪.বিকৃত গোট ৫.নিওপ্লাজম
સાયટોક્રોમ,চাইট&#39;ক্ৰ&#39;ম
કોષ જોડાણ,কোষ সংযোজন
સેલ પ્રજનન,কোষৰ প্ৰজনন
સેલ જીનેટિક્સ,কোষৰ জিনীয় বিজ্ঞান
સાયટોપ્લાઝમિક વિભાજન,চাইট’প্লাজমিক বিভাজন
સેલ બાયોલોજી,কোষ জীৱবিজ্ঞান
સેલ લિસિસ,কোষৰ লাইছিছ
1. સાયટોમેર 2. કોષ વિભાજન,১) চাইট’মিৰ ২) কোষৰ বিভাজন
સાયટોપ્લાઝમ,চাইট’প্লাজম
1. ડેરી 2. ડેરી,১/ দুগ্ধজাত সামগ্ৰী ২.দুগ্ধজাত সামগ্ৰী
ડેરી ઉદ્યોગ,দুগ্ধ উদ্যোগ
1. ડેમ 2. સંવર્ધક,১.বান্ধ ২.প্ৰজননকাৰী
ડે એબ્સોલ્યુટ પ્લાન્ટ,দিন নিৰপেক্ষ উদ্ভিদ
ફૂલો પછીનો દિવસ,ফুল ফুলাৰ পিছদিনা
સંપૂર્ણ ફૂલો પછીનો દિવસ,সম্পূৰ্ণ ফুল ফুলাৰ পিছত দিন
બિનકાર્યક્ષમતા,অদক্ষতা
decalcification,ডিকেলচিফিকেশন
1. ડિસ્લોજ 2. ડિસ્લોજ,1. dislodge 2. dislodge কৰা
સડો,পচি যোৱা
પાનખર,পৰ্ণপাতী
1. દશાંશ 2. દશાંશ,১.দশমিক ২.দশমিক
હીનતા,হীনমন্যতা
