English,Marathi
cable,"सागरी तार, केबल"
cadmium,कॅडमियम
caesium cell,सीझियम सेल
cage dipole,पांजर द्विध्रुव
cage effect,पांजर इफेक्ट
calculate,मोजणे
calculator,कॅल्क्युलेटर
calendar,कॅलेंडर
calibrate,"कॅलिब्रेशन, कॅलिब्रेशन, पुनरावृत्ती"
calibration factor,"कॅलिब्रेशन गुणक, कॅलिब्रेशन गुणक"
callipers,कॅलिपर
call-meter,"कॉल कॅल्क्युलेटर, टॉक कॅल्क्युलेटर"
caloric,"उष्णता (v.), उष्मांक (सं.)"
calorimeter,"कॅलरीमीटर, कॅलरीमीटर"
calorimetry,"कॅलरीमेट्री, कॅलरीमेट्री"
camera,कॅमेरा
canal rays,"कुल्या किरण, कालवा किरण"
candela,candela
candle,"मेणबत्ती, मेणबत्ती"
canonical,प्रामाणिक
cantilever,cantilever
cap,"टोपी, झगा (सं.), इंटरलेसिंग (v.)"
capacitance,धारण
capacitor,कॅपेसिटर
capillarity,"capillarity, capillarity"
capillary,"केशिका, केशिका"
capillary force,केशिका शक्ती
capsule,"कॅप्सूल, कॅप्सूल, कॅप्सूल"
capture,पकडणे
carbon 14 dating,कार्बन 14 शेड्यूलिंग
cardinals,"अविभाज्य बिंदू, मुख्य संख्या, संख्या संख्या"
Carnot's theorem,कार्नोचे प्रमेय
carrier,वाहक
Cartesian axes,कार्टेशियन अक्ष
cartridge,काडतूस
cascade,"सोपानी (वि.), सोपानीपत (सं.)"
catalysed,प्रेरित
catastrophe,"आपत्ती, आपत्ती"
catching diode,लिमिटर डायोड
cathetometer,"ऑर्थोमीटर, कॅथेटोमीटर"
cathetron,कॅथेट्रॉन
cathode,कॅथोड
cation,cation
caustic surface,तेजस्वी पृष्ठ
cavity,कोटोर
ceiling,"सीमांत, कव्हर, छेदनबिंदू, सर्वोच्च संख्या, आवरण"
celestial,आकाशीय
cell constant,सेल-स्थिर
cemented lens,सिमेंट लेन्स
centering,लक्ष केंद्रित
centigrade,सेंटीग्रेड
centimeter,सेंटीमीटर
centimeter gram second system,सेंटीमीटर-ग्राम-सेकंद पद्धत
central,"मध्यवर्ती, मध्यवर्ती"
central processing unit (C.P.U),केंद्रीय संसाधन युनिट
centre,केंद्र
centre of collineation,संरेखन केंद्र
centric ray,मध्य किरण
centripetal,केंद्राभिमुख
centroid,केंद्रक
ceramic,सिरॅमिक
c.g.s. system,c हरभरा. पासून. पद्धत
chain decay,क्रमिक क्षय
chamber,"कक्ष, खोली, खोली"
chance,"संधी, संधी, संधी"
changing,चल
channel,"वाहिनी, वाहिनी, जलवाहिनी, जलमार्ग"
channelling,"channelization, channelization"
chaos,"गोंधळ, अव्यवस्था"
character,"वर्ण, वर्ण, वर्ण"
characteristic,"वैशिष्ट्यपूर्ण, वैशिष्ट्यपूर्ण, वैशिष्ट्यपूर्ण, संपूर्ण, वैशिष्ट्यपूर्ण"
charge,"चार्ज, चार्ज, चार्ज, चार्ज"
charger,चार्जर
charging,भरा
Charles' law,चार्ल्स कायदा
chart,"तक्ता, तक्ता"
chasing,पाठपुरावा
chasis,"चौकी, चेसिस"
check,"चाचणी, चाचणी"
chemical,रासायनिक
chemi-luminescence,केमिल्युमिनेसन्स
chip,"शेव्हिंग्ज, चिप्स, चिप्स"
chi-square test,वर्ग नसलेली चाचणी
choke,"गुदमरणे (दोष), गुदमरणे"
chopper amplifier,मधूनमधून अॅम्प्लिफायर
choral music,समूह संगीत
chromatic,रंगीत
chromaticity,रंगद्रव्य
chromaticness,रंगद्रव्य
chromastism,रंगद्रव्य
chromatograph,क्रोमॅटोग्राम
chromometer,"रंगमापक, क्रोमोमीटर"
chromophore,क्रोमोफोर
chromosphere,"क्रोमोस्फियर, क्रोमोस्फियर"
chronograph,"क्रोनोग्राफ, क्रोनोग्राफ, क्रोनोग्राफ"
chronometer,क्रोनोमीटर
cinema,"चित्रपट, चित्रपट"
cinematography,सिनेमॅटोग्राफी
cipher (zero),"शून्य, सायफर"
circle in (=iris in),पुनरावृत्ती
circuit,सर्किट
circuitry,सर्किटरी
circular,"वर्तुळाकार, गोलाकार"
circulating,प्रसारित
circulation,"अभिसरण, अभिसरण"
circulator,परिपत्रक
circumferential,परिघीय
circumuclear electron,आण्विक इलेक्ट्रॉन
circumterrestrial satellite,परिभू उपग्रह
citizen's band,नागरी वारंवारता बँड
cladding,"यादी, वहिवाट"
clamping,बंध
Clapeyron equation,क्लेपेरॉन समीकरण
classical,"क्लासिक, क्लासिक, क्लासिक"
clearance,"मध्यांतर, काढणे (सं.)"
cleavage,फूट
climate,हवामान
climb,माउंट
clinical thermometer,"पायरोमीटर, वैद्यकीय थर्मामीटर"
clock voltage,घड्याळ व्होल्टेज
clockwise,घड्याळाच्या दिशेने
closed circuit,बंद परिक्रमा
closed circuit television (=piped television),बंद-सर्किट दूरदर्शन
close packed,"tightly packed, tightly packed"
close packed structure,चांगली पॅकेज केलेली रचना
closest approach,जवळचा दृष्टीकोन
closest packed,नवीनतम पॅक
close-up (=close-up view),जवळचे दृश्य
cloud,"ढग, ढग, अंधुक, स्पॉट्स"
cluster,घड
coarse,"खडबडीत, खडबडीत, कच्चे, निकृष्ट, अपरिष्कृत"
coarsely crystalline,मॅक्रो क्रिस्टलीय
coast,"कोस्ट, टार्गेट हाऊस (रडार)"
coat,"आवरण, कोट, कोट, कोटिंग"
coating,"लेप, लेप, लेप"
coaxial,शांत करणे
code,"कोड, चिन्ह, कोड, कोड, कोड"
coded,कोड केलेले
coding pulse,कोडिंग पल्स
coefficient,गुणांक
coercive,संयम
coercivity,सस्पेन्स
coherence,"संलग्नता, संलग्नता"
coherent,"संलग्न, संलग्न"
cohesion,एकसंधता
cohesional,सांसांजी
coil,कुंडली
coiled,गुंडाळलेले
coiling,"कॉइलिंग, कॉइल बिल्डिंग, कॉइलिंग"
coincidence,फ्लॅट
cold,थंड
cold emission,कमी तापमान उत्सर्जन
cold neutron,सबथर्मल न्यूट्रॉन्स
collapsible state,नाश
collateral,"संपार्श्विक, शाखा, शाखा"
collator,"समन्वयक, समन्वयक, संग्राहक"
collection,संकलन
collective,"सामूहिक, लोकसंख्या"
collector,"कलेक्टर, कलेक्टर, कलेक्टर"
colliding particles,टक्कर करणारा कण
collimate,समांतर
collimated,"समांतर, दिशाहीन"
collimator,समांतरभुज चौकोन
collinear,संरेखन
collinearity,संरेखन
collision,"टक्कर, टक्कर, टक्कर"
colloidal,कोलायड
colorimeter,"रंगमापक, रंगमापक"
colour blindness,रंगाधळेपण
colour,वर्ण
column,"स्तंभ, स्तंभ"
coma,"स्वल्पविराम, गुच्छा, शेपटी, शेपटी"
combination,"संयोजन, संयोजन, जमा"
combinational tone,संमिश्र स्वर
combination tone,संमिश्र स्वर
combustibility,दायित्व
combustion,ज्वलन
commercial ferrite,व्यावसायिक फेराइट
common,"सामान्य, सामान्य, सामान्य, सामान्य, सामान्य"
communication,कम्युनिकेशन्स
commutation,"वळवणे, डेटा बदल, क्रमपरिवर्तन"
commutator,"कम्युटेटर, कम्युटेटर, कम्युटेटर"
comparator,"तुलना करणारा, तुलना करणारा"
comparison,तुलना
compass,"होकायंत्र, होकायंत्र, होकायंत्र"
compatibility,"सुसंगतता, सुसंगतता, सुसंगतता, सुसंगतता"
compensate,"भरपाई, बदला"
compensation,"भरपाई, भरपाई, भरपाई"
compensator,प्रतिकार
compilation,"संकलन, व्याख्या"
compile,"संकलन, व्याख्या"
complementarity,पूरकता
comlementary,पूरक
complete,पूर्ण
completed shell,पूर्ण सेल
complete modulation,पूर्ण मॉड्यूलेशन
complex,"जटिल, जटिल, पॅकेज"
complex atom,जटिल अणू
complex function,जटिल कार्य
complexion,स्वरूप
complex mechanism,जटिल यंत्रणा
compliance,पाठपुरावा
component,"घटक, संबंधित घटक"
composite,"एकत्रित, मिश्रित"
compound,"मिश्र, मिश्र, एकत्रित, वित्त, संयुग"
compound pendulum,asral लोलक
compress,"कॉम्प्रेस (सं.), कॉम्प्रेस (v.)"
compressed,संकुचित
compressibility,संकुचितता
compressible,दाबण्यायोग्य
compression,संक्षेप
compressor,"कंप्रेसर, कंप्रेसर"
Compton electron,"कॉम्प्टन इलेक्ट्रॉन, प्रतिसंतुलित इलेक्ट्रॉन"
computation,गणना
computational,संगणकीय
computer,"संगणक, संगणक, संगणक"
concave,अवतल
concavo-concave,द्विउत्तल
concentrate,"एकाग्र करणे, घट्ट करणे, एकाग्र करणे (adj.), एकाग्र करणे (v.)"
concentrated,"एकाग्र, एकाग्र, एकाग्र"
concentration,"एकाग्रता, एकाग्रता, एकाग्रता, एकाग्रता"
concentric,"एककेंद्री, केंद्रीत"
conception,संकल्पना
conceptual,वैचारिक
concordance,"जवळीक, संवाद"
concordant,सुसंवाद
concurrent,"समवर्ती, अनुगामी"
condensation,"संक्षेपण, संक्षेपण"
