Tamil,English
சீரமைப்பு,alignment
"1. ஒதுக்கீடு, 2. ஒதுக்கீடு",allocation
"1. அகரவரிசை, 2. அகரவரிசையில்",alphabetic
எண்ணெழுத்து,alphanumeric
"1. எண்ணெழுத்து விசைப்பலகை ,2. எண்ணெழுத்து விசைப்பலகை",alphanumeric key board
ஆல்பா-சோதனை (1 வது நிலை சோதனை),alpha-test
"1. ஆல்பா பதிப்பு, 2. ஆல்பா வடிவம்",alpha-version
alt விசை,alt key
அல்டாவிஸ்டா,altavista
பன்முகத்தன்மை,ambiguity
தெளிவற்ற இலக்கணம்,ambiguous grammar
அமெரிக்க தேசிய ஸ்டேண்டீஸ் நிறுவனம் (ANSI),American National Standards Institute (ANSI)
அமெரிக்கன் ஸ்டாண்டர்ட் கட் (ascii),American Standard Code For Information Interchange (ASCII)
"1. ஒத்த, 2. அனலாக்",analog
"1. அனலாக் கணினி, 2. அனலாக் கணினி",analog computer
"1. அனலாக் சாதனம், 2. அனலாக் சாதனம்",analog device
"1. அனலாக் மோடம், 2. அனலாக் மோடம்",analog modem
டிஜிட்டல் மாற்றிக்கு அனலாக்,Analog To Digital Converter (ADC)
முடிவு (டிஜிட்டல்/பிளேன் லாஜிக் &#39;மற்றும்&#39; பயன்படுத்தப்பட்டது),AND
இறுதி சுற்று,AND circuit
இறுதி வாயில் மற்றும் வாயில்,AND gate
செயல்பாடு அல்ல (விலக்கு),AND not operation (Exclusion)
"1. அனிமேஷன், 2. அதிர்வு",animation
குறிப்பு,annotation
முரண்பாடு,anomaly
முந்தைய,antecedent
முன்கூட்டிய பேஜிங்,anticipatory paging
எதிர்-சமச்சீர்,anti-symmetric
வைரஸ் தடுப்பு திட்டம்,antivirus program
"1. ஆப்லெட், 2. விண்ணப்பம்",applet
பயன்பாட்டு டெவலப்பர்,application developer
பயன்பாட்டு நிரலாக்கம்,application programming
"1. பயன்பாட்டு நிரலாக்க இடைமுகம், 2. பயன்பாட்டு நிரலாக்க இடைமுகம் (API)",application programming interface (API)
பயன்பாட்டு மென்பொருள்,application software
பயன்பாட்டு மொழி,applicative language
தோராயக் கொள்கை,approximation theory
கட்டமைப்பு,architecture
புல பரிமாற்றம்,area transfer
"1. அளவுரு, சுயாதீன மாறி, 2. கோணம்",argument
"1. எண்கணிதம் மற்றும் தர்க்கவியல் அலகு, 2. எண்கணிதம் மற்றும் தர்க்கவியல் அலகு",arithmatic and logic unit
எண்கணித சரிபார்ப்பு,arithmatic check
எண்கணித மாறிலி,arithmatic constant
எண்கணித தரவு,arithmatic data
எண்கணித அறிவுரை,arithmatical instruction
கணிதம் மற்றும் தருக்க அலகு (ALU),arithmetic and logic unit (ALU)
ARPA Net (RPNet),ARPANET
வரிசை,array
"1. வரிசை கேச், 2. வரிசை வேகம், 3. வரிசை நினைவகம்",array cache
வரிசை கணினி,array computer
வரிசை உறுப்பு,array element
வரிசை பெயர்,array name
வரிசை செயலி,array processor
அம்புக்குறி விசை,arrow keys
ஒப்பந்தம்,articulation
சந்திப்பு முனை,articulation point
செயற்கை சுருக்கம்,artificial compaction
செயற்கை கட்டுப்பாடு,artificial control
செயற்கை உணர்வு,artificial intelligence
ஏற்ற,ascender
ஏறும் வகை,ascending sort
ascii எழுத்துக்கள்,ASCII betical order
ascii கட்டுப்பாட்டு சின்னம்,ASCII control character
ascii கோப்பு,ASCII file
ascii எழுத்துரு,ASCII font
ASCII பரிமாற்றம்,ASCII transfer
விகிதம்,aspect ratio
"1. ஆஸ்பி, 2. ASPI",ASPI
ஏ எஸ் ஆர் கலாட்,ASR timer
"1. நினைவாற்றல், 2. அசெம்பிளிங், 3. ஒன்று சேர்க்க",assemble
"1. அசெம்பிளர், 2. நினைவூட்டல்",assembler
"1. அசெம்பிளிங், 2. நினைவு",assembly
"1. மனப்பாடம் மொழி, 2. ஒருங்கிணைக்கும் மொழி",assembly language
உறுதியை,assertion
"1. குறிப்பிட்ட வேலை, 2. ஒதுக்கீடு",assignment
தோழமை,association
துணை முகவரி,associative address
"1. துணை நினைவகம், 2. துணை நினைவகம்",associative memory
நட்சத்திரம் (* அடையாளம்),asteric
சமச்சீரற்ற,asymmetric
"1. ஒத்திசைவற்ற , 2. ஒத்திசைவற்ற",asynchronous
ஒத்திசைவற்ற டிஜிட்டல் சந்தாதாரர் வரி (ADSL),asynchronous Digital Subscriber Line (ADSL)
ஒத்திசைவற்ற நேரப் பிரிவு மல்டிபிளெக்சிங் (ATDM),asynchronous Time Division Multiplexing (ATDM)
ஒத்திசைவற்ற பரிமாற்றம்,asynchronous transfer
ஒத்திசைவற்ற பரிமாற்ற முறை (ATM),asynchronous Transfer Mode (ATM)
"1. அணு, 2. பரமன்",atom
இணைக்கப்பட்ட ஆவணம்,attached document
"1. இணைக்கப்பட்ட கோப்பு/ஏவுகணை, 2. இணைக்கப்பட்டுள்ள கோப்பு",attached file
"1. அடைப்பு, 2. இணைந்த",attachment
"1. பண்புகள், 2. சிறப்பு",attribute
கேட்கக்கூடிய,audio
"1. தணிக்கை நிரலாக்கம், 2. தணிக்கை நிரலாக்கம்",audit programming
கணக்கு சரிபார்ப்பு,audit trail
பதவி உயர்வு,augmentation
சான்றிதழ் நெறிமுறை,authentication protocol
எழுதும் முறை,authoring system
"1. அதிகாரம், 2. அதிகாரம், 3. தீர்ப்பாயம்",authorization
தானியங்கு சுருக்கம்,auto abstract
"1. ஆட்டோ பூட்டிங், 2. சுய துவக்கம்",autobooting
ஆட்டோகேட் (ஒரு கணினி மொழி),autocad
தானாக உள்நுழைவு,autolog on
தானியங்கி,automata
தானியங்கு கோட்பாடு,automata theory
தானியங்கி கணக்கீடு,automatic computing
தானியங்கி தரவு செயலாக்கம்,automatic data processing
தானியங்கி பிழை திருத்தம்,automatic error correction
தானியங்கு செயல்பாடு,automatic function
"1. தானியங்கி அட்டவணைப்படுத்தல், 2. தானியங்கி பட்டியல்",automatic indexing
தானியங்கு சேகரிப்பு அழைப்பு,automatic library call
"1. தானியங்கி நிரலாக்கம், 2. தானியங்கி நிரலாக்க",automatic programming
"1. தானியங்கி மீட்பு திட்டம், 2. தானியங்கி மீட்பு திட்டம்",automatic recovery program
தானியங்கி வழக்கம்,automatic routine
தானியங்கி கணினி மீட்பு,automatic system recovery
"1. தானியங்கி பணம் செலுத்தும் இயந்திரங்கள் (ATM), 2. வங்கி ஏ.டி.எம்",automatic teller machine (ATM)
தானியங்கி,automation
"1. ஆட்டோபிளே , 2. ஆட்டோ நடை",autoplay
குரல் கொடுத்தல்,autosave
உதவியாளர்,auxiliary
துணை நினைவகம்,auxiliary memory
துணை சேமிப்பு,auxiliary storage
கிடைக்கும் பட்டியல்,available list
கிடைக்கும் நேரம்,available time
சராசரி,average
AWK (ஒரு கணினி கட்டளை),awk (language)
பிறகு,backend
பின் செயலி,backend processor
பின்புற செயல்பாடு நீக்கம்,backface removal
பின்னணி செயலாக்கம்,background processing
துணை கடைகள்,backing store
மீண்டும் ஒட்டுதல்,backpatching
"1. மேற்கு, 2. பின்வெளி",backspace
பின்வாங்குதல்,backtracking
"1. காப்புப்பிரதி , 2. கொடுக்கப்படுவதுடன்",back-up
"1. நிரப்பு நினைவகம், 2. காப்பு நினைவகம்",back-up memory
மீண்டும் பிழை திருத்தம்,backward error recovery
(வருமானம்-செலவு) இருப்புநிலை,balance sheet
கட்டு,band
"1. பேண்ட் அகலம், 2. அலைவரிசை/திறன்",band width
வங்கியாளர் வழிமுறை,banker's algorithm
"1. பார் குறியீடு, 2. பார் குறியீடு",bar code
பட்டை குறி படிப்பான் வருடி,bar code scanner
சட்ட வரைபடம்,bar graph
அடிப்படை முகவரி,base address
அடிப்படை இசைக்குழு,base band
ஆதார் எண்,base number
அடிப்படை அட்டவணை,base table
அடிப்படை (ஒரு கணினி மொழி),BASIC
"1. அடிப்படை கட்டுப்பாடு, 2. அடிப்படை கட்டுப்பாடு",basic control
"1. அசல் முதலீடு, 2. அடிப்படை முதலீடு",basic input
அடிப்படை அறிவுறுத்தல்,basic instruction
அடிப்படை பிரச்சினை,basic output
அடிப்படை நிலை,basic step
"1. தொகுதி, 2. குழு, 3. பேரழிவு",batch
"1. தொகுதி கோப்பு, 2. தொகுதி கோப்பு",batch file
தொகுதி நிலை,batch position
"1. தொகுதி செயலாக்கம், 2. குழு செயலாக்கம்",batch processing
"1. தொகுதி அமைப்பு, 2. கவண் அமைப்பு",batch system
பாட்,baud
பாட் விகிதம்,baud rate
கற்றை கற்றை,beam
"1. வழிகாட்டுதல்கள், 2. தொகுதி குறி",benchmark
இருதரப்பு தொடர்பு,bidirectional communication
நேரடி இணைப்பு,bidirectional link
பைனரி குறியீடு,binary code
பைனரி இலக்கங்கள்,binary digit
பைனரி இன்வெஸ்ட்மென்ட் அவுட்புட் சிஸ்டம் (பயாஸ்),binary Input output system (BIOS)
பைனரி எண்,binary number
பைனரி ஆபரேட்டர்,binary operator
பைனரி உறவு,binary relation
பைனரி தேடல்,binary search
பைனரி ஆய்வு மரம் (BST),binary search tree (BST)
"1. பைனரி பரிமாற்ற மரம், 2. பைனரி பரிமாற்றம்",binary transfer
பைனரி மரம்,binary tree
"1. இருமுனை நினைவகம், 2. இருமுனை நினைவகம்",bipolar memory
"1. பிறப்பு மற்றும் இறப்பு மாதிரி, 2. பிறப்பு இறப்பு மாதிரி",birth death model
பிறப்பு இறப்பு செயல்முறை,birth death process
"1. டூக், 2. பிட்",bit
சிறிய தவறு,bit fault
பிட் வரைபடம்,bit map
"1. பிட், 2. வரைபடம், 3. பிக்சல் (BMP)",bit map pixel (BMP)
"1. பிட் மேட்ரிக்ஸ், 2. பிட் டேபிள்",bit matrix
பிட் முறை,bit pattern
பிட் நிலை,bit position
"1. பிட் வீதம், 2. பிட் விகிதம்",bit rate
கண்மூடி சோதனை,black box testing
மின்னும்,blinking
தொகுதி,block
"1. பிளாக் கேச், 2. பிளாக் கேச் / துண் நினைவகம்",block cache
தடுப்பு ஆய்வு,block check
தொகுதி நகல்,block copy
தொகுதி வரைபடம்,block diagram
"1. தடுக்கப்பட்ட நெட்வொர்க், 2. தடுக்கப்பட்ட நெட்வொர்க்",blocking network
பலகை,board
பக்க நினைவகம்,book mark
பூலியன் இயற்கணிதம்,boolean algebra
பூலியன் உறவு,boolean relation
துவக்க பகிர்வு,boot partition
பூட் ஸ்ட்ராப்பிங்,boot strapping
1.பூட்ஸ்ட்ராப் ஏற்றி,boot-strap loader
"1.பாலம், 2.பாலம்",bridge
பிராட்பேண்ட் நெட்வொர்க்,broadband networking
ஒளிபரப்பு,broadcast
ஒலிபரப்பு வானொலி,broadcast radio
(நிகர) மாறுபாடு,browse
(net) vicar,browser
பி-ட்ரூ,B-Tree
"1.குமிழி நினைவகம், 2.குமிழி நினைவகம்",bubble memory
குமிழி வகை,bubble sort
"1.வாளி, 2.வாளி",bucket
"1.சகோதர அமைப்பு, 2.பெரிய அமைப்பு",buddy system
பயனுள்ள பட்ஜெட் கட்டுப்பாடு,budget effective control
தாங்கல்,buffer
குறைபாடு,bug
போதும்,bus
"1. அஷ்ட வியாங்க், 2. பிட் (எட்டு பிட்கள்)",byte
பைட் குறியீடு,byte code
சி (கணினி மொழி),c
"1.சி பிளஸ் பிளஸ், 2.சி++ (கணினி மொழி)",C++
"1.பணம், 2. வேகமாக, 3.வேகமாக",cache
"1.கேச் பஃபர், 2.மெமரி பஃபர்",cache buffer
"1.கேச் மெமரி, 2.கேச் மெமரி, 3.ஃபாஸ்ட் மெமரி",cache memory
கணக்கீடு,calculation
"1.கால்குலேட்டர், 2.கால்குலேட்டர்",calculator
"1.கால்குலேட்டர் சிப்,2. கால்குலேட்டர் சிப்",calculator chip
அழைக்கவும்,call
பெயர் அழைப்பு,call by name
குறிப்பு அழைப்பு,call by reference
மரியாதை அழைப்பு,call by value
மாறி அழைப்பு,call by variables
அழைப்பு வாயில்,call gate
"1. ரத்து, 2. ரத்து",cancel
திரும்பப்பெறுதல் பொத்தான்,cancel button
"1. பரிந்துரைக்கப்பட்ட, 2. நியமனம்",canonical
நியமன வடிவம்,canonical form
திறன்,capability
திறன் பட்டியல்,capability list
"1. திறன், 2. வைத்திருக்கும்",capacity
தொப்பி பூட்டு விசை,caps lock key
"1. அட்டை, 2. தாள்",card
கார்டு ரீடர்,card reader
முக்கியத்துவம்,cardinality
கேரியர்,carrier
கேரியர் பேண்ட்,carrier band
கேரியர் சுமை,carrier load
கேரியர் சிக்னல்,carrier signal
கேரியர் அலை,carrier wave
சாதித்தது,carry
மதிப்பெண் பெற்றார்,carry digit
அடைந்த கொடி,carry flag
"1.கார்ட்ரிட்ஜ் டிஸ்க், 2.கார்ட்ரிட்ஜ் டிஸ்க்",cartridge disk
"1. அருவி, 2. அருவி",cascade
வழக்கு,case
கேத்தோடு-கதிர் குழாய் (CRT),cathod ray tube (CRT)
கத்தோட் கதிர் குழாய் (CRT) கத்தோட் கதிர் குழாய்,cathode ray tube (CRT)
சிடி ரோம் டிஸ்க் டிரைவ்,CD ROM disk drive
செல்,cell
செல் அனிமேஷன்,cell animation
கை பேசி,cellular phone
"1. மைய நினைவகம், 2. மைய நினைவகம்",central memory
மத்திய செயலாக்க அலகு (CPU),central processing unit (CPU)
மையப்படுத்தப்பட்ட அமைப்பு,centralized system
அங்கீகரிக்கப்பட்ட டேப்,certified tape
சங்கிலி,chain
"1.தொடர் தரவு, 2.தொடர் உள்ளடக்கம்",chain data
சங்கிலி இணைப்பு,chain link
சங்கிலியிடுதல்,chaining
"1.சேனல், 2.சேனல்",channel
"1.சேனல் பிஸி டோன், 2.சேனல் பிஸி டோன்",channel busy tone
"1.சேனல் திறன், 2.சேனல் திறன்",channel capacity
"1.சேனல் கன்ட்ரோலர், 2.சேனல் கன்ட்ரோலர்",channel controller
"1. சேனல் பிழை, 2. சேனல் பிழை",channel error
"1.சேனல் புரோகிராம், 2.சேனல் புரோகிராம்",channel program
"1.சேனல் நம்பகத்தன்மை, 2.சேனல் நம்பகத்தன்மை",channel reliability
"1.சேனல் தொகுப்பு, 2.சேனல் தொகுப்பு",channel set
சின்னம்,character
"1.எழுத்து குறியீடு, 2. எழுத்து குறியீடு",character code
எழுத்து திறவுகோல்,character key
பாத்திர வாசகர்,character reader
"1. சின்ன அளவு, 2. சின்ன அளவு",character size
சித்திரமான,chart
"1.சேஸ், 2.சேஸ்",chassis
சோதனை பிட்,check bit
சோதனை புள்ளிகள்,check digit
மொத்தத்தை சரிபார்க்கவும்,check sum
சரிபார்ப்பு வார்த்தை,check word
சிப்,chip
சிப் தொகுப்பு,chip set
"1.தேர்வு, 2.தேர்வு",choose
அகரவரிசைப்படி,chromatically
"1.சஃபர், 2. பூஜ்யம், 3. கடலோடி",cipher
சுற்று,circuit
வட்ட பட்டியல்,circular list
செரிஸ்,cirus
குறிப்பிடவும்,citation
"1.வகை, 2.வகை",class
வர்க்க மாறி,class variable
வகைப்பாடு,classification
துப்புரவு,clear
அழிக்கப்பட்ட பகுதி,clear area
"1. அமைப்பு சுத்தம், 2. சேனல் அழிக்க",clear channel
அச்சகம்,click
"1. வாடிக்கையாளர், 2. வாடிக்கையாளர்",client
"1.கிளையண்ட் சர்வர், 2.கிளையண்ட் சர்வர்",client server
வாடிக்கையாளர் ஸ்டப்,client stub
வெட்டுதல் கலை,clip art
ஷேரிங் கலை நூலகம்,clip art library
கிளிப் போர்டு,clip board
கிளிப்பர்,clipper
கிளிப்பர் சிப்,clipper chip
பிரிவு,clique
"1. கடிகாரம், 2. காலட்",clock
கடிகார சுழற்சி,clock cycle
கடிகார அதிர்வெண்,clock frequency
கலாட் வன்பொருள்,clock hardware
கலாட் ஸ்பாண்ட்,clock pulse
கடிகார வேகம்,clock speed
நேர ஒத்திசைவு,clock synchronization
கடிகார டிக்,clock tick
குளோன்,clone
ஆஃப்,close
மூடிய சர்க்யூட் டிவி (மறைகாணி),close circuit TV (CCTV)
விளக்கம்,closure
"1.கிளவுட் கம்ப்யூட்டிங், 2.கிளவுட் கம்ப்யூட்டிங்",cloud computing
கொத்து,cluster
"1. மூடிய அட்டை, 2. பூசிய தாள்",coated card
பூசிய காகித,coated paper
கோஆக்சியல்,coaxial
கோஆக்சியல் கேபிள்,coaxial cable
கோடாசில்,codasyl
"1.குறியீடு, 2.குறியீடு",code
"1. குறியீடு ஜெனரேட்டர், 2. குறியீடு உற்பத்தியாளர்",code generator
குறியீடு பக்கம்,code page
"1.குறியீடு, 2.குறியீடு",code word
"1.குறியீடு, 2.குறியீடு",coder
"1. குறியீட்டு சோதனை, 2. குறியீட்டு சோதனை",coding check
குறியாக்க வடிவம்,coding form
"1. குறியாக்க தாள், 2. குறியீட்டு தாள்",coding sheet
குணகம்,coefficient
ஒற்றுமை,coherence
"1.கோல்ட் பூட், 2.கோல்ட் ஸ்டார்ட்",cold boot
குளிர் ஆரம்பம்,cold start
உதவி,collaboration
சரிவு,collapse
"1.இணைத்தல், 2.இணைத்தல்",collate
"1.இன்டெக்ஸ் டேப்,2. காலட் டேப்",collate tape
மோதல்,collision
பெருங்குடல்,colon
"1. பாத்திரங்கள், 2. நிறங்கள்",colour (color)
வண்ண செறிவு,colour saturation
வண்ண அட்டவணை,colour table
தூண்,column
சேர்க்கை,combination
கலப்பு பெட்டி,combo box
"1.கட்டளை, 2.கட்டளை",command
கட்டளை பொத்தான்,command button
கட்டளை பட்டியல்,command list
கருத்து,comment
"1. அர்ப்பணிப்பு, 2. அர்ப்பணிப்பு",commitment
விஷயம்,commodity
பொது வணிகம் சார்ந்த மொழி (COBOL),Common Business Oriented Language (Cobol)
பொதுவான பிழை,common error
பொது மொழி,common language
"1.பொதுப்பெயர், 2. சாதாரண வழக்கமான",common routine
தொடர்புகள்,communication
தொடர்பு வரி,communication line
தொடர்பு முறை,communication mode
"1. தொடர்பு நெட்வொர்க், 2. தொடர்பு நெட்வொர்க்",communication network
தொடர்பு அளவுரு,communication parameter
தொடர்பு அமைப்பு,communication system
சுருக்கம்,compaction
அமுக்கி,compander
சுருக்க பரிமாற்றம்,companding
நிறுவனத்தின் நெட்வொர்க்,company network
ஒப்பீட்டு சோதனை,comparison test
"1. நிலைத்தன்மை, 2. இணக்கத்தன்மை",compatibility
இணக்கமான,compatible
தொகுத்தல்,compilation
தொகுத்தல் மற்றும் செயல்படுத்துதல்,compile and go
"1.தொகுப்பாளர், 2.நிரல் பரிமாற்றி",compiler
தொகுக்கும் மொழி,compiler language
துணை,complementary
பத்து இன் நிரப்பு,complement-on-ten
துணை,complementor
"1. முழுமையாக வாங்கியது, 2. முழுமையாக வாங்கியது",complete carry
கூட்டு,complex
சிக்கலான எண்,complex number
தொகுதி,component
com,component object model (COM)
கூட்டு,composite
சேர்க்கை,composition
"1.கணக்கிடக்கூடியது, 2.கணிக்கத்தக்கது",computational
கணினி,computer
கணினி மையம்,computer centre
கணினி நிபுணர்,computer expert
கணினி வரைகலை,computer graphics
கணினி அறிவுறுத்தல்,computer instruction
"1.கணினி மொழி, 2.கணினி மொழி",computer language
"1. கணினி நெட்வொர்க், 2. கணினி நெட்வொர்க்",computer network
கணினி அறிவியல்,computer science
கணினி பாதுகாப்பு,computer security
கணினி உருவகப்படுத்துதல்,computer simulaton
கணினி நிபுணர்,computer specialist
கணினிமயமாக்கல்,computerisation
கணினி நிபுணர்,computerist
கணினிமயமாக்கல்,computerize
"1. கணக்கீடு, 2. கணக்கீடு",computing
கருத்து,concept
"1.சமச்சீர், 2.ஒத்திசைவு, 3.ஒற்றுமை",concurrency
"ஒரே நேரத்தில், ஒரே மாதிரியான",concurrent
கட்டுப்பாடு மாறி,condition variable
கட்டுப்படுத்தப்பட்ட ஆபரேட்டர்,conditional operator
கட்டுப்படுத்தப்பட்ட அறிக்கை,conditional statement
இயக்கி,conductor
"1.தொலைவு மாநாடு, 2.மாநாடு",conferencing
தனியுரிமை,confidentiality
"1.கட்டமைப்பு, 2.கட்டமைப்பு",configuration
நெரிசல்,congestion
சேர்க்கை,conjunction
இணைப்பு வேகம்,connect speed
இணைப்பு,connection
தொடர்பு இல்லாத தொடர்பு,connection less communication
இணைப்பு வெளியீடு,connection release
இணைப்பு,connectivity
"1.இணைப்பான், 2.இணைப்பான்",connector
தொடர்ச்சியாக,consecutive
பின்தொடரவும்,consequent
பணியகம்,console
ஒருங்கிணைப்பு,consolidation
"1.அசோசியேட், 2. நிலையான",constant
நிலையான அறிவுறுத்தல்,constant instruction
கட்டுப்படுத்தப்பட்டது,constraint
கட்டமைப்பாளர்,constructor
பானை,container
"1. உள்ளடக்கம், 2. பகுதிகள்",content
சூழல்,context
சூழல் இலவச இலக்கணம் (cfg),context free grammar (CFG)
சூழல் சுவிட்ச்,context switch
"1.சாதாரண, 2.தொடர்ச்சி",contingency
முரண்பாடு,contraction
மாறுபாடு,contrast
கட்டுப்பாடு,control
கட்டுப்பாட்டு மண்டலம்,control area
கட்டுப்பாட்டு பிட்,control bit
கட்டுப்பாட்டு பேருந்து,control bus
கட்டுப்பாட்டு அட்டை,control card
கட்டுப்பாட்டு சுற்று,control circuit
கட்டுப்பாட்டு சக்கரம்,control cycle
"1. கட்டுப்பாட்டு பொறியியல், 2. கட்டுப்பாட்டு பொறியியல்",control engineering
கட்டுப்பாட்டு விசை,control key
கட்டுப்பாட்டு தர்க்கம்,control logic
கட்டுப்பாட்டு வளையம்,control loop
கட்டுப்பாட்டு அடையாளம்,control mark
கட்டுப்பாட்டு செயல்பாடு,control operation
கண்ட்ரோல் பேனல்,control panel
கட்டுப்பாட்டு சமிக்ஞை,control signal
கட்டுப்பாட்டு சுவிட்ச்,control switch
கட்டுப்பாட்டு நாடா,control tape
"1. கட்டுப்பாட்டு முனையம், 2. கட்டுப்பாட்டு முனையம்",control terminal
"1. கட்டுப்பாட்டு அலகு, 2. கட்டுப்பாட்டு பிரிவு",control unit (CU)
ஒன்றிணைதல்,convergence
உரையாடல்,conversation
உரையாடல் அழைப்பு,conversational time sharing
மாற்றம்,conversion
மாற்றி,converter
குக் தேற்றம்,Cook's theorem
இணை செயலி,co-processor
நகல்,copy
பதிப்புரிமை,copyright
தண்டு,cord
"1. கம்பியில்லா தொலைபேசி, 2. கம்பியில்லா தொலைபேசி, 3. கம்பியில்லா தொலைபேசி",cordless telephone
துணை தேற்றம்,corollary
திருத்தம்,correction
"1. பயன்படுத்த முடியாத, 2. சிதைக்கப்பட்ட",corrupted
கணக்கீடு,count
அடித்தவர்,counter
நாட்டின் குறியீடு,country code
இணை மாறுபாடு,covariance
"1. நோக்கம் பகுதி, 2. ஒளிபரப்பு",coverage
சரிவு,crash
முக்கியமான பாதை,critical path
முக்கியமான பாதை முறை (CPM),critical path method (CPM)
"1.குறுக்கு சோதனை, 2.குறுக்கு சோதனை",cross check
"1.கிராஸ் புரோகிராமபிள்-பரிமாற்றம், 2. நிரல்படுத்தக்கூடியது",cross compiler
பொருத்தமற்ற சமிக்ஞை,cross fire
பொருத்தமற்ற பேச்சு,cross talk
குறியாக்கவியல்,cryptographic
"1. மறைநூல், 2. மறைநூல், 3. மறைநூல்",cryptography
நாணய சின்னம்,currency symbol
தற்போதைய அடைவு,current directory
தற்போதைய சாளரம்,current window
கர்சர்,cursor
வளைவு,curve
"1. கட் அண்ட் பேஸ்ட், 2. கட் அண்ட் பேஸ்ட்",cut and paste
வெட்டுதல் முறை,cut method
சைபர்,cyber
கணணி மையம்,cyber café
இணைய பணம்,cyber cash
சைபர்,cyber crime
சைபர் டேலெக்ஸ்,cyber delics
இணைய சட்டம்,cyber law
இணைய செக்ஸ்,cyber sex
"1. சைபர் சயின்ஸ், 2. சைபர்நெடிக்ஸ்",cybernatics
