Kannada,Telugu
ಪಾತ್ರವನ್ನು ಅಂಗೀಕರಿಸಿ,పాత్రను గుర్తించండి
ಅಕೌಸ್ಟಿಕ್ ಕೋಪ್ಲರ್,ఎకౌస్టిక్ కప్లర్
ಅಕೌಸ್ಟಿಕ್ ಜೋಡಣೆ,శబ్ద కలపడం
ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ,శబ్ద ఆలస్యం రేఖ
ಅಕೌಸ್ಟಿಕ್ ಸ್ಮರಣೆ,శబ్ద జ్ఞాపకశక్తి
ಸಕೌಸ್ಟಿಕ್ ಮೋಡೆಮ್,ఎకౌస్టిక్ మోడెమ్
ಅಕೌಸ್ಟಿಕ್ ಸಂಕೇತ,శబ్ద సిగ్నల్
ಅಕೌಸ್ಟಿಕ್ ಸಂಗ್ರಹ,శబ్ద నిల్వ
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,ఎక్రోనిం
ಕ್ರಿಯಾಶೀಲತೆ,చర్య
ಕ್ರಿಯಾಶೀಲತೆ,చర్య చక్రం
ಕ್ರಿಯಾಶೀಲ ರೇಖೆ,యాక్షన్ లైన్
ಕ್ರಿಯಾಶೀಲ,చర్య సందేశం
ಕ್ರಿಯಾಶೀಲತೆ,చర్య స్పెసిఫికేషన్
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,క్రియాశీలత
ಸಕ್ರಿಯ,క్రియాశీల
ಸಕ್ರಿಯ ಫೈಲ್,యాక్టివ్ ఫైల్
ಸಕ್ರಿಯ ರೇಖೆ,యాక్టివ్ లైన్
ಸಕ್ರಿಯ ಲಿಂಕ್,క్రియాశీల లింక్
ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಫೈಲ್,యాక్టివ్ మాస్టర్ ఫైల్
ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಐಟಂ,యాక్టివ్ మాస్టర్ ఐటెమ్
ಸಕ್ರಿಯ ಉಪಗ್ರಹ,క్రియాశీల ఉపగ్రహం
ಸಕ್ರಿಯ ನಿಲ್ದಾಣ,యాక్టివ్ స్టేషన్
ಸಕ್ರಿಯ ಸಂಗ್ರಹಣೆ,క్రియాశీల నిల్వ
ಚಟುವಟಿಕೆ,కార్యాచరణ
ಚಟುವಟಿಕೆ ಮಟ್ಟ,కార్యాచరణ స్థాయి
ಚಟುವಟಿಕೆ ಲೋಡಿಂಗ್,కార్యాచరణ లోడింగ్
ಚಟುವಟಿಕೆ ಅನುಪಾತ,కార్యాచరణ నిష్పత్తి
ನಿಜವಾದ ವಿಳಾಸ (= ಸಂಪೂರ್ಣ ವಿಳಾಸ),వాస్తవ చిరునామా (= సంపూర్ణ చిరునామా)
ನಿಜವಾದ ಕೋಡ್ (= ಸಂಪೂರ್ಣ ಕೋಡ್),వాస్తవ కోడ్ (= సంపూర్ణ కోడ్)
ನಿಜವಾದ ಡೇಟಾ ವರ್ಗಾವಣೆ ದರ,వాస్తవ డేటా బదిలీ రేటు
ವಾಸ್ತವಿಕ ದಶಮಾಂಶ ಬಿಂದು,వాస్తవ దశాంశ బిందువు
ನಿಜವಾದ ಸೂಚನೆ (= ಪರಿಣಾಮಕಾರಿ ಸೂಚನೆ),వాస్తవ సూచన (= ప్రభావవంతమైన సూచన)
ವಾಸ್ತವಿಕ ಕೀ,అసలు కీ
ವಾಸ್ತವಿಕ ಸಮಯ,అసలు సమయం
ನಿಜವಾದ ಕೆಲಸದ ಸಮಯ,వాస్తవ పని సమయం
ಸಂಕೇತ,సిగ్నల్ యాక్చువేటింగ్
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,అనుకూలత
ಅಳವಡಗಾರ,అడాప్టర్
ಹೊಂದಾಣಿಕೆಯ ಚಾನಲ್ ಹಂಚಿಕೆ,అడాప్టివ్ ఛానల్ కేటాయింపు
ಹೊಂದಾಣಿಕೆಯ ಏಕೀಕರಣ,అడాప్టివ్ ఇంటిగ్రేషన్
ಅಡಾಪ್ಟಿವ್ ಟ್ರಾನ್ಸ್‌ವರ್ಸಲ್ ಈಕ್ವಲೈಜರ್,అడాప్టివ్ ట్రాన్స్వర్సల్ ఈక్వలైజర్
ಪ್ರವೇಶವನ್ನು ಸೇರಿಸಲಾಗಿದೆ,ఎంట్రీ జోడించబడింది
ಸೇರಿಸು,అనుబంధం
ಸೇರಿಸುವವನು,Adder
ಸೇಡ್ ಸಬ್ಟ್ರಾಕ್ಟರ್,అడెర్ సబ్‌ట్రాక్టర్
ಕಡತವನ್ನು ಸೇರಿಸು,ఫైల్ జోడించండి
ಹೆಚ್ಚುವರಿ ಅಕ್ಷರ (= ವಿಶೇಷ ಅಕ್ಷರ),అదనపు అక్షరం (= ప్రత్యేక అక్షరం)
ಸೇರ್ಪಡೆ ರೆಕಾರ್ಡರ್,అదనంగా రికార్డర్
ಸೇರ್ಪಡೆ ಮೇಜು,అదనంగా పట్టిక
ಸಂಯೋಜಕ ಗುಣಲಕ್ಷಣ,సంకలిత లక్షణం
ಮೋಡ್ ಸೇರಿಸಿ,మోడ్‌ను జోడించండి
ಕಾರ್ಯಾಚರಣೆ ಸೇರಿಸಿ,ఆపరేషన్ జోడించండి
ಭಾಷಣ,చిరునామా
ವಿಳಾಸದ ಅಳತೆ,చిరునామా కొలత
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸಮತಲ ಸ್ಥಾನ,చిరునామా క్షితిజ సమాంతర స్థానం
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಬಿಂದು,చిరునామా పాయింట్
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಥಾನ,చిరునామా స్థానం
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ರಿಜಿಸ್ಟರ್,చిరునామా రిజిస్టర్
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸಂಗ್ರಹಣೆ,చిరునామా నిల్వ
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಲಂಬ ಸ್ಥಾನ,చిరునామా నిలువు స్థానం
ವಿಳಾಸ ಬಸ್,చిరునామా బస్సు
ವಿಳಾಸ ಕೋಡ್,చిరునామా కోడ్
ವಿಳಾಸ ಹೋಲಿಕೆದಾರ,చిరునామా కంపారిటర్
ವಿಳಾಸ ಗಣನೆ,చిరునామా గణన
ವಿಳಾಸ ಸ್ಥಿರ,చిరునామా స్థిరాంకం
ವಿಳಾಸ ಪರಿವರ್ತನೆ,చిరునామా మార్పిడి
ವಿಳಾಸ ಡೇಟಾ,చిరునామా డేటా
ವಿಳಾಸ ಮೆಮೊರಿ,చిరునామా మెమరీ
ವಿಳಾಸ ಪರಿಣಾಮಕಾರಿ,చిరునామా ప్రభావవంతంగా ఉంటుంది
ವಿಳಾಸ ಕ್ಷೇತ್ರ,చిరునామా ఫీల్డ్
ವಿಳಾಸ ಸ್ವರೂಪ,చిరునామా ఆకృతి
ವಿಳಾಸ ಉಚಿತ ಕಾರ್ಯಕ್ರಮ,చిరునామా ఉచిత ప్రోగ్రామ్
ಸಂಬೋಧಿಸುವುದು,చిరునామా
ಸಂಬೋಧಿಸುವುದು  ಪಾತ್ರ,చిరునామా  పాత్ర
ಅಡಚಣೆಯನ್ನು ಉದ್ದೇಶಿಸಿ,అంతరాయాన్ని పరిష్కరించడం
ವಿಳಾಸ ಲೂಪ್,చిరునామా లూప్
ವರ್ಚುವಲ್ ಮೆಮೊರಿಯನ್ನು ಉದ್ದೇಶಿಸಿ,వర్చువల్ మెమరీని పరిష్కరించడం
ವಿಳಾಸ ಇಂಟರ್ಲೇಟಿಂಗ್,చిరునామా ఇంటర్లేసింగ్
ವಿಳಾಸವಿಲ್ಲದ ಸೂಚನಾ ಸ್ವರೂಪ,చిరునామా లేని సూచనల ఆకృతి
ವಿಳಾಸ ಸಾಲು,చిరునామా లైన్
ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್,చిరునామా మ్యాపింగ్
ವಿಳಾಸ ಗುರುತು,చిరునామా గుర్తు
ವಿಳಾಸ ಮಾರ್ಪಾಡು,చిరునామా మార్పు
ವಿಳಾಸದ ಭಾಗ,చిరునామా భాగం
ವಿಳಾಸ ಪಾಯಿಂಟರ್,చిరునామా పాయింటర్
ವಿಳಾಸ ನೋಂದಣಿ,చిరునామా రిజిస్టర్
ವಿಳಾಸ ಸಂಕೇತ,చిరునామా సిగ్నల్
ವಿಳಾಸದ ಗಾತ್ರ,చిరునామా పరిమాణం
ವಿಳಾಸ ಸ್ಥಳ,చిరునామా స్థలం
ವಿಳಾಸ ಬಾಹ್ಯಾಕಾಶ ಗುರುತಿಸುವಿಕೆ,చిరునామా స్పేస్ ఐడెంటిఫైయర్
ವಿಳಾಸ ನಿಲುಗಡೆ,చిరునామా స్టాప్
ವಿಳಾಸ ಜಾಡಿನ,చిరునామా ట్రేస్
ವಿಳಾಸ ಟ್ರ್ಯಾಕ್,చిరునామా ట్రాక్
ವಿಳಾಸ ಅನುವಾದ,చిరునామా అనువాదం
ವಿಳಾಸ ಅನುವಾದಕ,చిరునామా అనువాదకుడు
ಕಕ್ಸಚ್ಚುವಿಕೆಯನ್ನು ಸೇರಿಸಿ ಸಮಯ,జోడించు-ఉపశమనం సమయం
ಸಮಯವನ್ನು ಸೇರಿಸಿ,సమయాన్ని జోడించండి
ಪಕ್ಕದ,ప్రక్కనే
ಪಕ್ಕದ ರಚನೆ,ప్రక్కనే ఉన్న నిర్మాణం
ಪಕ್ಕದ ಚಾನಲ್,ప్రక్కనే ఉన్న ఛానల్
ಪಕ್ಕದ ಡೊಮೇನ್,ప్రక్కనే ఉన్న డొమైన్
ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,ప్రక్కనే ఉన్న మాతృక
ಪಕ್ಕದ ನೋಡ್,ప్రక్కనే ఉన్న నోడ్
ಪಕ್ಕದ ಸುಬೇರಿಯಾ,ప్రక్కనే ఉన్న సబ్‌యారియా
ಹೊಂದಾಣಿಕೆ (ಸಿಸ್ಟಮ್),అడ్జాయింట్ (సిస్టమ్)
ಸರಿಹೊಂದಿಸು,సర్దుబాటు
ಹೊಂದಾಣಿಕೆ ವ್ಯಾಪ್ತಿ,సర్దుబాటు పరిధి
ಪಠ್ಯ ಮೋಡ್ ಅನ್ನು ಹೊಂದಿಸಿ,టెక్స్ట్ మోడ్‌ను సర్దుబాటు చేయండి
ಆಡಳಿತ ದತ್ತಾಂಶ ಸಂಸ್ಕರಣೆ,అడ్మినిస్ట్రేటివ్ డేటా ప్రాసెసింగ్
ಆಡಳಿತಾತ್ಮಕ ಕಾರ್ಯಾಚರಣೆ,పరిపాలనా ఆపరేషన్
ಆಡಳಿತಕಾರಕ,అడ్మినిస్ట్రేటివ్ ఆపరేటర్
ಆಡಳಿತ ನಿರ್ವಾಹಕ ಕೇಂದ್ರ,అడ్మినిస్ట్రేటివ్ ఆపరేటర్ స్టేషన్
ಆಡಳಿತಾತ್ಮಕ ಬೆಂಬಲ ವ್ಯವಸ್ಥೆ,పరిపాలనా మద్దతు వ్యవస్థ
ಸುಧಾರಿತ ಸಂವಹನ ಸೇವೆ,అధునాతన కమ్యూనికేషన్ సేవ
ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ,అధునాతన సమాచార వ్యవస్థ
ಸುಧಾರಿತ ಆಪ್ಟಿಕಲ್ ಕ್ಯಾರೆಕ್ಟರ್ ರೀಡರ್,అధునాతనమైన ఆప్టికల్ క్యారెక్టర్ రీడర్
ಸುಧಾರಿತ ವೈಜ್ಞಾನಿಕ ಕಂಪ್ಯೂಟರ್,అధునాతన శాస్త్రీయ కంప్యూటర్
ವೈಮಾನಿಕ,ఆకాశయాన
ಒಟ್ಟು,మొత్తం
ಒಟ್ಟು ಅಭಿವ್ಯಕ್ತಿ,మొత్తం వ్యక్తీకరణ
ಗುರಿ ವೃತ್ತ,లక్ష్య వృత్తం
ಗುರಿ ಕ್ಷೇತ್ರ (= ಗುರಿ ಚಿಹ್ನೆ),లక్ష్యం ఫీల్డ్ (= లక్ష్యం చిహ్నం)
ಗುರಿ ಚಿಹ್ನೆ,లక్ష్యం చిహ్నం
ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ,వాయుమార్గాన కంప్యూటర్ వ్యవస్థ
ಬೀಜಗಣಿತ ಐಜೆನ್ವಾಲ್ಯು ಸಮಸ್ಯೆ,బీజగణిత ఈజెన్వాల్యూ సమస్య
ಬೀಜಗಣಿತದ  ಏಕೀಕರಣ,బీజగణితం  అనుసంధానం
ಬೀಜಗಣಿತದ ಭಾಷೆ,బీజగణిత భాష
ಬೀಜಗಣಿತದ ಕುಶಲ,బీజగణిత మానిప్యులేషన్
ಬೀಜಗಣಿತದ ಕುಶಲ ಭಾಷೆ,బీజగణిత మానిప్యులేషన్ భాష
ಬೀಜಗಣಿತ ಆಧಾರಿತ ಭಾಷೆ,బీజగణిత ఆధారిత భాష
ಬೀಜಗಣಿತದ ಶಿಫ್ಟ್,బీజగణిత షిఫ్ట్
ಬೀಜಗಣಿತ ಚಿಹ್ನೆ ಸಮಾವೇಶ,బీజగణిత సంకేత సమావేశం
ಪಾಚಕ,ఆల్గోల్
ಆಲ್ಗೋಲ್ ವೈಶಿಷ್ಟ್ಯ,ఆల్గోల్ ఫీచర్
ಅಲ್ಗೋಲ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,ఆల్గోల్ ప్రోగ్రామింగ్
ಅಲ್ಗಾರಿದಮ್,అల్గోరిథం
ಅಲ್ಗಾರಿದಮ್ ಸಹಾಯಕ ಭಾಷೆ,అల్గోరిథం అసోసియేటివ్ లాంగ్వేజ్
ಅಲ್ಗಾರಿದಮ್ ವರ್ಗೀಕರಣ,అల్గోరిథం వర్గీకరణ
ಅಲ್ಗಾರಿದಮ್ ಸಂಕೀರ್ಣತೆ,అల్గోరిథం సంక్లిష్టత
ಅಲ್ಗಾರಿದಮ್ ಗಣನೀಯತೆ,అల్గోరిథం కంప్యూటబిలిటీ
ಕ್ರಮಾವಧಿಕ ವಿಶ್ಲೇಷಣೆ,అల్గోరిథమిక్ విశ్లేషణ
ಕ್ರಮಾವಧಿಕ ವಿಧಾನ,అల్గోరిథమిక్ విధానం
ಕ್ರಮಬದ್ಧ ಭಾಷೆ,అల్గోరిథమిక్ భాష
ಅಲ್ಗಾರಿದಮಿಕ್ ವಾಡಿಕೆಯ,అల్గోరిథమిక్ దినచర్య
ಕ್ರಮಾವಧಿಕ ಸಿದ್ಧಾಂತ,అల్గోరిథమిక్ సిద్ధాంతం
ಅಲಿಯಾಸ್,అలియాస్
ಅಲಿಯಾಸೆ,అలియాసింగ్
ಅಲಿಯಾಸ್ ಹೆಸರು (= ಪರ್ಯಾಯ ಹೆಸರು),అలియాస్ పేరు (= ప్రత్యామ్నాయ పేరు)
ಜೋಡಣೆ,అమరిక
ನಿಯೋಜಿಸು,కేటాయించండి
ಹಂಚಿಕೆ ರಚನೆ,కేటాయింపు నిర్మాణం
ಎಲ್ಲಾ ಉದ್ದೇಶದ ಕಂಪ್ಯೂಟರ್,ఆల్-పర్పస్ కంప్యూటర్
ವರ್ಣಮಾಲೆಯ ಪಾತ್ರ,అక్షర పాత్ర
ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರಗಳ ಸೆಟ್,అక్షర అక్షర సమితి
ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ ಉಪವಿಭಾಗ,అక్షర అక్షర ఉపసమితి
ವರ್ಣಮಾಲೆ ಸಂಕೇತ,అక్షర కోడ్
ವರ್ಣಮಾಲೆ ಶಿಫ್ಟ್,అక్షర షిఫ్ట్
ವರ್ಣಮಾಲೆಯ ದಾರ,అక్షర స్ట్రింగ్
ವರ್ಣಮಾಲೆ ಪದ,అక్షర పదం
ವರ್ಣಮಾಲೆ,వర్ణమాల
ಆಲ್ಫೇಜೀಟ್ರಿಕ್ಸ್,ఆల్ఫాజియోమెట్రిక్స్
ಆಲ್ಫಾಮನ,ఆల్ఫామెరిక్
ವರ್ಣಮಾಲೆಯ,ఆల్ఫామోసాయిక్
ವರ್ಣಮಾಲೆಯ,ఆల్ఫాన్యూమరిక్
ಆಲ್ಫಾನ್ಯೂಮರಿಕಲ್ ಕೀಬೋರ್ಡ್ ಸಾಧನ,ఆల్ఫాన్యూమరికల్ కీబోర్డ్ పరికరం
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಅಕ್ಷರ ಸೆಟ್,ఆల్ఫాన్యూమరిక్ క్యారెక్టర్ సెట్
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೋಡ್,ఆల్ఫాన్యూమరిక్ కోడ్
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೋಡೆಡ್ ಅಕ್ಷರ ಸೆಟ್,ఆల్ఫాన్యూమరిక్ కోడెడ్ క్యారెక్టర్ సెట్
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಡೇಟಾ,ఆల్ఫాన్యూమరిక్ డేటా
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಪ್ರದರ್ಶನ ಸಾಧನ,ఆల్ఫాన్యూమరిక్ డిస్ప్లే పరికరం
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಸಂಪಾದಿತ ಪಾತ್ರ,ఆల్ఫాన్యూమరిక్ సవరించిన పాత్ర
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕ್ಷೇತ್ರ,ఆల్ఫాన్యూమరిక్ ఫీల్డ్
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಸೂಚನೆ,ఆల్ఫాన్యూమరిక్ ఇన్స్ట్రక్షన్
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀಬೋರ್ಡ್,ఆల్ఫాన్యూమరిక్ కీబోర్డ్
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ವಿಂಗಡಣೆ,ఆల్ఫాన్యూమరిక్ విధమైన
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಸಂಗ್ರಹ,ఆల్ఫాన్యూమరిక్ స్టోరేజ్
ಬದಲಾಯಿಸಬಹುದಾದ ಮೆಮೊರಿ,మార్చగల మెమరీ
ಬದಲಾವಣೆ ಸ್ವಿಚ್,మార్పు స్విచ్
ಬದಲಾಯಿಸುವ,మార్చడం
ಬದಲಾದ ಮೋಡ್,ఆల్టర్ మోడ్
ಪರ್ಯಾಯ ಚೇತರಿಕೆ,ప్రత్యామ్నాయ రికవరీ
ಪರ್ಯಾಯ ಮಾರ್ಗ,ప్రత్యామ్నాయ మార్గం
ಪರ್ಯಾಯ ರೂಟಿಂಗ್,ప్రత్యామ్నాయ రౌటింగ్
ಪರ್ಯಾಯ ಟ್ರ್ಯಾಕ್,ప్రత్యామ్నాయ ట్రాక్
ಪರ್ಯಾಯ (= ಅಥವಾ ಕಾರ್ಯಾಚರಣೆ),ప్రత్యామ్నాయం (= లేదా ఆపరేషన్)
ಪರ್ಯಾಯ ಗುಣಲಕ್ಷಣ,ప్రత్యామ్నాయ లక్షణం
ಪರ್ಯಾಯ ನಿರಾಕರಣೆ (= ಅಲ್ಲ ಮತ್ತು ಕಾರ್ಯಾಚರಣೆ),ప్రత్యామ్నాయ తిరస్కరణ (= మరియు ఆపరేషన్ కాదు)
ಅಸ್ಪಷ್ಟ ದೋಷ,అస్పష్టత లోపం
ಅಸ್ಪಷ್ಟ ಉಲ್ಲೇಖ,అస్పష్టమైన సూచన
ಜರುಗೋಲು,అనలాగ్
ಅನಾಲಾಗ್,అనలాగ్ యాడర్
ಅನಾನುಕೂಲ ಚಾನೆಲ್,అనలాగ్ ఛానల్
ಅನಾನುಕೂಲ ಕಂಪ್ಯೂಟರ್,అనలాగ్ కంప్యూటర్
ಅನಾನುಕೂಲ ಪರಿವರ್ತಕ,అనలాగ్ కన్వర్టర్
ಅನಲಾಗ್ ಡೇಟಾ,అనలాగ్ డేటా
ಅನನುಕಿನ ವಿಭಾಜಕ,అనలాగ్ డివైడర్
ಅನಲಾಗ್ ಫೆಸಿಲಿಟಿ ಟರ್ಮಿನಲ್,అనలాగ్ ఫెసిలిటీ టెర్మినల్
ಅನಾನುಕೂಲ ಕಾರ್ಯ  ಉತ್ಪಾದಕ,అనలాగ్ ఫంక్షన్  జనరేటర్
ಅನಲಾಗ್ ಏಕೀಕರಣ,అనలాగ్ ఇంటిగ్రేషన్
ಸೋಗು ಗುಣಕ,అనలాగ్ గుణకం
ಅನಲಾಗ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,అనలాగ్ ప్రోగ్రామింగ్
ಅನನುಕಿನ ಸ್ಕೇಲಿಂಗ್,అనలాగ్ స్కేలింగ్
ಅನಾಲಾಗ್ ಸಂಕೇತ,అనలాగ్ సిగ్నల్
ಸಿಮ್ಯುಲೇಶನ್,అనలాగ్ అనుకరణ
ಅನಲಾಗ್ ಸ್ವಿಚ್,అనలాగ్ స్విచ్
ಅನಾಲಾಗ್ ವ್ಯವಸ್ಥೆ,అనలాగ్ వ్యవస్థ
ಡಿಜಿಟಲ್ಗೆ ಅನಲಾಗ್  ಪರಿವರ್ತಕ,డిజిటల్‌కు అనలాగ్  కన్వర్టర్
ಡಿಜಿಟಲ್ಗೆ ಅನಲಾಗ್  ಸ್ಥಳಾಂತರಕ,డిజిటల్‌కు అనలాగ్  ఎన్కోడర్
ಅನಾಲಿಕೆ ಹರಡುವಿಕೆ,అనలాగ్ ట్రాన్స్మిషన్
ಅನಾಲಾಗ್ ಪ್ರಕಾರ,అనలాగ్ రకం
ವಿಶ್ಲೇಷಣೆ,విశ్లేషణ బ్లాక్
ವಿಶ್ಲೇಷಣೆ ವಿಧಾನ,విశ్లేషణ మోడ్
ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಎಂಜಿನ್,విశ్లేషణాత్మక ఇంజిన్
ಪೂರ್ವಜರ ಕಾರ್ಯ,పూర్వీకుల పని
ಪೂರಳು ಉಪಕರಣಗಳು,సహాయక పరికరాలు
ಮತ್ತು,మరియు
ಮತ್ತು ಸರ್ಕ್ಯೂಟ್,మరియు సర్క్యూట్
ಮತ್ತು ಅಂಶ,మరియు మూలకం
ಮತ್ತು ಗೇಟ್,మరియు గేట్
ಮತ್ತು ಮರೆಮಾಚುವಿಕೆ,మరియు మాస్కింగ్
ಮತ್ತು ಕಾರ್ಯಾಚರಣೆ ಅಲ್ಲ (= ಹೊರಗಿಡುವಿಕೆ,మరియు ఆపరేషన్ కాదు (= మినహాయింపు
ಮತ್ತು ಕಾರ್ಯಾಚರಣೆ,మరియు ఆపరేషన్
ಅನೆಕ್ಸ್ ಸ್ಮರಣೆ,అనెక్స్ మెమరీ
