Bengali,Malayalam
ঠিকানা ভাঙ্গন,വിലാസ തകർച്ച
ঠিকানা অনুবাদ,വിലാസ വിവർത്തനം
"1. ঠিকানাযোগ্য স্মৃতি, 2. ঠিকানাযোগ্য মেমরি","1. അഡ്രസ് ചെയ്യാവുന്ന മെമ്മറി, 2. അഭിസംബോധന ചെയ്യാവുന്ന മെമ്മറി"
সম্বোধন,അഭിസംബോധന
"1. পর্যাপ্ততার মানদণ্ড, 2. পর্যাপ্ততার মানদণ্ড","1. പര്യാപ്തത മാനദണ്ഡം, 2. പര്യാപ്തത മാനദണ്ഡം"
সংযুক্তি,ബന്ധം
"1. ব্যবস্থাপনা, 2. নিয়ন্ত্রণ","1. മാനേജ്മെന്റ്, 2. നിയന്ത്രണം"
"1. ম্যানেজার, 2. নিয়ামক","1. മാനേജർ, 2. കണ്ട്രോളർ"
অ্যাডোবি অ্যাক্রোব্যাট,അഡോബ് അക്രോബാറ്റ്
অ্যাডোবি ফটোশপ,അഡോബ് ഫോട്ടോഷോപ്പ്
ABAP (অ্যাডভান্সড বিজনেস প্রোগ্রামিং),ABAP (അഡ്വാൻസ്ഡ് ബിസിനസ് പ്രോഗ്രാമിംഗ്)
"1. উন্নত তথ্য, 2. উন্নত তথ্য","1. വിപുലമായ ഡാറ്റ, 2. വിപുലമായ ഡാറ്റ"
উন্নত তথ্য সিস্টেম,വിപുലമായ വിവര സംവിധാനം
উন্নত প্রযুক্তি (AT),അഡ്വാൻസ്ഡ് ടെക്നോളജി (AT)
কর্ম,നടപടി
সমষ্টি,സമാഹരണം
বায়ুবাহিত কম্পিউটার সিস্টেম,വായുവിലൂടെയുള്ള കമ്പ്യൂട്ടർ സംവിധാനം
aldus পৃষ্ঠা তৈরি,ആൽഡസ് പേജ് മേക്ക്
সতর্কতা বাক্স,മുന്നറിയിപ്പ് ബോക്സ്
আলগোল (কম্পিউটার ভাষা),അൽഗോൾ (കമ്പ്യൂട്ടർ ഭാഷ)
"1. অ্যালগরিদম, 2. অ্যালগরিদম","1. അൽഗോരിതം, 2. അൽഗോരിതം"
"1. অ্যালগরিদম বিশ্লেষণ, 2. অ্যালগরিদম বিশ্লেষণ","1. അൽഗോരിതം വിശകലനം, 2. അൽഗോരിതം വിശകലനം"
অ্যালগরিদম দক্ষতা,അൽഗോരിതം കാര്യക്ഷമത
"1. ইলিয়াস, 2। ডাকনাম, ৩. ওরফে","1. ഏലിയാസ്, 2. വിളിപ്പേര്, 3. അല്ലെങ്കിൽ"
প্রান্তিককরণ,വിന്യാസം
"1. বরাদ্দ, 2. বরাদ্দ","1. വിഹിതം, 2. വിഹിതം"
"1. বর্ণানুক্রমিক, 2. বর্ণা ক্রমানুসারে","1. അക്ഷരമാല, 2. അക്ഷരമാല ക്രമത്തിൽ"
আলফানিউমেরিক,ആൽഫാന്യൂമെറിക്
"1. আলফানিউমেরিক কীবোর্ড, 2. আলফানিউমেরিক কীবোর্ড","1. ആൽഫാന്യൂമെറിക് കീബോർഡ്, 2. ആൽഫാന്യൂമെറിക് കീബോർഡ്"
আলফা-পরীক্ষা (প্রথম স্তরের পরীক্ষা),ആൽഫ-ടെസ്റ്റിംഗ് (ഒന്നാം ലെവൽ ടെസ്റ്റ്)
"1. আলফা সংস্করণ, 2। আলফা ফর্ম","1. ആൽഫ പതിപ്പ്, 2. ആൽഫ രൂപം"
alt কী,alt കീ
আলতাভিস্তা,ആൾട്ടാവിസ്റ്റ
বহুগুণ,ബഹുസ്വരത
অস্পষ্ট ব্যাকরণ,അവ്യക്തമായ വ്യാകരണം
আমেরিকান ন্যাশনাল স্ট্যান্ডিস ইনস্টিটিউট (ANSI),അമേരിക്കൻ നാഷണൽ സ്റ്റാൻഡീസ് ഇൻസ്റ്റിറ്റ്യൂട്ട് (ANSI)
আমেরিকান স্ট্যান্ডার্ড কাট (ascii),അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കട്ട് (ascii)
"1. সাদৃশ্যপূর্ণ, 2. এনালগ","1. സാദൃശ്യം, 2. അനലോഗ്"
"1. এনালগ কম্পিউটার, 2. এনালগ কম্পিউটার","1. അനലോഗ് കമ്പ്യൂട്ടർ, 2. അനലോഗ് കമ്പ്യൂട്ടർ"
"1. এনালগ ডিভাইস, 2. এনালগ ডিভাইস","1. അനലോഗ് ഉപകരണം, 2. അനലോഗ് ഉപകരണം"
"1. এনালগ মডেম, 2. এনালগ মডেম","1. അനലോഗ് മോഡം, 2. അനലോഗ് മോഡം"
এনালগ থেকে ডিজিটাল কনভার্টার,അനലോഗ് ടു ഡിജിറ്റൽ കൺവെർട്ടർ
শেষ (ডিজিটাল/প্লেন লজিক &#39;এবং&#39; ব্যবহৃত),അവസാനം (ഡിജിറ്റൽ/പ്ലെയിൻ ലോജിക് &#39;ഉം&#39; ഉപയോഗിച്ചു)
শেষ সার্কিট,അവസാന സർക്യൂട്ട്
শেষ গেট এবং গেট,അവസാന ഗേറ്റും ഗേറ്റും
শেষ নয় অপারেশন (বর্জন),എൻഡ് അല്ല ഓപ്പറേഷൻ (ഒഴിവാക്കൽ)
"1. অ্যানিমেশন, 2. কম্পন","1. ആനിമേഷൻ, 2. വൈബ്രേഷൻ"
বিঃদ্রঃ,കുറിപ്പ്
অসঙ্গতি,പൊരുത്തക്കേട്
আগে,മുമ്പത്തെ
প্রত্যাশিত পেজিং,മുൻകൂർ പേജിംഗ്
কাউন্টার-সিমেট্রিক,എതിർ-സമമിതി
অ্যান্টিভাইরাল প্রোগ্রাম,ആൻറിവൈറൽ പ്രോഗ്രാം
"1. অ্যাপলেট, 2। আবেদন","1. ആപ്ലെറ്റ്, 2. അപേക്ഷ"
অ্যাপ্লিকেশন ডেভেলপার,ആപ്ലിക്കേഷൻ ഡെവലപ്പർ
অ্যাপ্লিকেশন প্রোগ্রামিং,ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ്
"1. অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস, 2. অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস (API)","1. ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് ഇന്റർഫേസ്, 2. ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് ഇന്റർഫേസ് (API)"
অ্যাপ্লিকেশন সফ্টওয়্যার,ആപ്ലിക്കേഷൻ സോഫ്റ്റ്വെയർ
অ্যাপ্লিকেশন ভাষা,ആപ്ലിക്കേഷൻ ഭാഷ
আনুমানিক নীতি,ഏകദേശ തത്വം
গঠন,ഘടന
ক্ষেত্র স্থানান্তর,ഫീൽഡ് കൈമാറ്റം
"1. প্যারামিটার, স্বাধীন পরিবর্তনশীল, 2. কোণ","1. പരാമീറ്റർ, സ്വതന്ത്ര വേരിയബിൾ, 2. ആംഗിൾ"
"1. পাটিগণিত এবং যুক্তি ইউনিট, 2. পাটিগণিত এবং যুক্তি ইউনিট","1. അരിത്മെറ്റിക് ആൻഡ് ലോജിക് യൂണിറ്റ്, 2. അരിത്മെറ്റിക് ആൻഡ് ലോജിക് യൂണിറ്റ്"
পাটিগণিত পরীক্ষা,ഗണിത പരിശോധന
গাণিতিক ধ্রুবক,ഗണിത സ്ഥിരാങ്കം
গাণিতিক তথ্য,ഗണിത ഡാറ്റ
গাণিতিক নির্দেশ,ഗണിത നിർദ്ദേശം
গাণিতিক ও লজিক্যাল ইউনিট (ALU),മാത്തമാറ്റിക്കൽ ആൻഡ് ലോജിക്കൽ യൂണിറ്റ് (ALU)
ARPA নেট (RPNet),ARPA നെറ്റ് (RPNet)
অ্যারে,അറേ
"1. অ্যারে ক্যাশে, 2. অ্যারের গতি, 3. অ্যারে মেমরি","1. അറേ കാഷെ, 2. അറേ വേഗത, 3. അറേ മെമ്മറി"
অ্যারে কম্পিউটার,അറേ കമ്പ്യൂട്ടർ
অ্যারে উপাদান,അറേ ഘടകം
অ্যারের নাম,അറേ പേര്
অ্যারে প্রসেসর,അറേ പ്രോസസർ
তীর কী,അമ്പടയാള കീ
সন্ধি,ഉടമ്പടി
সংযোগ বিন্দু,ജംഗ്ഷൻ പോയിന്റ്
কৃত্রিম কম্প্যাকশন,കൃത്രിമ കോംപാക്ഷൻ
কৃত্রিম নিয়ন্ত্রণ,കൃത്രിമ നിയന്ത്രണം
কৃত্রিম অনুভূতি,കൃത്രിമബോധം
মাউন্ট,മൗണ്ട്
আরোহী সাজানোর,ആരോഹണ തരം
ascii বর্ণমালা,ascii അക്ഷരമാല
ascii নিয়ন্ত্রণ প্রতীক,ascii നിയന്ത്രണ ചിഹ്നം
ascii ফাইল,ascii ഫയൽ
ascii ফন্ট,ascii ഫോണ്ട്
ASCII স্থানান্তর,ASCII കൈമാറ്റം
আনুমানিক অনুপাত,വീക്ഷണാനുപാതം
"1. Aspy, 2. এএসপিআই","1. ആസ്പി, 2. എ.എസ്.പി.ഐ"
এ এস আর কালাদ,എ എസ് ആർ കാലാട്
"1. স্মরণ, 2. সমাবেশ, 3. জড় করা","1. ഓർമ്മപ്പെടുത്തൽ, 2. കൂട്ടിച്ചേർക്കൽ, 3. കൂട്ടിച്ചേർക്കാൻ"
"1. অ্যাসেম্বলার, 2. অনুস্মারক","1. അസംബ്ലർ, 2. ഓർമ്മപ്പെടുത്തൽ"
"1. সমাবেশ, 2. স্মরণ","1. അസംബ്ലിംഗ്, 2. അനുസ്മരണം"
"1. মুখস্থ ভাষা, 2. একত্রিত ভাষা","1. ഓർമ്മപ്പെടുത്തൽ ഭാഷ, 2. അസംബ്ലിംഗ് ഭാഷ"
সংকল্প,ദൃഢനിശ്ചയം
"1. নির্দিষ্ট কাজ, 2. বরাদ্দ","1. നിർദ്ദിഷ്ട ജോലി, 2. വിഹിതം"
সাহচর্য,കൂട്ടുകെട്ട്
সহযোগী ঠিকানা,അനുബന്ധ വിലാസം
"1. সহযোগী স্মৃতি, 2. সহযোগী স্মৃতি","1. അനുബന്ധ മെമ്മറി, 2. അനുബന്ധ മെമ്മറി"
তারকাচিহ্ন (* চিহ্ন),നക്ഷത്രചിഹ്നം (* ചിഹ്നം)
অপ্রতিসম,അസമമായ
"1. অ্যাসিঙ্ক্রোনাস, 2. অ্যাসিঙ্ক্রোনাস","1. അസമന്വിത, 2. അസമന്വിത"
অ্যাসিঙ্ক্রোনাস ডিজিটাল সাবস্ক্রাইবার লাইন (ADSL),അസിൻക്രണസ് ഡിജിറ്റൽ സബ്സ്ക്രൈബർ ലൈൻ (ADSL)
অ্যাসিঙ্ক্রোনাস টাইম ডিভিশন মাল্টিপ্লেক্সিং (ATDM),അസിൻക്രണസ് ടൈം ഡിവിഷൻ മൾട്ടിപ്ലെക്സിംഗ് (ATDM)
অ্যাসিঙ্ক্রোনাস স্থানান্তর,അസമന്വിത കൈമാറ്റം
অ্যাসিঙ্ক্রোনাস ট্রান্সফার মোড (এটিএম),അസിൻക്രണസ് ട്രാൻസ്ഫർ മോഡ് (എടിഎം)
"1. পরমাণু, 2. পরমণ","1. ആറ്റം, 2. പരമൻ"
সংযুক্ত নথি,അറ്റാച്ചുചെയ്ത പ്രമാണം
"1. সংযুক্ত ফাইল/মিসিল, 2. সংযুক্ত ফাইল","1. അറ്റാച്ചുചെയ്ത ഫയൽ/മിസിൽ, 2. അറ്റാച്ചുചെയ്ത ഫയൽ"
"1. ঘের, 2. সম্বন্ধযুক্ত","1. എൻക്ലോഷർ, 2. അഫിലിയേറ്റഡ്"
"1. বৈশিষ্ট্য, 2. বিশেষত্ব","1. പ്രോപ്പർട്ടികൾ, 2. സ്പെഷ്യാലിറ്റി"
শ্রবণযোগ্য,കേൾക്കാവുന്ന
"1. অডিট প্রোগ্রামিং, 2. অডিট প্রোগ্রামিং","1. ഓഡിറ്റ് പ്രോഗ്രാമിംഗ്, 2. ഓഡിറ്റ് പ്രോഗ്രാമിംഗ്"
অ্যাকাউন্ট পরীক্ষা,അക്കൗണ്ട് സ്ഥിരീകരണം
পদোন্নতি,പ്രമോഷൻ
সার্টিফিকেশন প্রোটোকল,സർട്ടിഫിക്കേഷൻ പ്രോട്ടോക്കോൾ
রচনা পদ্ধতি,എഴുത്ത് രീതി
"1. কর্তৃপক্ষ, 2. কর্তৃপক্ষ, 3. ট্রাইব্যুনাল","1. അധികാരം, 2. അധികാരം, 3. ട്രിബ്യൂണൽ"
স্বয়ংক্রিয় বিমূর্ত,യാന്ത്രിക സംഗ്രഹം
"1. অটো বুটিং, 2. স্ব বুট","1. ഓട്ടോ ബൂട്ടിംഗ്, 2. സ്വയം ബൂട്ട്"
অটোক্যাড (একটি কম্পিউটার ভাষা),ഓട്ടോകാഡ് (ഒരു കമ്പ്യൂട്ടർ ഭാഷ)
স্বয়ংক্রিয় লগ-অন,യാന്ത്രിക ലോഗ്-ഓൺ
স্বয়ংক্রিয়,ഓട്ടോമാറ്റ
স্বয়ংক্রিয় তত্ত্ব,ഓട്ടോമാറ്റ സിദ്ധാന്തം
স্বয়ংক্রিয় গণনা,ഓട്ടോമാറ്റിക് കണക്കുകൂട്ടൽ
স্বয়ংক্রিয় তথ্য প্রক্রিয়াকরণ,ഓട്ടോമാറ്റിക് ഡാറ്റ പ്രോസസ്സിംഗ്
স্বয়ংক্রিয় ত্রুটি সংশোধন,യാന്ത്രിക പിശക് തിരുത്തൽ
স্বয়ংক্রিয় ফাংশন,യാന്ത്രിക പ്രവർത്തനം
"1. স্বয়ংক্রিয় সূচীকরণ, 2. স্বয়ংক্রিয় তালিকা","1. ഓട്ടോമാറ്റിക് ഇൻഡക്‌സിംഗ്, 2. യാന്ത്രിക ലിസ്റ്റിംഗ്"
স্বয়ংক্রিয় সংগ্রহ কল,യാന്ത്രിക ശേഖരണ കോൾ
"1. স্বয়ংক্রিয় প্রোগ্রামিং, 2. স্বয়ংক্রিয় প্রোগ্রামিং","1. ഓട്ടോമാറ്റിക് പ്രോഗ്രാമിംഗ്, 2. ഓട്ടോമാറ്റിക് പ്രോഗ്രാമിംഗ്"
"1. স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম, 2. স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম","1. ഓട്ടോമാറ്റിക് റിക്കവറി പ്രോഗ്രാം, 2. ഓട്ടോമാറ്റിക് റിക്കവറി പ്രോഗ്രാം"
স্বয়ংক্রিয় রুটিন,യാന്ത്രിക ദിനചര്യ
স্বয়ংক্রিয় সিস্টেম পুনরুদ্ধার,ഓട്ടോമാറ്റിക് സിസ്റ്റം വീണ്ടെടുക്കൽ
"1. অটোমেটিক টেলার মেশিন (ATM), 2. নিজে তোলার জন্য ব্যাঙ্ক এটিএম","1. ഓട്ടോമാറ്റിക് ടെല്ലർ മെഷീനുകൾ (എടിഎം), 2. സ്വയം പിൻവലിക്കാൻ ബാങ്ക് എ.ടി.എം"
অটোমেশন,ഓട്ടോമേഷൻ
"1. অটোপ্লে, 2. স্বয়ংক্রিয় হাঁটা","1. ഓട്ടോപ്ലേ, 2. ഓട്ടോ നടത്തം"
কণ্ঠস্বর,വോക്കലൈസേഷൻ
সহকারী,അസിസ്റ്റന്റ്
অক্জিলিয়ারী মেমরি,സഹായ മെമ്മറി
অক্জিলিয়ারী স্টোরেজ,സഹായ സംഭരണം
প্রাপ্তিসাধ্য তালিকা,ലഭ്യമായ പട്ടിക
উপলব্ধ সময়,ലഭ്യമായ സമയം
গড়,ശരാശരി
AWK (একটি কম্পিউটার কমান্ড),AWK (ഒരു കമ്പ്യൂട്ടർ കമാൻഡ്)
পরে,ശേഷം
পোস্ট প্রসেসর,പോസ്റ്റ് പ്രോസസർ
পোস্টেরিয়র ফাংশন মুছে ফেলা,പിൻഭാഗത്തെ പ്രവർത്തനം ഇല്ലാതാക്കൽ
পটভূমি প্রক্রিয়াকরণ,പശ്ചാത്തല പ്രോസസ്സിംഗ്
আনুষঙ্গিক দোকান,അനുബന്ധ സ്റ്റോറുകൾ
ব্যাক প্যাচিং,ബാക്ക് പാച്ചിംഗ്
"1. পশ্চিম, 2. ব্যাকস্পেস","1. പടിഞ്ഞാറ്, 2. ബാക്ക്സ്പേസ്"
ব্যাকট্র্যাকিং,ബാക്ക്ട്രാക്കിംഗ്
"1. ব্যাক আপ, 2. প্রতিদান","1. ബാക്കപ്പ്, 2. തിരിച്ചടവ്"
"1. পরিপূরক স্মৃতি, 2. ব্যাক আপ মেমরি","1. കോംപ്ലിമെന്ററി മെമ്മറി, 2. ബാക്കപ്പ് മെമ്മറി"
পিছনে ত্রুটি সংশোধন,പിന്നിലെ പിശക് തിരുത്തൽ
(আয়-ব্যয়) ব্যালেন্স শীট,(വരുമാനം-ചെലവ്) ബാലൻസ് ഷീറ്റ്
ব্যান্ডেজ,ബാൻഡേജ്
"1. ব্যান্ড প্রস্থ, 2. ব্যান্ডউইথ/ক্ষমতা","1. ബാൻഡ് വീതി, 2. ബാൻഡ്‌വിഡ്ത്ത്/കപ്പാസിറ്റി"
ব্যাংকারের অ্যালগরিদম,ബാങ്കറുടെ അൽഗോരിതം
"1. বার কোড, 2. বার কোড","1. ബാർ കോഡ്, 2. ബാർ കോഡ്"
বারকোড স্ক্যানার,ബാർകോഡ് സ്കാനർ
বার গ্রাফ,ബാർ ഗ്രാഫ്
ভিত্তি ঠিকানা,അടിസ്ഥാന വിലാസം
বেস ব্যান্ড,അടിസ്ഥാന ബാൻഡ്
আধার নম্বর,ആധാർ നമ്പർ
ভিত্তি টেবিল,അടിസ്ഥാന പട്ടിക
বেসিক (একটি কম্পিউটার ভাষা),അടിസ്ഥാന (ഒരു കമ്പ്യൂട്ടർ ഭാഷ)
"1. মৌলিক নিয়ন্ত্রণ, 2. ভিত্তি নিয়ন্ত্রণ","1. അടിസ്ഥാന നിയന്ത്രണം, 2. അടിസ്ഥാന നിയന്ത്രണം"
"1. মূল বিনিয়োগ, 2. ভিত্তি বিনিয়োগ","1. യഥാർത്ഥ നിക്ഷേപം, 2. അടിസ്ഥാന നിക്ഷേപം"
মৌলিক নির্দেশ,അടിസ്ഥാന നിർദ്ദേശം
ভিত্তি সমস্যা,അടിസ്ഥാന പ്രശ്നം
মৌলিক পর্যায়,അടിസ്ഥാന ഘട്ടം
"1. ব্যাচ, 2। গ্রুপ, 3। বিপর্যয়","1. ബാച്ച്, 2. ഗ്രൂപ്പ്, 3. ദുരന്തം"
"1. ব্যাচ ফাইল, 2. ব্যাচ ফাইল","1. ബാച്ച് ഫയൽ, 2. ബാച്ച് ഫയൽ"
ব্যাচ অবস্থা,ബാച്ച് നില
"1. ব্যাচ প্রসেসিং, 2. গ্রুপ প্রক্রিয়াকরণ","1. ബാച്ച് പ്രോസസ്സിംഗ്, 2. ഗ്രൂപ്പ് പ്രോസസ്സിംഗ്"
"1. ব্যাচ সিস্টেম, 2. ক্যাটাপল্ট সিস্টেম","1. ബാച്ച് സിസ്റ്റം, 2. കവണ സംവിധാനം"
বউড,ബൗഡ്
বড হার,ബാഡ് നിരക്ക്
মরীচি মরীচি,ബീം ബീം
"1. নির্দেশিকা, 2. ব্যাচ চিহ্ন","1. മാർഗ്ഗനിർദ്ദേശങ്ങൾ, 2. ബാച്ച് മാർക്ക്"
দ্বিমুখী যোগাযোগ,ദ്വിദിശ ആശയവിനിമയം
সরাসরি লিঙ্ক,നേരിട്ടുള്ള ലിങ്ക്
বাইনারি কোড,ബൈനറി കോഡ്
বাইনারি সংখ্যা,ബൈനറി അക്കങ്ങൾ
বাইনারি ইনভেস্টমেন্ট আউটপুট সিস্টেম (BIOS),ബൈനറി ഇൻവെസ്റ്റ്‌മെന്റ് ഔട്ട്‌പുട്ട് സിസ്റ്റം (BIOS)
বাইনারি সংখ্যা,ബൈനറി നമ്പർ
বাইনারি অপারেটর,ബൈനറി ഓപ്പറേറ്റർ
বাইনারি সম্পর্ক,ബൈനറി ബന്ധം
বাইনারি অনুসন্ধান,ബൈനറി തിരയൽ
বাইনারি এক্সপ্লোরেশন ট্রি (বিএসটি),ബൈനറി എക്സ്പ്ലോറേഷൻ ട്രീ (BST)
"1. বাইনারি ট্রান্সফার ট্রি, 2. বাইনারি স্থানান্তর","1. ബൈനറി ട്രാൻസ്ഫർ ട്രീ, 2. ബൈനറി കൈമാറ്റം"
বাইনারি গাছ,ബൈനറി മരം
"1. বাইপোলার মেমরি, 2. বাইপোলার মেমরি","1. ബൈപോളാർ മെമ്മറി, 2. ബൈപോളാർ മെമ്മറി"
"1. জন্ম ও মৃত্যু মডেল, 2. জন্ম মৃত্যু মডেল","1. ജനന-മരണ മാതൃക, 2. ജനന മരണ മാതൃക"
জন্ম মৃত্যু প্রক্রিয়া,ജനന മരണ പ്രക്രിയ
"1. ডুয়েক, 2। বিট","1. ഡ്യൂക്ക്, 2. ബിറ്റ്"
বিট দোষ,ചെറിയ തെറ്റ്
বিট মানচিত্র,ബിറ്റ് മാപ്പ്
"1. বিট, 2। মানচিত্র, 3. পিক্সেল (BMP)","1. ബിറ്റ്, 2. ഭൂപടം, 3. പിക്സൽ (BMP)"
"1. বিট ম্যাট্রিক্স, 2. বিট টেবিল","1. ബിറ്റ് മാട്രിക്സ്, 2. ബിറ്റ് ടേബിൾ"
বিট প্যাটার্ন,ബിറ്റ് പാറ്റേൺ
বিট অবস্থান,ബിറ്റ് സ്ഥാനം
"1. বিট রেট, 2. বিট হার","1. ബിറ്റ് റേറ്റ്, 2. ബിറ്റ് നിരക്ക്"
চোখ বেঁধে পরীক্ষা,കണ്ണടച്ച് പരിശോധന
শিমার,മിന്നിത്തിളങ്ങുക
ব্লক,തടയുക
"1. ব্লক ক্যাশে, 2. ব্লক ক্যাশে / খণ্ড মেমরি","1. ബ്ലോക്ക് കാഷെ, 2. ബ്ലോക്ക് കാഷെ / ചങ്ക് മെമ്മറി"
ব্লক প্রোব,ബ്ലോക്ക് അന്വേഷണം
ভলিউম কপি,വോളിയം കോപ്പി
ব্লক ডায়াগ্রাম,ബ്ലോക്ക് ഡയഗ്രം
"1. ব্লক করা নেটওয়ার্ক, 2. ব্লক করা নেটওয়ার্ক","1. ബ്ലോക്ക്ഡ് നെറ്റ്‌വർക്ക്, 2. ബ്ലോക്ക്ഡ് നെറ്റ്‌വർക്ക്"
বোর্ড,ബോർഡ്
পৃষ্ঠা মেমরি,പേജ് മെമ്മറി
বুলিয়ান বীজগণিত,ബൂളിയൻ ബീജഗണിതം
বুলিয়ান সম্পর্ক,ബൂളിയൻ ബന്ധം
বুট পার্টিশন,ബൂട്ട് പാർട്ടീഷൻ
