Tamil,Odiya
ஒரே மாதிரியான மாற்றம்,ଏକମାତ୍ର ପରିବର୍ତ୍ତନ
மொத்த மாறி,ଏଗ୍ରିଗେଟ୍ ଭେରିଏବଲ୍ |
"இயற்கணிதம், இயற்கணிதம், இயற்கணிதம், இயற்கணிதம்","ବୀଜ ବିବେଚନା, ବୀଜ ବିବେଚନା, ବୀଜ ବିବେଚନା"
"விதை மூடிய, விதை","ବିହନ ବନ୍ଦ, ବିହନଯୁକ୍ତ |"
இயற்கணித சமன்பாடு,ବୀଜ ବର୍ଣ୍ଣିତ ସମୀକରଣ |
இயற்கணித வெளிப்பாடு,ବୀଜ ବର୍ଣ୍ଣନା
இயற்கணித ஒருமைப்பாடு,ବୀଜ ବର୍ଣ୍ଣିତ ଏକତା |
இயற்கணித செயல்பாடு,ବୀଜ ବର୍ଣ୍ଣିତ କାର୍ଯ୍ୟ
இயற்கணித வடிவியல்,ବୀଜ ବର୍ଣ୍ଣିତ ଜ୍ୟାମିତି |
இயற்கணித பன்மை,ବୀଜ ବର୍ଣ୍ଣିତ ବହୁଳତା |
இயற்கணித அமைப்பு,ବୀଜ ବର୍ଣ୍ଣିତ ପ୍ରଣାଳୀ |
அனைத்து முழு எண் பிரச்சனை,ସମସ୍ତ-ପୂର୍ଣ୍ଣ ସମସ୍ୟା |
"ஒதுக்கீட்டுச் சிக்கல் வாட் கேள்வி,",ଆସାଇନମେଣ୍ଟ ସମସ୍ୟା ୱାଟ ପ୍ରଶ୍ନ
அகரவரிசைக் குறியீடு,ବର୍ଣ୍ଣାନୁକ୍ରମିକ ଟିପ୍ପଣୀ |
அகரவரிசை எழுத்து,ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ
மாற்று கோணங்கள்,ବିକଳ୍ପ କୋଣ
"மாற்று ஒரே மாதிரியான மாற்று வடிவம்,",ବ hom କଳ୍ପିକ ଏକମାତ୍ର ବିକଳ୍ପ ଫର୍ମ
மாற்று குழு,ବିକଳ୍ପ ଗୋଷ୍ଠୀ |
மாற்று அணி,ବିକଳ୍ପ ମ୍ୟାଟ୍ରିକ୍ସ |
மாற்று தொடர்,ବିକଳ୍ପ କ୍ରମ |
மாற்று கருதுகோள்,ବିକଳ୍ପ ଅନୁମାନ
மாற்று உகந்தது,ବିକଳ୍ପ ସର୍ବୋତ୍କୃଷ୍ଟ |
மாற்று முடிவு,ବିକଳ୍ପ ଫଳାଫଳ |
அனலாக்-இலக்க மாற்றி,analog-digit କନଭର୍ଟର |
"அனலாக் கணினி,",ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର
பகுப்பாய்வு,ବିଶ୍ଳେଷଣ |
இணைநிலை பகுப்பாய்வு,କୋଭାରିଆନ୍ସ ବିଶ୍ଳେଷଣ |
கணக்கெடுப்பு-தரவு பகுப்பாய்வு,ଗଣନା-ତଥ୍ୟ ବିଶ୍ଳେଷଣ |
மாறுபாடு பகுப்பாய்வு,ଭିନ୍ନତା ବିଶ୍ଳେଷଣ |
பகுப்பாய்வு வடிவியல்,ଆନାଲିଟିକାଲ୍ ଜ୍ୟାମିତି |
பகுப்பாய்வு செயல்பாடு,ବିଶ୍ଳେଷଣାତ୍ମକ କାର୍ଯ୍ୟ
கோணம்,କୋଣ
தொடுகோடு கோணம்,ଟାଙ୍ଗେଣ୍ଟ୍ କୋଣ |
விலகல் கோணம்,ବିଘ୍ନ କୋଣ |
மனச்சோர்வு கோணம்,ଉଦାସୀନତା କୋଣ
விலகல் கோணம்,ବିଘ୍ନ କୋଣ |
விலகல் கோணம்,ବିଭାଜନ କୋଣ |
உயர கோணம்,ଉଚ୍ଚତା କୋଣ
நிகழ்வு கோணம்,ଘଟଣାର କୋଣ
திட்ட கோணம்,ପ୍ରୋଜେକ୍ଟର କୋଣ
பிரதிபலிப்பு கோணம்,ପ୍ରତିଫଳନ କୋଣ
ஒளிவிலகல் கோணம்,ପ୍ରତିଫଳନ କୋଣ
சுழற்சி கோணம்,ଘୂର୍ଣ୍ଣନ କୋଣ
பிரதிபலிப்பு முழுமையான கோணம்,ପ୍ରତିଫଳନର ସଂପୂର୍ଣ୍ଣ କୋଣ |
கோண முடுக்கம்,କୋଣାର୍କ ତ୍ୱରଣ |
கோண வேகம்,କୋଣାର୍କ ବେଗ |
கோண வேகம்,କୋଣାର୍କ ଗତି
கோண வேகம்,କୋଣାର୍କ ବେଗ |
மோதிர விரல்,ଆଙ୍ଗୁଠି ରିଙ୍ଗ୍ |
பதில்,ଉତ୍ତର
எதிர் வழித்தோன்றல்,କାଉଣ୍ଟର ଡେରିଭେଟିଭ୍ |
ஐசோமெட்ரிக் செயல்பாடு,ଆଇସୋମେଟ୍ରିକ୍ କାର୍ଯ୍ୟ
"மறைக்கக்கூடிய, பொருந்தக்கூடிய, பொருந்தக்கூடிய","ଆଚ୍ଛାଦିତ, ପ୍ରଯୁଜ୍ୟ, ପ୍ରଯୁଜ୍ୟ |"
"விண்ணப்ப விண்ணப்பம்,",ଆବେଦନ ପ୍ରୟୋଗ
பயன்பாட்டு டைனமிக் நிரலாக்கம்,ଗତିଶୀଳ ପ୍ରୋଗ୍ରାମିଂ ପ୍ରୟୋଗ |
பயன்படுத்தப்படும் வடிவியல்,ପ୍ରୟୋଗ ହୋଇଥିବା ଜ୍ୟାମିତି |
பயன்பாட்டு கணிதம்,ପ୍ରୟୋଗ ହୋଇଥିବା ଗଣିତ |
பயன்பாட்டு புள்ளிவிவரங்கள்,ପ୍ରୟୋଗ ପରିସଂଖ୍ୟାନ |
"தோராயமாக, தோராயமாக","ପ୍ରାୟ, ପ୍ରାୟ"
தோராயமாக தொடர்ச்சியான செயல்பாடு,ପ୍ରାୟ ନିରନ୍ତର କାର୍ଯ୍ୟ |
"மேக்ரோ முறை, தோராய முறை","ମାକ୍ରୋ ପଦ୍ଧତି, ଆନୁମାନିକ ପଦ୍ଧତି |"
தோராயமான தீர்வு,ଆନୁମାନିକ ସମାଧାନ
தோராயமான பிரச்சனை,ଆନୁମାନିକ ସମସ୍ୟା
தோராயமான சொத்து,ଆନୁମାନିକ ସମ୍ପତ୍ତି
திறன் சோதனை,ଦକ୍ଷତା ପରୀକ୍ଷା
ஆர்கான் வரைபடம்,ଆର୍ଗନ୍ ଚିତ୍ର
தன்னார்வ,ସ୍ବେଚ୍ଛାକୃତ
"சீரற்ற, சீரற்ற","ଅନିୟମିତ, ଅନିୟମିତ |"
தன்னிச்சையான மாறிலி,ଇଚ୍ଛାଧୀନ ସ୍ଥିର |
இலவச உறுப்பு,ମାଗଣା ଉପାଦାନ |
தன்னிச்சையான புள்ளி,ଇଚ୍ଛାଧୀନ ବିନ୍ଦୁ |
ஆர்க்கிமிடின் சட்டம்,ଆର୍କିମିଡେଙ୍କ ନିୟମ |
ஆர்க்கிமிடிஸ் சட்டம்,ଆର୍କିମିଡିସ୍ ନିୟମ |
"வில்-நீளம், வில்-நீளம்","ଆର୍କ-ଲମ୍ବ, ଆର୍କ-ଲମ୍ବ |"
வட்ட வில்,ବୃତ୍ତାକାର
தலைகீழ் சைன் விநியோகம்,ଓଲଟା ସାଇନ ବଣ୍ଟନ |
தலைகீழ் சைன் மாற்றம்,ଓଲଟା ସାଇନ ରୂପାନ୍ତର |
"பகுதி, பகுதி","କ୍ଷେତ୍ର, କ୍ଷେତ୍ର"
பிராந்திய கட்டமைப்பு,ଆ regional ୍ଚଳିକ ସଂରଚନା
ஒரு கலப்பு எண்ணின் கோணம்,ଏକ ଜଟିଳ ସଂଖ୍ୟାର କୋଣ |
எண்கணித சராசரி,ଗାଣିତିକ ଅର୍ଥ |
டிஜிட்டல் செயல்பாடு,ଡିଜିଟାଲ୍ ଅପରେସନ୍
டிஜிட்டல் அலகு,ଡିଜିଟାଲ୍ ୟୁନିଟ୍ |
"கட்டமைப்பு, ஏற்பாடு","ବିନ୍ୟାସ, ବ୍ୟବସ୍ଥା"
"வரிசை, வரிசை","ଆରେ, ଆରେ"
செயற்கை செயற்கைக்கோள்,କୃତ୍ରିମ ଉପଗ୍ରହ |
செயற்கை மாறி,କୃତ୍ରିମ ଭେରିଏବଲ୍ |
ஏறுவதற்கு,ଚ imb ିବାକୁ
ஏறுமுகம்,ଆରୋହଣ
அளவின் ஏறுவரிசை,ତୀବ୍ରତାର କ୍ରମ
ஏறும் தரம்,ଆରୋହଣ ଗ୍ରେଡ୍
அசெம்பிளர் மொழி,ଏକତ୍ରକାରୀ ଭାଷା |
"ஒதுக்கீட்டுச் சிக்கல் ஒதுக்கீட்டுக் கேள்வி,",ଆସାଇନମେଣ୍ଟ ସମସ୍ୟା ଆସାଇନମେଣ୍ଟ ପ୍ରଶ୍ନ
துணை விதி,ସହଯୋଗୀ ନିୟମ |
ஆபரேட்டர்களின் துணை விதி,ଅପରେଟର୍ମାନଙ୍କର ଆସୋସିଏଟିଭ୍ ନିୟମ |
துணை செயல்பாடு,ଆସୋସିଏଟିଭ୍ ଅପରେସନ୍ |
தோழமை,ସାଥୀତା
சராசரியாக கருதப்படுகிறது,ଅନୁମାନ କରାଯାଉଥିବା ଅର୍ଥ |
நிகழ்தகவு விநியோகம் என்று கருதப்படுகிறது,ସମ୍ଭାବ୍ୟ ବଣ୍ଟନ ଅନୁମାନ କରାଯାଇଛି |
"கற்பனை செய்து, ஒப்புக்கொண்ட,","କଳ୍ପିତ, ସ୍ୱୀକାର"
ஜோதிடம்,ଜ୍ୟୋତିଷ ଶାସ୍ତ୍ର
"விண்வெளி பொறியாளர் விண்வெளி பொறியாளர்,",ମହାକାଶଚାରୀ ଇଞ୍ଜିନିୟର ସ୍ପେସ୍ ଇଞ୍ଜିନିୟର
வானியலாளர்*,ଜ୍ୟୋତିର୍ବିଜ୍ଞାନୀ *
வானியல் கடிகாரம்,ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ ଘଣ୍ଟା |
வானியல்,ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ
சமச்சீரற்ற வளைவு,ଅସୀମିତ ବକ୍ର
சமச்சீரற்ற தன்மை,ଅସୀମତା |
அறிகுறியற்ற,ଅସ୍ମିପଟୋଟିକ୍ |
மோசமாக்கும்,ବୃଦ୍ଧି
முற்போக்கான மதிப்பீட்டாளர்,ପ୍ରଗତିଶୀଳ ଆକଳନକାରୀ |
பிற்போக்கு சார்பு மதிப்பீட்டாளர்,ରିଟ୍ରୋଗ୍ରେଡ୍ ଦ୍ୱିପାକ୍ଷିକ ଆକଳନକାରୀ |
பிற்போக்கு நடத்தை,ପ୍ରତ୍ୟାବର୍ତ୍ତନ ଆଚରଣ |
தீவிர விநியோக செயல்பாடு,ଆକ୍ରମଣାତ୍ମକ ବଣ୍ଟନ କାର୍ଯ୍ୟ |
மேல்நோக்கி பரவியது,ଉପର ବିସ୍ତାର
வளிமண்டல அழுத்தம்,ବାୟୁମଣ୍ଡଳୀୟ ଚାପ |
"தற்செயலாக,",ଅନିୟମିତ ଭାବରେ
சொத்து*,ସମ୍ପତ୍ତି *
பண்பு-மாதிரி-பொறிமுறை,ଗୁଣଧର୍ମ-ନମୁନା-ଯାନ୍ତ୍ରିକ |
ஆக்மென்ட் மேட்ரிக்ஸ்,ବୃଦ୍ଧି ହୋଇଥିବା ମାଟ୍ରିକ୍ସ
தன்னியக்க தொடர்பு குணகம்,ଅଟୋକୋରେଲେସନ୍ କୋଏଫିସିଏଣ୍ଟ୍ |
தன்னியக்க தொடர்பு செயல்பாடு,ଅଟୋକୋରେଲେସନ୍ ଫଙ୍କସନ୍
இணை மாறுபாடு,କୋଭାରିଆନ୍ସ |
தானியங்கி கணினி,ସ୍ୱୟଂଚାଳିତ କମ୍ପ୍ୟୁଟର |
தன்னியக்க பின்னடைவு,ଆତ୍ମସମ୍ମାନ
துணை சமன்பாடு,ସହାୟକ ସମୀକରଣ
சராசரி மாதிரி எண் வளைவு (MPC வளைவு),ହାରାହାରି ନମୁନା ସଂଖ୍ୟା ବକ୍ର (MPC ବକ୍ର)
"கோட்பாடு, கோட்பாடு","axiom, axiom"
கோட்பாடு அணுகுமுறை,axiom ପଦ୍ଧତି |
நிகழ்தகவு கோட்பாடு,ସମ୍ଭାବ୍ୟତା axiom |
அச்சு,ଅକ୍ଷ
புஜக்ஷா,ଭୁଜାକ୍
பூமி அச்சு,ପୃଥିବୀ ଅକ୍ଷ
சுழற்சி அச்சு,ଘୂର୍ଣ୍ଣନ ଅକ୍ଷ
சுழற்சி அச்சு,ଘୂର୍ଣ୍ଣନ ଅକ୍ଷ
சுழல் அச்சு,ସ୍ପିନ୍ ଅକ୍ଷ
பிந்தைய மாற்று,ପୋଷ୍ଟ ରିପ୍ଲେସମେଣ୍ଟ
பின்னர்,ପରେ
பின் செருகும் சூத்திரம்,ପଛ ସନ୍ନିବେଶ ସୂତ୍ର |
"சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை","ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ |"
சீரான வடிவமைப்பு,ସନ୍ତୁଳିତ ଡିଜାଇନ୍ |
இருப்பு தாள்,ତୂଳନା ପତ୍ର
ஏவுகணை,କ୍ଷେପଣାସ୍ତ୍ର
"பந்துவீச்சு, ஆயுதம்","ବାଲିଷ୍ଟିକ୍, ଅସ୍ତ୍ରଶସ୍ତ୍ର |"
"நெடுவரிசை, பட்டை, கோப், பட்டை, பட்டை, பட்டை, பட்டை, பட்டை, பட்டை, வரி, வரி, சோதனை வரி, விளிம்பு","ସ୍ତମ୍ଭ, ବାଡ଼ି, କୋବ୍, ବାର୍, ବାର୍, ବାର୍, ବାର୍, ବାର୍, ବାର୍, ରେଖା, ରେଖା, ପରୀକ୍ଷା ରେଖା, ଧାର |"
"அடிப்படை, அடிப்படை, அடிப்படை, அடிப்படை, அடிப்படை","ଆଧାର, ଆଧାର, ଆଧାର, ଆଧାର, ଆଧାର |"
அடிப்படை கோணம்,ମୂଳ କୋଣ
"மடக்கையின் அடிப்படை, மடக்கையின் அடிப்படை","ଲୋଗାରିଦମର ଆଧାର, ଲୋଗାରିଦମର ଆଧାର |"
"அடிப்படை, அடிப்படை,","ମ basic ଳିକ, ମ basic ଳିକ"
அடிப்படை ஒத்திசைவான தீர்வு,ମୂଳ ସମନ୍ୱିତ ସମାଧାନ |
அடிப்படை தீர்வு,ମୂଳ ସମାଧାନ |
அடிப்படை மாறி,ବେସ୍ ଭେରିଏବଲ୍ |
அடித்தளம்,ଆଧାର
அடிப்படை உறுப்பு,ମୂଳ ଉପାଦାନ |
அடிப்படை அணி,ବେସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
திசையன் இடத்தின் அடிப்படை,ଭେକ୍ଟର ସ୍ପେସ୍ ର ଆଧାର |
துணை மக்கள்தொகை அடிப்படையில்,ଜନସଂଖ୍ୟା ଆଧାର |
நேர்மையற்ற,ଅସାଧୁ
bez-விதி,bez-rule
bez-theorem,ବେଜ୍-ଥିଓରେମ୍ |
பெர்னோலி-விநியோகம்,bernoulli- ବଣ୍ଟନ |
பெர்னோலி எண்கள்,ବର୍ନୁଲି ସଂଖ୍ୟା |
பெர்னோலி நிகழ்தகவு செயல்பாடு,ବର୍ନୁଲି ସମ୍ଭାବ୍ୟ କାର୍ଯ୍ୟ |
பெர்னோலி-சமன்பாடு,ବର୍ନୁଲି-ସମୀକରଣ |
பெர்ரி செயல்பாடு,ବେରୀ କାର୍ଯ୍ୟ
சிறந்த ஒட்டுதல்,ସର୍ବୋତ୍ତମ ଆଡିଶିନ୍ |
சிறந்த ஒட்டுதல் வரி,ସର୍ବୋତ୍ତମ ଆଡେସିନ୍ ରେଖା |
சிறந்த தீர்வு,ସର୍ବୋତ୍ତମ ସମାଧାନ |
சிறந்த குறிப்புகள்,ସର୍ବୋତ୍ତମ ଟିପ୍ସ |
பீட்டா விநியோகம்,ବିଟା ବଣ୍ଟନ |
"சார்பு, சார்பு","ପକ୍ଷପାତ, ପକ୍ଷପାତ |"
பாரபட்சமான மதிப்பீடு,ପକ୍ଷପାତିତ ମୂଲ୍ୟାଙ୍କନ |
ஈருறுப்புச் சமன்பாடு,ଦ୍ୱିପାକ୍ଷିକ ସମୀକରଣ |
ஒற்றை கவர்,ଏକକ କଭର |
ஒற்றை அட்டை வரைபடம்,ଏକକ କଭର ମାନଚିତ୍ର
ஒற்றை அட்டை மேப்பிங்,ଏକକ କଭର ମ୍ୟାପିଂ |
இருபடி இருபடி,ଚତୁର୍ଭୁଜ ଚତୁର୍ଭୁଜ |
இருமுனை செயல்பாடு,ବିଲିନାର୍ ଫଙ୍କସନ୍
பைலினியர் ஹெர்மிடியன் ஒருமைப்பாடு,bilinear hermitian homogeneity |
"இருமாறு, இருமை, இரட்டை","ଦ୍ୱି-ଭେରିଏବଲ୍, ବାଇନାରୀ, ଡୁଆଲ୍ |"
"பைனரி குறியீடு, பைனரி குறியீடு","ବାଇନାରୀ କୋଡ୍, ବାଇନାରୀ କୋଡ୍ |"
"பைனரி குறியிடப்பட்ட தசம, பைனரி குறியிடப்பட்ட தசம","ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ, ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ |"
பைனரி குறியாக்கம்,ବାଇନାରୀ ଏନକୋଡିଂ |
பைனரி கணினி,ବାଇନାରୀ କମ୍ପ୍ୟୁଟର |
பைனரி எண்கள்,ବାଇନାରୀ ସଂଖ୍ୟା
பைனரி செயல்பாடு,ବାଇନାରୀ ଅପରେସନ୍ |
பைனரி முறை,ବାଇନାରୀ ପଦ୍ଧତି |
பைனரி மாறி,ବାଇନାରୀ ଭେରିଏବଲ୍ |
ஈருறுப்புக் குணகம்,ଦ୍ୱିପାକ୍ଷିକ ଗୁଣବତ୍ତା |
இருவகைப் பரவல்,ଦ୍ୱିପାକ୍ଷିକ ବଣ୍ଟନ |
ஈருறுப்புச் சமன்பாடு,ଦ୍ୱିପାକ୍ଷିକ ସମୀକରଣ |
இருவகை மாறுபாடு,ଦ୍ୱିପାକ୍ଷିକ ଭିନ୍ନତା |
இருமொழி வெளிப்பாடு,ଦ୍ୱିପାକ୍ଷିକ ଅଭିବ୍ୟକ୍ତି |
ஈருறுப்பு சீரற்ற மாறி,ଦ୍ୱିପାକ୍ଷିକ ରାଣ୍ଡମ୍ ଭେରିଏବଲ୍ |
ஈருறுப்பு தேற்றம்,ଦ୍ୱିପାକ୍ଷିକ ତତ୍ତ୍। |
"பாதி, பிளவு","ଅଧା, ବିଫୁର୍କେସନ୍ |"
"இரு பிரிவு முறை, அரைப்பிரிவு முறை","ବିସେକ୍ଟ ପଦ୍ଧତି, ସେମିଡିଭିଜନ୍ ପଦ୍ଧତି |"
அரை இருசமவெட்டி,ଅଧା ବିସେକ୍ଟର |
இருவகை,ଦ୍ୱିପାକ୍ଷିକ |
"ட்வயங்க் (பைனரி எண்), அனி, பர்மிஸ், துக்","ଡୱେଙ୍କ୍ (ବାଇନାରୀ ସଂଖ୍ୟା), ଅନି, ବର୍ମା, ଟୁକ୍ |"
ஈருறுப்பு இருவகைப் பரவல் இருவகை,ଦ୍ୱିପାକ୍ଷିକ ଦ୍ୱିପାକ୍ଷିକ ବଣ୍ଟନ ଦ୍ୱିପାକ୍ଷିକ |
இருவகை தொடர்பு குணகம்,ବିଭାରିଏଟ୍ ସମ୍ପର୍କ କୋଏଫିସିଏଣ୍ଟ୍ |
இருவகை விநியோகம்,ବିଭାରିଏଟ୍ ବଣ୍ଟନ |
இருவகை இயல்பான-விநியோகம்,ସାଧାରଣ ବଣ୍ଟନ
பைவெக்டர்,ବିଭେକ୍ଟର୍ |
போல்ட்மேன் சமன்பாடு,ବୋଲ୍ଟମ୍ୟାନ୍ ସମୀକରଣ |
பூலியன் இயற்கணிதம்*,ବୁଲିୟନ୍ ବୀଜ ବର୍ଣ୍ଣନା *
போஸ்-ஐன்ஸ்டீன் புள்ளிவிவரங்கள்,ବୋଷ-ଆଇନଷ୍ଟାଇନ ପରିସଂଖ୍ୟାନ |
வரம்பு கட்டுப்பாடுகள்,ସୀମିତତା ପ୍ରତିବନ୍ଧକ |
எல்லை நிலை,ସୀମା ସ୍ତର |
எல்லைக் கோடு,ସୀମା ରେଖା |
வரம்பு மதிப்பு,ସୀମା ମୂଲ୍ୟ
எல்லை மதிப்பு பிரச்சனை,ସୀମା ମୂଲ୍ୟ ସମସ୍ୟା |
"எல்லைக்குட்பட்ட செயல்பாடு எல்லைக்குட்பட்ட பழம்,",ସୀମାବଦ୍ଧ କାର୍ଯ୍ୟ ସୀମିତ ଫଳ
"எல்லைக்குட்பட்ட அணி, எல்லைக்குட்பட்ட அணி எல்லைக்குட்பட்ட அட்டவணை,","ସୀମାବଦ୍ଧ ମ୍ୟାଟ୍ରିକ୍ସ, ସୀମାବଦ୍ଧ ମ୍ୟାଟ୍ରିକ୍ସ, ସୀମାବଦ୍ଧ ଟେବୁଲ୍"
"எல்லைக்குட்பட்ட பிரதேசம் எல்லைக்குட்பட்ட பிரதேசம்,",ସୀମାବଦ୍ଧ ଅଞ୍ଚଳ ସୀମାବଦ୍ଧ ଅଞ୍ଚଳ
"எல்லைக்குட்பட்ட தொகுப்பு எல்லைக்குட்பட்ட தொகுப்பு,",ସୀମାବଦ୍ଧ ସେଟ୍ ସୀମାବଦ୍ଧ ସେଟ୍
பிரவுனி இயக்கம்,ବ୍ରାଉନି ଗତି |
கணக்கெடுக்க,ଗଣନା କରିବାକୁ
கணக்கீடு,ଗଣନା
"கால்குலேட்டர், கால்குலேட்டர்","କାଲକୁଲେଟର, କାଲକୁଲେଟର"
கணக்கீடு*,ଗଣନା *
கணக்கீட்டு நடவடிக்கை முறை,ଗଣନା କାର୍ଯ୍ୟ ପଦ୍ଧତି |
"கால்குலேட்டர், கால்குலேட்டர்","କାଲକୁଲେଟର, କାଲକୁଲେଟର"
