Marathi,Bengali
सहप्रसरण विश्लेषण,সহভক্তি বিশ্লেষণ
गणन-डेटा विश्लेषण,গণনা-ডেটা বিশ্লেষণ
भिन्नता विश्लेषण,বৈচিত্র্য বিশ্লেষণ
विश्लेषणात्मक भूमिती,বিশ্লেষণাত্মক জ্যামিতি
विश्लेषणात्मक कार्य,বিশ্লেষণাত্মক ফাংশন
कोन,কোণ
स्पर्शिका कोन,স্পর্শক কোণ
विक्षेपण कोन,বিচ্যুতি কোণ
उदासीनता कोन,বিষণ্নতা কোণ
विचलन कोन,বিচ্যুতি কোণ
विवर्तन कोन,বিবর্তন কোণ
उंची कोन,উচ্চতা কোণ
घटनेचा कोन,ঘটনার কোণ
प्रक्षेपण कोन,অভিক্ষেপ কোণ
प्रतिबिंब कोन,প্রতিফলন কোণ
अपवर्तन कोन,প্রতিসরণ কোণ
रोटेशन कोन,ঘূর্ণন কোণ
परावर्तनाचा परिपूर्ण कोन,প্রতিফলনের পরম কোণ
कोनीय प्रवेग,কৌণিক ত্বরণ
कोनीय गती,কৌণিক বেগ
कोनीय गती,কৌণিক গতি
कोनीय गती,কৌণিক বেগ
अनामिका,অনামিকা আঙুল
उत्तर द्या,উত্তর
काउंटर व्युत्पन्न,কাউন্টার ডেরিভেটিভ
आयसोमेट्रिक फंक्शन,আইসোমেট্রিক ফাংশন
"कव्हर करण्यायोग्य, लागू, लागू","আচ্ছাদনযোগ্য, প্রযোজ্য, প্রযোজ্য"
"अर्ज अर्ज,",আবেদনের আবেদন
लागू डायनॅमिक प्रोग्रामिंग,প্রয়োগকৃত গতিশীল প্রোগ্রামিং
लागू भूमिती,প্রয়োগ করা জ্যামিতি
लागू गणित,ফলিত গণিত
लागू आकडेवारी,ফলিত পরিসংখ্যান
"अंदाजे, अंदाजे","প্রায়, প্রায়"
अंदाजे सतत कार्य,প্রায় একটানা ফাংশন
"मॅक्रो पद्धत, अंदाजे पद्धत","ম্যাক্রো পদ্ধতি, আনুমানিক পদ্ধতি"
अंदाजे उपाय,আনুমানিক সমাধান
अंदाजे समस्या,আনুমানিক সমস্যা
अंदाजे मालमत्ता,আনুমানিক সম্পত্তি
योग्यता चाचणी,বুদ্ধিমত্তার পরীক্ষা
आर्गॉन आकृती,আর্গন ডায়াগ্রাম
ऐच्छिक,স্বেচ্ছায়
"यादृच्छिक, यादृच्छिक","এলোমেলো, এলোমেলো"
अनियंत्रित स्थिरांक,নির্বিচারে ধ্রুবক
मुक्त घटक,বিনামূল্যে উপাদান
अनियंत्रित बिंदू,নির্বিচারে পয়েন্ট
आर्किमिडीजचा कायदा,আর্কিমিডের আইন
आर्किमिडीजचा कायदा,আর্কিমিডিসের আইন
"चाप-लांबी, चाप-लांबी","চাপ-দৈর্ঘ্য, চাপ-দৈর্ঘ্য"
वर्तुळ चाप,বৃত্ত চাপ
व्यस्त साइन वितरण,ইনভার্স সাইন ডিস্ট্রিবিউশন
व्यस्त साइन रूपांतरण,বিপরীত সাইন রূপান্তর
"क्षेत्र, क्षेत्र","এলাকা, এলাকা"
प्रादेशिक कॉन्फिगरेशन,আঞ্চলিক কনফিগারেশন
जटिल संख्येचा कोन,একটি জটিল সংখ্যার কোণ
अंकगणित सरासरी,গাণিতিক গড়
डिजिटल ऑपरेशन,ডিজিটাল অপারেশন
डिजिटल युनिट,ডিজিটাল ইউনিট
"कॉन्फिगरेशन, व्यवस्था","কনফিগারেশন, বিন্যাস"
"अॅरे, अॅरे","অ্যারে, অ্যারে"
कृत्रिम उपग्रह,কৃত্রিম উপগ্রহ
कृत्रिम व्हेरिएबल,কৃত্রিম পরিবর্তনশীল
चढणे,আরোহন করা
चढत्या,আরোহী
परिमाणाचा चढता क्रम,মাত্রার আরোহী ক্রম
चढत्या श्रेणी,আরোহী গ্রেড
असेंबलर भाषा,সংযোজনকারী ভাষা
"असाइनमेंट समस्या असाइनमेंट प्रश्न,",অ্যাসাইনমেন্ট সমস্যা অ্যাসাইনমেন্ট প্রশ্ন
सहयोगी नियम,সহযোগী নিয়ম
ऑपरेटर्सचा सहयोगी नियम,অপারেটরদের সহযোগী নিয়ম
सहयोगी ऑपरेशन,সহযোগী অপারেশন
सहवास,সাহচর্য
सरासरी गृहीत धरले,ধরে নেওয়া গড়
गृहीत संभाव्यता वितरण,অনুমান সম্ভাব্যতা বন্টন
"कल्पना केली, स्वीकारली,","কল্পনা করা, স্বীকার করা"
ज्योतिष,জ্যোতিষশাস্ত্র
"अंतराळ अभियंता अंतराळ अभियंता,",মহাকাশচারী প্রকৌশলী মহাকাশ প্রকৌশলী
खगोलशास्त्रज्ञ*,জ্যোতির্বিদ*
खगोलशास्त्रीय घड्याळ,জ্যোতির্বিদ্যা ঘড়ি
खगोलशास्त्र,জ্যোতির্বিদ্যা
असममित वक्र,অপ্রতিসম বক্ররেখা
विषमता,অসমতা
लक्षणे नसलेला,অ্যাসিম্পোটিক
त्रासदायक,উত্তেজক
प्रगतीशील अंदाजक,প্রগতিশীল অনুমানকারী
प्रतिगामी पक्षपाती अनुमानक,বিপরীতমুখী পক্ষপাতমূলক অনুমানকারী
प्रतिगामी आचरण,বিপরীতমুখী আচরণ
आक्रमक वितरण कार्य,আক্রমনাত্মক বিতরণ ফাংশন
वर पसरलेला,ঊর্ধ্বগামী বিস্তার
वातावरणाचा दाब,বায়ুমণ্ডলীয় চাপ
"यादृच्छिकपणे,",এলোমেলোভাবে
मालमत्ता*,সম্পত্তি*
विशेषता-नमुना-यंत्रणा,অ্যাট্রিবিউট-স্যাম্পলিং-মেকানিজম
संवर्धित मॅट्रिक्स,অগমেন্টেড ম্যাট্রিক্স
स्वयंसंबंध गुणांक,স্বয়ংক্রিয় সম্পর্ক সহগ
स्वयंसंबंध कार्य,স্বয়ংক্রিয় সম্পর্ক ফাংশন
सहप्रसरण,সহবাস
स्वयंचलित संगणक,স্বয়ংক্রিয় কম্পিউটার
ऑटोरिग्रेशन,অটোরিগ্রেশন
सहाय्यक समीकरण,সহায়ক সমীকরণ
सरासरी नमुना क्रमांक वक्र (MPC वक्र),গড় নমুনা সংখ্যা বক্ররেখা (MPC বক্ররেখা)
"स्वयंसिद्ध, स्वयंसिद्ध","axiom, axiom"
स्वयंसिद्ध दृष्टीकोन,স্বতঃসিদ্ধ পদ্ধতি
संभाव्यता स्वयंसिद्ध,সম্ভাব্যতা স্বতঃসিদ্ধ
अक्ष,অক্ষ
भुजक्षा,ভুজক্ষ
पृथ्वीचा अक्ष,পৃথিবী অক্ষ
रोटेशन अक्ष,ঘূর্ণন অক্ষ
रोटेशन अक्ष,ঘূর্ণন অক্ষ
फिरकी अक्ष,স্পিন অক্ষ
पोस्ट बदली,পোস্ট প্রতিস্থাপন
नंतर,পরে
बॅक इन्सर्टेशन फॉर्म्युला,ফিরে সন্নিবেশ সূত্র
"शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक","ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য"
संतुलित डिझाइन,সুষম নকশা
ताळेबंद,ব্যালেন্স শীট
क्षेपणास्त्र,মিসাইল
"बॅलिस्टिक्स, शस्त्रे","ব্যালিস্টিক, অস্ত্র"
"स्तंभ, बार, कोब, बार, बार, बार, बार, बार, बार, रेषा, रेषा, चाचणी रेषा, किनार","কলাম, রড, কোব, বার, বার, বার, বার, বার, বার, লাইন, লাইন, টেস্ট লাইন, প্রান্ত"
"बेस, बेस, बेस, बेस, बेस","ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি"
बेस कोन,ভিত্তি কোণ
"लॉगरिथमचा आधार, लॉगरिथमचा आधार","লগারিদমের ভিত্তি, লগারিদমের ভিত্তি"
"मूलभूत, मूलभूत,","মৌলিক, মৌলিক"
बेस सुसंगत उपाय,ভিত্তি সুসংগত সমাধান
बेस सोल्यूशन,ভিত্তি সমাধান
बेस व्हेरिएबल,ভিত্তি পরিবর্তনশীল
पाया,ভিত্তি
मूळ घटक,ভিত্তি উপাদান
बेस मॅट्रिक्स,বেস ম্যাট্রিক্স
वेक्टर स्पेसचा पाया,ভেক্টর স্থানের ভিত্তি
उपलोकसंख्या आधार,উপ-জনসংখ্যা ভিত্তিতে
बेईमान,নীতিহীন
bez-नियम,বেজ-রুল
bez-प्रमेय,bez-তত্ত্ব
bernoulli-वितरण,bernoulli-বন্টন
बर्नौली क्रमांक,বার্নোলি সংখ্যা
बर्नौली संभाव्यता कार्य,Bernoulli সম্ভাব্যতা ফাংশন
बर्नौली-समीकरण,বার্নোলি-সমীকরণ
बोरासारखे बी असलेले लहान फळ कार्य,বেরি ফাংশন
सर्वोत्तम आसंजन,সেরা আনুগত্য
सर्वोत्तम आसंजन ओळ,সেরা আনুগত্য লাইন
सर्वोत्तम उपाय,সেরা সমাধান
सर्वोत्तम टिपा,সেরা টিপস
बीटा वितरण,বিটা বিতরণ
"पक्षपात, पक्षपात","পক্ষপাত, পক্ষপাত"
पक्षपाती मूल्यांकन,পক্ষপাতমূলক মূল্যায়ন
द्विपद समीकरण,দ্বিপদ সমীকরণ
एकल कव्हर,একক আবরণ
सिंगल कव्हर नकाशा,একক কভার মানচিত্র
सिंगल कव्हर मॅपिंग,একক কভার ম্যাপিং
चतुर्भुज चौकोन,দ্বিঘাত দ্বিঘাত
द्विरेखीय कार्य,বাইলিনিয়ার ফাংশন
द्विरेखीय हर्मिटियन एकजिनसीपणा,বাইলিনিয়ার হারমিটিয়ান একজাতীয়তা
"द्वि-चर, बायनरी, दुहेरी","দ্বি-পরিবর্তনশীল, বাইনারি, দ্বৈত"
"बायनरी कोड, बायनरी कोड","বাইনারি কোড, বাইনারি কোড"
"बायनरी कोडेड दशांश, बायनरी कोडेड दशांश","বাইনারি কোডেড দশমিক, বাইনারি কোডেড দশমিক"
बायनरी एन्कोडिंग,বাইনারি এনকোডিং
बायनरी संगणक,বাইনারি কম্পিউটার
बायनरी अंक,বাইনারি সংখ্যা
बायनरी ऑपरेशन,বাইনারি অপারেশন
बायनरी पद्धत,বাইনারি পদ্ধতি
बायनरी व्हेरिएबल,বাইনারি পরিবর্তনশীল
द्विपदी गुणांक,দ্বিপদ সহগ
द्विपदी वितरण,দ্বিপদ ডিস্ট্রিবিউশন
द्विपद समीकरण,দ্বিপদ সমীকরণ
द्विपद भिन्नता,দ্বিপদ প্রকরণ
द्विपदी अभिव्यक्ती,দ্বিপদ অভিব্যক্তি
द्विपदी यादृच्छिक चल,দ্বিপদী র্যান্ডম পরিবর্তনশীল
द्विपद प्रमेय,দ্বিপদ উপপাদ্য
"अर्धा, दुभाजक","অর্ধেক, বিভাজন"
"दुभाजक पद्धत, अर्धविभाग पद्धत","দ্বিখণ্ডিত পদ্ধতি, অর্ধবিভাগ পদ্ধতি"
अर्धा दुभाजक,অর্ধেক দ্বিখণ্ডক
"द्विपदी, द्विपदी",দ্বিপদ
"द्वयंक (बायनरी अंक), अनी, बर्मीज, तुक","Dwayank (বাইনারী সংখ্যা), আনি, বার্মিজ, টুক"
द्विपदी द्विपद वितरण द्विपदी,দ্বিপদ দ্বিপদী বন্টন দ্বিপদ
द्विवैरिएट सहसंबंध गुणांक,দ্বিভারী পারস্পরিক সম্পর্ক সহগ
द्विवैरिएट वितरण,দ্বিমুখী বন্টন
द्विवैरिएट सामान्य-वितरण,bivariate স্বাভাবিক-বন্টন
bivector,bivector
बोल्टमन समीकरण,বোল্টম্যান সমীকরণ
बुलियन बीजगणित*,বুলিয়ান বীজগণিত*
बोस-आईन्स्टाईन सांख्यिकी,বোস-আইনস্টাইন পরিসংখ্যান
मर्यादा निर्बंध,সীমাবদ্ধতা সীমাবদ্ধতা
सीमा पातळी,সীমানা স্তর
सीमारेषा,সীমান
मर्यादा मूल्य,সীমা মান
सीमा मूल्य समस्या,সীমানা মান সমস্যা
"बाउंड फंक्शन बाउंडेड फळ,",আবদ্ধ ফাংশন আবদ্ধ ফল
"बाउंडेड मॅट्रिक्स, बाउंडेड मॅट्रिक्स, बाउंडेड टेबल,","আবদ্ধ ম্যাট্রিক্স, আবদ্ধ ম্যাট্রিক্স, আবদ্ধ টেবিল"
"सीमाबद्ध प्रदेश सीमाबद्ध प्रदेश,",সীমাবদ্ধ অঞ্চল সীমাবদ্ধ অঞ্চল
"बाऊंड सेट बाउंडेड सेट,",আবদ্ধ সেট আবদ্ধ সেট
ब्राउनी मोशन,ব্রাউনি গতি
मोजणे,হিসাব করতে
गणना,গণনা
"कॅल्क्युलेटर, कॅल्क्युलेटर","ক্যালকুলেটর, ক্যালকুলেটর"
गणना*,হিসাব*
संगणकीय क्रिया पद्धत,গণনামূলক কর্ম পদ্ধতি
"कॅल्क्युलेटर, कॅल्क्युलेटर","ক্যালকুলেটর, ক্যালকুলেটর"
"कॅल्क्युलस, कॅल्क्युलस","ক্যালকুলাস, ক্যালকুলাস"
भिन्नता कॅल्क्युलस,প্রকরণ ক্যালকুলাস
कॅलरीज,ক্যালোরি
नियम रद्द करा,বিধি বাতিল করা
प्रामाणिक समीकरण,ক্যানোনিকাল সমীকরণ
प्रामाणिक फॉर्म,ক্যানোনিকাল ফর্ম
"कॅनॉनिकल मॅट्रिक्स, के कॅनॉनिकल मॅट्रिक्स","ক্যানোনিকাল ম্যাট্রিক্স, কে ক্যানোনিকাল ম্যাট্রিক্স"
cantor सेट,ক্যান্টর সেট
cantor त्रिकोणी संच,ক্যান্টর ত্রিভুজাকার সেট
वाहतुकीची अडचण,সীমাবদ্ধ পরিবহন সমস্যা
क्षमता,ক্ষমতা
केशिका शक्ती,কৈশিক বল
"संख्या संख्या, मुख्य संख्या","গণনা সংখ্যা, কার্ডিনাল সংখ্যা"
कार्टेशियन अक्ष,কার্টেসিয়ান অক্ষ
कार्टेशियन समन्वय,কার্টেসিয়ান স্থানাঙ্ক
कार्टेशियन उत्पादन,কার্টিজিয়ান পণ্য
संचांचे कार्टेशियन गुणाकार,সেটের কার্টেসিয়ান গুন
"केस स्टडी, केस स्टडी","কেস স্টাডি, কেস স্টাডি"
आपत्तीजनक भाषण,বিপর্যয়মূলক বক্তৃতা
कॅटिनरी,ক্যাটিনারি
कॉची वितरण,কচি বন্টন
कौशीचें सूत्र,কৌশির সূত্র
कौशी-गुरसा-प्रमेय,কচি-গুর্সা-তত্ত্ব
कौशी-रिमन-बॅन,কৌশি-রিম্যান-বান
कॉची क्रम,কচি সিকোয়েন্স
कौशी अभिन्न,কৌশি অবিচ্ছেদ্য
कौशी मुख्य-मूल्य,কৌশি প্রধান-মূল্য
कॉची शेष प्रमेय,কচি অবশিষ্ট উপপাদ্য
कॅले-हॅमिल्टन-प्रमेय,ক্যালে-হ্যামিল্টন-উপাত্ত
आकाशीय शरीर,স্বর্গীয় শরীরের
खगोलशास्त्रीय मोजमाप,জ্যোতির্বিদ্যা পরিমাপ
खगोलीय यांत्रिकी,স্বর্গীয় বলবিদ্যা
आकाशीय शरीर,স্বর্গীয় শরীরের
सेल वारंवारता,সেল ফ্রিকোয়েন্সি
"जनगणना, जनगणना","আদমশুমারি, আদমশুমারি"
टक्केवारी,শতাংশ
सेंटीमीटर,সেন্টিমিটার
सेंटीमीटर-ग्राम-सेकंद पद्धत,সেন্টিমিটার-গ্রাম-সেকেন্ড পদ্ধতি
"मध्यवर्ती, केंद्रीत","কেন্দ্রীয়, কেন্দ্রীভূত"
मध्य अक्ष,কেন্দ্রীয় অক্ষ
मध्यवर्ती अंतर,কেন্দ্রীয় ফাঁক
केंद्रीय फरक सूत्र,কেন্দ্রীয় পার্থক্য সূত্র
केंद्रीय भिन्नता सारणी,কেন্দ্রীয় ডিফারেনশিয়াল টেবিল
केंद्रीय मर्यादा प्रमेय,কেন্দ্রীয় সীমা উপপাদ্য
मध्यवर्ती क्षण,কেন্দ্রীয় মুহূর্ত
केंद्रीय संसाधन युनिट,কেন্দ্রীয় সম্পদ ইউনিট
केंद्रीय अंतःप्रेरणा,কেন্দ্রীয় প্রবৃত্তি
केंद्र*,কেন্দ্র*
गुरुत्व मध्यभागी,অভিকর্ষের কেন্দ্র
गट केंद्र,গ্রুপ কেন্দ্র
वस्तुमान केंद्र,ভর কেন্দ্র
सममितीचे केंद्र,প্রতিসাম্য কেন্দ্র
केंद्रापसारक शक्ती,অপকেন্দ্র বল
केंद्राभिमुख शक्ती,কেন্দ্রমুখী বল
"मध्यवर्ती मेरिडियन,",কেন্দ্রমুখী মেরিডিয়ান
निश्चितता,নিশ্চিততা
cgs पद्धत,সিজিএস পদ্ধতি
cgs युनिट,সিজিএস ইউনিট
भिन्नतेचा साखळी नियम,পার্থক্যের চেইন নিয়ম
दैवयोगाने,"ভাগ্যে, ভাগ্যক্রমে"
यादृच्छिक हालचाल,এলোমেলো পদক্ষেপ
अक्ष शिफ्ट,অক্ষ স্থানান্তর
"आधार बदल Payadhar-बदल,",ভিত্তি পরিবর্তন পয়ধর-পরিবর্তন
क्रमपरिवर्तन,স্থানান্তর
वैशिष्ट्यपूर्ण गुणांक,বৈশিষ্ট্য সহগ
वैशिष्ट्यपूर्ण निर्धारक,চরিত্রগত নির্ধারক
वैशिष्ट्यपूर्ण समीकरण,চরিত্রগত সমীকরণ
"वैशिष्ट्यपूर्ण कार्य, वैशिष्ट्यपूर्ण कार्य","চারিত্রিক ফাংশন, চরিত্রগত ফাংশন"
लॉगरिदमची पूर्णांक,লগারিদমের পূর্ণসংখ্যা
"वैशिष्ट्यपूर्ण बहुपदी,",চরিত্রগত বহুপদ
वैशिष्ट्यपूर्ण मूल्य,বৈশিষ্ট্যগত মান
वैशिष्ट्यपूर्ण वेक्टर,চরিত্রগত ভেক্টর
वर्ण समुदाय,চরিত্র সম্প্রদায়
"तक्ते, तक्ते,","চার্ট, চার্ট"
ची-स्क्वेअर वितरण,চি-স্কোয়ার বিতরণ
ची-स्क्वेअर सूत्र,চি-বর্গাকার সূত্র
ची-स्क्वेअर चाचणी,চি-স্কয়ার পরীক্ষা
जीवा*,জ্যা*
जीवा विभाजित करण्याची पद्धत,জ্যা বিভাজন পদ্ধতি
लिखित संदेश,লিখিত বার্তা
"शून्य, सायफर","শূন্য, সাইফার"
मंडळ*,বৃত্ত*
अभिसरण मंडळ,অভিসারী বৃত্ত
सर्किट मॅट्रिक्स,সার্কিট ম্যাট্রিক্স
"गोलाकार, गोलाकार,","বৃত্তাকার, বৃত্তাকার"
वर्तुळाकार लक्षणे,বৃত্তাকার উপসর্গ
गोलाकार कंड्युलिन,বৃত্তাকার কন্ডুলাইন
गोलाकार हालचाल,বৃত্তাকার গতি
परिघ,পরিধি কেন্দ্র
सेवानिवृत्त*,অবসরপ্রাপ্ত*
प्रदक्षिणा करणे,"প্রদক্ষিণ করা, চারপাশে আঁকা"
भूतकाळ,অতীত
घेरलेले,পরিধিকৃত
प्रख्यात कॉर्पोरेट,বিশিষ্ট কর্পোরেট
क्लासिक डायनॅमिक्स,ক্লাসিক গতিবিদ্যা
क्लासिक ऑप्टिमायझेशन,ক্লাসিক অপ্টিমাইজেশান
दीर्घकालीन आर्थिक समस्या,দীর্ঘস্থায়ী আর্থিক সমস্যা
शास्त्रीय सांख्यिकीय यांत्रिकी,শাস্ত্রীয় পরিসংখ্যানগত বলবিদ্যা
त्रुटींचे वर्गीकरण,ত্রুটির শ্রেণীবিভাগ
वर्ग मध्यांतर,ক্লাসের ব্যবধান
वर्ग मध्यांतर युनिट,ক্লাস ব্যবধান ইউনিট
वर्ग मर्यादा,শ্রেণীর সীমা
घड्याळाच्या दिशेने,ঘড়ির কাঁটার দিকে
बंद,বন্ধ
"बंद, बंद","বন্ধ, বন্ধ"
बंद थर कव्हर,বন্ধ স্তর আবরণ
बंद घन,বন্ধ ঘনক্ষেত্র
"बंद वक्र, बंद वक्र","বন্ধ বক্ররেখা, বন্ধ বক্ররেখা"
बंद प्रांत,বন্ধ প্রদেশ
बंद आकार,বন্ধ আকৃতি
बंद अंतराल,বন্ধ ব্যবধান
"बंद प्रदेश, बंद प्रदेश","বদ্ধ অঞ্চল, বদ্ধ অঞ্চল"
बंद संच,বন্ধ সেট
"बंद पान, बंद पान","বন্ধ পাতা, বন্ধ পাতা"
नीलमन,নেমেসিস
pronator,pronator
बहिर्वक्र बिंदू,উত্তল বিন্দু
बंदिस्त-स्वीकृत,বন্দী-স্বীকৃত
बंदिस्त संच,বন্দী সেট
क्लस्टर पॉइंट,ক্লাস্টার পয়েন্ট
क्लस्टर सॅम्पलिंग,গুচ্ছের আদর্শ
क्लस्टर एकूण,ক্লাস্টার সমষ্টি
समाक्षीय वर्तुळ,সমাক্ষীয় বৃত্ত
समाक्षीय पॅराबोला,সমাক্ষীয় প্যারাবোলা
समाक्षीय विमान,সমাক্ষ সমতল
समाक्षीय त्रिकोण,সমাক্ষীয় ত্রিভুজ
कोब-डग्लस फंक्शन,কোব-ডগলাস ফাংশন
"एन्कोडिंग, कोडिंग, नोटेशन","এনকোডিং, কোডিং, স্বরলিপি"
साहित्य नोटेशन,উপাদান স্বরলিপি
सह-प्रांत,সহ-প্রদেশ
गुणांक मॅट्रिक्स,সহগ ম্যাট্রিক্স
सहसंबंध गुणांक,পারস্পরিক সম্পর্ক সহগ
निर्धार गुणांक,সংকল্প সহগ
लवचिकता गुणांक,স্থিতিস্থাপকতা সহগ
प्रसार गुणांक,ব্যাপন সহগ
घर्षण गुणांक,ঘর্ষণ গুণাঙ্ক
अनुदैर्ध्य विस्ताराचे गुणांक,অনুদৈর্ঘ্য প্রসারণের সহগ
प्रतिगमन गुणांक,রিগ্রেশন সহগ
पृष्ठभाग तणावाचे गुणांक,পৃষ্ঠ টান সহগ
भिन्नता गुणांक,ভিন্নতার সহগ
"सह-घटक, सह-घटक, सह-घटक","কো-ফ্যাক্টর, কো-ফ্যাক্টর, কো-ফ্যাক্টর"
नाणेफेक,মুদ্রা শিরসঁচালন
नमुना संकलन,নমুনা সংগ্রহ
समरेख,সমরেখার
संरेखन,প্রান্তিককরণ
"स्तंभ, स्तंभ","কলাম, কলাম"
स्तंभलेखन,স্তম্ভ
स्तंभ,স্তম্ভ
स्तंभीय मॅट्रिक्स,কলামার ম্যাট্রিক্স
स्तंभ मॅट्रिक्स,কলাম ম্যাট্রিক্স
स्तंभ क्रम,কলামের ক্রম
स्तंभ श्रेणीबद्ध मॅट्रिक्स,স্তম্ভিক শ্রেণিবিন্যাস ম্যাট্রিক্স
