ab initio,"મૂળથી, પ્રારંભથી"
acceptance of office,"પદભાર ગ્રહણ કરવો, હોદ્દો ગ્રહણ કરવો"
acceptance of tender,નિવિદા સ્વીકૃતિ
access,"પ્રવેશ, પ્રવેશ-હક, વૃદ્ધિ, પ્રવેશમાર્ગ, પ્રયોજન"
accession,"જોડાણ, ગ્રંથ-પ્રાપ્તિ નોંધ, પ્રાપ્તિ, રાજ્યાભિષેક, પદપ્રાપ્તિ"
accessory,"સહાયક, ગૌણ, આનુષંગિક"
accident,અકસ્માત
acclimatization,"આબોહવા-અનુકૂલન, પરિસ્થિતિ-અનુકૂલન"
accommodation,"નિવાસન, આવાસ, સ્થાન, સગવડ, અનુકૂલન, સમાયોજન"
accompanist,"સહાયક, સહયોગી"
accord,"સમાધાન, જોડાણ"
accordance,"સમાધાન, સંબદ્ધતા"
accordingly,"તદનુસાર, તે મુજબ, તે પ્રમાણે"
account,"હિસાબ, ખાતુ, હેવાલ, વૃતાંત"
account for,"કારણ દર્શક, ખાતાવહી નિર્દેશ"
account head,"હિસાબનો સદર, હિસાબી ખાતે"
accountability,"જવાબદારી, ઉત્તરદાયિત્વ"
accountable,"જવાબદાર, ઉત્તરદાયી"
accountancy,"નામું, હિસાબ-પદ્ધતિ, હિસાબ લેખન"
accountant,હિસાબનીશ
accrued benefit,"પ્રાપ્ત લાભ, અર્જિત લાભ"
accrued pension,"પ્રાપ્ય નિવૃત્તિલાભ, અર્જિત નિવૃત્તિલાભ"
accumulation,"સંચય, સંગ્રહ"
accuracy,"ચોકસાઈ, ખરાપણું"
accurate,"ચોક્કસ, ભૂલ રહિત, ત્રુટિહીન"
accuse,"આરોપ, તહોમત"
accused,"આરોપી, તહોમતદાર"
achievement,"લક્ષ્યપ્રાપ્તિ, કાર્યસિદ્ધિ, સિદ્ધિ"
acknowledgement,"પહોંચ સ્વીકારવી, પાવતી આપવી, સ્વીકૃતિ જણાવવી, સ્વીકાર કરવો, કબૂલવું, રસીદ"
acknowledgement due,"પહોંચ મળવાપાત્ર, રસીદ મળવાપાત્ર"
acquaintance,"પગાર, વેતન ચુકવણી, દેવામુક્તિ, કરજ મુક્તિ"
acquisition,"અર્જન, નફો, પ્રાપ્ત કરવું તે"
acquittance,"ચૂકવણું, ભરપાઈ"
act,"અધિનિયમ, કૃત્ય, કાર્ય, અંક(નાટકાદિનો), કર્તવ્ય"
act of God,"આસમાની દૈવી ઘટના, દૈવી આપત્તિ, આસમાની આફત, આસમાની સુલતાની, દૈવી પ્રકોપ"
act of misconduct,"દુષ્કૃત્ય, દુરાચાર, ગેરવહીવટનું કામ"
acting allowance,કાર્યકારી ભથ્થું
action,"કાર્ય, કાર્યવાહી, પગલું, દાવો, કાર્યવેગ"
action plan,કાર્ય યોજના
active,"સક્રિય, ક્રિયાશીલ, ગતિશીલ, કાર્યવેગ"
actively,"સક્રિયપણે, સક્રિય ઢબે"
activist,કર્મશીલ
acts of commission and omission,"ભૂલચૂક, ઉમેરણ અને બાદબાકીનું કામ"
actual,"પ્રત્યક્ષ, વાસ્તવિક, ખરેખરું"
actuals,"વાસ્તવિક અંકો, વાસ્તવિક આંકડાઓ"
ad hoc,"કામચલાઉ, બિનકાયમી"
ad hoc claim,કામચલાઉ દાવો
ad hoc committee,તદર્થ / કામચલાઉ સમિતિ
ad hoc increase,તદર્થ / કામચલાઉ વધારો
ad hoc payment,કામચલાઉ ચૂકવણું
ad valorem duty,મૂલ્ય મુજબનો વેરો
adaptation,"અનુકૂલન, રૂપાંતર, દત્તકવિધાન"
addition,ઉમેરણ
addition and alteration,"સુધારા-વધારા, સુધારા-ફેરફાર"
additional charge,વધારાનો કાર્યભાર
additional fund,અતિરિક્ત નિધિ
additional grant,અતિરિક્ત અનુદાન
additional information,અતિરિક્ત માહિતી
additional pay,અતિરિક્ત પગાર/ચુકવણું
address,"સરનામું, પ્રવચન, ભાષણ, સંબોધન, ઉદ્દબોધન, માનપત્ર"
address of welcome,"માનપત્ર, સન્માનપત્ર, સ્વાગત પ્રવચન"
addressee,"મેળવનાર, પ્રાપ્ત કરનાર"
adequate,"પૂરતૂં, પર્યાપ્ત"
adhere to,દૃઢમૂલ
adjacent,"નિકટતમ, સં-લગ્ન, બાજુનું"
adjoining (=contiguous),"અડોઅડ, નજીકનું, નિકટનું"
adjournment,"મોકૂફી, કાર્યમોકૂફી"
adjournment motion,કાર્ય મોકૂફીની દરખાસ્ત
adjudge,"ન્યાયનિર્ણય કરવો, ઠરાવવું"
adjudicate,"નિવેડો લાવવો, ફેંસલો કરવો"
adjudication,"ન્યાયનિર્ણય, ચુકાદો, ફેંસલો"
adjudicator,"ન્યાય-નિર્ણાયક, ન્યાયકર્તા"
adjustment,સંયોજન
administer,"પ્રશાસક, શાસક"
administer oath,"સોગંદ લેવડાવવા, પ્રશાસકીય પ્રતિજ્ઞા"
administration,"વહીવટ, તંત્ર, વ્યવસ્થાતંત્ર"
administration of justice,ન્યાયિક પ્રશાસન
administrative,"વહીવટી, તાંત્રિક, તંત્રગત"
administrative action,પ્રશાસનિક કાર્યવાહી
administrative appraisal,પ્રશાસનિક મૂલ્યાંકન
administrative approval,"વહીવટી મંજૂરી, અનુમતિ, બહાલી"
administrative authority,પ્રશાસનિક પ્રાધિકરણ
administrative control,પ્રશાસનિક અંકુશ
administrative decision,પ્રશાસકીય નિર્ણય
administrative department,પ્રશાસનિક વિભાગ
administrative head,પ્રશાસનિક અધિકારી
administrative headquarters,પ્રશાસનિક મુખ્યાલય
administrative measures,પ્રશાસનિક પગલા
administrative power,શાસકીય સત્તા
administrative sanction,પ્રશાસનિક મંજૂરી
administrative technique,પ્રશાસનિક તકનીક/પ્રવિધિ
administrative tribunal,"પ્રશાસનિક ન્યાયપીઠ, પ્રશાસનિક ન્યાયાલય"
admissibility,"સ્વીકાર્યતા, ગ્રાહ્યતા, મળવાપાત્રતા"
admissible expenditure,સ્વીકાર્ય ખર્ચ
admit,"દાખલ કરવું, પ્રવેશ આપવો. માન્ય કરવું, ગ્રાહ્ય ગણવું, સ્વીકારવું, કબૂલ કરવું"
admit card,પ્રવેશ પત્ર
admitted,"દાખલ, સ્વીકૃત"
admonish,"નિંદા, વખોડી કાઢવું"
adoptee,દત્તક
adoption,"દત્તક વિધાન, દત્તક લેવું તે"
adoptor,દત્તક લેનાર
adult,પુખ્ત
adult franchise,પુખ્ત મતાધિકાર
adulteration,"અપમિશ્રણ, ભેળસેળ"
adultery,"વ્યભિચાર, લગ્નબાહ્ય સંબંધ"
advance,"પેશગી, અગ્રિમ નાણાં, આગોતરી રકમ"
advance booking,અગ્રીમ નોંધણી
advance copy,અગ્રિમ નકલ
advance payment,અગ્રિમ ચૂકવણું
advanced increment,અગ્રિમ ઈજાફો
adverse entry,પ્રતિકુળ નોંધ/પ્રવિષ્ટિ
adverse remarks,પ્રતિકુળ ટિપ્પણી
adverse report,પ્રતિકુળ અહેવાલ
advertisement,"જાહેરખબર, વિજ્ઞાપન, વિજ્ઞપ્તિ"
advice,"સલાહ, સલાહ-સૂચના, સૂચના"
advice of payment,ચૂકવણી પત્ર
advisory committee,"સલાહકાર સમિતિ, પરામર્શ સમિતિ"
advisory council,સલાહકાર પરિષદ
advocate,"ધારાશાસ્ત્રી, વકીલ, પુરસ્કર્તા, હિમાયતી, સમર્થક, અધિવક્તા"
affairs,"બાબતો, મુદ્દાઓ"
affidavit,"સોગંદનામું, એફિડેવિટ"
affiliation,"માન્યતા, જોડાણ (સંસ્થાની બાબતમાં)"
affirmation,"સોગંદપૂર્વક રજૂઆત, પ્રતિજ્ઞાપૂર્વક રજૂઆત, નિશ્ચયપૂર્વક"
affirmative,"સકારાત્મક, હકારાત્મક"
afford,"સામર્થ્ય, સક્ષમતા"
aforesaid,"આગળ જણાવેલું, પૂર્વોલ્લેખિત"
afresh,નવેસરથી
against,વિરોધમાં
age,"વય, ઉંમર"
age certificate,ઉંમરનું પ્રમાણપત્ર
age for suffrage,મતાધિકાર વય
age limit,વયમર્યાદા
age of retirement,નિવૃત્તિસીમા
age of superannuation,નિવૃત્તિવય
agency,"એજન્સી, માધ્યમ, સંસ્થા, પેઢી, કચેરી, આડતિયાનું કામ કરતી સંસ્થા"
agenda,"કામકાજની યાદી, કાર્યસૂચિ, બેઠકમાં ચર્ચવાની વિગતો"
aggregation,"સમૂહ, સમુચ્યય, કુલ, એકંદર"
aggrieved,"વ્યથિત, વ્યાકુળ"
agitation,"આંદોલન, ઉશ્કેરાટ, ઉત્તેજના"
AGM (annual general meeting),વાર્ષિક સામાન્ય સભા
agreement,"કરાર, કબૂલાત, સહમતિ"
agreement form,કરાર દસ્તાવેજ
agriculture,"કૃપિ, ખેતી"
agro-industry,"કૃષિ ઉદ્યોગી, ખેત-ઉદ્યોગી"
aid,"સહાય, મદદ, સાધન"
alarm,ચેતવણી સંકેત
alertness,"સજાગતા, જાગૃતિ"
alias,"ઉપનામ, ઉર્ફે"
all inclusive cost,તમામ ખર્ચ સામેલ
All India Services,અખિલ ભારતીય સેવાઓ
all rights reserved,સર્વ હક્ક સ્વાધીન
allegation,"આક્ષેપ, દોષારોપણ, આરોપ, તહોમત"
allegiance,"વફાદારી, રાજનિષ્ઠા"
alliance,"સહયોગ, મૈત્રીસભર"
allied services,સંબદ્ધ સેવાઓ
allocation,"ફાળવણી, વહેંચણી, વિતરણ"
allotment,"ફાળવણી, હિસ્સો"
allotment letter,ફાળવણી પત્ર
allottee,ફાળવણી/હિસ્સો મેળવનાર
allow an appeal,અરજી મંજૂરી
allowable,"અનુમતિયોગ્ય, મંજૂરીપાત્ર"
allowable expenses,અનુમતિયોગ્ય ખર્ચ
allowance,"ભથ્થું, છૂટ, ઘટાડો"
alphabetic order,"વર્ણાનુક્રમ, અકારાદિક્રમ"
altercation,"ચડભડ, વાદવિવાદ"
alternate,વૈકલ્પિક
alternative,"વિકલ્પ, વૈકલ્પિક, બીજું, અન્ય, ઈતર"
amalgamation,સમ્મીલિત
amended draft,"સંશોધિત પ્રારૂપ, સંશોધિત મુસદ્દો, સંશોધિત ખરડો"
amendment,સુધારો
amenity,સુખસુવિધાઓ
amicable,"સૌહાર્દપૂર્ણ, મિત્રતાપૂર્ણ"
ammunition,હથિયારો
amortization of debt,"ઋણમુક્ત, દેવામુક્તિ"
amount,"રાશિ, રકમ, માત્રા, જથ્થો"
amount of pension,"પેન્શનલાભ, પેન્શનની રકમ"
analogous post,"અનુરૂપ હોદ્દો, અનુરૂપ પદ"
analysis,વિશ્લેષણ
analytical study,વિશ્લેષણમૂલક અભ્યાસ
ancestor,"પૂર્વજ, પૂર્વગામી"
ancillary industry,આનુષંગિક ઉદ્યોગ
animosity,"પ્રતિશોધ, બદલો"
annexure,"જોડાણ, સાથે જોડેલ કાગળ, પરિશિષ્ટ"
anniversary,વર્ષગાંઠ
announcement,"જાહેરાત, જાહેર નિવેદન, ઉદ્દઘોષણા"
annoyance,"ખિન્નતા, ચીઢ"
annual financial statement,વાર્ષિક નાણા પત્રક
annual report,વાર્ષિક અહેવાલ
annuity,"વર્ષાસન, વાર્ષિકી"
anonymous,"અનામ, નનામું"
anonymous complaint,નનામી. ફરિયાદ
answer sheet,"ઉત્તરવહી, ઉત્તરપત્રિકા, જવાબપત્રક"
answerability,"ઉત્તરદાયિત્વ, જવાબદારી"
antagonist,"વિરોધી, પ્રતિરોધી, પ્રતિપક્ષનું, પ્રતિપક્ષી, વિપક્ષી"
antecedents,"પૂર્વ ઈતિહાસ, પૂર્વ વૃત્તાંત"
anti-corruption measure,ભ્રષ્ટાચાર વિરોધી ઉપાયો
anti-dumping,પ્રતિ-પાદન
anticipated expenditure,પ્રત્યાશિત ખર્ચ
anticipated income,પ્રત્યાશિત આવક
anticipation,"ધારણા, અપેક્ષા"
anticipatory bail,આગોતરા જામીન
antique,"પ્રાચીન, પુરાતાત્ત્વિક"
apartheid,રંગભેદ
apathy,ઉદાસીનતા
apex body,સર્વોચ્ચ સત્તામંડળ/મંડળ
apology,"માફી, ક્ષમાયાચના"
appeal,"અપીલ, અપીલ કરવી"
appearance,"દેખાવ, હાજરી, ઉપલબ્ધતા"
appeasement,તુષ્ટિકરણ
appellate tribunal,અપીલ અધિકરણ
appendix,"પરિશિષ્ટ, બીડાણ"
appliance,"ઉપયંત્ર, ઉપકરણ"
applicable,"લાગુ પાડી શકાય તેવું, લાગુ પડે તેવું"
applicant,અરજદાર
application,"અરજી, લાગુ પાડવું તે, લાગુ પડતું હોય તે"
application form,"અરજી ફોર્મ, અરજી પત્ર, આવેદનપત્ર"
applied,"પ્રયુક્ત, અમલીકૃત, અમલમાં"
apply,"અરજી કરવી, લાગુ પાડવું, લાગુ પડવું, આવેદન કરવું"
appointee,નિયુક્ત વ્યક્તિ
appointing authority,"નિમણૂક સત્તા, નિમણૂક અધિકારી"
appointment,નિમણૂક
appointment letter,નિમણૂક પત્ર
Appointments Committee of the Cabinet,મંત્રીમાંડલીય નિયુક્તિ સમિતિ
apportionment of wages,મજૂરી વિભાજન
appraisal,"ગુણ માપન, વસ્તુસ્થિતિ પરિચય"
appraiser,"મુલવણીદાર, મૂલ્યાંકનકાર"
appreciation,"સરાહના, વધારો, પ્રશંસા"
apprehension,"ધરપકડ, આશંકા, તારણ"
apprentice,"શિખાઉ ઉમેદવાર, તાલીમી"
approach,"અભિગમ, વલણ, પહોંચવું, નિવેદન કરવું"
appropriate,યથાયોગ્ય
appropriate action,ઉચિત પગલાં
appropriate head,"સક્ષમ સત્તાધિકારી, યોગ્ય અધિકારી"
appropriation,"વિનિયોજન, ખાસ હેતુ માટે અનામત રાખવું, ધારાસભા/વિધાનસભાએ ફાળવેલ નાણા, ઉચાપત"
approval,"બહાલી, સંમતિ, મંજુરી"
approximate,"એકંદર, એકંદરે, અનુમાનિત"
aptitude test,"રુચિ/વૃત્તિ કસોટી, અભિરુચિ કસોટી"
arbitrary,"યથેચ્છ, મનસ્વી"
arbitrate,મધ્યસ્થી
arbitration,"લવાદ, મધ્યસ્થતા"
arbitration tribunal,લવાદ ન્યાયપીઠ
arbitrator,લવાદ
architecture,સ્થાપત્ય
archives,દફતર ભંડાર
area,"વિસ્તાર, ક્ષેત્ર, ક્ષેત્રફળ"
area headquarter,"વિસ્તાર મુખ્યાલય, ક્ષેત્રીય મુખ્ય કચેરી"
argument,દલીલ
arise,ઉદ્દભવ
armed forces,સશસ્ત્ર દળો
arrangement,"વ્યવસ્થા, ગોઠવણ"
arrear,"બાકી, ચઢેલું, ચઢી ગયેલું"
arrear statement,બાકી રકમનું વિવરણ
arrival report,"આગમન રિપોર્ટ, આગમન વિશેનો હેવાલ"
arrogance,"દંભ, મિથ્યાભિમાન"
arsenal,શસ્ત્રાગાર
article,"(કાયદાની) કલમ, અનુચ્છેદ, નિયમ, વસ્તુ, પદાર્થ, લેખ"
articles,"નીતિ-નિયમની નોંધ, નિયમાવલી, લેખ, આલેખ, લખાણ, નિયમ"
articles of association,"કંપની/મંડળનાં ધારાધોરણો, કંપની/મંડળની નિયમાવલિ"
as is where is,"જેવું છે તેવું, રાબેતા મુજબ, યથાતથ"
ascending order,"બઢતી આદેશ, આરોહ, ચઢતા ક્રમે"
ascertain,"નિશ્ચિત કરવું, સુનિશ્ચિત, સુનિર્ધારણ"
aspect,"પાસું, પરિમાણ, આયામ"
aspersion,"કલંક, ધબ્બો"
assassination,"હત્યા, ખૂન"
assault,"આક્રમણ, હુમલો"
assemble,"જોડવું, ભેગું કરી-એક કરવું, એકત્ર કરવું"
assembly,"સભા, મંડળી, જોડકામ, એકત્રીકરણ, મળવું, વિધાનસભા, ધારાસભા"
assent,"અનુમતિ, સંમતિ, સ્વીકાર"
assert,ભારપૂર્વક
assessee,નિશ્ચિત થયેલું
assessment,"આકાર, આકારણી, ચોક્કસ, નિશ્ચિત, મૂલ્યાંકન"
assessment year,આકારણીવર્ષ
assessor,આકારણીકાર
assets,"અસ્ક્યામત, પૂંજી, સંપત્તિ, મત્તા, માલમત્તા"
assignee,"નામે કરી લેનાર, મુખત્યાર, હક્કદાર"
assignment,"નામે કરવું તે, સુપરતનામું, કર્તવ્ય, સોંપેલું કાર્ય"
assignor,નામે કરી આપનાર
assistance,"મદદકર્તા, સહાયક"
associate,"સહ-સાથી, ભાગીદાર"
association,"મંડળ, સંઘ, સંગઠન"
assumption of charge,કાર્યભાર સ્વીકાર
assurance,"ખાતરી, બાંયધરી, વીમો"
assurance company,વીમા મંડળ
assure,"આશ્વાસન, ખાતરી, બાહેંધરી"
at discount,"ઓછું થવું, ઘટવું"
at par,"સમાન ભાવે, તે જ કિંમતે, સમતુલ્ય, સમપાર"
at premium,"ઊંચા ભાવે, ઊંચી/વધુ કિંમતે"
atomic power,"પરમાણુ શક્તિ, અણુશક્તિ"
attach,"જપ્ત કરવું, ટાંચમાં લેવું, જોડવું, સાથે બાંધવું"
attached office,સંલગ્ન કાર્યાલય
attachment,"જપ્તી, ટાંચ, જોડાણ, સંયોજક, બીડાણ"
attachment order,જપ્તી આદેશ
attainment,પ્રાપ્તિ/મળી જવું
attempt,"પ્રયાસ, પ્રયત્ન"
attendance,"ઉપસ્થિતિ, હાજરી"
attendance register,હાજરી પત્રક
attendance slip,"હાજરી-ચિટ્ઠી, ઉપસ્થિતિ નોંધ"
attention,"સાવધાન, સતર્ક, સજાગ"
attestation,"પ્રમાણિત, યોગ્ય"
attested copy,પ્રમાણિત નકલ
attitude,"વલણ, વર્તન"
attractive salary,આકર્ષક પગાર/ વેતન
auction,"હરરાજી, લિલામ"
auction sale,હરરાજી વેચાણ
auctioneer,લિલામકર્તા
audience,"શ્રોતા, દર્શક, પ્રેક્ષક"
audio-visual display,"દૃશ્ય-શ્રાવ્ય પ્રદર્શન, દૃશ્યશ્રાવ્ય નિદર્શન"
audio-visual publicity,"દૃશ્ય-શ્રાવ્ય-પ્રચાર, પ્રસાર"
audit,"હિસાબ-તપાસણી, ઑડિટ"
audit objection,"હિસાબ-તપાસણીના વાંધા, ઑડિટના વાંધા"
audit paragraph,હિસાબ-પરીક્ષાનો ફકરો
audit report,"હિસાબ-તપાસણી અહેવાલ, ઑડિટ અહેવાલ"
audited accounts,"તપાસેલા હિસાબ, ઑડિટ કરેલ હિસાબ, ઑડિટ થયેલા હિસાબ"
audited balance sheet,"તપાસાયેલી હિસાબ પોથી, ચકાસેલી ખાતાવહી"
auditing,હિસાબ પરીક્ષણ
auditor's report,હિસાબનીશનો અહેવાલ
auditorium,"પ્રેક્ષાગાર, સભાગૃહ"
austerity,કરકસર
austerity measures,"કરકસરનાં પગલાં, કરકસરના ઉપાયો"
authentic,"પ્રમાણિત, અધિકૃત, પ્રમાણભૂત"
authorised representative,"અધિકૃત અધિકારી, અધિકૃત પ્રતિનિધિ"
authoritative,પ્રાધિકૃત
authority,"સત્તા, હેસિયત, સત્તાધિકારી, પ્રાધિકારી, તંત્ર, આધાર-હુકમ, આધાર"
authority letter,"અધિકૃત પત્ર, અધિકારપત્ર"
authorized,અધિકૃત
authorized capital,"અધિકૃત નાણાં, કાયદેસરની મૂડી"
automatic,સ્વયંસંચાલિત
autonomous,સ્વાયત્ત
autonomous body,"સ્વાયતસંસ્થા, સ્વાયત એકમ"
autonomy,"સ્વાયત્તતા, સ્વાયત્ત શાસન"
auxiliary,"સહાયક, વધારાનું"
available,"પ્રાપ્ય, ઉપલબ્ધ"
average,"સરેરાશ, સરાસરી"
average leave,"સરાસરી છૂટ, સરેરાશ રજાઓ"
aversion,"ઘૃણા, દ્વેષ, તિરસ્કાર"
avert,બચાવવું
avoid,"અવગણના કરવી, અવહેલના"
avoidance of tax,કરવેરો ટાળવો
awaited,પ્રતીક્ષિત
award,"ચુકાદો, નિર્ણય, ફેંસલો, એવોર્ડ, પુરસ્કાર, ઈનામ"
awarding authority,"પુરસ્કાર કર્તા, નિર્ણયકર્તા અધિકારી"
awareness,જાગૃતિ
back log,પાછલું બાકી
back out,"ના પાડવી, અસ્વીકાર"
back reference,"આગળના લખાણ/પાછલી હકીકત સંબંધી પૂછપરછ, પૂર્વ સંદર્ભ"
back up,પૂર્તિકર્તા
backdated,પાછલી તારીખ
background,"પશ્ચાદૂભૂમિકા, પૂર્વભૂમિકા, ભૂમિકા, પશ્ચાદભૂ, પૃષ્ઠભૂ, પીઠિકા, સંનિવેશ"
backward classes,પછાત જ્ઞાતિઓ
backward tribe,પછાત આદિજાતિઓ
bad bargain,ખોટનો ધંધો
bad behaviour,"ખરાબ વર્તન, ખરાબ વ્યવહાર, દુર્વ્યવહાર"
bad character,શિથિલ/શંકાસ્પદ/ખરાબ ચરિત્ર
bad climate allowance,"ખરાબ આબોહવા ભથ્થું, ખરાબ જલવાયું ભથ્થું"
bad conduct,ખરાબ અથવા ટીકાપાત્ર વ્યવહાર
bad debt,"ડૂબેલું લેણું, ઘાલખાધ"
baggage,"સામગ્રી, સામાન"
bail,"જામીન, મુચરકો, જામીન પર છોડવું, મુચરકો લેવો"
balance,"સિલક, પુરાંત, બાકી રકમ, સરવૈયું, તારણ, ત્રાજવું, કાંટો, સમતુલા, સમતોલપાણું"
balance brought down,શૂન્ય પુરાંત
balance brought forward,પુરાંત જમા
balance sheet,સરવૈયું
balanced budget,સમતોલ અંદાજપત્ર
ballot,મતપત્ર
ballot box,"મતપેટી, મતદાન-પેટી"
ballot paper,મતપત્ર
ban,"પ્રતિબંધ, અટકાવવું, રોકવું"
Bank,"શાહુકારી પેઢી, બેંક"
bank account,બેંક ખાતું
bank balance,બેંક બચત
bank charges,બેંક વટાવ
bank guarantee,બેંક ગેરંટી
bank holiday,બેંક રજા
bank rate,બેંક દર
bank reconciliation,"બેંક સમાધાન, સરભર કરવું"
bank security,બેંક જમાનત
bank statement,બેંક વિવરણ પત્ર
banking facility,બેંક સગવડ/સુવિધા
banking hours,બેંક સમય
banking transaction,બેંક લેવડદેવડ
bankrupt,"દેવાળિયો, નાદાર"
banquet,"રુચિ ભોજન, ભોજન સ્થળ"
bar council,વકીલ મંડળ
bargain,"લેવડદેવડ, સમાધાન કરવું, સોદો"
bargaining,સોદાબાજી
barren land,"ખરાબો, ઉબડખાબડ અથવા બિનઉપયોગી જમીન"
barter,વસ્તુવિનિમય
base,"પાયો, તળિયું, આધાર, તલ, બેઠક"
base year,આધાર-વર્ષ
baseless,"બિનપાયાદાર, આધારશૂન્ય"
basement,ભોંય તળિયું
basic,"બુનિયાદી, પાયાનું, મૂળભૂત, આધારભૂત"
basic intelligence,"પાયાની સમજણ, સામાન્ય બુદ્ધિ"
basic pay,"મૂળ પગાર, મૂળ વેતન"
basic scale of pay,મૂળ વેતનમાન
basic training,"બુનિયાદી શિક્ષણ, બુનિયાદી તાલીમ"
basically,"બુનિયાદી રીતે, પાયાની રીતે"
basis,"આધાર, ભૂમિકા, પાયો"
batch,"ટૂકડી, ટોળી, જથ્થો, સમૂહ"
batch number,"ટૂકડી નંબર, ખેપ નંબર, સમૂહ નંબર, જથ્થા નંબર"
bearer cheque,"વાહક/ધારક ચેક, શાહજોગ ચેક"
before cited,"હવાલો આપવો, સંદર્ભ આપવો"
behaviour,"વર્તન, વ્યવહાર, વલણ"
belief,"વિશ્વાસ, ભરોસો, શ્રદ્ધા"
below par,"નીચા ભાવે, ખોટના ભાવે"
bench,"ન્યાયપીઠ, ન્યાય ટૂકડી, છાત્ર સમૂહ"
benchmark,"આધાર-ચિહ્ન, તળ-ચિહ્ન"
beneficial,"લાભકારક, હિતકારક"
beneficiary,"લાભાર્થી, હિતાધિકારી"
benefit,"હિત, લાભ, ફાયદાકારક"
benefit of doubt,"શકનો લાભ, શંકા અથવા સંદેહનો લાભ"
benevolence,"લાભદાયક, હિતકારીતા"
benevolent fund,હિત ભંડોળ
bequeath,"વસિયતનામું કરવું, વારસાપત્ર, વારસાખત"
bequest,"વસિયત, વારસો, વસિયતનામા/વીલથી આપેલી મિલકત"
bereaved,"શોકાતુર, શોકમગ્ન"
best endeavours,ખૂબ પ્રયત્ન કરવો
betterment,"સુધારણા, સુધારો"
bias,"પૂર્વાગ્રહ, પૂર્વગ્રહ"
biased opinion,"પૂર્વગ્રહયુક્ત મત, પૂર્વગ્રહયુક્ત અભિપ્રાય"
bibliography,"ગ્રંથસૂચિ, સંદર્ભ સૂચિ"
bicameral,"દ્વિસદન, બે મકાનનું જોડકું, બે સદનવાળું રાજ્ય"
biennial,"દ્વિવાર્ષિક, દ્વિવર્ષીય"
bifurcate,"ભાગલા, બે ભાગમાં વહેંચવું, વિભાજન"
bigamy,દ્વિવિવાહ પદ્ધતિ (પ્રથા)
bilateral,"દ્વિપક્ષીય, બંને પક્ષને લાગુ પડતું હોય એવું"
bilingual,દ્વિભાષી
bill,"વિધેયક, ખરડો, બિલ, આંકડો, હૂંડી"
bill of exchange,"હૂંડી, વિનિમયપત્ર"
bimonthly report,"દ્વિમાસિક અહેવાલ, અર્ધમાસિક અહેવાલ"
binding,"બાંધણી, બાઈન્ડિંગ, બંધનકારક, બંધનકર્તા"
biodata,સંક્ષિપ્ત વ્યક્તિગત વિગત
bipartite,"દ્વિદલીય, દ્વિપક્ષી"
