Marathi,Kannada
धर्मगुरूंचा लाभ,ಧರ್ಮಗುರುಗಳ ಲಾಭ
बेनेलक्स,ಬೆನೆಲಕ್ಸ್
बर्लिन डिक्री,ಬರ್ಲಿನ್ ತೀರ್ಪು
बेसरकर,ಬರ್ಸರ್ಕರ್
बेझंट (=बेझंट),ಬೆಸೆಂಟ್ (=ಬೆಜಾಂಟ್)
बेथेल,ಬೆತೆಲ್
बिब्लिओलेटर,ಗ್ರಂಥಪಾಲಕ
ग्रंथदिंडी,ಗ್ರಂಥಾರಾಧನೆ
मोठा बर्था,ದೊಡ್ಡ ಬರ್ತಾ
धर्मांध,ಮತಾಂಧ
बिलेटिंग,ಬಿಲ್ಲೆಟಿಂಗ್
अटेंडरचे बिल,ಅಟೈಂಡರ್ ಬಿಲ್
अधिकारांचे विधेयक,ಹಕ್ಕುಗಳ ಮಸೂದೆ
चरित्रकार,ಜೀವನಚರಿತ್ರೆಕಾರ
जन्मकथा,ಜನ್ಮ ಕಥೆಗಳು
बिव्होक,ತಾತ್ಕಾಲಿಕ
बिव्होक,ತಾತ್ಕಾಲಿಕ
बिव्होक,ತಾತ್ಕಾಲಿಕ
बिझोनिया,ಬಿಜೋನಿಯಾ
काळा पक्षी,ಕಪ್ಪು ಪಕ್ಷಿಗಳು
काळा झेंडा,ಕಪ್ಪು ಬಾವುಟ
कृष्ण विवर,ಕಪ್ಪು ರಂಧ್ರ
कृष्ण विवर,ಕಪ್ಪು ರಂಧ್ರ
काळा पाय (= खरुज),ಕಪ್ಪು ಕಾಲು (=ಹುರುಪು)
काळा शर्ट,ಕಪ್ಪು ಶರ್ಟ್
ब्लेझोन,ಬ್ಲೇಝೋನ್
ब्लेझोन,ಬ್ಲೇಝೋನ್
झगमगाट,ಪ್ರಜ್ವಲಿಸುವಿಕೆ
झगमगाट,ಪ್ರಜ್ವಲಿಸುವಿಕೆ
ब्लिट्झक्रीग,ಮಿಂಚುದಾಳಿ
रक्तहीन क्रांती (=वैभवशाली क्रांती),ರಕ್ತರಹಿತ ಕ್ರಾಂತಿ (=ಗ್ಲೋರಿಯಸ್ ರೆವಲ್ಯೂಷನ್)
ब्लडवाईट,ಬ್ಲಡ್ವೈಟ್
ब्लडी मेरी,ಬ್ಲಡಿ ಮೇರಿ
निळा,ನೀಲಿ
निळे रक्त,ನೀಲಿ ರಕ್ತ
निळे पुस्तक,ನೀಲಿ ಪುಸ್ತಕ
निळी फीत,ನೀಲಿ ರಿಬ್ಬನ್
निळी फीत,ನೀಲಿ ರಿಬ್ಬನ್
ब्लूज (=रॉयल हॉर्स गार्ड),ಬ್ಲೂಸ್ (=ರಾಯಲ್ ಹಾರ್ಸ್ ಗಾರ್ಡ್ಸ್)
निळा शर्ट,ನೀಲಿ ಅಂಗಿ
ब्लू वॉटर स्कूल,ಬ್ಲೂ ವಾಟರ್ ಸ್ಕೂಲ್
नियंत्रण मंडळ,ನಿಯಂತ್ರಣ ಮಂಡಳಿ
शरीर चिलखत,ದೇಹದ ರಕ್ಷಾಕವಚ
बोअर,ಬೋಯರ್
लूट,ಲೂಟಿ
बरो,ಬರೋ
बुलेउटेरियन,ಬೌಲ್ಯೂಟೇರಿಯನ್
बोरबॉन,ಬೌರ್ಬನ್
बॉक्सर बंडखोरी,ಬಾಕ್ಸರ್ ದಂಗೆ
ब्रेस,ಬ್ರೇಸ್
ब्रासर्ड,ಬ್ರಾಸಾರ್ಡ್
ब्रासर्ड,ಬ್ರಾಸಾರ್ಡ್
ब्रेड वसाहती,ಬ್ರೆಡ್ ವಸಾಹತುಗಳು
ब्रेस्ट प्लेट,ಸ್ತನ ಫಲಕ
स्तनाचे काम,ಸ್ತನ ಕೆಲಸ
ब्रेटवाल्डा,ಬ್ರೆಟ್ವಾಲ್ಡಾ
ब्रिगेंड,ಬ್ರಿಗಾಂಡ್
दलाल,ಬ್ರಿಗಂಡೇಜ್
ब्रिटिश कॉमनवेल्थ ऑफ नेशन्स,ಬ್ರಿಟಿಷ್ ಕಾಮನ್‌ವೆಲ್ತ್ ರಾಷ್ಟ್ರಗಳು
तपकिरी शर्ट (=नाझी),ಬ್ರೌನ್ ಶರ್ಟ್ಸ್ (=ನಾಜಿಗಳು)
ब्रुसेल्स ट्रीटी (पॅक्ट) संस्था (=वेस्टर्न युरोपियन युनियन),ಬ್ರಸೆಲ್ಸ್ ಒಪ್ಪಂದ (ಒಪ್ಪಂದ) ಸಂಸ್ಥೆ (=ಪಶ್ಚಿಮ ಯುರೋಪಿಯನ್ ಒಕ್ಕೂಟ)
बफ,ಬಫ್
बफ,ಬಫ್
बफ-कोट,ಬಫ್-ಕೋಟ್
बफ्स,ಬಫ್ಸ್
बुले (=परिषद),ಬುಲೆ (=ಕೌನ್ಸಿಲ್)
बर्गेज,ಬರ್ಗೇಜ್
बर्जेस,ಬರ್ಗೆಸ್
बायझँटाईन,ಬೈಜಾಂಟೈನ್
बायझँटाईन चर्च,ಬೈಜಾಂಟೈನ್ ಚರ್ಚ್
बायझँटाईन साम्राज्य,ಬೈಜಾಂಟೈನ್ ಸಾಮ್ರಾಜ್ಯ
बायझँटाईन युग,ಬೈಜಾಂಟೈನ್ ಯುಗ
बायझँटाईन इतिहासकार,ಬೈಜಾಂಟೈನ್ ಇತಿಹಾಸಕಾರರು
कॅबल,ಕ್ಯಾಬಲ್
सीझरवाद,ಸೀಸರಿಸಂ
खलिफा,ಖಲೀಫ್
कॅलिग्राफर,ಕ್ಯಾಲಿಗ್ರಾಫರ್
कॅलिग्राफिस्ट,ಕ್ಯಾಲಿಗ್ರಾಫಿಸ್ಟ್
कॅलिग्राफी,ಕ್ಯಾಲಿಗ್ರಫಿ
कॅल्ट्रॉप,ಕ್ಯಾಲ್ಟ್ರೋಪ್
सौहार्द,ಸೌಹಾರ್ದತೆ
कॅमरिला,ಕ್ಯಾಮರಿಲ್ಲಾ
कॅमरिला,ಕ್ಯಾಮರಿಲ್ಲಾ
कॅमेलॅकम,ಕ್ಯಾಮೆಲಾಕಮ್
क्लृप्ती,ಮರೆಮಾಚುವಿಕೆ
मोहीम,ಪ್ರಚಾರ
शिबिराचे अनुयायी,ಶಿಬಿರದ ಅನುಯಾಯಿ
कॅम्पो सॅंटो,ಕ್ಯಾಂಪೋ ಸ್ಯಾಂಟೋ
कॅम्पस मार्टियस,ಕ್ಯಾಂಪಸ್ ಮಾರ್ಟಿಯಸ್
कॅनेफोरा,ಕ್ಯಾನೆಫೊರಾ
कॅंग्यू,ಕ್ಯಾಂಗ್ಯೂ
तोफखाना,ಕ್ಯಾನನೇಡ್
तोफ चारा,ಕ್ಯಾನನ್ ಮೇವು
कॅनन,ಕ್ಯಾನನ್
कॅनन कायदा,ಕ್ಯಾನನ್ ಕಾನೂನು
कॅनोपस डिक्री,ಕ್ಯಾನೋಪಸ್ ತೀರ್ಪು
कण्टिंग शस्त्र,ಕ್ಯಾಂಟಿಂಗ್ ಶಸ್ತ್ರಾಸ್ತ್ರ
बंदिवान,ಬಂಧಿತ
कॅप्टर,ಕ್ಯಾಪ್ಟರ್
कार्डिनल,ಕಾರ್ಡಿನಲ್
कार्ल,ಕಾರ್ಲ್
कॅरोलिंगियन राजवंश,ಕ್ಯಾರೊಲಿಂಗಿಯನ್ ರಾಜವಂಶ
कार्थुशियन पंथ,ಕಾರ್ತೂಸಿಯನ್ ಪಂಥ
कार्टोसा,ಕಾರ್ಟೊಸಾ
कॅस्टेलियन,ಕ್ಯಾಸ್ಟೇಲಿಯನ್
कॅस्टेलियन,ಕ್ಯಾಸ್ಟೆಲಿಯನ್
जाती व्यवस्था,ಜಾತಿ ಪದ್ಧತಿ
वाडा,ಕೋಟೆ
वाडा,ಕೋಟೆ
वाड्याचे शहर,ಕೋಟೆಯ ಪಟ್ಟಣ
कास्त्रा,ಕ್ಯಾಸ್ಟ್ರಾ
कास्त्रा,ಕ್ಯಾಸ್ಟ್ರಾ
कॅथेड्रा,ಕ್ಯಾಥೆಡ್ರಾ
कॅथेड्रल,ಕ್ಯಾಥೆಡ್ರಲ್
केटो स्ट्रीट कट,ಕ್ಯಾಟೊ ಸ್ಟ್ರೀಟ್ ಪಿತೂರಿ
कौडिल्लो,ಕೌಡಿಲ್ಲೊ
घोडेस्वार,ಕ್ಯಾವಲಿಯರ್
घोडेस्वार,ಕ್ಯಾವಲಿಯರ್
घोडदळ संसद,ಕ್ಯಾವಲಿಯರ್ ಸಂಸತ್ತು
अदुल्लमची गुहा,ಅದುಲ್ಲಮ್ ಗುಹೆ
गुहा चित्रकला,ಗುಹೆ ಚಿತ್ರಕಲೆ
गुहा चित्रकला,ಗುಹೆ ಚಿತ್ರಕಲೆ
सेंटमवीर,ಸೆಂಟಮ್ವಿರ್
सेंच्युरियन,ಸೆಂಚುರಿಯನ್
शतक,ಶತಮಾನ
साखळी चिलखत (=साखळी मेल),ಚೈನ್ ರಕ್ಷಾಕವಚ (=ಚೈನ್ ಮೇಲ್)
चंत्री,ಚಾಂಟ್ರಿ
चंत्री,ಚಾಂಟ್ರಿ
चॅप बुक,ಅಧ್ಯಾಯ ಪುಸ್ತಕ
धर्मगुरू,ಧರ್ಮಗುರು
धडा,ಅಧ್ಯಾಯ
अपघातांचा अध्याय,ಅಪಘಾತಗಳ ಅಧ್ಯಾಯ
चार्ज करा,ಶುಲ್ಕ
चार्ज डी अफेयर्स,ಚಾರ್ಜ್ ಡಿ&#39;ಅಫೇರ್ಸ್
चार्ज विभाजन,ಚಾರ್ಜ್ ವಿಭಜನೆ
चार्जर,ಚಾರ್ಜರ್
रथ,ರಥ
सारथी,ಸಾರಥಿ
सारथी,ಸಾರಥಿ
सारथी,ಸಾರಥಿ
धर्मादाय स्वयंपाकघर,ಚಾರಿಟಿ ಅಡಿಗೆ
सनद,ಚಾರ್ಟರ್
चार्टिस्ट चळवळ (=चार्टिझम),ಚಾರ್ಟಿಸ್ಟ್ ಮೂವ್‌ಮೆಂಟ್ (=ಚಾರ್ಟಿಸಂ)
चार्टोफिलेशियम,ಚಾರ್ಟೋಫಿಲೇಸಿಯಮ್
Chateau,ಚಟೌ
चेक पोस्ट,ಚೆಕ್ ಪೋಸ್ಟ್
रासायनिक युद्ध,ರಾಸಾಯನಿಕ ಯುದ್ಧ
चेस्टर,ಚೆಸ್ಟರ್
प्रमुख,ಮುಖ್ಯಸ್ಥ
सरदार,ಮುಖ್ಯಸ್ಥ
सरदार,ಮುಖ್ಯಸ್ಥ
सरदार,ಮುಖ್ಯಸ್ಥ
शिफॉन,ಚಿಫೋನ್
शौर्य,ಅಶ್ವದಳ
निवडलेले लोक,ಆಯ್ಕೆಮಾಡಿದ ಜನರು
ख्रिसमोग्राफीन,ಕ್ರಿಸ್ಮೋಗ್ರಾಫಿಯನ್
ख्रिस्ती धर्म,ಕ್ರೈಸ್ತಪ್ರಪಂಚ
ख्रिश्चन युग,ಕ್ರಿಶ್ಚಿಯನ್ ಯುಗ
ख्रिश्चन समाजवाद,ಕ್ರಿಶ್ಚಿಯನ್ ಸಮಾಜವಾದ
क्रॉनिकल,ಕ್ರಾನಿಕಲ್
क्रॉनिकलर,ಕ್ರಾನಿಕಲ್
Chryse Chersonese,ಕ್ರೈಸ್ ಚೆರ್ಸೋನೀಸ್
सिमेलियम,ಸಿಮೆಲಿಯಮ್
Cinquecento शैली,ಸಿಂಕ್ವೆಸೆಂಟೊ ಶೈಲಿ
परिक्रमा,ಪ್ರದಕ್ಷಿಣೆ
सिस्टर्सियन साधू,ಸಿಸ್ಟರ್ಸಿಯನ್ ಸನ್ಯಾಸಿ
किल्ला,ಸಿಟಾಡೆಲ್
उद्धरण,ಉಲ್ಲೇಖ
उद्धरण,ಉಲ್ಲೇಖ
सविनय कायदेभंग,ನಾಗರಿಕ ಅಸಹಕಾರ
नागरी युद्ध,ಅಂತರ್ಯುದ್ಧ
सिव्हिस रोमनस,ಸಿವಿಸ್ ರೋಮನಸ್
शास्त्रीय वय,ಶಾಸ್ತ್ರೀಯ ವಯಸ್ಸು
Clepht (=klepht),ಕ್ಲೆಫ್ಟ್ (=ಕ್ಲೆಫ್ಟ್)
कारकुनीवाद,ಕ್ಲೆರಿಕಲಿಸಂ
लिपिक,ಕ್ಲರುಚ್
क्लुनियाक हालचाली,ಕ್ಲಿನಿಯಾಕ್ ಚಲನೆ
कोट चिलखत,ಕೋಟ್ ರಕ್ಷಾಕವಚ
अंगरखा,ಕೋಟ್ ಆಫ್ ಆರ್ಮ್ಸ್
अंगरखा,ಕೋಟ್ ಆಫ್ ಆರ್ಮ್ಸ್
अंगरखा,ಕೋಟ್ ಆಫ್ ಆರ್ಮ್ಸ್
मेलचा कोट,ಕೋಟ್ ಆಫ್ ಮೇಲ್
पलटण,ಕೋಹಾರ್ಟ್
कॉमिटिया,ಕಾಮಿಟಿಯಾ
Comitia Centuriata,ಕಾಮಿಟಿಯಾ ಸೆಂಚುರಿಯಾಟಾ
Comitia Curiata,ಕಮಿಟಿಯಾ ಕ್ಯುರಿಯಾಟಾ
कमिटीया ट्रिबुटा,ಕಮಿಟಿಯಾ ಟ್ರಿಬುಟಾ
स्मारक कमान,ಸ್ಮರಣಾರ್ಥ ಕಮಾನು
स्मारक नाणे,ಸ್ಮರಣಾರ್ಥ ನಾಣ್ಯ
स्मारक शिक्का,ಸ್ಮರಣಾರ್ಥ ಮುದ್ರೆ
सामान्य फील्ड,ಸಾಮಾನ್ಯ ಕ್ಷೇತ್ರ
Communard,ಕಮ್ಯುನಾರ್ಡ್
कॉन्कॉर्डॅट,ಕಾನ್ಕಾರ್ಡಾಟ್
कॉन्कॉर्डॅट,ಕಾನ್ಕಾರ್ಡಾಟ್
कॉन्डोटिएरे,ಕಾಂಡೋಟಿಯರ್
पुष्टीकरण कार्टारम,ದೃಢೀಕರಣ ಕಾರ್ಟಾರಮ್
संघर्ष,ಸಂಘರ್ಷ
मंडळी,ಸಭೆ
जिंकणारे राज्य,ರಾಜ್ಯವನ್ನು ವಶಪಡಿಸಿಕೊಳ್ಳುವುದು
जिंकणारा,ವಿಜಯಶಾಲಿ
जिंकणारा,ವಿಜಯಶಾಲಿ
कॉन्सिलियम,ಕಾನ್ಸಿಲಿಯಮ್
