Kannada,Marathi
ಮಿಶ್ರಣ,मिश्रण
ಗದ್ದಲ,ब्लाइट
ಗುಳ್ಳೆ,फोड
ನೀಲಿ ಕ್ರಾಂತಿ,निळा क्रांती
ಕೆಳಗಿನ ಶಾಖ ಕೊಠಡಿ,तळाशी उष्णता कक्ष
ಕೆಳಗಿನ ಶಾಖ ತಂತ್ರ,तळाशी उष्णता तंत्र
ಹೊಟ್ಟು,कोंडा
ಕವಲೊಡೆ,शाखा
ಸಣ್ಣ ಕೊಂಬೆ,शाखा
ತಳಿ,प्रजनन
ತಳಿ,प्रजनन
ಕಂಗುರು,ब्रिमिंग
ಸಂಸಾರ,ब्रूड
ಮೊಳಕೆಯ,नवोदित
ಬಜೆ,अर्थसंकल्प
ಬಫಲು,बफर
ಬಟಗು,बल्ब
ಚೂರುಚೂರಾಗಿ,बंट
ಉಪ-ಉತ್ಪನ್ನ,उप-उत्पादन
ಬಾಬುಲ್ ಅಕೇಶಿಯ,बाबुल बाभूळ
ಬೇಬಿ ಕಾರ್ನ್,बाळ कॉर्न
ಬುದ್ದಿ,बाईल
ಬಾಯಿ,बेली
ಕಸಕ,बाल्सम
ಬಿದಿರು,बांबू
ಬಾಳೆಹಣ್ಣು,केळी
ಆಲದ ಮರ,वडाचे झाड
ಬಾರ್ಲಿ,बार्ली
ಬಾರ್ನ್ಯಾರ್ಡ್ ರಾಗಿ,धान्याचे कोठार मिलेट
ತುಳಸಿ,तुळस
ಬಾಸ್ಟರ್ಡ್ ಸೀಡರ್,बस्टर्ड सिडर
ಬಾಸ್ಟರ್ಡ್ ಮೈರೋಬಾಲನ್,बस्टार्ड मायरोबालन
ಮಾಟ,बौहिनिया
ಕೊಲ್ಲಿ ಬೆರ್ರಿ,बे बेरी
ಹುರುಳಿ,बीन
ಬೀಟ್,बीट
ಬೆಲ್ಲ,बेलॅडोना
ಗಡಿ,बेर
ಗಡಿ,Berseem
ಬಿಲ್ಲೆ,सुपारी
ಬಿಲಿಂಬಿ,बिलीमबी
ಹಾಗಲಕಾಯಿ,कारले
ಕಪ್ಪು ಗ್ರಾಂ,काळा हरभरा
ಕಪ್ಪು ನೈಟ್ಶೇಡ್,ब्लॅक नाईटशेड
ಬಾಗ್‌ನ್ವಿಲ್ಲಾ,बोगेनविले
ಬಾಟಲಿ ಕುಂಚ,बाटली ब्रश
ಬಾಟಲಿ ಸೋರೆ,दुधीभोपळा
ಬಾಕ್ಸ್ ಮರ,बॉक्स ट्री
ಬ್ರೆಡ್ ಹಣ್ಣು,ब्रेड फळ
ವಧುವಿನ,ब्राइडल क्रिपर
ಬಿಲ್ಲಾ,वांगे
ವಿಶಾಲ ಹುರುಳಿ,ब्रॉड बीन
ಕೋಸುಗಡ್ಡೆ,ब्रोकोली
ಬ್ರಸೆಲ್ ಮೊಳಕೆ,ब्रुसेलचा अंकुर
ಒಂದು ಬಗೆಯ ಉಣ್ಣೆಯೆಟ್,बकव्हीट
ದೆವ್ವ,बुटिया
ದಳ,बॅन्डिकूट
ಕರಾರು,अस्वल
ಜೀರುಂಡೆ,बीटल
ಗುಳ್ಳೆ ಜೀರುಂಡೆ,ब्लिस्टर बीटल
ನೀಲಿ ಬುಲ್,निळा बैल
ಬಾಲ್ ಹುಳು,बोल वर्म
ಚಿಟ್ಟೆ,फुलपाखरू
ಬ್ಯಾಕ್ಟೀರಿಯವಿಜ್ಞಾನಿ,बॅक्टेरियोलॉजिस्ट
ಜೈವಿಕ ರಸಾಯನಶಾಸ್ತ್ರಜ್ಞ,बायोकेमिस्ट
ಜೀವಶಾಸ್ತ್ರಜ್ಞ,जीवशास्त्रज्ञ
ಜೈವಿಕ ತಂತ್ರಜ್ಞಾನಶಾಸ್ತ್ರಜ್ಞ,बायोटेक्नॉलॉजिस्ट
ಸಸ್ಯಶಾಸ್ತ್ರಜ್ಞ,वनस्पतिशास्त्रज्ञ
ಸಿ ತೇವಾಂಶ ವಿಶಿಷ್ಟ ವಕ್ರರೇಖೆ,सी ओलावा वैशिष्ट्यपूर्ण वक्र
ಕೇಕು,केक
ಕ್ಯಾಲ್ಕೇರಿಯ,कॅल्केरियस
ಲೆಕ್ಕಪರಿಶೋಧನೆ,कॅल्सीफिकेशन
ಫಾಸ್ಫೇಟ್ನ ಲೆಕ್ಕಾಚಾರ,फॉस्फेटचे कॅल्किनेशन
ಗಲಾಟೆ,कॉलिटी
ನಮ್ಮನ್ನು ಕರೆ ಮಾಡಿ,कॉलस
ಕಣಿವೆ,कॅलेक्स
ಕ್ಯಾಲಿಕ್ಸ್ ಅಂತ್ಯ,कॅलेक्स-एंड
ಕ್ಯಾಂಬಿಯಂ,कॅम्बियम
ಗೋಪುರ,कॅंकर
ಡಬ್ಬಿ,कॅनिंग
ಮೇಲಾವರಣ,छत
ಬಂಡವಾಳ,भांडवल
ರಭಸ,केप्रीफिकेशन
ಬಿರಡೆ,कॅप्सूल
ಇಂಗಾಲದ,कार्बोनेटेड
ಇಂಗಾಲೀಕರಣ,कार्बनायझेशन
ಗಡಿ,कार्पेल
ಗಾಡಿ,कार्पस
ಬಿಂಚು,कास्टिंग
ಕಟಾಬೋಲಿಸಂ,कॅटाबोलिझम
ವೇಗವರ್ಧನೆ,कॅटॅलिसिस
ಮರಿಹುಳು,सुरवंट
ಸಿ-ಡಿಎನ್‌ಎ ಗ್ರಂಥಾಲಯ,सी-डीएनए लायब्ररी
ಚಾವಣಿಯ,कमाल मर्यादा
ಕೋಶ,सेल
ಕೇಂದ್ರ ನಾಯಕ ವ್ಯವಸ್ಥೆ,केंद्रीय नेता प्रणाली
ಕೇಂದ್ರೀಯ,सेंट्रिक
ಕೇಂದ್ರೀಕರಣ,सेंट्रीफ्यूगेशन
ಕೇಂದ್ರಾಪಗಾಮಿ,सेंट्रीफ्यूज
ಕೇಂದ್ರ,सेंट्रीओल
ಮಧ್ಯಭಾಗದ,सेंट्रोजेनिक
ಮಧ್ಯಮ ಜನಕ,केंद्रीत
ಸರ್ಕಸ್,Cercus
ಏಕದಳ,अन्नधान्य
ಪ್ರಮಾಣೀಕರಣ,प्रमाणपत्र
ಬೀಜ,प्रमाणित बियाणे
ಚಾವಟಿ,चाफ
ದನಗಳು,चालझा
ರಾಸಾಯನಿಕತೆ,केमोट्रोपिझम
ಚಿರತೆ,चियास्मा
ತಣ್ಣಗಾಗುವ ಸಮಯ,शीतकरण तास
ತಣ್ಣಗಾಗುವುದು,शीतकरण इजा
ಚಿಮಿಯ,चिमेरा
ಕ್ಲೋರಾಂಥಿ,क्लोरॅन्थी
ಚೂರು,क्लोरोफिल
ಕ್ಲೋರೋಸಿಸ್,क्लोरोसिस
ಕ್ಲೋರಸ್ ಶಾಸ್ತ್ರ,क्लोरोलॉजी
ವರ್ಣರಂಜಿತ,क्रोमॅटिड
ಕ್ರೊಮ್ಯಾಟಿನ್,क्रोमॅटिन
ವರ್ಣರೇಖನ,क्रोमॅटोग्राफी
ವರ್ಣರಂಗೀಕರಣ,क्रोमॅटोलिसिस
ವರ್ಣಚಿತ್ರ,क्रोमोसेन्ट्रे
ವರ್ಣಗುವನ,क्रोमोजेनेसिस
ವರ್ಣರಂಜಿತ,क्रोमोप्रोटीन
ವರ್ಣತಂತು,क्रोमोसोम
ದೀರ್ಘಕಾಲದ,जुनाट
ನಲಿದ,सिट्रेंज
ಕ್ಲಾಡೋಡ್,क्लेडोड
ವರ್ಗೀಕರಣ,वर्गीकरण
ಮಣ್ಣಿನ,क्ले
ಸ್ವಚ್ aning ಗೊಳಿಸುವುದು,स्वच्छता
ಕ್ಲಿಸ್ಟೊಗಮಿ,क्लीस्टोगॅमी
ಕ್ಲೈಮ್ಯಾಕ್ಟರಿಕ್ ಹಣ್ಣು,क्लायमॅक्टेरिक फळ
ವಶ,हवामान
ಹವಾಮಾನಶಾಸ್ತ್ರ,हवामानशास्त्र
ಹಸುರು,क्लिपर
ಹೆಪ್ಪುಗಟ್ಟಿಸು,क्लॉड
ತದ್ರೂಪಿ,क्लोन
ಮೋಡ,ढग
ಕಡು,गठ्ठा
ಚೂರು,क्लस्टर
ಒರಟಾದ,खडबडीत
ಕೋಟ್ (ಬೀಜ),कोट (बियाणे)
ಕೋಕೂನ್,कोकून
ಒಂದು ಬಗೆಯ ಉಣ್ಣೆಯಂಥ,कोएन्झाइम
ಒಗ್ಗಟ್ಟು,एकत्रीकरण
ಗುಣ,कॉर
ಕೋಲೀರರಿ iz ಾ,कोलोरिझा
ಕತ್ತುಪಟ್ಟಿ,कॉलर
ಕೊಲಾಯ್ಡ್ (ಮಣ್ಣು),कोलोइड (माती)
ಕೊಲ್ಯುಮೆಲ್ಲಾ,कोलंबेला
ಕಾಲಮ್,स्तंभ
ಆರಂಭದ ಆರಂಭ,Comensalism
ವಾಣಿಜ್ಯ ಬ್ಯಾಂಕ್,व्यावसायिक बँक
ಸರಕು,वस्तू
ಸಮುದಾಯ,समुदाय
ಸಂಕೋಚನ (ಮಣ್ಣಿನ),कॉम्पॅक्शन (मातीची)
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,सुसंगतता
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,सुसंगतता
ಪರಿಹಾರ,भरपाई
ಸ್ಪರ್ಧಾತ್ಮಕ ಸಂವಹನ,स्पर्धात्मक संवाद
ಪೂರಕ ಬೆಳೆ,पूरक पीक
ಸಂಕೀರ್ಣ,कॉम्प्लेक्स
ಅಂಶ,घटक
ಸಂಯೋಜನೆ,रचना
ಕಾಂಪೋಸ್ಟ್,कंपोस्ट
ಚಕ್ರಬಡ್ಡಿ,चक्रवाढ व्याज
ಗಣನೆ,गणना
ಕಂಪ್ಯೂಟರ್,संगणक
ಏಕಾಗ್ರತೆ,एकाग्रता
ಷರತ್ತು,कंडिशनर
ಹೋರಾಡುವಿಕೆ,आवाहन
ಸಂರಚನೆ,कॉन्फिगरेशन
ಅನುರೂಪತೆ,अनुरूपता
ಗೊಂದಲಕ್ಕೊಳಗಾಗುವ,गोंधळात टाकणारे
ಸಂಯೋಗ,संयोजन
ಸಂಯೋಜಕ,संयोजी
ಸಂರಕ್ಷಣಾ,संवर्धन
ಬಲವರ್ಧನೆ,एकत्रीकरण
ಸಂಕುಚಿತತೆಗಳು,घटक
ಗ್ರಾಹಕ,ग्राहक
ಸೇವನೆ,वापर
ಮಾಲಿನ್ಯ,दूषित
ಬಾಹ್ಯರೇಖೆ ನೆಡುವಿಕೆ,समोच्च लागवड
ಬಾಹ್ಯರೇಖೆ,समोच्च
ಒಪ್ಪಂದದ ಕೃಷಿ,कॉन्ट्रॅक्ट शेती
ನಿಯಂತ್ರಿತ ಸಂಗ್ರಹಣೆ,नियंत्रित स्टोरेज
ಸಹಕಾರ ಬ್ಯಾಂಕ್,सहकारी बँक
ಸಹಕಾರ,सहकारी
ತಗ್ಗಿಸು,कॉपिस
ಗಂಡಿ,कॉर्म
ಹುಲ್ಲುಗಾವಲು,कोरोला
ಕಂದುಬಣ್ಣ,कॉर्टेक्स
ಬೆಲೆ,किंमत
ಕೋಟಿಲೆಡಾನ್ (ಬೀಜ),कॉटिलेडन (बियाणे)
ಕ್ರೆಡಿಟ್ ಸೊಸೈಟಿ,क्रेडिट सोसायटी
ಮನ್ನಣೆ,पत
ಸಾಲದಾತ,लेखादार
ಕ್ರೆಸ್ಟ್,माथा
ಸುಕ್ಕುಗಟ್ಟುವುದು,Rickly
ಬಿಕ್ಕಟ್ಟು,संकट
ಮಾನದಂಡ,निकष
ನಿರ್ಣಾಯಕ,गंभीर
ಬೆಳೆ ವಿಮೆ,पीक विमा
ಬೆಳೆ ಸಾಲ,पीक कर्ज
ಬೆಳೆ,पीक
ಬೆಳೆ ಪ್ರದೇಶ,पीक क्षेत्र
ಶಿಲುಬೆಯಿಲ್ಲದ,क्रॉस-इनकॉम्पॅन्सिबल
ಕಿರೀಟ (ಸಸ್ಯ),मुकुट (वनस्पती)
ತುಂಡು,क्रंब
ಪಟ್ಟು,कवच
ಪಡಗಳ್ಳ,क्रिप्टोगॅम
ಕಲ್ (ಹಣ್ಣುಗಳು),कुल (फळे)
ಕಸ,कुल्म
ತಳಿ,लागवड
ಕೃಷಿ,लागवड
ಕೃಷಿ,लागवड करणारा
ಸಂಸ್ಕೃತಿ,संस्कृती
ನಿರಾಸಕ್ತಿ,उपचार
ಕನ್ನಡಿ,कर्लिंग
ಕರೆನ್ಸಿ,चलन
ಹೊರಚರ್ಮ,क्यूटिकल
ಕತ್ತರಿಸುವುದು,कटिंग
ಸಿಸ್ಟ್,गळू
ಸೈಟೋಕ್ರೋಮ್,साइटोक्रोम
ಸೈಟೊಗಮಿ,सायटोगामी
ಸೈಟೊಜೆನಿಸ್,सायटोजेनेसिस
ಸೈಟೊಜೆನೆಟಿಕ್ಸ್,सायटोजेनेटिक्स
ಸೈಟೊಕಿನಿಸ್,सायटोकिनेसिस
ಸೈದ್ಧಾಂತಿಕ ವಿಜ್ಞಾನ,सायटोलॉजी
ಸೈಟೊಲಿಸಿಸ್,सायटोलिसिस
ಸೈಟೊಮಿಯರ್,सायटोमेरे
