Punjabi,Malayalam
ਐਗਰੋਸਟੋਲੋਜੀ,അഗ്രോസ്റ്റോസ്റ്റിയോളജി
ਐਗਰੋਟਾਈਪ,അഗ്രോട്ടിപ്പ്
ਏਅਰ ਪੌਦਾ,എയർ പ്ലാന്റ്
ਅਕੀਓਚੀ ਮਿੱਟੀ,അക്കിയോച്ചി മണ്ണ്
ਅਲਮੀਨੀਜ਼ਮ,ആൽബിനിസം
ਐਲਫਿਸੋਲਸ,ആൽഫിസോളുകൾ
ਐਲਗੀ,ആല്ഗകൾ
ਐਲਗਲ ਰੋਗ,ആൽഗൽ രോഗം
ਅਲਕਾਲੀ ਪਾਣੀ,ക്ഷാളി വെള്ളം
ਐਲਕਲੀਨ,ആൽക്കലൈൻ
ਐਲੀਲੇ,അല്ലലേ
ਐਲਲੋਕਲਿਕਸ,അല്ലോകെമിക്കലുകൾ
ਅਲੇਲੋਮੋਰਫ,AllloMorph
ਅਲੇਲੋਪੈਥੀ,നിയോവദാതി
ਐਲੀ ਫਸਲ,ഓൺലൈൻ ക്രോപ്പിംഗ്
ਅਲੋਕਰੇਪੀ,അലോക്കർപി
ਆਲੋਗਮ,അലോഗാമി
ਐਲੋਮੈਟਰੀ,അലറിരം
ਐਲੋਪੋਲਾਈਵਲਾਈਡ,Allopolyplogid
ਐਲੋਸਮੈਨੈਪਸਿਸ (ਐਲੋਸਿਨੈਂਡਸਿਸ),Allosynapsis (Allowsyndesis)
ਵਿਕਲਪਿਕ ਬੇਅਰਿੰਗ,ഇതര ബെയറിംഗ്
ਵਿਕਲਪੀ ਜ਼ਮੀਨ ਦੀ ਵਰਤੋਂ,ഇതര ഭൂമി ഉപയോഗം
ਅੰਬੀਨਟ,ആംബിയന്റ്സ്
ਅਮਜੀਗਤ,സൗഹാർഭോഗം
ਅਮਿਤੋਸਿਸ,അമിറ്റോസിസ്
ਅਮਿਨਾਜਾਈਜ਼,അമിനിവൽക്കരണം
ਅਨੁਮੋਧ,അമ്മോണിഫിക്കേഷൻ
ਅਮੋਨੀਫਾਇਰ,അമോമോണിഫയർ
ਅਮੋਰਫ,അമോഫ്
ਐਮਫੀਮਿਕਸਿਸ,ആംഫിമിക്സിസ്
ਐਮਫੋਟੇਰਿਕ,ആംഫോടെക്
ਐਨਾਬੋਲਿਜ਼ਮ,അനാബോളിസം
ਅਨੀਰੋਬ,അയ്റോബ്
ਅਨੀਉਟਲੋਇਡ,Aneuplogode
ਕੋਣ ਲਾਉਣਾ,ആംഗിൾ നടുക്കം
ਪਸ਼ੂ ਪਾਲਣ,മൃഗസംരക്ഷണം
ਪਸ਼ੂਆਂ ਤੋਂ ਇਨਕਾਰ ਕਰੋ,മൃഗങ്ങളെ പ്രതിഫലിപ്പിക്കൽ
Energy ਰਜਾ ਐਨੀਮੇਟ ਕਰੋ,ആത്യന്തിക .ർജ്ജം
ਅਨੀਸੋਪਲੋਇਡ,Anisoplode
ਸਾਲਾਨਾ ਪੌਦਾ,വാർഷിക സസ്യം
ਸਾਲਾਨਾ,ആണ്ടുതോറുമുള്ള
ਐਥੇਸਮਿਸ,ആന്തീസിസ്
ਐਂਥ੍ਰੈਕਸ,ആന്ത്രാക്സ്
ਐਂਥ੍ਰੋਪੋਜਾਈਜਿਕ ਫੈਕਟਰ,ആന്ത്രോപെനിക് ഘടകം
ਐਂਟੀਬਾਇਸਿਸ,ആന്റിബിയോസിസ്
ਐਂਟੀਬਾਇਓਟਿਕ,രോഗനാശിനി
ਐਂਟੀਡੋਟਾ,മറുമരുന്ന്
ਐਂਟੀਆਕਸੀਡੈਂਟਸ,ആന്റിഓക്സിഡന്റുകൾ
Antitoxin,ആന്റിടോക്സിൻ
ਐਨਾਬੁਲਸ,അപര്യാഘാതം
Aphid,ആഫിഡ്
Apical ਮੁਕੁਲ,അഗ്രമുദിനം
ਏਪਿਕਲ ਦਬਦਬਾ,അഗ്ര ആധിപത്യം
Apsiculturuet (ਮਧੂ ਮੱਖੀ ਰੱਖਣ),അപ്പോർച്ചർ (ബീ സൂപ്പർഡിംഗ്)
ਅਪੋਮਿਕਸ,അപ്പോമിക്സിസ്
ਅਪੋਪੋਟੋਸਿਸ,അപ്പോപ്ടോസിസ്
ਅੰਤਿਕਾ,അനുബന്ധം
ਭੁੱਖ,വിശപ്പ്
ਲਾਗੂ ਕੀਤਾ,പ്രയോഗിച്ചു
ਐਕੁਆਟਿਕ ਬੂਟੀ,അക്വാട്ടിക് കള
ਅਰਬੋਰੀਅਲ,അർബോറിയൽ
ਅਰਬਰਾਈਜ਼ੇਸ਼ਨ,അർബോറൈസേഷൻ
ਏ ਆਰਚਿਓ-ਬੋਟੈਨੀਕਲ ਰਿਕਾਰਡ,ആർഎംജിയോ-ബൊട്ടാണിക്കൽ റെക്കോർഡുകൾ
ਖੇਤਰ ਦੇ ਅੰਕੜੇ,ഏരിയ സ്ഥിതിവിവരക്കണക്കുകൾ
ਖੇਤਰ,പദേശം
ਐੱਫ.ਡੀ.ਆਈ.,വരണ്ട ആവാസവ്യവസ്ഥ
ਅਰਿਲ,വര്ഷ്ടിക്കുക
ਖੁਸ਼ਬੂ,സൗരഭം
ਖੁਸ਼ਬੂਦਾਰ ਪੌਦਾ,ആരോമാറ്റിക് പ്ലാന്റ്
ਖੁਸ਼ਬੂਦਾਰ ਚਾਵਲ,ആരോമാറ്റിക് അരി
ਐਰੋਇੰਗ,അഴുക്കുചാല്
Espesisis,അശെപ്സിസ്
Sseptic,അസെപ്ലെവ്
ਅਸਪਸ਼ਟ ਪ੍ਰਸਾਰ,അസുഖകരമായ പ്രചരണം
ਅਨੀ,അസേ
ਸੰਪਤੀ,ആസ്തി
ਸਹਿਯੋਗ,ഉറപ്പ്
ਐਸੋਸੀਏਸ਼ਨ,ചങ്ങാത്തം
ਤੂਫਾਨੀ,രേണിംഗന്റ്
ਅਸਟੀਪਿਸਿਸ,അസിനാപ്സിസ്
ਅਟਵੀਵਾਦ,Atawavism
ਐਟੋਮਾਈਜ਼ਰ,ആലേറ്ററിജർ
ਸ਼ੋਸ਼ਣ,അട്രോഫി
ਆਟੋਗ੍ਰਾਮ,ഓട്ടോഗാമി
ਆਟੋਲਿਸਸਿਸ,ഓട്ടോലിസിസ്
ਆਟੋਮਿਡੇਸ਼ਨ,യന്തവഹനം
ਆਟੋਪਲਿਪਲਾਈਡ,ഓട്ടോപോളിപ്ലോയിഡ്
Auxins,ഓക്സിൻസ്
ਅੱਲ (ਬ੍ਰਿਸਟਲ),Awn (ബ്രിട്ട്)
ਬਦਾਮ,ബദാം കായ്
ਐਲੋ,കറ്റാർ
ਅਮੈਸ਼ਨਥਸ,അമരന്തസ്
ਅਮਮੀ,ആംമി
ਅੰਜਨ ਘਾਹ,അഞ്ജൻ പുല്ല്
ਐਂਥਿਰੀਅਮ,ആന്തറിയം
"ਅੋਂਲਾ, ਇੰਡੀਅਨ ਕਰੌਦਾ","ആരോള, ഇന്ത്യൻ നെല്ലിക്ക"
ਸੇਬ,ആപ്പിൾ
ਖੜਮਾਨੀ,ആപ്രിക്കോട്ട്
ਅਰਬੀਅਨ ਜੈਸਮੀਨ,Arbian ജാസ്മിൻ
ਅਰੇਕਾ ਗਿਰੀਦਾਰ,Arcaunt
ਅਰਜੁਨ,അർജുൻ
ਓਡੋਏਟਿਡਾ,അസ്ഫോറ്റിഡ
ਸੁਆਹ,ആഷ് പൊറോട്ട
ਅਸ਼ੋਕ ਦਾ ਰੁੱਖ,അശോക ട്രീ
ਅਸ਼ਥਮਾ ਬੂਟੀ (ਯੂਫੋਰਬੀਆ),അഷെതർ കള (യൂഫോർബിയ)
ਐਸਪੈਰਾਗਸ,ശതാവരിച്ചെടി
ਆਵਾਕੈਡੋ,അവോക്കാഡോ
ਅਲਫਾਲਫਾ (LUSEREN),പയറുവർഗ്ഗങ്ങൾ (ലൂസെർൻ)
ਕੀੜੀਆਂ,ഉറുമ്പുകൾ
ਐਫੀਡਜ਼,മുഞ്ഞ
ਆਰਮੀ ਕੀੜੀ,സൈനിക വേം
ਖੇਤੀਬਾੜੀ ਅਰਥਵਾਦੀ,കാർഷിക സാമ്പത്തിക ശാസ്ത്രജ്ഞൻ
ਖੇਤੀਬਾੜੀ ਵਿਸਤ੍ਰਿਤ,കാർഷിക വിപുലീകരണവാദി
ਖੇਤੀਬਾੜੀ ਵਿਗਿਆਨੀ,കാർഷിക ശാസ്ത്രജ്ഞൻ
ਖੇਤੀਬਾੜੀ ਇੰਜੀਨੀਅਰ,കാർഷിക എഞ്ചിനീയർ
ਅਗਾਹੀਵੌਇਲੋਜਿਸਟ,അഗ്രോബയോളജിസ്റ്റിക്
ਖੇਤੀਬਾਮੀ,അഗ്രോണമിസ്റ്റ്
ਅਸ਼ੋਲੀ,Agrofysicst
ਜਾਨਵਰ ਬ੍ਰੀਡਰ,മൃഗങ്ങളുടെ ബ്രീഡർ
ਬੇਸਿਲਸ ਵਾਇਰਸ,ബാസിലസ് വൈറസ്
ਬੈਸੀਲਸ,ബാസിലസ്
ਬੈਕਟੀਰੀਆ,ബാക്ടീരിയ
ਬੈਕਟੀਰੋਅਟੌਕਸਿਨ,ബാക്ടറോമോക്സിൻ
ਬੈਗਸ,ബാഗസ്
ਸੰਤੁਲਨ ਸ਼ੀਟ,ബാലൻസ് ഷീറ്റ്
ਸੰਤੁਲਿਤ ਖਾਦ,സമതുലിതമായ ബീജസങ്കലനം
ਬਾਰ ਡਾਇਗਰਾਮ,ബാർ ഡയഗ്രം
ਸੱਕ,കുര
ਬੈਰੋਮੀਟਰ,ബാരോമീമീറ്റർ
ਬੰਜਰ,തരിശായ
ਅਧਾਰ,അടിത്തറ
ਬੇਸਿਨ,പരന്നപാതം
ਬਾਸਿਪਟਲ,അടിസ്ഥാനപരമായ
ਬਾਸੈਸਟਰਨੀਮ,ബസിസ്റ്റർനം
ਬੇ ਮਾਨਸੂਨ,ബേ മൺസൂൺ
ਬੇਅਰਿੰਗ ਪੌਦਾ,വഹിക്കുന്ന പ്ലാന്റ്
ਬਿਸਤਰੇ,കിടക്ക
ਬੇਡਰ,അടിദേഡർ
ਬਿਸਤਰੇ,ശയ്യോപകരണങ്ങള്
ਬੀਟ ਗੁੜ,ബീറ്റ്റൂട്ട് മോളസ്
ਝੁਕੋ,മണിനാദം
ਬੈਲਟ,അരപ്പട്ട
ਲਾਭ-ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ,ആനുകൂല്യ-വില വിശകലനം
ਪੱਖਪਾਤੀ (ਸੈਂਲਿੰਗ),പക്ഷപാതപരമായ (സാമ്പിൾ)
ਬਨੀਅਲ,ബിനാത്തില്
ਬਿਨੀਮਾਇਲ,ബിനോമിയൽ
ਬਾਇਓਜੈਂਟ,ബയോജന്റ്
ਬਾਇਓਸੈਲਮੇਟ,ബയോക്രിമേറ്റ്
ਬਾਇਓਨੇਰਜੀ,ബയോ എനെർജി
ਬਯਨੋਮਿਕਸ,ബയോണോമിക്സ്
ਬਾਇਓਰੇਟਰ,BIOREACTOR
ਬਾਇਓਸਪੇਅਰ,ബയോസ്ഫിയർ
ਬਾਇਓਟਿਕ,ഉപകാരന്
ਬਾਇਓਟਾਈਪ,ബയോട്ടിവൈപ്പ്
ਲਿੰਗੀ,ബൈസെക്ഷ്വൽ
ਬਲੈਂਚਿੰਗ,ബ്ലാഞ്ചിംഗ്
ਧਮਾਕਾ,സ്ഫോടനം
ਮਿਸ਼ਰਣ,സങ്കലനം
ਝੁਲਸਣ,വരണ്ടതാണ
ਛਾਲੇ,പൊള്ളല്
ਨੀਲਾ ਇਨਕਲਾਬ,നീല വിപ്ലവം
ਤਲ ਗਰਮੀ ਚੈਂਬਰ,ചുവടെ ചൂട് ചേമ്പർ
ਤਲ ਹੀਟ ਤਕਨੀਕ,ചുവടെയുള്ള താപ രീതി
ਬ੍ਰੈਨ,തണ്ണീര്
ਸ਼ਾਖਾ,ശാചിനമായ
ਬ੍ਰੀਚਲੇਟ,ലഘുലേഖ
ਨਸਲ,ഇനം
ਪ੍ਰਜਨਨ,പ്രജനനം
ਝਗੜਾ,തിളങ്ങുന്ന
ਬਰੂਦ,കുഞ്ഞുങ്ങള്
ਉਭਰਦਾ,വളർന്നുകാരി
ਬਜਟ,വരവ്ചെലവ് മതിപ്പ്
ਬਫਰ,ബഫർ
ਬੱਲਬ,ബൾബ്
ਬੈਂਟ,മുണ്ടു
ਉਪ-ਉਤਪਾਦ,ഉപോൽപ്പന്നം
ਬਾਬੂਬਦ ਬੱਬੀ,ബാബുൾ അക്കേഷ്യ
ਬੇਬੀ ਮੱਕੀ,കുഞ്ഞ് ധാന്യം
ਬਾਲ,ബാലിനെ
ਬਿਲ,ബില്ലാൻ
ਬਾਲਸਮ,ബൽസം
ਬਾਂਸ,മുള
ਕੇਲਾ,വാഴപ്പഴം
ਬੈਨੀਅਨ ਦਾ ਰੁੱਖ,ബനിയൻ ട്രീ
ਜੌ,യവം
ਬਾਰਨੀਅਰ ਬਾਜਰੇ,ബാർയ്യാർഡ് മില്ലറ്റ്
ਤੁਲਸੀ,തുളക്ടി
ਬਾਸਟਰਡ ਸੀਡਰ,ബാസ്റ്റാർഡ് ദേവദാരു
ਬਾਸਟਰਡ ਮਾਈਰੋਬੇਲਾ,ബാസ്റ്റാർഡ് മൈറോബലൻ
Bauhinia,ബവായീനിയ
ਬੇ ਬੇਰੀ,ബേ ബെറി
ਬੀਨ,അമര
ਚੁਕੰਦਰ,മധുരക്കിഴങ്ങുചെടി
ਬੇਲਾਡੋਨਾ,ബെല്ലഡോണ
ਬੇਰ,മുളകു
ਸੋਰਸਮ,പതുക്കമുള്ള
ਸੁਪਾਰੀ,മുയേറ്റ
ਬਿਲੀਮਬੀ,ബിലിമ്പി
ਕੌੜਾ ਬੈਰ,പാവയ്ക്ക
ਕਾਲਾ ਗ੍ਰਾਮ,കറുത്ത ഗ്രാം
ਕਾਲੀ ਨਾਈਟਸੈਡ,കറുത്ത നൈറ്റ്ഷെയ്ഡ്
ਬੌਗੇਨਵਿਲੇਸਾ,ബ g ഗൻവില്ല
ਬੋਤਲ ਬੁਰਸ਼,കുപ്പി ബ്രഷ്
ਬੋਤਲ ਬਘਿਆੜ,ബോട്ടിൽ പൊറോട്ട
ਬਾਕਸ ਲੜੀ,ബോക്സ് മരം
ਬਰੈੱਡ ਫਲਾਂ,ബ്രെഡ് ഫലം
ਵਿਆਹ ਦੀ ਨਿੰਬੂ,വധുവിന്റെ ക്രീപ്പർ
ਬ੍ਰਿੰਜਲ,വശ്ശീല
ਬ੍ਰੌਡ ਬੀਨ,വിശാലമായ ബീൻ
ਬ੍ਰੋ CC ਓਲਿ,ബ്രോക്കോളി
ਬ੍ਰਸੇਸਲ ਦਾ ਫੁੱਟ,ബ്രസ്സൽസ് മുള
ਬੱਕਵੈਟ,താനിന്നു
ਬੁਟੀਆ,ബദ്ധ
ਬੈਂਡਿਕੋਟ,ബാൻഡികാൂട്ട്
ਰਿੱਛ,കരടി
ਬੀਟਲ,വണ്ട്
ਛਾਲੇ ਬੀਟਲ,ബ്ലിസ്റ്റർ വണ്ട്
ਨੀਲਾ ਬੁੱਲ,നീല കാള
ਬੁਲ ਕੀੜਾ,ബോൾ വേം
ਬਟਰਫਲਾਈ,ചിതശലഭം
ਜੀਵਾਣੂ-ਵਿਗਿਆਨੀ,ബാക്ടീരിയോളജിസ്റ്റ്
ਬਾਇਓਕੈਮਿਸਟ,ബയോകെമിസ്റ്റ്
ਜੀਵ ਵਿਗਿਆਨੀ,ജീവശാസ്തജ്ഞന്
ਬਾਇਓਟੈਕਨੋਲੋਜਿਸਟ,ബയോടെക്നോളജിക്
ਬੋਟੈਨਿਸਟ,സസ്യശാസ്ത്രജ്ഞൻ
ਸੀ ਨਮੀ ਦੇ ਗੁਣ,സി ഈർപ്പം സ്വഭാവ വക്ര
ਕੇਕ,കേയ്ക്ക്
ਕੈਲਕਿਸ,കണക്കാക്കാന്വേമികമായ
ਕੈਲਸੀਫਿਕੇਸ਼ਨ,കണക്കുകഷ്ടം
ਫਾਸਫੇਟ ਦਾ ਹਿਸਾਬ,ഫോസ്ഫേറ്റിന്റെ കാൽനികം
ਕਲੇਸ਼,കൗണം
ਕਾਲਸ,ഞങ്ങളെ വിളിക്കൂ
ਕੈਲੀਕਸ,കാലിക്സ്
ਕੈਲੀਕਸ-ਐਂਡ,കാലിക്സ്-അവസാനം
ਕੈਮਬੀਅਮ,കാമ്പി
ਕੈਨਕਰ,കാൻകെറർ
ਕੈਨਿੰਗ,കാനിംഗ്
ਕੈਨੋਪੀ,മേലാപ്പ്
ਪੂੰਜੀ,തലസ്ഥാനം
ਕੈਪਟੇਸ਼ਨ,പിസേരിഫിക്കേഷൻ
ਕੈਪਸੂਲ,കാപ്സ്യൂൾ
ਕਾਰਬੋਨੇਟਡ,കാർബണേറ്റഡ്
ਕਾਰਬੋਨਾਈਜ਼ੇਸ਼ਨ,കാർബണലൈസേഷൻ
ਕਾਰਪਲ,പരല്പം
ਕਾਰਪਸ,കാർപസ്
ਕਾਸਟਿੰਗ,കാസ്റ്റിംഗ്
ਕੈਟਾਬੋਲਿਜ਼ਮ,കാറ്റബോളിസം
ਉਤਪ੍ਰੇਸਿਆ,കവചലിസ്
ਕੇਟਰਪਿਲਰ,ചിതശലഭപ്പുഴു
ਸੀ-ਡੀ ਐਨ ਏ ਲਾਇਬ੍ਰੇਰੀ,സി-ഡിഎൻഎ ലൈബ്രറി
ਛੱਤ,മച്ച്
ਸੈੱਲ,കോശം
ਕੇਂਦਰੀ ਲੀਡਰ ਸਿਸਟਮ,കേന്ദ്ര നേതാവ് സംവിധാനം
ਕੇਂਦਰਿਤ,ഒരിനംവീപ്പ്
ਸੈਂਟਰਿਫੁਗਾਸ਼ਨ,സെൻറ്ഫ്യൂഗേഷൻ
ਸੈਂਟਰਿਫਿ ize ਜ,കേന്ദ്രീകൃത
ਸੈਂਟਰਿਓਲ,സെൻട്രിയോൾ
CentRogenic,നൂന്കോജാനിക്
ਸੈਂਟੀਗਨੌਜ਼,നൂനിശ്ചയമുള്ള
ਚੱਕਰ,കടല്ചലട്
ਅਨਾਜ,ധാനം
ਸਰਟੀਫਿਕੇਸ਼ਨ,സാക്ഷപ്പെടുത്തല്
ਪ੍ਰਮਾਣਿਤ ਬੀਜ,സാക്ഷ്യപ്പെടുത്തിയ വിത്ത്
ਤੂਫਾਨ,ചാട്ട
ਚਮਜ਼ਾ,ചാലസ
ਮੈਕੌਟ੍ਰੋਜ਼ਿਜ਼ਮ,പരോപപാതം
ਚਿਆਸਮਾ,ചിയാസ്മ
ਚਿਲਿੰਗ ਘੰਟੇ,ചില്ലിംഗ് സമയം
ਸੱਟ ਲੱਗ ਰਹੀ ਸੱਟ,ചില്ലിംഗ് പരിക്ക്
Chimera,ചിമേര
ਚਲੋਟਰੈਠੀ,ക്ലോറോറാന്തി
ਕਲੋਰੋਫਿਲ,ക്ലോറോഫിൽ
ਕਲੋਰੋਸਿਸ,ക്ലോറോസിസ്
ਕਲੋਰੋਲੋਜੀ,ക്ലോറോളജി
Chrimindidd,ക്രോമാറ്റിഡ്
ਕ੍ਰੋਮੈਟਿਨ,ക്രോമാറ്റിൻ
ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ,ക്രോമാറ്റോഗ്രാഫി
ਕ੍ਰੋਮੈਟੋਲਸਿਸ,ക്രോമാറ്റോളിസിസ്
ਕ੍ਰੋਮੋਸੀਸਟਰ,ക്രോമസെന്റ്റന്റ്
ਕ੍ਰੋਮੋਜੇਨੇਸਿਸ,ക്രോമോജെനിസിസ്
ਕ੍ਰੋਮੋਪ੍ਰੋਟੀਨ,ക്രോമോപ്രോട്ടൻ
ਕ੍ਰੋਮੋਸੋਮ,ക്രോമസോം
ਦੀਰਘ,വിട്ടുമാറാത്ത
ਸਾਇੰਗ,സിട്രഞ്ച്
ਕਲੇਡਡ,പചാരു
ਵਰਗੀਕਰਣ,വര്ഗീകരണം
ਮਿੱਟੀ,കളിമണ്ണ്
ਸਫਾਈ,ശുചിയാക്കല്
ਕਲੇਰਿਸਟਾਗਮੀ,Clistogay
ਜਲਦਬਾਜ਼ੀ ਦਾ ਫਲ,ക്ലൈമാക്രിക് ഫ്രൂട്ട്
ਮੌਸਮ,കാലാവസ്ഥ
ਜਲਵਾਯੂ,കാലാവസ്ഥയുള്ള
ਕਲੀਪਰ,ക്ലിപ്പര്
ਕਲੋਡ,വലം
ਕਲੋਨ,ക്ലോൺ
ਬੱਦਲ,മേഘം
ਕਲੰਪ,തോപ്പ്
ਕਲੱਸਟਰ,ക്ലസ്റ്റർ
ਮੋਟੇ,പരുക്കനായ
ਕੋਟ (ਬੀਜ),കോട്ട് (വിത്ത്)
ਕੋਕੂਨ,കീടകോശം
ਸਿੱਕੇ,Coenzyme
ਏਕਤਾ,ഏകീകരണം
ਕੋਇਰ,കയർ
ਕੋਲੀੋਰਿਹਿਜ਼ਾ,കൊളോറൈസ
ਕਾਲਰ,കുപ്പായക്കഴുത്ത്
ਕੋਲੋਇਡ (ਮਿੱਟੀ),കൊളോയിഡ് (മണ്ണ്)
ਕੋਲਮੂਲਾ,കൊളംറ്റെല്ല
ਕਾਲਮ,കോളം
ਰਿਮੈਂਸੀਵਾਦ,ആമേനസം
ਵਪਾਰਕ ਬੈਂਕ,വാണിജ്യ ബാങ്ക്
ਕਮੋਡਿਟੀ,ചരക്ക്
ਕਮਿ Community ਨਿਟੀ,സമൂഹം
ਸੰਕੁਚਨ (ਮਿੱਟੀ ਦਾ),കോംപാക്ഷൻ (മണ്ണിന്റെ)
ਅਨੁਕੂਲਤਾ,അനുയോജ്യത
ਅਨੁਕੂਲਤਾ,അനുയോജ്യത
ਮੁਆਵਜ਼ਾ,നഷ്ടപരിഹാരം
ਮੁਕਾਬਲੇਬਾਜ਼ੀ ਨਾਲ ਗੱਲਬਾਤ,മത്സര ഇടപെടൽ
ਪੂਰਕ ਫਸਲ,പൂരക വിള
ਗੁੰਝਲਦਾਰ,കോംപ്ലമായ
ਭਾਗ,ഘടകം
ਰਚਨਾ,രചന
ਖਾਦ,കമ്പോസ്റ്റ്
ਮਿਸ਼ਰਿਤ ਦਿਲਚਸਪੀ,കൂട്ടുപലിശ
ਗਣਨਾ,കണക്കുകൂട്ടൽ
