Assamese,Tamil
"১.অপ্টিমাইজাৰ, ২. অপ্টিমাইজাৰ","1. ஆப்டிமைசர், 2. உகப்பாக்கி"
to sum),மொத்தத்தில்)
যোগফল নথিপত্ৰ,தொகை கோப்பு
"1. যোগ কাৰ্য্য, 2. যোগফল কাৰ্য্য","1. கூட்டல் செயல்பாடு, 2. மொத்த செயல்பாடு"
adder,சேர்ப்பான்
ঠিকনা,தெரியும்
ঠিকনা বাছ,முகவரி பேருந்து
ঠিকনা নথিপত্ৰ,முகவரி கோப்பு
ঠিকনা বিন্যাস,முகவரி வடிவம்
ঠিকনা উৎপাদক,முகவரி ஜெனரேட்டர்
ঠিকনা ৰেখা,முகவரி வரி
ঠিকনা মেপিং,முகவரி மேப்பிங்
ঠিকনা সূচক,முகவரி காட்டி
ঠিকনা পঞ্জীয়ন,முகவரி பதிவு
ঠিকনা ভাঙি যোৱা,முகவரி முறிவு
ঠিকনা অনুবাদ,முகவரி மொழிபெயர்ப்பு
"1. ঠিকনাযোগ্য স্মৃতিশক্তি, 2. ঠিকনাযোগ্য মেমৰি","1. முகவரி நினைவகம், 2. முகவரியிடக்கூடிய நினைவகம்"
সম্বোধন কৰা,உரையாற்றுதல்
"১.পৰ্যাপ্ততাৰ মাপকাঠী, ২. পৰ্যাপ্ততাৰ মাপকাঠী","1. போதுமான அளவுகோல்கள், 2. போதுமான அளவுகோல்"
সংলগ্ন কৰা হৈছে,இணைப்பு
"1. ব্যৱস্থাপনা , 2. নিয়ন্ত্ৰণ","1. மேலாண்மை, 2. கட்டுப்பாடு"
"১.পৰিচালক, ২. নিয়ন্ত্ৰক","1. மேலாளர், 2. கட்டுப்படுத்தி"
এডোব এক্ৰ&#39;বেট,அடோப் அக்ரோபேட்
এডোব ফটোশ্বপ,அடோ போட்டோஷாப்
ABAP (উন্নত ব্যৱসায়িক প্ৰগ্ৰেমিং),ABAP (மேம்பட்ட வணிக நிரலாக்கம்)
"1. উন্নত তথ্য, 2. উন্নত তথ্য","1. மேம்பட்ட தரவு, 2. மேம்பட்ட தரவு"
উন্নত তথ্য ব্যৱস্থা,மேம்பட்ட தகவல் அமைப்பு
উন্নত প্ৰযুক্তি (AT),மேம்பட்ட தொழில்நுட்பம் (AT)
কাৰ্য কৰা,நடவடிக்கை
একত্ৰীকৰণ,திரட்டுதல்
বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা,வான்வழி கணினி அமைப்பு
aldus পৃষ্ঠা-নিৰ্মাণ,அல்டஸ் பக்கம்-தயாரிப்பு
সতৰ্কবাণী বাকচ,எச்சரிக்கை பெட்டி
algol (কম্পিউটাৰ ভাষা),அல்கோல் (கணினி மொழி)
"1. এলগৰিদম , 2. এলগৰিদম","1. அல்காரிதம், 2. அல்காரிதம்"
"১.এলগৰিদম বিশ্লেষণ, ২. এলগৰিদম বিশ্লেষণ","1. அல்காரிதம் பகுப்பாய்வு, 2. அல்காரிதம் பகுப்பாய்வு"
এলগৰিদম দক্ষতা,அல்காரிதம் திறன்
"১.ইলিয়াছ, ২. ডাকনাম, ৩. aka","1. எலியாஸ், 2. புனைப்பெயர், 3. aka"
প্ৰান্তিককৰণ,சீரமைப்பு
"১.আবণ্টন, ২. আবণ্টন","1. ஒதுக்கீடு, 2. ஒதுக்கீடு"
"১.বৰ্ণানুক্ৰমিক, ২. বৰ্ণানুক্ৰমিক ক্ৰম","1. அகரவரிசை, 2. அகரவரிசையில்"
আলফানিউমেৰিক,எண்ணெழுத்து
"1. আলফানিউমেৰিক কিবৰ্ড ,2. আলফানিউমেৰিক কিবৰ্ড","1. எண்ணெழுத்து விசைப்பலகை, 2. எண்ணெழுத்து விசைப்பலகை"
আলফা-পৰীক্ষণ (১ম স্তৰৰ পৰীক্ষা),ஆல்பா-சோதனை (1 வது நிலை சோதனை)
"1. আলফা সংস্কৰণ, 2. আলফা ৰূপ","1. ஆல்பா பதிப்பு, 2. ஆல்பா வடிவம்"
alt কি&#39;,alt விசை
আলতাভিস্তা,அல்டாவிஸ்டா
বহুগুণতা,பன்முகத்தன்மை
অস্পষ্ট ব্যাকৰণ,தெளிவற்ற இலக்கணம்
আমেৰিকান নেচনেল ষ্টেণ্ডিজ ইনষ্টিটিউট (ANSI),அமெரிக்க தேசிய ஸ்டேண்டீஸ் நிறுவனம் (ANSI)
আমেৰিকান ষ্টেণ্ডাৰ্ড কাট (ascii),அமெரிக்கன் ஸ்டாண்டர்ட் கட் (ascii)
"1. অনুৰূপ, ২. এনালগ","1. ஒத்த, 2. அனலாக்"
"১.এনালগ কম্পিউটাৰ, ২.এনালগ কম্পিউটাৰ","1. அனலாக் கணினி, 2. அனலாக் கணினி"
"1. এনালগ ডিভাইচ, 2. এনালগ ডিভাইচ","1. அனலாக் சாதனம், 2. அனலாக் சாதனம்"
"1. এনালগ মডেম, 2. এনালগ মডেম","1. அனலாக் மோடம், 2. அனலாக் மோடம்"
এনালগ টু ডিজিটেল কনভাৰ্টাৰ,டிஜிட்டல் மாற்றிக்கு அனலாக்
শেষ (ডিজিটেল/প্লেন লজিক &#39;আৰু&#39; ব্যৱহৃত),முடிவு (டிஜிட்டல்/பிளேன் லாஜிக் &#39;மற்றும்&#39; பயன்படுத்தப்பட்டது)
শেষ বৰ্তনী,இறுதி சுற்று
শেষৰ গেট আৰু গেট,இறுதி வாயில் மற்றும் வாயில்
অপাৰেচন শেষ নহয় (বৰ্জন),செயல்பாடு அல்ல (விலக்கு)
"১.এনিমেচন, ২.কম্পন","1. அனிமேஷன், 2. அதிர்வு"
দ্ৰষ্টব্য,குறிப்பு
অসামঞ্জস্যতা,முரண்பாடு
পূৰ্ৱবৰ্তী,முந்தைய
প্ৰত্যাশিত পেজিং,முன்கூட்டிய பேஜிங்
প্ৰতি-সমমিতিক,எதிர்-சமச்சீர்
এন্টিভাইৰেল প্ৰগ্ৰেম,வைரஸ் தடுப்பு திட்டம்
"১.এপলেট, ২. দৰ্খাস্ত","1. ஆப்லெட், 2. விண்ணப்பம்"
এপ্লিকেচন ডেভেলপাৰ,பயன்பாட்டு டெவலப்பர்
এপ্লিকেচন প্ৰগ্ৰেমিং,பயன்பாட்டு நிரலாக்கம்
"1. এপ্লিকেচন প্ৰগ্ৰামিং আন্তঃপৃষ্ঠ, 2. এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API)","1. பயன்பாட்டு நிரலாக்க இடைமுகம், 2. பயன்பாட்டு நிரலாக்க இடைமுகம் (API)"
এপ্লিকেচন চফ্টৱেৰ,பயன்பாட்டு மென்பொருள்
আবেদন ভাষা,பயன்பாட்டு மொழி
আনুমানিক নীতি,தோராயக் கொள்கை
গাঁঠনি,கட்டமைப்பு
ক্ষেত্ৰ স্থানান্তৰ,புல பரிமாற்றம்
"1. প্ৰাচল, স্বাধীন চলক, 2. কোণ","1. அளவுரு, சுயாதீன மாறி, 2. கோணம்"
"1. গাণিতিক আৰু যুক্তি একক, 2. গাণিতিক আৰু যুক্তি একক","1. எண்கணிதம் மற்றும் தர்க்கவியல் அலகு, 2. எண்கணிதம் மற்றும் தர்க்கவியல் அலகு"
গাণিতিক পৰীক্ষা,எண்கணித சரிபார்ப்பு
গাণিতিক ধ্ৰুৱক,எண்கணித மாறிலி
গাণিতিক তথ্য,எண்கணித தரவு
গাণিতিক নিৰ্দেশনা,எண்கணித அறிவுரை
গাণিতিক আৰু যুক্তিসংগত একক (ALU),கணிதம் மற்றும் தருக்க அலகு (ALU)
ARPA নেট (RPNet),ARPA Net (RPNet)
এৰে,வரிசை
"1. এৰে কেচ, 2. এৰেৰ গতি, ৩. এৰে মেমৰি","1. வரிசை கேச், 2. வரிசை வேகம், 3. வரிசை நினைவகம்"
এৰে কম্পিউটাৰ,வரிசை கணினி
এৰে উপাদান,வரிசை உறுப்பு
এৰেৰ নাম,வரிசை பெயர்
এৰে প্ৰচেছৰ,வரிசை செயலி
কাঁড় চিহ্ন,அம்புக்குறி விசை
সন্ধি,ஒப்பந்தம்
জংচন পইণ্ট,சந்திப்பு முனை
কৃত্ৰিম সংকোচন,செயற்கை சுருக்கம்
কৃত্ৰিম নিয়ন্ত্ৰণ,செயற்கை கட்டுப்பாடு
কৃত্ৰিম ইন্দ্ৰিয়,செயற்கை உணர்வு
মাউন্ট,ஏற்ற
আৰোহী সজাই পৰাই তোলা,ஏறும் வகை
ascii বৰ্ণমালা,ascii எழுத்துக்கள்
ascii নিয়ন্ত্ৰণ চিহ্ন,ascii கட்டுப்பாட்டு சின்னம்
ascii ফাইল,ascii கோப்பு
ascii ফন্ট,ascii எழுத்துரு
ASCII স্থানান্তৰ,ASCII பரிமாற்றம்
এস্পেক্ট ৰেচিঅ&#39;,விகிதம்
"১.এছপি, ২. এ এছ পি আই","1. ஆஸ்பி, 2. ASPI"
এ এছ আৰ কালাদ,ஏ எஸ் ஆர் கலாட்
"১/ স্মৰণ, ২। একত্ৰিত কৰা, ৩. একত্ৰিত কৰা","1. நினைவாற்றல், 2. அசெம்பிளிங், 3. ஒன்று சேர்க்க"
"১.সমাবেশকাৰী, ২. স্মাৰক","1. அசெம்பிளர், 2. நினைவூட்டல்"
"1. একত্ৰিত কৰা, ২. স্মৃতি","1. அசெம்பிளிங், 2. நினைவு"
"১/ মুখস্থ কৰা ভাষা, ২. ভাষা একত্ৰিত কৰা","1. மனப்பாடம் மொழி, 2. ஒருங்கிணைக்கும் மொழி"
সংকল্প,உறுதியை
"1. নিৰ্দিষ্ট কাম, 2. আবণ্টন","1. குறிப்பிட்ட வேலை, 2. ஒதுக்கீடு"
সংগীত্ব,தோழமை
সহযোগী ঠিকনা,துணை முகவரி
"১.সংগত স্মৃতি, ২. সহযোগী স্মৃতিশক্তি","1. துணை நினைவகம், 2. துணை நினைவகம்"
তাৰকা চিহ্ন (* চিহ্ন),நட்சத்திரம் (* அடையாளம்)
অসমতাপূৰ্ণ,சமச்சீரற்ற
"1. এচিনক্ৰ&#39;নাছ , 2. এচিনক্ৰ&#39;নাছ","1. ஒத்திசைவற்ற, 2. ஒத்திசைவற்ற"
এচিনক্ৰ&#39;নাছ ডিজিটেল গ্ৰাহক লাইন (ADSL),ஒத்திசைவற்ற டிஜிட்டல் சந்தாதாரர் வரி (ADSL)
এচিংক্ৰ&#39;নাছ সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM),ஒத்திசைவற்ற நேரப் பிரிவு மல்டிபிளெக்சிங் (ATDM)
এচিনক্ৰ&#39;নাছ স্থানান্তৰ,ஒத்திசைவற்ற பரிமாற்றம்
এচিংক্ৰ&#39;নাছ ট্ৰেন্সফাৰ মোড (ATM),ஒத்திசைவற்ற பரிமாற்ற முறை (ATM)
"১.পৰমাণু, ২. পৰমণ","1. அணு, 2. பரமன்"
সংলগ্ন নথিপত্ৰ,இணைக்கப்பட்ட ஆவணம்
"1. সংলগ্ন ফাইল/মিছিল, 2. সংলগ্ন ফাইল","1. இணைக்கப்பட்ட கோப்பு/ஏவுகணை, 2. இணைக்கப்பட்டுள்ள கோப்பு"
"১.আৱৰণ, ২. সংযুক্ত","1. அடைப்பு, 2. இணைந்த"
"১.গুণ, ২. বৈশিষ্ট্য","1. பண்புகள், 2. சிறப்பு"
শ্ৰৱণযোগ্য,கேட்கக்கூடிய
"1. অডিট প্ৰগ্ৰেমিং, 2. অডিট প্ৰগ্ৰেমিং","1. தணிக்கை நிரலாக்கம், 2. தணிக்கை நிரலாக்கம்"
একাউণ্ট পৰীক্ষণ,கணக்கு சரிபார்ப்பு
প্ৰচাৰ,பதவி உயர்வு
প্ৰমাণীকৰণ প্ৰট&#39;কল,சான்றிதழ் நெறிமுறை
লেখক পদ্ধতি,எழுதும் முறை
"১.কৰ্তৃত্ব, ২. কৰ্তৃত্ব, ৩. ন্যায়াধিকৰণ","1. அதிகாரம், 2. அதிகாரம், 3. தீர்ப்பாயம்"
অটো বিমূৰ্ত,தானியங்கு சுருக்கம்
"1. স্বয়ংক্ৰিয় বুটিং, 2. self বুট","1. ஆட்டோ பூட்டிங், 2. சுய துவக்கம்"
AutoCAD (এটা কম্পিউটাৰ ভাষা),ஆட்டோகேட் (ஒரு கணினி மொழி)
স্বয়ংক্ৰিয় লগ-অন,தானாக உள்நுழைவு
automata,தானியங்கி
automata তত্ত্ব,தானியங்கு கோட்பாடு
স্বয়ংক্ৰিয় গণনা,தானியங்கி கணக்கீடு
স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ,தானியங்கி தரவு செயலாக்கம்
স্বয়ংক্ৰিয় ভুল সংশোধন,தானியங்கி பிழை திருத்தம்
অটো ফাংচন,தானியங்கு செயல்பாடு
"1. স্বয়ংক্ৰিয় সূচীভুক্তকৰণ, 2. স্বয়ংক্ৰিয় তালিকাভুক্তকৰণ","1. தானியங்கி அட்டவணைப்படுத்தல், 2. தானியங்கி பட்டியல்"
অটো-সংগ্ৰহ কল,தானியங்கு சேகரிப்பு அழைப்பு
"1. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং, 2. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং","1. தானியங்கி நிரலாக்கம், 2. தானியங்கி நிரலாக்க"
"1. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম, 2. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম","1. தானியங்கி மீட்பு திட்டம், 2. தானியங்கி மீட்பு திட்டம்"
অটো ৰুটিন,தானியங்கி வழக்கம்
স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ,தானியங்கி கணினி மீட்பு
"১/ স্বয়ংক্ৰিয় টেলাৰ মেচিন (এটিএম), ২. স্বয়ং উলিওৱাৰ বাবে বেংকৰ ATM","1. தானியங்கி பணம் செலுத்தும் இயந்திரங்கள் (ATM), 2. வங்கி ஏ.டி.எம்"
অটোমেচন,தானியங்கி
"1. অটোপ্লে , 2. অটো ৱাক","1. ஆட்டோபிளே, 2. ஆட்டோ நடை"
কণ্ঠদান,குரல் கொடுத்தல்
সহায়ক,உதவியாளர்
সহায়ক স্মৃতিশক্তি,துணை நினைவகம்
সহায়ক সংৰক্ষণ,துணை சேமிப்பு
উপলব্ধ তালিকা,கிடைக்கும் பட்டியல்
উপলব্ধ সময়,கிடைக்கும் நேரம்
গড়,சராசரி
AWK (এটা কম্পিউটাৰ কমাণ্ড),AWK (ஒரு கணினி கட்டளை)
পাছত,பிறகு
পোষ্ট প্ৰচেছৰ,பின் செயலி
পশ্চাৎ কাৰ্য্য বিলোপন,பின்புற செயல்பாடு நீக்கம்
পটভূমি প্ৰক্ৰিয়াকৰণ,பின்னணி செயலாக்கம்
আনুষংগিক দোকানসমূহ,துணை கடைகள்
বেক পেচিং,மீண்டும் ஒட்டுதல்
"১.পশ্চিম, ২. বেকস্পেচ","1. மேற்கு, 2. பின்வெளி"
পিছুৱাই যোৱা,பின்வாங்குதல்
"1. বেক-আপ , 2. ৰিইম্বৰ্চেমেণ্ট","1. காப்புப்பிரதி, 2. கொடுக்கப்படுவதுடன்"
"১/ পৰিপূৰক স্মৃতিশক্তি, ২. বেক-আপ মেমৰি","1. நிரப்பு நினைவகம், 2. காப்பு நினைவகம்"
পিছলৈ ভুল সংশোধন,மீண்டும் பிழை திருத்தம்
(আয়-ব্যয়) বেলেন্স শ্বীট,(வருமானம்-செலவு) இருப்புநிலை
পট্টি,கட்டு
"১.বেণ্ড প্ৰস্থ, ২. বেণ্ডউইডথ/ক্ষমতা","1. பேண்ட் அகலம், 2. அலைவரிசை/திறன்"
বেংকাৰৰ এলগৰিদম,வங்கியாளர் வழிமுறை
"1. বাৰ ক&#39;ড, 2. বাৰ ক&#39;ড","1. பார் குறியீடு, 2. பார் குறியீடு"
বাৰক&#39;ড স্ক্যানাৰ,பட்டை குறி படிப்பான் வருடி
বাৰ গ্ৰাফ,சட்ட வரைபடம்
ভিত্তি ঠিকনা,அடிப்படை முகவரி
বেচ বেণ্ড,அடிப்படை இசைக்குழு
আধাৰ নম্বৰ,ஆதார் எண்
ভিত্তি টেবুল,அடிப்படை அட்டவணை
মূল (এটা কম্পিউটাৰ ভাষা),அடிப்படை (ஒரு கணினி மொழி)
"1. মূল নিয়ন্ত্ৰণ , 2. ভিত্তি নিয়ন্ত্ৰণ","1. அடிப்படை கட்டுப்பாடு, 2. அடிப்படை கட்டுப்பாடு"
"১/ মূল বিনিয়োগ, ২. ভিত্তি বিনিয়োগ","1. அசல் முதலீடு, 2. அடிப்படை முதலீடு"
মূল নিৰ্দেশনা,அடிப்படை அறிவுறுத்தல்
ভিত্তি বিষয়,அடிப்படை பிரச்சினை
মূল পৰ্যায়,அடிப்படை நிலை
"১.বেচ, ২. গোট, ৩. বিপৰ্যয়","1. தொகுதி, 2. குழு, 3. பேரழிவு"
"1. বেচ ফাইল, 2. বেচ ফাইল","1. தொகுதி கோப்பு, 2. தொகுதி கோப்பு"
বেচৰ অৱস্থা,தொகுதி நிலை
"১.বেচ প্ৰচেছিং, ২. গ্ৰুপ প্ৰচেছিং","1. தொகுதி செயலாக்கம், 2. குழு செயலாக்கம்"
"1. বেচ ব্যৱস্থা, 2. কেটাপল্ট ব্যৱস্থা","1. தொகுதி அமைப்பு, 2. கவண் அமைப்பு"
baud,பாட்
বড হাৰ,பாட் விகிதம்
ৰশ্মি ৰশ্মি,கற்றை கற்றை
"1. নিৰ্দেশনা , 2. বেচ মাৰ্ক","1. வழிகாட்டுதல்கள், 2. தொகுதி குறி"
দ্বিমুখী যোগাযোগ,இருதரப்பு தொடர்பு
প্ৰত্যক্ষ সংযোগ,நேரடி இணைப்பு
বাইনাৰী ক&#39;ড,பைனரி குறியீடு
বাইনাৰী অংক,பைனரி இலக்கங்கள்
বাইনাৰী বিনিয়োগ আউটপুট ব্যৱস্থা (BIOS),பைனரி இன்வெஸ்ட்மென்ட் அவுட்புட் சிஸ்டம் (பயாஸ்)
বাইনাৰী সংখ্যা,பைனரி எண்
বাইনাৰী অপাৰেটৰ,பைனரி ஆபரேட்டர்
বাইনাৰী সম্পৰ্ক,பைனரி உறவு
বাইনাৰী সন্ধান,பைனரி தேடல்
বাইনাৰী অন্বেষণ বৃক্ষ (BST),பைனரி ஆய்வு மரம் (BST)
"1. বাইনাৰী স্থানান্তৰ গছ, 2. বাইনাৰী স্থানান্তৰ","1. பைனரி பரிமாற்ற மரம், 2. பைனரி பரிமாற்றம்"
বাইনাৰী গছ,பைனரி மரம்
"১.দ্বিমেৰু স্মৃতিশক্তি, ২. বাইপোলাৰ মেম’ৰী","1. இருமுனை நினைவகம், 2. இருமுனை நினைவகம்"
"১/ জন্ম আৰু মৃত্যুৰ আৰ্হি, ২. জন্ম মৃত্যুৰ আৰ্হি","1. பிறப்பு மற்றும் இறப்பு மாதிரி, 2. பிறப்பு இறப்பு மாதிரி"
জন্ম মৃত্যু প্ৰক্ৰিয়া,பிறப்பு இறப்பு செயல்முறை
"১.ডুয়েক, ২. বিট","1. டூக், 2. பிட்"
বিট দোষ,சிறிய தவறு
বিট মেপ,பிட் வரைபடம்
"1. বিট , 2. মানচিত্ৰ, ৩. পিক্সেল (BMP)","1. பிட், 2. வரைபடம், 3. பிக்சல் (BMP)"
"1. বিট মেট্ৰিক্স, 2. বিট টেবুল","1. பிட் மேட்ரிக்ஸ், 2. பிட் டேபிள்"
বিট পেটাৰ্ণ,பிட் முறை
বিটৰ অৱস্থান,பிட் நிலை
"1. বিট হাৰ, 2. বিট হাৰ","1. பிட் வீதம், 2. பிட் விகிதம்"
চকুত পটি পৰীক্ষা কৰা,கண்மூடி சோதனை
shimmer,மின்னும்
অৱৰুদ্ধ কৰা,தொகுதி
"1. ব্লক কেচ, 2. ব্লক কেচ / চুংক মেমৰি","1. பிளாக் கேச், 2. பிளாக் கேச் / துண் நினைவகம்"
ব্লক প্ৰ&#39;ব,தடுப்பு ஆய்வு
ভলিউম কপি,தொகுதி நகல்
ব্লক ডায়াগ্ৰাম,தொகுதி வரைபடம்
"1. ব্লক কৰা নেটৱৰ্ক, 2. ব্লক কৰা নেটৱাৰ্ক","1. தடுக்கப்பட்ட நெட்வொர்க், 2. தடுக்கப்பட்ட நெட்வொர்க்"
ব’ৰ্ড,பலகை
পৃষ্ঠাৰ স্মৃতিশক্তি,பக்க நினைவகம்
বুলিয়ান বীজগণিত,பூலியன் இயற்கணிதம்
বুলিয়ান সম্পৰ্ক,பூலியன் உறவு
বুট বিভাজন,துவக்க பகிர்வு
বুট ষ্ট্ৰেপিং,பூட் ஸ்ட்ராப்பிங்
1.বুটষ্ট্ৰেপ লোডাৰ,1.பூட்ஸ்ட்ராப் ஏற்றி
"১.দলং, ২.দলং","1.பாலம், 2.பாலம்"
ব্ৰডবেণ্ড নেটৱৰ্ক,பிராட்பேண்ட் நெட்வொர்க்
সম্প্ৰচাৰ,ஒளிபரப்பு
সম্প্ৰচাৰ ৰেডিঅ&#39;,ஒலிபரப்பு வானொலி
(নেট) ভ্যাৰিয়েন্স,(நிகர) மாறுபாடு
(নেট) ভিকাৰ,(net) vicar
বি-ট্ৰু,பி-ட்ரூ
"1.বাবল মেমৰি, 2.বাবল মেমৰি","1.குமிழி நினைவகம், 2.குமிழி நினைவகம்"
বুদবুদ সজাই পৰাই তোলা,குமிழி வகை
"১.বাল্টি, ২.বাল্টি","1.வாளி, 2.வாளி"
"১.ভ্ৰাতৃত্ববোধ ব্যৱস্থা, ২.বৃহৎ ব্যৱস্থা","1.சகோதர அமைப்பு, 2.பெரிய அமைப்பு"
বাজেট ফলপ্ৰসূ নিয়ন্ত্ৰণ,பயனுள்ள பட்ஜெட் கட்டுப்பாடு
বাফাৰ,தாங்கல்
অভাৱ,குறைபாடு
বাছ,போதும்
"১.অষ্ট ব্যাংক, ২. বিট (আঠটা বিট)","1. அஷ்ட வியாங்க், 2. பிட் (எட்டு பிட்கள்)"
বাইট ক&#39;ড,பைட் குறியீடு
C (কম্পিউটাৰ ভাষা),சி (கணினி மொழி)
"1.C Plus Plus, 2.C++ (কম্পিউটাৰ ভাষা)","1.சி பிளஸ் பிளஸ், 2.சி++ (கணினி மொழி)"
"১.নগদ ধন, ২. বেগাই","1.பணம், 2. வேகமாக, 3.வேகமாக"
"1.কেচ বাফাৰ, 2.মেমৰি বাফাৰ","1.கேச் பஃபர், 2.மெமரி பஃபர்"
"1.কেচ মেমৰি, 2.কেচ মেমৰি, 3.দ্ৰুত মেমৰি","1.கேச் மெமரி, 2.கேச் மெமரி, 3.ஃபாஸ்ட் மெமரி"
গণনা কৰা,கணக்கீடு
"১.কেলকুলেটৰ, ২.কেলকুলেটৰ","1.கால்குலேட்டர், 2.கால்குலேட்டர்"
"1.কেলকুলেটৰ চিপ,2. কেলকুলেটৰ চিপ","1.கால்குலேட்டர் சிப், 2. கால்குலேட்டர் சிப்"
আমন্ত্ৰণ কৰক,அழைக்கவும்
নাম কল,பெயர் அழைப்பு
ৰেফাৰেন্স কল,குறிப்பு அழைப்பு
সন্মানীয় আহ্বান,மரியாதை அழைப்பு
ভেৰিয়েবল কল,மாறி அழைப்பு
আমন্ত্ৰণ গেট,அழைப்பு வாயில்
"1. বাতিল কৰক, 2. বাতিল কৰক","1. ரத்து, 2. ரத்து"
বাতিল বুটাম,திரும்பப்பெறுதல் பொத்தான்
"১.নিৰ্দিষ্ট কৰা, ২. কেননিক","1. பரிந்துரைக்கப்பட்ட, 2. நியமனம்"
কেননিক ৰূপ,நியமன வடிவம்
সক্ষমতা,திறன்
ক্ষমতা তালিকা,திறன் பட்டியல்
"১.সামৰ্থ্য, ২. ধৰি ৰখা","1. திறன், 2. வைத்திருக்கும்"
