English,Marathi
Analog video,एनालॉग व्हिडिओ
Analogous,समान
Analogy,समानता
Analysis,विश्लेषण
Analysis of data,डेटाचे विश्लेषण
Analytical density,विश्लेषणात्मक घनता
Analyze,विश्लेषण
Analyzer,विश्लेषक
Ancilliary equipment,उपकरणे
AND Gate,आणि गेट
Angle of collimation,कोलिमेशनचा कोन
Angle of polarization,ध्रुवीकरणाचा कोन
Angle of rotation,रोटेशनचा कोन
Angstrom (Å),अँगस्ट्रॉम (Å)
Angular,कोनीय
Angular acceleration,कोनीय प्रवेग
Angular co-ordinates,कोनीय समन्वय
Angular deflection,कोनीय विक्षेपण
Angular dispersion,कोनीय फैलाव
Angular displacement,कोनीय विस्थापन
Angular error,कोनीय त्रुटी
Angular frequency,कोनीय वारंवारता
Angular momentum,कोनीय गती
Angular motion,कोनीय गती
Angular velocity,कोनीय गती
Animation,अ‍ॅनिमेशन
Anode,एनोड
Anode battery,एनोड बॅटरी
Anode characteristic,एनोड वैशिष्ट्य
Anode circuit,एनोड सर्किट
Anode dissipation,एनोड अपव्यय
Anode efficiency,एनोड कार्यक्षमता
Anode input power,एनोड इनपुट पॉवर
Anode modulation,एनोड मॉड्यूलेशन
Antenna,अँटेना
Antenna beamwidth,अँटेना बीमविड्थ
Antenna booster,अँटेना बूस्टर
Antenna changeover switch,अँटेना चेंजओव्हर स्विच
Antenna coil,अँटेना कॉइल
Antenna configuration,अँटेना कॉन्फिगरेशन
Antenna coupler,अँटेना कपलर
Antenna cross polar pattern,अँटेना क्रॉस ध्रुवीय नमुना
Antenna current,अँटेना करंट
Antenna directivity gain,अँटेना डायरेक्टिव्हिटी गेन
Antenna duplexer,अँटेना डुप्लेक्सर
Antenna effective area,अँटेना प्रभावी क्षेत्र
Antenna efficiency,अँटेना कार्यक्षमता
Antenna feed,अँटेना फीड
Antenna foot print,अँटेना फूट प्रिंट
Antenna gain,अँटेना गेन
Antenna height,अँटेना उंची
Antenna impedance,अँटेना प्रतिबाधा
Antenna inductance,अँटेना इंडक्टन्स
Antenna pattern,अँटेना पॅटर्न
Antenna plexer,अँटेना प्लेक्सर
Antenna polarization,अँटेना ध्रुवीकरण
Antenna power,अँटेना पॉवर
Antenna power gain,अँटेना पॉवर गेन
Antenna radiation resistance,अँटेना रेडिएशन प्रतिरोध
Antenna reactance,अँटेना रिएक्टन्स
Antenna reflector,अँटेना परावर्तक
Antenna resistance,अँटेना प्रतिकार
Antenna resonant frequency,अँटेना रेझोनंट वारंवारता
Antenna spacing,अँटेना स्पेसिंग
Antenna switching room,अँटेना स्विचिंग रूम
Antenna tuning coil,अँटेना ट्यूनिंग कॉइल
Antenna tuning hut,अँटेना ट्यूनिंग झोपडी
Aperture,छिद्र
Apogee,अपोजी
Apogee rocket,अपोजी रॉकेट
Apparatus,उपकरणे
Apparent,उघड
Applet,Let पलेट
Application,अर्ज
Approximate,अंदाजे
Aquous solution,जलीय द्रावण
Arc,कंस
Architecture,आर्किटेक्चर
Archival transfer of sound recording,ध्वनी रेकॉर्डिंगचे संग्रहण हस्तांतरण
Archives,संग्रहण
Arithmetic coding,अंकगणित कोडिंग
Armature,आर्मेचर
Armature winding,आर्मेचर विंडिंग
Array,रचना
Arrester,अरेस्टर
Articulation,बोलता
Artifact (=artefact),कलाकृती (= कलाकृती)
Ascending,चढत्या
Aspect ratio,प्रसर गुणोत्तर
Assembler,असेंबलर
Assertion,प्रतिपादन
Assignment,असाइनमेंट
Assignment channel,असाइनमेंट चॅनेल
Asymmetrical,असममित
Asynchronous,एसिन्क्रोनस
Atmosphere,वातावरण
Atmospheric loss,वातावरणीय नुकसान
Atmospheric noise,वातावरणीय आवाज
Atmospheric pressure,वातावरणीय दबाव
Atmospheric propagation,वातावरणीय प्रसार
Atmospheric radio-wave,वातावरणीय रेडिओ-वेव्ह
Atmospherics,वातावरण
Atom,अणू
Atomic structure,अणु रचना
Attachment,संलग्नक
Attenuation,क्षीणन
Attenuation loss,क्षमतेचे नुकसान
Attenuation of sound waves,ध्वनी लहरींचे लक्ष वेधणे
Attenuator,अ‍ॅटेन्युएटर
Attenuator-pad,अ‍ॅटेन्युएटर-पॅड
Audibility threshold,ऑडिबिलिटी थ्रेशोल्ड
Audible,ऐकण्यायोग्य
Audible frequency,ऐकण्यायोग्य वारंवारता
Audible tone,ऐकण्यायोग्य टोन
Audible-spectrum,ऐकण्यायोग्य-स्पेक्ट्रम
Audience,प्रेक्षक
Audio,ऑडिओ
Audio amplifier,ऑडिओ एम्पलीफायर
Audio analyzer,ऑडिओ विश्लेषक
Audio broadcasting,ऑडिओ प्रसारण
Audio cable,ऑडिओ केबल
Audio chain,ऑडिओ साखळी
Audio codec,ऑडिओ कोडेक
Audio compression,ऑडिओ कॉम्प्रेशन
Audio compressor,ऑडिओ कॉम्प्रेसर
Audio console,ऑडिओ कन्सोल
Audio distortion,ऑडिओ विकृती
Audio dynamic range,ऑडिओ डायनॅमिक श्रेणी
Audio file format,ऑडिओ फाइल स्वरूप
Audio frame format,ऑडिओ फ्रेम स्वरूप
Audio frequency amplifier,ऑडिओ फ्रिक्वेन्सी एम्पलीफायर
Audio frequency generator,ऑडिओ फ्रिक्वेन्सी जनरेटर
Audio frequency range,ऑडिओ वारंवारता श्रेणी
Audio frequency response,ऑडिओ वारंवारता प्रतिसाद
Audio limiter,ऑडिओ लिमिटर
Audio line,ऑडिओ लाइन
Audio mixer,ऑडिओ मिक्सर
Audio modulation,ऑडिओ मॉड्यूलेशन
Audio oscillator,ऑडिओ ऑसीलेटर
Audio output,ऑडिओ आउटपुट
Audio power,ऑडिओ पॉवर
Audio quality,ऑडिओ गुणवत्ता
Audio signal,ऑडिओ सिग्नल
Audio signal processing,ऑडिओ सिग्नल प्रक्रिया
Audio spectrum,ऑडिओ स्पेक्ट्रम
Audio storage,ऑडिओ स्टोरेज
Audio sub-carrier,ऑडिओ सब-कॅरियर
Audio transformer,ऑडिओ ट्रान्सफॉर्मर
Audio transmitter,ऑडिओ ट्रान्समीटर
Audio/video compression,ऑडिओ/व्हिडिओ कॉम्प्रेशन
Audio-frequency oscillator,ऑडिओ-फ्रिक्वेन्सी ऑसीलेटर
Audio-frequency signal,ऑडिओ-फ्रिक्वेन्सी सिग्नल
Audiometry,ऑडिओमेट्री
Audio-visual aid,ऑडिओ-व्हिज्युअल मदत
Auditory perception,श्रवणविषयक समज
Authentication,प्रमाणीकरण
Authorised carrier frequency,अधिकृत वाहक वारंवारता
Auto CAD,ऑटो कॅड
Auto diagnostics,ऑटो डायग्नोस्टिक्स
Automatic,स्वयंचलित
Automatic control,स्वयंचलित नियंत्रण
Automatic detection,स्वयंचलित शोध
Automatic equipment,स्वयंचलित उपकरणे
Automatic frequency control,स्वयंचलित वारंवारता नियंत्रण
Automatic limiter,स्वयंचलित मर्यादा
Automatic machine,स्वयंचलित मशीन
Automatic phasae control,स्वयंचलित Phasae नियंत्रण
Automatic picture transmission,स्वयंचलित चित्र संप्रेषण
Automatic playback,स्वयंचलित प्लेबॅक
Automatic power control,स्वयंचलित उर्जा नियंत्रण
Automatic programming,स्वयंचलित प्रोग्रामिंग
Automatic recording,स्वयंचलित रेकॉर्डिंग
Automatic reset,स्वयंचलित रीसेट
Automatic shutter,स्वयंचलित शटर
Automatic system,स्वयंचलित प्रणाली
Automatic telephone,स्वयंचलित टेलिफोन
Automatic temperature control,स्वयंचलित तापमान नियंत्रण
Automatic voltage regulator,स्वयंचलित व्होल्टेज नियामक
Automatic volume compressor,स्वयंचलित व्हॉल्यूम कॉम्प्रेसर
Automatic volume control,स्वयंचलित व्हॉल्यूम नियंत्रण
Automatic volume expander,स्वयंचलित व्हॉल्यूम विस्तारक
Automation,ऑटोमेशन
Automation control,ऑटोमेशन नियंत्रण
Automation frequency controller,ऑटोमेशन फ्रिक्वेन्सी कंट्रोलर
Auxiliary,सहाय्यक
Auxiliary audio bus,सहाय्यक ऑडिओ बस
Available power,उपलब्ध शक्ती
Avalanche breakdown,हिमस्खलन ब्रेकडाउन
Average life,सरासरी जीवन
Average pressure,सरासरी दबाव
Average speed,सरासरी वेग
Axis of spin,फिरकीची अक्ष
Azimuth,अजीमुथ
Azimuth angle,अजीमुथ कोन
Azimuth error,अजीमुथ त्रुटी
Back light,मागे प्रकाश
Back projection,बॅक प्रोजेक्शन
Back voltage (=reverse voltage),बॅक व्होल्टेज (= रिव्हर्स व्होल्टेज)
Backfire (arc back),बॅकफायर (आर्क बॅक)
Background light,पार्श्वभूमी प्रकाश
Background noise,पार्श्वभूमी आवाज
Background projection,पार्श्वभूमी प्रोजेक्शन
Backup,बॅकअप
Baffle,बफल
Baking,बेकिंग
Balanced audio,संतुलित ऑडिओ
Balanced audio line,संतुलित ऑडिओ लाइन
Balanced transmission line,संतुलित ट्रान्समिशन लाइन
Balancing,संतुलन
Ballast,गिट्टी
Ballast factor,गिट्टी फॅक्टर
Balun,बालुन
Band,बँड
Band pass filter,बँड पास फिल्टर
Band selector,बँड निवडकर्ता
Band splitting,बँड स्प्लिटिंग
Band stop filter,बँड स्टॉप फिल्टर
Band switch,बँड स्विच
Band tuning,बँड ट्यूनिंग
Bandwidth,बँडविड्थ
Bar,बार
Bar code,बार कोड
Bar data,बार डेटा
Bare band,बेअर बँड
Bare lamp,बेअर दिवा
Barn door,धान्याचे कोठार
Base band,बेस बँड
Base band signal,बेस बँड सिग्नल
Base band system,बेस बँड सिस्टम
Base browser,बेस ब्राउझर
Base collector junction,बेस कलेक्टर जंक्शन
Base insulator,बेस इन्सुलेटर
Bass,बास
Bass compensation,बास भरपाई
Bass loudspeaker (woofer),बास लाऊडस्पीकर (वूफर)
Batch scanning,बॅच स्कॅनिंग
Battery charging,बॅटरी चार्जिंग
Beam,तुळई
Beat,बीट
Beat frequency oscillator,बीट फ्रिक्वेन्सी ऑसीलेटर
Bel,बेल
Bias,पूर्वाग्रह
Bias circuit,बायस सर्किट
Bias frequency,पूर्वाग्रह वारंवारता
Bias voltage,बायस व्होल्टेज
Biased in the forward direction,पुढील दिशेने पक्षपाती
Bi-directional microphone,द्वि-दिशात्मक मायक्रोफोन
Billboard,बिलबोर्ड
Billboard application,बिलबोर्ड अर्ज
Bi-metallic element,द्वि-धातूचा घटक
Binary,बायनरी
Binary coded decimal,बायनरी कोडित दशांश
Binary digit (bit),बायनरी अंक (बिट)
Binary number,बायनरी नंबर
Binaural hearing,बिनौरल सुनावणी
Binocular,दुर्बिणी
Biometric,बायोमेट्रिक
Bipolar transistor,द्विध्रुवीय ट्रान्झिस्टर
Bit allocation,बिट वाटप
Bit rate,बिट रेट
Black & white TV,काळा आणि पांढरा टीव्ही
Blank,रिक्त
Blanking interval,ब्लँकिंग मध्यांतर
Blanking level,ब्लँकिंग लेव्हल
Bleeder resistance,ब्लेडर रेझिस्टन्स
Blimped camera,ब्लिम्पेड कॅमेरा
Blinding glare,आंधळे चकाकी
Blink,डोळे मिचकावणे
Blinking,डोळे मिचकावणे
Block code,ब्लॉक कोड
Block diagram,ब्लॉक आकृती
Block interleave,ब्लॉक इंटरलीव्ह
Blocking capacitor,कॅपेसिटर अवरोधित करणे
Blocking oscillator,ऑसीलेटर अवरोधित करणे
Bloom,ब्लूम
Blow lamp,ब्लो दिवा
Blow pipe,ब्लो पाईप
Blower,ब्लोअर
Bluetooth,ब्लूटूथ
Body capacitance,बॉडी कॅपेसिटन्स
Bookmark,बुकमार्क
Boolean algebra,बुलियन बीजगणित
Boom,भरभराट
Boost,चालना
Booster,बूस्टर
Booster light,बूस्टर लाइट
Boosting,चालना
Booting,बूटिंग
Bootstrap,बूटस्ट्रॅप
Bottom light,तळाशी प्रकाश
Bounce light,बाउन्स लाइट
Break down,यंत्रातील बिघाड
Break down voltage,व्होल्टेज खाली करा
Bridge element,पूल घटक
Bridge rectifier,ब्रिज रेक्टिफायर
Bridged ‘T’ attenuator,ब्रिज केलेले ‘टी’ अ‍ॅटेन्युएटर
Bridged structure,ब्रिज केलेली रचना
Bridging,ब्रिजिंग
Bridging amplifier,ब्रिजिंग एम्पलीफायर
Bridging loss,ब्रिजिंग लॉस
Brightness,चमक
Brightness control,ब्राइटनेस कंट्रोल
Brittle,ठिसूळ
Brittle substance,ठिसूळ पदार्थ
Broadband,ब्रॉडबँड
Broadband amplifier,ब्रॉडबँड एम्पलीफायर
Broadband ISDN,ब्रॉडबँड आयएसडीएन
Broadband system,ब्रॉडबँड सिस्टम
Broadcast and communication technology,प्रसारण आणि संप्रेषण तंत्रज्ञान
Broadcast coverage,प्रसारण कव्हरेज
Broadcast receiver,ब्रॉडकास्ट रिसीव्हर
Broadcast service planning,प्रसारण सेवा नियोजन
Broadcast transmitter,ब्रॉडकास्ट ट्रान्समीटर
Broadcaster,प्रसारक
Broadcasting,प्रसारण
Broadcasting station,प्रसारण स्टेशन
Broken,तुटलेली
Browser,ब्राउझर
Browsing,ब्राउझिंग
Bubble,बबल
Buffer,बफर
Buffer amplifier,बफर एम्पलीफायर
Buffer tube,बफर ट्यूब
Bug,किडा
Built-in antenna,अंगभूत अँटेना
Burner,बर्नर
Burning,बर्निंग
Burst error,स्फोट त्रुटी
Burst insertion pulse,स्फोट अंतर्भूत नाडी
Burst phase,स्फोट टप्पा
Bus,बस
Business intelligence,व्यवसाय बुद्धिमत्ता
Buzzer,बजर
By pass,पास द्वारे
By passing,पास करून
Bypass condenser,बायपास कंडेन्सर
C,सी
C+programming language,सी+प्रोग्रामिंग भाषा
Cabinet,कपाट
Cable,केबल
Cable compound,केबल कंपाऊंड
Cable equalization,केबल समानता
Cable loss,केबल तोटा
Cache,कॅशे
Caching,कॅशिंग
Cadmium cell,कॅडमियम सेल
Calculating machine,गणना मशीन
Calculation,गणना
Calculator,कॅल्क्युलेटर
Calibrate,कॅलिब्रेट
Calipers,कॅलिपर
Calorimeter,कॅलरीमीटर
Camcorder,कॅमकॉर्डर
Camera,कॅमेरा
Camera alignment,कॅमेरा संरेखन
Camera aperture,कॅमेरा छिद्र
Camera coverage,कॅमेरा कव्हरेज
Camera line-up,कॅमेरा लाइन-अप
Camera tube,कॅमेरा ट्यूब
Canopy,छत
Capability,क्षमता
Capacitance,कॅपेसिटन्स
Capacitive load,कॅपेसिटिव्ह लोड
Capacitive reactance,कॅपेसिटिव्ह रिएक्टन्स
Capacitor,कॅपेसिटर
Capacitor input filter,कॅपेसिटर इनपुट फिल्टर
Capacity,क्षमता
Capsule,कॅप्सूल
Caption,मथळा
Capture effect,कॅप्चर इफेक्ट
Card,कार्ड
Cardioid,कार्डिओइड
Cardioid microphone,कार्डिओइड मायक्रोफोन
Carrier,वाहक
Carrier frequency,वाहक वारंवारता
Carrier frequency shift,कॅरियर फ्रिक्वेन्सी शिफ्ट
Carrier power,वाहक शक्ती
Carrier sense signal,कॅरियर सेन्स सिग्नल
Carrier sensitivity,वाहक संवेदनशीलता
Carrier separation,वाहक वेगळे
Carrier shift,कॅरियर शिफ्ट
Carrier spacing,कॅरियर स्पेसिंग
Carrier suppression,वाहक दडपशाही
Carrier wave,कॅरियर वेव्ह
Cartridge,काडतूस
Carving,कोरीव काम
Cascade,कॅसकेड
Cascaded circuit,कॅसकेड सर्किट
Cassette,कॅसेट
Cast iron,ओतीव लोखंड
Casting,कास्टिंग
Catalogue,कॅटलॉग
Catastrophic interference,आपत्तीजनक हस्तक्षेप
Cathode,कॅथोड
Cathode follower,कॅथोड अनुयायी
Cathode resistor,कॅथोड रेझिस्टर
Cellphone,सेलफोन
Cellular,सेल्युलर
Central control,केंद्रीय नियंत्रण
Central frequency,मध्यवर्ती वारंवारता
Central processing unit,सेंट्रल प्रोसेसिंग युनिट
Centralised database,केंद्रीकृत डेटाबेस
Centralised system,केंद्रीकृत प्रणाली
Ceramic,सिरेमिक
Chamber,खोली
Changeover switch,चेंजओव्हर स्विच
Channel,चॅनल
Channel encoder,चॅनेल एन्कोडर
Channel separation,चॅनेल पृथक्करण
Channel spacing,चॅनेल स्पेसिंग
Channel switching,चॅनेल स्विचिंग
Characteristic impedance,वैशिष्ट्यपूर्ण प्रतिबाधा
Characteristics,वैशिष्ट्ये
Charge carrier,चार्ज कॅरियर
Charge density,शुल्क घनता
Charged,शुल्क आकारले
Charger,चार्जर
Charging voltage,चार्जिंग व्होल्टेज
Chart,चार्ट
Chasis,Chasis
Chat,गप्पा
Chip,चिप
Choke coil,चोक कॉइल
Choke input,चोक इनपुट
Chopper amplifier,हेलिकॉप्टर एम्पलीफायर
Chroma,क्रोमा
Chroma sampling structure,क्रोमा सॅम्पलिंग स्ट्रक्चर
Chrominance,क्रोमिनेन्स
Cinematography,सिनेमॅटोग्राफी
Circuit,सर्किट
Circuit board,सर्किट बोर्ड
Circuit breaker,सर्किट ब्रेकर
Circuit element,सर्किट घटक
Circuit switching,सर्किट स्विचिंग
Circuitry,सर्किटरी
Circular motion,परिपत्रक गती
Circular polarization,परिपत्रक ध्रुवीकरण
Circular satellite orbit,परिपत्रक उपग्रह कक्षा
Circular velocity,परिपत्रक वेग
Circularly polarised antenna,परिपत्रक ध्रुवीय अँटेना
Circularly polarised transmission,परिपत्रक ध्रुवीकरण ट्रान्समिशन
Circulator,फिरणारा
Cladding,क्लेडिंग
Clamp,क्लॅम्प
Clamping circuit,क्लॅम्पिंग सर्किट
Class A operation,वर्ग ए ऑपरेशन
Class C tuned amplifier,वर्ग सी ट्यून केलेले एम्पलीफायर
Class of emission,उत्सर्जन वर्ग
Classical physics,शास्त्रीय भौतिकशास्त्र
Classification,वर्गीकरण
Cleaning agent,क्लीनिंग एजंट
Clear,स्पष्ट
Clear channel,साफ चॅनेल
Click,क्लिक करा
Client,ग्राहक
Client relationship  (server relationship),क्लायंट रिलेशनशिप (सर्व्हर संबंध)
Cliff effect,क्लिफ प्रभाव
Clip board,क्लिप बोर्ड
Clipping,क्लिपिंग
Clock pulse,घड्याळ नाडी
Clocked flip flop,क्लोक्ड फ्लिप फ्लॉप
Clockfaced mike,घड्याळाच्या बाजूने माइक
Clock-frequency,घड्याळ-वारंवारता
Clockwise,घड्याळाच्या दिशेने
Closed circuit,बंद परिक्रमा
Closed loop,बंद पळवाट
Cluster,क्लस्टर
Clustering,क्लस्टरिंग
Clutter,गोंधळ
Clutter loss,गोंधळ तोटा
Coating,कोटिंग
Coaxial cable,कोएक्सियल केबल
Coaxial line,कोएक्सियल लाइन
Coaxial transmission line,कोएक्सियल ट्रान्समिशन लाइन
Co-channel,सह-चॅनेल
Co-channel interference,सह-चॅनेल हस्तक्षेप
Cochlea,कोक्लीया
Code,कोड
Code number,कोड क्रमांक
Code rate,कोड दर
Code word,कोड शब्द
Codec (coding decoding),कोडेक (कोडिंग डिकोडिंग)
Coded audio,कोड केलेले ऑडिओ
Coder,कोडर
Coding,कोडिंग
Coding decoding technique,कोडिंग डिकोडिंग तंत्र
Coding error,कोडिंग त्रुटी
Coding rate,कोडिंग दर
Coding technique,कोडिंग तंत्र
Coefficient,गुणांक
Coercivity,जबरदस्ती
Coherent modulation,सुसंगत मॉड्यूलेशन
Coil,कॉइल
Collaboration,सहयोग
Collapse,कोसळणे
Collector,जिल्हाधिकारी
Collector current,जिल्हाधिकारी करंट
Collector to base conductance,बेस कंडक्टन्स टू कलेक्टर
Collector-base junction,कलेक्टर-बेस जंक्शन
Colour,रंग
Colour analyzer,रंग विश्लेषक
Colour balance,रंग शिल्लक
Colour burst,रंग फुटला
Colour chart,रंग चार्ट
Colour combination,रंग संयोजन
Colour constant,रंग स्थिर
Colour control      (chrome control),कलर कंट्रोल (क्रोम कंट्रोल)
Colour depth,रंग खोली
Colour fatigue,रंग थकवा
Colour filter,रंग फिल्टर
Colour killer circuit,कलर किलर सर्किट
Colour kinescope,रंग किनेस्कोप
Colour mixer,रंग मिक्सर
Colour pattern,रंग नमुना
Colour perception,रंग समज
Colour picture screen,रंग चित्र स्क्रीन
Colour space,रंग जागा
Colour subcarrier,रंग सबकारियर
Colour temperature,रंग तापमान
Colour transmission,रंग संप्रेषण
Colour tube,रंग ट्यूब
Colouration,रंगरंगोटी
Colourless,रंगहीन
Combination,संयोजन
Combiner,संयोजक
Combining process,प्रक्रिया एकत्रित
Combustion,ज्वलन
Command,आज्ञा
Commencement,प्रारंभ
Commercial broadcasting,व्यावसायिक प्रसारण
Commercial television,व्यावसायिक टेलिव्हिजन
Common collector circuit,सामान्य कलेक्टर सर्किट
Communication,संप्रेषण
Communication satellite,संप्रेषण उपग्रह
Community radio centre,कम्युनिटी रेडिओ सेंटर
Community radio station,कम्युनिटी रेडिओ स्टेशन
Compact disc (CD),कॉम्पॅक्ट डिस्क (सीडी)
Compact disc player,कॉम्पॅक्ट डिस्क प्लेयर
Compander,कॉम्पॅन्डर
Companding,कंपँडिंग
Compatibility,सुसंगतता
Compatible,सुसंगत
Compiler,कंपाईलर
Complementary,पूरक
Complementary transistor,पूरक ट्रान्झिस्टर
Complex wave,कॉम्प्लेक्स वेव्ह
Component,घटक
Composite,संमिश्र
Composite circuit,संमिश्र सर्किट
Composite digital,संमिश्र डिजिटल
Composite radio frequency signal,संमिश्र रेडिओ फ्रिक्वेन्सी सिग्नल
Composite signal,संमिश्र सिग्नल
Composite video,संमिश्र व्हिडिओ
Composite video signal,संमिश्र व्हिडिओ सिग्नल
Composition,रचना
Compressed data,संकुचित डेटा
Compressed digitized video,संकुचित डिजिटलाइज्ड व्हिडिओ
Compressed video,संकुचित व्हिडिओ
Compression,कम्प्रेशन
Compression artifact,कॉम्प्रेशन आर्टिफॅक्ट
Compression hazard,कॉम्प्रेशन धोका
