Marathi,Malayalam
बीजगणितीय अभिव्यक्ती,ബീജഗണിത പദപ്രയോഗം
बीजगणितीय एकरूपता,ബീജഗണിത ഏകത
बीजगणितीय कार्य,ബീജഗണിത പ്രവർത്തനം
बीजगणितीय भूमिती,ബീജഗണിത ജ്യാമിതി
बीजगणितीय बहुलता,ബീജഗണിത ബഹുത്വം
बीजगणितीय प्रणाली,ബീജഗണിത വ്യവസ്ഥ
सर्व-पूर्णांक समस्या,എല്ലാ-പൂർണ്ണസംഖ്യാ പ്രശ്നം
"असाइनमेंट समस्या वॅट प्रश्न,",അസൈൻമെന്റ് പ്രശ്നം വാട്ട് ചോദ്യം
वर्णक्रमानुसार नोटेशन,അക്ഷരമാലാ ക്രമം
वर्णमाला वर्ण,അക്ഷരമാലാക്രമം
पर्यायी कोन,ഇതര കോണുകൾ
"पर्यायी एकसंध पर्यायी फॉर्म,",ഇതര ഏകതാനമായ ഇതര രൂപം
पर्यायी गट,ഇതര ഗ്രൂപ്പ്
पर्यायी मॅट्रिक्स,ഇതര മാട്രിക്സ്
पर्यायी मालिका,ഇതര പരമ്പര
वैकल्पिक गृहीतक,ഇതര സിദ്ധാന്തം
पर्यायी इष्टतम,ബദൽ ഒപ്റ്റിമം
पर्यायी परिणाम,ഇതര ഫലം
अॅनालॉग-अंकी कनवर्टर,അനലോഗ് അക്ക കൺവെർട്ടർ
"अॅनालॉग संगणक,",അനലോഗ് കമ്പ്യൂട്ടർ
विश्लेषण,വിശകലനം
सहप्रसरण विश्लेषण,സഹവർത്തിത്വ വിശകലനം
गणन-डेटा विश्लेषण,എണ്ണൽ-വിവര വിശകലനം
भिन्नता विश्लेषण,വ്യതിയാന വിശകലനം
विश्लेषणात्मक भूमिती,അനലിറ്റിക്കൽ ജ്യാമിതി
विश्लेषणात्मक कार्य,വിശകലന പ്രവർത്തനം
कोन,കോൺ
स्पर्शिका कोन,ടാൻജന്റ് കോൺ
विक्षेपण कोन,വ്യതിചലന കോൺ
उदासीनता कोन,വിഷാദം ആംഗിൾ
विचलन कोन,വ്യതിയാനം കോൺ
विवर्तन कोन,ഡിഫ്രാക്ഷൻ ആംഗിൾ
उंची कोन,എലവേഷൻ കോൺ
घटनेचा कोन,സംഭവത്തിന്റെ കോൺ
प्रक्षेपण कोन,പ്രൊജക്ഷൻ കോൺ
प्रतिबिंब कोन,പ്രതിഫലനത്തിന്റെ കോൺ
अपवर्तन कोन,അപവർത്തന കോൺ
रोटेशन कोन,റൊട്ടേഷൻ കോൺ
परावर्तनाचा परिपूर्ण कोन,പ്രതിഫലനത്തിന്റെ സമ്പൂർണ്ണ കോൺ
कोनीय प्रवेग,കോണീയ ത്വരണം
कोनीय गती,കോണീയ പ്രവേഗം
कोनीय गती,കോണീയ വേഗത
कोनीय गती,കോണീയ പ്രവേഗം
अनामिका,മോതിര വിരൽ
उत्तर द्या,ഉത്തരം
काउंटर व्युत्पन्न,കൌണ്ടർ ഡെറിവേറ്റീവ്
आयसोमेट्रिक फंक्शन,ഐസോമെട്രിക് ഫംഗ്ഷൻ
"कव्हर करण्यायोग्य, लागू, लागू","കവർ ചെയ്യാവുന്ന, ബാധകമായ, ബാധകമായ"
"अर्ज अर्ज,",അപേക്ഷ അപേക്ഷ
लागू डायनॅमिक प्रोग्रामिंग,പ്രയോഗിച്ച ഡൈനാമിക് പ്രോഗ്രാമിംഗ്
लागू भूमिती,പ്രയോഗിച്ച ജ്യാമിതി
लागू गणित,പ്രയോഗിച്ച ഗണിതശാസ്ത്രം
लागू आकडेवारी,പ്രയോഗിച്ച സ്ഥിതിവിവരക്കണക്കുകൾ
"अंदाजे, अंदाजे","ഏകദേശം, ഏകദേശം"
अंदाजे सतत कार्य,ഏകദേശം തുടർച്ചയായ പ്രവർത്തനം
"मॅक्रो पद्धत, अंदाजे पद्धत","മാക്രോ രീതി, ഏകദേശ രീതി"
अंदाजे उपाय,ഏകദേശ പരിഹാരം
अंदाजे समस्या,ഏകദേശ പ്രശ്നം
अंदाजे मालमत्ता,ഏകദേശ സ്വത്ത്
योग्यता चाचणी,അഭിരുചി പരീക്ഷ
आर्गॉन आकृती,ആർഗോൺ ഡയഗ്രം
ऐच्छिक,സ്വമേധയാ
"यादृच्छिक, यादृच्छिक","ക്രമരഹിതമായ, ക്രമരഹിതമായ"
अनियंत्रित स्थिरांक,ഏകപക്ഷീയമായ സ്ഥിരാങ്കം
मुक्त घटक,സ്വതന്ത്ര ഘടകം
अनियंत्रित बिंदू,ഏകപക്ഷീയമായ പോയിന്റ്
आर्किमिडीजचा कायदा,ആർക്കിമിഡീസിന്റെ നിയമം
आर्किमिडीजचा कायदा,ആർക്കിമിഡീസിന്റെ നിയമം
"चाप-लांबी, चाप-लांबी","കമാനം നീളം, കമാനം നീളം"
वर्तुळ चाप,സർക്കിൾ ആർക്ക്
व्यस्त साइन वितरण,വിപരീത സൈൻ വിതരണം
व्यस्त साइन रूपांतरण,വിപരീത സൈൻ പരിവർത്തനം
"क्षेत्र, क्षेत्र","പ്രദേശം, പ്രദേശം"
प्रादेशिक कॉन्फिगरेशन,പ്രാദേശിക കോൺഫിഗറേഷൻ
जटिल संख्येचा कोन,ഒരു സങ്കീർണ്ണ സംഖ്യയുടെ കോൺ
अंकगणित सरासरी,ഗണിത അർത്ഥം
डिजिटल ऑपरेशन,ഡിജിറ്റൽ പ്രവർത്തനം
डिजिटल युनिट,ഡിജിറ്റൽ യൂണിറ്റ്
"कॉन्फिगरेशन, व्यवस्था","കോൺഫിഗറേഷൻ, ക്രമീകരണം"
"अॅरे, अॅरे","അറേ, അറേ"
कृत्रिम उपग्रह,കൃത്രിമ ഉപഗ്രഹം
कृत्रिम व्हेरिएबल,കൃത്രിമ വേരിയബിൾ
चढणे,കയറാൻ
चढत्या,ആരോഹണം
परिमाणाचा चढता क्रम,മാഗ്നിറ്റ്യൂഡിന്റെ ആരോഹണ ക്രമം
चढत्या श्रेणी,ആരോഹണ ഗ്രേഡ്
असेंबलर भाषा,അസംബ്ലർ ഭാഷ
"असाइनमेंट समस्या असाइनमेंट प्रश्न,",അസൈൻമെന്റ് പ്രശ്നം അസൈൻമെന്റ് ചോദ്യം
सहयोगी नियम,സഹകാരി നിയമം
ऑपरेटर्सचा सहयोगी नियम,ഓപ്പറേറ്റർമാരുടെ അനുബന്ധ നിയമം
सहयोगी ऑपरेशन,അനുബന്ധ പ്രവർത്തനം
सहवास,കൂട്ടുകെട്ട്
सरासरी गृहीत धरले,അർത്ഥമാക്കുന്നത്
गृहीत संभाव्यता वितरण,പ്രോബബിലിറ്റി ഡിസ്ട്രിബ്യൂഷൻ അനുമാനിച്ചു
"कल्पना केली, स्वीकारली,","സങ്കല്പിച്ചു, സമ്മതിച്ചു"
ज्योतिष,ജ്യോതിഷം
"अंतराळ अभियंता अंतराळ अभियंता,",ബഹിരാകാശ എഞ്ചിനീയർ ബഹിരാകാശ എഞ്ചിനീയർ
खगोलशास्त्रज्ञ*,ജ്യോതിശാസ്ത്രജ്ഞൻ*
खगोलशास्त्रीय घड्याळ,ജ്യോതിശാസ്ത്ര ഘടികാരം
खगोलशास्त्र,ജ്യോതിശാസ്ത്രം
असममित वक्र,അസമമായ വക്രം
विषमता,അസമമിതി
लक्षणे नसलेला,അസിംപ്റ്റോട്ടിക്
त्रासदायक,വഷളാക്കുന്നു
प्रगतीशील अंदाजक,പുരോഗമന എസ്റ്റിമേറ്റർ
प्रतिगामी पक्षपाती अनुमानक,റിട്രോഗ്രേഡ് ബയസ്ഡ് എസ്റ്റിമേറ്റർ
प्रतिगामी आचरण,പിന്തിരിപ്പൻ പെരുമാറ്റം
आक्रमक वितरण कार्य,ആക്രമണാത്മക വിതരണ പ്രവർത്തനം
वर पसरलेला,മുകളിലേക്ക് വ്യാപിച്ചു
वातावरणाचा दाब,അന്തരീക്ഷമർദ്ദം
"यादृच्छिकपणे,",ക്രമരഹിതമായി
मालमत्ता*,സ്വത്ത്*
विशेषता-नमुना-यंत्रणा,ആട്രിബ്യൂട്ട്-സാമ്പിൾ-മെക്കാനിസം
संवर्धित मॅट्रिक्स,വർദ്ധിപ്പിച്ച മാട്രിക്സ്
स्वयंसंबंध गुणांक,ഓട്ടോകോറിലേഷൻ കോഫിഫിഷ്യന്റ്
स्वयंसंबंध कार्य,ഓട്ടോകോറിലേഷൻ ഫംഗ്ഷൻ
सहप्रसरण,സഹവർത്തിത്വം
स्वयंचलित संगणक,ഓട്ടോമാറ്റിക് കമ്പ്യൂട്ടർ
ऑटोरिग्रेशन,സ്വയം റിഗ്രഷൻ
सहाय्यक समीकरण,സഹായ സമവാക്യം
सरासरी नमुना क्रमांक वक्र (MPC वक्र),ശരാശരി സാമ്പിൾ നമ്പർ വക്രം (MPC കർവ്)
"स्वयंसिद्ध, स्वयंसिद्ध","സിദ്ധാന്തം, സിദ്ധാന്തം"
स्वयंसिद्ध दृष्टीकोन,axiom സമീപനം
संभाव्यता स्वयंसिद्ध,സംഭാവ്യത സിദ്ധാന്തം
अक्ष,അച്ചുതണ്ട്
भुजक्षा,ഭുജാക്ഷ
पृथ्वीचा अक्ष,ഭൂമിയുടെ അച്ചുതണ്ട്
रोटेशन अक्ष,ഭ്രമണ അക്ഷം
रोटेशन अक्ष,ഭ്രമണ അക്ഷം
फिरकी अक्ष,സ്പിൻ അക്ഷം
पोस्ट बदली,പോസ്റ്റ് മാറ്റിസ്ഥാപിക്കൽ
नंतर,പിന്നീട്
बॅक इन्सर्टेशन फॉर्म्युला,തിരികെ ചേർക്കൽ സൂത്രവാക്യം
"शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक","ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്"
संतुलित डिझाइन,സമതുലിതമായ ഡിസൈൻ
ताळेबंद,ബാലൻസ് ഷീറ്റ്
क्षेपणास्त्र,മിസൈൽ
"बॅलिस्टिक्स, शस्त्रे","ബാലിസ്റ്റിക്സ്, ആയുധം"
"स्तंभ, बार, कोब, बार, बार, बार, बार, बार, बार, रेषा, रेषा, चाचणी रेषा, किनार","നിര, വടി, കോബ്, ബാർ, ബാർ, ബാർ, ബാർ, ബാർ, ബാർ, ലൈൻ, ലൈൻ, ടെസ്റ്റ് ലൈൻ, എഡ്ജ്"
"बेस, बेस, बेस, बेस, बेस","അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം"
बेस कोन,അടിസ്ഥാന കോൺ
"लॉगरिथमचा आधार, लॉगरिथमचा आधार","ലോഗരിതം അടിസ്ഥാനം, ലോഗരിതം അടിസ്ഥാനം"
"मूलभूत, मूलभूत,","അടിസ്ഥാന, അടിസ്ഥാന"
बेस सुसंगत उपाय,അടിസ്ഥാന യോജിച്ച പരിഹാരം
बेस सोल्यूशन,അടിസ്ഥാന പരിഹാരം
बेस व्हेरिएबल,അടിസ്ഥാന വേരിയബിൾ
पाया,അടിസ്ഥാനം
मूळ घटक,അടിസ്ഥാന ഘടകം
बेस मॅट्रिक्स,അടിസ്ഥാന മാട്രിക്സ്
वेक्टर स्पेसचा पाया,വെക്റ്റർ സ്ഥലത്തിന്റെ അടിസ്ഥാനം
उपलोकसंख्या आधार,ഉപജനസംഖ്യാ അടിസ്ഥാനം
बेईमान,സത്യസന്ധമല്ലാത്ത
bez-नियम,ബെസ്-റൂൾ
bez-प्रमेय,bez-theorem
bernoulli-वितरण,ബെർണൂലി-വിതരണം
बर्नौली क्रमांक,ബെർണൂലി നമ്പറുകൾ
बर्नौली संभाव्यता कार्य,ബെർണൂലി പ്രോബബിലിറ്റി ഫംഗ്‌ഷൻ
बर्नौली-समीकरण,ബെർണൂലി-സമവാക്യം
बोरासारखे बी असलेले लहान फळ कार्य,ബെറി ഫംഗ്ഷൻ
सर्वोत्तम आसंजन,മികച്ച അഡീഷൻ
सर्वोत्तम आसंजन ओळ,മികച്ച അഡീഷൻ ലൈൻ
सर्वोत्तम उपाय,മികച്ച പരിഹാരം
सर्वोत्तम टिपा,മികച്ച നുറുങ്ങുകൾ
बीटा वितरण,ബീറ്റ വിതരണം
"पक्षपात, पक्षपात","പക്ഷപാതം, പക്ഷപാതം"
पक्षपाती मूल्यांकन,പക്ഷപാതപരമായ വിലയിരുത്തൽ
द्विपद समीकरण,ദ്വിപദ സമവാക്യം
एकल कव्हर,ഒറ്റ കവർ
सिंगल कव्हर नकाशा,ഒറ്റ കവർ മാപ്പ്
सिंगल कव्हर मॅपिंग,ഒറ്റ കവർ മാപ്പിംഗ്
चतुर्भुज चौकोन,ക്വാഡ്രാറ്റിക് ക്വാഡ്രാറ്റിക്
द्विरेखीय कार्य,ബിലീനിയർ ഫംഗ്ഷൻ
द्विरेखीय हर्मिटियन एकजिनसीपणा,ബൈലീനിയർ ഹെർമിഷ്യൻ ഹോമോജെനിറ്റി
"द्वि-चर, बायनरी, दुहेरी","ദ്വി-വേരിയബിൾ, ബൈനറി, ഡ്യുവൽ"
"बायनरी कोड, बायनरी कोड","ബൈനറി കോഡ്, ബൈനറി കോഡ്"
"बायनरी कोडेड दशांश, बायनरी कोडेड दशांश","ബൈനറി കോഡ് ചെയ്ത ദശാംശം, ബൈനറി കോഡഡ് ദശാംശം"
बायनरी एन्कोडिंग,ബൈനറി എൻകോഡിംഗ്
बायनरी संगणक,ബൈനറി കമ്പ്യൂട്ടർ
बायनरी अंक,ബൈനറി അക്കങ്ങൾ
बायनरी ऑपरेशन,ബൈനറി പ്രവർത്തനം
बायनरी पद्धत,ബൈനറി രീതി
बायनरी व्हेरिएबल,ബൈനറി വേരിയബിൾ
द्विपदी गुणांक,ദ്വിപദ ഗുണകം
द्विपदी वितरण,ദ്വിപദ വിതരണം
द्विपद समीकरण,ദ്വിപദ സമവാക്യം
द्विपद भिन्नता,ദ്വിപദ വ്യത്യാസം
द्विपदी अभिव्यक्ती,ദ്വിപദ പദപ്രയോഗം
द्विपदी यादृच्छिक चल,ബൈനോമിയൽ റാൻഡം വേരിയബിൾ
द्विपद प्रमेय,ദ്വിപദ സിദ്ധാന്തം
"अर्धा, दुभाजक","പകുതി, വിഭജനം"
"दुभाजक पद्धत, अर्धविभाग पद्धत","വിഭജന രീതി, സെമിഡിവിഷൻ രീതി"
अर्धा दुभाजक,പകുതി ദ്വിമുഖം
"द्विपदी, द्विपदी","ദ്വിപദം, ദ്വിമുഖം"
"द्वयंक (बायनरी अंक), अनी, बर्मीज, तुक","ഡ്വയങ്ക് (ബൈനറി സംഖ്യ), ആനി, ബർമീസ്, തുക്"
द्विपदी द्विपद वितरण द्विपदी,ദ്വിപദ ദ്വിപദ വിതരണം ദ്വിപദം
द्विवैरिएट सहसंबंध गुणांक,ദ്വിവസ്ത്ര പരസ്പര ബന്ധ ഗുണകം
द्विवैरिएट वितरण,ദ്വിവിധ വിതരണം
द्विवैरिएट सामान्य-वितरण,bivariate സാധാരണ-വിതരണം
bivector,ബിവെക്ടർ
बोल्टमन समीकरण,ബോൾട്ട്മാൻ സമവാക്യം
बुलियन बीजगणित*,ബൂളിയൻ ബീജഗണിതം*
बोस-आईन्स्टाईन सांख्यिकी,ബോസ്-ഐൻസ്റ്റീൻ സ്ഥിതിവിവരക്കണക്കുകൾ
मर्यादा निर्बंध,പരിമിതി നിയന്ത്രണങ്ങൾ
सीमा पातळी,അതിർത്തി നില
सीमारेषा,അതിർത്തി രേഖ
मर्यादा मूल्य,പരിധി മൂല്യം
सीमा मूल्य समस्या,അതിർത്തി മൂല്യ പ്രശ്നം
"बाउंड फंक्शन बाउंडेड फळ,",പരിമിതമായ പ്രവർത്തനം പരിമിതമായ ഫലം
"बाउंडेड मॅट्रिक्स, बाउंडेड मॅट्रिक्स, बाउंडेड टेबल,","ബൗണ്ടഡ് മാട്രിക്സ്, ബൗണ്ടഡ് മാട്രിക്സ്, ബൗണ്ടഡ് ടേബിൾ"
"सीमाबद्ध प्रदेश सीमाबद्ध प्रदेश,",അതിർത്തി പ്രദേശം അതിർത്തി പ്രദേശം
"बाऊंड सेट बाउंडेड सेट,",ബൗണ്ടഡ് സെറ്റ് ബൗണ്ടഡ് സെറ്റ്
ब्राउनी मोशन,ബ്രൗണി ചലനം
मोजणे,കണക്കാക്കാൻ
गणना,കണക്കുകൂട്ടല്
"कॅल्क्युलेटर, कॅल्क्युलेटर","കാൽക്കുലേറ്റർ, കാൽക്കുലേറ്റർ"
गणना*,കണക്കുകൂട്ടല്*
संगणकीय क्रिया पद्धत,കമ്പ്യൂട്ടേഷണൽ പ്രവർത്തന രീതി
"कॅल्क्युलेटर, कॅल्क्युलेटर","കാൽക്കുലേറ്റർ, കാൽക്കുലേറ്റർ"
"कॅल्क्युलस, कॅल्क्युलस","കാൽക്കുലസ്, കാൽക്കുലസ്"
भिन्नता कॅल्क्युलस,വേരിയൻസ് കാൽക്കുലസ്
कॅलरीज,കലോറികൾ
नियम रद्द करा,ഭരണം റദ്ദാക്കുക
प्रामाणिक समीकरण,കാനോനിക്കൽ സമവാക്യം
प्रामाणिक फॉर्म,കാനോനിക്കൽ രൂപം
"कॅनॉनिकल मॅट्रिक्स, के कॅनॉनिकल मॅट्रिक्स","കാനോനിക്കൽ മാട്രിക്സ്, കെ കാനോനിക്കൽ മാട്രിക്സ്"
cantor सेट,കാന്റർ സെറ്റ്
cantor त्रिकोणी संच,കാന്റർ ത്രികോണ സെറ്റ്
वाहतुकीची अडचण,പരിമിതമായ ഗതാഗത പ്രശ്നം
क्षमता,കഴിവ്
केशिका शक्ती,കാപ്പിലറി ബലം
"संख्या संख्या, मुख्य संख्या","എണ്ണം നമ്പർ, കാർഡിനൽ നമ്പർ"
कार्टेशियन अक्ष,കാർട്ടിസിയൻ അക്ഷം
कार्टेशियन समन्वय,കാർട്ടീഷ്യൻ കോർഡിനേറ്റുകൾ
कार्टेशियन उत्पादन,കാർട്ടീഷ്യൻ ഉൽപ്പന്നം
संचांचे कार्टेशियन गुणाकार,സെറ്റുകളുടെ കാർട്ടീഷ്യൻ ഗുണനം
"केस स्टडी, केस स्टडी","കേസ് പഠനം, കേസ് പഠനം"
आपत्तीजनक भाषण,ആപത്കരമായ പ്രസംഗം
कॅटिनरी,കാറ്ററി
कॉची वितरण,കോച്ചി വിതരണം
कौशीचें सूत्र,കൗശിയുടെ സൂത്രം
कौशी-गुरसा-प्रमेय,കൗശി-ഗുർസാ സിദ്ധാന്തം
कौशी-रिमन-बॅन,കൗശി-റീമാൻ-ബാൻ
कॉची क्रम,Cauchy ക്രമം
कौशी अभिन्न,കൗശി അവിഭാജ്യ
कौशी मुख्य-मूल्य,കൗശി പ്രധാന മൂല്യം
कॉची शेष प्रमेय,കൗച്ചി ശേഷിക്കുന്ന സിദ്ധാന്തം
कॅले-हॅमिल्टन-प्रमेय,കാൾ-ഹാമിൽട്ടൺ-സിദ്ധാന്തം
आकाशीय शरीर,ആകാശ ശരീരം
खगोलशास्त्रीय मोजमाप,ജ്യോതിശാസ്ത്രപരമായ അളവ്
खगोलीय यांत्रिकी,ആകാശ മെക്കാനിക്സ്
आकाशीय शरीर,ആകാശ ശരീരം
सेल वारंवारता,സെൽ ആവൃത്തി
"जनगणना, जनगणना","സെൻസസ്, സെൻസസ്"
टक्केवारी,ശതമാനം
सेंटीमीटर,സെന്റീമീറ്റർ
सेंटीमीटर-ग्राम-सेकंद पद्धत,സെന്റീമീറ്റർ-ഗ്രാം-രണ്ടാം രീതി
"मध्यवर्ती, केंद्रीत","കേന്ദ്ര, കേന്ദ്രീകൃത"
मध्य अक्ष,കേന്ദ്ര അക്ഷം
मध्यवर्ती अंतर,കേന്ദ്ര വിടവ്
केंद्रीय फरक सूत्र,കേന്ദ്ര വ്യത്യാസ ഫോർമുല
केंद्रीय भिन्नता सारणी,കേന്ദ്ര ഡിഫറൻഷ്യൽ പട്ടിക
केंद्रीय मर्यादा प्रमेय,കേന്ദ്ര പരിധി സിദ്ധാന്തം
मध्यवर्ती क्षण,കേന്ദ്ര നിമിഷം
केंद्रीय संसाधन युनिट,കേന്ദ്ര റിസോഴ്സ് യൂണിറ്റ്
केंद्रीय अंतःप्रेरणा,കേന്ദ്ര സഹജാവബോധം
केंद्र*,കേന്ദ്രം*
गुरुत्व मध्यभागी,ഗുരുത്വാകർഷണ കേന്ദ്രം
गट केंद्र,ഗ്രൂപ്പ് കേന്ദ്രം
वस्तुमान केंद्र,ബഹുജന കേന്ദ്രം
सममितीचे केंद्र,സമമിതിയുടെ കേന്ദ്രം
केंद्रापसारक शक्ती,അപകേന്ദ്ര ബലം
केंद्राभिमुख शक्ती,അപകേന്ദ്രബലം
"मध्यवर्ती मेरिडियन,",സെൻട്രിപെറ്റൽ മെറിഡിയൻ
निश्चितता,ഉറപ്പ്
cgs पद्धत,cgs രീതി
cgs युनिट,cgs യൂണിറ്റ്
भिन्नतेचा साखळी नियम,വ്യത്യാസത്തിന്റെ ശൃംഖല
दैवयोगाने,ആകസ്മികമായി
यादृच्छिक हालचाल,ക്രമരഹിതമായ നീക്കം
अक्ष शिफ्ट,അച്ചുതണ്ട് ഷിഫ്റ്റ്
"आधार बदल Payadhar-बदल,",അടിസ്ഥാന മാറ്റം പേയാധാര് മാറ്റം
क्रमपरिवर्तन,ക്രമമാറ്റം
वैशिष्ट्यपूर्ण गुणांक,സ്വഭാവ ഗുണകം
वैशिष्ट्यपूर्ण निर्धारक,സ്വഭാവ നിർണ്ണയം
वैशिष्ट्यपूर्ण समीकरण,സ്വഭാവ സമവാക്യം
"वैशिष्ट्यपूर्ण कार्य, वैशिष्ट्यपूर्ण कार्य","സ്വഭാവ പ്രവർത്തനം, സ്വഭാവ പ്രവർത്തനം"
लॉगरिदमची पूर्णांक,ലോഗരിതം പൂർണ്ണസംഖ്യ
"वैशिष्ट्यपूर्ण बहुपदी,",സ്വഭാവ ബഹുപദം
वैशिष्ट्यपूर्ण मूल्य,സ്വഭാവ മൂല്യം
वैशिष्ट्यपूर्ण वेक्टर,സ്വഭാവ വെക്റ്റർ
वर्ण समुदाय,സ്വഭാവ സമൂഹം
"तक्ते, तक्ते,","ചാർട്ടുകൾ, ചാർട്ടുകൾ"
ची-स्क्वेअर वितरण,ചി-സ്ക്വയർ വിതരണം
ची-स्क्वेअर सूत्र,ചി-സ്ക്വയർ ഫോർമുല
ची-स्क्वेअर चाचणी,ചി-സ്ക്വയർ ടെസ്റ്റ്
जीवा*,കോർഡ്*
जीवा विभाजित करण्याची पद्धत,കോർഡ് വിഭജന രീതി
लिखित संदेश,എഴുതിയ സന്ദേശം
"शून्य, सायफर","പൂജ്യം, സൈഫർ"
मंडळ*,വൃത്തം*
अभिसरण मंडळ,ഒത്തുചേരൽ വൃത്തം
सर्किट मॅट्रिक्स,സർക്യൂട്ട് മാട്രിക്സ്
"गोलाकार, गोलाकार,","വൃത്താകൃതിയിലുള്ള, വൃത്താകൃതിയിലുള്ള"
