Bengali,Punjabi
"1. সংযোজন অপারেশন, 2. যোগফল অপারেশন","1. ਐਡੀਸ਼ਨ ਓਪਰੇਸ਼ਨ, 2. ਸੰਯੁਕਤ ਕਾਰਵਾਈ"
যোগকারী,ਜੋੜਨ ਵਾਲਾ
জানি,ਜਾਣੋ
ঠিকানা বাস,ਪਤਾ ਬੱਸ
ঠিকানা ফাইল,ਐਡਰੈੱਸ ਫਾਈਲ
ঠিকানা বিন্যাস,ਪਤਾ ਫਾਰਮੈਟ
ঠিকানা জেনারেটর,ਪਤਾ ਜਨਰੇਟਰ
ঠিকানা লাইন,ਐਡਰੈੱਸ ਲਾਈਨ
ঠিকানা ম্যাপিং,ਪਤਾ ਮੈਪਿੰਗ
ঠিকানা নির্দেশক,ਪਤਾ ਸੂਚਕ
ঠিকানা রেজিস্টার,ਪਤਾ ਰਜਿਸਟਰ
ঠিকানা ভাঙ্গন,ਪਤਾ ਟੁੱਟਣ
ঠিকানা অনুবাদ,ਪਤਾ ਅਨੁਵਾਦ
"1. ঠিকানাযোগ্য স্মৃতি, 2. ঠিকানাযোগ্য মেমরি","1. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ, 2. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ"
সম্বোধন,ਸੰਬੋਧਨ ਕਰਦੇ ਹੋਏ
"1. পর্যাপ্ততার মানদণ্ড, 2. পর্যাপ্ততার মানদণ্ড","1. ਪੂਰਤੀ ਮਾਪਦੰਡ, 2. ਅਨੁਕੂਲਤਾ ਮਾਪਦੰਡ"
সংযুক্তি,ਲਗਾਵ
"1. ব্যবস্থাপনা, 2. নিয়ন্ত্রণ","1. ਪ੍ਰਬੰਧਨ, 2. ਕੰਟਰੋਲ"
"1. ম্যানেজার, 2. নিয়ামক","1. ਮੈਨੇਜਰ, 2. ਕੰਟਰੋਲਰ"
অ্যাডোবি অ্যাক্রোব্যাট,ਅਡੋਬ ਐਕਰੋਬੈਟ
অ্যাডোবি ফটোশপ,ਅਡੋਬ ਫੋਟੋਸ਼ਾਪ
ABAP (অ্যাডভান্সড বিজনেস প্রোগ্রামিং),ABAP (ਐਡਵਾਂਸਡ ਬਿਜ਼ਨਸ ਪ੍ਰੋਗਰਾਮਿੰਗ)
"1. উন্নত তথ্য, 2. উন্নত তথ্য","1. ਐਡਵਾਂਸਡ ਡੇਟਾ, 2. ਤਕਨੀਕੀ ਡਾਟਾ"
উন্নত তথ্য সিস্টেম,ਤਕਨੀਕੀ ਜਾਣਕਾਰੀ ਸਿਸਟਮ
উন্নত প্রযুক্তি (AT),ਐਡਵਾਂਸਡ ਟੈਕਨਾਲੋਜੀ (ਏ.ਟੀ.)
কর্ম,ਕਾਰਵਾਈ
সমষ্টি,ਏਕੀਕਰਨ
বায়ুবাহিত কম্পিউটার সিস্টেম,ਏਅਰਬੋਰਨ ਕੰਪਿਊਟਰ ਸਿਸਟਮ
aldus পৃষ্ঠা তৈরি,aldus page-make
সতর্কতা বাক্স,ਚੇਤਾਵਨੀ ਬਾਕਸ
আলগোল (কম্পিউটার ভাষা),ਐਲਗੋਲ (ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ)
"1. অ্যালগরিদম, 2. অ্যালগরিদম","1. ਐਲਗੋਰਿਦਮ, 2. ਐਲਗੋਰਿਦਮ"
"1. অ্যালগরিদম বিশ্লেষণ, 2. অ্যালগরিদম বিশ্লেষণ","1. ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ, 2. ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ"
অ্যালগরিদম দক্ষতা,ਐਲਗੋਰਿਦਮ ਕੁਸ਼ਲਤਾ
"1. ইলিয়াস, 2। ডাকনাম, ৩. ওরফে","1. ਏਲੀਯਾਸ, 2. ਉਪਨਾਮ, 3. ਉਰਫ"
প্রান্তিককরণ,ਅਲਾਈਨਮੈਂਟ
"1. বরাদ্দ, 2. বরাদ্দ","1. ਵੰਡ, 2. ਵੰਡ"
"1. বর্ণানুক্রমিক, 2. বর্ণা ক্রমানুসারে","1. ਵਰਣਮਾਲਾ, 2. ਵਰਣਮਾਲਾ ਕ੍ਰਮ"
আলফানিউমেরিক,ਅੱਖਰ ਅੰਕੀ
"1. আলফানিউমেরিক কীবোর্ড, 2. আলফানিউমেরিক কীবোর্ড","1. ਅਲਫਾਨਿਊਮੇਰਿਕ ਕੀਬੋਰਡ, 2. ਅੱਖਰ ਅੰਕੀ ਕੀਬੋਰਡ"
আলফা-পরীক্ষা (প্রথম স্তরের পরীক্ষা),ਅਲਫ਼ਾ-ਟੈਸਟਿੰਗ (ਪਹਿਲਾ ਪੱਧਰ ਦਾ ਟੈਸਟ)
"1. আলফা সংস্করণ, 2। আলফা ফর্ম","1. ਅਲਫ਼ਾ ਸੰਸਕਰਣ, 2. ਅਲਫ਼ਾ ਫਾਰਮ"
alt কী,alt ਕੁੰਜੀ
আলতাভিস্তা,altavista
বহুগুণ,ਬਹੁਲਤਾ
অস্পষ্ট ব্যাকরণ,ਅਸਪਸ਼ਟ ਵਿਆਕਰਣ
আমেরিকান ন্যাশনাল স্ট্যান্ডিস ইনস্টিটিউট (ANSI),ਅਮਰੀਕਨ ਨੈਸ਼ਨਲ ਸਟੈਂਡੀਜ਼ ਇੰਸਟੀਚਿਊਟ (ANSI)
আমেরিকান স্ট্যান্ডার্ড কাট (ascii),ਅਮਰੀਕਨ ਸਟੈਂਡਰਡ ਕੱਟ (ascii)
"1. সাদৃশ্যপূর্ণ, 2. এনালগ","1. ਸਮਾਨ, 2. ਐਨਾਲਾਗ"
"1. এনালগ কম্পিউটার, 2. এনালগ কম্পিউটার","1. ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ, 2. ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ"
"1. এনালগ ডিভাইস, 2. এনালগ ডিভাইস","1. ਐਨਾਲਾਗ ਯੰਤਰ, 2. ਐਨਾਲਾਗ ਜੰਤਰ"
"1. এনালগ মডেম, 2. এনালগ মডেম","1. ਐਨਾਲਾਗ ਮਾਡਮ, 2. ਐਨਾਲਾਗ ਮਾਡਮ"
এনালগ থেকে ডিজিটাল কনভার্টার,ਐਨਾਲਾਗ ਤੋਂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ
শেষ (ডিজিটাল/প্লেন লজিক &#39;এবং&#39; ব্যবহৃত),ਅੰਤ (ਡਿਜੀਟਲ/ਪਲੇਨ ਤਰਕ &#39;ਅਤੇ&#39; ਵਰਤਿਆ ਗਿਆ)
শেষ সার্কিট,ਅੰਤ ਸਰਕਟ
শেষ গেট এবং গেট,ਅੰਤ ਗੇਟ ਅਤੇ ਗੇਟ
শেষ নয় অপারেশন (বর্জন),ਅੰਤ ਨਹੀਂ ਓਪਰੇਸ਼ਨ (ਬੇਹੱਦ)
"1. অ্যানিমেশন, 2. কম্পন","1. ਐਨੀਮੇਸ਼ਨ, 2. ਵਾਈਬ੍ਰੇਸ਼ਨ"
বিঃদ্রঃ,ਨੋਟ
অসঙ্গতি,ਅਸੰਗਤਤਾ
আগে,ਪਿਛਲਾ
প্রত্যাশিত পেজিং,ਅਗਾਊਂ ਪੇਜਿੰਗ
কাউন্টার-সিমেট্রিক,ਵਿਰੋਧੀ-ਸਮਮਿਤੀ
অ্যান্টিভাইরাল প্রোগ্রাম,ਐਂਟੀਵਾਇਰਲ ਪ੍ਰੋਗਰਾਮ
"1. অ্যাপলেট, 2। আবেদন","1. ਐਪਲਿਟ, 2. ਐਪਲੀਕੇਸ਼ਨ"
অ্যাপ্লিকেশন ডেভেলপার,ਐਪਲੀਕੇਸ਼ਨ ਡਿਵੈਲਪਰ
অ্যাপ্লিকেশন প্রোগ্রামিং,ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
"1. অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস, 2. অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস (API)","1. ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ ਇੰਟਰਫੇਸ, 2. ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ ਇੰਟਰਫੇਸ (API)"
অ্যাপ্লিকেশন সফ্টওয়্যার,ਐਪਲੀਕੇਸ਼ਨ ਸਾਫਟਵੇਅਰ
অ্যাপ্লিকেশন ভাষা,ਐਪਲੀਕੇਸ਼ਨ ਭਾਸ਼ਾ
আনুমানিক নীতি,ਲਗਭਗ ਸਿਧਾਂਤ
গঠন,ਬਣਤਰ
ক্ষেত্র স্থানান্তর,ਖੇਤਰ ਦਾ ਤਬਾਦਲਾ
"1. প্যারামিটার, স্বাধীন পরিবর্তনশীল, 2. কোণ","1. ਪੈਰਾਮੀਟਰ, ਸੁਤੰਤਰ ਵੇਰੀਏਬਲ, 2. ਕੋਣ"
"1. পাটিগণিত এবং যুক্তি ইউনিট, 2. পাটিগণিত এবং যুক্তি ইউনিট","1. ਅੰਕਗਣਿਤ ਅਤੇ ਤਰਕ ਇਕਾਈ, 2. ਅੰਕਗਣਿਤ ਅਤੇ ਤਰਕ ਇਕਾਈ"
পাটিগণিত পরীক্ষা,ਗਣਿਤ ਦੀ ਜਾਂਚ
গাণিতিক ধ্রুবক,ਅੰਕਗਣਿਤ ਸਥਿਰ
গাণিতিক তথ্য,ਗਣਿਤ ਡਾਟਾ
গাণিতিক নির্দেশ,ਗਣਿਤ ਦੀ ਹਿਦਾਇਤ
গাণিতিক ও লজিক্যাল ইউনিট (ALU),ਗਣਿਤ ਅਤੇ ਲਾਜ਼ੀਕਲ ਯੂਨਿਟ (ALU)
ARPA নেট (RPNet),ARPA ਨੈੱਟ (RPNet)
অ্যারে,ਐਰੇ
"1. অ্যারে ক্যাশে, 2. অ্যারের গতি, 3. অ্যারে মেমরি","1. ਐਰੇ ਕੈਸ਼, 2. ਐਰੇ ਸਪੀਡ, 3. ਐਰੇ ਮੈਮੋਰੀ"
অ্যারে কম্পিউটার,ਐਰੇ ਕੰਪਿਊਟਰ
অ্যারে উপাদান,ਐਰੇ ਤੱਤ
অ্যারের নাম,ਐਰੇ ਨਾਮ
অ্যারে প্রসেসর,ਐਰੇ ਪ੍ਰੋਸੈਸਰ
তীর কী,ਤੀਰ ਕੁੰਜੀ
সন্ধি,ਸੰਧੀ
সংযোগ বিন্দু,ਜੰਕਸ਼ਨ ਬਿੰਦੂ
কৃত্রিম কম্প্যাকশন,ਨਕਲੀ ਸੰਕੁਚਿਤ
কৃত্রিম নিয়ন্ত্রণ,ਨਕਲੀ ਕੰਟਰੋਲ
কৃত্রিম অনুভূতি,ਨਕਲੀ ਭਾਵਨਾ
মাউন্ট,ਮਾਊਂਟ
আরোহী সাজানোর,ਵਧਦੀ ਲੜੀ
ascii বর্ণমালা,ascii ਵਰਣਮਾਲਾ
ascii নিয়ন্ত্রণ প্রতীক,ascii ਕੰਟਰੋਲ ਚਿੰਨ੍ਹ
ascii ফাইল,ascii ਫਾਈਲ
ascii ফন্ট,ascii ਫੌਂਟ
ASCII স্থানান্তর,ASCII ਟ੍ਰਾਂਸਫਰ
আনুমানিক অনুপাত,ਆਕਾਰ ਅਨੁਪਾਤ
"1. Aspy, 2. এএসপিআই","1. ਐਸਪੀ, 2. ਏ.ਐਸ.ਪੀ.ਆਈ"
এ এস আর কালাদ,ਏ ਐਸ ਆਰ ਕਲਾਡ
"1. স্মরণ, 2. সমাবেশ, 3. জড় করা","1. ਯਾਦ, 2. ਅਸੈਂਬਲਿੰਗ, 3. ਇਕੱਠੇ ਕਰਨ ਲਈ"
"1. অ্যাসেম্বলার, 2. অনুস্মারক","1. ਅਸੈਂਬਲਰ, 2. ਯਾਦਗਾਰੀ"
"1. সমাবেশ, 2. স্মরণ","1. ਅਸੈਂਬਲਿੰਗ, 2. ਯਾਦ"
"1. মুখস্থ ভাষা, 2. একত্রিত ভাষা","1. ਯਾਦਾਸ਼ਤ ਭਾਸ਼ਾ, 2. ਅਸੈਂਬਲਿੰਗ ਭਾਸ਼ਾ"
সংকল্প,ਦ੍ਰਿੜ੍ਹਤਾ
"1. নির্দিষ্ট কাজ, 2. বরাদ্দ","1. ਨਿਰਧਾਰਤ ਕੰਮ, 2. ਵੰਡ"
সাহচর্য,ਸਾਥੀ
সহযোগী ঠিকানা,ਸਹਿਯੋਗੀ ਪਤਾ
"1. সহযোগী স্মৃতি, 2. সহযোগী স্মৃতি","1. ਸਹਿਯੋਗੀ ਮੈਮੋਰੀ, 2. ਸਹਿਯੋਗੀ ਮੈਮੋਰੀ"
তারকাচিহ্ন (* চিহ্ন),ਤਾਰਾ (* ਚਿੰਨ੍ਹ)
অপ্রতিসম,ਅਸਮਿਤ
"1. অ্যাসিঙ্ক্রোনাস, 2. অ্যাসিঙ্ক্রোনাস","1. ਅਸਿੰਕ੍ਰੋਨਸ, 2. ਅਸਿੰਕ੍ਰੋਨਸ"
অ্যাসিঙ্ক্রোনাস ডিজিটাল সাবস্ক্রাইবার লাইন (ADSL),ਅਸਿੰਕ੍ਰੋਨਸ ਡਿਜੀਟਲ ਸਬਸਕ੍ਰਾਈਬਰ ਲਾਈਨ (ADSL)
অ্যাসিঙ্ক্রোনাস টাইম ডিভিশন মাল্টিপ্লেক্সিং (ATDM),ਅਸਿੰਕ੍ਰੋਨਸ ਟਾਈਮ ਡਿਵੀਜ਼ਨ ਮਲਟੀਪਲੈਕਸਿੰਗ (ATDM)
অ্যাসিঙ্ক্রোনাস স্থানান্তর,ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ
অ্যাসিঙ্ক্রোনাস ট্রান্সফার মোড (এটিএম),ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ ਮੋਡ (ATM)
"1. পরমাণু, 2. পরমণ","1. ਐਟਮ, 2. ਪਰਮਾਨ"
সংযুক্ত নথি,ਨੱਥੀ ਦਸਤਾਵੇਜ਼
"1. সংযুক্ত ফাইল/মিসিল, 2. সংযুক্ত ফাইল","1. ਨੱਥੀ ਫਾਈਲ/ਮਿਸਲ, 2. ਨੱਥੀ ਫਾਈਲ"
"1. ঘের, 2. সম্বন্ধযুক্ত","1. ਦੀਵਾਰ, 2. ਸੰਬੰਧਿਤ"
"1. বৈশিষ্ট্য, 2. বিশেষত্ব","1. ਗੁਣ, 2. ਵਿਸ਼ੇਸ਼ਤਾ"
শ্রবণযোগ্য,ਸੁਣਨਯੋਗ
"1. অডিট প্রোগ্রামিং, 2. অডিট প্রোগ্রামিং","1. ਆਡਿਟ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਆਡਿਟ ਪ੍ਰੋਗਰਾਮਿੰਗ"
অ্যাকাউন্ট পরীক্ষা,ਖਾਤਾ ਪੁਸ਼ਟੀਕਰਨ
পদোন্নতি,ਤਰੱਕੀ
সার্টিফিকেশন প্রোটোকল,ਸਰਟੀਫਿਕੇਸ਼ਨ ਪ੍ਰੋਟੋਕੋਲ
রচনা পদ্ধতি,ਲੇਖਕ ਵਿਧੀ
"1. কর্তৃপক্ষ, 2. কর্তৃপক্ষ, 3. ট্রাইব্যুনাল","1. ਅਥਾਰਟੀ, 2. ਅਥਾਰਟੀ, 3. ਟ੍ਰਿਬਿਊਨਲ"
স্বয়ংক্রিয় বিমূর্ত,ਆਟੋ ਐਬਸਟਰੈਕਟ
"1. অটো বুটিং, 2. স্ব বুট","1. ਆਟੋ ਬੂਟਿੰਗ, 2. ਸਵੈ ਬੂਟ"
অটোক্যাড (একটি কম্পিউটার ভাষা),ਆਟੋਕੈਡ (ਇੱਕ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ)
স্বয়ংক্রিয় লগ-অন,ਆਟੋ ਲੌਗ-ਆਨ
স্বয়ংক্রিয়,ਆਟੋਮੇਟਾ
স্বয়ংক্রিয় তত্ত্ব,ਆਟੋਮੈਟਾ ਥਿਊਰੀ
স্বয়ংক্রিয় গণনা,ਆਟੋਮੈਟਿਕ ਗਣਨਾ
স্বয়ংক্রিয় তথ্য প্রক্রিয়াকরণ,ਆਟੋਮੈਟਿਕ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ
স্বয়ংক্রিয় ত্রুটি সংশোধন,ਆਟੋਮੈਟਿਕ ਗਲਤੀ ਸੁਧਾਰ
স্বয়ংক্রিয় ফাংশন,ਆਟੋ ਫੰਕਸ਼ਨ
"1. স্বয়ংক্রিয় সূচীকরণ, 2. স্বয়ংক্রিয় তালিকা","1. ਆਟੋਮੈਟਿਕ ਇੰਡੈਕਸਿੰਗ, 2. ਆਟੋਮੈਟਿਕ ਸੂਚੀਕਰਨ"
স্বয়ংক্রিয় সংগ্রহ কল,ਸਵੈ-ਸੰਗ੍ਰਹਿ ਕਾਲ
"1. স্বয়ংক্রিয় প্রোগ্রামিং, 2. স্বয়ংক্রিয় প্রোগ্রামিং","1. ਆਟੋਮੈਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਆਟੋਮੈਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ"
"1. স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম, 2. স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম","1. ਆਟੋਮੈਟਿਕ ਰਿਕਵਰੀ ਪ੍ਰੋਗਰਾਮ, 2. ਆਟੋਮੈਟਿਕ ਰਿਕਵਰੀ ਪ੍ਰੋਗਰਾਮ"
স্বয়ংক্রিয় রুটিন,ਆਟੋਮੈਟਿਕ ਰੁਟੀਨ
স্বয়ংক্রিয় সিস্টেম পুনরুদ্ধার,ਆਟੋਮੈਟਿਕ ਸਿਸਟਮ ਰਿਕਵਰੀ
"1. অটোমেটিক টেলার মেশিন (ATM), 2. নিজে তোলার জন্য ব্যাঙ্ক এটিএম","1. ਆਟੋਮੈਟਿਕ ਟੈਲਰ ਮਸ਼ੀਨਾਂ (ATM), 2. ਸਵੈ ਨਿਕਾਸੀ ਲਈ ਬੈਂਕ ਏ.ਟੀ.ਐਮ"
অটোমেশন,ਆਟੋਮੇਸ਼ਨ
"1. অটোপ্লে, 2. স্বয়ংক্রিয় হাঁটা","1. ਆਟੋਪਲੇ, 2. ਆਟੋ ਵਾਕ"
কণ্ঠস্বর,ਵੋਕਲਾਈਜ਼ੇਸ਼ਨ
সহকারী,ਸਹਾਇਕ
অক্জিলিয়ারী মেমরি,ਸਹਾਇਕ ਮੈਮੋਰੀ
অক্জিলিয়ারী স্টোরেজ,ਸਹਾਇਕ ਸਟੋਰੇਜ਼
প্রাপ্তিসাধ্য তালিকা,ਉਪਲਬਧ ਸੂਚੀ
উপলব্ধ সময়,ਉਪਲਬਧ ਸਮਾਂ
গড়,ਔਸਤ
AWK (একটি কম্পিউটার কমান্ড),AWK (ਇੱਕ ਕੰਪਿਊਟਰ ਕਮਾਂਡ)
পরে,ਬਾਅਦ
পোস্ট প্রসেসর,ਪੋਸਟ ਪ੍ਰੋਸੈਸਰ
পোস্টেরিয়র ফাংশন মুছে ফেলা,ਪਿਛਲਾ ਫੰਕਸ਼ਨ ਮਿਟਾਉਣਾ
পটভূমি প্রক্রিয়াকরণ,ਪਿਛੋਕੜ ਦੀ ਕਾਰਵਾਈ
আনুষঙ্গিক দোকান,ਸਹਾਇਕ ਸਟੋਰ
ব্যাক প্যাচিং,ਵਾਪਸ ਪੈਚਿੰਗ
"1. পশ্চিম, 2. ব্যাকস্পেস","1. ਪੱਛਮ, 2. ਬੈਕਸਪੇਸ"
ব্যাকট্র্যাকিং,ਬੈਕਟਰੈਕਿੰਗ
"1. ব্যাক আপ, 2. প্রতিদান","1. ਬੈਕ-ਅੱਪ, 2. ਅਦਾਇਗੀ"
"1. পরিপূরক স্মৃতি, 2. ব্যাক আপ মেমরি","1. ਪੂਰਕ ਮੈਮੋਰੀ, 2. ਬੈਕਅੱਪ ਮੈਮੋਰੀ"
পিছনে ত্রুটি সংশোধন,ਵਾਪਸ ਗਲਤੀ ਸੁਧਾਰ
(আয়-ব্যয়) ব্যালেন্স শীট,(ਆਮਦਨ-ਖਰਚਾ) ਬੈਲੇਂਸ ਸ਼ੀਟ
ব্যান্ডেজ,ਪੱਟੀ
"1. ব্যান্ড প্রস্থ, 2. ব্যান্ডউইথ/ক্ষমতা","1. ਬੈਂਡ ਚੌੜਾਈ, 2. ਬੈਂਡਵਿਡਥ/ਸਮਰੱਥਾ"
ব্যাংকারের অ্যালগরিদম,ਬੈਂਕਰ ਦਾ ਐਲਗੋਰਿਦਮ
"1. বার কোড, 2. বার কোড","1. ਬਾਰ ਕੋਡ, 2. ਬਾਰ ਕੋਡ"
বারকোড স্ক্যানার,ਬਾਰਕੋਡ ਸਕੈਨਰ
বার গ্রাফ,ਪੱਟੀ ਗ੍ਰਾਫ
ভিত্তি ঠিকানা,ਅਧਾਰ ਪਤਾ
বেস ব্যান্ড,ਅਧਾਰ ਬੈਂਡ
আধার নম্বর,ਆਧਾਰ ਨੰਬਰ
ভিত্তি টেবিল,ਅਧਾਰ ਸਾਰਣੀ
বেসিক (একটি কম্পিউটার ভাষা),ਬੇਸਿਕ (ਇੱਕ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ)
"1. মৌলিক নিয়ন্ত্রণ, 2. ভিত্তি নিয়ন্ত্রণ","1. ਬੁਨਿਆਦੀ ਨਿਯੰਤਰਣ, 2. ਅਧਾਰ ਕੰਟਰੋਲ"
"1. মূল বিনিয়োগ, 2. ভিত্তি বিনিয়োগ","1. ਮੂਲ ਨਿਵੇਸ਼, 2. ਅਧਾਰ ਨਿਵੇਸ਼"
মৌলিক নির্দেশ,ਬੁਨਿਆਦੀ ਹਦਾਇਤ
ভিত্তি সমস্যা,ਅਧਾਰ ਮੁੱਦਾ
মৌলিক পর্যায়,ਬੁਨਿਆਦੀ ਪੜਾਅ
"1. ব্যাচ, 2। গ্রুপ, 3। বিপর্যয়","1. ਬੈਚ, 2. ਸਮੂਹ, 3. ਤਬਾਹੀ"
"1. ব্যাচ ফাইল, 2. ব্যাচ ফাইল","1. ਬੈਚ ਫਾਈਲ, 2. ਬੈਚ ਫਾਈਲ"
ব্যাচ অবস্থা,ਬੈਚ ਸਥਿਤੀ
