Bengali,Malayalam
অ্যাসিঙ্ক্রোনাস ক্যালকুলেটর,അസിൻക്രണസ് കാൽക്കുലേറ്റർ
পারমাণবিক,ആണവ
পারমাণবিক সংখ্যা,ആറ്റോമിക നമ്പർ
পারমাণবিক গঠন,ആറ്റോമിക് ഘടന
অডিও পরিবর্ধক,ഓഡിയോ ആംപ്ലിഫയർ
অডিও পরিবর্ধক,ഓഡിയോ ആംപ്ലിഫയർ
অডিও ক্যাসেট,ഓഡിയോ കാസറ്റ്
অডিও সার্কিট,ഓഡിയോ സർക്യൂട്ട്
শ্রবণযোগ্য ফ্রিকোয়েন্সি,കേൾക്കാവുന്ന ആവൃത്തി
স্বয়ংক্রিয় ভোল্টেজ নিয়ন্ত্রণ,ഓട്ടോമാറ്റിക് വോൾട്ടേജ് നിയന്ത്രണം
তুষারপাত,ഹിമപാതം
গড় আবিষ্কারক,ശരാശരി ഡിറ്റക്ടർ
অক্ষীয় মোড,അക്ഷീയ മോഡ്
অক্ষীয় অনুপাত,അക്ഷീയ അനുപാതം
অ্যান্টেনা,ആന്റിന
ব্যাক ইলেক্ট্রোমোটিভ ফোর্স,ബാക്ക് ഇലക്ട്രോമോട്ടീവ് ഫോഴ്സ്
পিছনের এলাকা,പിൻ പ്രദേശം
ব্যাক স্ক্যাটার,തിരികെ ചിതറിക്കിടക്കുക
ব্যাকগ্রাউন্ড চার্জ,പശ്ചാത്തല ചാർജ്
পার্শ্ব গোলমাল,സൈഡ് ശബ്ദം
পশ্চাদপসরণ,പിന്നോക്കാവസ്ഥ
পোস্টেরিয়র বিকিরণ,പിൻഭാഗത്തെ വികിരണം
ব্যাকওয়ার্ড ডায়োড / ব্যাকওয়ার্ড ডায়োড,ബാക്ക്വേർഡ് ഡയോഡ് / ബാക്ക്വേർഡ് ഡയോഡ്
ব্যাকওয়ার্ড ওয়েভ অসিলেটর,ബാക്ക്വേർഡ് വേവ് ഓസിലേറ്റർ
"বাধা, বাধা","തടസ്സം, തടസ്സം"
বাধা,തടസ്സം
সুষম সেতু,സമതുലിതമായ പാലം
সুষম মডুলেটর,സമതുലിതമായ മോഡുലേറ്റർ
সুষম মডুলেটর,സമതുലിതമായ മോഡുലേറ്റർ
সুষম সার্কিট,സമതുലിതമായ സർക്യൂട്ട്
সুষম গ্রেডিয়েন্ট ডিটেক্টর,സമതുലിതമായ ഗ്രേഡിയന്റ് ഡിറ്റക്ടർ
বর্তমান স্টেবিলাইজার প্রতিরোধের,നിലവിലെ സ്റ്റെബിലൈസർ പ്രതിരോധം
বোলোমিটার,ബൊലോമീറ്റർ
বোলোমিটার সেতু,ബോലോമീറ്റർ പാലം
বেলুন,ബലൂണ്
কলা জ্যাক,ബനാന ജാക്ക്
কলা প্লাগ,ബനാന പ്ലഗ്
"ব্যান্ড, ব্যান্ডেজ","ബാൻഡ്, ബാൻഡേജ്"
ব্যান্ড ড্রাইভার,ബാൻഡ് ഡ്രൈവർ
ব্যান্ড শক্তি,ബാൻഡ് ഊർജ്ജം
ব্যান্ড ফাঁক,ബാൻഡ് വിടവ്
ব্যাডপার্ক পরিবর্ধক,ബാഡ്പാർക്ക് ആംപ്ലിഫയർ
ব্যান্ড পাস ফিল্টার,ബാൻഡ് പാസ് ഫിൽട്ടർ
বড রেট জেনারেটর,ബോഡ് റേറ്റ് ജനറേറ്റർ
banddispersion,ബാൻഡ് ഡിസ്പെർഷൻ
ব্যান্ড প্রতিরোধক,ബാൻഡ് റെസിസ്റ്റർ
ব্যান্ড ব্রেকার ফিল্টার,ബാൻഡ് ബ്രേക്കർ ഫിൽട്ടർ
ব্যান্ড সম্প্রসারণ,ബാൻഡ് വിപുലീകരണം
ব্যান্ড রিমুভার ফিল্টার,ബാൻഡ് റിമൂവർ ഫിൽട്ടർ
ব্যান্ড এক্সপেনশন ডিফ্লেকশন মাল্টিপ্লায়ার,ബാൻഡ് എക്സ്പാൻഷൻ ഡിഫ്ലെക്ഷൻ മൾട്ടിപ്ലയർ
ব্যান্ড এক্সটেনশন দূরত্ব গুণক,ബാൻഡ് എക്സ്റ്റൻഷൻ ഡിസ്റ്റൻസ് മൾട്ടിപ്ലയർ
"বিম ক্যাপাসিটর, ব্যাংক ক্যাপাসিটর","ബീം കപ്പാസിറ്റർ, ബാങ്ക് കപ്പാസിറ്റർ"
"বার্কার কোড, বার্কার কোড","ബാർക്കർ കോഡ്, ബാർക്കർ കോഡ്"
barravaugen মানদণ্ড,barravaugen മാനദണ്ഡം
বাধাদানকারী,ബാരേറ്റർ
বাধা,തടസ്സം
অন্তরক ক্যাপাসিটর,ഇൻസുലേറ്റിംഗ് കപ്പാസിറ്റർ
বাধা শক্তি,തടസ്സം ഊർജ്ജം
প্রতিরোধক ভোল্টেজ,റെസിസ്റ്റർ വോൾട്ടേജ്
বার্টলেট উইন্ডো,ബാർട്ട്ലെറ്റ് വിൻഡോ
"ভিত্তি, ভিত্তি","അടിസ്ഥാനം, അടിസ്ഥാനം"
বেস ব্যান্ড,അടിസ്ഥാന ബാൻഡ്
বেস ব্যান্ড ট্রান্সমিশন,അടിസ്ഥാന ബാൻഡ് ട്രാൻസ്മിഷൻ
বেস চার্জ,അടിസ്ഥാന ചാർജ്
ভিত্তি বর্তমান,അടിസ്ഥാന കറന്റ്
ভিত্তি বর্তমান উৎস,അടിസ്ഥാന നിലവിലെ ഉറവിടം
বেস শিয়ারিং,അടിസ്ഥാന കത്രിക
আধার মদন,ആധാർ മദൻ
বেস ইমিটার ফিড,അടിസ്ഥാന എമിറ്റർ ഫീഡ്
বেস ইমিটার জংশন,അടിസ്ഥാന എമിറ്റർ ജംഗ്ഷൻ
বেস ইনজেকশন,അടിസ്ഥാന കുത്തിവയ്പ്പ്
স্থল লাইন,ഗ്രൗണ്ട് ലൈൻ
বেস প্রতিরোধের,അടിസ്ഥാന പ്രതിരോധം
ভিত্তি উৎস,അടിസ്ഥാന ഉറവിടം
বেস সম্প্রসারণ প্রতিরোধের,അടിസ്ഥാന വിപുലീകരണ പ്രതിരോധം
বেস সম্প্রসারণ প্রতিরোধের,അടിസ്ഥാന വിപുലീകരണ പ്രതിരോധം
ভিত্তি বেধ,അടിസ്ഥാന കനം
বেস অ্যাক্সেস,അടിസ്ഥാന പ്രവേശനം
"বেস উইথ মডুলেশন, বেস এক্সপেনশন মডুলেশন","ബേസ് വിഡ്ത്ത് മോഡുലേഷൻ, ബേസ് എക്സ്പാൻഷൻ മോഡുലേഷൻ"
বেস কালেক্টর চুক্তি,അടിസ്ഥാന കളക്ടർ ഉടമ്പടി
গন্ধ,മണം
খাদ ফ্রিকোয়েন্সি,ബാസ് ആവൃത്തി
ব্যাটারি,ബാറ്ററി
বউড,ബൗഡ്
বড হার,ബാഡ് നിരക്ക്
বড রেট জেনারেটর,ബോഡ് റേറ്റ് ജനറേറ്റർ
বোডো কোড,ബോഡോ കോഡ്
"সংকেত, বীকন","സിഗ്നൽ, ബീക്കൺ"
"মানিকা, বিড","മാണിക, ബീഡ്"
ম্যানিক ক্যাপাসিটর,മാനിക് കപ്പാസിറ്റർ
মানিকর্তপি প্রতিরোধক,മണികർത്താപി റെസിസ്റ്ററുകൾ
"মরীচি অ্যান্টেনা, মরীচি অ্যান্টেনা","ബീം ആന്റിന, ബീം ആന്റിന"
মরীচি আবিষ্কারক,ബീം ഡിറ്റക്ടർ
মরীচি পাওয়ার পায়ের পাতার মোজাবিশেষ,ബീം പവർ ഹോസ്
মরীচি সুইচিং অগ্রভাগ,ബീം സ്വിച്ചിംഗ് നോസിലുകൾ
মরীচি সম্প্রসারণ,ബീം വികാസം
বীট ফ্রিকোয়েন্সি,അടി ആവൃത്തി
বীট-ফ্রিকোয়েন্সি অসিলেটর,ബീറ്റ്-ഫ്രീക്വൻസി ഓസിലേറ്റർ
পালস অসিলেটর,പൾസ് ഓസിലേറ്റർ
বেল,മണി
নমন ক্ষতি,വളയുന്ന നഷ്ടം
বেসেল ফিল্টার,ബെസൽ ഫിൽട്ടർ
বেটা,ബീറ്റ
b-h বক্ররেখা,b-h വക്രം
"পক্ষপাত, পক্ষপাত","പക്ഷപാതം, പക്ഷപാതം"
পক্ষপাত বর্তমান,ബയസ് കറന്റ്
পক্ষপাত প্রতিরোধ,പക്ഷപാത പ്രതിരോധം
ডবল অ্যান্টেনা,ഇരട്ട ആന്റിന
দ্বিমুখী লোড বর্তমান,ദ്വിദിശ ലോഡ് കറന്റ്
দ্বিমুখী অ্যান্টেনা,ദ്വിദിശ ആന്റിന
দ্বিমুখী আলো নির্গত ডায়োড,ദ്വിദിശ പ്രകാശം പുറപ്പെടുവിക്കുന്ന ഡയോഡ്
দ্বিমুখী থাইরিস্টর,ദ്വിദിശയിലുള്ള തൈറിസ്റ്റർ
bi FET প্রযুক্তি,bi FET സാങ്കേതികവിദ്യ
দ্বি-বিন্দু ট্রান্সফরমার,ബൈ പോയിന്റ് ട്രാൻസ്ഫോർമർ
ডবল ফিউশন,ഇരട്ട സംയോജനം
দ্বিপাক্ষিক সার্কিট,ഉഭയകക്ഷി സർക്യൂട്ട്
বাইনারি,ബൈനറി
বাইনারি যোগফল,ബൈനറി തുക
বাইনারি সার্কিট,ബൈനറി സർക്യൂട്ട്
বাইনারি কোডেড দশমিক,ബൈനറി കോഡ് ചെയ്ത ദശാംശം
বাইনারি কোডেড দশমিক সিস্টেম,ബൈനറി കോഡഡ് ഡെസിമൽ സിസ്റ്റം
বাইনারি ডাইপোল ক্যাপাসিটর,ബൈനറി ദ്വിധ്രുവ കപ്പാസിറ്റർ
বাইনারি ক্যালকুলেটর,ബൈനറി കാൽക്കുലേറ്റർ
বাইনারি ক্যালকুলেটর,ബൈനറി കാൽക്കുലേറ്റർ
বাইনারি ডিকোডার,ബൈനറി ഡീകോഡർ
বাইনারি মই,ബൈനറി ഗോവണി
বাইনারি প্যাথোমিটার,ബൈനറി പാത്തോമീറ്റർ
বাইনারি অবস্থা,ബൈനറി അവസ്ഥ
বাইনারি-ডেসিমেল ডিকোডার,ബൈനറി-ഡെസിമൽ ഡീകോഡർ
বাইনারি লোড,ബൈനറി ലോഡ്
বাইনারি শব্দ,ബൈനറി വാക്കുകൾ
বাইপোলার,ബൈപോളാർ
বাইপোলার ক্যাপাসিটর,ബൈപോളാർ കപ്പാസിറ്റർ
বাইপোলার ডিভাইস,ബൈപോളാർ ഉപകരണം
বাইপোলার উৎস,ബൈപോളാർ ഉറവിടം
বাইপোলার ট্রানজিস্টর,ബൈപോളാർ ട്രാൻസിസ്റ്റർ
বাইপোলার জংশন ট্রানজিস্টর,ബൈപോളാർ ജംഗ്ഷൻ ട്രാൻസിസ്റ്റർ
দ্বিঘাত ফিল্টার,ക്വാഡ്രാറ്റിക് ഫിൽട്ടർ
ডবল অবস্থান,ഇരട്ട സ്ഥാനം
দুই-পর্যায়ের মাল্টিভাইব্রেটর,രണ്ട്-ഘട്ട മൾട്ടിവൈബ്രേറ്റർ
দ্বিমুখী রিলে,ദ്വിദിശ റിലേ
দুই-পর্যায়ের রাষ্ট্র,രണ്ട്-ഘട്ട സംസ്ഥാനം
দুই-পজিশন ট্রিগার,രണ്ട്-സ്ഥാന ട്രിഗർ
বিট ত্রুটি,ബിറ്റ് പിശക്
বিট ত্রুটি হার,ബിറ്റ് പിശക് നിരക്ക്
বিট ত্রুটি,ബിറ്റ് പിശക്
বিটকল ত্রুটি,ബിറ്റ്കാൽ പിശക്
অন্ধ বাক্স,അന്ധമായ പെട്ടി
ঘনীভূত নাড়ি,ഘനീഭവിച്ച പൾസ്
সচিব,സ്രഷ്ടാവ്
সিক্রেটরি ইনহিবিটার,സ്രവിക്കുന്ന ഇൻഹിബിറ്റർ
অন্ধত্ব,അന്ധത
সেগমেন্ট ডায়াগ্রাম,സെഗ്മെന്റ് ഡയഗ്രം
ব্লকিং প্রতিবন্ধকতা,തടസ്സം തടയൽ
খণ্ড স্থানান্তর,ശകലം കൈമാറ്റം
পথিমধ্যে রোধ করা,തടസ്സപ്പെടുത്തുക
প্রতিরোধক ক্যাপাসিটর,തടയൽ കപ്പാസിറ്റർ
প্রতিরোধক ক্যাপাসিটর,റെസിസ്റ്റർ കപ്പാസിറ്റർ
ব্লকিং অসিলেটর,തടയുന്ന ഓസിലേറ്റർ
প্রতিরোধক অসিলেটর,തടയുന്ന ഓസിലേറ്റർ
প্রতিরোধক ভোল্টেজ,റെസിസ്റ്റർ വോൾട്ടേജ്
ব্লোয়ার,ഊതുന്നയാൾ
বোড ডায়াগ্রাম,ബോഡ് ഡയഗ്രം
voltzmann সম্পর্ক,വോൾട്ട്സ്മാൻ ബന്ധം
voltzmann ধ্রুবক,വോൾട്ട്സ്മാൻ സ്ഥിരാങ്കം
বন্ধন,ബോണ്ട്
আবদ্ধ স্ট্রেন গেজ,ബന്ധിത സ്ട്രെയിൻ ഗേജ്
স্ব-চালিত পরিবর্ধক,സ്വയം പിന്തുണയ്ക്കുന്ന ആംപ്ലിഫയർ
বুলিয়ান বীজগণিত,ബൂളിയൻ ബീജഗണിതം
বুলিয়ান সমীকরণ,ബൂളിയൻ സമവാക്യം
বুট Strapon,ബൂട്ട് സ്ട്രാപ്പൺ
বুথের অ্যালগরিদম,ബൂത്തിന്റെ അൽഗോരിതം
বুটস্ট্র্যাপ প্রিজম সার্কিট,ബൂട്ട്സ്ട്രാപ്പ് പ്രിസം സർക്യൂട്ട്
bosscutts নিয়ম,bosscutts ഭരണം
বোস-চৌধুরী হকেনহাম (বিসিএইচ) কোড,ബോസ്-ചൗധരി ഹോക്കൻഹാം (BCH) കോഡ്
"লাফ, লাফ","ചാടുക, ചാടുക"
আবদ্ধ ইলেকট্রন,ബന്ധിത ഇലക്ട്രോൺ
ব্র্যাগ প্রতিফলক,ബ്രാഗ് റിഫ്ലക്ടർ
জড়িত তার,ഇഴചേർന്ന വയർ
শাখা,ശാഖ
শাখা,ശാഖകൾ
পরীক্ষা বোর্ড,പരീക്ഷണ ബോർഡ്
বিরতি জোন,ബ്രേക്ക് സോൺ
ব্রেকিং ভোল্টেজ,ബ്രേക്കിംഗ് വോൾട്ടേജ്
ব্রেকডাউন ডায়োড,ബ്രേക്ക്ഡൗൺ ഡയോഡ്
ফ্র্যাকচার ফিক্সেশন,ഒടിവ് പരിഹരിക്കൽ
ব্রেকিং ভোল্টেজ,ബ്രേക്കിംഗ് വോൾട്ടേജ്
সেতু,പാലം
সেতু সংশোধনকারী,പാലം റക്റ്റിഫയർ
প্রশস্ত ব্যান্ড,വിശാലമായ ബാൻഡ്
সম্প্রচার ব্যান্ড,ബ്രോഡ്കാസ്റ്റ് ബാൻഡ്
অ্যাস্ট্রাল অ্যারে,ആസ്ട്രൽ അറേ
সম্প্রচার,പ്രക്ഷേപണം
সম্প্রচার অ্যান্টেনা,ബ്രോഡ്കാസ്റ്റ് ആന്റിന
সম্প্রচার গ্রহনকারী যন্ত্র,ബ്രോഡ്കാസ്റ്റ് റിസീവർ
ফ্রিকোয়েন্সি ব্রডকাস্ট রিসিভার,ഫ്രീക്വൻസി ബ്രോഡ്കാസ്റ്റ് റിസീവർ
সম্প্রচার ট্রান্সমিটার,പ്രക്ഷേപണം ട്രാൻസ്മിറ്റർ
বুস্টার অ্যান্টেনা,ബൂസ്റ്റർ ആന്റിന
বাস অ্যান্টেনা,ബസ് ആന്റിന
বুরুশ নিমজ্জন,ബ്രഷ് നിമജ്ജനം
বুদবুদ এবং গেট,ബബ്ലിംഗും ഗേറ്റും
বুডবুডু বা গেট,ബുദ്ബുദു അല്ലെങ്കിൽ ഗേറ്റ്
বুদবুদ স্মৃতি,ബബ്ലി മെമ്മറി
ক্ষতিপূরণকারী ভোল্টেজ,വോൾട്ടേജ് നഷ്ടപരിഹാരം
বাফার,ബഫർ
বাফার পরিবর্ধক,ബഫർ ആംപ്ലിഫയർ
বাফার সার্কিট,ബഫർ സർക്യൂട്ട്
বাফার অপারেটর,ബഫർ ഓപ്പറേറ്റർ
বাফার রেজিস্টার,ബഫർ രജിസ്റ്റർ
বাল্ব,ബൾബ്
জনসংখ্যার প্রভাব,ജനസംഖ്യാ പ്രഭാവം
ম্যাক্রো সেমিকন্ডাক্টর ডিভাইস,മാക്രോ അർദ്ധചാലക ഉപകരണം
গুচ্ছ,കുല
নিমজ্জিত বিনিময়,മുങ്ങിയ കൈമാറ്റം
নিমজ্জিত স্তর,മുങ്ങിയ പാളി
নিমজ্জিত যোগাযোগ,മുങ്ങിയ കോൺടാക്റ്റ്
বিস্ফোরণ পরিবর্ধক,സ്ഫോടന ആംപ്ലിഫയർ
বিস্ফোরণ কভার,സ്ഫോടന കവർ
বিস্ফোরণ গুলি,സ്ഫോടനം വെടിവയ്പ്പ്
বিস্ফোরণ দরজা পরিবর্ধক,സ്ഫോടനം ഡോർ ആംപ്ലിഫയർ
বিস্ফোরিত মোড,ബർസ്റ്റ് മോഡ്
বিস্ফোরণ বিভাজক,സ്ഫോടനം സെപ്പറേറ്റർ
বিস্ফোরণের সংকেত,സ്ഫോടന സിഗ്നൽ
বিস্ফোরণ ত্রুটি সংশোধনকারী কোড,ബർസ്റ്റ് പിശക് തിരുത്തൽ കോഡ്
যথেষ্ট,മതി
বাস বার,ബസ് ബാർ
বাস সংগঠন,ബസ് സംഘടന
বাস স্ট্যান্ডার্ড,ബസ് സ്റ്റാൻഡേർഡ്
শুধু ক্ষণস্থায়ী,വെറും നൈമിഷികം
মাখন মূল্য ফিল্টার,വെണ്ണ മൂല്യമുള്ള ഫിൽട്ടർ
bnc তার,bnc വയർ
বিএনসি জয়েন্টার,BNC ജോയിന്റർ
উপায় দ্বারা,വഴിയിൽ
বাইপাস ক্যাপাসিটর,ബൈപാസ് കപ്പാസിറ്റർ
বাইট,ബൈറ്റ്
ভি ব্যান্ড,വി ബാൻഡ്
সি ব্যান্ড অ্যান্টেনা,സി ബാൻഡ് ആന്റിന
তার,വയർ
তারের রাউটিং,വയർ റൂട്ടിംഗ്
টেলিগ্রাফ টেলিভিশন,ടെലിഗ്രാഫ് ടെലിവിഷൻ
ক্যাশ মেমরি,കാഷെ മെമ്മറി
সিসিম ফ্রিকোয়েন্সি স্ট্যান্ডার্ড,സിസിം ഫ്രീക്വൻസി സ്റ്റാൻഡേർഡ്
ক্যালকুলেটর,കാൽക്കുലേറ്റർ
ক্রমাঙ্কন,കാലിബ്രേഷൻ
কল ঠিকানা,കോൾ വിലാസം
কলপিট অসিলেটর,കോൾപിറ്റ് ഓസിലേറ്റർ
ক্যাম কর্ডার,ക്യാം കോർഡറുകൾ
ক্যামেরা,ക്യാമറ
ক্যামেরার পায়ের পাতার মোজাবিশেষ,ക്യാമറ ഹോസ്
candela,കാൻഡല
মোমবাতি শক্তি,മെഴുകുതിരി ശക്തി
ক্যান্টিলিভার স্ট্রেন গেজ,കാന്റിലിവർ സ്ട്രെയിൻ ഗേജ്
ধারণ,പിടിക്കുന്നു
ক্যাপাসিট্যান্স রক্তচাপ ট্রান্সডুসার,കപ്പാസിറ്റൻസ് രക്തസമ്മർദ്ദം ട്രാൻസ്ഡ്യൂസർ
হোল্ডিং ডিস্ট্রিবিউটর,ഹോൾഡിംഗ് ഡിസ്ട്രിബ്യൂട്ടർ
চুক্তি ধারণ,ഉടമ്പടി നിലനിർത്തൽ
ক্যাপাসিট্যান্স গেজ,കപ്പാസിറ്റൻസ് ഗേജ്
সংগ্রাহক হোল্ডিং,പിടിക്കുന്ന കളക്ടർ
ক্যাপাসিট্যান্স বিক্রিয়া,കപ്പാസിറ്റൻസ് പ്രതിപ്രവർത്തനം
"ক্যাপাসিটিভ এনার্জি কনভার্টার, ট্রান্সডুসার","കപ്പാസിറ്റീവ് എനർജി കൺവെർട്ടർ, ട്രാൻസ്ഡ്യൂസർ"
ক্যাপাসিটর,കപ്പാസിറ്റർ
ক্যাপাসিটর ব্যাংক,കപ്പാസിറ്റർ ബാങ്ക്
ক্যাপাসিটর ফিল্টার,കപ്പാസിറ്റർ ഫിൽട്ടർ
ক্যাপাসিটর ইনপুট ফিল্টার,കപ്പാസിറ്റർ ഇൻപുട്ട് ഫിൽട്ടർ
উইঞ্চ মোটর,വിഞ്ച് മോട്ടോർ
পুলি সার্ভো বডি,പുള്ളി സെർവോ ബോഡി
চরখী,ചാർക്കി
ক্যাপচার,പിടിക്കുക
ক্যাপচার ধারা,ക്യാപ്‌ചർ വിഭാഗം
ক্যাপচার প্রভাব,ക്യാപ്‌ചർ പ്രഭാവം
ক্যারিয়ারের শব্দ অনুপাত,കാരിയർ ശബ്ദ അനുപാതം
গাড়ির রেডিও,കാർ റേഡിയോ
কার্বন প্রতিরোধক,കാർബൺ റെസിസ്റ്റർ
কার্ড পাঠক,കാർഡ് റീഡർ
কার্ডিওড ডায়াগ্রাম,കാർഡിയോയിഡ് ഡയഗ്രം
বহন,വണ്ടി
গাড়ি ফেরত,വണ്ടി മടക്കം
বাহক,വാഹകൻ
ক্যারিয়ার যোগাযোগ,കാരിയർ ആശയവിനിമയം
ক্যারিয়ারের ঘনত্ব,കാരിയർ ഏകാഗ്രത
ক্যারিয়ার ফ্রিকোয়েন্সি,കാരിയർ ആവൃത്തി
ক্যারিয়ার প্রজনন,കാരിയർ പുനരുൽപാദനം
ক্যারিয়ার স্তর,കാരിയർ ലെവൽ
ক্যারিয়ার জীবন,കാരിയർ ജീവിതം
ক্যারিয়ারের গতিশীলতা,കാരിയർ മൊബിലിറ്റി
বাহক গুণন,കാരിയർ ഗുണനം
ক্যারিয়ারের শব্দ স্তর,കാരിയർ ശബ്ദ നില
ক্যারিয়ার পরিসীমা,കാരിയർ ശ്രേണി
ক্যারিয়ার রিকভারি সার্কিট,കാരിയർ വീണ്ടെടുക്കൽ സർക്യൂട്ട്
ক্যারিয়ার পুনঃনিবেশ,കാരിയർ വീണ്ടും ചേർക്കൽ
পরিবাহী বিক্ষিপ্তকরণ,ചാലക വിസരണം
ক্যারিয়ার দমন,കാരിയർ അടിച്ചമർത്തൽ
বাহক খাঁচা,കാരിയർ കൂട്ടിൽ
ক্যারিয়ার বেগ,കാരിയർ വേഗത
হাত বিট,കൈ കട്ട്
পতাকা রাখা,പതാക നടത്തി
